Quarter,Time,Down,ToGo,Location,NOR,NWE,Detail,EPB,EPA
3,6:37,1,10,NOR 34,21,3,Mac Jones pass incomplete deep middle intended for Nelson Agholor,,
3,6:31,2,10,NOR 34,21,3,Mac Jones pass complete short left to Hunter Henry for 9 yards (tackle by Marshon Lattimore),,
3,5:56,3,1,NOR 25,21,3,Mac Jones up the middle for 2 yards (tackle by Malcolm Jenkins),,
3,5:18,1,10,NOR 23,21,3,Mac Jones pass complete short left to J.J. Taylor for 4 yards (tackle by Marshon Lattimore),,
3,4:36,2,6,NOR 19,21,3,Mac Jones pass complete short right to Jakobi Meyers for 4 yards (tackle by Demario Davis),,
3,3:59,3,2,NOR 15,21,3,Mac Jones pass complete short right to Nelson Agholor for 4 yards (tackle by Paulson Adebo),,
3,3:25,1,10,NOR 11,21,3,Brandon Bolden left end for no gain (tackle by Tanoh Kpassagnon and Marshon Lattimore),,
3,2:40,2,10,NOR 11,21,3,Brandon Bolden right tackle for -1 yards (tackle by Cameron Jordan and Malcolm Jenkins),,
3,2:17,3,11,NOR 12,21,3,Mac Jones pass complete short left to Jonnu Smith for 4 yards (tackle by Marshon Lattimore and P.J. Williams),,
3,1:35,4,7,NOR 8,21,6,Nick Folk 26 yard field goal good,,
3,1:32,,,NWE 35,21,6,"Jake Bailey kicks off 63 yards, out of bounds",,
3,1:32,1,10,NOR 40,21,6,Jameis Winston scrambles right guard for 1 yard (tackle by Christian Barmore),,
3,0:52,2,9,NOR 41,21,6,Alvin Kamara up the middle for -2 yards (tackle by Kyle Dugger),,
3,0:08,3,11,NOR 39,21,6,Jameis Winston pass incomplete short middle intended for Alvin Kamara,,
3,0:03,4,11,NOR 39,21,6,"Blake Gillikin punts 56 yards, returned by Gunner Olszewski for 18 yards (tackle by Zack Baun)",,
Quarter,Time,Down,ToGo,Location,NOR,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NWE 23,21,6,Mac Jones pass incomplete short right intended for Nelson Agholor,,
4,14:55,2,10,NWE 23,21,6,Mac Jones pass complete short left to Kendrick Bourne for 11 yards (tackle by Marshon Lattimore),,
4,14:19,1,10,NWE 34,21,6,Mac Jones pass complete short left to Jakobi Meyers for 5 yards (tackle by C.J. Gardner-Johnson),,
4,13:54,2,5,NWE 39,21,6,Mac Jones sacked by Tanoh Kpassagnon for -14 yards,,
4,13:16,3,19,NWE 25,21,6,Mac Jones scrambles up the middle for 7 yards (tackle by Cameron Jordan),,
4,12:45,4,12,NWE 32,21,6,"Jake Bailey punts 68 yards, touchback.",,
4,12:38,1,10,NOR 20,21,6,Alvin Kamara right guard for 1 yard (tackle by Jalen Mills),,
4,12:00,2,9,NOR 21,21,6,Alvin Kamara left end for -3 yards (tackle by Kyle Van Noy and Jalen Mills),,
4,11:19,3,12,NOR 18,21,6,Jameis Winston sacked by Matt Judon for -6 yards,,
4,10:38,4,18,NOR 12,21,6,"Blake Gillikin punts 44 yards, returned by Gunner Olszewski for 12 yards (tackle by Alex Armah)",,
4,10:28,1,10,NOR 44,21,6,Mac Jones pass incomplete deep left intended for Kendrick Bourne,,
4,10:22,2,10,NOR 44,21,6,"Mac Jones pass complete to Nelson Agholor for 5 yards. Penalty on Paulson Adebo: Defensive Pass Interference, 10 yards (accepted) (no play)",,
4,10:11,1,10,NOR 34,21,6,Mac Jones scrambles up the middle for 12 yards (tackle by Paulson Adebo),,
4,9:28,1,10,NOR 22,21,12,"Mac Jones pass complete deep right to Kendrick Bourne for 22 yards, touchdown",,
4,9:22,,,NOR 15,21,13,Nick Folk kicks extra point good,,
4,9:22,,,NWE 35,21,13,"Jake Bailey kicks off 65 yards, touchback.",,
4,9:22,1,10,NOR 25,21,13,Jameis Winston pass incomplete short left intended for Marquez Callaway,,
4,9:15,2,10,NOR 25,21,13,Taysom Hill right guard for 3 yards (tackle by Christian Barmore),,
4,8:31,,,,,,Timeout #1 by New Orleans Saints,,
4,8:31,3,7,NOR 28,21,13,Jameis Winston pass complete short right to Deonte Harty for 12 yards (tackle by Jalen Mills),,
4,7:58,1,10,NOR 40,21,13,Alvin Kamara right guard for 11 yards (tackle by Devin McCourty),,
4,7:11,1,10,NWE 49,21,13,Alvin Kamara right tackle for 3 yards (tackle by Christian Barmore),,
4,6:27,2,7,NWE 46,21,13,Jameis Winston pass complete short left to Deonte Harty for 7 yards (tackle by Jonathan Jones),,
4,5:46,1,10,NWE 39,21,13,Taysom Hill right guard for 14 yards (tackle by Kyle Van Noy),,
4,5:04,1,10,NWE 25,21,13,Alvin Kamara left tackle for 6 yards (tackle by Dont'a Hightower and Lawrence Guy),,
4,4:23,2,4,NWE 19,21,13,Alvin Kamara left guard for 3 yards (tackle by Davon Godchaux and Kyle Van Noy),,
4,3:39,3,1,NWE 16,21,13,Jameis Winston up the middle for 2 yards (tackle by Lawrence Guy),,
4,2:56,1,10,NWE 14,21,13,Alvin Kamara left guard for 5 yards (tackle by Henry Anderson),,
4,2:50,,,,,,Timeout #1 by New England Patriots,,
4,2:50,,,,,,Timeout #2 by New Orleans Saints,,
4,2:50,2,5,NWE 9,21,13,Taysom Hill scrambles right end for 5 yards (tackle by Dont'a Hightower),,
4,2:41,1,4,NWE 4,27,13,"Taysom Hill right guard for 4 yards, touchdown",,
4,2:37,,,NWE 15,28,13,Aldrick Rosas kicks extra point good,,
4,2:37,,,NOR 35,28,13,"Aldrick Rosas kicks off 65 yards, touchback.",,
4,2:37,1,10,NWE 25,28,13,Mac Jones pass complete short left to Hunter Henry for 9 yards (tackle by Kaden Elliss and Malcolm Jenkins),,
4,2:15,2,1,NWE 34,28,13,Mac Jones pass incomplete deep middle intended for Nelson Agholor,,
4,2:11,3,1,NWE 34,28,13,Mac Jones pass complete short middle to Kendrick Bourne for 10 yards (tackle by P.J. Williams),,
4,2:00,1,10,NWE 44,28,13,Mac Jones pass incomplete deep right intended for Kendrick Bourne,,
4,1:54,2,10,NWE 44,28,13,Mac Jones pass complete short right to Brandon Bolden for 4 yards (tackle by Malcolm Jenkins),,
4,1:31,3,6,NWE 48,28,13,Mac Jones pass complete to Brandon Bolden for 5 yards (tackle by Malcolm Jenkins),,
4,1:24,4,1,NOR 47,28,13,Mac Jones left guard for 3 yards (tackle by Demario Davis),,
4,1:21,,,,,,Timeout #2 by New England Patriots,,
4,1:21,1,10,NOR 44,28,13,Mac Jones pass incomplete deep left intended for Jakobi Meyers,,
4,1:14,2,10,NOR 44,28,13,Mac Jones pass complete short left to Damien Harris for -5 yards (tackle by Demario Davis),,
4,0:49,3,15,NOR 49,28,13,Mac Jones pass complete short middle to Jakobi Meyers for 10 yards (tackle by Malcolm Jenkins),,
4,0:41,,,,,,Timeout #3 by New England Patriots,,
4,0:41,4,5,NOR 39,28,13,Mac Jones pass complete short left to Brandon Bolden for 14 yards (tackle by Marshon Lattimore),,
4,0:34,1,10,NOR 25,28,13,Mac Jones pass incomplete deep left intended for Nelson Agholor,,
4,0:28,2,10,NOR 25,28,13,Mac Jones pass incomplete short left intended for Brandon Bolden (defended by Demario Davis),,
4,0:23,3,10,NOR 25,28,13,Mac Jones pass incomplete deep right intended for Jakobi Meyers (defended by C.J. Gardner-Johnson),,
4,0:15,4,10,NOR 25,28,13,Mac Jones pass deep left intended for Nelson Agholor is intercepted by Marshon Lattimore at NO-2 and returned for 20 yards (tackle by Brandon Bolden),,
4,0:05,1,10,NOR 22,28,13,Jameis Winston kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
