Quarter,Time,Down,ToGo,Location,GNB,BAL,Detail,EPB,EPA
2,3:44,3,5,GNB 48,3,0,Joe Flacco sacked by A.J. Hawk for -1 yards,1.490,0.000
2,3:16,4,6,GNB 49,3,0,"Sam Koch punts 37 yards, fair catch by Randall Cobb",0.000,0.350
2,3:10,1,10,GNB 12,3,0,Aaron Rodgers pass incomplete short right intended for Jarrett Boykin,-0.350,-0.780
2,3:06,2,10,GNB 12,3,0,"Eddie Lacy right guard for 3 yards (tackle by Elvis Dumervil and Daryl Smith). Penalty on Josh Sitton: Offensive Holding, 6 yards (no play)",-0.780,-1.220
2,2:40,2,16,GNB 6,3,0,Aaron Rodgers pass complete short left to Randall Cobb for 7 yards (tackle by James Ihedigbo and Daryl Smith),-1.220,-1.300
2,2:00,3,9,GNB 13,3,0,Aaron Rodgers pass incomplete short right intended for Jarrett Boykin (defended by Pernell McPhee),-1.300,-2.490
2,1:56,4,9,GNB 13,3,0,Tim Masthay punts 56 yards,-2.490,-1.000
2,1:42,1,10,BAL 31,3,0,Joe Flacco pass incomplete short right intended for Dallas Clark,1.000,0.460
2,1:38,2,10,BAL 31,3,0,Joe Flacco pass incomplete deep middle intended for Tandon Doss,0.460,-0.230
2,1:34,3,10,BAL 31,3,0,"Penalty on Dallas Clark: False Start, 5 yards (no play)",-0.230,-0.890
2,1:34,3,15,BAL 26,3,0,Ray Rice left guard for 10 yards (tackle by M.D. Jennings and Morgan Burnett),-0.890,-0.980
2,1:27,4,5,BAL 36,3,0,"Sam Koch punts 38 yards, returned by Micah Hyde for 23 yards (tackle by Jeromy Miles)",-0.980,-2.190
2,1:17,1,10,GNB 49,3,0,Aaron Rodgers pass complete deep middle to Jordy Nelson for 34 yards (tackle by Jimmy Smith),2.190,4.440
2,1:09,1,10,BAL 17,3,0,Aaron Rodgers pass complete short left to John Kuhn for 1 yard (tackle by James Ihedigbo),4.440,4.000
2,0:47,2,9,BAL 16,3,0,"Aaron Rodgers pass incomplete deep right intended for Jermichael Finley. Penalty on David Bakhtiari: Offensive Holding, 10 yards (no play)",4.000,2.680
2,0:39,2,19,BAL 26,3,0,Aaron Rodgers pass incomplete short middle intended for Jermichael Finley (defended by Daryl Smith),2.680,2.020
2,0:34,3,19,BAL 26,3,0,"Aaron Rodgers pass complete short right to Randall Cobb for 15 yards (tackle by Matt Elam). Penalty on T.J. Lang: Personal Foul, 15 yards",2.020,1.740
2,0:26,4,19,BAL 26,3,0,Mason Crosby 44 yard field goal no good,1.740,-1.200
2,0:20,1,10,BAL 34,3,0,Joe Flacco pass incomplete deep right intended for Torrey Smith,1.200,0.660
2,0:12,2,10,BAL 34,3,0,"Joe Flacco sacked by Nick Perry for -1 yards. Joe Flacco fumbles (forced by Nick Perry), recovered by Datone Jones at BAL-33 and returned for 20 yards (tackle by Gino Gradkowski)",0.660,-4.710
2,0:02,1,10,BAL 13,6,0,Mason Crosby 31 yard field goal good,4.710,3.000
Quarter,Time,Down,ToGo,Location,GNB,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 35,6,0,"Tim Masthay kicks off 68 yards, returned by Jacoby Jones for 19 yards (tackle by Brandon Bostick)",0.000,0.140
3,14:55,1,10,BAL 16,6,0,Bernard Pierce right tackle for -3 yards (tackle by Jamari Lattimore),-0.140,-0.990
3,14:24,2,13,BAL 13,6,0,Joe Flacco pass complete short middle to Dallas Clark for 6 yards (tackle by Morgan Burnett and A.J. Hawk),-0.990,-0.950
3,13:49,3,7,BAL 19,6,0,"Joe Flacco sacked by Micah Hyde for -10 yards. Joe Flacco fumbles (forced by Micah Hyde), recovered by Vonta Leach at BAL-9",-0.950,-2.490
3,13:04,4,17,BAL 9,6,0,"Sam Koch punts 45 yards, returned by Micah Hyde for 20 yards (tackle by Morgan Cox)",-2.490,-3.310
3,12:54,1,10,BAL 34,6,0,Aaron Rodgers pass complete short left to Jermichael Finley for 4 yards (tackle by Matt Elam and Jimmy Smith),3.310,3.310
3,12:13,2,6,BAL 30,6,0,Eddie Lacy right guard for 2 yards (tackle by Terrell Suggs),3.310,2.870
3,11:34,3,4,BAL 28,6,0,Aaron Rodgers pass incomplete deep left intended for Jordy Nelson is intercepted by Jimmy Smith at BAL--5,2.870,-0.280
3,11:27,1,10,BAL 20,6,0,Ray Rice right guard for no gain (tackle by B.J. Raji and Andy Mulumba),0.280,-0.270
3,10:53,2,10,BAL 20,6,0,"Penalty on Marshal Yanda: False Start, 5 yards (no play)",-0.270,-1.070
3,10:38,2,15,BAL 15,6,0,"Penalty on Kelechi Osemele: False Start, 5 yards (no play)",-1.070,-1.510
3,10:20,2,20,BAL 10,6,0,Ray Rice left guard for 5 yards (tackle by Jamari Lattimore),-1.510,-1.860
3,9:46,3,15,BAL 15,6,0,Joe Flacco pass complete short middle to Tandon Doss for 10 yards (tackle by M.D. Jennings),-1.860,-1.700
3,9:23,4,5,BAL 25,6,0,"Sam Koch punts 61 yards, returned by Micah Hyde for 16 yards (tackle by Jeromy Miles)",-1.700,-0.940
3,9:10,1,10,GNB 30,6,0,Eddie Lacy right guard for 2 yards (tackle by Arthur Jones and Daryl Smith),0.940,0.660
3,8:29,2,8,GNB 32,6,0,Aaron Rodgers pass complete short left to Jarrett Boykin for 43 yards (tackle by Matt Elam and Daryl Smith),0.660,3.910
3,7:37,1,10,BAL 25,6,0,"Eddie Lacy left end for 5 yards (tackle by Matt Elam). Penalty on Jermichael Finley: Offensive Holding, 10 yards (no play)",3.910,3.250
3,7:10,1,20,BAL 35,6,0,Aaron Rodgers pass incomplete deep right intended for Jordy Nelson (defended by Lardarius Webb),3.250,2.010
3,7:03,2,20,BAL 35,6,0,Eddie Lacy left tackle for 3 yards (tackle by Terrell Suggs and Courtney Upshaw),2.010,2.010
3,6:16,2,20,BAL 35,6,0,Timeout #1 by Green Bay Packers,2.010,1.750
3,6:16,3,17,BAL 32,6,0,Aaron Rodgers pass incomplete deep right intended for Jermichael Finley,1.750,1.240
3,6:11,4,17,BAL 32,9,0,Mason Crosby 50 yard field goal good,1.240,3.000
3,6:11,,,GNB 35,9,0,"Tim Masthay kicks off 65 yards, returned by Jacoby Jones for 35 yards (tackle by Micah Hyde)",0.000,-1.270
3,5:58,1,10,BAL 35,9,0,Joe Flacco pass complete short middle to Marlon Brown for 59 yards (tackle by M.D. Jennings),1.270,5.830
3,5:19,1,6,GNB 6,9,0,Joe Flacco pass incomplete short left intended for Tandon Doss,5.830,4.950
3,5:13,2,6,GNB 6,9,0,Joe Flacco pass complete short left to Marlon Brown for 1 yard (tackle by Micah Hyde),4.950,4.260
3,4:48,3,5,GNB 5,9,0,Joe Flacco pass incomplete short left intended for Marlon Brown,4.260,3.010
3,4:48,4,5,GNB 5,9,3,Justin Tucker 23 yard field goal good,3.010,3.000
3,4:48,,,BAL 35,9,3,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
3,4:34,1,10,GNB 20,9,3,Eddie Lacy right guard for 5 yards (tackle by Daryl Smith and Josh Bynes),0.280,0.410
3,3:52,2,5,GNB 25,9,3,Eddie Lacy right guard for -1 yards (tackle by Terrell Suggs),0.410,-0.430
3,3:07,3,6,GNB 24,9,3,Aaron Rodgers up the middle for 12 yards (tackle by Corey Graham),-0.430,1.330
3,2:22,1,10,GNB 36,15,3,"Aaron Rodgers pass complete deep middle to Jordy Nelson for 64 yards, touchdown",1.330,7.000
3,2:22,,,BAL 2,16,3,Mason Crosby kicks extra point good,0.000,0.000
3,2:22,,,GNB 35,16,3,"Tim Masthay kicks off 65 yards, touchback",0.000,-0.280
3,2:12,1,10,BAL 20,16,3,Joe Flacco pass complete short left to Torrey Smith for 12 yards (tackle by Sam Shields),0.280,1.070
3,1:53,1,10,BAL 32,16,3,Bernard Pierce left tackle for 10 yards (tackle by C.J. Wilson),1.070,1.730
3,1:22,1,10,BAL 42,16,3,Marlon Brown left end for -2 yards (tackle by Micah Hyde),1.730,0.920
3,0:39,2,12,BAL 40,16,3,"Bernard Pierce left guard for 7 yards. Penalty on Mike Neal: Defensive Offside, 5 yards (no play)",0.920,1.590
3,0:18,2,7,BAL 45,16,3,Bernard Pierce left tackle for no gain (tackle by Morgan Burnett),1.590,0.890
Quarter,Time,Down,ToGo,Location,GNB,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,BAL 45,16,3,"Joe Flacco pass incomplete short right intended for Tandon Doss. Penalty on Tramon Williams: Defensive Holding, 5 yards (no play)",0.890,2.260
4,14:55,1,10,,16,3,Ray Rice left tackle for 11 yards (tackle by Johnny Jolly),2.260,2.980
4,14:22,1,10,GNB 39,16,3,Joe Flacco pass complete short left to Marlon Brown for 11 yards (tackle by Chris Banjo and Morgan Burnett),2.980,3.710
4,13:43,1,10,GNB 28,16,3,Ray Rice left tackle for 6 yards (tackle by C.J. Wilson and A.J. Hawk),3.710,3.980
4,13:10,2,4,GNB 22,16,3,Joe Flacco pass complete short middle to Dallas Clark for 12 yards (tackle by C.J. Wilson and Chris Banjo),3.980,4.910
4,12:33,1,10,GNB 10,16,3,Ray Rice right tackle for -1 yards (tackle by Mike Daniels),4.910,4.020
4,11:58,2,11,GNB 11,16,9,"Joe Flacco pass complete short left to Jacoby Jones for 11 yards, touchdown",4.020,7.000
4,11:58,,,GNB 2,16,10,Justin Tucker kicks extra point good,0.000,0.000
4,11:58,,,BAL 35,16,10,"Justin Tucker kicks off 68 yards, returned by Michael Hill for 19 yards (tackle by Arthur Brown)",0.000,0.140
4,11:46,1,10,GNB 16,16,10,Eddie Lacy right guard for 1 yard (tackle by Arthur Jones and Brandon Williams),-0.140,-0.510
4,11:03,2,9,GNB 17,16,10,Aaron Rodgers pass complete short right to John Kuhn for 8 yards (tackle by Lardarius Webb),-0.510,-0.510
4,10:13,2,9,GNB 17,16,10,Timeout #2 by Green Bay Packers,-0.510,-0.200
4,10:13,3,1,GNB 25,16,10,Aaron Rodgers pass complete short right to Jordy Nelson for 9 yards (tackle by Lardarius Webb),-0.200,1.200
4,9:48,1,10,GNB 34,16,10,Eddie Lacy left guard for 17 yards (tackle by James Ihedigbo and Matt Elam),1.200,2.320
4,9:03,1,10,BAL 49,16,10,Eddie Lacy right guard for 3 yards (tackle by Brandon Williams and Josh Bynes),2.320,2.190
4,8:17,2,7,BAL 46,16,10,Aaron Rodgers up the middle for 5 yards (tackle by Chris Canty),2.190,2.150
4,7:29,3,2,BAL 41,16,10,Eddie Lacy right tackle for 3 yards (tackle by Matt Elam and Terrell Suggs),2.150,3.050
4,6:45,1,10,BAL 38,16,10,Aaron Rodgers pass complete short left to Jermichael Finley for 19 yards (tackle by Terrell Suggs and James Ihedigbo),3.050,4.310
4,5:52,1,10,BAL 19,16,10,Eddie Lacy left tackle for 5 yards (tackle by Terrell Suggs and Daryl Smith),4.310,4.530
4,5:13,2,5,BAL 14,16,10,Eddie Lacy right guard for 2 yards (tackle by Josh Bynes and James Ihedigbo),4.530,4.530
4,4:26,2,5,BAL 14,16,10,Timeout #3 by Green Bay Packers,4.530,4.190
4,4:26,3,3,BAL 12,16,10,Aaron Rodgers pass incomplete short right intended for Jordy Nelson,4.190,2.730
4,4:20,4,3,BAL 12,19,10,Mason Crosby 31 yard field goal good,2.730,3.000
4,4:20,,,GNB 35,19,10,"Tim Masthay kicks off 73 yards, returned by Jacoby Jones for 18 yards (tackle by Chris Banjo)",0.000,0.380
4,4:13,1,10,BAL 10,19,10,Joe Flacco pass complete deep middle to Tandon Doss for 20 yards (tackle by A.J. Hawk),-0.380,0.940
4,3:55,1,10,BAL 30,19,10,Joe Flacco pass incomplete short left intended for Ray Rice,0.940,0.390
4,3:47,2,10,BAL 30,19,10,Joe Flacco sacked by A.J. Hawk for -7 yards,0.390,-1.220
4,3:30,3,17,BAL 23,19,10,"Joe Flacco pass complete short middle to Tandon Doss for 11 yards (tackle by M.D. Jennings). Penalty on Gino Gradkowski: Offensive Holding, 10 yards (no play)",-1.220,-3.300
4,3:15,3,27,BAL 13,19,10,Joe Flacco pass complete short left to Ray Rice for 6 yards (tackle by Andy Mulumba),-3.300,-2.140
4,2:40,4,21,BAL 19,19,10,Joe Flacco pass complete deep middle to Tandon Doss for 63 yards (tackle by Tramon Williams),-2.140,4.370
4,2:07,1,10,GNB 18,19,16,"Joe Flacco pass complete deep left to Dallas Clark for 18 yards, touchdown",4.370,7.000
4,2:07,,,GNB 2,19,17,Justin Tucker kicks extra point good,0.000,0.000
4,2:07,,,BAL 35,19,17,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
4,2:04,1,10,GNB 20,19,17,Eddie Lacy right guard for 1 yard (tackle by Terrell Suggs),0.280,-0.130
4,2:00,2,9,GNB 21,19,17,Aaron Rodgers left end for 6 yards (tackle by James Ihedigbo),-0.130,-0.130
4,1:53,2,9,GNB 21,19,17,Timeout #1 by Baltimore Ravens,-0.130,-0.030
4,1:53,3,3,GNB 27,19,17,Aaron Rodgers pass complete short middle to Jermichael Finley for 52 yards (tackle by James Ihedigbo),-0.030,4.170
4,1:42,1,10,BAL 21,19,17,Eddie Lacy left end for -1 yards (tackle by Pernell McPhee),4.170,4.170
4,1:38,1,10,BAL 21,19,17,Timeout #2 by Baltimore Ravens,4.170,3.490
4,1:38,2,11,BAL 22,19,17,Eddie Lacy right guard for 9 yards (tackle by Daryl Smith and Matt Elam),3.490,3.490
4,1:32,2,11,BAL 22,19,17,Timeout #3 by Baltimore Ravens,3.490,4.240
4,1:32,3,2,BAL 13,19,17,Eddie Lacy left end for 4 yards (tackle by James Ihedigbo),4.240,5.140
4,0:46,1,9,BAL 9,19,17,Aaron Rodgers kneels for -1 yards,5.140,4.190
4,0:28,2,10,BAL 10,19,17,Aaron Rodgers kneels for -1 yards,4.190,3.120
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
