Quarter,Time,Down,ToGo,Location,DEN,SEA,Detail,EPB,EPA
2,0:33,2,10,SEA 24,10,17,Russell Wilson sacked by Cody Barton for -8 yards,3.430,1.690
2,0:26,,,,,,Timeout #2 by Denver Broncos,,
2,0:26,3,18,SEA 32,10,17,Russell Wilson pass complete short left to Javonte Williams for 10 yards (tackle by Quinton Jefferson),1.690,1.990
2,0:04,,,,,,Timeout #3 by Denver Broncos,,
2,0:04,,,,,,Timeout #1 by Seattle Seahawks,,
2,0:04,4,8,SEA 22,13,17,Brandon McManus 40 yard field goal good,1.990,3.000
Quarter,Time,Down,ToGo,Location,DEN,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 35,13,17,"Jason Myers kicks off 61 yards, returned by Montrell Washington for 16 yards (tackle by DeeJay Dallas)",0.000,0.280
3,14:56,1,10,DEN 20,13,17,Melvin Gordon left end for -2 yards (tackle by Shelby Harris and Uchenna Nwosu),0.280,-0.630
3,14:20,2,12,DEN 18,13,17,Melvin Gordon up the middle for 8 yards (tackle by Shelby Harris and Josh Jones),-0.630,-0.160
3,13:37,3,4,DEN 26,13,17,Russell Wilson pass complete deep left to Courtland Sutton for 18 yards (tackle by Josh Jones),-0.160,1.860
3,13:00,1,10,DEN 44,13,17,Russell Wilson pass complete short right to Courtland Sutton for 7 yards (tackle by Michael Jackson),1.860,2.260
3,12:14,2,3,SEA 49,13,17,Melvin Gordon left end for 13 yards (tackle by Jordyn Brooks),2.260,3.180
3,11:35,1,10,SEA 36,13,17,Russell Wilson pass complete short left to Javonte Williams for 1 yard (tackle by Cody Barton),3.180,2.770
3,10:48,2,9,SEA 35,13,17,"Penalty on DEN: Delay of Game, 5 yards (accepted) (no play)",2.770,2.100
3,10:28,2,14,SEA 40,13,17,"Russell Wilson pass incomplete deep left intended for Courtland Sutton. Penalty on Tariq Woolen: Defensive Pass Interference, 31 yards (accepted) (no play)",2.100,5.140
3,10:22,1,9,SEA 9,13,17,Russell Wilson pass complete short left to Jerry Jeudy for 3 yards (tackle by Cody Barton and Josh Jones),5.140,4.950
3,9:31,2,6,SEA 6,13,17,"Penalty on DEN: Delay of Game, 5 yards (accepted) (no play)",4.950,4.020
3,9:09,2,11,SEA 11,13,17,Russell Wilson pass complete short left to Mike Boone for 2 yards (tackle by Josh Jones),4.020,3.360
3,8:25,3,9,SEA 9,13,17,Russell Wilson pass complete short middle to Melvin Gordon for 8 yards (tackle by Jordyn Brooks),3.360,3.550
3,7:42,4,1,SEA 1,13,17,"Melvin Gordon right tackle for -1 yards. Melvin Gordon fumbles (forced by Quandre Diggs), recovered by Michael Jackson at SEA-2 and returned for 8 yards (tackle by Courtland Sutton) Replay Assistant challenged the fumble ruling, and the play was upheld.",3.550,0.380
3,7:33,1,10,SEA 10,13,17,Rashaad Penny up the middle for 1 yard (tackle by Bradley Chubb and D.J. Jones),-0.380,-0.710
3,7:12,2,9,SEA 11,13,17,Geno Smith pass incomplete short left,-0.710,-1.300
3,7:05,3,9,SEA 11,13,17,"Geno Smith pass incomplete short left intended for D.K. Metcalf. Penalty on Patrick Surtain: Defensive Holding, 5 yards (accepted) (no play)",-1.300,-0.140
3,7:01,1,10,SEA 16,13,17,"Geno Smith pass incomplete deep left intended for D.K. Metcalf. Penalty on Bradley Chubb: Roughing the Passer, 15 yards (accepted) (no play)",-0.140,1.000
3,6:55,1,10,SEA 31,13,17,Rashaad Penny right guard for no gain (tackle by D.J. Jones),1.000,0.460
3,6:21,2,10,SEA 31,13,17,Geno Smith pass incomplete short left intended for Tyler Lockett (defended by D.J. Jones),0.460,-0.230
3,6:17,3,10,SEA 31,13,17,Geno Smith pass complete short middle to D.K. Metcalf for 15 yards (tackle by Patrick Surtain and Caden Sterns),-0.230,1.990
3,5:41,1,10,SEA 46,13,17,"Geno Smith pass complete short right to D.K. Metcalf for 1 yard. D.K. Metcalf fumbles (forced by Randy Gregory), recovered by Justin Simmons at SEA-49 and returned for 17 yards (tackle by Geno Smith)",1.990,-3.450
3,5:31,1,10,SEA 32,13,17,Russell Wilson pass incomplete deep left intended for Courtland Sutton (defended by Tariq Woolen),3.450,2.900
3,5:26,2,10,SEA 32,13,17,Melvin Gordon left tackle for 7 yards (tackle by Poona Ford and Josh Jones),2.900,3.140
3,4:45,3,3,SEA 25,13,17,"Russell Wilson pass incomplete deep left intended for KJ Hamler. Penalty on Tariq Woolen: Defensive Pass Interference, 21 yards (accepted) (no play)",3.140,6.280
3,4:38,1,4,SEA 4,13,17,Melvin Gordon left guard for no gain (tackle by Josh Jones),6.280,5.340
3,3:56,2,4,SEA 4,13,17,Russell Wilson pass complete short right to Albert Okwuegbunam for 3 yards (tackle by Quandre Diggs),5.340,5.170
3,3:08,3,1,SEA 1,13,17,"Javonte Williams up the middle for no gain. Javonte Williams fumbles (forced by Uchenna Nwosu), recovered by Michael Jackson in end zone",5.170,-0.280
3,3:05,1,10,SEA 20,13,17,Geno Smith pass complete short right to Tyler Lockett for 2 yards (tackle by Justin Simmons),0.280,0.000
3,2:32,2,8,SEA 22,13,17,Geno Smith pass incomplete short right intended for D'Wayne Eskridge,0.000,-0.690
3,2:28,3,8,SEA 22,13,17,Geno Smith pass complete short right to Tyler Lockett for 9 yards (tackle by Ronald Darby),-0.690,1.000
3,1:52,1,10,SEA 31,13,17,Rashaad Penny right tackle for 4 yards (tackle by Alex Singleton and DeShawn Williams),1.000,1.000
3,1:12,2,6,SEA 35,13,17,"Rashaad Penny right guard for no gain (tackle by Kareem Jackson). Penalty on Abraham Lucas: Offensive Holding, 10 yards (accepted) (no play)",1.000,-0.350
3,0:40,2,16,SEA 25,13,17,Geno Smith scrambles right end for 14 yards (tackle by Alex Singleton),-0.350,0.830
Quarter,Time,Down,ToGo,Location,DEN,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,2,SEA 39,13,17,Geno Smith right end for 3 yards (tackle by Ronald Darby and Alex Singleton),0.830,1.730
4,14:23,1,10,SEA 42,13,17,Rashaad Penny up the middle for 2 yards (tackle by D.J. Jones),1.730,1.460
4,13:52,2,8,SEA 44,13,17,"Geno Smith sacked by Bradley Chubb for -8 yards. Geno Smith fumbles (forced by Bradley Chubb), recovered by Charles Cross at SEA-36 (tackle by Bradley Chubb)",1.460,-0.290
4,13:08,3,16,SEA 36,13,17,Geno Smith pass incomplete short left intended for Noah Fant (defended by Ronald Darby),-0.290,-0.980
4,13:01,4,16,SEA 36,13,17,"Michael Dickson punts 47 yards, returned by Montrell Washington for 3 yards (tackle by Travis Homer)",-0.980,-0.280
4,12:50,1,10,DEN 20,13,17,Russell Wilson pass complete short right to Javonte Williams for 4 yards (tackle by Cody Barton),0.280,0.270
4,12:15,2,6,DEN 24,13,17,Javonte Williams left end for 2 yards (tackle by Tariq Woolen),0.270,-0.160
4,11:27,3,4,DEN 26,13,17,Russell Wilson pass complete deep left to Courtland Sutton for 17 yards (tackle by Jordyn Brooks),-0.160,1.800
4,10:51,1,10,DEN 43,13,17,Russell Wilson pass complete short right to Javonte Williams for 1 yard (tackle by Jordyn Brooks),1.800,1.390
4,10:04,2,9,DEN 44,13,17,Russell Wilson pass complete short middle to Jerry Jeudy for 18 yards (tackle by Justin Coleman),1.390,3.050
4,9:21,1,10,SEA 38,13,17,Melvin Gordon right guard for 8 yards (tackle by Sidney Jones),3.050,3.590
4,8:34,2,2,SEA 30,13,17,Russell Wilson pass incomplete deep left intended for Jerry Jeudy,3.590,2.870
4,8:28,3,2,SEA 30,13,17,Russell Wilson pass complete short right to Jerry Jeudy for 14 yards (tackle by Josh Jones),2.870,4.510
4,7:54,1,10,SEA 16,13,17,Russell Wilson pass incomplete deep left intended for Eric Saubert (defended by Michael Jackson),4.510,3.900
4,7:48,2,10,SEA 16,13,17,Russell Wilson pass complete short right to Javonte Williams for 7 yards (tackle by Cody Barton),3.900,4.390
4,7:07,3,3,SEA 9,13,17,Russell Wilson pass complete short right to Javonte Williams for 6 yards (tackle by Cody Barton),4.390,6.510
4,6:33,1,3,SEA 3,13,17,Russell Wilson pass incomplete short right intended for Eric Tomlinson,6.510,5.530
4,6:28,2,3,SEA 3,13,17,"Penalty on Courtland Sutton: False Start, 5 yards (accepted) (no play)",5.530,4.570
4,6:28,2,8,SEA 8,13,17,Russell Wilson pass incomplete short left intended for Jerry Jeudy,4.570,3.580
4,6:21,3,8,SEA 8,13,17,Russell Wilson pass incomplete short right intended for Courtland Sutton,3.580,2.950
4,6:16,4,8,SEA 8,16,17,Brandon McManus 26 yard field goal good,2.950,3.000
4,6:13,,,DEN 35,16,17,"Brandon McManus kicks off 65 yards, returned by DeeJay Dallas for 30 yards (tackle by Eric Saubert)",0.000,0.940
4,6:08,1,10,SEA 30,16,17,Geno Smith pass complete short right to Will Dissly for 2 yards (tackle by Alex Singleton and Justin Simmons),0.940,0.660
4,5:31,2,8,SEA 32,16,17,Geno Smith pass complete short right to Noah Fant for 2 yards (tackle by Justin Simmons and Ronald Darby),0.660,0.230
4,4:54,3,6,SEA 34,16,17,Geno Smith sacked by Bradley Chubb for -10 yards,0.230,-1.770
4,4:11,4,16,SEA 24,16,17,Michael Dickson punts 54 yards downed by Penny Hart,-1.770,-0.410
4,4:02,1,10,DEN 22,16,17,Melvin Gordon up the middle for 5 yards (tackle by Bryan Mone),0.410,0.540
4,3:25,2,5,DEN 27,16,17,Russell Wilson pass incomplete short right intended for Jerry Jeudy,0.540,-0.160
4,3:21,3,5,DEN 27,16,17,"Russell Wilson pass complete short right to Albert Okwuegbunam for 5 yards (tackle by Quandre Diggs) SEA challenged the short of the line to gain ruling, and the play was upheld.",-0.160,1.070
4,3:01,1,10,DEN 32,16,17,Russell Wilson pass complete short right to Albert Okwuegbunam for 6 yards (tackle by Cody Barton),1.070,1.340
4,2:33,2,4,DEN 38,16,17,Melvin Gordon right guard for 2 yards (tackle by Al Woods and Justin Coleman),1.340,0.890
4,2:00,3,2,DEN 40,16,17,Russell Wilson pass complete short right to Javonte Williams for 9 yards (tackle by Jordyn Brooks and Uchenna Nwosu),0.890,2.190
4,1:24,1,10,DEN 49,16,17,Russell Wilson pass complete short right to Javonte Williams for -4 yards (tackle by Cody Barton),2.190,1.110
4,1:13,,,,,,Timeout #2 by Seattle Seahawks,,
4,1:13,2,14,DEN 45,16,17,Russell Wilson pass incomplete short right,1.110,0.430
4,1:11,3,14,DEN 45,16,17,Russell Wilson pass complete short left to Javonte Williams for 9 yards (tackle by Jordyn Brooks),0.430,0.200
4,0:20,,,,,,Timeout #1 by Denver Broncos,,
4,0:20,,,,,,Timeout #3 by Seattle Seahawks,,
4,0:20,4,5,SEA 46,16,17,Brandon McManus 64 yard field goal no good,0.200,-2.520
4,0:15,1,10,DEN 46,16,17,Geno Smith kneels for -1 yards,2.520,1.840
4,0:13,,,,,,Timeout #2 by Denver Broncos,,
4,0:13,2,11,DEN 47,16,17,Geno Smith kneels for -1 yards,1.840,1.030
4,0:09,,,,,,Timeout #3 by Denver Broncos,,
4,0:09,3,12,DEN 48,16,17,Geno Smith kneels for -1 yards,1.030,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
