Quarter,Time,Down,ToGo,Location,OAK,BUF,Detail,EPB,EPA
2,0:41,1,10,OAK 34,7,13,"Derek Carr pass complete short middle to DeAndre Washington for 5 yards (tackle by Leonard Johnson). DeAndre Washington fumbles (forced by Leonard Johnson), recovered by Matt Milano at OAK-40 and returned for 40 yards, touchdown",1.200,-7.000
2,,,,OAK 15,7,14,Steven Hauschka kicks extra point good,,
2,0:32,,,BUF 35,7,14,"Steven Hauschka kicks off 67 yards, returned by Cordarrelle Patterson for 37 yards (tackle by Steven Hauschka). Cordarrelle Patterson fumbles, recovered by Cordarrelle Patterson at OAK-41",0.000,-1.660
2,0:22,1,10,OAK 41,7,14,Derek Carr pass complete short right to Jalen Richard for 8 yards (tackle by Cedric Thornton),1.660,0.000
2,0:15,,,,,,Timeout #1 by Oakland Raiders,0.000,0.000
2,0:15,,,,,,Timeout #2 by Buffalo Bills,0.000,-2.200
2,0:15,2,2,OAK 49,7,14,Derek Carr pass incomplete short right intended for Lee Smith,2.200,1.490
2,0:09,3,2,OAK 49,7,14,Derek Carr pass complete short left to Jalen Richard for 4 yards (tackle by Cedric Thornton),1.490,0.000
2,0:02,,,,,,Timeout #2 by Oakland Raiders,0.000,0.000
2,0:02,,,,,,Timeout #3 by Buffalo Bills,0.000,-2.460
2,0:01,1,10,BUF 47,7,14,Derek Carr pass complete short middle to Jalen Richard for 15 yards (tackle by Leonard Johnson),2.460,1.470
Quarter,Time,Down,ToGo,Location,OAK,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,7,14,"Giorgio Tavecchio kicks off 65 yards, touchback. Penalty on Shilique Calhoun: Offside on Free Kick, 5 yards",0.000,-0.940
3,15:00,1,10,BUF 30,7,14,Tyrod Taylor pass complete short right to LeSean McCoy for 4 yards (tackle by Shalom Luani),0.940,0.930
3,14:28,2,6,BUF 34,7,14,LeSean McCoy left guard for 3 yards (tackle by Mario Edwards),0.930,0.630
3,13:52,3,3,BUF 37,7,14,Tyrod Taylor left end for -5 yards (tackle by Bruce Irvin),0.630,-1.240
3,13:20,4,8,BUF 32,7,14,"Colton Schmidt punts 55 yards, returned by Jalen Richard for 4 yards (tackle by Matt Milano). Jalen Richard fumbles (forced by Matt Milano), recovered by Mike Tolbert at OAK-14. Penalty on Keith McGill: Offensive Holding (Declined)",-1.240,4.650
3,13:06,1,10,OAK 14,7,14,LeSean McCoy left guard for 6 yards (tackle by Shalom Luani),4.650,5.090
3,12:40,2,4,OAK 8,7,14,"LeSean McCoy left end for 5 yards (tackle by Reggie Nelson). Penalty on Richie Incognito: Offensive Holding, 10 yards (no play)",5.090,3.480
3,12:29,2,14,OAK 18,7,14,Tyrod Taylor pass complete short left to LeSean McCoy for 1 yard (tackle by Cory James and Sean Smith),3.480,2.930
3,11:53,3,13,OAK 17,7,14,Tyrod Taylor pass incomplete deep right intended for Nick O'Leary,2.930,2.310
3,11:48,4,13,OAK 17,7,17,Steven Hauschka 35 yard field goal good,2.310,3.000
3,11:44,,,BUF 35,7,17,"Steven Hauschka kicks off 46 yards, muffed catch by Jalen Richard, recovered by Jalen Richard at OAK-18, and returned for 2 yards",0.000,-0.280
3,11:38,1,10,OAK 20,7,17,Derek Carr pass incomplete short middle intended for Michael Crabtree (defended by Preston Brown),0.280,-0.270
3,11:33,2,10,OAK 20,7,17,Derek Carr pass complete short left to Cordarrelle Patterson for 1 yard (tackle by Micah Hyde),-0.270,-0.820
3,10:50,3,9,OAK 21,7,17,Derek Carr pass incomplete deep middle intended for Michael Crabtree is intercepted by Micah Hyde at OAK-43 and returned for 2 yards,-0.820,-2.850
3,10:41,1,10,OAK 41,7,17,LeSean McCoy right guard for 7 yards (tackle by Justin Ellis),2.850,3.250
3,10:10,2,3,OAK 34,7,17,LeSean McCoy left tackle for 8 yards (tackle by Shalom Luani),3.250,3.840
3,9:42,1,10,OAK 26,7,17,LeSean McCoy middle for 2 yards (tackle by Justin Ellis),3.840,3.570
3,9:11,2,8,OAK 24,7,17,Tyrod Taylor pass complete short right to Mike Tolbert for -2 yards (tackle by T.J. Carrie),3.570,2.610
3,8:31,3,10,OAK 26,7,17,Tyrod Taylor pass incomplete deep right intended for Zay Jones,2.610,1.740
3,8:23,4,10,OAK 26,7,20,Steven Hauschka 44 yard field goal good,1.740,3.000
3,8:18,,,BUF 35,7,20,"Steven Hauschka kicks off 47 yards, returned by Jalen Richard for 15 yards (tackle by Andre Holmes)",0.000,-1.140
3,8:12,1,10,OAK 33,7,20,DeAndre Washington left tackle for 2 yards (tackle by Ryan Davis and Kyle Williams),1.140,0.860
3,7:36,2,8,OAK 35,7,20,Derek Carr pass incomplete short right intended for Lee Smith,0.860,0.170
3,7:31,3,8,OAK 35,7,20,Derek Carr pass incomplete short left intended for Amari Cooper,0.170,-1.040
3,7:27,4,8,OAK 35,7,20,"Marquette King punts 51 yards, returned by Brandon Tate for 6 yards (tackle by James Cowser)",-1.040,-0.280
3,7:16,1,10,BUF 20,7,20,LeSean McCoy middle for 18 yards (tackle by Dexter McDonald),0.280,1.470
3,6:49,1,10,BUF 38,7,20,Tyrod Taylor pass incomplete short right intended for Nick O'Leary (defended by Shalom Luani),1.470,0.920
3,6:40,2,10,BUF 38,7,20,"Mike Tolbert right tackle for 8 yards (tackle by Shalom Luani). Penalty on Jordan Matthews: Offensive Holding, 10 yards (no play)",0.920,-0.430
3,6:12,2,20,BUF 28,7,20,Tyrod Taylor pass complete short middle to Brandon Tate for 24 yards (tackle by Bruce Irvin),-0.430,2.390
3,5:27,1,10,OAK 48,7,20,LeSean McCoy middle for 1 yard (tackle by Treyvon Hester and Justin Ellis),2.390,1.980
3,4:52,2,9,OAK 47,7,20,LeSean McCoy middle for 6 yards (tackle by NaVorro Bowman),1.980,2.080
3,4:08,3,3,OAK 41,7,20,"Tyrod Taylor left end for 5 yards (tackle by Denico Autry). Penalty on Jordan Mills: Offensive Holding, 10 yards (no play)",2.080,0.760
3,3:41,3,13,BUF 49,7,20,Tyrod Taylor pass complete deep right to Andre Holmes for 36 yards,0.760,4.580
