Quarter,Time,Down,ToGo,Location,JAX,TEN,Detail,EPB,EPA
2,3:03,,,JAX 15,10,21,Nick Folk kicks extra point good,0.000,0.000
2,3:03,,,TEN 35,10,21,"Ty Zentner kicks off 69 yards, returned by Tank Bigsby for 24 yards (tackle by K'Von Wallace and Terrell Edmunds)",0.000,0.280
2,2:58,1,10,JAX 20,10,21,Trevor Lawrence pass complete short left to Calvin Ridley for 14 yards (tackle by Azeez Al-Shaair and Sean Murphy-Bunting),0.280,1.200
2,2:20,1,10,JAX 34,10,21,"Penalty on Anton Harrison: False Start, 5 yards (accepted) (no play)",1.200,0.870
2,2:06,1,15,JAX 29,10,21,Trevor Lawrence pass complete short left to Travis Etienne for 11 yards (tackle by Ross Blacklock),0.870,1.470
2,2:00,2,4,JAX 40,10,21,Travis Etienne left tackle for 5 yards (tackle by K'Von Wallace),1.470,1.930
2,1:34,1,10,JAX 45,10,21,Trevor Lawrence pass complete short left to Zay Jones for 8 yards (tackle by Sean Murphy-Bunting),1.930,2.460
2,1:10,2,2,TEN 47,10,21,Trevor Lawrence pass short left intended for Zay Jones is intercepted by Sean Murphy-Bunting at TEN-36 and returned for 2 yards (tackle by Zay Jones),2.460,-1.470
2,1:06,1,10,TEN 38,10,21,Ryan Tannehill pass incomplete short right intended for DeAndre Hopkins,1.470,0.920
2,1:03,2,10,TEN 38,10,21,Ryan Tannehill pass complete short middle to Tyjae Spears for 10 yards (tackle by Devin Lloyd and Foyesade Oluokun),0.920,2.130
2,0:48,1,10,TEN 48,10,21,Ryan Tannehill pass complete short left to Chris Moore for 6 yards (tackle by Antonio Johnson),2.130,2.390
2,0:43,2,4,JAX 46,10,21,Ryan Tannehill sacked by Travon Walker for -10 yards,2.390,0.370
2,0:38,,,,,,Timeout #1 by Tennessee Titans,,
2,0:38,3,14,TEN 44,10,21,Ryan Tannehill pass incomplete deep right intended for Kyle Philips (defended by Tre Herndon),0.370,-0.460
2,0:29,4,14,TEN 44,10,21,"Ty Zentner aborted snap, recovered by Ty Zentner at TEN-31 and returned for -6 yards (tackle by Brenton Strange)",-0.460,-3.050
2,0:22,1,10,TEN 38,10,21,Trevor Lawrence pass complete short left to Travis Etienne for 13 yards (tackle by Elijah Molden and Terrell Edmunds),3.050,3.910
2,0:15,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,0:15,1,10,TEN 25,10,21,Trevor Lawrence pass complete short right to Evan Engram for 1 yard (tackle by Roger McCreary),3.910,3.500
2,0:10,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:10,,,,,,Timeout #2 by Tennessee Titans,,
2,0:10,2,9,TEN 24,10,21,Travis Etienne up the middle for 12 yards (tackle by Azeez Al-Shaair),3.500,4.780
2,0:05,,,,,,Timeout #3 by Jacksonville Jaguars,,
2,0:05,1,10,TEN 12,13,21,Brandon McManus 30 yard field goal good,4.780,3.000
Quarter,Time,Down,ToGo,Location,JAX,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,13,21,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,TEN 25,13,21,Derrick Henry up the middle for 2 yards (tackle by DaVon Hamilton),0.610,0.330
3,14:20,2,8,TEN 27,13,21,Derrick Henry up the middle for 69 yards (tackle by Andre Cisco),0.330,6.280
3,13:29,1,4,JAX 4,13,21,Derrick Henry up the middle for -2 yards (tackle by Rayshawn Jenkins),6.280,4.950
3,12:49,2,6,JAX 6,13,27,"Ryan Tannehill pass complete short middle to DeAndre Hopkins for 6 yards, touchdown",4.950,7.000
3,12:45,,,JAX 15,13,28,Nick Folk kicks extra point good,0.000,0.000
3,12:45,,,TEN 35,13,28,"Ty Zentner kicks off 64 yards, returned by Tank Bigsby for 28 yards (tackle by Otis Reese)",0.000,0.870
3,12:40,1,10,JAX 29,13,28,Trevor Lawrence pass complete short right to Evan Engram for 1 yard (tackle by Roger McCreary),0.870,0.460
3,12:06,2,9,JAX 30,13,28,Trevor Lawrence pass complete short right to Travis Etienne for 3 yards (tackle by Garret Wallow),0.460,0.170
3,11:25,3,6,JAX 33,13,28,Trevor Lawrence pass complete short left to Parker Washington for 11 yards (tackle by Roger McCreary),0.170,1.860
3,10:52,1,10,JAX 44,13,28,Travis Etienne up the middle for 9 yards (tackle by Azeez Al-Shaair and K'Von Wallace),1.860,2.530
3,10:15,2,1,TEN 47,13,28,Travis Etienne left end for no gain (tackle by Sean Murphy-Bunting),2.530,1.820
3,9:36,3,1,TEN 47,13,28,Travis Etienne right guard for 2 yards (tackle by Jaleel Johnson and Keondre Coburn),1.820,2.590
3,8:53,1,10,TEN 45,13,28,Trevor Lawrence pass incomplete short right intended for Zay Jones,2.590,2.040
3,8:48,2,10,TEN 45,13,28,Trevor Lawrence pass incomplete short right intended for Calvin Ridley,2.040,1.360
3,8:45,3,10,TEN 45,13,28,"Trevor Lawrence pass incomplete short right intended for Evan Engram. Penalty on Sean Murphy-Bunting: Defensive Pass Interference, 9 yards (accepted) (no play)",1.360,3.180
3,8:41,1,10,TEN 36,13,28,Trevor Lawrence pass incomplete short middle intended for Evan Engram,3.180,2.640
3,8:37,2,10,TEN 36,13,28,D'Ernest Johnson up the middle for -1 yards (tackle by Azeez Al-Shaair),2.640,1.820
3,7:56,3,11,TEN 37,13,28,Trevor Lawrence pass complete short middle to Evan Engram for 4 yards (tackle by Terrell Edmunds),1.820,1.150
3,7:14,4,7,TEN 33,13,28,Trevor Lawrence pass complete short middle to Zay Jones for 4 yards (tackle by Elijah Molden),1.150,-0.870
3,7:09,1,10,TEN 29,13,28,Derrick Henry up the middle for 7 yards (tackle by Tyson Campbell),0.870,1.270
3,6:28,2,3,TEN 36,13,28,Derrick Henry left tackle for 1 yard (tackle by Josh Allen and Tyson Campbell),1.270,0.700
3,5:46,3,2,TEN 37,13,28,"Penalty on Dillon Radunz: False Start, 5 yards (accepted) (no play)",0.700,0.040
3,5:24,3,7,TEN 32,13,28,Ryan Tannehill pass incomplete short left intended for Chris Moore,0.040,-1.240
3,5:20,4,7,TEN 32,13,28,"Ty Zentner punts 45 yards, returned by Parker Washington for 14 yards (tackle by Otis Reese)",-1.240,-1.400
3,5:08,1,10,JAX 37,13,28,Tank Bigsby right guard for 5 yards (tackle by Elijah Molden and Roger McCreary),1.400,1.530
3,4:30,2,5,JAX 42,13,28,Trevor Lawrence pass complete short left to Evan Engram for 13 yards (tackle by Garret Wallow and Eric Garror),1.530,2.590
3,3:55,1,10,TEN 45,13,28,Trevor Lawrence pass complete short left to Calvin Ridley for 1 yard (tackle by Sean Murphy-Bunting),2.590,2.180
