Quarter,Time,Down,ToGo,Location,CAR,NYG,Detail,EPB,EPA
1,1:10,2,7,NYG 26,10,0,Jesse Palmer pass incomplete intended for Amani Toomer,0.340,-0.360
1,1:10,3,7,NYG 26,16,0,"Jesse Palmer pass incomplete intended for Tiki Barber is intercepted by Ricky Manning at NYG-27 and returned for 27 yards, touchdown",-0.360,-7.000
1,,,,NYG 2,17,0,John Kasay kicks extra point good,0.000,0.000
1,,,,CAR 30,17,0,"John Kasay kicks off 65 yards, returned by Brian Mitchell for 25 yards (tackle by William Hampton)",0.000,0.940
1,0:45,1,10,NYG 30,17,0,Tiki Barber left end for -3 yards (tackle by Al Wallace and Greg Favors),0.940,-0.010
Quarter,Time,Down,ToGo,Location,CAR,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,13,NYG 27,17,0,"Penalty on Visanthe Shiancoe: False Start, 5 yards (no play)",-0.010,-0.690
2,15:00,2,18,NYG 22,17,0,Jesse Palmer pass incomplete intended for Jim Finn (defended by Kris Jenkins),-0.690,-1.350
2,14:54,3,18,NYG 22,17,0,Jesse Palmer pass incomplete is intercepted by Al Wallace at NYG-24 and returned for 5 yards (tackle by David Diehl),-1.350,-4.310
2,14:48,1,10,NYG 19,17,0,Stephen Davis left tackle for 1 yard (tackle by Cornelius Griffin),4.310,3.880
2,14:14,2,9,NYG 18,17,0,Stephen Davis up the middle for 3 yards (tackle by Brandon Short),3.880,3.580
2,13:39,3,6,NYG 15,17,0,Jake Delhomme pass incomplete intended for Ricky Proehl,3.580,2.470
2,13:24,4,6,NYG 15,20,0,John Kasay 33 yard field goal good,2.470,3.000
2,,,,CAR 30,20,0,"John Kasay kicks off 55 yards, returned by Brian Mitchell for 17 yards (tackle by Kemp Rasmussen)",0.000,1.070
2,13:14,1,10,NYG 32,20,0,Dorsey Levens up the middle for 1 yard (tackle by Al Wallace and Kindal Moorehead),1.070,0.660
2,12:40,2,9,NYG 33,20,0,Jesse Palmer pass complete to David Tyree for 8 yards (tackle by Al Wallace),0.660,1.030
2,12:20,3,1,NYG 41,20,0,Jesse Palmer pass complete to Amani Toomer for 9 yards (tackle by Greg Favors),1.030,2.260
2,11:49,1,10,NYG 50,20,0,Jesse Palmer pass incomplete intended for Amani Toomer,2.260,1.710
2,11:44,2,10,NYG 50,20,0,Jesse Palmer pass complete to Dorsey Levens for 11 yards (tackle by Greg Favors),1.710,2.980
2,11:04,1,10,CAR 39,20,0,"Dorsey Levens left end for 3 yards (tackle by Will Witherspoon and Kemp Rasmussen). Penalty on Visanthe Shiancoe: Illegal Motion, 5 yards (no play)",2.980,2.650
2,10:42,1,15,CAR 44,20,0,Jesse Palmer pass incomplete intended for Visanthe Shiancoe (defended by Ricky Manning),2.650,1.770
2,10:38,2,15,CAR 44,20,0,"Dorsey Levens up the middle for 14 yards (tackle by Deon Grant and Reggie Howard). Penalty on Reggie Howard: Face Mask (15 Yards), 16 yards",1.770,4.650
2,10:16,1,10,CAR 14,20,0,Dorsey Levens up the middle for 5 yards (tackle by Greg Favors),4.650,4.900
2,9:48,2,5,CAR 9,20,0,Dorsey Levens right end for -1 yards (tackle by Ricky Manning and Julius Peppers),4.900,3.820
2,9:10,3,6,CAR 10,20,0,Jesse Palmer pass incomplete intended for David Tyree,3.820,2.790
2,9:01,4,6,CAR 10,20,3,Matt Bryant 28 yard field goal good,2.790,3.000
2,,,,NYG 30,20,3,"Matt Bryant kicks off 49 yards, returned by Kemp Rasmussen for 16 yards (tackle by Quincy Monk)",0.000,1.400
2,8:52,1,10,CAR 37,20,3,Jake Delhomme pass incomplete intended for Steve Smith,1.400,0.860
2,8:46,2,10,CAR 37,20,3,Jake Delhomme pass incomplete intended for Muhsin Muhammad,0.860,0.170
2,8:41,3,10,CAR 37,20,3,"Jake Delhomme pass complete to Kris Mangum for 6 yards (tackle by Frank Walker). Penalty on Michael Strahan: Defensive Offside, 5 yards (no play)",0.170,0.830
2,8:17,3,5,CAR 42,20,3,Jake Delhomme pass incomplete intended for Nick Goings (defended by Micheal Barrow),0.830,-0.590
2,8:06,4,5,CAR 42,20,3,Todd Sauerbrun punts no gain,-0.590,-5.600
2,7:55,1,7,CAR 7,20,9,"Jesse Palmer pass complete to Amani Toomer for 7 yards, touchdown",5.600,7.000
2,,,,CAR 2,20,10,Matt Bryant kicks extra point good,0.000,0.000
2,,,,NYG 30,20,10,"Matt Bryant kicks off 64 yards, returned by Rod Smart for 25 yards (tackle by Johnnie Harris)",0.000,1.000
2,7:43,1,10,CAR 31,20,10,Jake Delhomme pass incomplete intended for Steve Smith,1.000,0.460
2,7:39,2,10,CAR 31,20,10,Jake Delhomme pass complete to DeShaun Foster for 14 yards (tackle by Dhani Jones),0.460,1.930
2,7:12,1,10,CAR 45,20,10,Stephen Davis up the middle for 2 yards (tackle by Cornelius Griffin and William Joseph),1.930,1.650
2,6:26,2,8,CAR 47,20,10,Jake Delhomme pass complete to Ricky Proehl for 6 yards,1.650,1.750
2,5:59,3,2,NYG 47,20,10,"Jake Delhomme pass incomplete intended for Kris Mangum is intercepted by Johnnie Harris at NYG-35 and returned for 3 yards (tackle by Kris Mangum). Johnnie Harris fumbles (forced by Kris Mangum), recovered by Kris Mangum at NYG-38",1.750,3.120
,,,,,,,"NYG challenged the ruling, and the play was upheld.",,
2,5:42,1,10,NYG 37,20,10,Jake Delhomme pass complete to Muhsin Muhammad for 36 yards (tackle by Johnnie Harris),3.120,6.970
2,5:01,1,1,NYG 1,20,10,"Jake Delhomme for no gain. Jake Delhomme fumbles, recovered by Jermaine Wiggins at NYG-4. Penalty on Keith Washington: Neutral Zone Infraction (no play)",6.970,6.970
2,4:46,1,1,NYG 1,20,10,Stephen Davis left tackle for no gain (tackle by Micheal Barrow and Osi Umenyiora),6.970,5.910
2,4:10,2,1,NYG 1,20,10,Stephen Davis left end for no gain (tackle by Osi Umenyiora),5.910,5.170
,,,,,,,"NYG challenged the ruling, and the original play was overturned.",,
2,3:58,3,1,NYG 1,26,10,"Jake Delhomme pass complete to Muhsin Muhammad for 1 yard, touchdown",5.170,7.000
2,,,,NYG 2,27,10,John Kasay kicks extra point good,0.000,0.000
2,,,,CAR 30,27,10,"John Kasay kicks off 64 yards, returned by Brian Mitchell for 23 yards (tackle by Karl Hankton)",0.000,0.870
2,3:38,1,10,NYG 29,27,10,Jesse Palmer pass incomplete intended for Amani Toomer is intercepted by Deon Grant at CAR-35 and returned for 25 yards (tackle by Scott Peters),0.870,-2.920
2,3:22,1,10,NYG 40,27,10,Jake Delhomme pass incomplete intended for Ricky Proehl (defended by Johnnie Harris),2.920,2.370
2,3:11,2,10,NYG 40,27,10,Stephen Davis left tackle for 15 yards (tackle by Omar Stoutmire and Johnnie Harris),2.370,3.910
2,2:42,1,10,NYG 25,27,10,Stephen Davis up the middle for 4 yards (tackle by Michael Strahan),3.910,3.900
2,2:00,2,6,NYG 21,27,10,Jake Delhomme pass incomplete intended for Jermaine Wiggins (defended by Johnnie Harris),3.900,3.200
2,1:53,3,6,NYG 21,27,10,"Jake Delhomme pass incomplete intended for Stephen Davis. Penalty on Todd Steussie: Offensive Holding, 10 yards (no play)",3.200,1.880
2,1:46,3,16,NYG 31,27,10,Jake Delhomme sacked by Micheal Barrow and Michael Strahan for -15 yards,1.880,0.200
2,1:34,,,,27,10,Timeout #2 by New York Giants,0.000,0.200
2,1:34,4,31,NYG 46,27,10,"Todd Sauerbrun punts 28 yards, fair catch by Brian Mitchell",0.200,-0.040
2,1:27,1,10,NYG 18,27,10,Tiki Barber right end for 16 yards (tackle by Mike Minter and Reggie Howard),0.040,1.200
2,1:19,1,10,NYG 34,27,10,Jesse Palmer pass incomplete intended for Visanthe Shiancoe,1.200,0.660
2,1:14,2,10,NYG 34,27,10,Jesse Palmer pass complete to Tiki Barber for -5 yards (tackle by Dan Morgan). Penalty on Jeff Roehl: Offensive Holding (Declined),0.660,-0.690
2,1:07,3,15,NYG 29,27,10,Jesse Palmer pass complete to Tiki Barber for -1 yards (tackle by Julius Peppers),-0.690,-1.500
2,0:58,,,,27,10,Timeout #1 by Carolina Panthers,0.000,-1.500
2,0:58,4,16,NYG 28,27,10,Jeff Feagles punts 32 yards,-1.500,-1.600
2,0:49,1,10,CAR 40,27,10,Jake Delhomme pass complete to DeShaun Foster for 5 yards (tackle by Cornelius Griffin),1.600,1.730
2,0:27,2,5,CAR 45,27,10,Jake Delhomme pass complete to Ricky Proehl for 29 yards (tackle by Ike Charlton),1.730,3.840
2,0:18,,,,27,10,Timeout #2 by Carolina Panthers,0.000,3.840
2,0:18,1,10,NYG 26,27,10,Jake Delhomme pass complete to Nick Goings for 9 yards (tackle by Micheal Barrow),3.840,4.640
2,0:09,,,,27,10,Timeout #3 by Carolina Panthers,0.000,4.640
2,0:09,2,1,NYG 17,27,10,Jake Delhomme pass incomplete intended for Steve Smith,4.640,3.950
2,0:04,3,1,NYG 17,30,10,John Kasay 34 yard field goal good,3.950,3.000
Quarter,Time,Down,ToGo,Location,CAR,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 30,30,10,"Matt Bryant kicks off 60 yards, returned by Rod Smart for 24 yards (tackle by Kevin Lewis)",0.000,1.200
3,14:54,1,10,CAR 34,30,10,Jake Delhomme sacked by Michael Strahan for -9 yards,1.200,-0.560
3,14:32,2,19,CAR 25,30,10,DeShaun Foster left guard for 13 yards (tackle by Brandon Short and Cornelius Griffin),-0.560,0.500
3,13:51,3,6,CAR 38,30,10,"Penalty on Todd Steussie: False Start, 5 yards (no play)",0.500,-0.160
3,13:29,3,11,CAR 33,30,10,Jake Delhomme pass incomplete intended for Steve Smith (defended by Frank Walker),-0.160,-1.180
3,13:15,4,11,CAR 33,30,10,"Todd Sauerbrun punts 38 yards, returned by Brian Mitchell for 10 yards (tackle by Kemp Rasmussen)",-1.180,-1.530
3,13:05,1,10,NYG 39,30,10,Jesse Palmer pass incomplete intended for Amani Toomer is intercepted by Reggie Howard at NYG-49 and returned for 2 yards (tackle by Amani Toomer),1.530,-2.460
3,12:58,1,10,NYG 47,30,10,Jake Delhomme for -4 yards (tackle by Keith Washington),2.460,1.370
3,12:21,2,14,CAR 49,30,10,Jake Delhomme pass complete to DeShaun Foster for 1 yard (tackle by Ike Charlton),1.370,0.830
3,11:48,3,13,NYG 50,30,10,Jake Delhomme sacked by Ryan Clark for -7 yards,0.830,-0.520
3,11:17,4,20,CAR 43,30,10,"Penalty on Kemp Rasmussen: False Start, 5 yards (no play)",-0.520,-0.850
3,11:10,4,25,CAR 38,30,10,Todd Sauerbrun punts no gain,-0.850,-6.970
3,10:51,1,1,CAR 1,30,16,"Jesse Palmer pass complete to Visanthe Shiancoe for 1 yard, touchdown",6.970,7.000
3,,,,CAR 2,30,17,Matt Bryant kicks extra point good,0.000,0.000
3,,,,NYG 30,30,17,"Matt Bryant kicks off 61 yards, returned by Rod Smart for 18 yards (tackle by Darnell Dinkins)",0.000,0.740
3,10:38,1,10,CAR 27,30,17,DeShaun Foster up the middle for 9 yards (tackle by William Joseph),0.740,1.410
3,10:06,2,1,CAR 36,30,17,DeShaun Foster right tackle for 1 yard (tackle by Brandon Short and Ray Green),1.410,1.400
3,9:28,1,10,CAR 37,30,17,Nick Goings right end for 5 yards (tackle by Michael Strahan and Johnnie Harris),1.400,1.530
3,8:41,2,5,CAR 42,30,17,Jake Delhomme pass incomplete intended for Steve Smith,1.530,0.830
3,8:34,3,5,CAR 42,30,17,Jake Delhomme pass complete to Ricky Proehl for 13 yards (tackle by Ray Green),0.830,2.590
3,7:59,1,10,NYG 45,30,17,DeShaun Foster right guard for 4 yards (tackle by Michael Strahan),2.590,2.580
3,7:19,2,6,NYG 41,30,17,DeShaun Foster up the middle for -1 yards (tackle by Micheal Barrow),2.580,1.750
3,6:49,3,7,NYG 42,30,17,Jake Delhomme pass complete to Muhsin Muhammad for 16 yards (tackle by Frank Walker),1.750,3.840
3,6:24,1,10,NYG 26,30,17,DeShaun Foster left tackle for -6 yards (tackle by Dhani Jones),3.840,2.490
3,5:39,2,16,NYG 32,30,17,Jake Delhomme pass complete to Muhsin Muhammad for 9 yards (tackle by Frank Walker),2.490,3.010
3,4:53,3,7,NYG 23,30,17,Jake Delhomme pass complete to Muhsin Muhammad for 18 yards (tackle by Ryan Clark). Penalty on Frank Walker: Illegal Contact (Declined),3.010,6.060
3,4:30,1,5,NYG 5,36,17,"Jake Delhomme pass complete to Ricky Proehl for 5 yards, touchdown",6.060,7.000
3,,,,NYG 2,37,17,John Kasay kicks extra point good,0.000,0.000
3,,,,CAR 30,37,17,"John Kasay kicks off 55 yards, returned by Brian Mitchell for 14 yards (tackle by Colin Branch)",0.000,0.870
3,4:16,1,10,NYG 29,37,17,"Penalty on Scott Peters: False Start, 5 yards (no play)",0.870,0.540
3,4:16,1,15,NYG 24,37,17,Brian Mitchell right tackle for 18 yards (tackle by Ricky Manning),0.540,1.730
3,3:43,1,10,NYG 42,37,17,Brian Mitchell right tackle for 1 yard (tackle by Will Witherspoon),1.730,1.320
3,3:10,2,9,NYG 43,37,17,Jesse Palmer pass incomplete,1.320,0.630
3,3:04,,,,37,17,Timeout #1 by Carolina Panthers,0.000,0.630
3,3:04,3,9,NYG 43,37,17,Jesse Palmer pass complete to Willie Ponder for 16 yards (tackle by Dante Wesley),0.630,2.850
3,2:30,1,10,CAR 41,37,17,Brian Mitchell left guard for no gain (tackle by Kindal Moorehead and Dan Morgan),2.850,2.310
3,1:53,2,10,CAR 41,37,17,Jesse Palmer pass incomplete intended for Jim Finn,2.310,1.620
3,1:46,3,10,CAR 41,37,17,Jesse Palmer pass complete to Amani Toomer for 26 yards (tackle by Deon Grant),1.620,4.580
3,1:18,1,10,CAR 15,37,17,Jesse Palmer pass incomplete intended for David Tyree,4.580,3.950
3,1:05,2,10,CAR 15,37,17,Jesse Palmer pass incomplete intended for Amani Toomer (defended by Reggie Howard),3.950,3.100
3,0:59,3,10,CAR 15,37,17,Jesse Palmer pass incomplete intended for Visanthe Shiancoe (defended by Kris Jenkins),3.100,2.440
3,0:53,,,,37,17,Timeout #1 by New York Giants,0.000,2.440
3,0:53,4,10,CAR 15,37,17,Jesse Palmer pass incomplete intended for Visanthe Shiancoe,2.440,0.220
3,0:47,1,10,CAR 15,37,17,DeShaun Foster up the middle for 2 yards (tackle by Osi Umenyiora and Lance LeGree),-0.220,-0.440
Quarter,Time,Down,ToGo,Location,CAR,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,CAR 17,37,17,Jake Delhomme pass incomplete intended for Brad Hoover,-0.440,-1.120
4,14:55,3,8,CAR 17,37,23,"Jake Delhomme sacked by Osi Umenyiora for -10 yards. Jake Delhomme fumbles (forced by Osi Umenyiora), recovered by Keith Washington at CAR-0, touchdown",-1.120,-7.000
4,,,,CAR 2,37,24,Matt Bryant kicks extra point good,0.000,0.000
4,,,,NYG 30,37,24,"Matt Bryant kicks off 56 yards, returned by Rod Smart for 20 yards (tackle by Quincy Monk)",0.000,1.200
4,14:38,1,10,CAR 34,37,24,DeShaun Foster left end for no gain (tackle by Keith Hamilton and Omar Stoutmire),1.200,0.660
4,14:01,2,10,CAR 34,37,24,DeShaun Foster up the middle for 4 yards (tackle by Michael Strahan),0.660,0.500
4,13:18,3,6,CAR 38,37,24,DeShaun Foster right end for 3 yards (tackle by Dhani Jones),0.500,-0.650
4,12:46,4,3,CAR 41,37,24,"Todd Sauerbrun punts 41 yards, returned by Brian Mitchell for 15 yards (tackle by Karl Hankton)",-0.650,-1.140
4,12:28,1,10,NYG 33,37,24,Jesse Palmer pass incomplete intended for David Tyree,1.140,0.590
4,12:20,2,10,NYG 33,37,24,Jesse Palmer pass complete to Tiki Barber for 3 yards (tackle by Greg Favors),0.590,0.300
4,11:46,3,7,NYG 36,37,24,Jesse Palmer pass incomplete intended for Willie Ponder (defended by Dante Wesley),0.300,-0.980
4,11:38,4,7,NYG 36,37,24,"Jeff Feagles punts 38 yards, returned by Steve Smith for -4 yards (tackle by Kevin Lewis)",-0.980,-0.410
4,11:26,1,10,CAR 22,37,24,Jake Delhomme pass complete to Steve Smith for 5 yards (tackle by Ray Green),0.410,0.540
4,11:04,2,5,CAR 27,37,24,DeShaun Foster up the middle for 1 yard (tackle by Keith Hamilton and Kevin Lewis),0.540,-0.030
4,10:21,3,4,CAR 28,37,24,Jake Delhomme sacked by Dhani Jones for -2 yards,-0.030,-1.630
4,10:10,4,6,CAR 26,37,24,"Penalty on NYG: Encroachment, 5 yards (no play)",-1.630,-1.310
4,9:55,4,1,CAR 31,37,24,"Todd Sauerbrun punts 41 yards, fair catch by Brian Mitchell",-1.310,-0.810
4,9:42,1,10,NYG 28,37,24,"Penalty on Shane Burton: Neutral Zone Infraction, 5 yards (no play)",0.810,1.540
4,9:42,1,5,NYG 33,37,24,Tiki Barber left end for 2 yards (tackle by Ricky Manning),1.540,1.210
4,9:04,2,3,NYG 35,37,24,Jesse Palmer sacked by Al Wallace for -4 yards,1.210,-0.030
4,8:37,3,7,NYG 31,37,24,"Penalty on Al Wallace: Defensive Offside, 5 yards (no play)",-0.030,0.630
4,8:22,3,2,NYG 36,37,24,Tiki Barber left end for 11 yards (tackle by Al Wallace and Deon Grant),0.630,2.060
4,7:41,1,10,NYG 47,37,24,Jesse Palmer pass complete to Willie Ponder for 2 yards (tackle by Dante Wesley),2.060,1.790
4,7:03,2,8,NYG 49,37,24,Jesse Palmer pass complete to Darnell Dinkins for 10 yards (tackle by Reggie Howard),1.790,2.850
4,6:37,1,10,CAR 41,37,24,Jesse Palmer pass incomplete intended for Amani Toomer (defended by Dante Wesley),2.850,2.310
4,6:28,2,10,CAR 41,37,24,Dorsey Levens up the middle for -3 yards (tackle by Dan Morgan),2.310,1.220
4,5:51,3,13,CAR 44,37,24,Jesse Palmer pass incomplete intended for Amani Toomer,1.220,0.330
4,5:41,,,,37,24,Timeout #2 by New York Giants,0.000,0.330
4,5:41,4,13,CAR 44,37,24,"Jesse Palmer pass incomplete intended for Willie Ponder. Penalty on Dante Wesley: Defensive Pass Interference, 21 yards (no play)",0.330,4.040
,,,,,,,"CAR challenged the ruling, and the play was upheld.",,
4,5:36,1,10,CAR 23,37,24,Jesse Palmer pass complete to David Tyree for 4 yards (tackle by Greg Favors),4.040,4.050
4,5:09,2,6,CAR 19,37,24,Jesse Palmer pass complete to Amani Toomer for 5 yards (tackle by Ricky Manning),4.050,4.280
4,4:44,3,1,CAR 14,37,24,Dorsey Levens right end for 2 yards (tackle by Dan Morgan),4.280,4.780
4,4:03,1,10,CAR 12,37,24,Jesse Palmer pass incomplete intended for Tiki Barber,4.780,4.100
4,3:58,2,10,CAR 12,37,24,Jesse Palmer pass complete to Jim Finn for -1 yards (tackle by Greg Favors),4.100,3.100
4,3:26,3,11,CAR 13,37,24,Jesse Palmer pass incomplete intended for Amani Toomer (defended by Deon Grant),3.100,2.570
4,3:12,4,11,CAR 13,37,24,Jesse Palmer pass incomplete intended for David Tyree,2.570,0.320
4,3:06,1,10,CAR 13,37,24,DeShaun Foster up the middle for 1 yard (tackle by Johnnie Harris),-0.320,-0.680
4,2:28,2,9,CAR 14,37,24,DeShaun Foster right guard for 3 yards (tackle by Kevin Lewis and Micheal Barrow),-0.680,-0.940
4,2:18,,,,37,24,Timeout #3 by New York Giants,0.000,-0.940
4,2:18,3,6,CAR 17,37,24,Nick Goings right end for 8 yards (tackle by Cornelius Griffin),-0.940,0.610
4,2:00,1,10,CAR 25,37,24,Jake Delhomme kneels for -1 yards,0.610,-0.070
4,1:20,2,11,CAR 24,37,24,Jake Delhomme kneels for -1 yards,-0.070,-0.890
4,0:37,3,12,CAR 23,37,24,Jake Delhomme kneels for -1 yards,-0.890,-1.900
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
