Quarter,Time,Down,ToGo,Location,SDG,STL,Detail,EPB,EPA
2,5:30,1,10,STL 46,17,7,Marshall Faulk middle for 7 yards (tackle by Rodney Harrison),1.990,2.400
2,4:51,2,3,SDG 47,17,7,Marshall Faulk left end for 11 yards (tackle by Alex Molden),2.400,3.180
2,4:08,2,3,SDG 47,,,Timeout #1 by Los Angeles Rams,2.400,3.180
2,4:08,1,10,SDG 36,17,7,Marc Bulger pass complete to Ernie Conwell for 3 yards (tackle by Quentin Jammer),3.180,3.040
2,3:26,2,7,SDG 33,17,7,Marc Bulger pass complete to Torry Holt for 16 yards (tackle by Alex Molden),3.040,4.440
2,3:02,1,10,SDG 17,17,7,Marshall Faulk left tackle for 2 yards (tackle by Donnie Edwards),4.440,4.150
2,2:17,2,8,SDG 15,17,7,Marshall Faulk left end for 1 yard (tackle by Ryan McNeil),4.150,3.500
2,2:00,3,7,SDG 14,17,7,Marc Bulger pass complete to Isaac Bruce for 7 yards (tackle by Ryan McNeil),3.500,5.600
2,1:54,1,7,SDG 7,17,7,Marshall Faulk left tackle for 3 yards (tackle by Rodney Harrison),5.600,5.340
2,1:12,2,4,SDG 4,17,7,Marshall Faulk left guard for -2 yards (tackle by Raylee Johnson and Donnie Edwards),5.340,4.040
2,0:27,3,6,SDG 6,17,7,"Marc Bulger pass complete to Marshall Faulk for 2 yards (tackle by Marcellus Wiley). Marshall Faulk fumbles (forced by Marcellus Wiley), recovered by Ryan McNeil at SDG-4 and returned for 12 yards (tackle by Orlando Pace)",4.040,0.140
2,0:15,1,10,SDG 16,17,7,Drew Brees middle for -1 yards (tackle by Ryan Pickett),-0.140,-0.780
Quarter,Time,Down,ToGo,Location,SDG,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,17,7,"Jeff Wilkins kicks off 68 yards, returned by Ronney Jenkins for 25 yards (tackle by O.J. Brigance)",0.000,0.740
3,14:54,1,10,SDG 27,17,7,LaDainian Tomlinson right tackle for 15 yards (tackle by Adam Archuleta and Tommy Polley),0.740,1.730
3,14:16,1,10,SDG 42,17,7,LaDainian Tomlinson right end for 9 yards (tackle by Don Davis and Travis Fisher),1.730,2.400
3,13:32,2,1,STL 49,17,7,LaDainian Tomlinson middle for 3 yards (tackle by Brian Young),2.400,2.520
3,12:56,1,10,STL 46,17,7,Drew Brees pass incomplete intended for Tim Dwight,2.520,1.980
3,12:51,2,10,STL 46,17,7,"Penalty on LaDainian Tomlinson: False Start, 5 yards (no play)",1.980,1.300
3,12:51,2,15,SDG 49,17,7,Tim Dwight right end for -3 yards (tackle by Leonard Little),1.300,0.230
3,12:27,3,18,SDG 46,17,7,Drew Brees pass complete to Terrell Fletcher for 13 yards (tackle by James Whitley),0.230,0.530
3,11:41,4,5,STL 41,17,7,"Darren Bennett punts 28 yards, fair catch by Terrence Wilkins",0.530,0.320
3,11:34,4,5,STL 41,,,Timeout #1 by Los Angeles Rams,0.530,0.320
3,11:34,1,10,STL 13,17,7,Marc Bulger pass incomplete intended for Torry Holt. Penalty on STL: Illegal Formation (Declined),-0.320,-0.770
3,11:27,2,10,STL 13,17,7,Marshall Faulk left tackle for no gain (tackle by Junior Seau),-0.770,-1.420
3,10:50,3,10,STL 13,17,7,Marc Bulger pass complete to Ricky Proehl for 21 yards (tackle by Alex Molden),-1.420,1.200
3,10:14,1,10,STL 34,17,7,Marc Bulger pass incomplete intended for Isaac Bruce,1.200,0.660
3,10:05,1,10,STL 34,,,Timeout #2 by Los Angeles Rams,1.200,0.660
3,10:05,2,10,STL 34,17,7,Marc Bulger pass complete to Torry Holt for 39 yards (tackle by Rogers Beckett),0.660,3.780
3,9:21,1,10,SDG 27,17,13,"Marc Bulger pass complete to Isaac Bruce for 27 yards, touchdown. Penalty on Ryan McNeil: Defensive Pass Interference (Declined)",3.780,7.000
3,9:21,,,SDG 27,17,14,Jeff Wilkins kicks extra point good,0.000,0.000
3,9:21,,,STL 30,17,14,"Jeff Wilkins kicks off 59 yards, returned by Ronney Jenkins for 22 yards (tackle by Nick Sorensen)",0.000,1.140
3,9:06,1,10,SDG 33,17,14,"Penalty on Ed Ellis: False Start, 5 yards (no play)",1.140,0.810
3,9:06,1,15,SDG 28,17,14,Drew Brees pass complete to Tim Dwight for 14 yards (tackle by Travis Fisher),0.810,1.810
3,8:56,2,1,SDG 42,17,14,Drew Brees pass complete to Tim Dwight for 5 yards (tackle by Dre' Bly),1.810,2.060
3,8:17,1,10,SDG 47,17,14,Drew Brees pass incomplete intended for Stephen Alexander is intercepted by Kim Herring at STL-38 and returned for 2 yards,2.060,-1.600
3,8:07,1,10,STL 40,17,14,Marshall Faulk left end for 4 yards (tackle by Jason Fisk),1.600,1.590
3,7:27,2,6,STL 44,17,14,Marc Bulger pass complete to Torry Holt for 11 yards (tackle by Davis Sanchez),1.590,2.590
3,6:42,1,10,SDG 45,17,14,Marshall Faulk right tackle for 3 yards (tackle by Jason Fisk and Rodney Harrison),2.590,2.450
3,6:00,2,7,SDG 42,17,14,Marc Bulger pass complete to Brandon Manumaleuna for 27 yards (tackle by Rogers Beckett),2.450,4.580
3,5:28,1,10,SDG 15,23,14,"Marc Bulger pass complete to Isaac Bruce for 4 yards (tackle by Ben Leber). Isaac Bruce fumbles (forced by Ben Leber), recovered by Donnie Edwards at SDG-18 and returned for 82 yards, touchdown",4.580,-7.000
3,5:09,,,STL 15,24,14,Steve Christie kicks extra point good,0.000,0.000
3,5:09,,,SDG 30,24,14,"Wade Richey kicks off 76 yards, touchback",0.000,0.280
3,5:09,1,10,STL 20,24,14,Marc Bulger pass complete to Marshall Faulk for 13 yards (tackle by Rodney Harrison),0.280,1.140
3,4:21,1,10,STL 33,24,14,Marc Bulger pass complete to James Hodgins for 11 yards (tackle by Junior Seau),1.140,1.860
3,3:39,1,10,STL 44,24,14,"Marc Bulger pass incomplete intended for Lamar Gordon (defended by Marcellus Wiley). Penalty on DeQuincy Scott: Roughing the Passer, 15 yards (no play)",1.860,2.850
3,3:30,1,10,SDG 41,24,14,"Marc Bulger pass complete to Torry Holt for 17 yards. Penalty on Adam Timmerman: Offensive Holding, 10 yards (no play)",2.850,2.190
3,3:07,1,20,STL 49,24,14,Marc Bulger pass incomplete intended for Torry Holt (defended by Junior Seau),2.190,0.960
3,2:59,2,20,STL 49,24,14,Marc Bulger pass complete to Marshall Faulk for 5 yards (tackle by Vernon Fox),0.960,0.960
3,2:16,3,15,SDG 46,24,14,Marc Bulger pass incomplete intended for Isaac Bruce,0.960,0.200
,,,,,,,"STL challenged the ruling, and the play was upheld.",,
3,2:08,4,15,SDG 46,24,14,"Mitch Berger punts 35 yards, fair catch by Tim Dwight",0.200,0.370
3,2:02,1,10,SDG 11,24,14,LaDainian Tomlinson right tackle for no gain (tackle by Adam Archuleta),-0.370,-0.780
3,1:22,2,10,SDG 11,24,14,LaDainian Tomlinson left end for 3 yards (tackle by Tommy Polley),-0.780,-1.070
3,0:49,2,10,SDG 11,,,Timeout #1 by Los Angeles Chargers,-0.780,-1.070
3,0:49,3,7,SDG 14,24,14,"LaDainian Tomlinson left tackle for 22 yards. Penalty on Ed Ellis: Face Mask (15 Yards), 7 yards (no play)",-1.070,-1.890
3,0:21,3,14,SDG 7,24,14,LaDainian Tomlinson left tackle for 3 yards (tackle by Damione Lewis),-1.890,-2.490
Quarter,Time,Down,ToGo,Location,SDG,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,11,SDG 10,24,14,"Darren Bennett punts 48 yards, returned by Terrence Wilkins for no gain, lateral to Dre' Bly for no gain (tackle by Fred McCrary). Penalty on Terrence Wilkins: Illegal Forward Pass, 5 yards",-2.490,-1.400
4,14:46,1,10,STL 37,24,14,Marc Bulger pass incomplete intended for Terrence Wilkins,1.400,0.860
4,14:41,2,10,STL 37,24,14,"Marc Bulger pass complete to Isaac Bruce for 7 yards (tackle by Junior Seau). Isaac Bruce fumbles (forced by Junior Seau), recovered by Leonardo Carson at STL-45",0.860,-2.590
4,14:28,1,10,STL 45,24,14,LaDainian Tomlinson right end for 6 yards (tackle by Jamie Duncan),2.590,2.850
4,13:52,2,4,STL 39,24,14,LaDainian Tomlinson left tackle for 7 yards (tackle by Adam Archuleta),2.850,3.450
4,13:03,1,10,STL 32,24,14,Drew Brees pass incomplete intended for Stephen Alexander,3.450,2.900
4,12:57,2,10,STL 32,24,14,Drew Brees pass incomplete intended for Tim Dwight,2.900,2.210
4,12:52,3,10,STL 32,24,14,LaDainian Tomlinson middle for no gain (tackle by Adam Archuleta),2.210,1.240
4,12:09,4,10,STL 32,24,14,"Darren Bennett punts 17 yards, out of bounds",1.240,0.220
4,12:01,1,10,STL 15,24,14,Marshall Faulk middle for 2 yards (tackle by Adrian Dingle),-0.220,-0.440
4,11:25,2,8,STL 17,24,14,Marc Bulger pass complete to Marshall Faulk for 3 yards (tackle by Donnie Edwards),-0.440,-0.760
4,11:01,3,5,STL 20,24,14,Marc Bulger pass incomplete intended for Ricky Proehl,-0.760,-2.030
4,10:49,4,5,STL 20,24,14,"Mitch Berger punts 54 yards, returned by Tim Dwight for 9 yards (tackle by Leonard Little)",-2.030,-1.270
4,10:38,1,10,SDG 35,24,14,Curtis Conway right end for 6 yards (tackle by Jamie Duncan),1.270,1.530
4,10:08,2,4,SDG 41,24,14,LaDainian Tomlinson right tackle for 5 yards (tackle by Brian Young),1.530,1.990
4,9:24,1,10,SDG 46,24,14,LaDainian Tomlinson right tackle for 30 yards (tackle by Kim Herring),1.990,3.970
4,8:50,1,10,STL 24,24,14,"Terrell Fletcher left end for 4 yards. Penalty on Jason Ball: Offensive Holding, 10 yards (no play)",3.970,3.310
4,8:23,1,20,STL 34,24,14,"LaDainian Tomlinson left end for no gain (tackle by Dre' Bly). Penalty on Ryan Pickett: Defensive Offside, 5 yards (no play)",3.310,3.640
4,7:55,1,15,STL 29,24,14,LaDainian Tomlinson right guard for 2 yards (tackle by Jeff Zgonina),3.640,3.030
4,7:16,2,13,STL 27,24,14,LaDainian Tomlinson right guard for no gain (tackle by Ryan Pickett),3.030,2.350
4,6:32,3,13,STL 27,24,14,"Terrell Fletcher left tackle for 4 yards. Penalty on Toniu Fonoti: Offensive Holding, 10 yards (no play)",2.350,1.030
4,6:10,3,23,STL 37,24,14,Drew Brees right end for 4 yards (tackle by Grant Wistrom),1.030,1.150
4,5:40,4,19,STL 33,24,14,Penalty on Darren Bennett: Delay of Game (Declined),1.150,1.150
4,5:08,4,19,STL 33,24,14,Darren Bennett punts 27 yards,1.150,0.380
4,4:58,1,10,STL 6,24,14,"Marc Bulger pass complete to Lamar Gordon for 5 yards. Penalty on Junior Seau: Defensive Offside, 5 yards (no play)",-0.380,-0.160
4,4:51,1,5,STL 11,24,14,Marc Bulger pass complete to Torry Holt for 16 yards (tackle by Junior Seau),-0.160,0.740
4,4:29,1,10,STL 27,24,14,Marc Bulger pass incomplete intended for Torry Holt,0.740,0.200
4,4:25,2,10,STL 27,24,14,Marc Bulger pass complete to Isaac Bruce for 23 yards (tackle by Quentin Jammer),0.200,2.260
4,4:01,1,10,,24,14,Marc Bulger pass complete to Ricky Proehl for 10 yards (tackle by Donnie Edwards),2.260,2.920
4,3:38,1,10,SDG 40,24,14,Marc Bulger pass complete to Ricky Proehl for 6 yards (tackle by Ryan McNeil),2.920,3.180
4,3:13,2,4,SDG 34,24,20,"Marc Bulger pass complete to Isaac Bruce for 34 yards, touchdown",3.180,7.000
4,3:13,,,SDG 34,24,21,Jeff Wilkins kicks extra point good,0.000,0.000
4,3:13,,,STL 30,24,21,"Jeff Wilkins kicks onside 16 yards, recovered by Dre' Bly (onside kick successful)",0.000,1.990
4,3:06,1,10,STL 46,24,21,"Penalty on Torry Holt: False Start, 5 yards (no play)",1.990,1.660
4,3:06,1,15,STL 41,24,21,Marc Bulger pass complete to Lamar Gordon for 13 yards (tackle by Junior Seau),1.660,2.530
4,2:42,2,2,SDG 46,24,21,Marc Bulger pass complete to Lamar Gordon for 5 yards (tackle by Quentin Jammer),2.530,2.850
4,2:13,1,10,SDG 41,24,21,Marc Bulger pass complete to Lamar Gordon for 2 yards (tackle by Vernon Fox),2.850,2.580
4,2:08,2,8,SDG 39,24,21,"Penalty on Andy McCollum: False Start, 5 yards (no play)",2.580,1.900
4,2:08,2,13,SDG 44,24,21,Lamar Gordon right end for 9 yards (tackle by Quentin Jammer),1.900,2.410
4,2:00,3,4,SDG 35,24,21,Marc Bulger pass complete to Torry Holt for 11 yards (tackle by Ryan McNeil),2.410,3.970
4,1:43,1,10,SDG 24,24,21,Marc Bulger pass incomplete,3.970,3.430
4,1:42,2,10,SDG 24,24,21,Marc Bulger pass complete to Isaac Bruce for 17 yards (tackle by Rodney Harrison),3.430,5.600
4,1:25,2,10,SDG 24,,,Timeout #2 by Los Angeles Chargers,3.430,5.600
4,1:25,1,7,SDG 7,24,21,Marc Bulger pass incomplete intended for Lamar Gordon,5.600,4.760
4,1:19,2,7,SDG 7,24,27,"Marc Bulger pass complete to Isaac Bruce for 7 yards, touchdown",4.760,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,1:19,,,SDG 7,24,28,Jeff Wilkins kicks extra point good,0.000,0.000
4,1:19,,,STL 30,24,28,"Jeff Wilkins kicks off 68 yards, returned by Ronney Jenkins for 52 yards (tackle by Jeff Wilkins)",0.000,2.520
4,1:05,1,10,STL 46,24,28,Drew Brees sacked by Tyoka Jackson for -9 yards,2.520,0.760
4,0:40,2,19,SDG 45,24,28,Drew Brees pass incomplete intended for Terrell Fletcher,0.760,0.100
4,0:39,3,19,SDG 45,24,28,"Penalty on SDG: False Start, 5 yards (no play)",0.100,-0.560
4,0:39,3,24,SDG 40,24,28,Drew Brees pass complete to Stephen Alexander for 12 yards (tackle by James Whitley),-0.560,0.070
4,0:33,4,12,STL 48,24,28,Drew Brees pass complete to Reche Caldwell for 18 yards (tackle by Travis Fisher),0.070,3.580
4,0:25,4,12,STL 48,,,Timeout #3 by Los Angeles Chargers,0.070,3.580
4,0:25,1,10,STL 30,24,28,Drew Brees pass incomplete intended for Curtis Conway (defended by Kim Herring),3.580,3.030
4,0:18,2,10,STL 30,24,28,"Drew Brees pass incomplete intended for Reche Caldwell is intercepted by Dexter McCleon at STL-0. Penalty on STL: Unsportsmanlike Conduct, 10 yards",3.030,0.380
4,0:11,1,10,STL 10,24,28,Marc Bulger for -1 yards (tackle by Jamal Williams),-0.380,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
