Quarter,Time,Down,ToGo,Location,TEN,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 30,10,7,"Joe Nedney kicks off 65 yards, returned by Ken-Yon Rambo for 20 yards (tackle by Rich Coady)",0.000,0.610
3,14:55,1,10,DAL 25,10,7,Quincy Carter pass complete to Joey Galloway for 14 yards (tackle by Lance Schulters),0.610,1.530
3,14:31,1,10,DAL 39,10,7,Emmitt Smith middle for 1 yard (tackle by Keith Bulluck),1.530,1.120
3,14:00,2,9,DAL 40,10,7,Quincy Carter right end for 1 yard (tackle by Lance Schulters),1.120,0.560
3,13:20,3,8,DAL 41,10,7,Quincy Carter middle for 9 yards (tackle by Lance Schulters),0.560,2.260
3,12:33,1,10,TEN 50,10,7,Emmitt Smith middle for -2 yards (tackle by Juqua Parker),2.260,1.440
3,11:54,2,12,DAL 48,10,7,Emmitt Smith right guard for 7 yards (tackle by Tank Williams and Kevin Aldridge),1.440,1.690
3,11:25,3,5,TEN 45,10,7,Quincy Carter pass incomplete intended for Antonio Bryant,1.690,0.270
3,11:21,4,5,TEN 45,10,7,Micah Knorr punts 33 yards,0.270,0.350
3,11:10,1,10,TEN 12,10,7,Eddie George right guard for 3 yards (tackle by Greg Ellis),-0.350,-0.500
3,10:31,2,7,TEN 15,10,7,Eddie George right end for 3 yards (tackle by La'Roi Glover and Greg Ellis),-0.500,-0.720
3,9:47,3,4,TEN 18,10,7,Steve McNair pass complete to Kevin Dyson for 11 yards (tackle by Mario Edwards),-0.720,0.870
3,9:05,1,10,TEN 29,10,7,Mike Green middle for 12 yards (tackle by Lynn Scott),0.870,1.660
3,8:17,1,10,TEN 29,,,Timeout #1 by Tennessee Titans,0.870,1.660
3,8:11,1,10,TEN 41,10,7,Steve McNair pass incomplete intended for Derrick Mason,1.660,1.120
3,8:11,2,10,TEN 41,10,7,Steve McNair pass complete to Kevin Dyson for 4 yards (tackle by Duane Hawthorne),1.120,0.960
3,7:24,3,6,TEN 45,10,7,Steve McNair pass incomplete intended for Kevin Dyson,0.960,-0.390
3,7:20,4,6,TEN 45,10,7,"Craig Hentrich punts 55 yards, touchback",-0.390,-0.280
3,7:08,1,10,DAL 20,10,7,Quincy Carter pass complete to Joey Galloway for 7 yards (tackle by Samari Rolle),0.280,0.680
3,6:36,2,3,DAL 27,10,7,Emmitt Smith left tackle for 2 yards (tackle by Keith Bulluck),0.680,0.230
3,5:58,3,1,DAL 29,10,7,Emmitt Smith right tackle for no gain (tackle by Tank Williams),0.230,-1.440
3,5:20,4,1,DAL 29,10,7,"Micah Knorr punts 50 yards, returned by Derrick Mason for -3 yards (tackle by Derek Ross)",-1.440,-0.040
3,5:07,1,10,TEN 18,10,7,Eddie George right tackle for 2 yards (tackle by Ebenezer Ekuban),0.040,-0.130
3,4:28,2,8,TEN 20,10,7,Steve McNair pass complete to Eddie George for 7 yards (tackle by Dexter Coakley),-0.130,-0.020
3,3:52,3,1,TEN 27,10,7,Steve McNair pass complete to Derrick Mason for 20 yards (tackle by Randal Williams),-0.020,2.060
3,3:23,1,10,TEN 47,10,13,"Steve McNair pass incomplete intended for Derrick Mason is intercepted by Dexter Coakley at DAL-48 and returned for 52 yards, touchdown",2.060,-7.000
3,3:10,,,TEN 47,10,14,Billy Cundiff kicks extra point good,0.000,0.000
3,3:10,,,DAL 45,10,14,"Micah Knorr kicks off 55 yards, touchback",0.000,0.280
3,3:10,1,10,TEN 20,10,14,Eddie George middle for 3 yards (tackle by Michael Myers),0.280,0.140
3,2:28,2,7,TEN 23,10,14,Steve McNair pass complete to Drew Bennett for 7 yards (tackle by Duane Hawthorne),0.140,0.940
3,1:41,1,10,TEN 30,10,14,Steve McNair pass complete to Mike Green for 12 yards (tackle by Darren Woodson),0.940,1.730
3,0:57,1,10,TEN 42,10,14,Steve McNair pass complete to Derrick Mason for 18 yards (tackle by Duane Hawthorne),1.730,2.920
3,0:07,1,10,DAL 40,10,14,Steve McNair pass incomplete intended for Mike Green (defended by Dexter Coakley),2.920,2.370
3,0:07,2,10,DAL 40,10,14,Steve McNair pass incomplete intended for Derrick Mason (defended by Duane Hawthorne),2.370,1.680
Quarter,Time,Down,ToGo,Location,TEN,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,10,DAL 40,10,14,Steve McNair pass incomplete intended for Frank Wycheck,1.680,0.590
4,14:57,4,10,DAL 40,10,14,Craig Hentrich punts 35 yards,0.590,0.380
4,14:47,1,10,DAL 5,10,14,Emmitt Smith right end for -1 yards (tackle by Peter Sirmon),-0.380,-0.850
4,14:07,2,11,DAL 4,10,14,Quincy Carter pass incomplete intended for James Whalen,-0.850,-1.540
4,14:01,3,11,DAL 4,10,14,Quincy Carter pass complete to Ken-Yon Rambo for 12 yards (tackle by Andre Dyson),-1.540,-0.140
4,13:35,1,10,DAL 16,10,14,Emmitt Smith right tackle for -1 yards (tackle by Albert Haynesworth),-0.140,-0.780
4,12:58,2,11,DAL 15,10,14,Quincy Carter pass complete to Antonio Bryant for 44 yards (tackle by Andre Dyson),-0.780,2.850
4,12:04,1,10,TEN 41,10,14,Emmitt Smith middle for 3 yards (tackle by Kevin Carter),2.850,2.710
4,11:34,2,7,TEN 38,10,20,"Quincy Carter pass complete to Joey Galloway for 38 yards, touchdown",2.710,7.000
4,11:34,,,TEN 38,10,21,Billy Cundiff kicks extra point good,0.000,0.000
4,11:34,,,DAL 30,10,21,"Micah Knorr kicks off 69 yards, returned by John Simon for 23 yards (tackle by Ken-Yon Rambo)",0.000,0.540
4,11:18,1,10,TEN 24,10,21,Steve McNair middle for 9 yards (tackle by Michael Myers),0.540,1.210
4,10:36,2,1,TEN 33,10,21,Eddie George right end for 4 yards (tackle by Brandon Noble),1.210,1.400
4,10:00,1,10,TEN 37,10,21,Steve McNair pass incomplete intended for Eddie George,1.400,0.860
4,9:55,2,10,TEN 37,10,21,Steve McNair pass incomplete intended for Mike Green,0.860,0.170
4,9:50,3,10,TEN 37,10,21,Steve McNair pass incomplete intended for Frank Wycheck (defended by Dexter Coakley),0.170,-0.910
4,9:42,4,10,TEN 37,10,21,"Craig Hentrich punts 52 yards, returned by Joey Galloway for -3 yards (tackle by Darrell Hill)",-0.910,0.380
4,9:29,1,10,DAL 8,10,21,Emmitt Smith left guard for no gain (tackle by Juqua Parker),-0.380,-0.780
4,8:47,2,10,DAL 8,10,21,Quincy Carter pass incomplete intended for Joey Galloway,-0.780,-1.420
4,8:43,3,10,DAL 8,10,21,Michael Wiley left tackle for 3 yards (tackle by Lance Schulters),-1.420,-2.490
4,8:05,4,7,DAL 11,10,21,"Micah Knorr punts 52 yards, out of bounds",-2.490,-1.400
4,7:54,1,10,TEN 37,10,21,Steve McNair sacked by Greg Ellis for -7 yards,1.400,-0.090
4,7:26,2,17,TEN 30,10,21,Steve McNair pass complete to Kevin Dyson for 10 yards (tackle by Mario Edwards),-0.090,0.560
4,6:57,3,7,TEN 40,10,21,Steve McNair pass incomplete intended for Drew Bennett,0.560,-0.720
4,6:52,4,7,TEN 40,10,21,Craig Hentrich pass complete to Greg Comella for 17 yards (tackle by Randal Williams),-0.720,2.720
4,5:59,1,10,DAL 43,10,21,Steve McNair pass incomplete intended for Frank Wycheck (defended by Derek Ross),2.720,2.180
4,5:53,2,10,DAL 43,10,21,Steve McNair pass complete to Derrick Mason for 8 yards (tackle by Darren Woodson),2.180,2.540
4,5:34,3,2,DAL 35,10,21,Steve McNair pass incomplete intended for Justin McCareins (defended by Duane Hawthorne),2.540,0.990
4,5:23,4,2,DAL 35,13,21,Joe Nedney 53 yard field goal good,0.990,3.000
4,5:23,,,TEN 30,13,21,"Joe Nedney kicks off 78 yards, touchback",0.000,0.280
4,5:18,1,10,DAL 20,13,21,"Quincy Carter pass incomplete intended for Joey Galloway. Penalty on Samari Rolle: Defensive Pass Interference, 15 yards (no play)",0.280,1.270
4,5:13,1,10,DAL 35,13,21,Emmitt Smith right tackle for 22 yards (tackle by Lance Schulters),1.270,2.720
4,4:24,1,10,TEN 43,13,21,Troy Hambrick left tackle for 1 yard (tackle by Tank Williams),2.720,2.310
4,3:40,2,9,TEN 42,13,21,Quincy Carter pass incomplete intended for Emmitt Smith,2.310,1.620
4,3:36,3,9,TEN 42,13,21,Quincy Carter pass incomplete intended for Darnay Scott,1.620,0.460
4,3:29,4,9,TEN 42,13,21,"Micah Knorr punts 42 yards, touchback",0.460,-0.280
4,3:21,1,10,TEN 20,13,21,Steve McNair pass complete to Eddie George for 9 yards (tackle by La'Roi Glover),0.280,0.950
4,2:56,2,1,TEN 29,13,21,Steve McNair pass complete to Frank Wycheck for 15 yards (tackle by Mario Edwards),0.950,1.860
4,2:49,1,10,TEN 44,13,21,Steve McNair pass incomplete intended for Frank Wycheck,1.860,1.320
4,2:42,2,10,TEN 44,13,21,Steve McNair left end for 1 yard (tackle by Randal Williams),1.320,0.760
4,2:34,3,9,TEN 45,13,21,Steve McNair sacked by Greg Ellis for -9 yards,0.760,-0.980
4,2:24,4,18,TEN 36,13,21,"Craig Hentrich punts 52 yards, fair catch by Joey Galloway",-0.980,0.350
4,2:15,1,10,DAL 12,13,21,Emmitt Smith right guard for 2 yards (tackle by Frank Chamberlin),-0.350,-0.610
4,2:10,1,10,DAL 12,,,Timeout #2 by Tennessee Titans,-0.350,-0.610
4,2:04,2,8,DAL 14,13,21,Michael Wiley right end for -5 yards (tackle by Keith Bulluck),-0.610,-1.770
4,2:04,2,8,DAL 14,,,Timeout #3 by Tennessee Titans,-0.610,-1.770
4,2:04,3,13,DAL 9,13,21,Quincy Carter pass complete to Ken-Yon Rambo for 8 yards (tackle by Mike Echols),-1.770,-2.320
4,1:55,4,5,DAL 17,13,21,Micah Knorr punts 33 yards,-2.320,-2.260
4,1:48,1,10,DAL 50,13,21,Steve McNair pass complete to Kevin Dyson for 18 yards (tackle by Mario Edwards),2.260,3.450
4,1:23,1,10,DAL 32,13,21,"Penalty on Benji Olson: False Start, 5 yards (no play)",3.450,3.120
4,1:21,1,15,DAL 37,13,21,Steve McNair pass incomplete intended for Frank Wycheck,3.120,2.230
4,1:17,2,15,DAL 37,13,21,Steve McNair pass incomplete intended for Kevin Dyson,2.230,1.550
4,1:12,3,15,DAL 37,13,21,Steve McNair pass incomplete intended for Kevin Dyson (defended by Mario Edwards),1.550,0.790
4,1:12,4,15,DAL 37,13,21,--,0.790,0.790
4,1:04,4,15,DAL 37,13,21,"Penalty on TEN: Delay of Game, 5 yards (no play)",0.790,0.460
4,1:04,4,20,DAL 42,13,21,Steve McNair pass incomplete intended for Drew Bennett,0.460,-1.730
4,0:58,1,10,DAL 42,13,21,Quincy Carter for -1 yards,1.730,1.050
4,0:33,2,11,DAL 41,13,21,Quincy Carter for -2 yards,1.050,0.100
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
