Quarter,Time,Down,ToGo,Location,SEA,CAR,Detail,EPB,EPA
3,1:02,3,24,SEA 43,14,31,Russell Wilson pass complete short left to Marshawn Lynch for 11 yards (tackle by Luke Kuechly),-0.360,0.200
3,0:35,4,13,CAR 46,14,31,"Jon Ryan punts 34 yards, muffed catch by Ted Ginn, recovered by Ted Ginn and returned for no gain",0.200,0.350
3,0:26,1,10,CAR 12,14,31,Jonathan Stewart left guard for 4 yards (tackle by Michael Bennett and K.J. Wright),-0.350,-0.370
Quarter,Time,Down,ToGo,Location,SEA,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,CAR 16,14,31,Cam Newton middle for 3 yards (tackle by K.J. Wright),-0.370,-0.600
4,14:17,3,3,CAR 19,14,31,Cam Newton pass complete short right to Ed Dickson for 6 yards (tackle by DeShawn Shead),-0.600,0.610
4,13:30,1,10,CAR 25,14,31,Cam Newton pass complete short middle to Jonathan Stewart for 5 yards (tackle by Bobby Wagner),0.610,0.740
4,12:44,2,5,CAR 30,14,31,Jonathan Stewart middle for -1 yards (tackle by Cassius Marsh and Demarcus Dobbs),0.740,0.740
4,11:58,2,5,CAR 30,14,31,Timeout #2 by Carolina Panthers,0.740,-0.100
4,11:58,3,6,CAR 29,14,31,Cam Newton pass complete short left to Greg Olsen for 6 yards (tackle by Kam Chancellor),-0.100,1.270
4,11:24,1,10,CAR 35,14,31,Cam Newton pass complete short right to Corey Brown for 5 yards (tackle by DeShawn Shead),1.270,1.400
4,10:54,2,5,CAR 40,14,31,Jonathan Stewart right end for 3 yards (tackle by Marcus Burley),1.400,1.090
4,10:19,3,2,CAR 43,14,31,Cam Newton middle for -5 yards (tackle by K.J. Wright),1.090,-0.850
4,9:37,4,7,CAR 38,14,31,Brad Nortman punts 35 yards,-0.850,-0.740
4,9:32,1,10,SEA 27,14,31,Russell Wilson pass incomplete deep left intended for Jermaine Kearse,0.740,0.200
4,9:27,2,10,SEA 27,14,31,Russell Wilson pass complete deep right to Tyler Lockett for 27 yards,0.200,2.520
,,,,,,,"SEA challenged the incomplete pass ruling, and the original play was overturned.",,
4,9:03,1,10,CAR 46,14,31,Russell Wilson pass complete short left to Jermaine Kearse for 15 yards (tackle by Robert McClain),2.520,3.510
4,8:25,1,10,CAR 31,14,31,Russell Wilson pass complete short right to Luke Willson for 10 yards (tackle by Charles Johnson),3.510,4.170
4,7:52,1,10,CAR 21,14,31,Russell Wilson pass complete short left to Jermaine Kearse for 6 yards (tackle by Robert McClain),4.170,4.550
4,7:25,2,4,CAR 15,14,31,Marshawn Lynch left guard for 8 yards (tackle by Luke Kuechly),4.550,5.600
4,6:55,1,7,CAR 7,14,31,Russell Wilson pass incomplete short left intended for Luke Willson,5.600,4.760
4,6:50,2,7,CAR 7,14,31,Russell Wilson pass complete short left to Marshawn Lynch for 4 yards (tackle by Thomas Davis and Luke Kuechly),4.760,4.720
4,6:11,3,3,CAR 3,20,31,"Russell Wilson pass complete short right to Jermaine Kearse for 3 yards, touchdown",4.720,7.000
4,6:11,,,CAR 3,21,31,Steven Hauschka kicks extra point good,0.000,0.000
4,6:11,,,SEA 35,21,31,"Steven Hauschka kicks off 45 yards, returned by Joe Webb for 11 yards (tackle by Brock Coyle)",0.000,-1.000
4,5:59,1,10,CAR 31,21,31,Jonathan Stewart right end for 3 yards (tackle by Earl Thomas),1.000,0.870
4,5:16,2,7,CAR 34,21,31,Cam Newton pass complete short left to Greg Olsen for 8 yards (tackle by Bobby Wagner),0.870,1.730
4,4:29,1,10,CAR 42,21,31,Mike Tolbert left guard for no gain (tackle by Michael Bennett),1.730,1.190
4,3:45,2,10,CAR 42,21,31,Jonathan Stewart left guard for 3 yards (tackle by K.J. Wright and Frank Clark),1.190,1.190
4,3:38,2,10,CAR 42,21,31,Timeout #2 by Seattle Seahawks,1.190,0.890
4,3:38,3,7,CAR 45,21,31,Mike Tolbert middle for 5 yards (tackle by Michael Bennett),0.890,-0.060
4,2:55,4,2,,21,31,"Brad Nortman punts 33 yards, fair catch by Tyler Lockett. Penalty on David Mayo: Illegal Formation, 5 yards",-0.060,-0.410
4,2:49,1,10,SEA 22,21,31,Russell Wilson pass complete short middle to Doug Baldwin for 13 yards (tackle by Kurt Coleman),0.410,1.270
4,2:25,1,10,SEA 35,21,31,Russell Wilson pass complete short right to Jermaine Kearse for 8 yards,1.270,1.800
,,,,,,,"CAR challenged the pass completion ruling, and the play was upheld.",,
4,2:19,2,2,SEA 43,21,31,Russell Wilson pass complete short left to Luke Willson for 14 yards (tackle by Roman Harper),1.800,2.720
4,2:11,1,10,CAR 43,21,31,Russell Wilson pass incomplete deep left intended for Doug Baldwin (defended by Luke Kuechly),2.720,2.180
4,2:05,2,10,CAR 43,21,31,Russell Wilson pass complete short left to Jermaine Kearse for 6 yards (tackle by Robert McClain),2.180,2.280
4,1:59,3,4,CAR 37,21,31,"Penalty on Tyler Lockett: False Start, 5 yards (no play)",2.280,1.620
4,1:59,3,9,CAR 42,21,31,Russell Wilson pass complete short right to Doug Baldwin for 13 yards (tackle by Cortland Finnegan),1.620,3.640
4,1:40,1,10,CAR 29,21,31,Russell Wilson pass complete short middle to Doug Baldwin for 16 yards (tackle by Cortland Finnegan),3.640,4.710
4,1:26,1,10,CAR 13,21,31,Russell Wilson spiked the ball,4.710,4.050
4,1:26,2,10,CAR 13,21,31,"Penalty on Russell Wilson: Delay of Game, 5 yards (no play)",4.050,3.400
4,1:26,2,15,CAR 18,21,31,Russell Wilson pass incomplete deep middle intended for Luke Willson. Penalty on Alvin Bailey: Illegal Formation (Declined),3.400,2.790
4,1:21,3,15,CAR 18,21,31,Russell Wilson pass incomplete deep left intended for Jermaine Kearse,2.790,2.250
4,1:16,4,15,CAR 18,24,31,Steven Hauschka 36 yard field goal good,2.250,3.000
4,1:16,,,SEA 35,24,31,"Steven Hauschka kicks onside 13 yards, recovered by Thomas Davis",0.000,-2.390
4,1:11,1,10,SEA 48,24,31,Cam Newton kneels for -4 yards,2.390,2.390
4,1:08,1,10,SEA 48,24,31,Timeout #3 by Seattle Seahawks,2.390,1.310
4,1:08,2,14,CAR 48,24,31,Cam Newton kneels for -2 yards,1.310,0.370
4,0:25,3,16,CAR 46,24,31,Cam Newton kneels for -1 yards,0.370,-0.390
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
