Quarter,Time,Down,ToGo,Location,DEN,NYJ,Detail,EPB,EPA
2,13:47,1,10,DEN 25,7,7,Case Keenum pass complete short right to Jeff Heuerman for 14 yards (tackle by Darron Lee),0.610,1.530
2,13:04,1,10,DEN 39,7,7,Case Keenum pass incomplete short right intended for Jeff Heuerman,1.530,0.990
2,13:01,2,10,DEN 39,7,7,Phillip Lindsay right tackle for 2 yards (tackle by Leonard Williams and Henry Anderson),0.990,0.560
2,12:19,3,8,DEN 41,7,7,Case Keenum sacked by Leonard Williams for -9 yards,0.560,-1.240
2,11:43,4,17,DEN 32,7,7,"Colby Wadman punts 45 yards, fair catch by Andre Roberts at NYJ-23",-1.240,-0.480
2,11:36,1,10,NYJ 23,7,7,Bilal Powell left end for 1 yard (tackle by Justin Simmons),0.480,0.070
2,11:00,2,9,NYJ 24,7,7,Sam Darnold pass incomplete short right intended for Robby Anderson (defended by Derek Wolfe),0.070,-0.630
2,10:57,3,9,NYJ 24,7,13,"Sam Darnold pass complete deep left to Robby Anderson for 76 yards, touchdown",-0.630,7.000
2,10:46,,,DEN 15,7,14,Jason Myers kicks extra point good,0.000,0.000
2,10:46,,,NYJ 35,7,14,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
2,10:46,1,10,DEN 25,7,14,Case Keenum pass incomplete deep right intended for Emmanuel Sanders (defended by Morris Claiborne),0.610,0.060
2,10:41,2,10,DEN 25,7,14,Royce Freeman up the middle for -2 yards (tackle by Avery Williamson),0.060,-0.890
2,9:59,3,12,DEN 23,7,14,"Case Keenum sacked by Marcus Maye and Leonard Williams for -6 yards. Case Keenum fumbles (forced by Marcus Maye), recovered by Case Keenum at DEN-17",-0.890,-2.320
2,9:17,4,18,DEN 17,7,14,"Colby Wadman punts 49 yards, returned by Andre Roberts for 7 yards (tackle by Keishawn Bierria)",-2.320,-1.660
2,9:06,1,10,NYJ 41,7,14,Isaiah Crowell right guard for 3 yards (tackle by Justin Simmons),1.660,1.530
2,8:24,2,7,NYJ 44,7,14,Sam Darnold pass incomplete short right intended for Eric Tomlinson,1.530,0.830
2,8:16,3,7,NYJ 44,7,14,Sam Darnold pass incomplete short middle intended for Jermaine Kearse (defended by Chris Harris),0.830,-0.460
2,8:12,4,7,NYJ 44,7,14,"Lac Edwards punts 43 yards, returned by Adam Jones for 1 yard (tackle by Trenton Cannon)",-0.460,0.280
2,8:02,1,10,DEN 14,7,14,Phillip Lindsay left end for -1 yards (tackle by Morris Claiborne),-0.280,-0.850
2,7:23,2,11,DEN 13,7,14,Phillip Lindsay right end for 9 yards (tackle by Darryl Roberts),-0.850,-0.440
2,7:01,3,2,DEN 22,7,14,Case Keenum pass complete short right to Emmanuel Sanders for 5 yards (tackle by Darryl Roberts),-0.440,0.740
2,6:24,1,10,DEN 27,7,14,Case Keenum pass incomplete short left intended for Royce Freeman,0.740,0.200
2,6:18,2,10,DEN 27,7,14,Case Keenum pass complete short left to Demaryius Thomas for 11 yards (tackle by Morris Claiborne),0.200,1.470
2,5:50,1,10,DEN 38,7,14,Case Keenum pass complete deep right to Demaryius Thomas for 31 yards (tackle by Marcus Maye),1.470,3.510
2,5:02,1,10,NYJ 31,7,14,Case Keenum pass complete short middle to DaeSean Hamilton for 24 yards (tackle by Parry Nickerson),3.510,5.600
2,4:33,1,7,NYJ 7,7,14,Case Keenum pass incomplete short right intended for Jeff Heuerman,5.600,4.760
2,4:29,2,7,NYJ 7,7,14,"Royce Freeman left end for no gain (tackle by Avery Williamson and Marcus Maye). Penalty on Courtland Sutton: Illegal Shift, 5 yards (no play)",4.760,3.860
2,4:10,2,12,NYJ 12,7,14,Case Keenum pass incomplete short right intended for Phillip Lindsay,3.860,3.100
2,4:05,3,12,NYJ 12,7,14,Case Keenum pass incomplete short left intended for Courtland Sutton,3.100,2.630
2,4:01,4,12,NYJ 12,10,14,Brandon McManus 30 yard field goal good,2.630,3.000
2,3:58,,,DEN 35,10,14,"Brandon McManus kicks off no gain, returned by Andre Roberts for no gain (tackle by Devontae Booker). Penalty on Devontae Booker: Illegal Formation (Offsetting) (no play)",0.000,0.000
2,3:54,,,DEN 35,10,14,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,3:54,1,10,NYJ 25,10,14,Isaiah Crowell right guard for 5 yards (tackle by Von Miller and Isaac Yiadom),0.610,0.740
2,3:17,2,5,NYJ 30,10,14,Isaiah Crowell up the middle for 4 yards (tackle by Brandon Marshall),0.740,0.560
2,2:41,3,1,NYJ 34,10,14,Isaiah Crowell up the middle for 2 yards (tackle by Brandon Marshall and Justin Simmons),0.560,1.330
2,2:01,1,10,NYJ 36,10,14,Bilal Powell right tackle for 9 yards (tackle by Isaac Yiadom),1.330,2.010
2,1:55,2,1,NYJ 45,10,14,Sam Darnold pass incomplete short middle intended for Quincy Enunwa,2.010,1.290
2,1:52,3,1,NYJ 45,10,14,Sam Darnold up the middle for 3 yards (tackle by Shelby Harris),1.290,2.130
2,1:31,1,10,NYJ 48,10,14,"Bilal Powell left tackle for no gain (tackle by Brandon Marshall) Penalty on DEN: Defensive Too Many Men on Field, 5 yards (no play)",2.130,2.860
2,1:29,1,5,DEN 47,10,14,Sam Darnold pass complete short right to Eric Tomlinson for 12 yards (tackle by Todd Davis),2.860,3.250
2,1:19,,,,,,Timeout #1 by New York Jets,,
2,1:17,1,10,DEN 35,10,20,"Sam Darnold pass complete deep left to Robby Anderson for 35 yards, touchdown",3.250,7.000
2,1:13,,,DEN 15,10,21,Jason Myers kicks extra point good,0.000,0.000
2,1:13,,,NYJ 35,10,21,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
2,1:13,1,10,DEN 25,10,21,"Case Keenum pass complete short middle to Devontae Booker for 9 yards (tackle by Parry Nickerson). Penalty on Brandon Copeland: Roughing the Passer, 15 yards",0.610,2.190
2,1:06,1,10,DEN 49,10,21,"Case Keenum sacked by Jeremiah Attaochu for -7 yards. Case Keenum fumbles (forced by Jeremiah Attaochu), recovered by Jeff Heuerman at DEN-42 (tackle by Brandon Copeland)",2.190,0.700
2,0:58,2,17,DEN 42,10,21,Case Keenum pass complete short right to Demaryius Thomas for 4 yards (tackle by Darron Lee),0.700,0.560
2,0:36,3,13,DEN 46,10,21,Case Keenum pass incomplete deep middle intended for Demaryius Thomas,0.560,-0.320
2,0:31,4,13,DEN 46,10,21,"Colby Wadman punts 50 yards, returned by Andre Roberts for 3 yards (tackle by Dymonte Thomas). Penalty on Doug Middleton: Illegal Block Above the Waist, 3 yards",-0.320,0.380
2,0:19,1,10,NYJ 4,10,21,Sam Darnold kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,DEN,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,10,21,"Brandon McManus kicks off 61 yards, returned by Andre Roberts for no gain (tackle by Devontae Booker and Tim Patrick)",0.000,-0.350
3,14:51,1,10,NYJ 12,10,21,Isaiah Crowell left guard for 54 yards (tackle by Justin Simmons),-0.350,3.310
3,14:23,1,10,DEN 34,10,21,Isaiah Crowell right end for -1 yards (tackle by Von Miller),3.310,2.640
3,13:39,2,11,DEN 35,10,21,Sam Darnold pass incomplete deep middle intended for Quincy Enunwa,2.640,1.950
3,13:32,3,11,DEN 35,10,21,Sam Darnold pass short left (defended by Shane Ray) intended for Andre Roberts is intercepted by Derek Wolfe at DEN-39 and returned for 2 yards,1.950,-1.660
3,13:27,1,10,DEN 41,10,21,Case Keenum pass complete short left to Demaryius Thomas for 17 yards (tackle by Morris Claiborne),1.660,2.790
3,12:50,1,10,NYJ 42,10,21,Case Keenum pass incomplete deep left intended for Emmanuel Sanders (defended by Morris Claiborne),2.790,2.240
3,12:45,2,10,NYJ 42,10,21,Case Keenum pass complete short middle to Royce Freeman for 4 yards (tackle by Avery Williamson),2.240,2.080
3,12:13,3,6,NYJ 38,10,21,Case Keenum sacked by Leonard Williams and Jordan Jenkins for -11 yards,2.080,0.000
3,11:34,4,17,NYJ 49,10,21,"Colby Wadman punts 34 yards, fair catch by Trenton Cannon at NYJ-15",0.000,0.220
3,11:26,1,10,NYJ 15,10,21,Bilal Powell up the middle for 2 yards (tackle by Von Miller),-0.220,-0.440
3,10:45,2,8,NYJ 17,10,21,"Bilal Powell right end for 3 yards. Penalty on Quincy Enunwa: Offensive Holding, 10 yards",-0.440,-1.150
3,10:19,2,15,NYJ 10,10,21,Sam Darnold pass complete short right to Eric Tomlinson for 3 yards (tackle by Todd Davis),-1.150,-1.640
3,9:43,3,12,NYJ 13,10,21,Sam Darnold pass complete short left to Jermaine Kearse for 14 yards,-1.640,0.740
3,9:11,1,10,NYJ 27,10,21,Bilal Powell up the middle for 3 yards (tackle by Zach Kerr),0.740,0.600
3,8:30,2,7,NYJ 30,10,21,Bilal Powell right tackle for 16 yards (tackle by Shane Ray and Chris Harris),0.600,1.990
3,7:48,1,10,NYJ 46,10,21,Isaiah Crowell left end for 7 yards,1.990,2.400
3,7:09,2,3,DEN 47,10,21,Isaiah Crowell up the middle for 3 yards (tackle by Shelby Harris and Adam Gotsis),2.400,2.650
3,6:30,1,10,DEN 44,10,21,Sam Darnold pass complete short middle to Isaiah Crowell for 12 yards (tackle by Adam Gotsis and Todd Davis),2.650,3.450
3,5:43,1,10,DEN 32,10,21,Sam Darnold pass incomplete short left intended for Quincy Enunwa (defended by Bradley Chubb),3.450,2.900
3,5:40,2,10,DEN 32,10,21,Bilal Powell right guard for 1 yard (tackle by Zach Kerr and Von Miller),2.900,2.340
3,5:01,3,9,DEN 31,10,21,Sam Darnold pass incomplete short left intended for Jermaine Kearse (defended by Bradley Roby),2.340,1.320
3,4:56,4,9,DEN 31,10,24,Jason Myers 49 yard field goal good,1.320,3.000
3,4:52,,,NYJ 35,10,24,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
3,4:52,1,10,DEN 25,10,24,Case Keenum pass complete short right to Phillip Lindsay for 7 yards (tackle by Parry Nickerson),0.610,1.010
3,4:22,2,3,DEN 32,10,24,Phillip Lindsay right tackle for -2 yards (tackle by Jamal Adams),1.010,0.040
3,3:42,3,5,DEN 30,10,24,"Case Keenum pass complete short right to Courtland Sutton for 47 yards (tackle by Jamal Adams). Penalty on Courtland Sutton: Offensive Pass Interference, 10 yards (no play)",0.040,-1.290
3,3:13,3,15,DEN 20,10,24,Case Keenum pass complete short left to Phillip Lindsay for 10 yards (tackle by Avery Williamson),-1.290,-1.370
3,2:44,4,5,DEN 30,10,24,"Colby Wadman punts 45 yards, returned by Andre Roberts for 10 yards (tackle by Andy Janovich). Penalty on Joseph Jones: Ineligible Downfield Kick, 5 yards",-1.370,-1.600
3,2:34,1,10,NYJ 40,10,24,Sam Darnold pass incomplete short left intended for Quincy Enunwa (defended by Chris Harris),1.600,1.050
3,2:28,2,10,NYJ 40,10,24,Isaiah Crowell right guard for 5 yards (tackle by Domata Peko),1.050,1.030
3,1:48,3,5,NYJ 45,10,24,Sam Darnold pass complete short left to Andre Roberts for 4 yards (tackle by Isaac Yiadom),1.030,-0.130
3,1:09,4,1,NYJ 49,10,24,"Lac Edwards punts 46 yards, fair catch by DaeSean Hamilton at DEN-5",-0.130,0.380
3,0:58,1,10,DEN 5,10,24,Case Keenum pass incomplete short left intended for Courtland Sutton,-0.380,-0.780
3,0:54,2,10,DEN 5,10,24,Phillip Lindsay up the middle for no gain (tackle by Frankie Luvu),-0.780,-1.420
3,0:13,3,10,DEN 5,10,24,Case Keenum pass incomplete short middle intended for Devontae Booker,-1.420,-2.490
3,0:07,4,10,DEN 5,10,24,"Colby Wadman punts 57 yards, returned by Andre Roberts for 51 yards (tackle by Joseph Jones)",-2.490,-4.840
Quarter,Time,Down,ToGo,Location,DEN,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DEN 11,10,24,Bilal Powell right end for 4 yards (tackle by Zach Kerr and Chris Harris),4.840,4.890
4,14:20,2,6,DEN 7,10,24,Bilal Powell up the middle for 4 yards (tackle by Todd Davis),4.890,4.890
4,13:44,,,,,,Timeout #1 by New York Jets,,
4,13:44,3,2,DEN 3,10,24,Sam Darnold sacked by Derek Wolfe and Domata Peko for -9 yards,4.890,2.630
4,13:02,4,11,DEN 12,10,27,Jason Myers 30 yard field goal good,2.630,3.000
4,12:59,,,NYJ 35,10,27,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
4,12:59,1,10,DEN 25,10,27,Royce Freeman right tackle for 24 yards (tackle by Marcus Maye),0.610,2.190
4,12:34,1,10,DEN 49,10,27,Case Keenum pass complete short middle to Emmanuel Sanders for 13 yards (tackle by Marcus Maye),2.190,3.050
4,12:12,1,10,NYJ 38,10,27,Case Keenum pass complete short middle to Matt LaCosse for 8 yards (tackle by Marcus Maye and Avery Williamson),3.050,3.590
4,11:50,2,2,NYJ 30,10,27,Case Keenum pass complete short left to Emmanuel Sanders for 6 yards (tackle by Darron Lee),3.590,3.970
4,11:29,1,10,NYJ 24,10,27,Case Keenum pass complete short middle to Royce Freeman for 5 yards (tackle by Darron Lee),3.970,4.120
4,10:50,2,5,NYJ 19,10,27,Phillip Lindsay up the middle for 6 yards (tackle by Avery Williamson),4.120,4.710
4,10:25,1,10,NYJ 13,10,27,Case Keenum pass incomplete short left intended for Courtland Sutton,4.710,4.050
4,10:20,2,10,NYJ 13,10,27,Case Keenum pass complete short right to Emmanuel Sanders for 4 yards (tackle by Parry Nickerson),4.050,3.880
4,9:44,3,6,NYJ 9,10,27,Case Keenum pass complete short right to Phillip Lindsay for 3 yards (tackle by Jamal Adams),3.880,3.010
4,9:12,4,3,NYJ 6,10,27,Case Keenum pass incomplete short middle intended for Emmanuel Sanders (defended by Morris Claiborne),3.010,0.380
4,9:05,1,10,NYJ 7,10,27,Isaiah Crowell right guard for 3 yards (tackle by Derek Wolfe),-0.380,-0.560
4,8:23,2,7,NYJ 10,10,27,Isaiah Crowell right end for 36 yards (tackle by Justin Simmons),-0.560,1.990
4,7:35,1,10,NYJ 46,10,27,Bilal Powell up the middle for 38 yards (tackle by Todd Davis),1.990,4.510
4,6:40,1,10,DEN 16,10,27,Bilal Powell right guard for 1 yard (tackle by Shaquil Barrett),4.510,4.050
4,5:57,2,9,DEN 15,10,27,Bilal Powell up the middle for -5 yards (tackle by Josey Jewell),4.050,2.740
4,5:15,3,14,DEN 20,10,33,"Sam Darnold pass complete deep left to Terrelle Pryor for 20 yards, touchdown, touchdown",2.740,7.000
4,5:10,,,DEN 15,10,34,Jason Myers kicks extra point good,0.000,0.000
4,5:10,,,NYJ 35,10,34,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
4,5:10,1,10,DEN 25,10,34,Case Keenum pass complete short right to Jeff Heuerman for 4 yards (tackle by Darryl Roberts),0.610,0.600
4,4:37,2,6,DEN 29,10,34,Case Keenum pass complete short right to DaeSean Hamilton for 2 yards (tackle by Darryl Roberts),0.600,0.170
4,4:33,3,4,DEN 31,10,34,Case Keenum pass complete short left to Courtland Sutton for 10 yards (tackle by Morris Claiborne),0.170,1.660
4,4:13,1,10,DEN 41,10,34,Case Keenum pass complete short middle to Devontae Booker for 11 yards (tackle by Avery Williamson and Darron Lee),1.660,2.390
4,3:51,1,10,NYJ 48,10,34,Case Keenum pass incomplete short right intended for Brian Parker,2.390,1.850
4,3:46,2,10,NYJ 48,10,34,Case Keenum pass complete short left to Emmanuel Sanders for 6 yards (tackle by Morris Claiborne),1.850,1.950
4,3:27,3,4,NYJ 42,16,34,"Case Keenum pass complete deep right to Demaryius Thomas for 42 yards, touchdown, touchdown",1.950,7.000
4,3:18,,,NYJ 2,16,34,"Two Point Attempt: Case Keenum pass incomplete intended for Demaryius Thomas, conversion fails",0.000,-1.000
4,3:18,,,DEN 35,16,34,"Brandon McManus kicks onside 12 yards, returned by Quincy Enunwa for no gain (tackle by Joseph Jones)",0.000,-2.460
4,3:17,1,10,DEN 47,16,34,Bilal Powell up the middle for 2 yards (tackle by Todd Davis),2.460,2.180
4,3:13,,,,,,Timeout #2 by Denver Broncos,,
4,3:13,2,8,DEN 45,16,34,Bilal Powell up the middle for -2 yards (tackle by Von Miller and Bradley Chubb),2.180,1.220
4,3:08,,,,,,Timeout #3 by Denver Broncos,,
4,3:08,3,10,DEN 47,16,34,Bilal Powell up the middle for 2 yards (tackle by Josey Jewell and Justin Simmons),1.220,0.270
4,2:21,,,,,,Timeout #2 by New York Jets,,
4,2:21,4,8,DEN 45,16,34,"Lac Edwards punts 45 yards, touchback.",0.270,-0.280
4,2:14,1,10,DEN 20,16,34,Case Keenum pass complete short right to Emmanuel Sanders for 10 yards (tackle by Avery Williamson),0.280,0.940
4,2:00,1,10,DEN 30,16,34,Case Keenum pass complete short middle to Devontae Booker for 22 yards (tackle by Avery Williamson),0.940,2.390
4,1:51,1,10,NYJ 48,16,34,Case Keenum pass complete short right to Devontae Booker for 4 yards (tackle by Marcus Maye),2.390,2.390
4,1:43,2,6,NYJ 44,16,34,Case Keenum pass complete short right to Devontae Booker for 13 yards (tackle by Marcus Maye),2.390,3.510
4,1:13,1,10,NYJ 31,16,34,Case Keenum pass complete short middle to Matt LaCosse for 11 yards (tackle by Avery Williamson),3.510,4.240
4,0:55,1,10,NYJ 20,16,34,Case Keenum pass complete short middle to Emmanuel Sanders for 11 yards (tackle by Jamal Adams),4.240,5.140
4,0:34,1,9,NYJ 9,16,34,Case Keenum pass complete short right to Emmanuel Sanders for 6 yards (tackle by Parry Nickerson),5.140,5.530
4,0:11,2,3,NYJ 3,16,34,Case Keenum pass short left (defended by Morris Claiborne) intended for Courtland Sutton is intercepted by Marcus Maye at NYJ-0 and returned for 104 yards,5.530,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
