Quarter,Time,Down,ToGo,Location,CAR,CIN,Detail,EPB,EPA
OT,2:19,1,10,CIN 20,37,37,Andy Dalton pass complete short left to Jermaine Gresham for 8 yards (tackle by Luke Kuechly),0.280,0.810
OT,2:00,2,2,CIN 28,37,37,Giovani Bernard right guard for 5 yards (tackle by Thomas Davis and Luke Kuechly),0.810,1.140
OT,1:39,1,10,CIN 33,37,37,Andy Dalton pass incomplete deep left intended for Mohamed Sanu (defended by Roman Harper),1.140,0.590
OT,1:32,2,10,CIN 33,37,37,Andy Dalton pass complete short right to Dane Sanzenbacher for 7 yards (tackle by Thomas DeCoud),0.590,0.830
OT,1:07,3,3,CIN 40,37,37,Andy Dalton pass complete short right to Mohamed Sanu for 5 yards (tackle by Antoine Cason),0.830,1.930
OT,0:47,1,10,CIN 45,37,37,Andy Dalton pass incomplete,1.930,1.380
OT,0:40,2,10,CIN 45,37,37,"Andy Dalton pass complete deep right to James Wright for 24 yards (tackle by Roman Harper). Penalty on Charles Johnson: Roughing the Passer, 15 yards",1.380,4.510
OT,0:34,1,10,CAR 16,37,37,Andy Dalton up the middle for -2 yards,4.510,4.510
OT,0:02,1,10,CAR 16,37,37,Timeout #2 by Cincinnati Bengals,4.510,3.640
OT,0:02,2,12,CAR 18,37,37,Mike Nugent 36 yard field goal no good,3.640,0.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
