Quarter,Time,Down,ToGo,Location,WAS,KAN,Detail,EPB,EPA
1,4:32,2,4,WAS 20,0,0,Trent Green pass incomplete intended for Tony Gonzalez,4.110,3.400
1,4:27,3,4,WAS 20,0,0,Trent Green right end for 13 yards (tackle by Sean Taylor),3.400,5.600
1,3:54,1,7,WAS 7,0,0,Priest Holmes up the middle for 3 yards (tackle by Renaldo Wynn and Marcus Washington),5.600,5.340
1,3:35,,,,0,0,Timeout #1 by Kansas City Chiefs,0.000,5.340
1,3:35,2,4,WAS 4,0,0,Trent Green pass incomplete intended for Tony Gonzalez (defended by Walt Harris),5.340,4.490
1,3:29,3,4,WAS 4,0,0,Trent Green up the middle for 2 yards (tackle by Warrick Holdman),4.490,3.250
1,3:29,4,2,WAS 2,0,3,Lawrence Tynes 20 yard field goal good,3.250,3.000
1,,,,KAN 30,0,3,"Lawrence Tynes kicks off 66 yards, returned by James Thrash for 27 yards (tackle by Rich Scanlon)",0.000,1.000
1,2:38,1,10,WAS 31,0,3,Mark Brunell pass complete to Chris Cooley for 5 yards (tackle by Kawika Mitchell and Derrick Johnson),1.000,1.140
1,1:59,2,5,WAS 36,0,3,Mark Brunell pass complete to Santana Moss for 13 yards (tackle by Greg Wesley),1.140,2.190
1,1:21,1,10,WAS 49,0,3,Clinton Portis up the middle for 2 yards (tackle by Derrick Johnson),2.190,1.920
1,0:43,2,8,KAN 49,0,3,Mark Brunell pass complete to Santana Moss for 35 yards (tackle by Greg Wesley),1.920,4.650
1,0:18,1,10,KAN 14,0,3,Clinton Portis up the middle for 9 yards (tackle by Sammy Knight and Kawika Mitchell),4.650,5.670
Quarter,Time,Down,ToGo,Location,WAS,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,KAN 5,0,3,Clinton Portis right guard for 2 yards (tackle by John Browning and Eric Hicks),5.670,6.510
2,14:19,1,3,KAN 3,0,3,Clinton Portis up the middle for -1 yards (tackle by Derrick Johnson),6.510,5.340
2,13:44,2,4,KAN 4,0,3,Mark Brunell pass incomplete intended for Robert Royal,5.340,4.490
2,13:37,3,4,KAN 4,6,3,"Mark Brunell pass complete to Santana Moss for 4 yards, touchdown",4.490,7.000
2,,,,KAN 2,7,3,Nick Novak kicks extra point good,0.000,0.000
2,,,,WAS 30,7,3,"Nick Novak kicks off 54 yards, returned by Dante Hall for 15 yards (tackle by Pierson Prioleau)",0.000,1.000
2,13:27,1,10,KAN 31,7,3,Trent Green pass incomplete intended for Eddie Kennison,1.000,0.460
2,13:18,2,10,KAN 31,7,3,Priest Holmes up the middle for no gain (tackle by Cornelius Griffin),0.460,-0.230
2,12:38,3,10,KAN 31,7,3,Trent Green pass complete to Priest Holmes for 9 yards (tackle by Cornelius Griffin),-0.230,-0.720
2,11:52,4,1,KAN 40,7,3,"Dustin Colquitt punts 35 yards, fair catch by James Thrash",-0.720,-0.610
2,11:43,1,10,WAS 25,7,3,Clinton Portis up the middle for 2 yards (tackle by Kawika Mitchell),0.610,0.330
2,11:06,2,8,WAS 27,7,3,Mark Brunell pass complete to Santana Moss for no gain,0.330,-0.360
2,10:21,3,8,WAS 27,7,3,Mark Brunell pass complete to David Patten for 7 yards (tackle by Sammy Knight),-0.360,-1.110
2,10:01,4,1,WAS 34,7,3,"Derrick Frost punts 40 yards, fair catch by Dante Hall",-1.110,-0.670
2,9:55,1,10,KAN 26,7,3,Larry Johnson left end for 19 yards (tackle by Sean Taylor),0.670,1.930
2,9:30,1,10,KAN 45,7,3,Larry Johnson up the middle for 6 yards (tackle by Pierson Prioleau),1.930,2.190
2,8:55,2,4,WAS 49,7,3,Trent Green pass complete to Samie Parker for 16 yards (tackle by Walt Harris),2.190,3.380
2,8:28,1,10,WAS 33,7,3,Larry Johnson up the middle for -2 yards (tackle by Cornelius Griffin),3.380,2.570
2,7:51,2,12,WAS 35,7,3,Trent Green pass complete to Dante Hall for 16 yards (tackle by Sean Taylor),2.570,4.310
2,7:10,1,10,WAS 19,7,3,Trent Green pass complete to Larry Johnson for 2 yards (tackle by Marcus Washington),4.310,4.030
2,6:31,2,8,WAS 17,7,3,Trent Green pass incomplete intended for Tony Gonzalez,4.030,3.260
2,6:26,,,,7,3,Timeout #2 by Kansas City Chiefs,0.000,3.260
2,6:26,3,8,WAS 17,7,3,Trent Green sacked by Cornelius Griffin for -3 yards,3.260,2.120
2,6:26,4,11,WAS 20,7,6,Lawrence Tynes 38 yard field goal good,2.120,3.000
2,,,,KAN 30,7,6,"Lawrence Tynes kicks off 66 yards, returned by James Thrash for 19 yards (tackle by Rich Scanlon)",0.000,0.480
2,5:47,1,10,WAS 23,7,6,Mark Brunell pass complete to Clinton Portis for 7 yards (tackle by Kawika Mitchell),0.480,0.880
2,5:14,2,3,WAS 30,7,6,Clinton Portis left end for 8 yards (tackle by Jimmy Wilkerson),0.880,1.470
2,4:29,1,10,WAS 38,7,6,Clinton Portis right tackle for 1 yard (tackle by Eric Hicks),1.470,1.060
2,3:50,2,9,WAS 39,7,6,Mark Brunell pass incomplete intended for David Patten (defended by Dexter McCleon),1.060,0.370
2,3:45,3,9,WAS 39,7,6,"Mark Brunell up the middle for 1 yard (tackle by Jared Allen). Mark Brunell fumbles (forced by Jared Allen), recovered by Jared Allen at WAS-40",0.370,-2.980
2,3:29,1,10,WAS 39,7,6,"Trent Green for no gain. Trent Green fumbles, recovered by Trent Green at WAS-40",2.980,2.300
2,3:02,2,11,WAS 40,7,6,Priest Holmes left end for -10 yards (tackle by Renaldo Wynn),2.300,0.300
2,2:15,3,21,KAN 50,7,6,Trent Green pass complete to Priest Holmes for 3 yards (tackle by Phillip Daniels and Chris Clemons),0.300,0.130
2,2:00,4,18,WAS 47,7,6,"Dustin Colquitt punts 32 yards, fair catch by James Thrash. Penalty on Carlos Rogers: Face Mask (15 Yards), 8 yards",0.130,0.380
2,1:51,1,10,WAS 7,7,6,Clinton Portis up the middle for 2 yards (tackle by Kendrell Bell and Kawika Mitchell),-0.380,-0.630
2,1:47,,,,7,6,Timeout #3 by Kansas City Chiefs,0.000,-0.630
2,1:47,2,8,WAS 9,7,6,Clinton Portis left end for -2 yards (tackle by Jared Allen),-0.630,-1.420
2,1:05,3,10,WAS 7,7,6,Clinton Portis up the middle for 4 yards (tackle by Lional Dalton),-1.420,-2.490
2,0:20,,,,7,6,Timeout #2 by Washington Redskins,0.000,-2.490
2,0:19,4,6,WAS 11,7,6,"Derrick Frost punts 54 yards, returned by Dante Hall for -1 yards (tackle by Lemar Marshall)",-2.490,-1.200
2,0:03,1,10,KAN 34,7,6,Trent Green pass incomplete intended for Priest Holmes,1.200,0.660
Quarter,Time,Down,ToGo,Location,WAS,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 30,7,6,"Nick Novak kicks off 50 yards, returned by Dante Hall for 18 yards (tackle by Pierson Prioleau)",0.000,1.470
3,14:56,1,10,KAN 38,7,6,Trent Green pass complete to Tony Gonzalez for 2 yards (tackle by Carlos Rogers),1.470,1.190
3,14:11,2,8,KAN 40,7,6,Priest Holmes up the middle for -1 yards (tackle by Lemar Marshall),1.190,0.370
3,13:31,3,9,KAN 39,7,6,Trent Green up the middle for 11 yards (tackle by Walt Harris),0.370,2.260
3,12:48,1,10,KAN 50,7,6,"Trent Green pass complete to Priest Holmes for 22 yards (tackle by Lemar Marshall). Penalty on Marcus Washington: Roughing the Passer, 14 yards",2.260,4.650
3,12:09,1,10,WAS 14,7,6,Larry Johnson left end for 8 yards (tackle by Marcus Washington),4.650,5.470
3,11:43,2,2,WAS 6,7,12,"Priest Holmes left end for 6 yards, touchdown",5.470,7.000
3,,,,,7,14,"Two Point Attempt: Trent Green pass complete to Marc Boerigter, conversion succeeds",1.000,1.000
3,,,,KAN 30,7,14,"Lawrence Tynes kicks off 62 yards, returned by James Thrash for 23 yards (tackle by Gary Stills)",0.000,1.000
3,11:32,1,10,WAS 31,7,14,Mark Brunell sacked by John Browning for -9 yards,1.000,-0.760
3,11:00,2,19,WAS 22,13,14,"Mark Brunell pass complete to Santana Moss for 78 yards, touchdown",-0.760,7.000
3,,,,KAN 2,14,14,Nick Novak kicks extra point good,0.000,0.000
3,,,,WAS 30,14,14,"Nick Novak kicks off 62 yards, returned by Dante Hall for 20 yards (tackle by Khary Campbell)",0.000,0.810
3,10:42,1,10,KAN 28,14,14,Larry Johnson up the middle for 1 yard (tackle by Carlos Rogers and Renaldo Wynn),0.810,0.400
3,10:09,2,9,KAN 29,14,14,Larry Johnson up the middle for 5 yards (tackle by Cornelius Griffin),0.400,0.370
3,9:29,3,4,KAN 34,14,14,Trent Green pass incomplete intended for Samie Parker,0.370,-1.110
,,,,,,,"WAS challenged the ruling, and the original play was overturned.",,
3,9:21,4,4,KAN 34,14,14,"Dustin Colquitt punts 34 yards, fair catch by James Thrash",-1.110,-1.070
3,9:12,1,10,WAS 32,14,14,Mark Brunell pass complete to Chris Cooley for 13 yards (tackle by Kendrell Bell),1.070,1.930
3,8:51,1,10,WAS 45,14,14,Clinton Portis left tackle for 7 yards (tackle by John Browning),1.930,2.330
3,8:13,2,3,KAN 48,14,14,Clinton Portis up the middle for no gain (tackle by Jared Allen),2.330,1.620
3,8:13,3,3,KAN 48,14,14,"Mark Brunell pass incomplete. Penalty on Dexter McCleon: Defensive Holding, 5 yards (no play)",1.620,2.720
3,8:13,1,10,KAN 43,14,14,Mark Brunell for 1 yard,2.720,2.310
3,7:07,2,9,KAN 42,14,14,Mark Brunell pass complete to James Thrash for 10 yards (tackle by Dexter McCleon),2.310,3.450
3,6:33,1,10,KAN 32,14,14,Rock Cartwright right end for 7 yards (tackle by Greg Wesley),3.450,3.850
3,5:57,2,3,KAN 25,14,20,"Rock Cartwright right end for 3 yards (tackle by Carlos Hall). Rock Cartwright fumbles (forced by Carlos Hall), recovered by Sammy Knight at KAN-20 and returned for 80 yards, touchdown",3.850,-7.000
3,,,,WAS 2,14,21,Lawrence Tynes kicks extra point good,0.000,0.000
3,,,,KAN 30,14,21,"Lawrence Tynes kicks off 57 yards, returned by James Thrash for 20 yards (tackle by Boomer Grigsby)",0.000,1.140
3,5:35,1,10,WAS 33,14,21,Mark Brunell pass complete to Santana Moss for 10 yards (tackle by Kendrell Bell),1.140,1.800
3,5:08,1,10,WAS 43,14,21,Clinton Portis right end for 4 yards (tackle by John Browning),1.800,1.790
3,4:30,2,6,WAS 47,14,21,Mark Brunell pass complete to Chris Cooley for 1 yard (tackle by Dexter McCleon),1.790,1.220
3,4:10,,,,14,21,Timeout #1 by Kansas City Chiefs,0.000,1.220
3,4:10,3,5,WAS 48,14,21,Mark Brunell pass complete to Santana Moss for 8 yards (tackle by Derrick Johnson),1.220,2.650
3,3:30,1,10,KAN 44,14,21,James Thrash right end for 8 yards (tackle by Derrick Johnson),2.650,3.190
3,2:52,2,2,KAN 36,14,21,Rock Cartwright up the middle for 3 yards (tackle by Kawika Mitchell),3.190,3.380
3,2:14,1,10,KAN 33,14,21,Mark Brunell pass incomplete intended for David Patten,3.380,2.840
3,2:09,2,10,KAN 33,14,21,"Mark Brunell pass incomplete intended for James Thrash is intercepted by Greg Wesley at KAN-0. Penalty on Dexter McCleon: Illegal Contact, 5 yards (no play)",2.840,3.710
3,1:59,1,10,KAN 28,14,21,Mark Brunell pass incomplete intended for David Patten (defended by Greg Wesley),3.710,3.170
3,1:56,2,10,KAN 28,14,21,Mark Brunell pass incomplete intended for Santana Moss (defended by Dexter McCleon),3.170,2.480
3,1:51,3,10,KAN 28,14,21,Mark Brunell pass complete to Santana Moss for 13 yards (tackle by Patrick Surtain),2.480,4.580
3,1:09,1,10,KAN 15,14,21,Clinton Portis right tackle for 4 yards (tackle by Kendrell Bell),4.580,4.640
3,0:36,2,6,KAN 11,20,21,"Mark Brunell pass complete to Chris Cooley for 11 yards, touchdown",4.640,7.000
3,,,,KAN 2,21,21,Nick Novak kicks extra point good,0.000,0.000
3,,,,WAS 30,21,21,"Nick Novak kicks off 63 yards, returned by Dante Hall for 19 yards (tackle by Sean Taylor)",0.000,0.670
3,0:22,1,10,KAN 26,21,21,Trent Green pass complete to Marc Boerigter for 5 yards (tackle by Lemar Marshall),0.670,0.810
Quarter,Time,Down,ToGo,Location,WAS,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,KAN 31,21,21,Priest Holmes right end for -6 yards (tackle by Marcus Washington),0.810,-0.690
4,14:18,3,11,KAN 25,21,21,Trent Green pass complete to Marc Boerigter for 15 yards (tackle by Sean Taylor),-0.690,1.600
4,13:37,1,10,KAN 40,21,27,"Trent Green pass complete to Priest Holmes for 60 yards, touchdown",1.600,7.000
4,,,,WAS 2,21,28,Lawrence Tynes kicks extra point good,0.000,0.000
4,,,,KAN 30,21,28,"Lawrence Tynes kicks off 54 yards, returned by Nehemiah Broughton for 5 yards (tackle by Rich Scanlon)",0.000,0.340
4,13:16,1,10,WAS 21,21,28,Mark Brunell pass incomplete intended for Santana Moss,0.340,-0.200
4,13:10,2,10,WAS 21,21,28,Mark Brunell sacked by Jared Allen for -7 yards,-0.200,-2.130
4,12:33,,,,21,28,Timeout #1 by Washington Redskins,0.000,-2.130
4,12:33,3,17,WAS 14,21,28,Mark Brunell sacked by Jared Allen for -7 yards,-2.130,-2.490
4,12:09,4,24,WAS 7,21,28,"Derrick Frost punts 53 yards, returned by Dante Hall for 12 yards (tackle by Matt Bowen). Penalty on Rich Scanlon: Illegal Block Above the , 10 yards, Penalty on Benny Sapp: Offensive Holding (Declined)",-2.490,-1.140
4,11:57,1,10,KAN 33,21,28,Priest Holmes up the middle for 2 yards (tackle by Matt Bowen and Phillip Daniels),1.140,0.860
4,11:14,2,8,KAN 35,21,28,Trent Green pass complete to Jason Dunn for 6 yards (tackle by Walt Harris and Lemar Marshall),0.860,0.960
4,10:30,3,2,KAN 41,21,28,"Priest Holmes up the middle for 1 yard (tackle by Sean Taylor). Priest Holmes fumbles (forced by Sean Taylor), recovered by Tony Gonzalez at KAN-42",0.960,-0.590
4,10:07,4,1,KAN 42,21,28,Priest Holmes up the middle for 1 yard,-0.590,1.800
4,9:44,1,10,KAN 43,21,28,Trent Green pass incomplete intended for Marc Boerigter,1.800,1.250
4,9:38,2,10,KAN 43,21,28,Larry Johnson right end for no gain (tackle by Marcus Washington and Walt Harris),1.250,0.560
4,8:55,3,10,KAN 43,21,28,Trent Green pass incomplete intended for Eddie Kennison,0.560,-0.520
4,8:49,4,10,KAN 43,21,28,Dustin Colquitt punts 42 yards,-0.520,0.220
4,8:42,1,10,WAS 15,21,28,Mark Brunell pass complete to Chris Cooley for 7 yards (tackle by Kendrell Bell and Sammy Knight),-0.220,0.350
4,8:17,2,3,WAS 22,21,28,Clinton Portis left end for 9 yards (tackle by Greg Wesley),0.350,1.000
4,8:12,1,10,WAS 31,21,28,"Mark Brunell pass incomplete intended for Santana Moss (defended by Patrick Surtain). Penalty on Patrick Surtain: Defensive Pass Interfere, 4 yards (no play)",1.000,1.270
4,7:49,1,10,WAS 35,21,28,Mark Brunell pass incomplete intended for Santana Moss,1.270,0.720
4,7:44,2,10,WAS 35,21,28,Mark Brunell pass complete to Clinton Portis for 23 yards (tackle by Greg Wesley),0.720,2.790
4,7:03,1,10,KAN 42,21,28,Mark Brunell pass complete to Mike Sellers for 2 yards (tackle by Derrick Johnson),2.790,2.510
4,6:20,2,8,KAN 40,21,28,Mark Brunell pass incomplete intended for James Thrash,2.510,1.820
4,6:16,3,8,KAN 40,21,28,Mark Brunell pass incomplete intended for Robert Royal,1.820,0.590
4,6:09,4,8,KAN 40,21,28,"Derrick Frost punts 40 yards, touchback",0.590,-0.280
4,6:04,1,10,KAN 20,21,28,Larry Johnson left end for 9 yards (tackle by Warrick Holdman),0.280,0.950
4,5:34,2,1,KAN 29,21,28,Larry Johnson up the middle for 2 yards (tackle by Cornelius Griffin),0.950,1.000
4,4:49,1,10,KAN 31,21,28,Trent Green pass complete to Dante Hall for -1 yards (tackle by Walt Harris),1.000,0.320
4,4:11,2,11,KAN 30,21,28,Trent Green pass complete to Tony Gonzalez for 11 yards (tackle by Matt Bowen),0.320,1.660
4,3:27,1,10,KAN 41,21,28,Larry Johnson left tackle for 4 yards (tackle by Ryan Boschetti),1.660,1.660
4,3:19,,,,21,28,Timeout #2 by Washington Redskins,0.000,1.660
4,3:19,2,6,KAN 45,21,28,Larry Johnson up the middle for 1 yard (tackle by Renaldo Wynn),1.660,1.090
4,3:15,,,,21,28,Timeout #3 by Washington Redskins,0.000,1.090
4,3:15,3,5,KAN 46,21,28,"Trent Green pass incomplete intended for Marc Boerigter. Penalty on Ade Jimoh: Defensive Pass Interfere, 7 yards (no play)",1.090,2.460
4,3:11,1,10,WAS 47,21,28,Larry Johnson left end for 1 yard (tackle by Marcus Washington and Lemar Marshall),2.460,2.050
4,2:27,2,9,WAS 46,21,28,Larry Johnson left end for -1 yards (tackle by Marcus Washington),2.050,1.220
4,2:00,3,10,WAS 47,21,28,Trent Green pass incomplete intended for Tony Richardson,1.220,0.130
4,1:50,4,10,WAS 47,21,28,Dustin Colquitt punts 25 yards,0.130,-0.410
4,1:46,1,10,WAS 22,21,28,Mark Brunell pass complete to Clinton Portis for 11 yards (tackle by Derrick Johnson),0.410,1.140
4,1:22,1,10,WAS 33,21,28,Mark Brunell pass complete to James Thrash for 19 yards (tackle by Kawika Mitchell),1.140,2.390
4,1:22,1,10,KAN 48,21,28,Mark Brunell spiked the ball,2.390,1.850
4,1:05,2,10,KAN 48,21,28,Mark Brunell pass incomplete,1.850,1.160
4,0:59,3,10,KAN 48,21,28,Mark Brunell pass complete to David Patten for 15 yards (tackle by Greg Wesley),1.160,3.380
4,0:38,1,10,KAN 33,21,28,Mark Brunell pass incomplete intended for Chris Cooley,3.380,2.840
4,0:29,2,10,KAN 33,21,28,Mark Brunell pass incomplete intended for James Thrash,2.840,2.150
4,0:23,3,10,KAN 33,21,28,Mark Brunell pass incomplete intended for David Patten,2.150,1.150
4,0:14,4,10,KAN 33,21,28,Mark Brunell pass incomplete intended for Santana Moss (defended by Sammy Knight),1.150,-1.140
4,0:08,1,10,KAN 33,21,28,Trent Green kneels for -1 yards,1.140,0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
