Quarter,Time,Down,ToGo,Location,SFO,SDG,Detail,EPB,EPA
2,3:34,2,10,SDG 13,0,10,Philip Rivers pass incomplete short left intended for Vincent Jackson,-0.770,-1.420
2,3:28,3,10,SDG 13,0,10,"Philip Rivers pass complete short right to Kelley Washington for 36 yards (tackle by Tarell Brown). Penalty on Tarell Brown: Unnecessary Roughness, 15 yards",-1.420,3.180
2,3:10,1,10,SFO 36,0,10,Ryan Mathews left end for 14 yards (tackle by Parys Haralson),3.180,4.110
2,2:31,,,,0,10,Timeout #1 by San Diego Chargers,0.000,4.110
2,2:31,1,10,SFO 22,0,10,Ryan Mathews right end for 3 yards (tackle by Reggie Smith),4.110,3.970
2,2:00,2,7,SFO 19,0,10,Philip Rivers pass complete short middle to Randy McMichael for 8 yards (tackle by Parys Haralson),3.970,4.840
2,1:24,1,10,SFO 11,0,16,"Philip Rivers pass complete short left to Vincent Jackson for 11 yards, touchdown",4.840,7.000
2,,,,SFO 2,0,17,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,0,17,"Nate Kaeding kicks off 64 yards, returned by Ted Ginn for 11 yards (tackle by Steve Gregory)",0.000,-0.060
2,1:14,1,10,SFO 17,0,17,Alex Smith pass complete short middle to Brian Westbrook for 2 yards (tackle by Steve Gregory),-0.060,-0.250
2,1:06,,,,0,17,Timeout #2 by San Diego Chargers,0.000,-0.250
2,1:06,2,8,SFO 19,0,17,Alex Smith sacked by Luis Castillo for -5 yards,-0.250,-1.720
2,1:02,,,,0,17,Timeout #3 by San Diego Chargers,0.000,-1.720
2,1:02,3,13,SFO 14,0,17,Alex Smith pass complete short left to Josh Morgan for 3 yards (tackle by Dante Hughes),-1.720,-2.320
2,0:13,,,,0,17,Timeout #2 by San Francisco 49ers,0.000,-2.320
2,0:13,4,10,SFO 17,0,17,"Andy Lee punts 54 yards, returned by Antoine Cason for 22 yards (tackle by Reggie Smith)",-2.320,-2.320
2,0:02,1,10,SFO 49,0,17,Philip Rivers pass incomplete,2.320,1.780
Quarter,Time,Down,ToGo,Location,SFO,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,0,17,"Nate Kaeding kicks off 55 yards, returned by Ted Ginn for 85 yards. Penalty on Moran Norris: Face Mask (15 Yards), 15 yards",0.000,-0.220
3,14:47,1,10,SFO 15,0,17,Alex Smith pass complete short right to Anthony Dixon for 2 yards (tackle by Kevin Burnett and Stephen Cooper),-0.220,-0.440
3,14:07,2,8,SFO 17,0,17,Brian Westbrook right end for 3 yards (tackle by Antonio Garay),-0.440,-0.760
3,13:22,3,5,SFO 20,0,17,Alex Smith pass incomplete short right intended for Michael Crabtree,-0.760,-2.030
3,13:18,4,5,SFO 20,0,17,"Andy Lee punts 49 yards, returned by Antoine Cason for 11 yards (tackle by Delanie Walker)",-2.030,-1.730
3,13:04,1,10,SDG 42,0,17,Mike Tolbert right tackle for 3 yards (tackle by Manny Lawson),1.730,1.590
3,12:25,2,7,SDG 45,0,17,Philip Rivers pass complete short right to Darren Sproles for 8 yards (tackle by Manny Lawson and Takeo Spikes),1.590,2.460
3,11:56,1,10,SFO 47,0,17,Mike Tolbert middle for 11 yards (tackle by Patrick Willis),2.460,3.180
3,11:14,1,10,SFO 36,0,17,Ryan Mathews for 6 yards (tackle by Nate Clements),3.180,3.450
3,10:41,2,4,SFO 30,0,17,Philip Rivers pass complete short middle to Randy McMichael for 6 yards (tackle by Patrick Willis and Takeo Spikes),3.450,3.970
3,10:00,1,10,SFO 24,0,17,Mike Tolbert left end for 2 yards (tackle by Ray McDonald),3.970,3.700
3,9:23,2,8,SFO 22,0,17,Philip Rivers pass incomplete short left intended for Kion Wilson (defended by Patrick Willis),3.700,3.010
3,9:17,3,8,SFO 22,0,17,Philip Rivers pass complete short middle to Randy McMichael for 10 yards (tackle by Takeo Spikes and Patrick Willis),3.010,4.780
3,8:36,1,10,SFO 12,0,17,Mike Tolbert left end for 5 yards (tackle by Patrick Willis),4.780,5.020
3,7:52,2,5,SFO 7,0,17,Mike Tolbert right end for 4 yards (tackle by Dashon Goldson and Takeo Spikes),5.020,5.060
3,7:06,,,,0,17,Timeout #1 by San Diego Chargers,0.000,5.060
3,7:06,3,1,SFO 3,0,17,Mike Tolbert left tackle for no gain (tackle by Demetric Evans and Dashon Goldson),5.060,3.060
3,6:14,,,,0,17,Timeout #2 by San Diego Chargers,0.000,3.060
3,6:13,4,1,SFO 3,0,17,Mike Tolbert middle for 2 yards (tackle by Takeo Spikes),3.060,6.970
3,5:31,1,1,SFO 1,0,17,Mike Tolbert right end for no gain (tackle by Takeo Spikes and Ray McDonald),6.970,5.910
3,4:56,2,1,SFO 1,0,23,"Mike Tolbert middle for 1 yard, touchdown",5.910,7.000
3,,,,SFO 2,0,24,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,,,"Nate Kaeding kicks off 66 yards, returned by Ted Ginn for 18 yards (tackle by Quinton Teal)",,
3,4:46,1,10,SFO 22,0,24,Alex Smith pass incomplete short left intended for Brian Westbrook,0.410,-0.130
3,4:41,2,10,SFO 22,0,24,Alex Smith sacked by Shaun Phillips for -5 yards,-0.130,-1.680
3,4:08,3,15,SFO 17,0,24,Alex Smith pass complete short middle to Michael Crabtree for 7 yards (tackle by Eric Weddle),-1.680,-1.770
3,3:32,4,8,SFO 24,0,24,"Andy Lee punts 54 yards, returned by Antoine Cason for 9 yards (tackle by NaVorro Bowman)",-1.770,-1.000
3,3:22,1,10,SDG 31,0,24,Ryan Mathews middle for 3 yards (tackle by Patrick Willis),1.000,0.870
3,2:44,2,7,SDG 34,0,24,"Ryan Mathews right tackle for no gain (tackle by Ray McDonald). Penalty on Ray McDonald: Defensive Offside, 5 yards (no play)",0.870,1.540
3,2:20,2,2,SDG 39,0,24,Ryan Mathews left tackle for 2 yards (tackle by Ray McDonald),1.540,1.660
3,1:44,1,10,SDG 41,0,24,Ryan Mathews right end for 3 yards (tackle by Aubrayo Franklin),1.660,1.530
3,1:00,2,7,SDG 44,0,24,Philip Rivers pass complete short left to Darren Sproles for 11 yards (tackle by Shawntae Spencer),1.530,2.590
3,0:32,1,10,SFO 45,0,24,Ryan Mathews right end for -1 yards (tackle by Nate Clements),2.590,1.910
Quarter,Time,Down,ToGo,Location,SFO,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,11,SFO 46,0,24,Darren Sproles left end for 1 yard (tackle by Demetric Evans),1.910,1.360
4,14:19,3,10,SFO 45,0,24,Philip Rivers pass complete short middle to Randy McMichael for 22 yards (tackle by Dashon Goldson),1.360,4.040
4,13:34,1,10,SFO 23,0,24,Ryan Mathews right tackle for 1 yard (tackle by Isaac Sopoaga and Takeo Spikes),4.040,3.630
4,12:53,2,9,SFO 22,0,24,Ryan Mathews middle for 1 yard (tackle by Ricky Jean-Francois),3.630,3.070
4,12:12,3,8,SFO 21,0,30,"Philip Rivers pass complete deep right to Vincent Jackson for 21 yards, touchdown",3.070,7.000
,,,,,,,"SFO challenged the runner broke the plane ruling, and the play was upheld.",,
4,,,,SFO 2,0,31,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,0,31,"Nate Kaeding kicks off 64 yards, returned by Ted Ginn for 22 yards (tackle by Quinton Teal)",0.000,0.810
4,11:59,1,10,SFO 28,0,31,Alex Smith pass complete short right to Ted Ginn for 9 yards (tackle by Quentin Jammer),0.810,1.480
4,11:27,2,1,SFO 37,0,31,Alex Smith pass complete deep right to Josh Morgan for 19 yards (tackle by Eric Weddle and Darry Beckwith),1.480,2.650
4,10:57,1,10,SDG 44,0,31,Alex Smith pass incomplete deep middle intended for Josh Morgan,2.650,2.110
4,10:50,2,10,SDG 44,0,31,Alex Smith pass complete short right to Ted Ginn for 5 yards (tackle by Eric Weddle),2.110,2.080
4,10:23,3,5,SDG 39,0,31,Alex Smith sacked by Antwan Barnes for -6 yards,2.080,0.270
4,9:48,4,11,SDG 45,0,31,Alex Smith pass incomplete deep left intended for Ted Ginn is intercepted by Steve Gregory at SDG-24 and returned for 41 yards,0.270,-3.250
4,9:34,1,10,SFO 35,0,31,Ryan Mathews right end for 14 yards (tackle by Manny Lawson),3.250,4.170
4,9:09,1,10,SFO 21,0,31,Ryan Mathews left end for -4 yards (tackle by Ahmad Brooks),4.170,3.090
4,8:32,2,14,SFO 25,0,31,Ryan Mathews middle for 3 yards (tackle by Takeo Spikes),3.090,2.810
4,7:53,3,11,SFO 22,0,31,Ryan Mathews right end for 1 yard (tackle by Nate Clements),2.810,2.060
4,7:43,4,10,SFO 21,0,34,Nate Kaeding 39 yard field goal good,2.060,3.000
4,,,,SDG 30,0,34,"Nate Kaeding kicks off 58 yards, returned by Ted Ginn for 18 yards (tackle by Dante Hughes)",0.000,0.940
4,7:33,1,10,SFO 30,0,34,"Alex Smith pass complete short right to Josh Morgan for 36 yards (tackle by Kevin Burnett). Penalty on Kevin Burnett: Face Mask (15 Yards), 15 yards",0.940,4.310
4,7:02,1,10,SDG 19,0,34,Alex Smith pass complete short left to Delanie Walker for 5 yards (tackle by Dante Hughes),4.310,4.530
4,6:31,2,5,SDG 14,0,34,Alex Smith pass complete short right to Vernon Davis for 4 yards (tackle by Kevin Burnett and Paul Oliver),4.530,4.690
4,5:51,3,1,SDG 10,0,34,Anthony Dixon middle for 3 yards (tackle by Kevin Burnett and Paul Oliver),4.690,5.600
4,5:09,1,7,SDG 7,0,34,Alex Smith pass complete short middle to Josh Morgan for 4 yards (tackle by Antoine Cason),5.600,5.530
4,4:30,2,3,SDG 3,6,34,"Brian Westbrook middle for 3 yards, touchdown",5.530,7.000
4,,,,SDG 2,7,34,Jeff Reed kicks extra point good,0.000,0.000
4,,,,SFO 30,7,34,"Jeff Reed kicks off 68 yards, returned by Darren Sproles for 13 yards (tackle by NaVorro Bowman)",0.000,-0.220
4,4:20,1,10,SDG 15,7,34,Ryan Mathews left tackle for 3 yards (tackle by NaVorro Bowman),-0.220,-0.280
4,3:37,2,7,SDG 18,7,34,Ryan Mathews left tackle for 2 yards (tackle by Keaton Kristick),-0.280,-0.760
4,3:29,,,,7,34,Timeout #2 by San Francisco 49ers,0.000,-0.760
4,3:29,3,5,SDG 20,7,34,Darren Sproles left end for no gain (tackle by Keaton Kristick),-0.760,-2.030
4,3:26,,,,7,34,Timeout #3 by San Francisco 49ers,0.000,-2.030
4,3:26,4,5,SDG 20,7,34,"Mike Scifres punts 42 yards, fair catch by Ted Ginn",-2.030,-1.470
4,3:18,1,10,SFO 38,7,34,Alex Smith pass complete short right to Brian Westbrook for 6 yards (tackle by Steve Gregory),1.470,1.730
4,3:13,2,4,SFO 44,7,34,Alex Smith pass complete short right to Delanie Walker for 6 yards (tackle by Quentin Jammer),1.730,2.260
4,2:46,1,10,,7,34,Alex Smith pass incomplete,2.260,1.710
4,2:39,2,10,,7,34,Alex Smith pass complete short left to Michael Crabtree for 1 yard (tackle by Dante Hughes),1.710,1.160
4,2:12,3,9,SDG 49,7,34,Alex Smith pass incomplete short left intended for Brian Westbrook,1.160,0.000
4,2:08,4,9,SDG 49,7,34,Alex Smith sacked by Cam Thomas for -10 yards,0.000,-2.850
4,2:00,1,10,SFO 41,7,34,Billy Volek kneels for no gain,2.850,2.310
4,1:18,2,10,SFO 41,7,34,Billy Volek kneels for -1 yards,2.310,1.490
4,0:36,3,11,SFO 42,7,34,Billy Volek kneels for -1 yards,1.490,0.400
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
