Quarter,Time,Down,ToGo,Location,IND,SEA,Detail,EPB,EPA
2,13:00,2,7,IND 29,3,7,Matt Hasselbeck pass incomplete intended for Bobby Engram,3.310,2.610
2,12:53,3,7,IND 29,3,7,Shaun Alexander up the middle for 6 yards (tackle by Marlin Jackson and Gary Brackett),2.610,2.080
2,12:19,4,1,IND 23,3,7,Shaun Alexander left end for 8 yards (tackle by Mike Doss),2.080,4.580
2,11:52,1,10,IND 15,3,13,"Matt Hasselbeck pass complete to Jerramy Stevens for 15 yards, touchdown",4.580,7.000
2,,,,IND 2,3,14,Josh Brown kicks extra point good,0.000,0.000
2,,,,SEA 30,3,14,"Josh Brown kicks off 69 yards, returned by Dominic Rhodes for 22 yards (tackle by Josh Scobey)",0.000,0.480
2,11:40,1,10,IND 23,3,14,Edgerrin James left tackle for 2 yards (tackle by Marcus Tubbs),0.480,0.200
2,11:06,2,8,IND 25,3,14,Jim Sorgi pass complete to Troy Walters for 7 yards (tackle by D.D. Lewis),0.200,0.430
2,10:25,3,1,IND 32,3,14,Jim Sorgi pass complete to Edgerrin James for 6 yards (tackle by Rocky Bernard),0.430,1.470
2,9:42,1,10,IND 38,3,14,Edgerrin James up the middle for 6 yards (tackle by Lofa Tatupu),1.470,1.730
2,9:09,2,4,IND 44,3,14,Jim Sorgi pass complete to Troy Walters for -1 yards (tackle by D.D. Lewis),1.730,0.890
2,8:22,3,5,IND 43,3,14,Jim Sorgi pass complete to Aaron Moorehead for 7 yards (tackle by Jordan Babineaux and Michael Harden),0.890,2.260
2,7:42,1,10,SEA 50,3,14,Edgerrin James left tackle for 4 yards (tackle by Marcus Tubbs),2.260,2.250
2,6:59,2,6,SEA 46,3,14,Jim Sorgi pass incomplete intended for Aaron Moorehead,2.250,1.550
2,6:54,3,6,SEA 46,3,14,Jim Sorgi pass incomplete intended for Ben Utecht,1.550,0.200
2,6:49,4,6,SEA 46,3,14,"Hunter Smith punts 40 yards, fair catch by Jimmy Williams",0.200,0.380
2,6:42,1,10,SEA 6,3,14,Matt Hasselbeck pass incomplete intended for Mack Strong (defended by Nick Harper),-0.380,-0.780
2,6:36,2,10,SEA 6,3,14,Shaun Alexander left tackle for 6 yards (tackle by David Thornton),-0.780,-0.720
2,6:00,3,4,SEA 12,3,14,"Matt Hasselbeck pass incomplete intended for Darrell Jackson. Penalty on Marlin Jackson: Illegal Contact, 5 yards (no play)",-0.720,-0.060
2,5:52,1,10,SEA 17,3,14,Shaun Alexander right tackle for 4 yards (tackle by Gary Brackett),-0.060,0.080
2,5:15,2,6,SEA 21,3,14,Matt Hasselbeck pass complete to Jerramy Stevens for 4 yards (tackle by Mike Doss),0.080,-0.240
2,4:36,3,2,SEA 25,3,14,Maurice Morris left tackle for 1 yard (tackle by Gary Brackett),-0.240,-1.630
2,4:01,4,1,SEA 26,3,14,"Tom Rouen punts 62 yards, returned by Troy Walters for 29 yards (tackle by Joe Tafoya)",-1.630,-1.660
2,3:44,1,10,IND 41,3,14,Jim Sorgi pass incomplete intended for Edgerrin James,1.660,1.120
2,3:39,2,10,IND 41,3,14,Edgerrin James left tackle for 11 yards (tackle by Marquand Manuel and Michael Boulware),1.120,2.390
2,3:04,1,10,SEA 48,3,14,Edgerrin James right tackle for 1 yard (tackle by Craig Terrill and Rodney Bailey),2.390,1.980
2,2:23,2,9,SEA 47,3,14,Jim Sorgi left guard for 6 yards (tackle by Grant Wistrom),1.980,2.080
2,2:00,3,3,SEA 41,3,14,Jim Sorgi pass complete to Brandon Stokley for 22 yards (tackle by Michael Harden),2.080,4.310
2,1:27,1,10,SEA 19,3,14,Jim Sorgi pass complete to Dominic Rhodes for 1 yard (tackle by Michael Harden),4.310,3.880
2,1:20,2,9,SEA 18,3,14,Jim Sorgi pass incomplete intended for Brandon Stokley (defended by Lofa Tatupu),3.880,3.140
2,1:16,3,9,SEA 18,3,14,Jim Sorgi pass complete to Dominic Rhodes for 4 yards (tackle by Jimmy Williams and Jordan Babineaux),3.140,2.560
2,0:40,4,5,SEA 14,6,14,Mike Vanderjagt 32 yard field goal good,2.560,3.000
2,,,,IND 30,6,14,"Jose Cortez kicks off 62 yards, returned by Josh Scobey for 22 yards (tackle by Keith O'Neil)",0.000,0.940
2,0:32,1,10,SEA 30,6,14,Matt Hasselbeck pass complete to Darrell Jackson for 15 yards,0.940,1.930
2,0:26,1,10,SEA 45,6,14,Matt Hasselbeck pass incomplete intended for Darrell Jackson,1.930,1.380
2,0:20,2,10,SEA 45,6,14,Matt Hasselbeck pass complete to Maurice Morris for 3 yards (tackle by Kelvin Hayden),1.380,1.090
2,0:12,,,,6,14,Timeout #1 by Seattle Seahawks,0.000,1.090
2,0:12,3,7,SEA 48,6,14,Matt Hasselbeck pass complete to Jerramy Stevens for 12 yards (tackle by Kelvin Hayden),1.090,2.920
2,0:06,1,10,IND 40,6,14,Josh Brown 57 yard field goal no good,2.920,2.060
Quarter,Time,Down,ToGo,Location,IND,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 30,6,14,"Jose Cortez kicks off 70 yards, returned by Josh Scobey for 33 yards (tackle by Rob Morris)",0.000,1.140
3,14:55,1,10,SEA 33,6,14,"Penalty on Bobby Engram: False Start, 5 yards (no play)",1.140,0.810
3,14:55,1,15,SEA 28,6,14,Matt Hasselbeck pass complete to Bobby Engram for 13 yards (tackle by Rob Morris),0.810,1.670
3,14:28,2,2,SEA 41,6,14,Shaun Alexander right tackle for 6 yards (tackle by Larry Tripplett),1.670,2.060
3,13:56,1,10,SEA 47,6,14,Shaun Alexander left end for 1 yard (tackle by Jason David),2.060,1.650
3,13:20,2,9,SEA 48,6,14,Matt Hasselbeck pass complete to Ryan Hannam for 9 yards (tackle by Rob Morris),1.650,2.720
3,12:45,1,10,IND 43,6,14,Matt Hasselbeck pass complete to Joe Jurevicius for 17 yards (tackle by Dexter Reid and Kelvin Hayden),2.720,3.840
3,12:17,1,10,IND 26,6,14,"Penalty on D.J. Hackett: False Start, 5 yards (no play)",3.840,3.510
3,12:02,1,15,IND 31,6,14,Shaun Alexander left end for 25 yards (tackle by Dexter Reid),3.510,5.830
3,11:38,1,6,IND 6,6,14,Shaun Alexander up the middle for no gain (tackle by Josh Thomas and Gilbert Gardner),5.830,4.950
3,11:03,2,6,IND 6,6,20,"Matt Hasselbeck pass complete to Shaun Alexander for 6 yards, touchdown",4.950,7.000
3,,,,IND 2,6,21,Josh Brown kicks extra point good,0.000,0.000
3,,,,SEA 30,6,21,"Josh Brown kicks off 68 yards, returned by Dominic Rhodes for 24 yards (tackle by Michael Harden)",0.000,0.670
3,10:50,1,10,IND 26,6,21,Jim Sorgi pass complete to Troy Walters for 13 yards (tackle by Jimmy Williams),0.670,1.530
3,10:14,1,10,IND 39,6,21,Jim Sorgi pass complete to Bryan Fletcher for 9 yards (tackle by Rocky Bernard),1.530,2.200
3,9:35,2,1,IND 48,6,21,Dominic Rhodes right tackle for no gain (tackle by D.D. Lewis and Joe Tafoya),2.200,1.490
3,8:53,3,1,IND 48,6,21,Dominic Rhodes left guard for no gain (tackle by Michael Boulware and Joe Tafoya),1.490,-0.190
3,8:08,4,1,IND 48,6,21,"Penalty on Kelvin Hayden: False Start, 5 yards (no play)",-0.190,-0.520
3,7:59,4,6,IND 43,6,21,"Hunter Smith punts 43 yards, fair catch by Jimmy Williams",-0.520,0.280
3,7:51,1,10,SEA 14,6,21,Shaun Alexander left end for 8 yards (tackle by Rob Morris),-0.280,0.420
3,7:14,2,2,SEA 22,6,21,Shaun Alexander left end for -2 yards (tackle by Keith O'Neil and Darrell Reid),0.420,-0.680
3,6:30,3,4,SEA 20,6,21,Matt Hasselbeck sacked by Gilbert Gardner for -5 yards,-0.680,-2.440
3,6:08,4,9,SEA 15,6,21,"Penalty on Josh Scobey: False Start, 5 yards (no play)",-2.440,-2.490
3,6:02,4,14,SEA 10,6,21,"Tom Rouen punts 58 yards, returned by Troy Walters for 21 yards (tackle by Josh Scobey). Penalty on Jason David: Illegal Block Above the , 10 yards",-2.490,-1.800
3,5:47,1,10,IND 43,6,21,Jim Sorgi pass complete to Dominic Rhodes for 9 yards (tackle by Jordan Babineaux and LeRoy Hill),1.800,2.470
3,5:11,2,1,SEA 48,6,21,Dominic Rhodes left tackle for 1 yard (tackle by Marcus Tubbs),2.470,2.460
3,4:27,1,10,SEA 47,6,21,Jim Sorgi pass complete to Troy Walters for 12 yards (tackle by Michael Boulware),2.460,3.250
3,3:50,1,10,SEA 35,6,21,Jim Sorgi pass complete to Dominic Rhodes for -2 yards (tackle by D.D. Lewis),3.250,2.430
3,3:09,2,12,SEA 37,6,21,Dominic Rhodes up the middle for -4 yards (tackle by Marcus Tubbs),2.430,1.220
3,2:29,3,16,SEA 41,6,21,Jim Sorgi sacked by Grant Wistrom for -4 yards,1.220,0.270
3,2:04,4,20,SEA 45,6,21,"Hunter Smith punts 32 yards, fair catch by Jimmy Williams",0.270,0.320
3,1:58,1,10,SEA 13,6,21,Shaun Alexander up the middle for 16 yards (tackle by Von Hutchins and Gilbert Gardner),-0.320,0.870
3,1:18,1,10,SEA 29,6,21,Maurice Morris left end for 6 yards (tackle by Rob Morris),0.870,1.140
3,0:42,2,4,SEA 35,6,21,Matt Hasselbeck pass complete to Joe Jurevicius for 14 yards (tackle by Matt Giordano),1.140,2.190
Quarter,Time,Down,ToGo,Location,IND,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SEA 49,6,21,Matt Hasselbeck pass complete to Leonard Weaver for 12 yards (tackle by Kelvin Hayden and Gilbert Gardner),2.190,2.980
4,14:19,1,10,IND 39,6,21,Matt Hasselbeck pass complete to D.J. Hackett for 5 yards (tackle by Kelvin Hayden),2.980,3.120
4,13:38,2,5,IND 34,6,21,Matt Hasselbeck pass incomplete intended for Leonard Weaver (defended by Rob Morris),3.120,2.410
4,13:32,3,5,IND 34,6,21,"Shaun Alexander up the middle for 10 yards (tackle by Dexter Reid). Penalty on Robbie Tobeck: Offensive Holding, 10 yards",2.410,2.410
4,13:14,3,5,IND 34,6,21,Matt Hasselbeck sacked by Mike Labinjo and Josh Thomas for -4 yards,2.410,0.720
4,12:42,4,9,IND 38,6,21,"Tom Rouen punts 38 yards, touchback",0.720,-0.280
4,12:34,1,10,IND 20,6,21,Jim Sorgi pass complete to Brandon Stokley for 30 yards (tackle by Michael Boulware and LeRoy Hill),0.280,2.260
4,12:00,1,10,SEA 50,6,21,Jim Sorgi pass incomplete intended for Dominic Rhodes,2.260,1.710
4,11:56,2,10,SEA 50,6,21,Dominic Rhodes right guard for -1 yards (tackle by Grant Wistrom and Bryce Fisher),1.710,0.890
4,11:15,3,11,IND 49,6,21,Jim Sorgi pass complete to Troy Walters for 10 yards (tackle by Jordan Babineaux),0.890,0.530
4,10:52,4,1,SEA 41,6,21,Jim Sorgi up the middle for 2 yards (tackle by Craig Terrill and Rodney Bailey),0.530,2.980
4,10:20,1,10,SEA 39,6,21,Jim Sorgi pass incomplete intended for Bryan Fletcher (defended by LeRoy Hill),2.980,2.440
4,10:15,2,10,SEA 39,6,21,Jim Sorgi pass complete to Brandon Stokley for 9 yards (tackle by LeRoy Hill),2.440,2.940
4,9:40,3,1,SEA 30,6,21,James Mungro left guard for no gain (tackle by Rocky Bernard),2.940,1.520
4,8:43,4,1,SEA 30,6,21,James Mungro up the middle for -1 yards (tackle by Grant Wistrom),1.520,-1.000
4,8:38,1,10,SEA 31,6,21,Shaun Alexander left end for 4 yards (tackle by Von Hutchins),1.000,1.000
4,7:57,2,6,SEA 35,6,21,Shaun Alexander right tackle for no gain (tackle by Rob Morris and Kelvin Hayden),1.000,0.300
4,7:20,,,,6,21,Timeout #1 by Indianapolis Colts,0.000,0.300
4,7:20,3,6,SEA 35,6,21,Matt Hasselbeck pass complete to Jerramy Stevens for 2 yards (tackle by Darrell Reid),0.300,-0.910
4,6:48,4,4,SEA 37,6,21,Tom Rouen punts 38 yards,-0.910,-0.610
4,6:39,1,10,IND 25,6,21,Jim Sorgi pass complete to Dominic Rhodes for 9 yards (tackle by Jordan Babineaux),0.610,1.280
4,6:07,2,1,IND 34,6,21,"Jim Sorgi pass incomplete intended for Aaron Moorehead. Penalty on Aaron Moorehead: Offensive Pass Interfere, 10 yards (no play)",1.280,-0.070
4,6:03,2,11,IND 24,6,21,Jim Sorgi pass incomplete intended for Troy Walters,-0.070,-0.760
4,5:56,,,,6,21,Timeout #2 by Indianapolis Colts,0.000,-0.760
4,5:56,3,11,IND 24,6,21,Jim Sorgi pass complete to Brandon Stokley for 16 yards (tackle by Jordan Babineaux),-0.760,1.600
4,5:36,1,10,IND 40,6,21,"Jim Sorgi sacked by Marcus Tubbs for -7 yards. Jim Sorgi fumbles (forced by Marcus Tubbs), recovered by Craig Terrill at IND-35 and returned for 18 yards (tackle by Jeff Saturday)",1.600,-4.440
4,5:27,1,10,IND 17,6,21,Maurice Morris right tackle for 3 yards (tackle by Darrell Reid),4.440,4.320
4,4:48,2,7,IND 14,6,21,Maurice Morris right tackle for 13 yards (tackle by Matt Giordano),4.320,6.970
4,4:02,,,,6,21,Timeout #1 by Seattle Seahawks,0.000,6.970
4,4:02,1,1,IND 1,6,27,"Shaun Alexander left tackle for 1 yard, touchdown",6.970,7.000
4,,,,IND 2,6,28,Josh Brown kicks extra point good,0.000,0.000
4,,,,SEA 30,6,28,"Josh Brown kicks off 67 yards, returned by Dominic Rhodes for 21 yards (tackle by Jordan Babineaux)",0.000,0.540
4,3:52,1,10,IND 24,6,28,Jim Sorgi pass complete to Dominic Rhodes for 6 yards (tackle by Michael Harden),0.540,0.810
4,3:22,2,4,IND 30,6,28,Jim Sorgi pass complete to Bryan Fletcher for 10 yards (tackle by Jordan Babineaux),0.810,1.600
4,2:52,1,10,IND 40,6,28,Jim Sorgi pass complete to Aaron Moorehead for 9 yards (tackle by Michael Harden),1.600,2.270
4,2:46,2,1,IND 49,6,28,Jim Sorgi pass complete to Brandon Stokley for 45 yards (tackle by Marquand Manuel and Jordan Babineaux),2.270,5.830
4,2:11,1,6,SEA 6,6,28,Jim Sorgi pass incomplete intended for Troy Walters,5.830,4.950
4,2:08,2,6,SEA 6,6,28,Jim Sorgi pass incomplete intended for Ben Utecht (defended by Michael Boulware),4.950,4.040
4,2:04,3,6,SEA 6,12,28,"Jim Sorgi pass complete to Troy Walters for 6 yards, touchdown",4.040,7.000
4,,,,SEA 2,13,28,Mike Vanderjagt kicks extra point good,0.000,0.000
4,,,,IND 30,13,28,"Mike Vanderjagt kicks onside 32 yards. , recovered by Josh Scobey at SEA-34 and returned for 13 yards (tackle by Gilbert Gardner)",0.000,2.060
4,1:55,1,10,SEA 47,13,28,Maurice Morris right tackle for -1 yards (tackle by Rob Morris),2.060,1.380
4,1:47,,,,13,28,Timeout #3 by Indianapolis Colts,0.000,1.380
4,1:47,2,11,SEA 46,13,28,Maurice Morris left end for 2 yards (tackle by Keith O'Neil),1.380,0.960
4,1:01,3,9,SEA 48,13,28,Maurice Morris right end for -3 yards (tackle by Keith O'Neil),0.960,-0.390
4,0:18,4,12,SEA 45,13,28,"Tom Rouen punts 55 yards, touchback",-0.390,-0.280
4,0:09,1,10,IND 20,13,28,Jim Sorgi kneels for -1 yards,0.280,-0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
