Quarter,Time,Down,ToGo,Location,KAN,SDG,Detail,EPB,EPA
2,0:04,1,10,SDG 41,3,17,Trent Green pass complete to Larry Johnson for 40 yards (tackle by Jerry Wilson),2.850,0.150
Quarter,Time,Down,ToGo,Location,KAN,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,3,17,"Nate Kaeding kicks off 63 yards, returned by Dante Hall for 17 yards (tackle by Kassim Osgood)",0.000,0.540
3,14:55,1,10,KAN 24,3,17,Larry Johnson left tackle for 6 yards (tackle by Ben Leber and Jason Fisk),0.540,0.810
3,14:38,2,4,KAN 30,3,17,Trent Green pass complete to Tony Gonzalez for 7 yards (tackle by Hanik Milligan),0.810,1.400
3,14:16,1,10,KAN 37,3,17,Trent Green pass incomplete intended for Larry Johnson (defended by Matt Wilhelm),1.400,0.860
3,14:10,2,10,KAN 37,3,17,Larry Johnson right end for no gain (tackle by Stephen Cooper),0.860,0.170
3,13:33,3,10,KAN 37,3,17,Trent Green pass incomplete intended for Tony Gonzalez,0.170,-0.910
3,13:27,4,10,KAN 37,3,17,"Nick Murphy punts 44 yards, returned by Eric Parker for -1 yards (tackle by Gary Stills)",-0.910,-0.040
3,13:15,1,10,SDG 18,3,17,"Penalty on Toniu Fonoti: False Start, 5 yards (no play)",0.040,-0.450
3,13:15,1,15,SDG 13,3,17,Philip Rivers pass incomplete intended for Bobby Shaw,-0.450,-1.140
3,13:10,2,15,SDG 13,3,17,Michael Turner right tackle for 2 yards (tackle by Jared Allen),-1.140,-1.660
3,12:26,3,13,SDG 15,3,17,Philip Rivers pass complete to Michael Turner for -5 yards (tackle by Kawika Mitchell),-1.660,-2.490
3,12:26,4,18,SDG 10,3,17,Mike Scifres punts 41 yards,-2.490,-2.190
3,11:35,1,10,KAN 49,3,17,Trent Green pass complete to Chris Horn for 7 yards (tackle by Jamar Fletcher),2.190,2.590
3,11:16,2,3,SDG 44,3,17,Larry Johnson up the middle for 6 yards (tackle by Matt Wilhelm),2.590,3.050
3,10:37,1,10,SDG 38,3,17,Trent Green pass complete to Tony Gonzalez for 32 yards (tackle by Hanik Milligan),3.050,5.830
3,9:54,1,6,SDG 6,3,17,Larry Johnson right end for -3 yards (tackle by Terrence Kiel),5.830,4.380
3,9:11,2,9,SDG 9,3,17,Trent Green pass complete to Tony Gonzalez for 7 yards (tackle by Ben Leber),4.380,4.950
3,8:35,3,2,SDG 2,3,17,Larry Johnson up the middle for no gain (tackle by Ben Leber and Hanik Milligan),4.950,3.250
3,8:10,,,,3,17,Timeout #1 by Kansas City Chiefs,0.000,3.250
3,8:10,4,2,SDG 2,3,17,Trent Green pass incomplete intended for Tony Gonzalez (defended by Hanik Milligan),3.250,0.380
3,8:04,1,10,SDG 3,3,17,Andrew Pinnock right tackle for 4 yards (tackle by Monty Beisel and Scott Fujita),-0.380,-0.490
3,7:24,2,6,SDG 7,3,17,Philip Rivers pass complete to Andrew Pinnock for 8 yards (tackle by Kawika Mitchell),-0.490,-0.220
