Quarter,Time,Down,ToGo,Location,CIN,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,CIN 31,6,7,Andy Dalton pass complete short left to Tyler Boyd for 5 yards (tackle by Bradley Roby and Will Parks),0.170,1.330
2,14:18,1,10,CIN 36,6,7,Andy Dalton pass complete deep left to Brandon LaFell for 29 yards (tackle by Justin Simmons),1.330,3.250
2,13:51,1,10,DEN 35,6,7,Andy Dalton pass incomplete deep left intended for A.J. Green,3.250,2.700
2,13:45,2,10,DEN 35,6,7,Joe Mixon left tackle for 6 yards (tackle by Shelby Harris),2.700,2.810
2,13:01,3,4,DEN 29,12,7,"Andy Dalton pass complete deep left to Alex Erickson for 29 yards, touchdown",2.810,7.000
2,12:55,,,DEN 15,13,7,Randy Bullock kicks extra point good,0.000,0.000
2,12:55,,,CIN 35,13,7,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.610
2,12:55,1,10,DEN 25,13,7,Brock Osweiler pass incomplete short right intended for Virgil Green (defended by George Iloka),0.610,0.060
2,12:50,2,10,DEN 25,13,7,C.J. Anderson left tackle for 2 yards (tackle by Darqueze Dennard),0.060,-0.360
2,12:10,3,8,DEN 27,13,7,Brock Osweiler pass complete short right to Emmanuel Sanders for 10 yards (tackle by Dre Kirkpatrick),-0.360,1.400
2,11:30,1,10,DEN 37,13,7,C.J. Anderson left end for 1 yard (tackle by Nick Vigil and Michael Johnson),1.400,0.990
2,10:51,2,9,DEN 38,13,7,Brock Osweiler pass incomplete short middle intended for Virgil Green,0.990,0.300
2,10:46,3,9,DEN 38,13,7,Brock Osweiler pass incomplete short right intended for Demaryius Thomas,0.300,-0.850
2,10:42,4,9,DEN 38,13,7,"Riley Dixon punts 44 yards, fair catch by Alex Erickson",-0.850,-0.040
2,10:33,1,10,CIN 18,13,7,Andy Dalton pass incomplete short left intended for A.J. Green (defended by Adam Gotsis),0.040,-0.490
2,10:29,2,10,CIN 18,13,7,Joe Mixon right tackle for 5 yards (tackle by Derek Wolfe),-0.490,-0.530
2,9:46,3,5,CIN 23,13,7,Andy Dalton sacked by Derek Wolfe for -5 yards,-0.530,-2.240
2,9:04,4,10,CIN 18,13,7,"Kevin Huber punts 58 yards, returned by Jordan Taylor for 15 yards (tackle by Brandon Wilson). Penalty on Jerrol Garcia-Williams: Illegal Block Above the Waist, 10 yards",-2.240,-0.870
2,8:50,1,10,DEN 29,13,7,Brock Osweiler pass incomplete short left intended for Austin Traylor (defended by Darqueze Dennard),0.870,0.330
2,8:47,2,10,DEN 29,13,7,Devontae Booker right guard for 8 yards (tackle by Michael Johnson),0.330,0.700
2,8:05,3,2,DEN 37,13,7,Brock Osweiler pass complete short right to Devontae Booker for 5 yards (tackle by Vontaze Burfict and Shawn Williams),0.700,1.730
2,7:29,1,10,DEN 42,13,7,Devontae Booker left tackle for -3 yards (tackle by Michael Johnson),1.730,0.780
2,6:46,2,13,DEN 39,13,7,Brock Osweiler sacked by Carlos Dunlap for -6 yards,0.780,-0.690
2,6:09,3,19,DEN 33,13,7,Brock Osweiler pass complete short middle to C.J. Anderson for 13 yards (tackle by Vontaze Burfict),-0.690,-0.320
2,5:32,4,6,DEN 46,13,7,"Riley Dixon punts 46 yards, fair catch by Alex Erickson",-0.320,0.380
2,5:23,1,10,CIN 8,13,7,Joe Mixon middle for 4 yards (tackle by Von Miller),-0.380,-0.490
2,4:44,2,6,CIN 12,13,7,Andy Dalton pass complete short middle to Brandon LaFell for 2 yards (tackle by Domata Peko),-0.490,-0.720
2,4:03,3,4,CIN 14,13,7,Andy Dalton pass complete short right to Joe Mixon for 1 yard (tackle by Brandon Marshall),-0.720,-2.440
2,3:19,4,3,CIN 15,13,7,Kevin Huber punts 34 yards,-2.440,-2.320
2,3:07,1,10,CIN 49,13,7,C.J. Anderson right tackle for 5 yards (tackle by George Iloka and Jordan Evans),2.320,2.460
2,2:38,2,5,CIN 44,13,7,C.J. Anderson left guard for -1 yards (tackle by Josh Shaw and Andrew Billings),2.460,1.620
2,2:00,3,6,CIN 45,13,7,Brock Osweiler sacked by Vontaze Burfict and Carl Lawson for -12 yards,1.620,-0.520
2,1:20,4,18,DEN 43,13,7,"Riley Dixon punts 45 yards, fair catch by Alex Erickson",-0.520,0.350
2,1:10,1,10,CIN 12,13,7,Andy Dalton pass complete short right to A.J. Green for 13 yards (tackle by Aqib Talib),-0.350,0.610
2,1:04,1,10,CIN 25,13,7,Andy Dalton pass incomplete short left intended for A.J. Green (defended by Bradley Roby),0.610,0.060
2,0:58,2,10,CIN 25,13,7,Andy Dalton pass incomplete short right intended for Giovani Bernard,0.060,-0.620
2,0:54,3,10,CIN 25,13,7,Giovani Bernard left end for -5 yards (tackle by Derek Wolfe),-0.620,0.000
2,0:49,,,,,,Timeout #1 by Denver Broncos,0.000,2.030
2,0:49,4,15,CIN 20,13,7,"Kevin Huber punts 52 yards, returned by Emmanuel Sanders for -5 yards (tackle by Jordan Evans)",-2.030,-0.480
2,0:37,1,10,DEN 23,13,7,Brock Osweiler pass complete short left to Austin Traylor for 11 yards (tackle by Nick Vigil),0.480,0.000
2,0:31,,,,,,Timeout #2 by Denver Broncos,0.000,-1.200
2,0:31,1,10,DEN 34,13,7,"Brock Osweiler pass incomplete short middle intended for Emmanuel Sanders. Penalty on Carl Lawson: Defensive Offside, 5 yards (no play)",1.200,1.930
2,0:26,1,5,DEN 39,13,7,Brock Osweiler pass incomplete short right intended for Emmanuel Sanders,1.930,1.330
2,0:20,2,5,DEN 39,13,7,Brock Osweiler pass complete short left to Austin Traylor for 8 yards (tackle by Nick Vigil),1.330,0.000
2,0:14,,,,,,Timeout #3 by Denver Broncos,0.000,-2.060
2,0:14,1,10,DEN 47,13,7,"Brock Osweiler pass complete short left to Cody Latimer for 3 yards. Penalty on Carl Lawson: Neutral Zone Infraction, 5 yards (no play)",2.060,2.790
2,0:10,1,5,CIN 48,13,7,Brock Osweiler pass complete short left to C.J. Anderson for 6 yards,2.790,0.000
2,0:05,,,,,,Timeout #1 by Cincinnati Bengals,0.000,-2.790
2,0:05,1,10,CIN 42,13,7,"Brandon McManus 61 yard field goal no good, blocked by KeiVarae Russell",2.790,2.190
Quarter,Time,Down,ToGo,Location,CIN,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,13,7,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,CIN 25,13,7,Andy Dalton pass incomplete short right intended for A.J. Green (defended by Adam Gotsis),0.610,0.060
3,14:56,2,10,CIN 25,13,7,Joe Mixon right guard for -2 yards (tackle by Domata Peko),0.060,-0.890
3,14:22,3,12,CIN 23,13,7,Andy Dalton pass complete short left to Tyler Kroft for 11 yards (tackle by Darian Stewart),-0.890,-1.110
3,13:46,4,1,CIN 34,13,7,"Kevin Huber punts 48 yards, fair catch by Jordan Taylor",-1.110,-0.040
3,13:37,1,10,DEN 18,13,7,Brock Osweiler left end for 4 yards (tackle by Carlos Dunlap),0.040,0.140
3,13:01,2,6,DEN 22,13,7,C.J. Anderson right tackle for 1 yard (tackle by Vontaze Burfict),0.140,-0.530
3,12:28,3,5,DEN 23,13,7,Brock Osweiler pass complete short left to Devontae Booker for 21 yards (tackle by George Iloka),-0.530,1.860
3,11:56,1,10,DEN 44,13,7,Devontae Booker middle for 4 yards (tackle by Ryan Glasgow),1.860,1.860
3,11:26,2,6,DEN 48,13,7,Devontae Booker right guard for 5 yards (tackle by Josh Shaw),1.860,1.820
3,10:59,3,1,CIN 47,13,7,Jamaal Charles left end for 3 yards (tackle by Darqueze Dennard),1.820,2.650
3,10:35,1,10,CIN 44,13,7,"Jamaal Charles left tackle for 1 yard (tackle by Josh Shaw). Penalty on Allen Barbre: Offensive Holding, 10 yards",2.650,2.060
3,10:16,1,19,DEN 47,13,7,Brock Osweiler pass complete short left to Virgil Green for 8 yards (tackle by Nick Vigil),2.060,1.980
3,9:41,2,11,CIN 45,13,7,Jamaal Charles right tackle for 3 yards (tackle by Carlos Dunlap),1.980,1.690
3,8:58,3,8,CIN 42,13,7,Brock Osweiler pass incomplete short middle intended for Emmanuel Sanders (defended by Dre Kirkpatrick),1.690,0.460
3,8:54,4,8,CIN 42,13,7,Riley Dixon punts 41 yards,0.460,0.380
3,8:43,1,10,CIN 1,13,7,Joe Mixon left guard for 4 yards (tackle by Todd Davis),-0.380,-0.490
3,7:58,2,6,CIN 5,13,7,"Joe Mixon middle for 3 yards (tackle by Todd Davis). Penalty on Clint Boling: Offensive Holding, 4 yards",-0.490,-0.560
3,7:27,2,7,CIN 4,13,7,Andy Dalton pass incomplete short middle intended for Brandon LaFell (defended by Von Miller),-0.560,-1.070
3,7:25,3,7,CIN 4,13,7,Andy Dalton pass incomplete deep right intended for A.J. Green,-1.070,-2.490
3,7:19,4,7,CIN 4,13,7,"Kevin Huber punts 43 yards, returned by Emmanuel Sanders for 3 yards (tackle by Clayton Fejedelem)",-2.490,-2.650
3,7:08,1,10,CIN 44,13,7,Brock Osweiler pass incomplete,2.650,2.110
3,7:00,2,10,CIN 44,13,7,Devontae Booker left guard for 3 yards (tackle by Vontaze Burfict),2.110,1.820
3,6:19,3,7,CIN 41,13,7,Brock Osweiler pass complete short left to Demaryius Thomas for 9 yards (tackle by Darqueze Dennard),1.820,3.450
3,5:38,1,10,CIN 32,13,7,Devontae Booker left tackle for 5 yards (tackle by Shawn Williams),3.450,3.580
3,5:07,2,5,CIN 27,13,7,Brock Osweiler pass incomplete short left intended for Emmanuel Sanders,3.580,2.870
3,5:03,3,5,CIN 27,13,7,Brock Osweiler pass incomplete short right intended for Cody Latimer (defended by Carlos Dunlap),2.870,1.720
3,4:58,4,5,CIN 27,13,10,Brandon McManus 45 yard field goal good,1.720,3.000
3,4:54,,,DEN 35,13,10,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
3,4:54,1,10,CIN 25,13,10,Andy Dalton pass complete short right to A.J. Green for 16 yards (tackle by Justin Simmons),0.610,1.660
3,4:13,1,10,CIN 41,13,10,Giovani Bernard right tackle for -3 yards (tackle by Shaquil Barrett),1.660,0.720
3,3:31,2,13,CIN 38,13,10,Andy Dalton pass complete short middle to Giovani Bernard for 8 yards (tackle by Brandon Marshall),0.720,1.090
3,2:44,3,5,CIN 46,13,10,Andy Dalton pass complete short right to Brandon LaFell for 6 yards (tackle by Aqib Talib),1.090,2.390
3,2:06,1,10,DEN 48,13,10,Andy Dalton pass incomplete short middle intended for Tyler Kroft,2.390,1.850
3,2:01,2,10,DEN 48,13,10,Giovani Bernard right guard for 4 yards (tackle by Brandon Marshall),1.850,1.690
3,1:15,3,6,DEN 44,13,10,Andy Dalton sacked by Shane Ray for -8 yards,1.690,-0.190
3,0:34,4,14,CIN 48,13,10,"Kevin Huber punts 42 yards, fair catch by Jordan Taylor",-0.190,0.380
3,0:25,1,10,DEN 10,13,10,C.J. Anderson middle for -2 yards (tackle by Jordan Evans),-0.380,-0.930
Quarter,Time,Down,ToGo,Location,CIN,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,12,DEN 8,13,10,Brock Osweiler pass incomplete short right intended for C.J. Anderson,-0.930,-1.650
4,14:53,3,12,DEN 8,13,10,Brock Osweiler pass complete short middle to Austin Traylor for 13 yards (tackle by Vontaze Burfict),-1.650,0.340
4,14:16,1,10,DEN 21,13,10,Brock Osweiler pass complete short right to Austin Traylor for 4 yards (tackle by Josh Shaw),0.340,0.340
4,13:36,2,6,DEN 25,13,10,Brock Osweiler pass complete short left to Jordan Taylor for 14 yards (tackle by Darqueze Dennard),0.340,1.530
4,12:55,1,10,DEN 39,13,10,Devontae Booker right guard for 2 yards (tackle by Michael Johnson),1.530,1.260
4,12:21,2,8,DEN 41,13,10,C.J. Anderson middle for 2 yards (tackle by Vontaze Burfict). C.J. Anderson fumbles (forced by Vontaze Burfict),1.260,-2.650
4,12:13,1,10,DEN 44,13,10,Joe Mixon left guard for 2 yards (tackle by Derek Wolfe),2.650,2.380
4,11:32,2,8,DEN 42,13,10,Andy Dalton pass complete short right to A.J. Green for 3 yards (tackle by Chris Harris),2.380,2.080
4,10:48,3,5,DEN 39,13,10,"Andy Dalton pass complete short right to Alex Erickson for 13 yards (tackle by Aqib Talib). Alex Erickson fumbles (forced by Aqib Talib), recovered by Alex Erickson at DEN-26",2.080,3.840
4,10:06,1,10,DEN 26,13,10,Joe Mixon left end for 3 yards (tackle by Justin Simmons),3.840,3.700
4,9:43,2,7,DEN 23,13,10,Joe Mixon left end for 5 yards (tackle by Justin Simmons),3.700,0.000
4,9:02,,,,,,Timeout #1 by Cincinnati Bengals,0.000,-3.750
4,9:02,3,2,DEN 18,19,10,"Andy Dalton pass complete deep left to A.J. Green for 18 yards, touchdown",3.750,7.000
4,8:56,,,DEN 15,20,10,Randy Bullock kicks extra point good,0.000,0.000
4,8:56,,,CIN 35,20,10,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.610
4,8:56,1,10,DEN 25,20,10,Brock Osweiler pass incomplete deep left intended for Demaryius Thomas,0.610,0.060
4,8:49,2,10,DEN 25,20,10,Brock Osweiler pass complete short middle to Virgil Green for 5 yards (tackle by Vontaze Burfict),0.060,0.040
4,8:16,3,5,DEN 30,20,10,Brock Osweiler pass complete short left to Demaryius Thomas for 17 yards (tackle by Darqueze Dennard),0.040,2.060
4,7:37,1,10,DEN 47,20,10,Devontae Booker middle for no gain (tackle by Ryan Glasgow),2.060,1.520
4,6:58,2,10,DEN 47,20,10,Brock Osweiler pass incomplete deep right intended for Emmanuel Sanders,1.520,0.830
4,6:52,3,10,DEN 47,20,10,Brock Osweiler pass complete short middle to Demaryius Thomas for 14 yards (tackle by Shawn Williams),0.830,2.980
4,6:21,1,10,CIN 39,20,10,Brock Osweiler pass complete short left to Devontae Booker for 8 yards (tackle by Darqueze Dennard),2.980,3.520
4,5:54,2,2,CIN 31,20,10,Brock Osweiler pass complete short left to Demaryius Thomas for 7 yards (tackle by Vontaze Burfict),3.520,3.970
4,5:41,1,10,CIN 24,20,10,Brock Osweiler pass complete short right to Devontae Booker for 7 yards (tackle by Dre Kirkpatrick),3.970,4.460
4,5:12,2,3,CIN 17,20,16,"Brock Osweiler pass complete deep left to Demaryius Thomas for 17 yards, touchdown",4.460,7.000
4,5:05,,,CIN 15,20,17,Brandon McManus kicks extra point good,0.000,0.000
4,5:05,,,DEN 35,20,17,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
4,5:05,1,10,CIN 25,20,17,"Andy Dalton pass incomplete short left intended for Brandon LaFell. Penalty on Chris Harris: Defensive Holding, 5 yards (no play)",0.610,0.940
4,5:00,1,10,CIN 30,20,17,Joe Mixon left end for 8 yards (tackle by Todd Davis),0.940,1.470
4,4:14,2,2,CIN 38,20,17,Joe Mixon left tackle for -1 yards (tackle by Domata Peko and Adam Gotsis),1.470,0.000
4,4:09,,,,,,Timeout #1 by Denver Broncos,0.000,-0.630
4,4:09,3,3,CIN 37,20,17,Andy Dalton right guard for 6 yards,0.630,1.800
4,3:24,1,10,CIN 43,20,17,Andy Dalton pass incomplete short right intended for Brandon LaFell (defended by Aqib Talib),1.800,1.250
4,3:20,2,10,CIN 43,20,17,Joe Mixon left tackle for 4 yards (tackle by Domata Peko),1.250,0.000
4,3:15,,,,,,Timeout #2 by Denver Broncos,0.000,-1.090
4,3:15,3,6,CIN 47,20,17,"Andy Dalton pass incomplete deep left intended for A.J. Green. Penalty on Bradley Roby: Defensive Pass Interference, 15 yards (no play)",1.090,3.050
4,3:10,1,10,DEN 38,20,17,Joe Mixon left tackle for -1 yards (tackle by Von Miller),3.050,2.370
4,2:26,2,11,DEN 39,20,17,Joe Mixon left guard for no gain (tackle by Domata Peko),2.370,0.000
4,2:22,,,,,,Timeout #3 by Denver Broncos,0.000,-1.680
4,2:22,3,11,DEN 39,20,17,Joe Mixon right tackle for -2 yards (tackle by Derek Wolfe),1.680,0.530
4,2:00,4,13,DEN 41,20,17,"Kevin Huber punts 41 yards, touchback",0.530,-0.280
4,1:52,1,10,DEN 20,20,17,Brock Osweiler pass incomplete short right intended for Emmanuel Sanders (defended by Josh Shaw),0.280,-0.270
4,1:49,2,10,DEN 20,20,17,Brock Osweiler sacked by Carlos Dunlap for -7 yards,-0.270,-2.190
4,1:27,3,17,DEN 13,20,17,Brock Osweiler pass complete short left to Devontae Booker for 13 yards (tackle by Darqueze Dennard),-2.190,-1.630
4,1:00,4,4,DEN 26,20,17,Brock Osweiler pass incomplete short right intended for Emmanuel Sanders (defended by Dre Kirkpatrick),-1.630,-3.840
4,0:54,1,10,DEN 26,20,17,Andy Dalton kneels for -1 yards,3.840,3.160
4,0:33,2,11,DEN 27,20,17,Andy Dalton kneels for -1 yards,3.160,2.350
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
