Quarter,Time,Down,ToGo,Location,LVR,SEA,Detail,EPB,EPA
2,8:09,2,4,SEA 31,21,13,Geno Smith pass complete short left to D.K. Metcalf for 4 yards (tackle by Duron Harmon),0.870,1.270
2,7:39,1,10,SEA 35,21,13,Geno Smith pass complete short middle to Will Dissly for 12 yards (tackle by Sam Webb),1.270,2.060
2,7:02,1,10,SEA 47,21,13,Kenneth Walker right end for 3 yards (tackle by Roderic Teamer),2.060,1.920
2,6:33,2,7,SEA 50,21,13,Geno Smith pass complete short right to Kenneth Walker for 13 yards (tackle by Duron Harmon),1.920,3.120
2,6:05,1,10,LVR 37,21,13,Kenneth Walker left guard for 2 yards (tackle by Rock Ya-Sin),3.120,2.840
2,5:27,2,8,LVR 35,21,19,"Geno Smith pass complete deep right to Tyler Lockett for 35 yards, touchdown",2.840,7.000
2,5:21,,,LVR 15,21,20,Jason Myers kicks extra point good,0.000,0.000
2,5:21,,,SEA 35,21,20,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
2,5:21,1,10,LVR 25,21,20,Josh Jacobs left end for 5 yards (tackle by Jordyn Brooks and Quandre Diggs),0.610,0.740
2,4:38,2,5,LVR 30,21,20,Derek Carr scrambles right end for 7 yards (tackle by Ryan Neal),0.740,1.400
2,4:02,1,10,LVR 37,21,20,Josh Jacobs up the middle for 1 yard (tackle by Michael Jackson and Quinton Jefferson),1.400,0.990
2,3:21,2,9,LVR 38,21,20,Derek Carr pass complete short right to Davante Adams for 7 yards (tackle by Ryan Neal),0.990,1.220
2,2:38,3,2,LVR 45,21,20,Derek Carr pass complete short right to Davante Adams for 4 yards,1.220,2.190
2,2:00,1,10,LVR 49,21,20,Josh Jacobs left tackle for 5 yards (tackle by Boye Mafe and Jordyn Brooks),2.190,2.320
2,1:28,2,5,SEA 46,21,20,Derek Carr pass complete short right to Keelan Cole for 3 yards (tackle by Coby Bryant and Michael Jackson),2.320,2.010
2,0:50,3,2,SEA 43,21,20,Josh Jacobs left tackle for no gain (tackle by Bruce Irvin),2.010,0.400
2,0:42,,,,,,Timeout #1 by Seattle Seahawks,,
2,0:42,,,,,,Timeout #1 by Las Vegas Raiders,,
2,0:42,4,2,SEA 43,21,20,Josh Jacobs left end for 8 yards (tackle by Jordyn Brooks),0.400,3.250
2,0:36,1,10,SEA 35,21,20,Derek Carr pass complete short left to Mack Hollins for 2 yards (tackle by Cody Barton),3.250,2.970
2,0:28,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:28,2,8,SEA 33,21,20,Derek Carr pass complete deep middle to Foster Moreau for 17 yards (tackle by Quandre Diggs),2.970,4.510
2,0:21,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:21,1,10,SEA 16,21,20,Derek Carr scrambles right end for 3 yards (tackle by Cody Barton),4.510,4.500
2,0:14,2,6,SEA 13,21,20,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)",4.500,3.720
2,0:14,2,11,SEA 18,24,20,Daniel Carlson 36 yard field goal good,3.720,3.000
2,0:10,,,LVR 35,24,20,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,0:10,1,10,SEA 25,24,20,Geno Smith kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,LVR,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LVR 35,24,20,"Daniel Carlson kicks off 66 yards, returned by DeeJay Dallas for 26 yards (tackle by Jesper Horsted and Ameer Abdullah)",0.000,0.610
3,14:55,1,10,SEA 25,24,20,Kenneth Walker right guard for 5 yards (tackle by Bilal Nichols and Denzel Perryman),0.610,0.740
3,14:17,2,5,SEA 30,24,20,Geno Smith pass complete short right to Noah Fant for 4 yards (tackle by Jayon Brown and Denzel Perryman),0.740,0.560
3,13:38,3,1,SEA 34,24,20,Geno Smith up the middle for 3 yards (tackle by Andrew Billings),0.560,1.400
3,13:05,1,10,SEA 37,24,20,Geno Smith pass complete short middle to Tyler Lockett for 28 yards (tackle by Duron Harmon),1.400,3.250
3,12:30,1,10,LVR 35,24,20,Geno Smith pass incomplete short middle intended for Tyler Lockett,3.250,2.700
3,12:25,2,10,LVR 35,24,20,Geno Smith pass complete short middle to Marquise Goodwin for 21 yards (tackle by Tyler Hall),2.700,4.650
3,11:55,1,10,LVR 14,24,26,"Kenneth Walker left guard for 14 yards, touchdown",4.650,7.000
3,11:46,,,LVR 15,24,27,Jason Myers kicks extra point good,0.000,0.000
3,11:46,,,SEA 35,24,27,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
3,11:46,1,10,LVR 25,24,27,Derek Carr pass complete short right to Davante Adams for 7 yards (tackle by Jordyn Brooks),0.610,1.010
3,11:04,2,3,LVR 32,24,27,Josh Jacobs right guard for 12 yards (tackle by Michael Jackson and Jordyn Brooks),1.010,1.860
3,10:20,1,10,LVR 44,24,27,Derek Carr pass incomplete short right intended for Davante Adams (defended by Michael Jackson),1.860,1.320
3,10:14,2,10,LVR 44,24,27,"Penalty on Foster Moreau: False Start, 5 yards (accepted) (no play)",1.320,0.640
3,10:14,2,15,LVR 39,24,27,Derek Carr pass complete short left to Josh Jacobs for 13 yards (tackle by Quandre Diggs),0.640,1.690
3,9:31,,,,,,Timeout #1 by Seattle Seahawks,,
3,9:31,3,2,SEA 48,24,27,Josh Jacobs right end for 4 yards (tackle by Al Woods),1.690,2.650
3,8:49,1,10,SEA 44,24,27,Zamir White left guard for 11 yards (tackle by Boye Mafe and Cody Barton),2.650,3.380
3,8:07,1,10,SEA 33,24,27,Zamir White up the middle for 17 yards (tackle by Coby Bryant and Michael Jackson),3.380,4.510
3,7:23,1,10,SEA 16,24,27,Josh Jacobs up the middle for 2 yards (tackle by Jordyn Brooks),4.510,4.210
3,6:39,2,8,SEA 14,24,27,Josh Jacobs right guard for 4 yards (tackle by Cody Barton and Jordyn Brooks),4.210,4.170
3,5:57,3,4,SEA 10,24,27,Ameer Abdullah left end for 3 yards (tackle by Quandre Diggs and Tariq Woolen),4.170,3.010
3,5:06,4,1,SEA 7,27,27,Daniel Carlson 25 yard field goal good,3.010,3.000
3,5:03,,,LVR 35,27,27,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,5:03,1,10,SEA 25,27,27,Geno Smith pass complete short left to D.K. Metcalf for 2 yards (tackle by Jayon Brown and Clelin Ferrell),0.610,0.330
3,4:38,2,8,SEA 27,27,27,Kenneth Walker up the middle for -3 yards (tackle by Denzel Perryman),0.330,-0.760
3,4:00,3,11,SEA 24,27,27,Geno Smith pass complete short left to D.K. Metcalf for 4 yards (tackle by Roderic Teamer),-0.760,-1.500
3,3:22,4,7,SEA 28,27,27,"Michael Dickson punts 44 yards, returned by Keelan Cole for no gain (tackle by Nick Bellore). Penalty on Roderic Teamer: Offensive Holding, 10 yards (accepted)",-1.500,-0.040
3,3:12,1,10,LVR 18,27,27,Josh Jacobs left guard for 5 yards (tackle by Al Woods),0.040,0.280
3,2:27,2,5,LVR 23,27,27,Derek Carr pass complete short right to Josh Jacobs for 28 yards (tackle by Quandre Diggs),0.280,2.320
3,1:43,1,10,SEA 49,27,27,Derek Carr pass incomplete deep right intended for Davante Adams (defended by Shelby Harris),2.320,1.780
3,1:37,2,10,SEA 49,27,27,Josh Jacobs right guard for 4 yards (tackle by Poona Ford),1.780,1.620
3,0:56,3,6,SEA 45,27,27,Derek Carr pass incomplete short middle intended for Foster Moreau,1.620,0.270
3,0:51,4,6,SEA 45,27,27,"Penalty on Trent Sieg: False Start, 5 yards (accepted) (no play)",0.270,-0.060
3,0:51,4,11,SEA 50,27,27,"AJ Cole punts 41 yards, fair catch by DeeJay Dallas at SEA-9",-0.060,0.380
3,0:44,1,10,SEA 9,27,27,Geno Smith pass complete short right to D.K. Metcalf for 8 yards,-0.380,-0.020
3,0:25,2,2,SEA 17,27,27,Geno Smith pass complete short middle to D.K. Metcalf for 8 yards (tackle by Sam Webb),-0.020,0.610
Quarter,Time,Down,ToGo,Location,LVR,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SEA 25,27,27,Geno Smith pass complete to Marquise Goodwin for 21 yards (tackle by Rock Ya-Sin),0.610,1.990
4,14:24,1,10,SEA 46,27,27,Kenneth Walker for -13 yards (tackle by Denzel Perryman and Tyler Hall),1.990,-0.310
4,13:44,2,23,SEA 33,27,27,Geno Smith pass complete deep left to Travis Homer for 27 yards (tackle by Jayon Brown),-0.310,2.920
4,13:11,1,10,LVR 40,27,27,Geno Smith pass complete short left to D.K. Metcalf for 7 yards (tackle by Sam Webb),2.920,3.320
4,12:54,2,3,LVR 33,27,27,Travis Homer left guard for 4 yards (tackle by Jayon Brown),3.320,3.640
4,12:19,1,10,LVR 29,27,27,Geno Smith pass complete short left to D.K. Metcalf for 6 yards (tackle by Sam Webb),3.640,3.910
4,11:53,2,4,LVR 23,27,27,"Geno Smith for -4 yards. Geno Smith fumbles, recovered by Chandler Jones at LV-27",3.910,-0.740
4,11:50,1,10,LVR 27,27,27,Josh Jacobs up the middle for 6 yards (tackle by Bryan Mone),0.740,1.010
4,11:14,2,4,LVR 33,27,27,Josh Jacobs left guard for 6 yards (tackle by Tariq Woolen),1.010,1.530
4,10:30,1,10,LVR 39,27,27,Josh Jacobs right guard for no gain (tackle by Uchenna Nwosu),1.530,0.990
4,9:52,2,10,LVR 39,27,27,Derek Carr pass complete short middle to Josh Jacobs for 9 yards (tackle by Cody Barton),0.990,1.490
4,9:27,3,1,LVR 48,27,27,Josh Jacobs left tackle for no gain (tackle by Jordyn Brooks and Bruce Irvin),1.490,-0.190
4,9:01,4,1,LVR 48,27,27,Josh Jacobs left end for -1 yards (tackle by Cody Barton and Shelby Harris),-0.190,-2.460
4,8:55,1,10,LVR 47,27,27,Geno Smith sacked by and Maxx Crosby for -7 yards and Andrew Billings for -7 yards,2.460,0.970
4,8:28,2,17,SEA 46,27,27,Geno Smith scrambles up the middle for 18 yards (tackle by Denzel Perryman),0.970,3.180
4,7:56,1,10,LVR 36,27,27,Geno Smith pass incomplete short middle intended for Tyler Lockett (defended by Maxx Crosby),3.180,2.640
4,7:52,2,10,LVR 36,27,27,Travis Homer right guard for 4 yards (tackle by Kyle Peko),2.640,2.480
4,7:03,3,6,LVR 32,27,27,"Geno Smith pass incomplete intended for Tyler Lockett. Penalty on Rock Ya-Sin: Defensive Holding, 5 yards (accepted) (no play)",2.480,3.780
4,7:03,1,10,LVR 27,27,27,Kenneth Walker left end for 2 yards (tackle by Denzel Perryman and Luke Masterson),3.780,3.500
4,6:24,2,8,LVR 25,27,27,Marquise Goodwin right end for 7 yards (tackle by Roderic Teamer),3.500,3.840
4,5:44,3,1,LVR 18,27,33,"Geno Smith pass complete short right to Travis Homer for 18 yards, touchdown",3.840,7.000
4,5:37,,,LVR 15,27,34,Jason Myers kicks extra point good,0.000,0.000
4,5:37,,,SEA 35,27,34,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
4,5:37,1,10,LVR 25,27,34,Derek Carr pass incomplete deep middle intended for Foster Moreau,0.610,0.060
4,5:33,2,10,LVR 25,27,34,Derek Carr pass complete deep right to Davante Adams for 28 yards (tackle by Michael Jackson),0.060,2.460
4,4:55,1,10,SEA 47,27,34,Derek Carr pass complete short middle to Josh Jacobs for 14 yards (tackle by Cody Barton),2.460,3.380
4,4:21,1,10,SEA 33,27,34,Derek Carr pass incomplete short right intended for Davante Adams (defended by L.J. Collier),3.380,2.840
4,4:18,2,10,SEA 33,27,34,Derek Carr pass complete short right to Davante Adams for 11 yards (tackle by Ryan Neal),2.840,4.110
4,4:12,1,10,SEA 22,27,34,Derek Carr pass complete short left to Ameer Abdullah for 9 yards (tackle by Jordyn Brooks),4.110,5.060
4,3:40,2,1,SEA 13,27,34,Josh Jacobs left end for 3 yards (tackle by Jordyn Brooks and Tariq Woolen),5.060,4.910
4,3:01,1,10,SEA 10,27,34,Josh Jacobs right guard for 3 yards (tackle by Al Woods),4.910,4.760
4,2:14,2,7,SEA 7,27,34,"Penalty on Jermaine Eluemunor: False Start, 5 yards (accepted) (no play)",4.760,3.860
4,2:14,2,12,SEA 12,27,34,Derek Carr pass complete short left to Josh Jacobs for 7 yards (tackle by Coby Bryant and Quandre Diggs),3.860,4.260
4,2:00,3,5,SEA 5,33,34,"Derek Carr pass complete short right to Foster Moreau for 5 yards, touchdown",4.260,7.000
4,1:54,,,SEA 15,34,34,Daniel Carlson kicks extra point good,0.000,0.000
4,1:54,,,LVR 35,34,34,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,1:54,1,10,SEA 25,34,34,Geno Smith pass complete short left to DeeJay Dallas for 4 yards (tackle by Jayon Brown and Denzel Perryman),0.610,0.600
4,1:32,2,6,SEA 29,34,34,Geno Smith pass complete short right to Marquise Goodwin for 6 yards (tackle by Trevon Moehrig),0.600,1.270
4,1:10,1,10,SEA 35,34,34,Geno Smith pass incomplete short middle intended for Tyler Lockett,1.270,0.720
4,1:02,2,10,SEA 35,34,34,"Geno Smith pass complete to D.K. Metcalf for 12 yards Replay Assistant challenged the pass completion ruling, and the original play was overturned. Geno Smith pass incomplete short left intended for D.K. Metcalf",0.720,0.040
4,0:58,3,10,SEA 35,34,34,Geno Smith sacked by Maxx Crosby for -5 yards,0.040,-1.370
4,0:48,,,,,,Timeout #1 by Las Vegas Raiders,,
4,0:48,4,16,SEA 30,34,34,"Michael Dickson punts 61 yards, recovered by Keelan Cole at LV-9 (tackle by Tre Brown)",-1.370,0.380
4,0:40,1,10,LVR 9,34,34,Ameer Abdullah up the middle for 7 yards (tackle by Jordyn Brooks),-0.380,-0.160
4,0:21,2,3,LVR 16,34,34,Ameer Abdullah up the middle for 6 yards (tackle by Ryan Neal),-0.160,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,LVR,SEA,Detail,EPB,EPA
,,,,,,,"Raiders won the coin toss, Raiders to receive the overtime kickoff.",,
OT,10:00,,,SEA 35,34,34,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
OT,10:00,1,10,LVR 25,34,34,Josh Jacobs up the middle for 5 yards (tackle by Cody Barton),0.610,0.740
OT,9:22,2,5,LVR 30,34,34,Derek Carr pass incomplete short middle intended for Josh Jacobs,0.740,0.040
OT,9:16,3,5,LVR 30,34,34,Derek Carr pass complete short middle to Keelan Cole for 9 yards (tackle by Coby Bryant),0.040,1.530
OT,8:32,1,10,LVR 39,34,34,Josh Jacobs up the middle for 15 yards (tackle by Cody Barton),1.530,2.520
OT,7:48,1,10,SEA 46,34,34,Josh Jacobs right end for 4 yards (tackle by Poona Ford),2.520,2.520
OT,7:09,2,6,SEA 42,34,34,Derek Carr pass complete short middle to Mack Hollins for 5 yards (tackle by Jordyn Brooks and Tariq Woolen),2.520,2.480
OT,6:27,3,1,SEA 37,34,34,Josh Jacobs left guard for -1 yards (tackle by Shelby Harris),2.480,0.720
OT,5:56,4,2,SEA 38,34,34,Daniel Carlson 56 yard field goal no good,0.720,-1.990
OT,5:51,1,10,SEA 46,34,34,Geno Smith pass complete short right to Tyler Lockett for 5 yards (tackle by Rock Ya-Sin),1.990,2.130
OT,5:25,2,5,LVR 49,34,34,Kenneth Walker right guard for no gain (tackle by Bilal Nichols and Kyle Peko),2.130,1.420
OT,4:44,3,5,LVR 49,34,34,Geno Smith pass incomplete short right intended for Travis Homer,1.420,0.000
OT,4:39,4,5,LVR 49,34,34,"Michael Dickson punts 35 yards, fair catch by Keelan Cole at LV-14",0.000,0.280
OT,4:32,1,10,LVR 14,40,34,"Josh Jacobs right guard for 86 yards, touchdown",-0.280,6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
