Quarter,Time,Down,ToGo,Location,CHI,HOU,Detail,EPB,EPA
2,11:26,1,10,HOU 49,10,0,Kyle Orton pass incomplete short left intended for Marty Booker (defended by DelJuan Robinson),2.320,1.780
2,11:22,2,10,HOU 49,10,0,Adrian Peterson up the middle for 4 yards (tackle by Travis Johnson and DeMeco Ryans),1.780,1.620
2,10:39,3,6,HOU 45,10,0,Kyle Orton sacked by Mario Williams for -10 yards,1.620,-0.390
2,10:06,4,16,CHI 45,10,0,Brad Maynard punts 43 yards,-0.390,0.350
2,9:57,1,10,HOU 12,10,0,Ryan Moats up the middle for 1 yard (tackle by Corey Graham and Nick Roach),-0.350,-0.700
2,9:22,2,9,HOU 13,10,0,Matt Schaub pass complete deep middle to Andre Johnson for 17 yards (tackle by Danieal Manning),-0.700,0.940
2,8:44,1,10,HOU 30,10,0,Ryan Moats right tackle for 5 yards (tackle by Charles Tillman and Anthony Adams),0.940,1.070
2,8:02,2,5,HOU 35,10,0,Matt Schaub pass complete short middle to Andre Johnson for 12 yards (tackle by Charles Tillman),1.070,2.060
2,7:20,1,10,HOU 47,10,0,Matt Schaub pass complete short middle to Owen Daniels for 2 yards (tackle by Lance Briggs),2.060,1.790
2,6:41,2,8,HOU 49,10,0,Ryan Moats up the middle for 8 yards (tackle by Brian Urlacher),1.790,2.720
2,5:59,1,10,CHI 43,10,6,"Matt Schaub pass complete deep left to Andre Johnson for 43 yards, touchdown",2.720,7.000
2,,,,CHI 2,10,7,Kris Brown kicks extra point good,0.000,0.000
2,,,,HOU 30,10,7,"Kris Brown kicks off 68 yards, returned by Danieal Manning for 31 yards (tackle by Ryan Moats). Danieal Manning fumbles (forced by Ryan Moats), recovered by Kris Brown at CHI-38",0.000,-3.050
2,5:41,1,10,CHI 38,10,7,Steve Slaton left tackle for -2 yards (tackle by Alex Brown),3.050,2.240
2,5:03,2,12,CHI 40,10,7,Steve Slaton up the middle for 13 yards (tackle by Craig Steltz),2.240,3.780
2,4:23,1,10,CHI 27,10,7,Matt Schaub pass incomplete short middle intended for Ryan Moats (defended by Nick Roach),3.780,3.230
2,4:17,2,10,CHI 27,10,7,Ryan Moats left tackle for 1 yard (tackle by Marcus Harrison),3.230,2.680
2,3:36,3,9,CHI 26,10,7,Matt Schaub pass complete short right to Andre' Davis for 16 yards (tackle by Charles Tillman),2.680,4.910
2,3:13,1,10,CHI 10,10,7,Ryan Moats up the middle for 6 yards (tackle by Nick Roach and Kevin Payne),4.910,5.340
2,2:35,2,4,CHI 4,10,7,"Penalty on Chris Myers: False Start, 5 yards (no play)",5.340,4.380
2,2:09,2,9,CHI 9,10,7,Matt Schaub pass complete short left to Andre Johnson for 6 yards (tackle by Nick Roach),4.380,4.720
2,2:00,3,3,CHI 3,10,13,"Matt Schaub pass complete short left to Andre Johnson for 3 yards, touchdown",4.720,7.000
2,,,,CHI 2,10,14,Kris Brown kicks extra point good,0.000,0.000
2,,,,HOU 30,10,14,"Kris Brown kicks off 59 yards, returned by Danieal Manning for 21 yards (tackle by Cecil Sapp)",0.000,1.070
2,1:46,1,10,CHI 32,10,14,Kyle Orton pass complete short middle to Brandon Lloyd for 13 yards (tackle by Eugene Wilson),1.070,1.930
2,1:25,1,10,CHI 45,10,14,Kyle Orton pass complete short left to Brandon Lloyd for 10 yards (tackle by Jesse Nading),1.930,2.590
2,1:01,1,10,HOU 45,10,14,Kyle Orton pass complete short middle to Matt Forte for 4 yards (tackle by DeMeco Ryans),2.590,2.580
2,0:54,,,,10,14,Timeout #1 by Chicago Bears,0.000,2.580
2,0:53,2,6,HOU 41,10,14,Kyle Orton pass incomplete short middle intended for Matt Forte (defended by Amobi Okoye),2.580,1.880
2,0:50,3,6,HOU 41,10,14,Kyle Orton pass incomplete short right intended for Brandon Lloyd. Penalty on Brandon Lloyd: Offensive Pass Interference (Declined),1.880,0.530
2,0:45,4,6,HOU 41,10,14,Brad Maynard punts 34 yards,0.530,0.380
2,0:38,1,10,HOU 7,10,14,Ryan Moats left guard for no gain (tackle by Anthony Adams),-0.380,-0.780
2,0:26,,,,10,14,Timeout #2 by Chicago Bears,0.000,-0.780
2,0:26,2,10,HOU 7,10,14,Matt Schaub kneels for -1 yards,-0.780,-1.540
Quarter,Time,Down,ToGo,Location,CHI,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 30,10,14,"Kris Brown kicks off 65 yards, returned by Danieal Manning for 40 yards (tackle by Joel Dreessen)",0.000,1.930
3,14:47,1,10,CHI 45,10,14,Kyle Orton pass incomplete short right intended for Brandon Lloyd (defended by Travis Johnson),1.930,1.380
3,14:43,2,10,CHI 45,10,14,Matt Forte up the middle for 4 yards (tackle by Mario Williams),1.380,1.220
3,14:03,3,6,CHI 49,10,14,Kyle Orton sacked by Dominique Barber for -9 yards,1.220,-0.720
3,13:50,4,15,CHI 40,10,14,"Brad Maynard punts 36 yards, returned by Jacoby Jones for 4 yards (tackle by Rashied Davis)",-0.720,-0.810
3,13:40,1,10,HOU 28,10,14,Steve Slaton up the middle for -1 yards (tackle by Alex Brown and Corey Graham),0.810,0.130
3,13:01,2,11,HOU 27,10,14,Matt Schaub pass complete short middle to Andre Johnson for 21 yards (tackle by Danieal Manning),0.130,2.130
3,12:22,1,10,HOU 48,10,14,"Penalty on Mike Brisiel: False Start, 5 yards (no play)",2.130,1.800
3,11:59,1,15,HOU 43,10,14,Matt Schaub pass incomplete short left intended for Owen Daniels,1.800,0.910
3,11:54,2,15,HOU 43,10,14,Matt Schaub pass complete short left to Steve Slaton for 17 yards (tackle by Kevin Payne),0.910,2.920
3,11:10,1,10,CHI 40,10,14,Matt Schaub pass complete short middle to Kevin Walter for 23 yards (tackle by Corey Graham),2.920,4.440
3,10:23,1,10,CHI 17,10,14,Steve Slaton right tackle for 2 yards (tackle by Marcus Harrison),4.440,4.150
3,9:43,2,8,CHI 15,10,14,Matt Schaub pass complete short right to Andre' Davis for 9 yards (tackle by Corey Graham),4.150,5.830
3,9:14,1,6,CHI 6,10,14,Ryan Moats up the middle for 4 yards (tackle by Corey Graham and Mark Anderson),5.830,5.720
3,8:34,2,2,CHI 2,10,20,"Ryan Moats left guard for 2 yards, touchdown",5.720,7.000
3,,,,CHI 2,10,21,Kris Brown kicks extra point good,0.000,0.000
3,,,,HOU 30,10,21,"Kris Brown kicks off 72 yards, returned by Danieal Manning for 25 yards (tackle by Fred Bennett)",0.000,0.480
3,8:20,1,10,CHI 23,10,21,Kyle Orton pass complete short right to Desmond Clark for 7 yards (tackle by DeMeco Ryans),0.480,0.880
3,8:02,2,3,CHI 30,10,21,Adrian Peterson left tackle for 10 yards (tackle by Eugene Wilson),0.880,1.600
3,7:29,1,10,CHI 40,10,21,Kyle Orton pass incomplete deep right intended for Brandon Lloyd,1.600,1.050
3,7:24,2,10,CHI 40,10,21,Kyle Orton pass complete short left to Adrian Peterson for 19 yards (tackle by DeMeco Ryans),1.050,2.850
3,7:01,1,10,HOU 41,10,21,Adrian Peterson right tackle for 3 yards (tackle by DeMeco Ryans),2.850,2.710
3,6:21,2,7,HOU 38,10,21,Kyle Orton pass complete deep middle to Devin Hester for 37 yards (tackle by Eugene Wilson),2.710,6.970
3,5:36,1,1,HOU 1,16,21,"Kyle Orton pass complete short left to Greg Olsen for 1 yard, touchdown",6.970,7.000
3,,,,HOU 2,17,21,Robbie Gould kicks extra point good,0.000,0.000
3,,,,CHI 30,17,21,"Robbie Gould kicks off 66 yards, returned by Andre' Davis for 17 yards (tackle by Rashied Davis)",0.000,0.340
3,5:23,1,10,HOU 21,17,21,Matt Schaub pass complete short middle to Andre Johnson for 12 yards (tackle by Charles Tillman),0.340,1.140
3,4:48,1,10,HOU 33,17,21,Matt Schaub pass complete short middle to Owen Daniels for 2 yards (tackle by Adewale Ogunleye),1.140,0.860
3,4:09,2,8,HOU 35,17,21,Steve Slaton left end for -1 yards (tackle by Charles Tillman),0.860,0.040
3,3:27,3,9,HOU 34,17,21,Matt Schaub pass incomplete short left intended for Owen Daniels,0.040,-1.110
3,3:20,4,9,HOU 34,17,21,"Matt Turk punts 42 yards, returned by Devin Hester for no gain",-1.110,-0.540
3,3:10,1,10,CHI 24,17,21,Kyle Orton pass incomplete short middle intended for Greg Olsen (defended by DeMeco Ryans),0.540,0.000
3,3:06,2,10,CHI 24,17,21,Kyle Orton pass incomplete deep left intended for Devin Hester,0.000,-0.690
3,3:00,3,10,CHI 24,17,21,Kyle Orton pass incomplete short right intended for Brandon Lloyd,-0.690,-1.770
3,2:54,4,10,CHI 24,17,21,"Brad Maynard punts 45 yards, returned by Jacoby Jones for 12 yards (tackle by Nick Roach)",-1.770,-1.800
3,2:41,1,10,HOU 43,17,21,Matt Schaub pass complete short right to Ryan Moats for 4 yards (tackle by Kevin Payne),1.800,1.790
3,2:02,2,6,HOU 47,17,21,Ryan Moats left guard for 5 yards (tackle by Nick Roach),1.790,1.750
3,1:16,3,1,CHI 48,17,21,Matt Schaub pass complete deep middle to Owen Daniels for 33 yards (tackle by Danieal Manning),1.750,4.580
3,0:45,1,10,CHI 15,17,21,"Ryan Moats left tackle for no gain (tackle by Adewale Ogunleye). Penalty on Chester Pitts: Offensive Holding, 10 yards (no play)",4.580,3.910
3,0:19,1,20,CHI 25,17,21,Matt Schaub pass complete short left to Ryan Moats for 5 yards (tackle by Nick Roach),3.910,3.350
Quarter,Time,Down,ToGo,Location,CHI,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,15,CHI 20,17,21,Matt Schaub pass complete short middle to Ryan Moats for 5 yards (tackle by Lance Briggs),3.350,3.100
4,14:24,,,,17,21,Timeout #1 by Houston Texans,0.000,3.100
4,14:24,3,10,CHI 15,17,21,Matt Schaub pass complete short middle to David Anderson for 9 yards (tackle by Brian Urlacher),3.100,3.020
4,13:51,4,1,CHI 6,17,21,Matt Schaub up the middle for 1 yard (tackle by Lance Briggs),3.020,6.060
4,13:09,1,5,CHI 5,17,21,Steve Slaton left guard for -2 yards (tackle by Adewale Ogunleye),6.060,4.760
4,12:32,2,7,CHI 7,17,21,Ryan Moats right end for 3 yards (tackle by Corey Graham),4.760,4.490
4,12:04,3,4,CHI 4,17,21,Matt Schaub pass incomplete short left intended for David Anderson (defended by Charles Tillman),4.490,3.030
4,11:58,4,4,CHI 4,17,24,Kris Brown 22 yard field goal good,3.030,3.000
4,,,,HOU 30,17,24,"Kris Brown kicks off 71 yards, returned by Danieal Manning for 49 yards (tackle by Demarcus Faggins)",0.000,2.130
4,11:45,1,10,CHI 48,17,24,Matt Forte right tackle for 1 yard (tackle by DeMeco Ryans),2.130,1.720
4,11:16,2,9,CHI 49,17,24,Kyle Orton pass complete short left to Greg Olsen for 10 yards (tackle by DelJuan Robinson),1.720,2.850
4,10:41,1,10,HOU 41,17,24,Kyle Orton pass incomplete deep right intended for Devin Hester,2.850,2.310
4,10:35,2,10,HOU 41,17,24,Kyle Orton pass complete short right to Devin Hester for 2 yards (tackle by Jacques Reeves),2.310,1.880
4,9:51,3,8,HOU 39,17,24,Kyle Orton pass incomplete short right intended for Brandon Lloyd,1.880,0.660
4,9:45,4,8,HOU 39,17,24,"Brad Maynard punts 28 yards, fair catch by Jacoby Jones",0.660,0.370
4,9:35,1,10,HOU 11,17,24,Matt Schaub pass complete short right to Steve Slaton for 11 yards (tackle by Kevin Payne),-0.370,0.410
4,9:00,1,10,HOU 22,17,24,Steve Slaton right tackle for 2 yards (tackle by Adewale Ogunleye),0.410,0.140
4,8:17,2,8,HOU 24,17,24,Steve Slaton left guard for 47 yards (tackle by Danieal Manning),0.140,3.640
4,7:27,1,10,CHI 29,17,24,Matt Schaub pass complete short middle to Andre Johnson for 14 yards (tackle by Charles Tillman),3.640,4.580
4,6:46,1,10,CHI 15,17,24,"Steve Slaton right tackle for 4 yards. Penalty on Mike Brisiel: Offensive Holding, 10 yards",4.580,4.170
4,6:37,1,16,CHI 21,17,24,Steve Slaton up the middle for 1 yard (tackle by Anthony Adams and Tommie Harris),4.170,3.350
,,,,,,,"HOU challenged the fumble ruling, and the original play was overturned.",,
4,6:17,2,15,CHI 20,17,24,Steve Slaton left tackle for 1 yard (tackle by Lance Briggs and Adewale Ogunleye),3.350,2.790
4,5:34,3,14,CHI 19,17,24,"Matt Schaub pass complete short middle to Kevin Walter for 7 yards (tackle by Corey Graham). Penalty on Nick Roach: Defensive Holding, 5 yards (no play)",2.790,4.650
4,5:10,1,10,CHI 14,17,24,Steve Slaton up the middle for no gain (tackle by Brian Urlacher),4.650,4.000
4,4:24,2,10,CHI 14,17,24,Steve Slaton up the middle for 11 yards (tackle by Alex Brown),4.000,6.510
4,3:35,1,3,CHI 3,17,24,Steve Slaton left guard for 1 yard (tackle by Danieal Manning),6.510,5.720
4,3:28,,,,17,24,Timeout #1 by Chicago Bears,0.000,5.720
4,3:28,2,2,CHI 2,17,30,"Steve Slaton up the middle for 2 yards, touchdown",5.720,7.000
4,,,,CHI 2,17,31,Kris Brown kicks extra point good,0.000,0.000
4,,,,HOU 30,17,31,"Kris Brown kicks off 63 yards, returned by Danieal Manning for 21 yards (tackle by Cecil Sapp)",0.000,0.810
4,3:19,1,10,CHI 28,17,31,Kyle Orton pass complete deep middle to Rashied Davis for 19 yards (tackle by Eugene Wilson),0.810,2.060
4,2:57,1,10,CHI 47,17,31,Kyle Orton pass incomplete short right intended for Greg Olsen,2.060,1.520
4,2:51,2,10,CHI 47,17,31,Kyle Orton pass complete short left to Rashied Davis for 16 yards (tackle by Eugene Wilson),1.520,3.120
4,2:44,1,10,HOU 37,17,31,Kyle Orton pass complete short middle to Devin Hester for 17 yards (tackle by DeMeco Ryans),3.120,4.240
4,2:21,1,10,HOU 20,17,31,Kyle Orton pass incomplete deep right intended for Greg Olsen,4.240,3.690
4,2:14,2,10,HOU 20,17,31,Kyle Orton pass incomplete short left intended for Earl Bennett (defended by Eugene Wilson),3.690,3.010
4,2:09,3,10,HOU 20,17,31,Kyle Orton pass complete short right to Greg Olsen for 9 yards (tackle by Fred Bennett),3.010,2.850
4,2:04,4,1,HOU 11,17,31,Kyle Orton right guard for 1 yard (tackle by Anthony Weaver and Brandon Harrison),2.850,4.910
4,2:00,1,10,HOU 10,17,31,Kyle Orton pass incomplete short left intended for Greg Olsen (defended by Jacques Reeves),4.910,4.190
4,1:54,2,10,HOU 10,17,31,Kyle Orton pass complete short middle to Adrian Peterson for 9 yards (tackle by Eugene Wilson),4.190,5.170
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
4,1:34,,,,17,31,Timeout #2 by Houston Texans,0.000,5.170
4,1:34,3,1,HOU 1,23,31,"Kyle Orton up the middle for 1 yard, touchdown",5.170,7.000
4,,,,HOU 2,24,31,Robbie Gould kicks extra point good,0.000,0.000
4,,,,CHI 30,24,31,"Robbie Gould kicks onside 14 yards, recovered by Kevin Walter",0.000,2.650
4,1:30,1,10,CHI 44,24,31,"Penalty on Tommie Harris: Defensive Offside, 5 yards (no play)",2.650,3.380
4,1:30,1,5,CHI 39,24,31,Steve Slaton right tackle for 1 yard (tackle by Tommie Harris),3.380,2.920
4,1:24,,,,24,31,Timeout #2 by Chicago Bears,0.000,2.920
4,1:24,2,4,CHI 38,24,31,Steve Slaton up the middle for 5 yards (tackle by Alex Brown),2.920,3.380
4,1:12,,,,24,31,Timeout #3 by Chicago Bears,0.000,3.380
4,1:12,1,10,CHI 33,24,31,Matt Schaub kneels for -2 yards,3.380,2.570
4,0:33,2,12,CHI 35,24,31,Matt Schaub kneels for -1 yards,2.570,1.750
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
