Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA
2,1:25,2,10,PHI 47,7,14,Nick Foles pass incomplete short left intended for Mack Hollins,1.520,0.830
2,1:18,3,10,PHI 47,7,20,"Nick Foles pass complete deep right to Alshon Jeffery for 53 yards, touchdown",0.830,7.000
2,1:09,,,MIN 15,7,21,Jake Elliott kicks extra point good,0.000,0.000
2,1:09,,,PHI 35,7,21,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
2,1:09,1,10,MIN 25,7,21,Case Keenum pass complete short right to Jerick McKinnon for 2 yards (tackle by Corey Graham),0.610,0.330
2,1:04,2,8,MIN 27,7,21,Case Keenum pass complete short right to Jerick McKinnon for 5 yards (tackle by Corey Graham),0.330,0.300
2,0:58,3,3,MIN 32,7,21,Case Keenum pass complete short middle to Jarius Wright for 11 yards (tackle by Corey Graham),0.300,0.000
2,0:54,,,,,,Timeout #1 by Minnesota Vikings,0.000,-1.800
2,0:54,1,10,MIN 43,7,21,Case Keenum pass complete short right to Jerick McKinnon for 4 yards (tackle by Corey Graham),1.800,1.790
2,0:48,2,6,MIN 47,7,21,Case Keenum pass incomplete short right intended for Stefon Diggs,1.790,1.090
2,0:44,3,6,MIN 47,7,21,Case Keenum pass incomplete short right intended for Kyle Rudolph,1.090,-0.260
2,0:38,4,6,MIN 47,7,21,"Ryan Quigley punts 53 yards, touchback",-0.260,-0.280
2,0:29,1,10,PHI 20,7,21,Nick Foles pass complete short left to Jay Ajayi for 11 yards (tackle by Harrison Smith),0.280,1.000
2,0:23,1,10,PHI 31,7,21,Nick Foles pass complete deep left to Zach Ertz for 36 yards,1.000,3.380
2,0:15,1,10,MIN 33,7,21,Nick Foles pass complete short left to Jay Ajayi for 13 yards (tackle by Harrison Smith),3.380,0.000
2,0:04,,,,,,Timeout #1 by Philadelphia Eagles,0.000,-4.240
2,0:04,1,10,MIN 20,7,24,Jake Elliott 38 yard field goal good,4.240,3.000
Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,7,24,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,PHI 25,7,24,Nick Foles pass complete short left to Torrey Smith for 4 yards (tackle by Trae Waynes),0.610,0.600
3,14:26,2,6,PHI 29,7,24,Nick Foles pass complete short left to Torrey Smith for 6 yards (tackle by Trae Waynes),0.600,1.270
3,13:47,1,10,PHI 35,7,24,Jay Ajayi middle for 3 yards (tackle by Terence Newman),1.270,1.130
3,13:07,2,7,PHI 38,7,24,Nick Foles pass complete short left to Alshon Jeffery for 10 yards (tackle by Harrison Smith),1.130,2.130
3,12:22,1,10,PHI 48,7,24,Jay Ajayi middle for 5 yards (tackle by Anthony Barr and Linval Joseph),2.130,2.260
3,11:41,2,5,MIN 47,7,24,LeGarrette Blount middle for -1 yards (tackle by Terence Newman),2.260,1.420
3,10:57,3,6,MIN 48,7,24,Nick Foles pass complete short right to Torrey Smith for 7 yards (tackle by Anthony Harris),1.420,2.850
3,10:13,1,10,MIN 41,7,30,"Nick Foles pass complete deep left to Torrey Smith for 41 yards, touchdown",2.850,7.000
3,10:05,,,MIN 15,7,31,Jake Elliott kicks extra point good,0.000,0.000
3,10:05,,,PHI 35,7,31,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
3,10:05,1,10,MIN 25,7,31,Case Keenum pass complete short right to Latavius Murray for no gain,0.610,0.060
3,9:27,2,10,MIN 25,7,31,Case Keenum pass complete short left to Jerick McKinnon for 13 yards (tackle by Ronald Darby and Rodney McLeod),0.060,1.470
3,8:48,1,10,MIN 38,7,31,Jerick McKinnon middle for 9 yards (tackle by Rodney McLeod),1.470,2.140
3,8:21,2,1,MIN 47,7,31,Jerick McKinnon left end for 2 yards (tackle by Mychal Kendricks),2.140,2.190
3,7:53,1,10,MIN 49,7,31,Case Keenum pass complete deep left to Jarius Wright for 33 yards,2.190,4.370
3,7:28,1,10,PHI 18,7,31,Case Keenum pass incomplete short left intended for Adam Thielen (defended by Ronald Darby),4.370,3.800
3,7:22,2,10,PHI 18,7,31,Case Keenum pass incomplete short right intended for Jarius Wright,3.800,3.050
3,7:18,3,10,PHI 18,7,31,Case Keenum pass complete short middle to Jerick McKinnon for 11 yards (tackle by Derek Barnett),3.050,5.600
3,6:41,1,7,PHI 7,7,31,Case Keenum pass incomplete short right intended for Jarius Wright (defended by Jalen Mills),5.600,4.760
3,6:35,2,7,PHI 7,7,31,Case Keenum pass incomplete short left intended for Adam Thielen,4.760,3.810
3,6:31,3,7,PHI 7,7,31,Case Keenum pass incomplete short right intended for Adam Thielen,3.810,2.970
3,6:27,4,7,PHI 7,7,31,Case Keenum pass incomplete short left intended for Adam Thielen,2.970,0.380
3,6:21,1,10,PHI 8,7,31,Jay Ajayi right end for 4 yards (tackle by Eric Kendricks),-0.380,-0.490
3,5:38,2,6,PHI 12,7,31,Jay Ajayi left end for 2 yards (tackle by Brian Robison and Jaleel Johnson),-0.490,-0.720
3,5:00,3,4,PHI 14,7,31,Nick Foles pass complete short middle to Zach Ertz for 6 yards (tackle by Anthony Harris),-0.720,0.280
3,4:19,1,10,PHI 20,7,31,Jay Ajayi right tackle for 4 yards (tackle by Eric Kendricks),0.280,0.270
3,3:36,2,6,PHI 24,7,31,Jay Ajayi middle for 1 yard (tackle by Danielle Hunter),0.270,-0.300
3,2:51,3,5,PHI 25,7,31,Nick Foles pass complete deep right to Nelson Agholor for 42 yards (tackle by Trae Waynes and Anthony Harris),-0.300,3.380
3,2:11,1,10,MIN 33,7,31,Jay Ajayi left end for -2 yards (tackle by Danielle Hunter),3.380,2.570
3,1:29,2,12,MIN 35,7,31,Nick Foles pass complete short middle to Trey Burton for 12 yards (tackle by Anthony Harris),2.570,4.040
3,0:40,1,10,MIN 23,7,31,"Corey Clement right end for 14 yards (tackle by Eric Kendricks). Penalty on Stephen Weatherly: Illegal Use of Hands, 4 yards",4.040,6.060
3,0:16,1,5,MIN 5,7,31,Jay Ajayi middle for 3 yards (tackle by Anthony Harris),6.060,5.720
Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,2,MIN 2,7,31,Jay Ajayi middle for -3 yards (tackle by Linval Joseph),5.720,4.260
4,14:15,3,5,MIN 5,7,37,"Nick Foles pass complete short middle to Alshon Jeffery for 5 yards, touchdown",4.260,7.000
4,14:10,,,MIN 15,7,38,"Jake Elliott kicks extra point good. Penalty on Anthony Barr: Unnecessary Roughness, 15 yards",0.000,0.000
4,14:10,,,,7,38,"Jake Elliott kicks off 50 yards, touchback. Penalty on Jaylen Watkins: Unnecessary Roughness, 15 yards",0.000,-1.600
4,14:10,1,10,MIN 40,7,38,Case Keenum pass complete short middle to Stefon Diggs for 5 yards (tackle by Nigel Bradham),1.600,1.730
4,13:44,2,5,MIN 45,7,38,Case Keenum pass complete short right to Jarius Wright for 7 yards (tackle by Nigel Bradham),1.730,2.390
4,13:20,1,10,PHI 48,7,38,Case Keenum pass incomplete short right intended for Kyle Rudolph,2.390,1.850
4,13:17,2,10,PHI 48,7,38,Case Keenum pass incomplete short right intended for Laquon Treadwell (defended by Chris Long),1.850,1.160
4,13:12,3,10,PHI 48,7,38,Case Keenum right end for 8 yards (tackle by Vinny Curry),1.160,0.000
4,12:33,,,,,,Timeout #1 by Minnesota Vikings,0.000,-0.590
4,12:33,4,2,PHI 40,7,38,Case Keenum pass incomplete short right intended for Stefon Diggs,0.590,-1.600
4,12:29,1,10,PHI 40,7,38,Jay Ajayi right end for 4 yards (tackle by Eric Kendricks),1.600,1.590
4,11:46,2,6,PHI 44,7,38,"LeGarrette Blount middle for 4 yards (tackle by Harrison Smith). Penalty on Brent Celek: Offensive Holding, 10 yards (no play)",1.590,0.240
4,11:18,2,16,PHI 34,7,38,Nick Foles pass complete short right to Zach Ertz for 5 yards (tackle by Jaleel Johnson),0.240,0.000
4,10:30,,,,,,Timeout #1 by Philadelphia Eagles,0.000,-0.230
4,10:30,3,11,PHI 39,7,38,Nick Foles pass complete short left to Zach Ertz for 6 yards (tackle by Everson Griffen),0.230,-0.390
4,9:45,4,5,PHI 45,7,38,"Donnie Jones punts 45 yards, fair catch by Marcus Sherels",-0.390,0.380
4,9:39,1,10,MIN 10,7,38,Case Keenum pass complete short left to Adam Thielen for 4 yards (tackle by Mychal Kendricks and Ronald Darby),-0.380,-0.460
4,9:19,2,6,MIN 14,7,38,Jerick McKinnon middle for 7 yards (tackle by Mychal Kendricks),-0.460,0.340
4,8:58,1,10,MIN 21,7,38,Case Keenum pass complete short right to Jerick McKinnon for 7 yards (tackle by Nigel Bradham),0.340,0.750
4,8:32,2,3,MIN 28,7,38,Case Keenum pass complete short left to Jerick McKinnon for 5 yards (tackle by Destiny Vaeao),0.750,1.140
4,8:10,1,10,MIN 33,7,38,Case Keenum pass complete short middle to Jerick McKinnon for 12 yards,1.140,1.930
4,7:34,1,10,MIN 45,7,38,Case Keenum pass incomplete,1.930,1.380
4,7:28,2,10,MIN 45,7,38,Case Keenum pass complete short right to Stefon Diggs for 1 yard (tackle by Patrick Robinson),1.380,0.830
4,6:57,3,9,MIN 46,7,38,Case Keenum pass complete short middle to Stefon Diggs for 14 yards (tackle by Corey Graham),0.830,2.920
4,6:34,1,10,PHI 40,7,38,"Case Keenum pass complete short middle to Jerick McKinnon for 10 yards (tackle by Malcolm Jenkins). Penalty on Nigel Bradham: Face Mask (15 Yards), 15 yards",2.920,4.580
4,6:04,1,10,PHI 15,7,38,Case Keenum pass incomplete short left intended for Jarius Wright,4.580,3.950
4,5:59,2,10,PHI 15,7,38,Case Keenum pass incomplete short left intended for Adam Thielen is intercepted by Corey Graham at PHI-7,3.950,0.380
4,5:52,1,10,PHI 7,7,38,Jay Ajayi middle for 2 yards (tackle by Eric Kendricks),-0.380,-0.630
4,5:10,2,8,PHI 9,7,38,Jay Ajayi left end for 9 yards (tackle by Terence Newman),-0.630,0.040
4,4:24,1,10,PHI 18,7,38,Jay Ajayi left end for 16 yards (tackle by Anthony Harris),0.040,1.200
4,4:16,1,10,PHI 34,7,38,Jay Ajayi right end for 2 yards (tackle by Linval Joseph),1.200,0.930
4,3:31,2,8,PHI 36,7,38,LeGarrette Blount left guard for 5 yards (tackle by Harrison Smith),0.930,0.000
4,2:43,,,,,,Timeout #2 by Philadelphia Eagles,0.000,-0.890
4,2:43,3,3,PHI 41,7,38,Corey Clement middle for 6 yards (tackle by Everson Griffen),0.890,2.060
4,2:00,1,10,PHI 47,7,38,Nate Sudfeld kneels for -1 yards,2.060,1.380
4,1:19,2,11,PHI 46,7,38,Nate Sudfeld kneels for -2 yards,1.380,0.430
4,0:35,3,13,PHI 44,7,38,Nate Sudfeld kneels for -1 yards,0.430,-0.520
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
