Quarter,Time,Down,ToGo,Location,WAS,MIA,Detail,EPB,EPA
2,4:39,2,4,MIA 41,7,0,Josh Rosen pass complete short left to Mark Walton for 1 yard (tackle by Quinton Dunbar),1.530,0.960
2,4:02,3,3,MIA 42,7,0,"Josh Rosen pass incomplete short right intended for Albert Wilson. Penalty on Fabian Moreau: Defensive Holding, 4 yards (no play)",0.960,1.990
2,3:57,1,10,MIA 46,7,0,"Josh Rosen sacked by Ryan Anderson for no gain. Penalty on Ryan Anderson: Roughing the Passer, 15 yards (no play)",1.990,2.980
2,3:34,1,10,WAS 39,7,0,Josh Rosen pass complete short right to Albert Wilson for 1 yard (tackle by Landon Collins),2.980,2.580
2,2:54,2,9,WAS 38,7,0,Josh Rosen pass complete short middle to DeVante Parker for 12 yards (tackle by Josh Norman),2.580,3.840
2,2:18,1,10,WAS 26,7,0,Mark Walton right tackle for -1 yards (tackle by Jonathan Bostic),3.840,3.160
2,2:00,2,11,WAS 27,7,0,Josh Rosen pass incomplete short left intended for Kenyan Drake (defended by Montez Sweat),3.160,2.480
2,1:58,3,11,WAS 27,7,0,Kenyan Drake right tackle for 6 yards (tackle by Montae Nicholson),2.480,2.110
2,1:13,4,5,WAS 21,7,3,Jason Sanders 39 yard field goal good,2.110,3.000
2,1:07,,,MIA 35,7,3,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,1:07,1,10,WAS 25,7,3,Chris Thompson right end for no gain (tackle by Taco Charlton),0.610,0.060
2,1:01,,,,,,Timeout #1 by Miami Dolphins,,
2,1:01,2,10,WAS 25,7,3,Case Keenum up the middle for 9 yards (tackle by Jerome Baker),0.060,0.560
2,0:21,3,1,WAS 34,7,3,Case Keenum pass complete short right to Adrian Peterson for 5 yards (tackle by Jerome Baker),0.560,1.530
2,0:14,1,10,WAS 39,7,3,Case Keenum pass incomplete deep left intended for Paul Richardson,1.530,0.990
2,0:10,2,10,WAS 39,7,3,Chris Thompson left tackle for 4 yards (tackle by Vince Biegel and Samuel Eguavoen),0.990,0.830
Quarter,Time,Down,ToGo,Location,WAS,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,7,3,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,MIA 25,7,3,Mark Walton right guard for 4 yards (tackle by Ryan Kerrigan),0.610,0.600
3,14:30,2,6,MIA 29,7,3,Josh Rosen pass complete short left to DeVante Parker for 5 yards (tackle by Quinton Dunbar),0.600,0.560
3,13:53,3,1,MIA 34,7,3,"Penalty on Isaiah Prince: False Start, 5 yards (no play)",0.560,-0.100
3,13:26,3,6,MIA 29,7,3,Josh Rosen pass incomplete short middle intended for Mark Walton (defended by Jonathan Allen),-0.100,-1.440
3,13:21,4,6,MIA 29,7,3,"Matt Haack punts 41 yards, fair catch by Trey Quinn at WAS-30",-1.440,-0.940
3,13:14,1,10,WAS 30,7,3,Adrian Peterson right guard for 5 yards (tackle by Trent Harris),0.940,1.070
3,12:30,2,5,WAS 35,7,3,Adrian Peterson right end for 8 yards (tackle by Raekwon McMillan),1.070,1.800
3,11:48,1,10,WAS 43,7,3,Adrian Peterson up the middle for 1 yard (tackle by Raekwon McMillan and Taco Charlton),1.800,1.390
3,11:08,2,9,WAS 44,7,3,Case Keenum pass complete short left to Trey Quinn for 7 yards (tackle by Jomal Wiltz),1.390,1.620
3,10:25,3,2,MIA 49,7,3,"Case Keenum pass incomplete short middle intended for Trey Quinn. Penalty on Jomal Wiltz: Face Mask (15 Yards), 15 yards (no play)",1.620,3.310
3,10:06,1,10,MIA 34,7,3,Steven Sims left end for 1 yard (tackle by Reshad Jones),3.310,2.910
3,9:48,2,9,MIA 33,13,3,"Case Keenum pass complete deep left to Terry McLaurin for 33 yards, touchdown",2.910,7.000
3,9:42,,,MIA 15,14,3,Dustin Hopkins kicks extra point good,0.000,0.000
3,9:42,,,WAS 35,14,3,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,9:42,1,10,MIA 25,14,3,Josh Rosen pass incomplete short left intended for Albert Wilson,0.610,0.060
3,9:39,2,10,MIA 25,14,3,"Mark Walton right guard for 1 yard (tackle by Shaun Dion Hamilton and Josh Norman). Penalty on Evan Boehm: Offensive Holding, 10 yards (no play)",0.060,-1.430
3,9:13,2,20,MIA 15,14,3,Josh Rosen pass complete short middle to Kenyan Drake for 4 yards (tackle by Quinton Dunbar and Fabian Moreau),-1.430,-1.510
3,8:23,3,16,MIA 19,14,3,Josh Rosen pass short middle intended for Isaiah Ford is intercepted by Shaun Dion Hamilton at MIA-34 and returned for no gain,-1.510,-3.310
3,8:17,1,10,MIA 34,14,3,Adrian Peterson left guard for 4 yards (tackle by Ken Webster),3.310,3.310
3,7:48,2,6,MIA 30,14,3,Case Keenum pass complete short right to Terry McLaurin for 10 yards (tackle by Raekwon McMillan),3.310,4.240
3,7:07,1,10,MIA 20,14,3,Adrian Peterson right guard for 4 yards (tackle by Raekwon McMillan and Eric Rowe),4.240,4.280
3,6:25,2,6,MIA 16,14,3,Case Keenum pass complete short right to Adrian Peterson for 13 yards (tackle by Christian Wilkins),4.280,6.510
3,5:50,1,3,MIA 3,14,3,Adrian Peterson left tackle for 2 yards (tackle by Vince Biegel and Raekwon McMillan),6.510,5.910
3,5:07,2,1,MIA 1,14,3,"Case Keenum aborted snap, recovered by Adrian Peterson at MIA-3 (tackle by Walt Aikens)",5.910,4.720
3,4:24,3,3,MIA 3,14,3,Case Keenum pass incomplete short right intended for Chris Thompson (defended by Bobby McCain),4.720,3.040
3,4:19,4,3,MIA 3,17,3,Dustin Hopkins 21 yard field goal good,3.040,3.000
3,4:15,,,WAS 35,17,3,"Dustin Hopkins kicks off 63 yards, returned by Kenyan Drake for 15 yards (tackle by Jeremy Reaves)",0.000,-0.060
3,4:09,1,10,MIA 17,17,3,Kenyan Drake right guard for 3 yards (tackle by Da'Ron Payne),-0.060,-0.060
3,3:30,2,7,MIA 20,17,3,Josh Rosen pass incomplete short left intended for Kenyan Drake,-0.060,-0.870
3,3:25,3,7,MIA 20,17,3,Josh Rosen sacked by Jonathan Allen for -4 yards. Penalty on J'Marcus Webb: Offensive Holding (Declined),-0.870,-2.390
3,3:18,4,11,MIA 16,17,3,"Matt Haack punts 47 yards, returned by Trey Quinn for -1 yards (tackle by Jomal Wiltz)",-2.390,-1.330
3,3:11,1,10,WAS 36,17,3,Adrian Peterson left guard for 5 yards (tackle by Vince Biegel and Raekwon McMillan),1.330,1.470
3,2:33,2,5,WAS 41,17,3,Adrian Peterson up the middle for 2 yards (tackle by John Jenkins and Davon Godchaux),1.470,1.030
3,1:51,3,3,WAS 43,17,3,Case Keenum pass complete short middle to Jeremy Sprinkle for 19 yards (tackle by Steven Parker and Jomal Wiltz),1.030,3.050
3,1:08,1,10,MIA 38,17,3,Paul Richardson left end for no gain (tackle by Ken Webster),3.050,2.510
3,0:46,2,10,MIA 38,17,3,Case Keenum pass incomplete short middle intended for Terry McLaurin,2.510,1.820
3,0:42,3,10,MIA 38,17,3,Case Keenum pass complete short right to Trey Quinn for 1 yard (tackle by Jomal Wiltz),1.820,0.790
Quarter,Time,Down,ToGo,Location,WAS,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,9,MIA 37,17,3,Dustin Hopkins 55 yard field goal no good,0.790,-1.930
4,14:55,1,10,MIA 45,17,3,Kenyan Drake right end for 9 yards (tackle by Landon Collins),1.930,2.600
4,14:20,2,1,WAS 46,17,3,Ryan Fitzpatrick pass complete short middle to Albert Wilson for 8 yards (tackle by Fabian Moreau),2.600,3.050
4,13:52,1,10,WAS 38,17,3,Kenyan Drake right end for 5 yards (tackle by Montae Nicholson),3.050,3.180
4,13:23,2,5,WAS 33,17,3,Ryan Fitzpatrick pass complete short right to Mark Walton for 18 yards (tackle by Cole Holcomb and Landon Collins),3.180,4.580
4,12:50,1,10,WAS 15,17,3,Ryan Fitzpatrick pass incomplete short right intended for Mike Gesicki (defended by Landon Collins),4.580,3.950
4,12:44,2,10,WAS 15,17,3,Ryan Fitzpatrick pass complete short right to Kenyan Drake for 9 yards (tackle by Landon Collins),3.950,4.900
4,12:11,3,1,WAS 6,17,3,Kenyan Drake up the middle for 3 yards (tackle by Shaun Dion Hamilton),4.900,6.510
4,11:32,1,3,WAS 3,17,3,"Ryan Fitzpatrick pass incomplete short right intended for Albert Wilson. Penalty on Josh Norman: Defensive Holding, 2 yards (no play)",6.510,6.970
4,11:30,1,1,WAS 1,17,3,Kalen Ballage left tackle for no gain (tackle by Da'Ron Payne),6.970,5.910
4,11:07,2,1,WAS 1,17,9,"Kalen Ballage up the middle for 1 yard, touchdown",5.910,7.000
4,10:56,,,WAS 15,17,10,Jason Sanders kicks extra point good,0.000,0.000
4,10:56,,,MIA 35,17,10,"Jason Sanders kicks onside no gain, recovered by Deon Lacey. Penalty on Steven Parker: Offside on Free Kick, 5 yards (no play)",0.000,0.000
4,10:54,,,MIA 30,17,10,"Jason Sanders kicks off 68 yards, returned by Steven Sims for 21 yards (tackle by Jomal Wiltz)",0.000,0.480
4,10:49,1,10,WAS 23,17,10,Case Keenum pass incomplete deep left intended for Terry McLaurin,0.480,-0.070
4,10:44,2,10,WAS 23,17,10,Wendell Smallwood right tackle for 4 yards (tackle by Samuel Eguavoen),-0.070,-0.230
4,10:01,3,6,WAS 27,17,10,Case Keenum pass incomplete short left intended for Trey Quinn,-0.230,-1.570
4,9:57,4,6,WAS 27,17,10,"Tress Way punts 47 yards, fair catch by Preston Williams at MIA-26",-1.570,-0.670
4,9:48,1,10,MIA 26,17,10,Ryan Fitzpatrick pass complete deep right to Preston Williams for 21 yards (tackle by Josh Norman),0.670,2.060
4,9:05,1,10,MIA 47,17,10,Ryan Fitzpatrick pass complete short left to Kenyan Drake for no gain (tackle by Quinton Dunbar),2.060,1.520
4,8:34,2,10,MIA 47,17,10,Ryan Fitzpatrick pass complete short middle to Allen Hurns for 5 yards (tackle by Landon Collins),1.520,1.490
4,8:02,3,5,WAS 48,17,10,Ryan Fitzpatrick pass incomplete short middle intended for Mike Gesicki,1.490,0.070
4,7:58,4,5,WAS 48,17,10,"Matt Haack punts 36 yards, fair catch by Trey Quinn at WAS-12",0.070,0.350
4,7:51,1,10,WAS 12,17,10,Adrian Peterson right guard for 2 yards (tackle by Reshad Jones),-0.350,-0.610
4,7:11,2,8,WAS 14,17,10,Case Keenum pass complete short right to Jeremy Sprinkle for 5 yards (tackle by Reshad Jones),-0.610,-0.600
4,6:38,3,3,WAS 19,17,10,Case Keenum pass incomplete short left intended for Jeremy Sprinkle,-0.600,-2.140
4,6:28,4,3,WAS 19,17,10,"Tress Way punts 43 yards, returned by Preston Williams for 21 yards (tackle by Tress Way)",-2.140,-2.850
4,6:16,1,10,WAS 41,17,10,Ryan Fitzpatrick pass complete short left to Albert Wilson for 1 yard (tackle by Montez Sweat),2.850,2.440
4,5:35,2,9,WAS 40,17,10,Ryan Fitzpatrick pass incomplete deep right intended for DeVante Parker,2.440,1.750
4,5:28,3,9,WAS 40,17,10,"Daniel Kilgore aborted snap, recovered by Kenyan Drake at WAS-48 (tackle by Shaun Dion Hamilton)",1.750,0.070
4,4:53,4,17,WAS 48,17,10,Matt Haack punts 47 yards downed by Walt Aikens,0.070,0.380
4,4:41,1,10,WAS 1,17,10,Adrian Peterson right guard for no gain (tackle by Reshad Jones),-0.380,-0.780
4,3:59,2,10,WAS 1,17,10,Case Keenum pass complete deep right to Terry McLaurin for 32 yards,-0.780,1.140
4,3:51,1,10,WAS 33,17,10,Adrian Peterson right tackle for 6 yards (tackle by Raekwon McMillan and Jerome Baker),1.140,1.400
4,3:09,2,4,WAS 39,17,10,Adrian Peterson left tackle for 5 yards (tackle by Vince Biegel and Eric Rowe),1.400,1.860
4,3:02,,,,,,Timeout #1 by Miami Dolphins,,
4,3:02,1,10,WAS 44,17,10,Adrian Peterson left tackle for 3 yards (tackle by John Jenkins),1.860,1.720
4,2:59,,,,,,Timeout #2 by Miami Dolphins,,
4,2:59,2,7,WAS 47,17,10,Case Keenum right end for 2 yards (tackle by Raekwon McMillan),1.720,1.290
4,2:15,3,5,WAS 49,17,10,Case Keenum pass incomplete deep left intended for Paul Richardson,1.290,-0.130
4,2:11,4,5,WAS 49,17,10,"Tress Way punts 35 yards, returned by Preston Williams for 9 yards (tackle by Jeremy Reaves)",-0.130,-0.610
4,2:02,1,10,MIA 25,17,10,Ryan Fitzpatrick pass incomplete short left intended for Kenyan Drake,0.610,0.060
4,1:58,2,10,MIA 25,17,10,Ryan Fitzpatrick pass complete deep left to Mike Gesicki for 30 yards (tackle by Jonathan Bostic),0.060,2.590
4,1:33,1,10,WAS 45,17,10,Ryan Fitzpatrick pass incomplete deep left intended for Preston Williams,2.590,2.040
4,1:28,2,10,WAS 45,17,10,Ryan Fitzpatrick pass complete short left to Kenyan Drake for 8 yards (tackle by Cole Holcomb),2.040,2.410
4,0:59,3,2,WAS 37,17,10,Ryan Fitzpatrick up the middle for 5 yards (tackle by Landon Collins),2.410,3.450
4,0:31,1,10,WAS 32,17,10,Ryan Fitzpatrick pass complete short middle to Allen Hurns for 11 yards (tackle by Jonathan Bostic),3.450,4.170
4,0:26,,,,,,Timeout #3 by Miami Dolphins,,
4,0:26,1,10,WAS 21,17,10,Ryan Fitzpatrick pass complete short right to Preston Williams for 10 yards (tackle by Fabian Moreau),4.170,4.840
4,0:10,1,10,WAS 11,17,10,Ryan Fitzpatrick spiked the ball,4.840,4.140
4,0:10,2,10,WAS 11,17,16,"Ryan Fitzpatrick pass complete short middle to DeVante Parker for 11 yards, touchdown",4.140,7.000
4,0:06,,,,,,Timeout #1 by Washington Redskins,,
4,0:06,,,WAS 2,17,16,"Two Point Attempt: Ryan Fitzpatrick pass incomplete intended for Kenyan Drake, conversion fails",1.000,-1.000
4,0:06,,,,,,Timeout #2 by Washington Redskins,,
4,0:06,,,MIA 35,17,16,"Jason Sanders kicks onside 12 yards, returned by Tanner Vallejo for no gain",0.000,2.460
4,0:05,1,10,MIA 47,17,16,Case Keenum kneels for -1 yards,2.460,1.780
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
