Quarter,Time,Down,ToGo,Location,NYG,STL,Detail,EPB,EPA
2,14:55,3,12,NYG 25,3,0,Kurt Warner pass complete to Marshall Faulk for 8 yards (tackle by Micheal Barrow),2.540,2.390
2,14:17,4,4,NYG 17,3,0,Jeff Wilkins 35 yard field goal no good,2.390,-0.610
2,14:12,1,10,NYG 25,3,0,Kerry Collins pass complete to Jeremy Shockey for 9 yards (tackle by Robert Thomas),0.610,1.280
2,13:41,2,1,NYG 34,3,0,Tiki Barber left end for 15 yards (tackle by Kim Herring),1.280,2.190
2,13:01,1,10,NYG 49,3,0,Kerry Collins pass incomplete intended for Ike Hilliard (defended by Dre' Bly),2.190,1.650
2,12:54,2,10,NYG 49,3,0,Tiki Barber middle for 3 yards (tackle by Adam Archuleta),1.650,1.360
2,12:18,3,7,STL 48,3,0,Kerry Collins pass complete to Amani Toomer for 12 yards (tackle by Dre' Bly),1.360,3.180
2,11:54,1,10,STL 36,3,0,Ron Dayne left end for -2 yards (tackle by Robert Thomas),3.180,2.370
2,11:15,2,12,STL 38,3,0,Kerry Collins pass complete to Ike Hilliard for 10 yards (tackle by Aeneas Williams),2.370,3.010
2,10:36,3,2,STL 28,9,0,"Kerry Collins pass complete to Jeremy Shockey for 28 yards, touchdown",3.010,7.000
2,10:36,,,STL 28,10,0,"Matt Bryant kicks extra point good. Penalty on Brian Young: Defensive Offside, 5 yards",0.000,0.000
2,10:36,,,NYG 35,10,0,"Matt Bryant kicks off 65 yards, returned by Terrence Wilkins for 27 yards (tackle by DeWayne Patmon)",0.000,0.740
2,10:22,1,10,STL 27,10,0,Kurt Warner sacked by Kenny Holmes for -6 yards,0.740,-0.610
2,9:56,2,16,STL 21,16,0,"Kurt Warner pass incomplete intended for Torry Holt is intercepted by Jason Sehorn at STL-31 and returned for 31 yards, touchdown",-0.610,-7.000
2,9:44,,,STL 21,17,0,Matt Bryant kicks extra point good,0.000,0.000
2,9:44,,,NYG 30,17,0,"Matt Bryant kicks off 70 yards, touchback",0.000,0.280
2,9:44,1,10,STL 20,17,0,Marshall Faulk middle for 2 yards (tackle by Michael Strahan),0.280,0.000
2,9:06,2,8,STL 22,17,0,Kurt Warner pass incomplete intended for Marshall Faulk,0.000,-0.690
2,8:55,3,8,STL 22,17,0,Kurt Warner pass complete to Ricky Proehl for 25 yards (tackle by Ralph Brown),-0.690,2.060
2,8:10,1,10,STL 47,17,0,Kurt Warner pass complete to Marshall Faulk for 2 yards (tackle by Cornelius Griffin and Micheal Barrow),2.060,1.790
2,7:41,2,8,STL 49,17,0,Kurt Warner pass complete to Yo Murphy for 5 yards (tackle by Shaun Williams),1.790,1.750
2,7:15,3,3,NYG 46,17,0,Kurt Warner pass complete to Torry Holt for 9 yards (tackle by Will Peterson),1.750,3.120
2,6:48,1,10,NYG 37,17,0,Marshall Faulk left guard for 3 yards (tackle by Lance Legree and Micheal Barrow),3.120,2.980
2,6:23,2,7,NYG 34,17,0,Kurt Warner pass complete to Isaac Bruce for 13 yards (tackle by Will Allen),2.980,4.170
2,5:53,1,10,NYG 21,17,0,Kurt Warner pass incomplete intended for Yo Murphy,4.170,3.630
2,5:49,2,10,NYG 21,17,0,Kurt Warner pass complete to Isaac Bruce for 10 yards (tackle by Ralph Brown),3.630,4.840
2,5:28,2,10,NYG 21,,,Timeout #1 by New York Giants,3.630,4.840
2,5:28,1,10,NYG 11,17,0,Kurt Warner pass complete to Marshall Faulk for 5 yards (tackle by Micheal Barrow and Omar Stoutmire),4.840,5.080
2,4:41,2,5,NYG 6,17,6,"Kurt Warner pass complete to Ricky Proehl for 6 yards, touchdown",5.080,7.000
2,4:41,,,NYG 6,17,7,"Jeff Wilkins kicks extra point good. Penalty on Matt Mitrione: Defensive Offside, 5 yards",0.000,0.000
2,4:41,,,STL 35,17,7,"Jeff Wilkins kicks off 58 yards, returned by Daryl Jones for 17 yards (tackle by Courtland Bullard)",0.000,0.540
2,4:34,1,10,NYG 24,17,7,"Penalty on Luke Petitgout: False Start, 5 yards (no play)",0.540,0.130
2,4:34,1,15,NYG 19,17,7,Tiki Barber middle for -1 yards (tackle by Jeff Zgonina),0.130,-0.910
2,3:59,2,16,NYG 18,17,7,Tiki Barber middle for 6 yards (tackle by Aeneas Williams),-0.910,-0.690
2,3:18,3,10,NYG 24,17,7,Kerry Collins pass complete to Tiki Barber for 4 yards (tackle by Tommy Polley),-0.690,-1.500
2,2:31,4,6,NYG 28,17,7,"Matt Allen punts 43 yards, fair catch by Terrence Wilkins. Penalty on Ron Dixon: Fair Catch Interference, 15 yards",-1.500,-1.860
2,2:23,1,10,STL 44,17,7,Kurt Warner pass complete to Torry Holt for 7 yards (tackle by Will Allen),1.860,2.260
2,2:00,2,3,NYG 49,17,7,Kurt Warner pass incomplete intended for Ricky Proehl,2.260,1.550
2,1:54,3,3,NYG 49,17,7,"Penalty on Kurt Warner: Delay of Game, 5 yards (no play)",1.550,0.890
2,1:54,3,8,STL 46,17,7,Kurt Warner pass incomplete intended for Torry Holt,0.890,-0.320
2,1:48,4,8,STL 46,17,7,Mitch Berger punts 47 yards,-0.320,0.380
2,1:38,1,10,NYG 7,17,7,Kerry Collins pass complete to Ron Dixon for 23 yards (tackle by Dexter McCleon),-0.380,0.940
2,1:13,1,10,NYG 30,17,7,Kerry Collins sacked by Grant Wistrom for -7 yards,0.940,-0.550
2,1:04,1,10,NYG 30,,,Timeout #1 by Los Angeles Rams,0.940,-0.550
2,1:04,2,17,NYG 23,17,7,"Penalty on Damione Lewis: Defensive Offside, 5 yards (no play)",-0.550,0.120
2,1:04,2,12,NYG 28,17,7,Kerry Collins left tackle for 3 yards (tackle by Dre' Bly),0.120,-0.160
2,0:54,2,12,NYG 28,,,Timeout #2 by Los Angeles Rams,0.120,-0.160
2,0:54,3,9,NYG 31,17,7,Kerry Collins pass complete to Tiki Barber for 1 yard (tackle by Dre' Bly),-0.160,-1.240
2,0:45,3,9,NYG 31,,,Timeout #3 by Los Angeles Rams,-0.160,-1.240
2,0:45,4,8,NYG 32,17,7,"Matt Allen punts 51 yards, returned by Terrence Wilkins for 20 yards (tackle by Wesly Mallard)",-1.240,-1.400
2,0:31,1,10,STL 37,17,7,Kurt Warner pass complete to Isaac Bruce for 8 yards (tackle by Will Peterson),1.400,1.940
2,0:26,2,2,STL 45,17,7,Kurt Warner pass incomplete intended for Torry Holt,1.940,1.220
2,0:19,3,2,STL 45,17,7,Kurt Warner pass incomplete intended for Isaac Bruce,1.220,-0.390
2,0:15,3,2,STL 45,,,Timeout #2 by New York Giants,1.220,-0.390
2,0:15,4,2,STL 45,17,7,"Mitch Berger punts 42 yards, out of bounds",-0.390,0.320
2,0:05,1,10,NYG 13,17,7,Kerry Collins middle for -1 yards (tackle by Ryan Pickett),-0.320,-0.850
Quarter,Time,Down,ToGo,Location,NYG,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 30,17,7,"Matt Bryant kicks off 69 yards, returned by Terrence Wilkins for 33 yards (tackle by Ralph Brown)",0.000,1.200
3,14:53,1,10,STL 34,17,7,Marshall Faulk left tackle for no gain (tackle by Keith Hamilton and Shaun Williams),1.200,0.660
3,14:11,2,10,STL 34,17,7,Kurt Warner pass complete to Isaac Bruce for 14 yards (tackle by Shaun Williams),0.660,2.130
3,13:47,1,10,STL 48,17,7,Marshall Faulk right guard for 44 yards (tackle by Shaun Williams),2.130,5.370
3,13:01,1,8,NYG 8,17,7,Trung Canidate right tackle for no gain (tackle by Cornelius Griffin),5.370,4.570
3,12:22,2,8,NYG 8,17,7,Kurt Warner pass complete to Brandon Manumaleuna for 7 yards (tackle by Daryl Jones),4.570,5.170
3,11:47,2,8,NYG 8,,,Timeout #1 by Los Angeles Rams,4.570,5.170
3,11:47,3,1,NYG 1,17,13,"Marshall Faulk left tackle for 1 yard, touchdown",5.170,7.000
3,11:47,,,NYG 1,17,14,Jeff Wilkins kicks extra point good,0.000,0.000
3,11:47,,,STL 30,17,14,"Jeff Wilkins kicks off 73 yards, returned by Daryl Jones for 28 yards (tackle by Kole Ayi)",0.000,0.610
3,11:39,1,10,NYG 25,17,14,Kerry Collins pass complete to Jeremy Shockey for 9 yards (tackle by Robert Thomas),0.610,1.280
3,11:10,2,1,NYG 34,17,14,Tiki Barber middle for 2 yards (tackle by Grant Wistrom),1.280,1.330
3,10:34,1,10,NYG 36,17,14,Ron Dayne left tackle for 2 yards (tackle by Brian Young),1.330,1.060
3,9:57,2,8,NYG 38,17,14,Tiki Barber middle for 4 yards (tackle by Adam Archuleta),1.060,0.890
3,9:21,3,4,NYG 42,17,14,"Kerry Collins pass incomplete intended for Amani Toomer. Penalty on Aeneas Williams: Defensive Pass Interference, 7 yards (no play)",0.890,2.190
3,9:17,1,10,NYG 49,17,14,Amani Toomer right end for 2 yards (tackle by Adam Archuleta),2.190,1.920
3,8:41,2,8,STL 49,17,14,Kerry Collins pass complete to Amani Toomer for 18 yards (tackle by Aeneas Williams),1.920,3.510
3,8:06,1,10,STL 31,17,14,Kerry Collins pass complete to Ike Hilliard for 23 yards (tackle by Kim Herring),3.510,5.370
3,7:27,1,8,STL 8,17,14,Tiki Barber left end for 3 yards (tackle by Tommy Polley),5.370,5.150
3,6:48,2,5,STL 5,17,14,Kerry Collins pass complete to Dan Campbell for no gain,5.150,4.260
3,6:19,3,5,STL 5,17,14,Kerry Collins sacked by Leonard Little for -9 yards,4.260,2.510
3,6:12,4,14,STL 14,20,14,Matt Bryant 32 yard field goal good,2.510,3.000
3,6:12,,,NYG 30,20,14,"Matt Bryant kicks off 64 yards, returned by Terrence Wilkins for 26 yards (tackle by Ryan Clark)",0.000,1.070
3,6:02,1,10,STL 32,20,14,Marshall Faulk left guard for 7 yards (tackle by Daryl Jones),1.070,1.470
3,5:28,2,3,STL 39,20,14,Marshall Faulk right guard for 9 yards (tackle by Daryl Jones),1.470,2.130
3,4:57,1,10,STL 48,20,14,Kurt Warner pass complete to Marshall Faulk for 5 yards (tackle by Micheal Barrow),2.130,2.260
3,4:13,2,5,NYG 47,20,14,Kurt Warner pass incomplete intended for Isaac Bruce,2.260,1.550
3,4:08,3,5,NYG 47,20,14,Kurt Warner pass incomplete intended for Torry Holt,1.550,0.130
3,4:02,4,5,NYG 47,20,14,"Mitch Berger punts 47 yards, touchback",0.130,-0.280
3,3:53,1,10,NYG 20,20,14,Tiki Barber middle for 3 yards (tackle by Aeneas Williams and Ryan Pickett),0.280,0.140
3,3:19,2,7,NYG 23,20,14,Kerry Collins pass incomplete is intercepted by Adam Archuleta at NYG-39 and returned for 2 yards,0.140,-3.120
3,3:08,1,10,NYG 37,20,14,Kurt Warner pass complete to Ernie Conwell for 20 yards (tackle by Micheal Barrow),3.120,4.440
3,2:26,1,10,NYG 17,20,14,"Kurt Warner for no gain. Andy McCollum fumbles, recovered by Brandon Short at NYG-18 (tackle by Chris Hetherington)",4.440,-0.040
3,2:21,1,10,NYG 18,20,14,Kerry Collins pass incomplete intended for Amani Toomer,0.040,-0.490
3,2:16,2,10,NYG 18,20,14,Kerry Collins pass complete to Tiki Barber for 7 yards (tackle by Tommy Polley),-0.490,-0.270
3,1:35,3,3,NYG 25,20,14,Kerry Collins pass complete to Jeremy Shockey for 4 yards (tackle by Adam Archuleta),-0.270,0.870
3,0:58,1,10,NYG 29,20,14,Kerry Collins pass complete to Tiki Barber for 6 yards (tackle by Don Davis),0.870,1.140
3,0:18,2,4,NYG 35,20,14,Kerry Collins pass complete to Amani Toomer for 30 yards (tackle by Dexter McCleon),1.140,3.250
Quarter,Time,Down,ToGo,Location,NYG,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,STL 35,20,14,Tiki Barber right end for 9 yards (tackle by Adam Archuleta),3.250,3.920
4,14:36,2,1,STL 26,20,14,Tiki Barber middle for no gain (tackle by Brian Young and Damione Lewis),3.920,3.200
4,14:01,3,1,STL 26,20,14,Tiki Barber left end for 6 yards (tackle by Kim Herring),3.200,4.240
4,13:32,1,10,STL 20,20,14,Ron Dayne middle for 3 yards (tackle by Ryan Pickett),4.240,4.120
4,12:51,2,7,STL 17,20,14,"Penalty on Luke Petitgout: False Start, 5 yards (no play)",4.120,3.420
4,12:34,2,12,STL 22,20,14,Kerry Collins pass complete to Tiki Barber for 6 yards (tackle by Don Davis),3.420,3.520
4,11:54,3,6,STL 16,20,14,Kerry Collins pass incomplete intended for Jeremy Shockey,3.520,2.400
4,11:51,4,6,STL 16,23,14,Matt Bryant 34 yard field goal good,2.400,3.000
4,11:51,,,NYG 30,23,14,"Matt Bryant kicks off 70 yards, returned by Terrence Wilkins for 31 yards (tackle by Charles Stackhouse)",0.000,1.000
4,11:41,1,10,STL 31,23,14,Kurt Warner pass complete to Torry Holt for 15 yards (tackle by Omar Stoutmire),1.000,1.990
4,11:00,1,10,STL 46,23,14,Marshall Faulk left end for no gain (tackle by Daryl Jones),1.990,1.450
4,10:19,2,10,STL 46,23,14,Kurt Warner pass complete to Torry Holt for 34 yards (tackle by Brandon Short),1.450,4.240
4,9:36,1,10,NYG 20,23,14,Kurt Warner pass complete to Isaac Bruce for 7 yards (tackle by Jason Sehorn),4.240,4.830
4,9:05,2,3,NYG 13,23,14,Kurt Warner for 5 yards (tackle by Michael Strahan),4.830,5.370
4,8:31,1,8,NYG 8,23,20,"Marshall Faulk left guard for 8 yards, touchdown",5.370,7.000
4,8:31,,,NYG 8,23,21,Jeff Wilkins kicks extra point good,0.000,0.000
4,8:31,,,STL 30,23,21,"Jeff Wilkins kicks off 71 yards, returned by Daryl Jones for 19 yards (tackle by Nick Sorensen). Penalty on Dexter McCleon: Offside on Free Kick, 5 yards (no play)",0.000,0.000
4,8:31,,,STL 25,23,21,"Jeff Wilkins kicks off 75 yards, touchback",0.000,0.280
4,8:19,1,10,NYG 20,23,21,Tiki Barber left guard for 3 yards (tackle by Grant Wistrom and Tommy Polley),0.280,0.140
4,7:47,2,7,NYG 23,23,21,Kerry Collins pass complete to Amani Toomer for 32 yards (tackle by Adam Archuleta),0.140,2.590
4,7:07,1,10,STL 45,23,21,Tiki Barber right end for 2 yards (tackle by Dre' Bly and Jeff Zgonina),2.590,2.310
4,6:25,2,8,STL 43,23,21,Kerry Collins pass complete to Ike Hilliard for 26 yards (tackle by Dre' Bly),2.310,4.440
4,5:40,1,10,STL 17,23,21,Tiki Barber left end for 9 yards (tackle by Adam Archuleta),4.440,5.480
4,4:59,2,1,STL 8,23,21,Ron Dayne left guard for no gain (tackle by Ryan Pickett),5.480,4.800
4,4:31,3,1,STL 8,23,21,Kerry Collins middle for no gain (tackle by Jamie Duncan),4.800,2.990
4,4:23,4,1,STL 8,26,21,Matt Bryant 25 yard field goal good,2.990,3.000
4,4:23,,,NYG 30,26,21,"Matt Bryant kicks off 69 yards, muffed catch by Terrence Wilkins, recovered by Terrence Wilkins and returned for no gain",0.000,1.000
4,4:12,1,10,STL 31,26,21,Kurt Warner pass incomplete intended for Torry Holt,1.000,0.460
4,4:08,2,10,STL 31,26,21,Kurt Warner pass complete to Marshall Faulk for -2 yards (tackle by Kenny Holmes),0.460,-0.490
4,3:26,3,12,STL 29,26,21,Kurt Warner pass complete to Torry Holt for 11 yards (tackle by Jason Sehorn),-0.490,-0.720
4,3:02,4,1,STL 40,26,21,"Marshall Faulk left tackle for no gain (tackle by Micheal Barrow). Marshall Faulk fumbles (forced by Micheal Barrow), recovered by Michael Strahan at STL-40",-0.720,-2.920
4,2:53,1,10,STL 40,26,21,Tiki Barber right end for no gain (tackle by Aeneas Williams),2.920,2.370
4,2:44,1,10,STL 40,,,Timeout #2 by Los Angeles Rams,2.920,2.370
4,2:44,2,10,STL 40,26,21,Tiki Barber right end for -2 yards (tackle by Jeff Zgonina),2.370,1.420
4,2:38,2,10,STL 40,,,Timeout #3 by Los Angeles Rams,2.370,1.420
4,2:38,3,12,STL 42,26,21,Kerry Collins middle for 4 yards (tackle by Leonard Little),1.420,0.720
4,2:00,4,8,STL 38,26,21,"Matt Allen punts 38 yards, touchback",0.720,-0.280
4,1:50,1,10,STL 20,26,21,Kurt Warner pass incomplete intended for Torry Holt is intercepted by Will Peterson at STL-36,0.280,-3.180
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,1:43,1,10,STL 36,26,21,Kerry Collins middle for -1 yards (tackle by Ryan Pickett),3.180,2.500
4,1:01,2,11,STL 37,26,21,Kerry Collins middle for -1 yards (tackle by Ryan Pickett),2.500,1.690
4,0:20,3,12,STL 38,26,21,Kerry Collins middle for -1 yards (tackle by Ryan Pickett),1.690,0.660
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
