Quarter,Time,Down,ToGo,Location,CLE,WAS,Detail,EPB,EPA
1,8:19,1,10,CLE 10,0,0,Chris Thompson right guard for 2 yards (tackle by Corey Lemonier and Jamie Meder),4.910,4.570
1,7:45,2,8,CLE 8,0,6,"Kirk Cousins pass complete short right to Jordan Reed for 8 yards, touchdown",4.570,7.000
1,7:45,,,CLE 8,0,7,Dustin Hopkins kicks extra point good,0.000,0.000
1,7:45,,,WAS 35,0,7,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
1,7:40,1,10,CLE 25,0,7,Cody Kessler pass complete short right to Andrew Hawkins for 7 yards (tackle by Kendall Fuller),0.610,1.010
1,7:03,2,3,CLE 32,0,7,Terrelle Pryor left end for -6 yards (tackle by Preston Smith),1.010,-0.490
1,6:19,3,9,CLE 26,0,7,Cody Kessler pass complete short left to Terrelle Pryor for 13 yards (tackle by Josh Norman). Penalty on Ryan Kerrigan: Defensive Offside (Declined),-0.490,1.530
1,6:07,1,10,CLE 39,0,7,Isaiah Crowell middle for -1 yards (tackle by Preston Smith),1.530,0.850
1,5:33,2,11,CLE 38,0,7,Cody Kessler pass incomplete short right intended for Isaiah Crowell,0.850,0.170
1,5:28,3,11,CLE 38,0,7,Cody Kessler pass complete short middle to Gary Barnidge for 7 yards (tackle by Quinton Dunbar and Kendall Fuller),0.170,-0.390
1,4:51,4,4,CLE 45,0,7,"Britton Colquitt punts 55 yards, touchback",-0.390,-0.280
1,4:41,1,10,WAS 20,0,7,"Kirk Cousins pass incomplete deep right intended for DeSean Jackson. Penalty on Jordan Poyer: Defensive Pass Interference, 50 yards (no play)",0.280,3.580
1,4:31,1,10,CLE 30,0,7,Matt Jones left end for 3 yards (tackle by Jamie Meder),3.580,3.440
1,4:05,2,7,CLE 27,0,7,Kirk Cousins pass complete short middle to Jordan Reed for 7 yards (tackle by Derrick Kindred and Christian Kirksey),3.440,4.240
1,3:21,1,10,CLE 20,0,7,Kirk Cousins pass complete short right to Jordan Reed for 2 yards (tackle by Joe Haden),4.240,3.960
1,2:41,2,8,CLE 18,0,7,Matt Jones right end for 7 yards (tackle by Xavier Cooper and Christian Kirksey),3.960,4.590
1,2:00,3,1,CLE 11,0,7,Matt Jones right end for 2 yards (tackle by Demario Davis and Joe Schobert),4.590,5.140
1,1:19,1,9,CLE 9,0,7,Matt Jones left tackle for no gain (tackle by Emmanuel Ogbah and Derrick Kindred),5.140,4.380
1,0:38,2,9,CLE 9,0,7,Kirk Cousins pass incomplete short middle intended for Pierre Garcon,4.380,3.360
1,0:34,3,9,CLE 9,0,13,"Kirk Cousins pass complete short left to Jordan Reed for 9 yards, touchdown",3.360,7.000
1,0:34,,,CLE 9,0,14,Dustin Hopkins kicks extra point good,0.000,0.000
1,0:34,,,WAS 35,0,14,"Dustin Hopkins kicks off 63 yards, returned by George Atkinson for 17 yards (tackle by Niles Paul)",0.000,-0.150
1,0:22,1,10,CLE 19,0,14,Isaiah Crowell right guard for 17 yards (tackle by Duke Ihenacho),0.150,1.330
Quarter,Time,Down,ToGo,Location,CLE,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 36,0,14,Isaiah Crowell right end for 3 yards (tackle by David Bruton),1.330,1.200
2,14:31,2,7,CLE 39,0,14,Cody Kessler pass complete short left to Terrelle Pryor for 8 yards (tackle by Josh Norman and William Compton),1.200,1.200
2,13:50,2,7,CLE 39,0,14,Timeout #1 by Cleveland Browns,1.200,2.060
2,13:50,1,10,CLE 47,0,14,Duke Johnson right guard for -1 yards (tackle by Trent Murphy),2.060,1.380
2,13:10,2,11,CLE 46,0,14,Cody Kessler pass incomplete short left intended for Randall Telfer,1.380,0.700
2,13:05,3,11,CLE 46,0,14,Cody Kessler pass complete short left to Terrelle Pryor for 12 yards,0.700,2.790
2,12:34,1,10,WAS 42,0,14,Duke Johnson right guard for 9 yards (tackle by Trent Murphy and Mason Foster),2.790,3.460
2,11:59,2,1,WAS 33,0,14,Isaiah Crowell right guard for 4 yards (tackle by Cullen Jenkins and David Bruton),3.460,3.640
2,11:25,1,10,WAS 29,0,14,Isaiah Crowell right tackle for 11 yards (tackle by David Bruton),3.640,4.370
2,10:50,1,10,WAS 18,0,14,Cody Kessler pass complete short right to Ricardo Louis for 13 yards (tackle by Quinton Dunbar),4.370,6.060
2,10:18,1,5,WAS 5,0,14,Isaiah Crowell right end for 3 yards (tackle by Preston Smith),6.060,5.720
2,9:38,2,2,WAS 2,6,14,"Isaiah Crowell left guard for 2 yards, touchdown",5.720,7.000
2,9:38,,,WAS 2,7,14,"Cody Parkey kicks extra point good. Penalty on Josh Norman: Defensive Offside, 5 yards",0.000,0.000
2,9:38,,,CLE 40,7,14,"Cody Parkey kicks off 60 yards, touchback",0.000,-0.610
2,9:33,1,10,WAS 25,7,14,Kirk Cousins pass incomplete deep right intended for Jamison Crowder is intercepted by Jamar Taylor at WAS-41 and returned for 29 yards,0.610,-4.780
2,9:20,1,10,WAS 12,7,14,"Cody Kessler for no gain. Cody Kessler fumbles, recovered by Cody Kessler at WAS-14",4.780,3.790
2,8:39,2,12,WAS 14,7,14,"Cody Kessler pass complete short left to Terrelle Pryor for 5 yards (tackle by Josh Norman). Penalty on Trent Murphy: Defensive Offside, 5 yards (no play)",3.790,4.640
2,8:07,2,7,WAS 9,7,14,Cody Kessler pass incomplete short right intended for Duke Johnson (defended by Su'a Cravens),4.640,3.700
2,8:03,3,7,WAS 9,13,14,"Cody Kessler pass complete short right to Terrelle Pryor for 9 yards, touchdown. Penalty on Terrelle Pryor: Unsportsmanlike Conduct, 15 yards",3.700,7.000
2,8:03,,,WAS 9,14,14,Cody Parkey kicks extra point good,0.000,0.000
2,8:03,,,CLE 20,14,14,"Cody Parkey kicks off 69 yards, returned by Chris Thompson for 26 yards (tackle by Dominique Alexander)",0.000,-1.400
2,7:49,1,10,WAS 37,14,14,Matt Jones right end for 3 yards (tackle by Christian Kirksey and Emmanuel Ogbah),1.400,1.260
2,7:06,2,7,WAS 40,14,14,Matt Jones left tackle for 6 yards (tackle by Corey Lemonier),1.260,1.360
2,6:29,3,1,WAS 46,14,14,Kirk Cousins pass complete short middle to Jordan Reed for 26 yards (tackle by Derrick Kindred). Penalty on Tyrone Holmes: Defensive Offside (Declined),1.360,3.710
2,5:59,1,10,CLE 28,14,14,Kirk Cousins pass complete short middle to Matt Jones for 5 yards (tackle by Emmanuel Ogbah and Jamie Meder),3.710,3.840
2,5:14,2,5,CLE 23,14,14,Matt Jones right guard for 4 yards (tackle by Emmanuel Ogbah and Christian Kirksey),3.840,3.720
2,4:36,3,1,CLE 19,14,14,Matt Jones right guard for 2 yards (tackle by Jamie Meder),3.720,4.440
2,3:55,1,10,CLE 17,14,14,Kirk Cousins pass incomplete short middle intended for Chris Thompson (defended by Jamie Meder),4.440,3.850
2,3:49,2,10,CLE 17,14,14,"Kirk Cousins pass complete short left to Jordan Reed for 6 yards (tackle by Jamar Taylor). Penalty on Jordan Reed: Offensive Pass Interference, 10 yards (no play)",3.850,2.540
2,3:24,2,20,CLE 27,14,14,Kirk Cousins pass incomplete short right intended for Chris Thompson (defended by Gabe Wright),2.540,1.880
2,3:18,3,20,CLE 27,14,14,Kirk Cousins pass complete short right to Jordan Reed for -4 yards (tackle by Gabe Wright),1.880,1.320
2,2:35,4,24,CLE 31,14,17,Dustin Hopkins 49 yard field goal good,1.320,3.000
2,2:35,,,WAS 35,14,17,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
2,2:29,1,10,CLE 25,14,17,Cody Kessler pass complete short left to Gary Barnidge for 13 yards (tackle by William Compton),0.610,1.470
2,2:29,1,10,CLE 38,14,17,"Penalty on Cody Kessler: False Start, 5 yards (no play)",1.470,1.140
2,2:00,1,15,CLE 33,14,17,Duke Johnson left guard for 13 yards (tackle by Trent Murphy),1.140,2.000
2,1:40,2,2,CLE 46,14,17,Cody Kessler pass complete short right to Duke Johnson for 8 yards (tackle by Su'a Cravens),2.000,2.520
2,1:32,1,10,WAS 46,14,17,"Cody Kessler pass incomplete deep right intended for Terrelle Pryor. Penalty on Josh Norman: Defensive Pass Interference, 11 yards (no play)",2.520,3.250
2,1:27,1,10,WAS 35,14,17,Cody Kessler sacked by Trent Murphy for -6 yards,3.250,3.250
2,1:12,1,10,WAS 35,14,17,Timeout #2 by Cleveland Browns,3.250,1.890
2,1:12,2,16,WAS 41,14,17,Cody Kessler pass complete short middle to Andrew Hawkins for 9 yards (tackle by William Compton),1.890,2.410
2,0:44,3,7,WAS 32,14,17,Cody Kessler pass complete short right to Duke Johnson for -1 yards (tackle by Su'a Cravens),2.410,2.410
2,0:05,3,7,WAS 32,14,17,Timeout #3 by Cleveland Browns,2.410,1.150
2,0:05,4,8,WAS 33,17,17,Cody Parkey 51 yard field goal good,1.150,3.000
Quarter,Time,Down,ToGo,Location,CLE,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,17,17,"Dustin Hopkins kicks off 65 yards, touchback",0.000,0.610
3,15:00,1,10,CLE 25,17,17,Isaiah Crowell right tackle for 1 yard (tackle by Chris Baker and William Compton),0.610,0.200
3,14:24,2,9,CLE 26,17,17,Cody Kessler pass incomplete short right intended for Terrelle Pryor,0.200,-0.490
3,14:20,3,9,CLE 26,17,17,Cody Kessler pass complete short middle to Ricardo Louis for 11 yards (tackle by Kendall Fuller and William Compton),-0.490,1.400
3,13:41,1,10,CLE 37,17,17,Isaiah Crowell middle for 18 yards (tackle by Will Blackmon),1.400,2.590
3,13:01,1,10,WAS 45,17,17,Cody Kessler pass incomplete short right intended for Terrelle Pryor,2.590,2.040
3,12:56,2,10,WAS 45,17,17,Cody Kessler pass complete short left to Isaiah Crowell for 9 yards (tackle by Will Blackmon),2.040,2.540
3,12:17,3,1,WAS 36,17,17,Isaiah Crowell left tackle for 6 yards (tackle by Mason Foster and Will Blackmon),2.540,3.580
3,11:43,1,10,WAS 30,17,17,"Cody Kessler pass complete short right to Duke Johnson for -5 yards (tackle by Mason Foster). Penalty on Quinton Dunbar: Defensive Holding, 4 yards (no play)",3.580,3.840
3,11:18,1,10,WAS 26,17,17,Cody Kessler pass complete short left to Ricardo Louis for 4 yards (tackle by Quinton Dunbar),3.840,3.840
3,10:46,2,6,WAS 22,17,17,Duke Johnson right tackle for no gain (tackle by Ricky Jean-Francois and William Compton),3.840,3.140
3,10:06,3,6,WAS 22,17,17,Cody Kessler pass complete short right to Duke Johnson for no gain. Penalty on Terrelle Pryor: Offensive Offside (Declined),3.140,2.020
3,9:41,4,6,WAS 22,17,17,"Penalty on CLE: False Start, 5 yards (no play)",2.020,1.670
3,9:30,4,11,WAS 27,20,17,Cody Parkey 45 yard field goal good,1.670,3.000
3,9:30,,,CLE 35,20,17,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.610
3,9:25,1,10,WAS 25,20,17,Kirk Cousins pass complete short right to Vernon Davis for 8 yards (tackle by Demario Davis and Joe Schobert),0.610,1.140
3,8:37,2,2,WAS 33,20,17,Kirk Cousins pass complete short right to Jordan Reed for 4 yards (tackle by Joe Haden),1.140,1.400
3,8:08,1,10,WAS 37,20,17,"Penalty on Jordan Reed: False Start, 5 yards (no play)",1.400,1.070
3,7:46,1,15,WAS 32,20,17,"Kirk Cousins sacked by Cam Johnson for -8 yards. Kirk Cousins fumbles (forced by Cam Johnson), recovered by Kirk Cousins at WAS-23",1.070,-1.030
3,7:01,2,24,WAS 23,20,17,Chris Thompson right end for 2 yards (tackle by Corey Lemonier and Xavier Cooper),-1.030,-1.420
3,6:22,3,22,WAS 25,20,17,Kirk Cousins pass complete short left to Jordan Reed for 11 yards (tackle by Jamar Taylor and Demario Davis). Penalty on Arie Kouandjio: Offensive Holding (Declined),-1.420,-0.980
3,5:59,4,11,WAS 36,20,17,"Tress Way punts 59 yards, returned by Duke Johnson for 18 yards (tackle by David Bruton)",-0.980,-0.480
3,5:46,1,10,CLE 23,20,17,Isaiah Crowell right tackle for 19 yards (tackle by Mason Foster),0.480,1.730
3,5:03,1,10,CLE 42,20,17,Isaiah Crowell right guard for 2 yards (tackle by William Compton and Kendall Reyes),1.730,1.460
3,4:21,2,8,CLE 44,20,17,Cody Kessler pass complete short right to Malcolm Johnson for 11 yards (tackle by Josh Norman),1.460,2.590
3,3:41,1,10,WAS 45,20,17,Cody Kessler pass incomplete deep right intended for Ricardo Louis,2.590,2.040
3,3:35,2,10,WAS 45,20,17,Duke Johnson right guard for no gain (tackle by Su'a Cravens and Houston Bates),2.040,1.360
3,2:51,3,10,WAS 45,20,17,Cody Kessler pass complete short left to Gary Barnidge for 13 yards (tackle by Duke Ihenacho),1.360,3.450
3,2:08,1,10,WAS 32,20,17,Isaiah Crowell right end for 2 yards (tackle by Will Blackmon),3.450,3.170
3,1:39,2,8,WAS 30,20,17,Cody Kessler pass incomplete. Penalty on Joe Thomas: Ineligible Downfield Pass (Declined),3.170,2.480
3,1:34,3,8,WAS 30,20,17,Cody Kessler pass complete short right to Isaiah Crowell for 14 yards (tackle by Chris Baker),2.480,4.510
3,1:14,1,10,WAS 16,20,17,"Malcolm Johnson for 2 yards (tackle by William Compton). Malcolm Johnson fumbles (forced by William Compton), recovered by Quinton Dunbar at WAS-9 (tackle by Ricardo Louis)",4.510,0.380
3,1:07,1,10,WAS 9,20,17,Kirk Cousins pass incomplete deep middle intended for Jordan Reed,-0.380,-0.780
3,1:01,2,10,WAS 9,20,17,Kirk Cousins pass complete short left to Jamison Crowder for 15 yards (tackle by Derrick Kindred),-0.780,0.540
3,0:20,1,10,WAS 24,20,17,Kirk Cousins pass complete short right to Matt Jones for 16 yards (tackle by Jordan Poyer and Demario Davis),0.540,1.600
Quarter,Time,Down,ToGo,Location,CLE,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,WAS 40,20,17,Matt Jones right tackle for 8 yards (tackle by Danny Shelton and Demario Davis),1.600,2.130
4,14:21,2,2,WAS 48,20,17,Matt Jones left end for 2 yards (tackle by Emmanuel Ogbah and Derrick Kindred),2.130,2.260
4,13:35,1,10,,20,17,"Chris Thompson right end for 8 yards (tackle by Demario Davis). Penalty on Brandon Scherff: Offensive Holding, 10 yards (no play)",2.260,1.600
4,13:12,1,20,WAS 40,20,17,Kirk Cousins pass complete short right to Pierre Garcon for 4 yards (tackle by Joe Haden),1.600,0.900
4,12:31,2,16,WAS 44,20,17,"Kirk Cousins pass incomplete deep right intended for DeSean Jackson. Penalty on Joe Haden: Defensive Pass Interference, 21 yards (no play)",0.900,3.250
4,12:24,1,10,CLE 35,20,17,Matt Jones right tackle for 11 yards (tackle by Joe Schobert),3.250,3.970
4,11:48,1,10,CLE 24,20,17,Matt Jones right end for 15 yards (tackle by Jordan Poyer),3.970,5.140
4,11:04,1,9,CLE 9,20,17,Robert Kelley right tackle for 4 yards (tackle by Joe Schobert and Danny Shelton),5.140,5.150
4,10:43,2,5,CLE 5,20,23,"Kirk Cousins pass complete short right to Chris Thompson for 5 yards, touchdown",5.150,7.000
4,10:43,,,CLE 5,20,24,Dustin Hopkins kicks extra point good,0.000,0.000
4,10:43,,,WAS 35,20,24,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
4,10:39,1,10,CLE 25,20,24,Isaiah Crowell left end for 17 yards (tackle by David Bruton and Josh Norman),0.610,1.730
4,10:05,1,10,CLE 42,20,24,Isaiah Crowell left guard for 8 yards (tackle by Kendall Reyes and Preston Smith),1.730,2.270
4,9:41,2,2,,20,24,"Duke Johnson left end for 5 yards (tackle by Evander Hood). Duke Johnson fumbles (forced by Evander Hood), recovered by William Compton at WAS-43 (tackle by Joe Thomas)",2.270,-1.800
4,9:32,1,10,WAS 43,20,24,Matt Jones left guard for 25 yards (tackle by Joe Haden),1.800,3.450
4,8:54,1,10,CLE 32,20,24,Kirk Cousins sacked by Cam Johnson for -8 yards,3.450,1.820
4,8:08,2,18,CLE 40,20,24,Kirk Cousins pass incomplete short left intended for DeSean Jackson,1.820,1.820
4,7:59,2,18,CLE 40,20,24,Timeout #1 by Washington Redskins,1.820,1.160
4,7:59,3,18,CLE 40,20,24,Kirk Cousins sacked by Briean Boddy-Calhoun for -10 yards,1.160,-0.060
4,7:25,4,28,,20,24,Tress Way punts 48 yards,-0.060,0.380
4,7:14,1,10,CLE 2,20,24,Isaiah Crowell middle for 8 yards (tackle by Will Blackmon and Mason Foster),-0.380,-0.200
4,6:37,2,2,CLE 10,20,24,"Cody Kessler pass incomplete short middle intended for Terrelle Pryor is intercepted by Josh Norman at CLE-25 and returned for 1 yard. Penalty on Josh Norman: Unsportsmanlike Conduct, 15 yards",-0.200,-2.980
4,6:28,1,10,CLE 39,20,24,Matt Jones for -1 yards (tackle by Cam Johnson and Jamar Taylor),2.980,2.300
4,5:53,2,11,CLE 40,20,24,Kirk Cousins pass complete short right to Pierre Garcon for 23 yards (tackle by Jordan Poyer),2.300,4.440
4,5:12,1,10,CLE 17,20,24,Matt Jones left end for 16 yards (tackle by Jordan Poyer),4.440,6.970
4,4:28,1,1,CLE 1,20,24,Matt Jones right tackle for no gain (tackle by Danny Shelton). Penalty on Cam Johnson: Defensive Offside (no play),6.970,6.970
4,4:28,1,1,CLE 1,20,30,"Matt Jones right guard for 1 yard, touchdown",6.970,7.000
4,4:28,,,CLE 1,20,31,Dustin Hopkins kicks extra point good,0.000,0.000
4,4:28,,,WAS 35,20,31,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
4,4:25,1,10,CLE 25,20,31,Cody Kessler pass complete short right to Duke Johnson for 5 yards (tackle by William Compton),0.610,0.740
4,3:59,2,5,CLE 30,20,31,Cody Kessler pass complete short middle to Andrew Hawkins for 12 yards (tackle by Will Blackmon and Chris Baker),0.740,1.730
4,3:32,1,10,CLE 42,20,31,Cody Kessler pass complete short middle to Terrelle Pryor for 4 yards (tackle by William Compton),1.730,1.730
4,3:24,2,6,CLE 46,20,31,Cody Kessler pass complete short right to Gary Barnidge for 8 yards (tackle by Kendall Fuller),1.730,2.520
4,3:14,1,10,WAS 46,20,31,"Penalty on Joe Thomas: False Start, 5 yards (no play)",2.520,2.190
4,3:14,1,15,CLE 49,20,31,Duke Johnson right guard for 10 yards (tackle by Trent Murphy),2.190,2.650
4,2:52,2,5,WAS 41,20,31,Cody Kessler pass incomplete short right intended for Ricardo Louis,2.650,1.950
4,2:47,3,5,WAS 41,20,31,Cody Kessler pass complete short right to Isaiah Crowell for -1 yards (tackle by Josh Norman),1.950,0.460
4,2:08,4,6,WAS 42,20,31,Cody Kessler pass incomplete short right intended for Terrelle Pryor,0.460,-1.730
4,2:03,1,10,WAS 42,20,31,Matt Jones right tackle for no gain (tackle by Jamie Meder),1.730,1.190
4,1:57,2,10,WAS 42,20,31,Matt Jones right guard for no gain (tackle by Stephen Paea and Danny Shelton),1.190,1.190
4,1:53,2,10,WAS 42,20,31,Timeout #1 by Cleveland Browns,1.190,0.500
4,1:53,3,10,WAS 42,20,31,Matt Jones left end for 2 yards (tackle by Stephen Paea),0.500,0.500
4,1:48,3,10,WAS 42,20,31,Timeout #2 by Washington Redskins,0.500,-0.460
4,1:48,4,8,WAS 44,20,31,"Tress Way punts 39 yards, returned by Jordan Poyer for 2 yards",-0.460,-0.150
4,1:41,1,10,CLE 19,20,31,Cody Kessler pass complete short right to Gary Barnidge for 2 yards (tackle by Kendall Fuller),0.150,-0.060
4,1:15,2,8,CLE 21,20,31,Cody Kessler pass complete short middle to Duke Johnson for 12 yards (tackle by Mason Foster),-0.060,1.140
4,0:49,1,10,CLE 33,20,31,Cody Kessler pass complete short left to Duke Johnson for 7 yards (tackle by Will Blackmon),1.140,1.140
4,0:40,1,10,CLE 33,20,31,Timeout #2 by Cleveland Browns,1.140,1.540
4,0:40,2,3,CLE 40,20,31,Cody Kessler pass incomplete short left intended for Duke Johnson,1.540,0.830
4,0:36,3,3,CLE 40,20,31,Cody Kessler pass complete short middle to Gary Barnidge for 6 yards (tackle by Kendall Fuller),0.830,0.830
4,0:31,3,3,CLE 40,20,31,Timeout #3 by Cleveland Browns,0.830,1.990
4,0:31,1,10,CLE 46,20,31,Cody Kessler right end for 2 yards (tackle by Kendall Reyes),1.990,1.720
4,0:24,2,8,CLE 48,20,31,Cody Kessler pass complete short left to Gary Barnidge for 8 yards (tackle by Kendall Fuller),1.720,2.650
4,0:05,1,10,WAS 44,20,31,Cody Kessler spiked the ball,2.650,2.110
4,0:04,2,10,WAS 44,20,31,Duke Johnson right end for 9 yards (tackle by Kendall Fuller),2.110,2.610
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
