Quarter,Time,Down,ToGo,Location,NYG,SFO,Detail,EPB,EPA
3,8:09,,,SFO 35,10,20,"Bradley Pinion kicks off 69 yards, returned by Corey Coleman for no gain (tackle by Greg Mabin and D.J. Reed)",0.000,2.060
3,8:01,1,10,NYG 47,10,20,Eli Manning pass complete deep left to Odell Beckham for 30 yards (tackle by Jimmie Ward),2.060,4.040
3,7:24,1,10,SFO 23,10,20,Saquon Barkley up the middle for 3 yards (tackle by DeForest Buckner and Earl Mitchell),4.040,3.900
3,6:45,2,7,SFO 20,10,20,Eli Manning pass incomplete deep left intended for Odell Beckham,3.900,3.200
3,6:40,3,7,SFO 20,16,20,"Eli Manning pass complete deep left to Odell Beckham for 20 yards, touchdown",3.200,7.000
3,6:36,,,SFO 15,17,20,Aldrick Rosas kicks extra point good,0.000,0.000
3,6:36,,,NYG 35,17,20,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
3,6:36,1,10,SFO 25,17,20,Nick Mullens pass complete short right to Kyle Juszczyk for -1 yards (tackle by Lorenzo Carter),0.610,-0.070
3,6:09,2,11,SFO 24,17,20,Nick Mullens pass complete short right to George Kittle for -1 yards (tackle by Lorenzo Carter),-0.070,-0.890
3,5:27,3,12,SFO 23,17,20,"Nick Mullens pass complete short left to George Kittle for 14 yards (tackle by Curtis Riley). Penalty on George Kittle: Offensive Pass Interference, 10 yards (no play)",-0.890,-2.750
3,5:03,3,22,SFO 13,17,20,Kyle Juszczyk left guard for 3 yards (tackle by Mario Edwards),-2.750,-2.390
3,4:25,4,19,SFO 16,17,20,"Bradley Pinion punts 46 yards. Penalty on Tarvarius Moore: Kick Catch Interference, 15 yards",-2.390,-2.460
3,4:15,1,10,SFO 47,17,20,Sterling Shepard left end for 27 yards,2.460,4.240
3,3:39,1,10,SFO 20,17,20,Saquon Barkley left end for 1 yard (tackle by Dekoda Watson),4.240,3.820
3,3:03,2,9,SFO 19,17,20,Saquon Barkley up the middle for 6 yards (tackle by Ahkello Witherspoon),3.820,4.100
3,2:18,3,3,SFO 13,17,20,Eli Manning pass incomplete short right intended for Odell Beckham,4.100,2.670
3,2:14,4,3,SFO 13,20,20,Aldrick Rosas 31 yard field goal good,2.670,3.000
3,2:10,,,NYG 35,20,20,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
3,2:10,1,10,SFO 25,20,20,Matt Breida right end for 1 yard (tackle by Curtis Riley),0.610,0.200
3,1:31,2,9,SFO 26,20,20,Alfred Morris left tackle for 5 yards (tackle by B.J. Hill),0.200,0.170
3,0:50,3,4,SFO 31,20,20,"Nick Mullens pass complete short left to Marquise Goodwin for 13 yards (tackle by Alec Ogletree). Penalty on Alec Ogletree: Unnecessary Roughness, 15 yards",0.170,2.850
3,0:19,1,10,NYG 41,20,20,"Alfred Morris right tackle for 2 yards (tackle by Kareem Martin and Josh Mauro). Penalty on Weston Richburg: Offensive Holding, 10 yards",2.850,2.320
Quarter,Time,Down,ToGo,Location,NYG,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,18,NYG 49,20,20,Nick Mullens pass short right intended for Marquise Goodwin is intercepted by B.J. Goodson at NYG-43 and returned for 3 yards,2.320,-1.990
4,14:55,1,10,NYG 46,20,20,Eli Manning pass complete short right to Rhett Ellison for 6 yards (tackle by Fred Warner),1.990,2.260
4,14:23,2,4,SFO 48,20,20,Saquon Barkley up the middle for 1 yard (tackle by Malcolm Smith),2.260,1.690
4,13:44,3,3,SFO 47,20,20,Eli Manning pass incomplete short right intended for Odell Beckham (defended by Fred Warner),1.690,0.130
4,13:41,4,3,SFO 47,20,20,"Riley Dixon punts 32 yards, fair catch by Richie James at SF-15",0.130,0.220
4,13:34,1,10,SFO 15,20,20,Nick Mullens pass incomplete short right intended for Dante Pettis,-0.220,-0.710
4,13:27,2,10,SFO 15,20,20,Nick Mullens pass complete short middle to Kendrick Bourne for 13 yards (tackle by Sean Chandler and Curtis Riley),-0.710,0.810
4,12:48,1,10,SFO 28,20,20,Matt Breida right tackle for 2 yards (tackle by Dalvin Tomlinson and B.J. Hill),0.810,0.530
4,12:06,2,8,SFO 30,20,20,Nick Mullens right tackle for -1 yards (tackle by B.J. Goodson),0.530,-0.300
4,11:20,3,9,SFO 29,20,20,Nick Mullens pass complete short left to Dante Pettis for 8 yards (tackle by Lorenzo Carter and Alec Ogletree),-0.300,-0.910
4,10:43,4,1,SFO 37,20,20,"Bradley Pinion punts 47 yards, returned by Quadree Henderson for 7 yards (tackle by Elijah Lee)",-0.910,-0.480
4,10:34,1,10,NYG 23,20,20,Eli Manning pass incomplete deep left intended for Odell Beckham (defended by Ahkello Witherspoon),0.480,-0.070
4,10:26,2,10,NYG 23,20,20,Saquon Barkley left tackle for 3 yards (tackle by Antone Exum and Ahkello Witherspoon),-0.070,-0.360
4,9:44,3,7,NYG 26,20,20,Eli Manning sacked by Dekoda Watson and DeForest Buckner for -8 yards,-0.360,-2.240
4,9:06,4,15,NYG 18,20,20,"Riley Dixon punts 49 yards, returned by Dante Pettis for 1 yard (tackle by Antonio Hamilton)",-2.240,-1.200
4,8:57,1,10,SFO 34,20,20,Matt Breida left tackle for 23 yards (tackle by Landon Collins),1.200,2.720
4,8:11,1,10,NYG 43,20,20,Alfred Morris right guard for -2 yards (tackle by Lorenzo Carter and Josh Mauro),2.720,1.910
4,7:27,2,12,NYG 45,20,20,Alfred Morris right end for 4 yards (tackle by B.J. Hill),1.910,1.750
4,6:42,3,8,NYG 41,20,20,Nick Mullens pass complete short left to Kendrick Bourne for 11 yards (tackle by Janoris Jenkins),1.750,3.580
4,5:55,1,10,NYG 30,20,20,Matt Breida right tackle for 9 yards (tackle by Josh Mauro),3.580,4.250
4,5:12,2,1,NYG 21,20,20,Matt Breida right guard for no gain (tackle by Josh Mauro),4.250,3.530
4,4:31,3,1,NYG 21,20,20,Matt Breida right guard for 2 yards (tackle by Alec Ogletree),3.530,4.310
4,3:51,1,10,NYG 19,20,20,Alfred Morris left tackle for 5 yards (tackle by Janoris Jenkins),4.310,4.530
4,3:05,2,5,NYG 14,20,20,Alfred Morris right tackle for -1 yards (tackle by Dalvin Tomlinson),4.530,3.580
4,2:59,,,,,,Timeout #1 by New York Giants,,
4,2:59,3,6,NYG 15,20,20,Nick Mullens pass complete short left to Kendrick Bourne for 3 yards (tackle by Grant Haley),3.580,2.730
4,2:50,,,,,,Timeout #2 by New York Giants,,
4,2:50,4,3,NYG 12,20,23,Robbie Gould 30 yard field goal good,2.730,3.000
4,2:46,,,SFO 35,20,23,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
4,2:46,1,10,NYG 25,20,23,Eli Manning pass incomplete short right intended for Odell Beckham (defended by Richard Sherman),0.610,0.060
4,2:43,2,10,NYG 25,20,23,Eli Manning pass complete deep right to Evan Engram for 31 yards (tackle by Jimmie Ward),0.060,2.650
4,2:36,1,10,SFO 44,20,23,Eli Manning pass complete short middle to Evan Engram for 6 yards (tackle by Malcolm Smith and Fred Warner),2.650,2.920
4,2:17,2,4,SFO 38,20,23,Eli Manning pass complete short right to Saquon Barkley for -3 yards (tackle by Richard Sherman),2.920,1.820
4,2:00,3,7,SFO 41,20,23,"Penalty on Will Hernandez: False Start, 5 yards (no play)",1.820,1.160
4,2:00,3,12,SFO 46,20,23,"Eli Manning pass incomplete short right intended for Saquon Barkley. Penalty on Malcolm Smith: Defensive Holding, 5 yards (no play)",1.160,2.850
4,1:55,1,10,SFO 41,20,23,"Eli Manning pass complete short left to Odell Beckham for 5 yards (tackle by Ahkello Witherspoon). Penalty on Jamon Brown: Offensive Holding, 10 yards (no play)",2.850,2.190
4,1:50,1,20,NYG 49,20,23,Eli Manning pass incomplete deep right intended for Saquon Barkley,2.190,0.960
4,1:45,2,20,NYG 49,20,23,"Eli Manning pass incomplete deep left intended for Odell Beckham. Penalty on Ahkello Witherspoon: Defensive Pass Interference, 16 yards (no play)",0.960,3.250
4,1:41,1,10,SFO 35,20,23,Eli Manning pass incomplete deep right intended for Evan Engram (defended by Antone Exum) (defended by Malcolm Smith),3.250,2.700
4,1:35,,,,,,Timeout #2 by San Francisco 49ers,,
4,1:35,2,10,SFO 35,20,23,Eli Manning pass complete short left to Saquon Barkley for 23 yards (tackle by K'Waun Williams),2.700,4.780
4,1:27,1,10,SFO 12,20,23,Eli Manning pass complete short right to Evan Engram for 9 yards (tackle by Antone Exum),4.780,5.790
4,0:57,2,1,SFO 3,26,23,"Eli Manning pass complete short left to Sterling Shepard for 3 yards, touchdown",5.790,7.000
4,0:53,,,SFO 15,27,23,Aldrick Rosas kicks extra point good,0.000,0.000
4,0:53,,,NYG 35,27,23,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
4,0:53,1,10,SFO 25,27,23,"Nick Mullens pass incomplete short right intended for Kendrick Bourne (defended by Landon Collins). Penalty on Lorenzo Carter: Roughing the Passer, 15 yards (no play)",0.610,1.600
4,0:49,1,10,SFO 40,27,23,Nick Mullens pass complete short middle to Kendrick Bourne for 6 yards (tackle by Lorenzo Carter),1.600,1.860
4,0:34,2,4,SFO 46,27,23,"Penalty on Mike McGlinchey: False Start, 5 yards (no play)",1.860,1.190
4,0:34,,,,,,Timeout #3 by San Francisco 49ers,,
4,0:34,2,9,SFO 41,27,23,Nick Mullens pass complete short middle to Trent Taylor for 12 yards (tackle by Landon Collins and Alec Ogletree),1.190,2.460
4,0:19,1,10,NYG 47,27,23,Nick Mullens spiked the ball,2.460,1.910
4,0:18,2,10,NYG 47,27,23,Nick Mullens pass complete deep middle to Marquise Goodwin for 26 yards (tackle by Landon Collins),1.910,4.170
4,0:02,1,10,NYG 21,27,23,Nick Mullens spiked the ball,4.170,3.630
4,0:01,,,,,,Timeout #3 by New York Giants,,
4,0:01,2,10,NYG 21,27,23,Nick Mullens pass incomplete deep left. Penalty on Kyle Juszczyk: Offensive Holding (Declined),3.630,2.940
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
