Quarter,Time,Down,ToGo,Location,SEA,CHI,Detail,EPB,EPA
2,10:01,1,10,SEA 20,0,21,Justin Forsett right guard for 2 yards (tackle by Brian Urlacher),0.280,0.000
2,9:31,2,8,SEA 22,0,21,Matt Hasselbeck pass complete short right to Ben Obomanu for 7 yards (tackle by D.J. Moore and Tim Jennings),0.000,0.230
2,8:49,3,1,SEA 29,0,21,"Matt Hasselbeck pass incomplete short right intended for Mike Williams (defended by Charles Tillman). Penalty on Charles Tillman: Defensive Pass Interfere, 7 yards (no play)",0.230,1.330
2,8:45,1,10,SEA 36,0,21,Matt Hasselbeck pass incomplete short left intended for Brandon Stokley,1.330,0.790
2,8:41,2,10,SEA 36,0,21,Matt Hasselbeck pass incomplete deep right intended for Brandon Stokley,0.790,0.100
2,8:35,3,10,SEA 36,0,21,Matt Hasselbeck pass incomplete deep left intended for Ben Obomanu,0.100,-0.980
2,8:31,4,10,SEA 36,0,21,"Jon Ryan punts 38 yards, fair catch by Devin Hester",-0.980,-0.670
2,8:24,1,10,CHI 26,0,21,"Penalty on Frank Omiyale: False Start, 5 yards (no play)",0.670,0.340
2,8:24,1,15,CHI 21,0,21,Jay Cutler pass complete short right to Matt Forte for 26 yards (tackle by Earl Thomas),0.340,2.060
2,7:57,1,10,CHI 47,0,21,Jay Cutler pass incomplete short left intended for Devin Hester,2.060,1.520
2,7:54,2,10,CHI 47,0,21,Matt Forte right end for 11 yards (tackle by David Hawthorne),1.520,2.790
2,7:10,1,10,SEA 42,0,21,Jay Cutler pass incomplete deep middle intended for Earl Bennett (defended by Marcus Trufant),2.790,2.240
2,7:03,2,10,SEA 42,0,21,"Chester Taylor right end for 4 yards (tackle by Lawyer Milloy). Penalty on Devin Hester: Illegal Crackback, 15 yards",2.240,0.760
2,6:40,2,21,CHI 47,0,21,"Jay Cutler pass complete short right to Johnny Knox for 9 yards (tackle by Will Herring). Johnny Knox fumbles (forced by Will Herring), ball out of bounds at SEA-44",0.760,1.290
2,6:07,3,12,SEA 44,0,21,"Jay Cutler sacked by Raheem Brock for -4 yards. Jay Cutler fumbles (forced by Raheem Brock), recovered by J'Marcus Webb at SEA-48",1.290,0.070
2,5:21,4,16,SEA 48,0,21,Brad Maynard punts 47 yards,0.070,0.380
2,5:12,1,10,SEA 1,0,21,Michael Robinson right guard for 1 yard (tackle by Julius Peppers),-0.380,-0.710
2,4:29,2,9,SEA 2,0,21,Matt Hasselbeck pass incomplete deep left intended for Mike Williams,-0.710,-1.300
2,4:25,3,9,SEA 2,0,21,Matt Hasselbeck pass complete short right to Ben Obomanu for 12 yards (tackle by D.J. Moore and Major Wright),-1.300,-0.280
2,3:54,1,10,SEA 14,0,21,Marshawn Lynch right guard for 4 yards (tackle by Lance Briggs),-0.280,-0.210
2,3:23,2,6,SEA 18,0,21,Matt Hasselbeck pass complete short right to Mike Williams for 3 yards (tackle by Lance Briggs),-0.210,-0.560
2,2:44,3,3,SEA 21,0,21,Matt Hasselbeck pass incomplete deep right intended for Golden Tate (defended by Tim Jennings),-0.560,-1.960
2,2:39,4,3,SEA 21,0,21,Jon Ryan punts 23 yards,-1.960,-2.650
2,2:29,1,10,SEA 44,0,21,Jay Cutler pass complete short left to Devin Hester for -2 yards (tackle by Brandon Mebane),2.650,1.840
2,2:00,2,12,SEA 46,0,21,Jay Cutler pass incomplete short right intended for Greg Olsen,1.840,1.160
2,1:55,3,12,SEA 46,0,21,Jay Cutler pass incomplete deep right intended for Greg Olsen,1.160,0.200
2,1:49,4,12,SEA 46,0,21,"Brad Maynard punts 37 yards, out of bounds. Penalty on Rod Wilson: Offensive Holding, 10 yards (no play)",0.200,-0.460
2,1:40,4,22,CHI 44,0,21,Brad Maynard punts 37 yards,-0.460,-0.150
2,1:31,1,10,SEA 19,0,21,Matt Hasselbeck pass complete short middle to Ruvell Martin for 13 yards (tackle by D.J. Moore),0.150,1.070
2,1:11,1,10,SEA 32,0,21,Matt Hasselbeck pass incomplete short left intended for Mike Williams,1.070,0.530
2,1:09,2,10,SEA 32,0,21,Matt Hasselbeck pass complete short right to Brandon Stokley for 2 yards (tackle by D.J. Moore),0.530,0.100
2,1:01,,,,0,21,Timeout #1 by Seattle Seahawks,0.000,0.100
2,1:01,3,8,SEA 34,0,21,Matt Hasselbeck sacked by Tommie Harris for -8 yards,0.100,-1.630
2,0:50,,,,0,21,Timeout #2 by Chicago Bears,0.000,-1.630
2,0:50,4,16,SEA 26,0,21,Jon Ryan punts 42 yards,-1.630,-1.070
2,0:43,1,10,CHI 32,0,21,Jay Cutler sacked by Chris Clemons for -6 yards,1.070,-0.280
Quarter,Time,Down,ToGo,Location,SEA,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 30,0,21,"Olindo Mare kicks off 52 yards, returned by Rashied Davis for no gain, lateral to Devin Hester for 6 yards (tackle by Matt McCoy)",0.000,0.540
3,14:55,1,10,CHI 24,0,21,Matt Forte right guard for 4 yards (tackle by Marcus Trufant),0.540,0.540
3,14:29,2,6,CHI 28,0,21,Matt Forte left guard for 1 yard (tackle by Colin Cole),0.540,-0.030
3,13:52,3,5,CHI 29,0,21,Jay Cutler pass incomplete short middle intended for Earl Bennett,-0.030,-1.440
3,13:48,4,5,CHI 29,0,21,"Brad Maynard punts 47 yards, returned by Golden Tate for 11 yards (tackle by Garrett Wolfe)",-1.440,-1.270
3,13:37,1,10,SEA 35,0,21,Marshawn Lynch right tackle for no gain (tackle by Danieal Manning),1.270,0.720
3,13:03,2,10,SEA 35,0,21,Justin Forsett right guard for no gain (tackle by Anthony Adams),0.720,0.040
3,12:27,3,10,SEA 35,0,21,Matt Hasselbeck pass incomplete short left intended for Mike Williams (defended by Charles Tillman),0.040,-1.040
3,12:22,4,10,SEA 35,0,21,"Jon Ryan punts 39 yards, returned by Devin Hester for 4 yards (tackle by Matt McCoy)",-1.040,-0.940
3,12:11,1,10,CHI 30,0,21,Matt Forte right guard for 5 yards (tackle by Lawyer Milloy),0.940,1.070
3,11:34,2,5,CHI 35,0,21,Matt Forte left guard for 3 yards (tackle by Brandon Mebane),1.070,0.760
3,10:55,3,2,CHI 38,0,21,Jay Cutler for 8 yards (tackle by Chris Clemons),0.760,1.990
3,10:28,1,10,CHI 46,0,21,Matt Forte left end for 1 yard (tackle by Aaron Curry),1.990,1.590
3,9:49,2,9,CHI 47,0,21,Jay Cutler pass complete short middle to Matt Forte for 9 yards (tackle by Lofa Tatupu),1.590,2.650
3,8:59,1,10,SEA 44,0,21,Jay Cutler pass complete short right to Devin Hester for 6 yards (tackle by Marcus Trufant),2.650,2.920
3,8:35,2,4,SEA 38,0,21,Matt Forte left end for -1 yards (tackle by Chris Clemons),2.920,2.080
3,7:57,3,5,SEA 39,0,21,Jay Cutler pass complete short left to Johnny Knox for 15 yards (tackle by Lawyer Milloy),2.080,3.970
3,7:14,1,10,SEA 24,0,21,Jay Cutler pass complete short right to Kellen Davis for 3 yards (tackle by Marcus Trufant),3.970,3.840
3,6:48,2,7,SEA 21,0,21,Matt Forte left end for 6 yards (tackle by Brandon Mebane),3.840,4.170
3,6:11,3,1,SEA 15,0,21,Matt Forte right tackle for 2 yards (tackle by David Hawthorne),4.170,4.710
3,5:33,1,10,SEA 13,0,21,Matt Forte left guard for 1 yard (tackle by Colin Cole),4.710,4.220
3,4:53,2,9,SEA 12,0,21,Chester Taylor right guard for 3 yards (tackle by Colin Cole),4.220,3.880
3,4:18,3,6,SEA 9,0,27,"Jay Cutler right end for 9 yards, touchdown",3.880,7.000
3,,,,SEA 2,0,28,Robbie Gould kicks extra point good,0.000,0.000
3,,,,CHI 30,0,28,"Robbie Gould kicks off 62 yards, returned by Leon Washington for 62 yards (tackle by Robbie Gould)",0.000,3.580
3,4:04,1,10,CHI 30,0,28,Matt Hasselbeck pass complete short middle to Brandon Stokley for 10 yards (tackle by Lance Briggs),3.580,4.240
3,3:46,1,10,CHI 20,0,28,Matt Hasselbeck pass complete short right to Justin Forsett for 2 yards (tackle by Pisa Tinoisamoa),4.240,3.960
3,3:08,2,8,CHI 18,0,28,Matt Hasselbeck pass incomplete short right intended for Mike Williams,3.960,3.220
3,3:04,3,8,CHI 18,0,28,"Matt Hasselbeck pass incomplete deep left intended for Brandon Stokley. Penalty on Charles Tillman: Illegal Contact, 5 yards (no play)",3.220,4.710
3,2:59,1,10,CHI 13,0,28,Matt Hasselbeck pass complete short left to Michael Robinson for 3 yards (tackle by Corey Wootton),4.710,4.580
3,2:29,2,7,CHI 10,0,28,"Matt Hasselbeck for no gain. Matt Hasselbeck fumbles, recovered by Ben Obomanu at CHI-12",4.580,3.280
3,2:05,3,9,CHI 12,0,28,Matt Hasselbeck pass incomplete short right intended for Golden Tate (defended by Charles Tillman),3.280,2.630
3,1:57,4,9,CHI 12,3,28,Olindo Mare 30 yard field goal good,2.630,3.000
3,,,,SEA 30,3,28,"Olindo Mare kicks off 70 yards, returned by Danieal Manning for 29 yards (tackle by Kam Chancellor). Penalty on Henry Melton: Offensive Holding, 9 yards",0.000,-0.380
3,1:43,1,10,CHI 9,3,28,Chester Taylor right end for 6 yards (tackle by Chris Clemons),-0.380,-0.280
3,1:02,2,4,CHI 15,3,28,Chester Taylor left tackle for 3 yards (tackle by Lawyer Milloy),-0.280,-0.370
3,0:24,,,,3,28,Timeout #1 by Chicago Bears,0.000,-0.370
3,0:24,3,1,CHI 18,3,28,Chester Taylor left tackle for 2 yards (tackle by Colin Cole),-0.370,0.280
Quarter,Time,Down,ToGo,Location,SEA,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CHI 20,3,28,Chester Taylor right end for 2 yards (tackle by Kentwan Balmer),0.280,0.000
4,14:25,2,8,CHI 22,3,28,Jay Cutler pass incomplete short left intended for Johnny Knox,0.000,-0.690
4,14:18,3,8,CHI 22,3,28,Jay Cutler right guard for 21 yards (tackle by Kelly Jennings),-0.690,1.800
4,13:33,1,10,CHI 43,3,28,Matt Forte pass incomplete short left intended for Devin Hester is intercepted by Aaron Curry at SEA-44 and returned for 23 yards,1.800,-3.380
4,13:22,1,10,CHI 33,3,28,Matt Hasselbeck pass incomplete short middle intended for Justin Forsett,3.380,2.840
4,13:15,2,10,CHI 33,3,28,Matt Hasselbeck pass complete short right to Brandon Stokley for 9 yards (tackle by Josh Bullocks),2.840,3.340
4,12:53,3,1,CHI 24,3,28,Matt Hasselbeck pass incomplete short left intended for Mike Williams (defended by Charles Tillman),3.340,2.020
4,12:50,4,1,CHI 24,3,28,"Matt Hasselbeck pass incomplete short right intended for Brandon Stokley is intercepted by Tim Jennings at CHI-18. Penalty on Tim Jennings: Defensive Pass Interfere, 5 yards (no play)",2.020,4.310
4,12:44,1,10,CHI 19,3,28,Matt Hasselbeck pass incomplete short middle intended for Mike Williams (defended by Major Wright),4.310,3.750
4,12:39,2,10,CHI 19,3,28,Matt Hasselbeck pass complete short left to Brandon Stokley for 6 yards (tackle by Josh Bullocks),3.750,3.960
4,11:57,3,4,CHI 13,3,28,Matt Hasselbeck pass complete short left to Brandon Stokley for 11 yards (tackle by Tim Jennings),3.960,6.740
4,11:32,1,2,CHI 2,3,28,Matt Hasselbeck pass incomplete short right intended for Mike Williams,6.740,5.720
4,11:29,2,2,CHI 2,3,28,Matt Hasselbeck pass incomplete short right intended for Ben Obomanu,5.720,4.950
4,11:25,3,2,CHI 2,9,28,"Matt Hasselbeck pass complete short left to Mike Williams for 2 yards, touchdown",4.950,7.000
4,,,,CHI 2,10,28,Olindo Mare kicks extra point good,0.000,0.000
4,,,,SEA 30,10,28,Olindo Mare kicks off 44 yards,0.000,0.670
4,11:20,1,10,CHI 26,10,28,Matt Forte right end for 1 yard (tackle by Kentwan Balmer),0.670,0.270
4,10:40,2,9,CHI 27,10,28,Jay Cutler pass complete short right to Matt Forte for 19 yards (tackle by Lofa Tatupu),0.270,1.990
4,9:53,1,10,CHI 46,10,28,Jay Cutler pass complete short left to Johnny Knox for 6 yards (tackle by Earl Thomas),1.990,2.260
4,9:10,2,4,SEA 48,10,28,Chester Taylor left end for 11 yards (tackle by David Hawthorne),2.260,3.120
4,8:27,1,10,SEA 37,10,28,Jay Cutler pass incomplete short right intended for Greg Olsen,3.120,2.570
4,8:22,2,10,SEA 37,10,28,Chester Taylor left end for 1 yard (tackle by David Hawthorne),2.570,2.010
4,7:42,3,9,SEA 36,10,28,Jay Cutler pass incomplete short left intended for Johnny Knox,2.010,0.880
4,7:35,4,9,SEA 36,10,28,Brad Maynard punts 31 yards,0.880,0.380
4,7:28,1,10,SEA 5,10,28,Matt Hasselbeck pass complete short middle to Justin Forsett for 16 yards (tackle by Lance Briggs),-0.380,0.340
4,7:02,1,10,SEA 21,10,28,Matt Hasselbeck pass incomplete short right intended for Ben Obomanu,0.340,-0.200
4,6:57,2,10,SEA 21,10,28,Matt Hasselbeck pass incomplete short middle intended for Mike Williams,-0.200,-0.890
4,6:53,3,10,SEA 21,10,28,Matt Hasselbeck sacked by Tommie Harris and Israel Idonije for -8 yards,-0.890,-2.490
4,6:25,4,18,SEA 13,10,28,"Jon Ryan punts 35 yards, fair catch by Devin Hester",-2.490,-2.390
4,6:17,1,10,SEA 48,10,28,Matt Forte left end for 5 yards (tackle by Will Herring),2.390,2.520
4,5:32,2,5,SEA 43,10,28,Matt Forte left tackle for 4 yards (tackle by David Hawthorne),2.520,2.340
4,4:47,3,1,SEA 39,10,34,"Jay Cutler pass complete deep left to Kellen Davis for 39 yards, touchdown",2.340,7.000
4,,,,SEA 2,10,35,Robbie Gould kicks extra point good,0.000,0.000
4,,,,CHI 30,10,35,"Robbie Gould kicks off 67 yards, returned by Leon Washington for 23 yards (tackle by Josh Bullocks)",0.000,0.670
4,4:33,1,10,SEA 26,10,35,Justin Forsett right tackle for 8 yards (tackle by Lance Briggs),0.670,1.210
4,4:08,2,2,SEA 34,10,35,Matt Hasselbeck pass complete deep right to Brandon Stokley for 21 yards (tackle by Josh Bullocks and Tim Jennings),1.210,2.590
4,3:41,1,10,CHI 45,10,35,Matt Hasselbeck pass complete short middle to Cameron Morrah for 6 yards (tackle by Brian Urlacher),2.590,2.850
4,3:18,2,4,CHI 39,10,35,Matt Hasselbeck pass complete short middle to Cameron Morrah for 9 yards (tackle by Brian Urlacher),2.850,3.580
4,2:51,1,10,CHI 30,10,35,Matt Hasselbeck pass complete short middle to Leon Washington for 10 yards (tackle by Lance Briggs),3.580,4.240
4,2:39,,,,10,35,Timeout #1 by Seattle Seahawks,0.000,4.240
4,2:39,1,10,CHI 20,10,35,Matt Hasselbeck pass complete short left to Brandon Stokley for 17 yards (tackle by Major Wright),4.240,6.510
4,2:19,1,3,CHI 3,16,35,"Matt Hasselbeck pass complete short right to Mike Williams for 3 yards, touchdown",6.510,7.000
4,,,,CHI 2,17,35,Olindo Mare kicks extra point good,0.000,0.000
4,,,,SEA 30,17,35,Olindo Mare kicks onside 7 yards,0.000,3.120
4,2:14,1,10,SEA 37,17,35,Matt Forte left end for 7 yards (tackle by Aaron Curry),3.120,3.520
4,2:05,,,,17,35,Timeout #2 by Seattle Seahawks,0.000,3.520
4,2:05,2,3,SEA 30,17,35,Matt Forte right guard for 1 yard (tackle by Brandon Mebane),3.520,2.940
4,2:00,3,2,SEA 29,17,35,Matt Forte left end for -1 yards (tackle by Brandon Mebane),2.940,1.480
4,1:55,,,,17,35,Timeout #3 by Seattle Seahawks,0.000,1.480
4,1:55,4,3,SEA 30,17,35,"Jay Cutler pass incomplete short middle intended for Earl Bennett. Penalty on Olin Kreutz: Unnecessary Roughness, 15 yards",1.480,-1.930
4,1:51,1,10,SEA 45,17,35,Matt Hasselbeck pass complete deep right to Ben Obomanu for 46 yards (tackle by Tim Jennings),1.930,5.140
4,1:27,1,9,CHI 9,23,35,"Matt Hasselbeck pass complete to Brandon Stokley for 9 yards, touchdown",5.140,7.000
4,,,,CHI 2,24,35,Olindo Mare kicks extra point good,0.000,0.000
4,,,,SEA 30,24,35,"Olindo Mare kicks onside 17 yards. Penalty on Kennard Cox: Offside on Free Kick, 5 yards",0.000,2.790
4,1:16,1,10,SEA 42,24,35,Jay Cutler kneels for -1 yards,2.790,2.110
4,0:46,2,11,SEA 43,24,35,Jay Cutler kneels for -1 yards,2.110,1.290
4,0:26,3,12,SEA 44,24,35,Jay Cutler kneels for -1 yards,1.290,0.270
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
