Quarter,Time,Down,ToGo,Location,NYG,ATL,Detail,EPB,EPA
2,9:52,1,10,ATL 33,0,0,Eli Manning pass complete short middle to Plaxico Burress for 15 yards (tackle by Lawyer Milloy),3.380,4.370
2,9:05,1,10,ATL 18,0,0,"Tiki Barber middle for -1 yards (tackle by Ike Reese and Keith Brooking). Penalty on John Abraham: Defensive Offside, 5 yards (no play)",4.370,5.410
2,8:41,1,5,ATL 13,0,0,Tiki Barber right tackle for 8 yards (tackle by Keith Brooking),5.410,6.060
2,7:59,1,5,ATL 5,0,0,Tiki Barber left end for no gain (tackle by Demorrio Williams),6.060,5.150
2,7:31,2,5,ATL 5,0,0,Brandon Jacobs middle for 2 yards (tackle by Lawyer Milloy),5.150,4.720
2,6:50,3,3,ATL 3,0,0,Eli Manning pass incomplete short right intended for Brandon Jacobs,4.720,3.040
2,6:46,4,3,ATL 3,3,0,Jay Feely 21 yard field goal good,3.040,3.000
2,,,,NYG 30,3,0,"Jay Feely kicks off 69 yards, returned by Allen Rossum for 27 yards (tackle by Jason Bell)",0.000,0.810
2,6:36,1,10,ATL 28,3,0,"Michael Vick sacked by Brandon Short for -7 yards. Michael Vick fumbles (forced by Brandon Short), recovered by Michael Vick at ATL-24",0.810,-0.140
2,5:59,2,13,ATL 25,3,0,Warrick Dunn middle for 7 yards (tackle by Jason Bell),-0.140,0.100
2,5:20,3,6,ATL 32,3,0,Michael Vick pass complete short right to Roddy White for 10 yards (tackle by Corey Webster),0.100,1.730
2,5:00,1,10,ATL 42,3,0,Michael Vick sacked by Brandon Short for -6 yards,1.730,0.380
2,4:36,2,16,ATL 36,3,0,Warrick Dunn middle for 8 yards (tackle by Brandon Short),0.380,0.760
2,3:56,3,8,ATL 44,3,0,Michael Vick pass complete short right to Roddy White for 10 yards,0.760,2.520
2,3:32,1,10,NYG 46,3,0,Warrick Dunn middle for no gain (tackle by Barry Cofield),2.520,1.980
2,2:56,2,10,NYG 46,3,0,Michael Vick pass complete short right to Alge Crumpler for 24 yards (tackle by Jason Bell),1.980,4.110
2,2:10,1,10,NYG 22,3,0,Jerious Norwood left end for no gain (tackle by LaVar Arrington),4.110,3.560
2,2:00,2,10,NYG 22,3,6,"Michael Vick middle for 22 yards, touchdown",3.560,7.000
2,,,,NYG 2,3,7,Morten Andersen kicks extra point good,0.000,0.000
2,,,,ATL 30,3,7,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
2,1:52,1,10,NYG 20,3,7,Eli Manning pass complete short left to Plaxico Burress for 9 yards (tackle by Jason Webster),0.280,0.950
2,1:31,2,1,NYG 29,3,7,Tiki Barber middle for 9 yards (tackle by Demorrio Williams and Lawyer Milloy),0.950,1.470
2,1:12,1,10,NYG 38,3,7,Eli Manning pass complete short right to Amani Toomer for 6 yards (tackle by Keith Brooking),1.470,1.730
2,0:51,2,4,NYG 44,3,7,Eli Manning pass complete short left to Tiki Barber for 8 yards (tackle by Demorrio Williams),1.730,2.390
2,0:44,,,,3,7,Timeout #2 by New York Giants,0.000,2.390
2,0:38,1,10,ATL 48,3,7,"Eli Manning sacked by John Abraham for -10 yards. Eli Manning fumbles (forced by John Abraham), recovered by Kareem McKenzie at NYG-40",2.390,0.230
2,0:35,,,,3,7,Timeout #3 by New York Giants,0.000,0.230
2,0:35,2,22,NYG 40,3,7,"Eli Manning pass complete short left to Tiki Barber for 25 yards (tackle by DeAngelo Hall). Penalty on Chris Snee: Offensive Holding, 10 yards (no play)",0.230,-1.120
2,0:24,2,32,NYG 30,3,7,Brandon Jacobs middle for 14 yards (tackle by Kevin Mathis),-1.120,0.100
Quarter,Time,Down,ToGo,Location,NYG,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,3,7,"Michael Koenen kicks off 68 yards, returned by Chad Morton for 20 yards (tackle by Fred McCrary)",0.000,0.410
3,14:54,1,10,NYG 22,3,7,Tiki Barber right tackle for 4 yards (tackle by Patrick Kerney),0.410,0.410
3,14:11,2,6,NYG 26,3,7,Eli Manning pass complete short left to Plaxico Burress for 16 yards (tackle by Jason Webster),0.410,1.730
3,13:31,1,10,NYG 42,3,7,Eli Manning pass complete short left to Plaxico Burress for 4 yards (tackle by Jason Webster),1.730,1.730
3,13:01,2,6,NYG 46,3,7,Tiki Barber middle for no gain (tackle by Grady Jackson),1.730,1.030
3,12:20,3,6,NYG 46,3,7,Eli Manning pass incomplete deep left intended for Plaxico Burress. Penalty on NYG: Illegal Shift (Declined),1.030,-0.320
3,12:16,4,6,NYG 46,3,7,"Jeff Feagles punts 44 yards, fair catch by Allen Rossum",-0.320,0.380
3,12:08,1,10,ATL 10,3,13,"Warrick Dunn middle for 90 yards, touchdown",-0.380,7.000
3,,,,NYG 2,3,14,Morten Andersen kicks extra point good,0.000,0.000
3,,,,ATL 30,3,14,"Michael Koenen kicks off 74 yards, returned by Chad Morton for 20 yards (tackle by Jordan Beck)",0.000,-0.140
3,11:47,1,10,NYG 16,3,14,"Penalty on Luke Petitgout: False Start, 5 yards (no play)",-0.140,-0.540
3,11:47,1,15,NYG 11,3,14,Eli Manning pass incomplete short middle intended for Tiki Barber,-0.540,-1.150
3,11:42,2,15,NYG 11,3,14,Tiki Barber left end for 29 yards (tackle by Demorrio Williams),-1.150,1.600
3,10:59,1,10,NYG 40,3,14,Eli Manning pass incomplete short right intended for Amani Toomer,1.600,1.050
3,10:54,2,10,NYG 40,3,14,Tiki Barber middle for 16 yards (tackle by Paul Carrington),1.050,2.650
3,10:07,1,10,ATL 44,3,14,Brandon Jacobs middle for -1 yards (tackle by Grady Jackson),2.650,1.980
3,9:21,2,11,ATL 45,3,14,Eli Manning pass incomplete short middle intended for Brandon Jacobs (defended by Keith Brooking),1.980,1.290
3,9:16,3,11,ATL 45,3,14,Eli Manning pass complete short left to Tim Carter for 15 yards,1.290,3.580
3,8:42,1,10,ATL 30,3,14,Tiki Barber right tackle for 3 yards (tackle by Lawyer Milloy and Demorrio Williams),3.580,3.440
3,8:01,2,7,ATL 27,3,14,"Eli Manning pass incomplete deep middle intended for Tim Carter. Penalty on Lawyer Milloy: Defensive Pass Interfere, 25 yards (no play)",3.440,6.740
3,7:54,1,2,ATL 2,9,14,"Brandon Jacobs right tackle for 2 yards, touchdown",6.740,7.000
3,,,,ATL 2,10,14,Jay Feely kicks extra point good,0.000,0.000
3,,,,NYG 30,10,14,"Jay Feely kicks off 70 yards, returned by Allen Rossum for 27 yards (tackle by Justin Tuck). Penalty on Kevin Dockery: Offside on Free Kick, 5 yards",0.000,1.070
3,7:43,1,10,ATL 32,10,14,Michael Vick pass complete short left to Michael Jenkins for 4 yards (tackle by Antonio Pierce),1.070,1.070
3,7:09,2,6,ATL 36,10,14,Warrick Dunn middle for 1 yard (tackle by Barry Cofield),1.070,0.500
3,6:32,3,5,ATL 37,10,14,Michael Vick pass incomplete short middle intended for Alge Crumpler,0.500,-0.910
3,6:27,4,5,ATL 37,10,14,"Michael Koenen punts 54 yards, fair catch by Chad Morton",-0.910,0.380
3,6:19,1,10,NYG 9,10,14,Eli Manning pass complete short right to Tiki Barber for 16 yards (tackle by Jonathan Babineaux),-0.380,0.610
3,5:39,1,10,NYG 25,10,14,Tiki Barber right tackle for 9 yards (tackle by Lawyer Milloy),0.610,1.280
3,5:00,2,1,NYG 34,10,14,Brandon Jacobs right end for 5 yards (tackle by Demorrio Williams),1.280,1.530
3,4:22,1,10,NYG 39,10,14,Eli Manning pass complete deep left to Jeremy Shockey for 19 yards (tackle by Michael Boley),1.530,2.790
3,3:35,1,10,ATL 42,10,14,Brandon Jacobs right tackle for 8 yards (tackle by DeAngelo Hall),2.790,3.320
3,2:48,2,2,ATL 34,10,14,"Eli Manning for no gain. Eli Manning fumbles, recovered by Eli Manning at ATL-37. Penalty on Jim Finn: Illegal Shift (Offsetting), Penalty on Darrell Shropshire: Defensive Offside (Offsetting) (no play)",3.320,3.320
3,2:29,2,2,ATL 34,10,14,Brandon Jacobs middle for 3 yards (tackle by Lawyer Milloy and Michael Boley),3.320,3.510
3,1:40,,,,10,14,Timeout #1 by Atlanta Falcons,0.000,3.510
3,1:40,1,10,ATL 31,10,14,Eli Manning pass incomplete deep right intended for Amani Toomer,3.510,2.970
3,1:35,2,10,ATL 31,10,14,Eli Manning pass incomplete short right intended for Tiki Barber (defended by Patrick Kerney),2.970,2.280
3,1:27,,,,10,14,Timeout #1 by New York Giants,0.000,2.280
3,1:27,3,10,ATL 31,10,14,Eli Manning pass complete short middle to Jeremy Shockey for 16 yards (tackle by Chris Crocker and Demorrio Williams),2.280,4.580
3,0:50,1,10,ATL 15,10,14,Tiki Barber for 13 yards (tackle by Jason Webster),4.580,6.740
,,,,,,,"ATL challenged the ruling, and the original play was overturned.",,
3,0:30,1,2,ATL 2,16,14,"Eli Manning pass complete short left to Jeremy Shockey for 2 yards, touchdown",6.740,7.000
3,,,,ATL 2,17,14,Jay Feely kicks extra point good,0.000,0.000
3,,,,NYG 30,17,14,"Jay Feely kicks off 70 yards, returned by Allen Rossum for 21 yards (tackle by Chase Blackburn)",0.000,0.340
3,0:19,1,10,ATL 21,17,14,Michael Vick pass complete short right to Alge Crumpler for 9 yards (tackle by Jason Bell),0.340,1.020
Quarter,Time,Down,ToGo,Location,NYG,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,ATL 30,17,14,"Penalty on Todd Weiner: False Start, 5 yards (no play)",1.020,0.340
4,15:00,2,6,ATL 25,17,14,Warrick Dunn middle for 4 yards (tackle by Brandon Short),0.340,0.170
4,14:25,3,2,ATL 29,17,14,Michael Vick sacked by Fred Robbins and Barry Cofield for -8 yards,0.170,-1.960
4,14:05,4,10,ATL 21,17,14,Michael Koenen punts 30 yards,-1.960,-2.190
4,13:57,1,10,NYG 49,17,14,Tiki Barber right end for 12 yards (tackle by Patrick Kerney and Lawyer Milloy),2.190,2.980
4,13:17,1,10,ATL 39,17,14,Eli Manning pass complete short left to Amani Toomer for 12 yards (tackle by Jason Webster),2.980,3.780
4,12:39,1,10,ATL 27,17,14,Tiki Barber right tackle for 5 yards (tackle by DeAngelo Hall),3.780,3.910
4,11:55,2,5,ATL 22,17,14,Tiki Barber left tackle for 1 yard (tackle by Lawyer Milloy),3.910,3.340
4,11:14,3,4,ATL 21,17,14,Eli Manning pass incomplete short left intended for Plaxico Burress (defended by Jason Webster),3.340,2.130
4,11:09,4,4,ATL 21,20,14,Jay Feely 39 yard field goal good,2.130,3.000
4,,,,NYG 30,20,14,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
4,11:04,1,10,ATL 20,20,14,Michael Vick left end for 1 yard (tackle by R.W. McQuarters),0.280,-0.130
4,10:29,2,9,ATL 21,20,14,"Michael Vick sacked by Osi Umenyiora for -6 yards. Michael Vick fumbles (forced by Osi Umenyiora), recovered by Warrick Dunn at ATL-17",-0.130,-1.510
4,9:14,3,13,ATL 17,20,14,Michael Vick for 6 yards (tackle by Antonio Pierce),-1.510,-1.830
4,9:04,4,7,ATL 23,20,14,Michael Koenen punts 32 yards,-1.830,-1.930
4,8:58,1,10,NYG 45,20,14,Tiki Barber left tackle for no gain (tackle by Lawyer Milloy),1.930,1.380
4,8:22,2,10,NYG 45,20,14,Eli Manning pass complete short right to Jim Finn for 6 yards (tackle by Michael Boley),1.380,1.490
4,7:41,3,4,ATL 49,20,14,Eli Manning pass complete short middle to Jeremy Shockey for 10 yards (tackle by Chris Crocker). Penalty on Keith Brooking: Illegal Contact (Declined),1.490,2.980
4,7:21,1,10,ATL 39,20,14,Tiki Barber left end for 17 yards (tackle by Jason Webster),2.980,4.110
4,6:33,1,10,ATL 22,20,14,Tiki Barber left tackle for 2 yards (tackle by Demorrio Williams),4.110,3.830
4,5:46,,,,20,14,Timeout #2 by New York Giants,0.000,3.830
4,5:46,2,8,ATL 20,20,14,Brandon Jacobs left end for 12 yards (tackle by Demorrio Williams and Jason Webster),3.830,5.370
4,5:15,1,8,ATL 8,20,14,Tiki Barber left tackle for no gain (tackle by Keith Brooking),5.370,4.570
4,4:33,2,8,ATL 8,20,14,Tiki Barber middle for 4 yards (tackle by Demorrio Williams),4.570,4.490
4,3:50,3,4,ATL 4,26,14,"Eli Manning pass complete short middle to Jeremy Shockey for 4 yards, touchdown",4.490,7.000
4,,,,ATL 2,27,14,Jay Feely kicks extra point good,0.000,0.000
4,,,,NYG 30,27,14,"Jay Feely kicks off 74 yards, returned by Allen Rossum for 22 yards (tackle by Chase Blackburn)",0.000,0.040
4,3:40,1,10,ATL 18,27,14,Michael Vick pass complete short right to Alge Crumpler for 21 yards (tackle by James Butler),0.040,1.530
4,3:11,1,10,ATL 39,27,14,Michael Vick pass incomplete deep right intended for Roddy White,1.530,0.990
4,3:00,2,10,ATL 39,27,14,Michael Vick pass incomplete short right intended for Roddy White,0.990,0.300
4,2:55,3,10,ATL 39,27,14,Michael Vick pass complete short right to Ashley Lelie for 14 yards,0.300,2.460
4,2:50,1,10,NYG 47,27,14,Michael Vick pass complete short left to Alge Crumpler for 3 yards (tackle by Sam Madison),2.460,2.320
4,2:31,2,7,NYG 44,27,14,Michael Vick pass incomplete deep right intended for Michael Jenkins,2.320,1.620
4,2:26,3,7,NYG 44,27,14,Michael Vick pass incomplete deep left intended for Ashley Lelie,1.620,0.330
4,2:20,4,7,NYG 44,27,14,Michael Vick sacked by Barry Cofield for -10 yards,0.330,-2.520
4,2:14,1,10,ATL 46,27,14,Brandon Jacobs left end for 6 yards (tackle by Jason Webster),2.520,2.790
4,2:06,,,,27,14,Timeout #2 by Atlanta Falcons,0.000,2.790
4,2:06,2,4,ATL 40,27,14,Brandon Jacobs middle for 2 yards (tackle by Chauncey Davis),2.790,2.350
4,1:59,3,2,ATL 38,27,14,Brandon Jacobs right tackle for no gain (tackle by Grady Jackson and Keith Brooking),2.350,0.720
4,1:53,,,,27,14,Timeout #3 by New York Giants,0.000,0.720
4,1:53,4,2,ATL 38,27,14,Jeff Feagles punts 32 yards,0.720,0.380
4,1:44,1,10,ATL 6,27,14,Michael Vick pass complete short right to Michael Jenkins for 9 yards (tackle by Frank Walker),-0.380,-0.070
4,1:20,2,1,ATL 15,27,14,Michael Vick pass complete short middle to Justin Griffith for 8 yards (tackle by R.W. McQuarters and Corey Webster),-0.070,0.480
4,1:13,,,,27,14,Timeout #3 by Atlanta Falcons,0.000,0.480
4,1:12,1,10,ATL 23,27,14,Michael Vick pass incomplete short left intended for Justin Griffith,0.480,-0.070
4,1:07,2,10,ATL 23,27,14,Michael Vick pass incomplete deep right intended for Adam Jennings,-0.070,-0.760
4,1:02,3,10,ATL 23,27,14,"Michael Vick for 17 yards (tackle by Antonio Pierce). Penalty on Antonio Pierce: Personal Foul, 15 yards",-0.760,2.590
4,0:54,1,10,NYG 45,27,14,Michael Vick pass complete short middle to Justin Griffith for 14 yards (tackle by James Butler),2.590,3.510
4,0:26,1,10,NYG 31,27,14,Michael Vick pass incomplete deep right intended for Roddy White (defended by Corey Webster),3.510,2.970
4,0:21,2,10,NYG 31,27,14,Michael Vick pass complete short middle to Alge Crumpler for 9 yards (tackle by Chase Blackburn),2.970,3.470
4,0:01,3,1,NYG 22,27,14,Michael Vick pass incomplete intended for Ashley Lelie (defended by Sam Madison),3.470,2.140
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
