Quarter,Time,Down,ToGo,Location,TEN,CIN,Detail,EPB,EPA
2,10:47,1,11,CIN 2,0,14,Corey Dillon left tackle for 2 yards (tackle by Tank Williams),-0.420,-0.710
2,10:16,2,9,CIN 4,0,14,Jon Kitna pass complete to Chad Johnson for 10 yards (tackle by Frank Chamberlin),-0.710,-0.280
2,9:33,1,10,CIN 14,0,14,Corey Dillon right end for -5 yards (tackle by Andre Dyson),-0.280,-1.150
2,8:51,2,15,CIN 9,0,14,Jon Kitna middle for 3 yards (tackle by Henry Ford and Robaire Smith),-1.150,-1.650
2,8:07,3,12,CIN 12,0,14,Jon Kitna pass incomplete intended for Chad Johnson (defended by Henry Ford),-1.650,-2.490
2,7:58,4,12,CIN 12,0,14,"Nick Harris punts 53 yards, returned by Justin McCareins for 16 yards (tackle by Brad St. Louis). Penalty on Brad St. Louis: Offensive Holding (Declined)",-2.490,-2.320
2,7:45,1,10,CIN 49,0,14,"Steve McNair pass complete to Mike Green for 11 yards (tackle by Canute Curtis). Penalty on Canute Curtis: Face Mask (15 Yards), 15 yards",2.320,4.040
2,7:17,1,10,CIN 23,0,14,Eddie George left end for 2 yards (tackle by Justin Smith and Brian Simmons),4.040,3.770
2,6:32,2,8,CIN 21,0,14,Steve McNair pass complete to Eddie George for 6 yards (tackle by Jeff Burris),3.770,4.050
2,5:50,3,2,CIN 15,0,14,Steve McNair pass incomplete intended for Frank Wycheck,4.050,2.570
2,5:44,4,2,CIN 15,3,14,Joe Nedney 33 yard field goal good,2.570,3.000
2,5:44,,,TEN 30,3,14,"Joe Nedney kicks off 60 yards, returned by Brandon Bennett for 27 yards (tackle by Dainon Sidney)",0.000,1.400
2,5:31,1,10,CIN 37,3,14,Jon Kitna pass incomplete intended for Lorenzo Neal (defended by Frank Chamberlin),1.400,0.860
2,5:24,2,10,CIN 37,3,14,"Corey Dillon right tackle for 2 yards (tackle by John Thornton). Penalty on Mike Goff: Offensive Holding, 10 yards (no play)",0.860,-0.490
2,5:15,2,20,CIN 27,3,14,Jon Kitna pass incomplete intended for Matt Schobel,-0.490,-1.150
2,5:10,3,20,CIN 27,3,14,Jon Kitna pass incomplete intended for Corey Dillon,-1.150,-1.570
2,5:04,4,20,CIN 27,3,14,"Nick Harris punts 38 yards, fair catch by Justin McCareins",-1.570,-1.270
2,4:56,1,10,TEN 35,3,14,Steve McNair for 21 yards (tackle by Marquand Manuel),1.270,2.650
2,4:13,1,10,CIN 44,3,14,Steve McNair pass complete to Frank Wycheck for 8 yards (tackle by Canute Curtis),2.650,3.190
2,3:33,2,2,CIN 36,3,14,Eddie George middle for 6 yards (tackle by Cory Hall),3.190,3.580
2,2:58,1,10,CIN 30,3,14,Eddie George right guard for 6 yards (tackle by Cory Hall),3.580,3.840
2,2:20,2,4,CIN 24,3,14,Steve McNair pass incomplete intended for Kevin Dyson,3.840,3.140
2,2:13,3,4,CIN 24,3,14,"Steve McNair sacked by Artrell Hawkins for -7 yards. Penalty on Artrell Hawkins: Face Mask (15 Yards), 15 yards",3.140,4.510
2,2:00,1,10,CIN 16,3,14,Eddie George middle for 8 yards (tackle by Cory Hall),4.510,5.350
2,1:27,2,2,CIN 8,3,14,Eddie George middle for -1 yards (tackle by Canute Curtis),5.350,4.390
2,1:12,2,2,CIN 8,,,Timeout #2 by Tennessee Titans,5.350,4.390
2,1:12,3,3,CIN 9,3,14,Steve McNair pass incomplete intended for Kevin Dyson,4.390,2.930
2,1:08,4,3,CIN 9,6,14,Joe Nedney 28 yard field goal good,2.930,3.000
2,1:08,,,TEN 30,6,14,"Joe Nedney kicks off 65 yards, returned by Brandon Bennett for 16 yards (tackle by Rocky Boiman)",0.000,0.340
2,0:58,1,10,CIN 21,6,14,Corey Dillon right end for 7 yards (tackle by Lance Schulters),0.340,0.750
2,0:53,2,3,CIN 28,6,14,Corey Dillon right guard for 1 yard (tackle by Carlos Hall),0.750,0.170
2,0:13,3,2,CIN 29,6,14,Corey Dillon left guard for 3 yards (tackle by Keith Bulluck),0.170,1.070
Quarter,Time,Down,ToGo,Location,TEN,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 30,6,14,"Neil Rackers kicks off 65 yards, returned by Justin McCareins for 29 yards (tackle by Riall Johnson)",0.000,1.200
3,14:54,1,10,TEN 34,6,14,Eddie George middle for no gain (tackle by Canute Curtis),1.200,0.660
3,14:12,2,10,TEN 34,6,14,"Steve McNair pass complete to Kevin Dyson for 13 yards (tackle by Artrell Hawkins). Penalty on CIN: Personal Foul, 15 yards",0.660,3.050
3,14:05,1,10,CIN 38,6,14,Eddie George right end for 6 yards (tackle by Canute Curtis),3.050,3.320
3,13:27,2,4,CIN 32,12,14,"Steve McNair pass complete to Derrick Mason for 32 yards, touchdown",3.320,7.000
3,13:27,,,CIN 32,13,14,Joe Nedney kicks extra point good,0.000,0.000
3,13:27,,,TEN 30,13,14,"Joe Nedney kicks off 66 yards, returned by Brandon Bennett for 25 yards (tackle by Rocky Boiman)",0.000,0.870
3,13:13,1,10,CIN 29,13,14,Corey Dillon left guard for 2 yards (tackle by Henry Ford),0.870,0.600
3,12:37,2,8,CIN 31,13,14,Jon Kitna pass incomplete intended for Danny Farmer (defended by Andre Dyson),0.600,-0.100
3,12:32,3,8,CIN 31,13,14,"Penalty on Chad Johnson: False Start, 5 yards (no play)",-0.100,-0.760
3,12:32,3,13,CIN 26,13,14,Jon Kitna pass complete to Brandon Bennett for 7 yards (tackle by Frank Chamberlin),-0.760,-1.180
3,12:06,4,6,CIN 33,13,14,"Nick Harris punts 43 yards, returned by Justin McCareins for 8 yards (tackle by Brandon Bennett). Penalty on Brad St. Louis: Defensive Holding, 10 yards (no play)",-1.180,-1.830
3,11:54,4,16,CIN 23,13,14,"Nick Harris punts 42 yards, returned by Justin McCareins for 26 yards (tackle by Brandon Bennett). Penalty on Tony Beckham: Offensive Holding, 10 yards",-1.830,-0.610
3,11:42,1,10,TEN 25,13,14,Eddie George middle for 18 yards (tackle by Cory Hall),0.610,1.800
3,10:59,1,10,TEN 43,13,14,Steve McNair pass incomplete intended for Derrick Mason,1.800,1.250
3,10:55,2,10,TEN 43,13,14,"Eddie George right guard for 5 yards (tackle by Justin Smith). Penalty on Justin Smith: Defensive Offside, 5 yards (no play)",1.250,1.930
3,10:26,2,5,TEN 48,13,14,Eddie George middle for 2 yards (tackle by Cory Hall),1.930,1.490
3,9:42,3,3,,13,14,Steve McNair pass complete to Derrick Mason for 11 yards (tackle by Artrell Hawkins),1.490,2.980
3,8:57,1,10,CIN 39,19,14,"Steve McNair pass complete to Kevin Dyson for 39 yards, touchdown",2.980,7.000
3,8:57,,,CIN 39,20,14,Joe Nedney kicks extra point good,0.000,0.000
3,8:57,,,TEN 30,20,14,"Joe Nedney kicks off 69 yards, returned by Rudi Johnson for 21 yards (tackle by Darrell Hill)",0.000,0.410
3,8:43,1,10,CIN 22,20,14,Jon Kitna middle for 8 yards (tackle by Kevin Carter),0.410,0.950
3,8:08,2,2,CIN 30,20,14,Corey Dillon for 6 yards (tackle by Keith Bulluck),0.950,1.330
3,7:45,1,10,CIN 36,20,14,Corey Dillon middle for 31 yards (tackle by Lance Schulters),1.330,3.380
3,7:20,1,10,TEN 33,20,14,Lorenzo Neal middle for no gain (tackle by Peter Sirmon),3.380,2.840
3,6:41,2,10,TEN 33,20,14,Jon Kitna pass complete to Lorenzo Neal for 5 yards (tackle by Peter Sirmon),2.840,2.810
3,5:58,3,5,TEN 28,20,14,Peter Warrick right end for 1 yard (tackle by Keith Bulluck and Donald Mitchell),2.810,1.750
3,5:12,4,4,TEN 27,20,17,Neil Rackers 44 yard field goal good,1.750,3.000
3,5:12,,,CIN 30,20,17,"Neil Rackers kicks off 61 yards, returned by Justin McCareins for 29 yards (tackle by JoJuan Armour)",0.000,1.470
3,5:03,1,10,TEN 38,20,17,Eddie George left guard for 5 yards (tackle by Artrell Hawkins),1.470,1.600
3,4:19,2,5,TEN 43,20,17,Eddie George right end for no gain (tackle by Brian Simmons),1.600,0.890
3,3:37,3,5,TEN 43,20,17,Steve McNair pass incomplete intended for Derrick Mason,0.890,-0.520
3,3:32,4,5,TEN 43,20,17,"Craig Hentrich punts 48 yards, fair catch by Danny Farmer",-0.520,0.380
3,3:23,1,10,CIN 9,20,17,Corey Dillon middle for 4 yards (tackle by Frank Chamberlin),-0.380,-0.480
3,2:45,2,6,CIN 13,20,17,Jon Kitna pass complete to Lorenzo Neal for 12 yards (tackle by Robaire Smith),-0.480,0.610
3,2:09,1,10,CIN 25,20,17,Corey Dillon for 3 yards (tackle by Lance Schulters),0.610,0.470
3,1:45,2,7,CIN 28,20,17,Jon Kitna pass complete to Ron Dugans for 19 yards (tackle by Lance Schulters),0.470,2.060
3,1:01,1,10,CIN 47,20,17,Brandon Bennett left end for 1 yard (tackle by Samari Rolle),2.060,1.650
3,0:25,2,9,CIN 48,20,17,Brandon Bennett left guard for 27 yards (tackle by Andre Dyson),1.650,3.910
Quarter,Time,Down,ToGo,Location,TEN,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TEN 25,20,17,Jon Kitna pass complete to Chad Johnson for 15 yards (tackle by Lance Schulters),3.910,4.910
4,14:18,1,10,TEN 10,20,17,Corey Dillon middle for 2 yards (tackle by Robaire Smith),4.910,4.570
4,13:38,2,8,TEN 8,20,23,"Jon Kitna pass complete to Matt Schobel for 8 yards, touchdown",4.570,7.000
4,13:38,,,TEN 8,20,24,Neil Rackers kicks extra point good,0.000,0.000
4,13:38,,,CIN 30,20,24,"Neil Rackers kicks off 53 yards, returned by Erron Kinney for 25 yards (tackle by Neil Rackers)",0.000,1.730
4,13:25,1,10,TEN 42,20,24,Steve McNair pass complete to Derrick Mason for 12 yards (tackle by Artrell Hawkins),1.730,2.520
4,12:46,1,10,CIN 46,20,24,Eddie George left tackle for 3 yards (tackle by Oliver Gibson),2.520,2.380
4,12:05,2,7,CIN 43,20,24,Steve McNair pass incomplete intended for Kevin Dyson (defended by Marquand Manuel),2.380,1.680
4,11:54,3,7,CIN 43,20,24,Steve McNair pass complete to Drew Bennett for 12 yards (tackle by Ligarius Jennings),1.680,3.510
4,11:36,1,10,CIN 31,20,24,Steve McNair pass complete to Kevin Dyson for 12 yards (tackle by Artrell Hawkins),3.510,4.310
4,10:57,1,10,CIN 19,20,24,Eddie George left tackle for 3 yards (tackle by Oliver Gibson and Marquand Manuel),4.310,4.180
4,10:13,2,7,CIN 16,26,24,"Steve McNair pass complete to Derrick Mason for 16 yards, touchdown",4.180,7.000
4,10:13,,,CIN 16,27,24,Joe Nedney kicks extra point good,0.000,0.000
4,10:13,,,TEN 30,27,24,"Joe Nedney kicks off 64 yards, returned by Brandon Bennett for 22 yards (tackle by Darrell Hill). Brandon Bennett fumbles, recovered by Donald Mitchell at CIN-31",0.000,-3.510
4,9:57,1,10,CIN 31,27,24,Eddie George left end for no gain (tackle by Artrell Hawkins),3.510,2.970
4,9:35,2,10,CIN 31,27,24,"Penalty on Steve McNair: False Start, 5 yards (no play)",2.970,2.290
4,9:17,2,15,CIN 36,27,24,"Steve McNair for 2 yards. Penalty on Steve McNair: Illegal Forward Pass, 5 yards",2.290,1.220
4,8:48,3,18,CIN 39,27,24,Steve McNair pass complete to Derrick Mason for 11 yards (tackle by Artrell Hawkins),1.220,1.590
4,8:08,4,7,CIN 28,30,24,Joe Nedney 46 yard field goal good,1.590,3.000
4,8:08,,,TEN 30,30,24,"Joe Nedney kicks off 65 yards, returned by Brandon Bennett for 27 yards (tackle by Drew Bennett)",0.000,1.070
4,7:56,1,10,CIN 32,30,24,Jon Kitna pass complete to Chad Johnson for 7 yards (tackle by Samari Rolle),1.070,1.470
4,7:26,2,3,CIN 39,30,24,Corey Dillon left end for -1 yards (tackle by Samari Rolle),1.470,0.630
4,6:49,3,4,CIN 38,30,24,Jon Kitna middle for 7 yards,0.630,1.930
4,6:10,1,10,CIN 45,30,24,Jon Kitna pass complete to Peter Warrick for 9 yards (tackle by Lance Schulters),1.930,2.600
4,5:34,2,1,TEN 46,30,24,Corey Dillon right end for 4 yards (tackle by Lance Schulters),2.600,2.790
4,5:11,1,10,TEN 42,30,24,Corey Dillon right guard for 1 yard (tackle by Peter Sirmon),2.790,2.380
4,4:34,2,9,TEN 41,30,24,Jon Kitna pass complete to Peter Warrick for 21 yards,2.380,4.240
4,4:27,1,10,TEN 20,30,24,Corey Dillon middle for no gain (tackle by Robaire Smith),4.240,3.690
4,3:48,2,10,TEN 20,30,24,Jon Kitna pass complete to Danny Farmer for 6 yards (tackle by Donald Mitchell),3.690,3.890
4,3:08,3,4,TEN 14,30,24,Corey Dillon middle for 5 yards (tackle by Keith Bulluck),3.890,5.140
4,2:32,1,9,TEN 9,30,24,Corey Dillon right end for -1 yards (tackle by Kevin Carter and Keith Bulluck),5.140,4.190
4,2:00,2,10,TEN 10,30,24,Corey Dillon middle for 6 yards (tackle by Tank Williams),4.190,4.490
4,1:26,3,4,TEN 4,30,24,Jon Kitna right end for 3 yards (tackle by Lance Schulters and Donald Mitchell),4.490,3.550
4,1:13,3,4,TEN 4,,,Timeout #1 by Cincinnati Bengals,4.490,3.550
4,1:13,4,1,TEN 1,30,24,Corey Dillon right tackle for no gain (tackle by Robaire Smith and Keith Bulluck),3.550,0.380
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,1:08,1,10,TEN 1,30,24,Steve McNair middle for 2 yards,-0.380,-0.630
4,1:03,1,10,TEN 1,,,Timeout #2 by Cincinnati Bengals,-0.380,-0.630
4,1:03,2,8,TEN 3,30,24,Steve McNair left tackle for 5 yards (tackle by Lamont Thompson),-0.630,-0.600
4,0:55,2,8,TEN 3,,,Timeout #3 by Cincinnati Bengals,-0.630,-0.600
4,0:55,3,3,TEN 8,30,24,"Penalty on Oliver Gibson: Encroachment, 5 yards (no play)",-0.600,-0.320
4,0:55,1,10,TEN 13,30,24,Steve McNair kneels for -1 yards,-0.320,-0.850
4,0:27,2,11,TEN 12,30,24,Steve McNair kneels for -1 yards,-0.850,-1.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
