Quarter,Time,Down,ToGo,Location,STL,NWE,Detail,EPB,EPA
1,4:45,1,10,STL 25,3,0,Kevin Faulk right guard for 1 yard (tackle by James Hall and Corey Chavous),3.910,3.500
1,4:04,2,9,STL 24,3,0,Matt Cassel pass complete short middle to Randy Moss for 10 yards (tackle by Ronald Bartell),3.500,4.650
1,3:27,1,10,STL 14,3,0,Kevin Faulk right guard for 9 yards (tackle by Will Witherspoon and O.J. Atogwe),4.650,5.670
1,2:55,2,1,STL 5,3,0,Kevin Faulk up the middle for no gain (tackle by Victor Adeyanju and Corey Chavous),5.670,4.960
1,2:24,3,1,STL 5,3,0,BenJarvus Green-Ellis left guard for 3 yards (tackle by O.J. Atogwe),4.960,6.740
1,1:50,1,2,STL 2,3,6,"BenJarvus Green-Ellis right guard for 2 yards, touchdown",6.740,7.000
1,,,,STL 2,3,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 30,3,7,"Stephen Gostkowski kicks off 73 yards, returned by Dante Hall for 15 yards (tackle by Jonathan Wilhite)",0.000,-0.350
1,1:38,1,10,STL 12,3,7,Marc Bulger pass complete short right to Donnie Avery for no gain,-0.350,-0.780
1,0:58,2,10,STL 12,3,7,Antonio Pittman right guard for 1 yard (tackle by Tedy Bruschi and Mike Vrabel),-0.780,-1.300
1,0:15,3,9,STL 13,3,7,Marc Bulger pass complete short right to Keenan Burton for 14 yards (tackle by Jonathan Wilhite),-1.300,0.740
Quarter,Time,Down,ToGo,Location,STL,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 27,3,7,Antonio Pittman left guard for 4 yards (tackle by Brandon Meriweather),0.740,0.740
2,14:24,2,6,STL 31,9,7,"Marc Bulger pass complete deep left to Donnie Avery for 69 yards, touchdown",0.740,7.000
2,,,,NWE 2,10,7,Josh Brown kicks extra point good,0.000,0.000
2,,,,STL 30,10,7,"Josh Brown kicks off 70 yards, returned by Wes Welker for 26 yards (tackle by Eric Moore)",0.000,0.670
2,14:08,1,10,NWE 26,10,7,Matt Cassel pass complete short right to Ben Watson for 13 yards (tackle by Corey Chavous),0.670,1.530
2,13:35,1,10,NWE 39,10,7,BenJarvus Green-Ellis right guard for 1 yard (tackle by Pisa Tinoisamoa and La'Roi Glover),1.530,1.120
2,12:57,2,9,NWE 40,10,7,Matt Cassel pass complete short left to Wes Welker for -1 yards (tackle by Fakhir Brown),1.120,0.300
2,12:16,3,10,NWE 39,10,7,Matt Cassel left tackle for 5 yards (tackle by James Hall and Quinton Culberson),0.300,-0.460
2,11:36,4,5,NWE 44,10,7,"Chris Hanson punts 56 yards, touchback",-0.460,-0.280
2,11:28,1,10,STL 20,10,7,Marc Bulger pass incomplete short left intended for Keenan Burton (defended by Vince Wilfork),0.280,-0.270
2,11:23,2,10,STL 20,10,7,Marc Bulger pass incomplete,-0.270,-0.960
2,11:16,3,10,STL 20,10,7,Marc Bulger pass complete deep middle to Keenan Burton for 27 yards (tackle by Brandon Meriweather),-0.960,2.060
2,10:36,,,,10,7,Timeout #2 by St. Louis Rams,0.000,2.060
2,10:36,1,10,STL 47,10,7,Antonio Pittman up the middle for 12 yards (tackle by James Sanders and Jonathan Wilhite),2.060,2.850
2,10:03,1,10,NWE 41,10,7,Marc Bulger pass incomplete short left intended for Torry Holt,2.850,2.310
2,9:59,2,10,NWE 41,10,7,Antonio Pittman right guard for 18 yards (tackle by Terrence Wheatley and James Sanders),2.310,4.040
2,9:19,1,10,NWE 23,10,7,"Kenneth Darby left end for 3 yards (tackle by Pierre Woods and LeKevin Smith). Penalty on Jacob Bell: Offensive Holding, 10 yards (no play)",4.040,3.380
2,8:58,1,20,NWE 33,10,7,Marc Bulger sacked by Adalius Thomas for -13 yards,3.380,0.390
2,8:23,2,33,NWE 46,10,7,Marc Bulger pass complete short right to Antonio Pittman for 8 yards (tackle by Mike Richardson),0.390,0.830
2,7:36,3,25,NWE 38,10,7,Marc Bulger sacked by Richard Seymour for -2 yards,0.830,0.590
2,7:12,4,27,NWE 40,10,7,"Donnie Jones punts 40 yards, touchback",0.590,-0.280
2,7:04,1,10,NWE 20,10,7,Matt Cassel pass incomplete deep right intended for Jabar Gaffney,0.280,-0.270
2,6:59,2,10,NWE 20,10,7,Kevin Faulk right guard for 5 yards (tackle by Eric Moore),-0.270,-0.300
2,6:59,3,5,NWE 25,10,7,Matt Cassel pass complete short left to Wes Welker for 9 yards (tackle by Jason Craft),-0.300,1.200
2,5:31,1,10,NWE 34,10,7,Kevin Faulk right guard for no gain (tackle by Chris Draft),1.200,0.660
2,4:52,2,10,NWE 34,10,7,Matt Cassel pass complete short left to Kevin Faulk for 7 yards (tackle by Jason Craft),0.660,0.890
2,4:11,3,3,NWE 41,10,7,Matt Cassel left guard for 11 yards (tackle by Fakhir Brown),0.890,2.390
2,3:35,1,10,STL 48,10,7,Matt Cassel pass complete short left to Randy Moss for 16 yards (tackle by Pisa Tinoisamoa),2.390,3.450
2,2:55,1,10,STL 32,10,7,Matt Cassel pass complete short left to Kevin Faulk for 18 yards (tackle by O.J. Atogwe),3.450,4.650
2,2:15,1,10,STL 14,10,7,Kevin Faulk up the middle for 2 yards (tackle by Victor Adeyanju and La'Roi Glover),4.650,4.330
2,2:00,2,8,STL 12,10,7,Matt Cassel pass incomplete short left intended for Randy Moss (defended by Fakhir Brown),4.330,3.430
2,1:56,3,8,STL 12,10,7,Matt Cassel pass incomplete short left intended for Kevin Faulk,3.430,2.630
2,1:53,4,8,STL 12,10,10,Stephen Gostkowski 30 yard field goal good,2.630,3.000
2,,,,NWE 30,10,10,"Stephen Gostkowski kicks off 62 yards, returned by Dante Hall for 5 yards (tackle by Kelley Washington)",0.000,-0.320
2,1:45,1,10,STL 13,10,10,Dan Kreider left guard for no gain (tackle by Richard Seymour),-0.320,-0.770
2,1:18,2,10,STL 13,10,10,Marc Bulger pass complete short right to Donnie Avery for 6 yards (tackle by Mike Richardson),-0.770,-0.710
2,0:49,3,4,STL 19,10,10,Marc Bulger sacked by Adalius Thomas for -13 yards,-0.710,-2.490
2,0:42,,,,10,10,Timeout #1 by New England Patriots,0.000,-2.490
2,0:42,4,17,STL 6,10,10,"Donnie Jones punts 61 yards, returned by Wes Welker for 12 yards (tackle by Quinton Culberson). Penalty on O.J. Atogwe: Ineligible Downfield Kick, 3 yards (no play)",-2.490,-2.490
2,0:29,4,20,STL 3,10,10,"Donnie Jones punts 52 yards, returned by Wes Welker for 9 yards (tackle by Quinton Culberson)",-2.490,-2.520
2,0:19,1,10,STL 46,10,10,Matt Cassel pass complete short left to Randy Moss for 30 yards. Penalty on Pisa Tinoisamoa: Defensive Holding (Declined),2.520,4.510
2,0:10,,,,10,10,Timeout #2 by New England Patriots,0.000,4.510
2,0:10,1,10,STL 16,10,10,Matt Cassel pass complete short right to Kevin Faulk for 7 yards,4.510,5.160
2,0:06,2,3,STL 9,10,10,Matt Cassel pass incomplete short left intended for Randy Moss (defended by Jason Craft),5.160,4.390
2,0:01,3,3,STL 9,10,13,Stephen Gostkowski 27 yard field goal good,4.390,3.000
Quarter,Time,Down,ToGo,Location,STL,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,10,13,"Josh Brown kicks onside 11 yards, recovered by Travis Minor (onside kick successful)",0.000,1.660
3,15:00,1,10,STL 41,10,13,Antonio Pittman left guard for 6 yards (tackle by Tedy Bruschi),1.660,1.930
3,14:26,2,4,STL 47,10,13,Keenan Burton left end for no gain (tackle by Richard Seymour and Tedy Bruschi),1.930,1.220
3,13:42,3,4,STL 47,10,13,Marc Bulger pass incomplete deep right intended for Daniel Fells,1.220,-0.260
3,13:37,4,4,STL 47,10,13,"Donnie Jones punts 43 yards, fair catch by Wes Welker",-0.260,0.380
3,13:30,1,10,NWE 10,10,13,Matt Cassel pass incomplete short right intended for Wes Welker,-0.380,-0.780
3,13:26,2,10,NWE 10,10,13,Kevin Faulk left end for 1 yard (tackle by La'Roi Glover),-0.780,-1.300
3,12:45,3,9,NWE 11,10,13,Matt Cassel pass complete short right to Wes Welker for 19 yards (tackle by Jason Craft),-1.300,0.940
3,12:14,1,10,NWE 30,10,13,Kevin Faulk left guard for 4 yards (tackle by Pisa Tinoisamoa and Will Witherspoon),0.940,0.930
3,11:37,2,6,NWE 34,10,13,Matt Cassel pass incomplete deep left intended for Randy Moss is intercepted by O.J. Atogwe at STL-44 and returned for 13 yards (tackle by Kevin Faulk),0.930,-2.720
3,11:26,1,10,NWE 43,10,13,Antonio Pittman right end for 2 yards (tackle by Adalius Thomas and Brandon Meriweather),2.720,2.450
3,10:47,2,8,NWE 41,10,13,Marc Bulger pass complete short right to Torry Holt for 8 yards (tackle by Ellis Hobbs),2.450,3.380
3,9:58,1,10,NWE 33,10,13,Antonio Pittman left guard for 3 yards (tackle by Richard Seymour and Tedy Bruschi),3.380,3.240
3,9:14,2,7,NWE 30,10,13,"Marc Bulger pass incomplete deep right intended for Daniel Fells. Penalty on Alex Barron: Offensive Holding, 10 yards (no play)",3.240,1.890
3,9:07,2,17,NWE 40,10,13,Travis Minor up the middle for 3 yards (tackle by Vince Wilfork and Adalius Thomas),1.890,1.620
3,8:32,3,14,NWE 37,10,13,Marc Bulger pass complete short left to Torry Holt for 11 yards (tackle by Jonathan Wilhite),1.620,1.840
3,8:08,4,3,NWE 26,13,13,Josh Brown 44 yard field goal good,1.840,3.000
3,,,,STL 30,13,13,"Josh Brown kicks off 66 yards, returned by Ellis Hobbs for 21 yards (tackle by Quinton Culberson)",0.000,0.610
3,7:58,1,10,NWE 25,13,13,Matt Cassel pass complete short right to David Thomas for 9 yards (tackle by O.J. Atogwe),0.610,1.280
3,7:33,2,1,NWE 34,13,13,BenJarvus Green-Ellis right guard for 2 yards (tackle by La'Roi Glover),1.280,1.330
3,6:55,1,10,NWE 36,13,13,Matt Cassel pass complete short left to Wes Welker for 20 yards (tackle by O.J. Atogwe),1.330,2.650
3,6:10,1,10,STL 44,13,13,Matt Cassel pass incomplete deep left intended for Wes Welker is intercepted by Fakhir Brown at STL-26 and returned for 16 yards (tackle by BenJarvus Green-Ellis),2.650,-1.730
3,6:01,1,10,STL 42,13,13,Antonio Pittman right guard for 2 yards (tackle by Jerod Mayo and Brandon Meriweather),1.730,1.460
3,5:23,2,8,STL 44,13,13,Antonio Pittman right tackle for 2 yards (tackle by Ty Warren and Adalius Thomas),1.460,1.030
3,4:43,3,6,STL 46,13,13,Marc Bulger pass incomplete short left intended for Torry Holt,1.030,-0.320
3,4:37,4,6,STL 46,13,13,"Donnie Jones punts 35 yards, returned by Wes Welker for 13 yards (tackle by Chris Chamberlain)",-0.320,-1.070
3,4:28,1,10,NWE 32,13,13,Kevin Faulk left guard for 8 yards (tackle by James Hall and Corey Chavous),1.070,1.610
3,4:00,2,2,NWE 40,13,13,Kevin Faulk left end for 4 yards (tackle by Victor Adeyanju),1.610,1.860
3,3:17,1,10,NWE 44,13,13,Matt Cassel pass complete short middle to Wes Welker for 11 yards (tackle by Pisa Tinoisamoa). Penalty on James Hall: Defensive Offside (Declined),1.860,2.590
3,2:57,1,10,STL 45,13,13,"Penalty on Victor Adeyanju: Neutral Zone Infraction, 5 yards (no play)",2.590,3.320
3,2:42,1,5,STL 40,13,13,Matt Cassel pass incomplete deep left intended for Kevin Faulk,3.320,2.720
3,2:36,2,5,STL 40,13,13,BenJarvus Green-Ellis left guard for 4 yards (tackle by Victor Adeyanju and Eric Moore),2.720,2.540
3,2:07,3,1,STL 36,13,13,BenJarvus Green-Ellis left guard for no gain (tackle by O.J. Atogwe and Victor Adeyanju),2.540,0.890
3,1:26,4,1,STL 36,13,13,BenJarvus Green-Ellis left tackle for no gain (tackle by Clifton Ryan),0.890,-1.330
3,1:20,1,10,STL 36,13,13,Marc Bulger pass complete deep left to Donnie Avery for 44 yards (tackle by Ellis Hobbs),1.330,4.240
3,0:39,1,10,NWE 20,13,13,Antonio Pittman up the middle for 4 yards (tackle by Tedy Bruschi),4.240,4.280
Quarter,Time,Down,ToGo,Location,STL,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,NWE 16,13,13,Donnie Avery right end for -1 yards (tackle by Tedy Bruschi and Vince Wilfork),4.280,3.360
4,14:18,3,7,NWE 17,13,13,Marc Bulger pass complete short right to Antonio Pittman for 7 yards (tackle by Gary Guyton),3.360,4.910
4,13:58,1,10,NWE 10,13,13,Antonio Pittman left tackle for no gain (tackle by Richard Seymour and Mike Vrabel),4.910,4.190
4,13:13,2,10,NWE 10,13,13,Travis Minor left end for 3 yards (tackle by Ellis Hobbs and Jerod Mayo),4.190,3.810
4,12:34,3,7,NWE 7,13,13,Marc Bulger pass incomplete short middle intended for Torry Holt,3.810,2.970
4,12:28,4,7,NWE 7,16,13,Josh Brown 25 yard field goal good,2.970,3.000
4,,,,STL 30,16,13,"Josh Brown kicks off 69 yards, returned by Ellis Hobbs for 49 yards (tackle by Josh Brown)",0.000,2.260
4,12:14,1,10,,16,13,Matt Cassel pass incomplete deep left intended for Wes Welker,2.260,1.710
4,12:09,2,10,,16,13,Matt Cassel pass incomplete short middle intended for Kevin Faulk,1.710,1.030
4,12:05,3,10,,16,13,Matt Cassel sacked for -7 yards,1.030,-0.520
4,11:40,4,17,NWE 43,16,13,"Chris Hanson punts 57 yards, touchback",-0.520,-0.280
4,11:30,1,10,STL 20,16,13,Antonio Pittman right guard for 3 yards (tackle by Tedy Bruschi and Adalius Thomas),0.280,0.140
4,10:51,2,7,STL 23,16,13,Marc Bulger pass incomplete short right intended for Dan Kreider,0.140,-0.560
4,10:45,3,7,STL 23,16,13,Marc Bulger pass incomplete short middle intended for Donnie Avery,-0.560,-1.830
4,10:42,4,7,STL 23,16,13,Donnie Jones punts 29 yards,-1.830,-2.130
4,10:35,1,10,NWE 48,16,13,Kevin Faulk left end for 14 yards (tackle by O.J. Atogwe),2.130,3.050
4,10:16,1,10,STL 38,16,13,Matt Cassel pass complete short left to Randy Moss for 12 yards (tackle by Fakhir Brown),3.050,3.840
4,9:38,1,10,STL 26,16,13,Matt Cassel pass incomplete deep left intended for Randy Moss,3.840,3.300
4,9:30,2,10,STL 26,16,13,Matt Cassel sacked by Eric Moore for -2 yards,3.300,2.350
4,9:05,3,12,STL 28,16,13,Matt Cassel up the middle for 4 yards,2.350,1.870
4,8:29,4,8,STL 24,16,16,Stephen Gostkowski 41 yard field goal good,1.870,3.000
4,,,,NWE 30,16,16,"Stephen Gostkowski kicks off 70 yards, touchback",0.000,0.280
4,8:22,1,10,STL 20,16,16,Marc Bulger sacked by Ty Warren for -5 yards,0.280,-1.070
4,7:54,2,15,STL 15,16,16,Marc Bulger pass incomplete deep left intended for Donnie Avery (defended by Ellis Hobbs),-1.070,-1.860
4,7:45,,,,16,16,Timeout #1 by St. Louis Rams,0.000,-1.860
4,7:45,3,15,STL 15,16,16,"Penalty on Alex Barron: False Start, 5 yards (no play)",-1.860,-2.590
4,7:45,3,20,STL 10,16,16,Marc Bulger pass complete short left to Dante Hall for 5 yards (tackle by Jonathan Wilhite),-2.590,-2.440
4,7:12,4,15,STL 15,16,16,"Donnie Jones punts 46 yards, returned by Wes Welker for 8 yards (tackle by Chris Draft)",-2.440,-2.060
4,6:57,1,10,NWE 47,16,16,Matt Cassel sacked for -8 yards. Penalty on Matt Light: Offensive Holding (Declined),2.060,0.440
4,6:44,2,18,NWE 39,16,16,Matt Cassel pass complete short middle to Randy Moss for 23 yards (tackle by Jason Craft),0.440,3.050
4,5:57,1,10,STL 38,16,16,Matt Cassel pass complete short left to Randy Moss for 3 yards (tackle by Jason Craft),3.050,2.910
4,5:19,2,7,STL 35,16,16,Kevin Faulk right guard for 7 yards (tackle by Jason Craft),2.910,3.710
4,4:41,1,10,STL 28,16,16,Matt Cassel pass complete short right to Randy Moss for 8 yards (tackle by Ronald Bartell),3.710,4.250
4,4:01,2,2,STL 20,16,16,Kevin Faulk up the middle for 5 yards (tackle by Eric Moore),4.250,4.580
4,3:19,1,10,STL 15,16,22,"Matt Cassel pass complete short left to Kevin Faulk for 15 yards, touchdown",4.580,7.000
4,,,,STL 2,16,23,Stephen Gostkowski kicks extra point good,0.000,0.000
4,,,,NWE 30,16,23,"Stephen Gostkowski kicks off 67 yards, returned by Dante Hall for 19 yards (tackle by Pierre Woods). Penalty on Eric Bassey: Offensive Holding, 10 yards",0.000,-0.380
4,3:07,,,,16,23,Timeout #1 by New England Patriots,0.000,-0.380
4,3:07,1,10,STL 10,16,23,Marc Bulger pass complete short left to Dante Hall for 10 yards (tackle by Jonathan Wilhite),-0.380,0.280
4,3:02,1,10,STL 20,16,23,Marc Bulger pass incomplete short right intended for Keenan Burton,0.280,-0.270
4,2:57,2,10,STL 20,16,23,Antonio Pittman left guard for 17 yards (tackle by Antwain Spann and James Sanders),-0.270,1.400
4,2:28,1,10,STL 37,16,23,Marc Bulger pass incomplete short right intended for Donnie Avery,1.400,0.860
4,2:23,2,10,STL 37,16,23,Marc Bulger pass incomplete short right intended for Keenan Burton,0.860,0.170
4,2:18,3,10,STL 37,16,23,Marc Bulger pass complete short middle to Dante Hall for 13 yards (tackle by Adalius Thomas),0.170,2.260
4,2:00,1,10,,16,23,Travis Minor left guard for -2 yards (tackle by Gary Guyton and Mike Vrabel),2.260,1.440
4,1:38,2,12,STL 48,16,23,Marc Bulger pass complete deep left to Dante Hall for 19 yards (tackle by James Sanders),1.440,3.380
4,1:33,1,10,NWE 33,16,23,Marc Bulger pass incomplete short right intended for Antonio Pittman,3.380,2.840
4,1:29,2,10,NWE 33,16,23,Marc Bulger pass incomplete short right intended for Donnie Avery,2.840,2.150
4,1:26,3,10,NWE 33,16,23,"Penalty on Richie Incognito: False Start, 5 yards (no play)",2.150,1.490
4,1:26,3,15,NWE 38,16,23,Marc Bulger pass incomplete deep right intended for Keenan Burton is intercepted by Deltha O'Neal at NWE-16 and returned for 47 yards (tackle by Marc Bulger),1.490,-3.120
4,1:08,1,10,STL 37,16,23,Matt Cassel kneels for -1 yards,3.120,2.440
4,1:06,,,,16,23,Timeout #2 by St. Louis Rams,0.000,2.440
4,1:05,2,11,STL 38,16,23,Matt Cassel kneels for -1 yards,2.440,1.620
4,1:02,,,,16,23,Timeout #3 by St. Louis Rams,0.000,1.620
4,1:02,3,12,STL 39,16,23,Matt Cassel kneels for -2 yards,1.620,0.530
4,0:19,,,,16,23,Timeout #2 by New England Patriots,0.000,0.530
4,0:19,4,14,STL 41,16,23,"Penalty on Eric Moore: Neutral Zone Infraction, 5 yards (no play)",0.530,0.880
4,0:19,4,9,STL 36,16,23,"Chris Hanson punts 36 yards, touchback",0.880,-0.280
4,0:05,1,10,STL 20,16,23,"Marc Bulger pass complete short left to Antonio Pittman for 10 yards. Antonio Pittman fumbles, recovered by Donnie Avery at STL-30. Penalty on Nick Leckey: Offensive Holding (Declined)",0.280,0.940
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
