Quarter,Time,Down,ToGo,Location,NYG,IND,Detail,EPB,EPA
2,14:09,1,10,IND 14,3,0,Tiki Barber middle for no gain (tackle by Rob Morris),4.650,4.000
2,13:28,2,10,IND 14,3,0,Kerry Collins pass complete to Jeremy Shockey for 10 yards (tackle by David Gibson and Rob Morris),4.000,6.280
2,12:47,1,4,IND 4,9,0,"Tiki Barber left end for 4 yards, touchdown",6.280,7.000
2,12:47,,,IND 4,10,0,Matt Bryant kicks extra point good,0.000,0.000
2,12:47,,,NYG 30,10,0,"Matt Bryant kicks off 65 yards, returned by Troy Walters for 24 yards (tackle by Kato Serwanga)",0.000,0.870
2,12:37,1,10,IND 29,10,0,Peyton Manning sacked by Kenny Holmes for -9 yards,0.870,-0.890
2,12:09,2,19,IND 20,10,0,Peyton Manning pass complete to Marcus Pollard for 14 yards (tackle by Shaun Williams and Brandon Short),-0.890,0.300
2,11:35,3,5,IND 34,10,0,Peyton Manning pass incomplete intended for Joe Davenport,0.300,-1.110
2,11:32,4,5,IND 34,10,0,"Hunter Smith punts 36 yards, out of bounds",-1.110,-0.940
2,11:24,1,10,NYG 30,10,0,Kerry Collins pass complete to Amani Toomer for 8 yards (tackle by Marcus Washington),0.940,1.470
2,10:55,2,2,NYG 38,10,0,Ron Dayne middle for 1 yard (tackle by Larry Tripplett),1.470,0.890
2,10:13,3,1,NYG 39,10,0,Ron Dayne middle for no gain (tackle by Rob Morris and Marcus Washington),0.890,-0.780
2,9:51,4,1,NYG 39,10,0,"Matt Allen punts 49 yards, fair catch by Troy Walters",-0.780,0.350
2,9:42,1,10,IND 12,10,0,Edgerrin James left end for 4 yards (tackle by Micheal Barrow),-0.350,-0.370
2,9:12,2,6,IND 16,10,0,Peyton Manning pass complete to Marcus Pollard for 40 yards (tackle by Will Allen),-0.370,2.650
2,8:26,1,10,NYG 44,10,0,Peyton Manning pass incomplete intended for Marvin Harrison,2.650,2.110
2,8:21,2,10,NYG 44,10,0,Edgerrin James middle for no gain (tackle by Michael Strahan and Cornelius Griffin),2.110,1.420
2,7:42,3,10,NYG 44,10,0,Peyton Manning pass complete to Edgerrin James for 5 yards (tackle by Omar Stoutmire),1.420,0.660
2,6:59,4,5,NYG 39,10,0,"Hunter Smith punts 29 yards, fair catch by Delvin Joyce",0.660,0.380
2,6:52,1,10,NYG 10,10,0,Ron Dayne right end for 14 yards (tackle by David Gibson),-0.380,0.540
2,6:17,1,10,NYG 24,10,0,Kerry Collins pass complete to Amani Toomer for 18 yards (tackle by Idrees Bashir),0.540,1.730
2,5:41,1,10,NYG 42,10,0,Kerry Collins pass complete to Dan Campbell for 7 yards (tackle by Mike Peterson and Rob Morris),1.730,2.130
2,5:02,2,3,NYG 49,10,0,Ron Dayne middle for 4 yards (tackle by Chad Bratzke and Larry Tripplett),2.130,2.460
2,4:25,1,10,IND 47,10,0,Kerry Collins pass complete to Ron Dayne for 4 yards (tackle by Mike Peterson and Walt Harris),2.460,2.450
2,3:47,2,6,IND 43,10,0,Tiki Barber middle for 5 yards (tackle by Marcus Washington),2.450,2.410
2,3:16,2,6,IND 43,,,Timeout #1 by New York Giants,2.450,2.410
2,3:16,3,1,IND 38,10,0,Ron Dayne left tackle for 1 yard (tackle by Mike Peterson and David Gibson),2.410,3.120
2,2:43,1,10,IND 37,10,0,"Kerry Collins pass complete to Jeremy Shockey for 26 yards (tackle by Idrees Bashir). Jeremy Shockey fumbles (forced by Idrees Bashir), recovered by Walt Harris at IND-3 and returned for 21 yards (tackle by Ron Dayne)",3.120,-0.540
2,2:25,1,10,IND 24,10,0,Peyton Manning pass complete to Qadry Ismail for 14 yards (tackle by Dhani Jones),0.540,1.470
2,2:01,1,10,IND 38,10,0,Peyton Manning pass complete to Marvin Harrison for 10 yards (tackle by Dhani Jones),1.470,2.130
,,,,,,,"IND challenged the ruling, and the original play was overturned.",,
2,1:50,1,10,IND 48,10,0,Peyton Manning pass incomplete intended for Marvin Harrison,2.130,1.580
2,1:46,2,10,IND 48,10,0,Peyton Manning pass incomplete intended for Marcus Pollard,1.580,0.890
2,1:42,3,10,IND 48,10,0,Peyton Manning pass incomplete intended for Qadry Ismail,0.890,-0.190
2,1:37,4,10,IND 48,10,0,Hunter Smith punts 47 yards,-0.190,0.380
2,1:25,1,10,NYG 5,10,0,"Tiki Barber left tackle for 1 yard (tackle by Dwight Freeney). Tiki Barber fumbles (forced by Dwight Freeney), recovered by Dwight Freeney at NYG-6 (tackle by Tiki Barber)",-0.380,-5.830
2,1:18,1,6,NYG 6,10,0,James Mungro middle for 3 yards (tackle by Kenny Holmes),5.830,5.530
2,0:40,2,3,NYG 3,10,0,James Mungro middle for 1 yard (tackle by Michael Strahan),5.530,4.950
2,0:31,2,3,NYG 3,,,Timeout #2 by Indianapolis Colts,5.530,4.950
2,0:31,3,2,NYG 2,10,0,James Mungro right guard for no gain (tackle by Lance Legree and Kenny Holmes),4.950,3.250
2,0:08,3,2,NYG 2,,,Timeout #3 by Indianapolis Colts,4.950,3.250
2,0:08,4,2,NYG 2,10,3,Mike Vanderjagt 20 yard field goal good,3.250,3.000
2,0:08,,,IND 30,10,3,"Mike Vanderjagt kicks off 62 yards, returned by Daryl Jones for 20 yards (tackle by Joe Walker)",0.000,0.940
Quarter,Time,Down,ToGo,Location,NYG,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 30,10,3,"Mike Vanderjagt kicks off 70 yards, returned by Daryl Jones for 18 yards (tackle by Nick Harper)",0.000,0.040
3,14:53,1,10,NYG 18,16,3,"Kerry Collins pass complete to Amani Toomer for 82 yards, touchdown",0.040,7.000
3,14:53,,,IND 18,17,3,"Matt Bryant kicks extra point good. Penalty on Chris Bober: False Start, 5 yards (no play)",0.000,0.000
3,14:53,,,IND 18,17,3,Matt Bryant kicks extra point good,0.000,0.000
3,14:53,,,NYG 30,17,3,"Matt Bryant kicks off 67 yards, returned by Troy Walters for 48 yards (tackle by Ralph Brown). Penalty on Joe Jefferson: Offensive Holding, 10 yards",0.000,0.810
3,14:31,1,10,IND 28,17,3,Peyton Manning pass complete to Edgerrin James for 1 yard (tackle by Brandon Short). Penalty on Tarik Glenn: Ineligible Downfield Pass (Declined),0.810,0.400
3,14:12,2,9,IND 29,17,3,Peyton Manning pass complete to Marvin Harrison for 11 yards (tackle by Will Allen and Micheal Barrow),0.400,1.600
3,13:39,1,10,IND 40,17,3,Edgerrin James middle for 1 yard (tackle by Brandon Short and Michael Strahan),1.600,1.190
3,13:07,2,9,IND 41,17,3,Peyton Manning pass complete to Marvin Harrison for 8 yards (tackle by Will Allen),1.190,1.550
3,12:43,3,1,IND 49,17,3,James Mungro middle for no gain (tackle by Lance Legree and Dhani Jones),1.550,-0.130
3,12:21,4,1,IND 49,17,3,James Mungro middle for -1 yards (tackle by Brandon Short),-0.130,-2.460
3,12:17,1,10,IND 47,17,3,Tiki Barber left tackle for 1 yard (tackle by Raheem Brock),2.460,2.050
3,11:43,2,9,IND 46,17,3,Kerry Collins pass complete to Jeremy Shockey for 19 yards (tackle by Idrees Bashir and David Gibson),2.050,3.780
3,11:05,1,10,IND 27,17,3,Kerry Collins pass incomplete intended for Tiki Barber,3.780,3.230
3,10:59,2,10,IND 27,17,3,Tiki Barber middle for 9 yards (tackle by Marcus Washington and David Macklin),3.230,3.840
3,10:29,3,1,IND 18,23,3,"Kerry Collins pass complete to Charles Stackhouse for 18 yards, touchdown",3.840,7.000
3,10:29,,,IND 18,23,3,Matt Bryant kicks extra point no good,0.000,-1.000
3,10:29,,,NYG 30,23,3,"Matt Bryant kicks off 61 yards, returned by Troy Walters for 33 yards (tackle by DeWayne Patmon)",0.000,1.730
3,10:15,1,10,IND 42,23,3,Peyton Manning pass incomplete intended for Marvin Harrison (defended by Jason Sehorn),1.730,1.190
3,10:10,2,10,IND 42,23,3,Peyton Manning pass complete to Qadry Ismail for 6 yards (tackle by Ralph Brown),1.190,1.290
3,9:43,3,4,IND 48,23,3,Edgerrin James middle for 3 yards (tackle by Cornelius Griffin and Kenny Holmes),1.290,0.000
3,8:56,3,4,IND 48,,,Timeout #1 by New York Giants,1.290,0.000
3,8:56,4,1,NYG 49,23,3,Edgerrin James middle for 3 yards (tackle by Frank Ferrara),0.000,2.520
3,8:22,1,10,NYG 46,23,3,"Peyton Manning pass incomplete intended for Troy Walters (defended by Reggie Stephens). Penalty on Reggie Stephens: Defensive Pass Interference, 11 yards (no play)",2.520,3.250
3,8:18,1,10,NYG 35,23,3,Peyton Manning pass complete to Reggie Wayne for 4 yards,3.250,3.240
3,7:52,2,6,NYG 31,23,3,Peyton Manning pass incomplete intended for Marcus Pollard,3.240,2.540
3,7:50,3,6,NYG 31,23,3,Peyton Manning pass complete to Reggie Wayne for 9 yards (tackle by Jason Sehorn),2.540,4.110
3,7:12,1,10,NYG 22,23,3,Peyton Manning pass incomplete intended for Edgerrin James,4.110,3.560
3,7:08,2,10,NYG 22,23,3,Peyton Manning pass incomplete intended for Edgerrin James,3.560,2.870
3,7:04,3,10,NYG 22,23,3,Peyton Manning pass complete to Reggie Wayne for 11 yards (tackle by Reggie Stephens),2.870,4.840
3,6:27,1,10,NYG 11,23,3,Peyton Manning sacked by Kenny Holmes for -7 yards,4.840,3.230
3,6:07,2,17,NYG 18,23,3,Peyton Manning pass incomplete intended for Marcus Pollard,3.230,2.680
3,6:03,3,17,NYG 18,23,3,Peyton Manning pass complete to Marcus Pollard for 9 yards (tackle by Brandon Short),2.680,2.830
3,5:21,4,8,NYG 9,23,6,Mike Vanderjagt 27 yard field goal good,2.830,3.000
3,5:21,,,IND 30,23,6,"Mike Vanderjagt kicks off 62 yards, returned by Delvin Joyce for 23 yards (tackle by David Thornton)",0.000,1.000
3,5:13,1,10,NYG 31,23,6,Tiki Barber left end for no gain (tackle by Idrees Bashir),1.000,0.460
3,4:36,2,10,NYG 31,23,6,Kerry Collins pass complete to Amani Toomer for 8 yards (tackle by Walt Harris),0.460,0.830
3,4:12,3,2,NYG 39,23,6,"Tiki Barber right end for 9 yards (tackle by Josh Williams). Penalty on James Cannida: Defensive Offside (Declined), Penalty on Josh Williams: Unnecessary Roughness, 15 yards",0.830,3.120
3,3:43,1,10,IND 37,23,6,Tiki Barber left end for 3 yards (tackle by Marcus Washington),3.120,2.980
3,3:18,2,7,IND 34,23,6,Kerry Collins pass complete to Jeremy Shockey for 17 yards (tackle by David Gibson),2.980,4.440
3,2:33,1,10,IND 17,23,6,Tiki Barber left end for 2 yards (tackle by David Macklin and Marcus Washington),4.440,4.150
3,1:49,2,8,IND 15,23,6,Kerry Collins pass incomplete intended for Amani Toomer (defended by David Macklin),4.150,3.340
3,1:45,3,8,IND 15,23,6,Kerry Collins pass complete to Amani Toomer for 9 yards (tackle by David Macklin),3.340,5.830
3,1:00,1,6,IND 6,23,6,Tiki Barber left tackle for 5 yards (tackle by Mike Peterson and David Gibson),5.830,5.910
3,0:15,2,1,IND 1,29,6,"Tiki Barber middle for 1 yard, touchdown",5.910,7.000
3,0:15,,,IND 1,30,6,Matt Bryant kicks extra point good,0.000,0.000
3,0:15,,,NYG 30,30,6,"Matt Bryant kicks off 57 yards, returned by Troy Walters for 25 yards (tackle by Johnnie Harris)",0.000,1.470
3,0:05,1,10,IND 38,30,6,Troy Walters right end for 16 yards (tackle by Will Allen),1.470,2.520
Quarter,Time,Down,ToGo,Location,NYG,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYG 46,30,6,Peyton Manning pass complete to Troy Walters for 12 yards (tackle by Dwight Johnson and Shaun Williams),2.520,3.310
4,14:36,1,10,NYG 34,30,6,Peyton Manning pass complete to Marvin Harrison for 7 yards (tackle by Will Allen),3.310,3.720
4,14:09,2,3,NYG 27,30,6,Peyton Manning pass complete to Marcus Pollard for 6 yards (tackle by Omar Stoutmire),3.720,4.170
4,13:40,1,10,NYG 21,30,12,"Peyton Manning pass complete to Reggie Wayne for 21 yards, touchdown",4.170,7.000
4,13:40,1,,NYG 21,30,12,"Two Point Attempt: James Mungro middle, conversion fails",1.000,-1.000
4,13:40,,,IND 30,30,12,"Mike Vanderjagt kicks off 53 yards, returned by Delvin Joyce for 25 yards (tackle by Jim Finn)",0.000,1.730
4,13:28,1,10,NYG 42,30,12,Ron Dayne left end for -1 yards (tackle by Dwight Freeney),1.730,1.050
4,12:50,2,11,NYG 41,30,12,Kerry Collins pass complete to Dan Campbell for 12 yards (tackle by Marcus Washington),1.050,2.460
4,12:17,1,10,IND 47,30,12,"Ron Dayne middle for 2 yards (tackle by Josh Williams). Penalty on Dwight Freeney: Defensive Offside, 5 yards (no play)",2.460,3.190
4,11:51,1,5,IND 42,30,12,Ron Dayne middle for 3 yards (tackle by Larry Tripplett),3.190,2.990
4,11:08,2,2,IND 39,30,12,Ron Dayne middle for 4 yards (tackle by Mike Peterson),2.990,3.250
4,10:23,1,10,IND 35,30,12,Ron Dayne middle for 2 yards (tackle by Mike Peterson and Sam Sword),3.250,2.970
4,9:40,2,8,IND 33,30,12,Ron Dayne right end for no gain (tackle by Mike Peterson),2.970,2.280
4,8:52,3,8,IND 33,30,12,Kerry Collins pass complete to Amani Toomer for 10 yards (tackle by Walt Harris),2.280,4.040
4,8:20,1,10,IND 23,30,12,Ron Dayne middle for no gain (tackle by James Cannida),4.040,3.500
4,7:35,2,10,IND 23,30,12,Ron Dayne right tackle for 2 yards (tackle by Rob Morris),3.500,3.070
4,6:50,3,8,IND 21,36,12,"Kerry Collins pass complete to Amani Toomer for 21 yards, touchdown",3.070,7.000
4,6:50,,,IND 21,37,12,Matt Bryant kicks extra point good,0.000,0.000
4,6:50,,,NYG 30,37,12,"Matt Bryant kicks off 68 yards, returned by Troy Walters for 21 yards (tackle by Wesly Mallard)",0.000,0.480
4,6:41,1,10,IND 23,37,12,Peyton Manning pass incomplete intended for Marvin Harrison (defended by Will Allen),0.480,-0.070
4,6:37,2,10,IND 23,37,12,James Mungro middle for 6 yards (tackle by Frank Ferrara),-0.070,0.040
4,6:07,3,4,IND 29,37,12,Peyton Manning pass complete to Marvin Harrison for 24 yards (tackle by Johnnie Harris),0.040,2.460
4,5:32,1,10,NYG 47,37,12,James Mungro middle for 3 yards (tackle by Cornelius Griffin),2.460,2.320
4,5:03,2,7,NYG 44,37,12,Peyton Manning pass complete to Reggie Wayne for 19 yards (tackle by Omar Stoutmire),2.320,3.910
4,4:56,1,10,NYG 25,37,18,"Peyton Manning pass complete to Marvin Harrison for 25 yards, touchdown",3.910,7.000
4,4:56,1,,NYG 25,37,20,"Two Point Attempt: Peyton Manning pass complete to Marcus Pollard, conversion succeeds",1.000,1.000
4,4:56,,,IND 30,37,20,"Mike Vanderjagt kicks onside 7 yards, recovered by Joe Jefferson (onside kick successful). Penalty on Joe Jefferson: Illegal Touch Kick, 5 yards (no play)",0.000,0.000
4,4:56,,,IND 25,37,20,"Mike Vanderjagt kicks off 30 yards, muffed catch by Delvin Joyce, recovered by Clifton Crosby and returned for no gain",0.000,-2.920
4,4:50,1,10,NYG 40,37,26,"Peyton Manning pass complete to Reggie Wayne for 40 yards, touchdown",2.920,7.000
4,4:50,,,NYG 40,37,27,Mike Vanderjagt kicks extra point good,0.000,0.000
4,4:50,,,IND 30,37,27,"Mike Vanderjagt kicks off 29 yards, returned by Delvin Joyce for 2 yards (tackle by Nick Harper). Penalty on Joe Walker: Unnecessary Roughness, 15 yards",0.000,2.790
4,4:36,1,10,IND 42,37,27,Ron Dayne right end for 16 yards (tackle by Rob Morris),2.790,3.840
4,4:24,1,10,IND 42,,,Timeout #1 by Indianapolis Colts,2.790,3.840
4,4:24,1,10,IND 26,37,27,"Penalty on Dan Campbell: False Start, 5 yards (no play)",3.840,3.510
4,4:24,1,15,IND 31,37,27,Tiki Barber left end for 3 yards (tackle by Sam Sword),3.510,3.030
4,4:14,1,15,IND 31,,,Timeout #2 by Indianapolis Colts,3.510,3.030
4,4:14,2,12,IND 28,37,27,Tiki Barber middle for 1 yard (tackle by Larry Tripplett),3.030,2.480
4,4:05,2,12,IND 28,,,Timeout #3 by Indianapolis Colts,3.030,2.480
4,4:05,3,11,IND 27,43,27,"Kerry Collins pass complete to Amani Toomer for 27 yards, touchdown",2.480,7.000
4,4:05,,,IND 27,44,27,Matt Bryant kicks extra point good,0.000,0.000
4,4:05,,,NYG 30,44,27,"Matt Bryant kicks off 66 yards, returned by Joe Walker for 28 yards (tackle by Kevin Lewis)",0.000,1.070
4,3:53,1,10,IND 32,44,27,Peyton Manning pass complete to Marcus Pollard for no gain,1.070,0.530
4,3:44,2,10,IND 32,44,27,Peyton Manning pass complete to Troy Walters for 18 yards (tackle by Ralph Brown and Micheal Barrow),0.530,2.260
4,3:22,1,10,,44,27,Peyton Manning pass incomplete intended for Marvin Harrison (defended by Jason Sehorn),2.260,1.710
4,3:17,2,10,,44,27,Peyton Manning pass complete to Marvin Harrison for 7 yards (tackle by Micheal Barrow),1.710,1.950
4,2:57,3,3,NYG 43,44,27,Peyton Manning pass complete to Troy Walters for 5 yards (tackle by Ralph Brown),1.950,3.050
4,2:37,1,10,NYG 38,44,27,Peyton Manning pass incomplete intended for Marvin Harrison is intercepted by Brandon Short at NYG-25 and returned for 32 yards,3.050,-2.720
4,2:25,1,10,IND 43,44,27,Kerry Collins kneels for no gain,2.720,2.180
4,2:00,2,10,IND 43,44,27,Kerry Collins kneels for -2 yards,2.180,1.220
4,1:20,3,12,IND 45,44,27,Kerry Collins kneels for -1 yards,1.220,0.200
4,0:40,4,13,IND 46,44,27,Kerry Collins kneels for -1 yards,0.200,-2.060
4,0:38,1,10,IND 47,44,27,James Mungro middle for 9 yards (tackle by Cornelius Griffin),2.060,2.730
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
