Quarter,Time,Down,ToGo,Location,JAX,TAM,Detail,EPB,EPA
2,0:24,4,11,JAX 19,0,20,"Logan Cooke punts 65 yards, returned by Deven Thompkins for 6 yards (tackle by Luke Farrell)",-2.140,-0.410
2,0:10,1,10,TAM 22,0,20,Baker Mayfield kneels for -1 yards,0.410,-0.270
Quarter,Time,Down,ToGo,Location,JAX,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,0,20,"Jake Camarda kicks off 69 yards, returned by Jamal Agnew for 26 yards (tackle by Joe Tryon-Shoyinka)",0.000,0.410
3,14:56,1,10,JAX 22,0,20,Travis Etienne left tackle for 3 yards (tackle by Vita Vea and Devin White),0.410,0.270
3,14:23,2,7,JAX 25,0,20,Trevor Lawrence pass complete deep left to Calvin Ridley for 24 yards (tackle by Jamel Dean),0.270,2.190
3,13:39,1,10,JAX 49,0,20,"Trevor Lawrence sacked by and YaYa Diaby for -12 yards and Devin White for -12 yards. Trevor Lawrence fumbles (forced by YaYa Diaby), recovered by YaYa Diaby at JAC-37 (tackle by YaYa Diaby) (tackle by YaYa Diaby)",2.190,-3.120
3,13:33,1,10,JAX 37,0,20,Rachaad White up the middle for 4 yards (tackle by Travon Walker and Foyesade Oluokun),3.120,3.110
3,12:53,2,6,JAX 33,0,20,Baker Mayfield pass incomplete short right intended for Rachaad White,3.110,2.410
3,12:47,3,6,JAX 33,0,20,Baker Mayfield pass complete short right to Trey Palmer for 6 yards (tackle by Darious Williams),2.410,3.780
3,12:04,1,10,JAX 27,0,20,Baker Mayfield pass complete deep right to Payne Durham for 25 yards,3.780,6.740
3,11:35,1,2,JAX 2,0,26,"Rachaad White up the middle for 2 yards, touchdown",6.740,7.000
3,11:30,,,JAX 15,0,27,Chase McLaughlin kicks extra point good,0.000,0.000
3,11:30,,,TAM 35,0,27,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
3,11:30,1,10,JAX 25,0,27,Trevor Lawrence pass complete deep middle to Calvin Ridley for 25 yards (tackle by Lavonte David),0.610,2.260
3,11:04,1,10,TAM 50,0,27,Trevor Lawrence pass incomplete deep right intended for Jamal Agnew,2.260,1.710
3,10:49,2,10,TAM 50,0,27,Trevor Lawrence pass complete short right to Parker Washington for 13 yards (tackle by Christian Izien),1.710,3.120
3,10:19,1,10,TAM 37,0,27,Trevor Lawrence pass incomplete deep left intended for Jamal Agnew,3.120,2.570
3,10:11,2,10,TAM 37,0,27,D'Ernest Johnson left end for 2 yards (tackle by Antoine Winfield),2.570,2.150
3,9:31,3,8,TAM 35,0,27,Trevor Lawrence pass incomplete short left intended for Evan Engram (defended by Dee Delaney),2.150,0.970
3,9:26,4,8,TAM 35,0,27,"Penalty on JAX: Delay of Game, 5 yards (accepted) (no play)",0.970,0.590
3,9:26,4,13,TAM 40,0,27,Trevor Lawrence pass incomplete short left intended for Jamal Agnew,0.590,-1.600
3,9:21,1,10,TAM 40,0,27,Chase Edmonds up the middle for 1 yard (tackle by Devin Lloyd),1.600,1.190
3,8:44,2,9,TAM 41,0,27,Chase Edmonds right guard for no gain (tackle by Dawuane Smoot and Devin Lloyd),1.190,0.500
3,8:03,3,9,TAM 41,0,27,Baker Mayfield pass complete short right to Chris Godwin for 15 yards (tackle by Tre Herndon),0.500,2.650
3,7:20,1,10,JAX 44,0,27,Chase Edmonds up the middle for 5 yards (tackle by Andrew Wingard),2.650,2.780
3,6:41,2,5,JAX 39,0,27,Chase Edmonds right tackle for 3 yards (tackle by Adam Gotsis),2.780,2.480
3,5:59,3,2,JAX 36,0,27,Baker Mayfield pass complete short right to Rachaad White for 3 yards (tackle by Rayshawn Jenkins),2.480,3.380
3,5:21,1,10,JAX 33,0,27,Rachaad White up the middle for 3 yards (tackle by Folorunso Fatukasi),3.380,3.240
3,4:43,2,7,JAX 30,0,27,Rachaad White right end for -3 yards (tackle by Andrew Wingard),3.240,2.150
3,3:59,3,10,JAX 33,0,27,Baker Mayfield pass incomplete short left intended for Trey Palmer (defended by Tre Herndon),2.150,1.150
3,3:54,4,10,JAX 33,0,30,Chase McLaughlin 51 yard field goal good,1.150,3.000
3,3:49,,,TAM 35,0,30,"Jake Camarda kicks off 65 yards, returned by Jamal Agnew for 25 yards (tackle by Joe Tryon-Shoyinka)",0.000,0.610
3,3:44,1,10,JAX 25,0,30,Trevor Lawrence scrambles right end for 15 yards (tackle by Dee Delaney),0.610,1.600
3,3:25,1,10,JAX 40,0,30,Trevor Lawrence pass complete short left to Calvin Ridley for 9 yards (tackle by Jamel Dean),1.600,2.270
3,2:58,2,1,JAX 49,0,30,Trevor Lawrence pass incomplete deep middle intended for Tim Jones,2.270,1.550
3,2:53,3,1,JAX 49,0,30,Trevor Lawrence pass incomplete short left intended for Evan Engram,1.550,-0.130
3,2:49,4,1,JAX 49,0,30,Trevor Lawrence scrambles right end for 2 yards (tackle by YaYa Diaby),-0.130,2.320
3,2:28,1,10,TAM 49,0,30,Trevor Lawrence pass complete short right to Evan Engram for 13 yards (tackle by Dee Delaney),2.320,3.180
3,2:00,1,10,TAM 36,0,30,Trevor Lawrence pass incomplete short right intended for Evan Engram,3.180,2.640
3,1:54,2,10,TAM 36,0,30,Trevor Lawrence scrambles left end for 12 yards (tackle by Christian Izien),2.640,3.970
3,1:25,1,10,TAM 24,0,30,Trevor Lawrence pass complete short middle to Parker Washington for 6 yards (tackle by Devin White),3.970,4.290
3,0:57,2,4,TAM 18,6,30,"Trevor Lawrence pass complete deep right to Calvin Ridley for 18 yards, touchdown",4.290,7.000
3,0:50,,,TAM 2,6,30,Two Point Attempt: Trevor Lawrence pass incomplete intended for intended for Tim Jones,1.000,-1.000
3,0:50,,,JAX 35,6,30,"Brandon McManus kicks off 57 yards, returned by Deven Thompkins for 17 yards (tackle by Caleb Johnson)",0.000,0.610
3,0:50,1,10,TAM 25,6,30,Rachaad White up the middle for 4 yards (tackle by Roy Robertson-Harris and Rayshawn Jenkins),0.610,0.600
Quarter,Time,Down,ToGo,Location,JAX,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,TAM 29,6,30,Rachaad White up the middle for -4 yards (tackle by Tyler Lacy),0.600,-0.620
4,14:18,3,10,TAM 25,6,30,"Penalty on David Moore: False Start, 5 yards (accepted) (no play)",-0.620,-1.290
4,14:18,3,15,TAM 20,6,30,Baker Mayfield pass complete short middle to Chris Godwin for 9 yards (tackle by Foyesade Oluokun),-1.290,-1.440
4,13:39,4,6,TAM 29,6,30,"Jake Camarda punts 51 yards, returned by Jamal Agnew for -2 yards (tackle by David Moore)",-1.440,-0.040
4,13:32,1,10,JAX 18,6,30,C.J. Beathard pass complete short middle to Evan Engram for 2 yards (tackle by Lavonte David),0.040,-0.130
4,13:08,2,8,JAX 20,6,30,"C.J. Beathard pass complete short right to Evan Engram for 13 yards. Evan Engram fumbles (forced by Zyon McCollum) (tackle by Christian Izien), recovered by Antoine Winfield at JAC-34 (tackle by Zyon McCollum) (tackle by Zyon McCollum) (tackle by Christian Izien) (tackle by Christian Izien)",-0.130,-3.310
4,12:58,1,10,JAX 34,6,30,Baker Mayfield pass incomplete short middle intended for Mike Evans (defended by Adam Gotsis),3.310,2.770
4,12:54,2,10,JAX 34,6,30,"Penalty on Robert Hainsey: False Start, 5 yards (accepted) (no play)",2.770,2.090
4,12:54,2,15,JAX 39,6,30,Rachaad White up the middle for 3 yards (tackle by Dawuane Smoot),2.090,1.820
4,12:17,3,12,JAX 36,6,30,Baker Mayfield pass complete short right to Mike Evans for 10 yards (tackle by Darious Williams),1.820,1.860
4,11:38,4,2,JAX 26,6,30,Baker Mayfield pass incomplete deep left intended for Chris Godwin,1.860,-0.740
4,11:30,1,10,JAX 27,6,30,C.J. Beathard pass incomplete short left intended for Calvin Ridley,0.740,0.200
4,11:09,2,10,JAX 27,6,30,"C.J. Beathard sacked by Devin White for no gain. Penalty on Devin White: Roughing the Passer, 15 yards (accepted) (no play)",0.200,1.730
4,11:01,1,10,JAX 42,6,30,C.J. Beathard pass complete short right to Evan Engram for 14 yards (tackle by Joe Tryon-Shoyinka and Zyon McCollum),1.730,2.650
4,10:39,1,10,TAM 44,6,30,C.J. Beathard pass complete short right to Tim Jones for 6 yards (tackle by Kaevon Merriweather),2.650,2.920
4,10:17,2,4,TAM 38,6,30,C.J. Beathard pass complete short middle to Tim Jones for 15 yards (tackle by Dee Delaney and Christian Izien),2.920,4.040
4,9:58,1,10,TAM 23,6,30,C.J. Beathard pass complete short right to Travis Etienne for 2 yards (tackle by Lavonte David),4.040,3.770
4,9:51,2,8,TAM 21,6,30,C.J. Beathard pass complete short right to Tim Jones for 11 yards (tackle by Zyon McCollum),3.770,4.910
4,9:17,1,10,TAM 10,6,30,C.J. Beathard pass incomplete short right intended for Evan Engram (defended by Devin White),4.910,4.190
4,9:13,2,10,TAM 10,6,30,C.J. Beathard pass incomplete short right intended for Jamal Agnew,4.190,3.130
4,9:06,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,9:06,3,10,TAM 10,6,30,C.J. Beathard sacked by YaYa Diaby for -9 yards,3.130,2.180
4,8:24,4,19,TAM 19,6,30,C.J. Beathard pass incomplete deep right intended for Calvin Ridley (defended by Zyon McCollum),2.180,-0.150
4,8:18,1,10,TAM 19,6,30,Rachaad White left guard for 1 yard (tackle by Folorunso Fatukasi),0.150,-0.200
4,7:25,2,9,TAM 20,6,30,Baker Mayfield sacked by Travon Walker for -13 yards,-0.200,-2.820
4,6:49,3,22,TAM 7,6,30,Rachaad White up the middle for 6 yards (tackle by Travon Walker and Foyesade Oluokun),-2.820,-2.490
4,5:55,4,16,TAM 13,6,30,"Jake Camarda punts 50 yards, returned by Jamal Agnew for 12 yards (tackle by Zach Triner)",-2.490,-2.190
4,5:45,1,10,JAX 49,6,30,C.J. Beathard pass complete short left to Evan Engram for 10 yards (tackle by Lavonte David),2.190,2.850
4,5:24,1,10,TAM 41,6,30,C.J. Beathard pass complete short right to Calvin Ridley for 13 yards (tackle by Zyon McCollum),2.850,3.710
4,5:00,1,10,TAM 28,6,30,C.J. Beathard pass complete short right to Evan Engram for 7 yards (tackle by Lavonte David),3.710,4.110
4,4:53,2,3,TAM 21,6,30,C.J. Beathard scrambles right end for 6 yards (tackle by Devin White),4.110,4.580
4,4:42,1,10,TAM 15,6,30,"C.J. Beathard pass incomplete short right intended for Evan Engram. Penalty on Zyon McCollum: Defensive Pass Interference, 14 yards (accepted) (no play)",4.580,6.970
4,4:40,1,1,TAM 1,6,30,C.J. Beathard pass incomplete short left intended for Jamal Agnew. Penalty on Vita Vea: Defensive Offside (accepted) (no play),6.970,6.970
4,4:40,1,1,TAM 1,12,30,"C.J. Beathard pass complete short right to Calvin Ridley for 1 yard, touchdown",6.970,7.000
4,4:36,,,TAM 2,12,30,Two Point Attempt: C.J. Beathard pass incomplete intended for intended for Evan Engram,1.000,-1.000
4,4:36,,,JAX 35,12,30,"Brandon McManus kicks onside 9 yards, returned by David Moore for no gain",0.000,2.650
4,4:35,1,10,JAX 44,12,30,Rachaad White up the middle for 2 yards (tackle by Rayshawn Jenkins and Roy Robertson-Harris),2.650,2.380
4,3:53,2,8,JAX 42,12,30,Rachaad White up the middle for no gain (tackle by Roy Robertson-Harris),2.380,1.690
4,3:48,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,3:48,3,8,JAX 42,12,30,Baker Mayfield pass complete short left to Chris Godwin for 14 yards (tackle by Antonio Johnson),1.690,3.710
4,3:06,1,10,JAX 28,12,30,Chase Edmonds up the middle for 2 yards (tackle by DaVon Hamilton),3.710,3.440
4,2:21,2,8,JAX 26,12,30,Chase Edmonds left end for 1 yard (tackle by K'Lavon Chaisson),3.440,2.870
4,2:00,3,7,JAX 25,12,30,Baker Mayfield pass complete short right to Chris Godwin for 12 yards (tackle by Antonio Johnson),2.870,4.710
4,1:41,1,10,JAX 13,12,30,Chase Edmonds up the middle for 2 yards (tackle by Travon Walker),4.710,4.390
4,1:11,2,8,JAX 11,12,30,Baker Mayfield kneels for -1 yards,4.390,3.280
4,0:35,3,9,JAX 12,12,30,Baker Mayfield kneels for -1 yards,3.280,2.570
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
