Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
2,0:26,1,10,NWE 50,3,7,"Tom Brady sacked by Reggie Hayward for -4 yards. Tom Brady fumbles (forced by Reggie Hayward), recovered by Tom Brady at NWE-46",2.260,1.170
2,0:19,,,,3,7,Timeout #3 by New England Patriots,0.000,1.170
2,0:19,2,14,NWE 46,3,7,Tom Brady pass incomplete intended for Deion Branch,1.170,0.500
2,0:11,3,14,NWE 46,3,7,Tom Brady sacked by Daryl Smith for -1 yards,0.500,-0.390
Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 30,3,7,"Adam Vinatieri kicks off 60 yards, returned by Rich Alexis for 11 yards (tackle by Andre' Davis)",0.000,0.340
3,14:53,1,10,JAX 21,3,7,Byron Leftwich pass complete to Matt Jones for 14 yards (tackle by Asante Samuel),0.340,1.270
3,14:17,1,10,JAX 35,3,7,Byron Leftwich pass incomplete intended for Kyle Brady,1.270,0.720
3,14:13,2,10,JAX 35,3,7,Byron Leftwich pass incomplete intended for Alvin Pearman (defended by Chad Brown),0.720,0.040
3,14:06,3,10,JAX 35,3,7,Byron Leftwich pass incomplete intended for Jimmy Smith (defended by Asante Samuel),0.040,-1.040
3,14:02,4,10,JAX 35,3,7,"Chris Hanson punts 46 yards, muffed catch by Tim Dwight, ball out of bounds at NWE-19",-1.040,-0.150
3,13:55,1,10,NWE 19,3,7,Corey Dillon left guard for 1 yard (tackle by John Henderson),0.150,-0.200
3,13:15,2,9,NWE 20,3,7,Tom Brady pass complete to Deion Branch for 16 yards (tackle by Deon Grant),-0.200,1.330
3,12:43,1,10,NWE 36,3,7,Corey Dillon right guard for 2 yards (tackle by Marcus Stroud),1.330,1.060
3,11:58,,,,3,7,Timeout #1 by New England Patriots,0.000,1.060
3,11:58,2,8,NWE 38,3,7,Corey Dillon up the middle for 2 yards (tackle by Daryl Smith),1.060,0.630
3,11:17,3,6,NWE 40,3,7,Tom Brady pass complete to Ben Watson for 15 yards (tackle by Gerald Sensabaugh),0.630,2.590
3,10:42,1,10,JAX 45,3,7,Kevin Faulk right guard for 6 yards (tackle by Daryl Smith),2.590,2.850
3,10:04,2,4,JAX 39,3,7,Kevin Faulk right tackle for 5 yards (tackle by Akin Ayodele and Mike Peterson),2.850,3.310
3,9:19,1,10,JAX 34,3,7,Tom Brady pass incomplete intended for Ben Watson,3.310,2.770
3,9:14,2,10,JAX 34,3,7,Andre' Davis right end for 13 yards (tackle by Marcellus Wiley),2.770,4.170
3,8:47,1,10,JAX 21,3,7,Corey Dillon left end for 1 yard (tackle by Kenny Wright and John Henderson),4.170,3.760
3,8:03,2,9,JAX 20,3,7,"Tom Brady pass complete to Ben Watson for 8 yards (tackle by Mike Peterson). Ben Watson fumbles (forced by Mike Peterson), recovered by Andre' Davis at JAX-3",3.760,6.510
3,7:17,1,3,JAX 3,3,13,"Tom Brady pass complete to David Givens for 3 yards, touchdown",6.510,7.000
3,,,,JAX 2,3,14,Adam Vinatieri kicks extra point good,0.000,0.000
3,,,,NWE 30,3,14,"Adam Vinatieri kicks off 62 yards, returned by Derrick Wimbush for 23 yards (tackle by Chad Brown)",0.000,1.000
3,7:05,1,10,JAX 31,3,14,Byron Leftwich pass incomplete intended for Reggie Williams,1.000,0.460
3,7:02,2,10,JAX 31,3,14,Byron Leftwich pass complete to Kyle Brady for 1 yard (tackle by Chad Brown),0.460,-0.100
3,6:17,3,9,JAX 32,3,14,Byron Leftwich pass incomplete intended for Jimmy Smith,-0.100,-1.240
3,6:10,4,9,JAX 32,3,14,"Chris Hanson punts 43 yards, returned by Tim Dwight for 4 yards (tackle by Gerald Sensabaugh)",-1.240,-0.870
3,5:56,1,10,NWE 29,3,14,Corey Dillon left end for 6 yards (tackle by Mike Peterson and Kenny Wright),0.870,1.140
3,5:19,2,4,NWE 35,3,14,Corey Dillon right guard for 5 yards (tackle by Rashean Mathis and Gerald Sensabaugh),1.140,1.600
3,4:32,1,10,NWE 40,3,14,Tom Brady pass incomplete intended for Deion Branch (defended by Marcus Stroud),1.600,1.050
3,4:29,2,10,NWE 40,3,14,"Kevin Faulk left tackle for no gain (tackle by Mike Peterson). Penalty on Nick Kaczur: Offensive Holding, 10 yards (no play)",1.050,-0.300
3,4:05,2,20,NWE 30,3,14,Tom Brady pass complete to Kevin Faulk for 7 yards (tackle by Akin Ayodele),-0.300,-0.030
3,3:19,3,13,NWE 37,3,20,"Tom Brady pass complete to Ben Watson for 63 yards, touchdown",-0.030,7.000
3,,,,JAX 2,3,21,Adam Vinatieri kicks extra point good,0.000,0.000
3,,,,NWE 30,3,21,"Adam Vinatieri kicks off 60 yards, returned by Derrick Wimbush for 28 yards (tackle by Matt Chatham)",0.000,1.470
3,2:57,1,10,JAX 38,3,21,Fred Taylor left tackle for 7 yards (tackle by Artrell Hawkins),1.470,1.870
3,2:19,2,3,JAX 45,3,21,Byron Leftwich up the middle for 18 yards (tackle by Asante Samuel),1.870,3.120
3,1:39,1,10,NWE 37,3,21,Byron Leftwich sacked by Willie McGinest for -5 yards,3.120,1.900
3,1:02,2,15,NWE 42,3,21,Byron Leftwich pass complete to Reggie Williams for 6 yards (tackle by Troy Brown),1.900,2.010
3,0:29,3,9,NWE 36,3,21,Alvin Pearman left guard for 4 yards (tackle by Mike Vrabel and Rosevelt Colvin),2.010,1.260
Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,5,NWE 32,3,27,"Byron Leftwich pass incomplete intended for Reggie Williams is intercepted by Asante Samuel at NWE-27 and returned for 73 yards, touchdown",1.260,-7.000
4,,,,JAX 2,3,28,Adam Vinatieri kicks extra point good,0.000,0.000
4,,,,NWE 30,3,28,"Adam Vinatieri kicks off 64 yards, returned by Derrick Wimbush for 25 yards (tackle by Michael Stone)",0.000,1.000
4,14:39,1,10,JAX 31,3,28,Byron Leftwich pass complete to Matt Jones for 11 yards (tackle by Artrell Hawkins),1.000,1.730
4,14:14,1,10,JAX 42,3,28,Byron Leftwich pass incomplete intended for Jimmy Smith,1.730,1.190
4,14:10,2,10,JAX 42,3,28,Byron Leftwich pass complete to Ernest Wilford for 11 yards (tackle by Troy Brown),1.190,2.460
4,13:54,1,10,NWE 47,3,28,Byron Leftwich pass incomplete intended for Matt Jones,2.460,1.910
4,13:47,2,10,NWE 47,3,28,"Byron Leftwich pass complete to Matt Jones for 8 yards (tackle by Artrell Hawkins). Penalty on JAX: Illegal Shift, 5 yards (no play)",1.910,1.240
4,13:21,2,15,JAX 48,3,28,Byron Leftwich pass complete to Reggie Williams for 24 yards,1.240,3.710
4,13:02,1,10,NWE 28,3,28,Fred Taylor up the middle for 1 yard (tackle by Jarvis Green),3.710,3.300
4,12:38,2,9,NWE 27,3,28,Byron Leftwich pass complete to Matt Jones for 11 yards (tackle by Ellis Hobbs),3.300,4.510
4,12:10,1,10,NWE 16,3,28,Byron Leftwich up the middle for 8 yards (tackle by Artrell Hawkins and Mike Vrabel),4.510,5.350
4,11:45,2,2,NWE 8,3,28,Byron Leftwich pass incomplete intended for Ernest Wilford (defended by Hank Poteat),5.350,4.620
4,11:39,3,2,NWE 8,3,28,Byron Leftwich sacked by Willie McGinest for -15 yards,4.620,1.930
4,11:16,,,,3,28,Timeout #1 by Jacksonville Jaguars,0.000,1.930
4,11:16,4,17,NWE 23,3,28,Josh Scobee 41 yard field goal no good,1.930,-1.000
4,11:12,1,10,NWE 31,3,28,Corey Dillon up the middle for 4 yards (tackle by Rob Meier),1.000,1.000
4,10:34,2,6,NWE 35,3,28,Corey Dillon left tackle for 1 yard (tackle by Pat Thomas and Reggie Hayward),1.000,0.430
4,9:49,3,5,NWE 36,3,28,Tom Brady pass complete to Andre' Davis for 3 yards (tackle by Mike Peterson and Deon Grant),0.430,-0.780
4,9:07,4,2,NWE 39,3,28,"Josh Miller punts 44 yards, fair catch by Alvin Pearman",-0.780,0.060
4,8:58,1,10,JAX 17,3,28,David Garrard pass complete to Reggie Williams for 15 yards (tackle by Mike Vrabel),-0.060,1.070
4,8:34,1,10,JAX 32,3,28,David Garrard pass incomplete intended for Jimmy Smith,1.070,0.530
4,8:29,2,10,JAX 32,3,28,David Garrard left guard for 9 yards (tackle by Mike Vrabel and Jarvis Green),0.530,1.030
4,7:56,3,1,JAX 41,3,28,Fred Taylor left guard for no gain (tackle by Mike Vrabel),1.030,-0.650
4,7:12,4,1,JAX 41,3,28,"Penalty on Vince Manuwai: False Start, 5 yards (no play)",-0.650,-0.980
4,6:52,4,6,JAX 36,3,28,David Garrard pass complete to Matt Jones for 41 yards (tackle by Eugene Wilson and Mike Vrabel),-0.980,4.040
4,6:20,1,10,NWE 23,3,28,David Garrard pass complete to Fred Taylor for 12 yards (tackle by Eugene Wilson and Mike Vrabel),4.040,4.840
4,5:55,1,10,NWE 11,3,28,David Garrard pass incomplete intended for Jimmy Smith,4.840,4.140
4,5:52,2,10,NWE 11,3,28,David Garrard up the middle for 5 yards (tackle by Troy Brown),4.140,4.210
4,5:21,3,5,NWE 6,3,28,David Garrard pass incomplete intended for Ernest Wilford,4.210,2.990
4,5:08,,,,3,28,Timeout #2 by New England Patriots,0.000,2.990
4,5:08,4,5,NWE 6,3,28,David Garrard pass incomplete intended for Matt Jones,2.990,0.380
4,5:03,1,10,NWE 6,3,28,Corey Dillon right end for -2 yards (tackle by Gerald Sensabaugh and Marcellus Wiley),-0.380,-0.930
4,4:25,2,12,NWE 4,3,28,Corey Dillon left guard for 1 yard (tackle by Daryl Smith),-0.930,-1.540
4,4:17,,,,3,28,Timeout #2 by Jacksonville Jaguars,0.000,-1.540
4,4:17,3,11,NWE 5,3,28,"Penalty on Steve Neal: False Start, 2 yards (no play)",-1.540,-1.770
4,4:17,3,13,NWE 3,3,28,Tom Brady pass complete to Corey Dillon for 12 yards (tackle by Rashean Mathis),-1.770,-2.440
4,3:44,4,1,NWE 15,3,28,"Josh Miller punts 45 yards, returned by Alvin Pearman for 3 yards (tackle by Andre' Davis)",-2.440,-1.800
4,3:33,1,10,JAX 43,3,28,David Garrard sacked by Willie McGinest and Richard Seymour for -7 yards. Penalty on Khalif Barnes: Face Mask (5 Yards) (Declined),1.800,0.310
4,3:28,2,17,JAX 36,3,28,Greg Jones up the middle for 11 yards (tackle by Hank Poteat and Chad Brown),0.310,1.090
4,3:03,3,6,JAX 47,3,28,David Garrard sacked by Willie McGinest for -5 yards,1.090,-0.590
4,2:28,4,11,JAX 42,3,28,David Garrard pass incomplete intended for Ernest Wilford,-0.590,-2.790
4,2:22,1,10,JAX 42,3,28,Corey Dillon up the middle for 1 yard (tackle by Akin Ayodele),2.790,2.380
4,2:00,2,9,JAX 41,3,28,Corey Dillon right tackle for 4 yards (tackle by Akin Ayodele),2.380,2.210
4,1:20,3,5,JAX 37,3,28,Patrick Pass up the middle for 6 yards (tackle by Akin Ayodele),2.210,3.510
4,0:36,1,10,JAX 31,3,28,Matt Cassel kneels for -1 yards,3.510,2.830
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
