Quarter,Time,Down,ToGo,Location,PIT,NOR,Detail,EPB,EPA
1,9:10,3,2,PIT 48,0,0,"Ben Roethlisberger for 3 yards. Ben Roethlisberger fumbles, recovered by Ben Roethlisberger at PIT-43 Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 3 yards (tackle by Vonn Bell)",1.420,2.320
1,8:47,1,10,NOR 49,0,0,Ben Roethlisberger pass complete short right to Ryan Switzer for 2 yards (tackle by Vonn Bell),2.320,2.050
1,8:16,2,8,NOR 47,0,0,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 8 yards (tackle by P.J. Williams and Sheldon Rankins),2.050,2.980
1,7:37,1,10,NOR 39,0,0,Ben Roethlisberger up the middle for 5 yards (tackle by Sheldon Rankins),2.980,3.120
1,6:55,2,5,NOR 34,0,0,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 4 yards (tackle by Vonn Bell),3.120,2.940
1,6:15,3,1,NOR 30,0,0,Ben Roethlisberger pass complete short right to Antonio Brown for -1 yards (tackle by P.J. Williams),2.940,1.400
1,5:37,4,2,NOR 31,3,0,Chris Boswell 49 yard field goal good,1.400,3.000
1,5:32,,,PIT 35,3,0,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
1,5:32,1,10,NOR 25,3,0,Alvin Kamara right guard for 4 yards (tackle by Jonathan Bostic),0.610,0.600
1,4:57,2,6,NOR 29,3,0,Drew Brees pass complete short middle to Michael Thomas for 28 yards (tackle by Terrell Edmunds),0.600,2.720
1,4:25,1,10,PIT 43,3,0,Mark Ingram right guard for 7 yards (tackle by Coty Sensabaugh),2.720,3.120
1,3:46,2,3,PIT 36,3,0,Drew Brees pass incomplete short left intended for Michael Thomas (defended by Cameron Heyward),3.120,2.410
1,3:43,3,3,PIT 36,3,0,Mark Ingram left guard for 2 yards (tackle by Bud Dupree and Cameron Heyward),2.410,1.100
1,3:10,,,,,,Timeout #1 by New Orleans Saints,,
1,3:10,4,1,PIT 34,3,0,"Drew Brees pass incomplete deep right intended for Alvin Kamara. Penalty on Joe Haden: Defensive Pass Interference, 33 yards (no play)",1.100,6.970
1,3:01,1,1,PIT 1,3,6,"Mark Ingram left tackle for 1 yard, touchdown",6.970,7.000
1,2:57,,,PIT 15,3,7,Wil Lutz kicks extra point good,0.000,0.000
1,2:57,,,NOR 35,3,7,"Wil Lutz kicks off 65 yards, returned by Ryan Switzer for no gain (tackle by Zach Line). Penalty on Roosevelt Nix: Offensive Holding, 10 yards",0.000,-0.380
1,2:51,1,10,PIT 10,3,7,Jaylen Samuels left guard for no gain (tackle by Vonn Bell),-0.380,-0.780
1,2:12,2,10,PIT 10,3,7,Jaylen Samuels left guard for 16 yards (tackle by Alex Anzalone and Vonn Bell),-0.780,0.670
1,1:28,1,10,PIT 26,3,7,"Ben Roethlisberger pass incomplete short left intended for JuJu Smith-Schuster (defended by Eli Apple) (defended by Tyeler Davison). Penalty on Eli Apple: Defensive Pass Interference, 6 yards (no play)",0.670,1.070
1,1:24,1,10,PIT 32,3,7,Ben Roethlisberger pass incomplete deep middle intended for Antonio Brown (defended by Marshon Lattimore),1.070,0.530
1,1:18,2,10,PIT 32,3,7,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 6 yards (tackle by Eli Apple),0.530,0.630
1,0:35,3,4,PIT 38,3,7,Ben Roethlisberger pass complete deep right to Vance McDonald for 49 yards (tackle by Marcus Williams),0.630,4.710
Quarter,Time,Down,ToGo,Location,PIT,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NOR 13,3,7,Ben Roethlisberger pass incomplete short left intended for Vance McDonald,4.710,4.050
2,14:56,2,10,NOR 13,3,7,Jaylen Samuels left guard for 1 yard (tackle by David Onyemata),4.050,3.280
2,14:15,3,9,NOR 12,3,7,Ben Roethlisberger pass incomplete short right intended for JuJu Smith-Schuster,3.280,2.630
2,14:10,4,9,NOR 12,6,7,Chris Boswell 30 yard field goal good,2.630,3.000
2,14:05,,,PIT 35,6,7,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
2,14:05,1,10,NOR 25,6,7,Drew Brees pass complete deep left to Ted Ginn for 15 yards (tackle by Coty Sensabaugh),0.610,1.600
2,13:33,1,10,NOR 40,6,7,Mark Ingram right tackle for 2 yards (tackle by Tyson Alualu),1.600,1.320
2,12:58,2,8,NOR 42,6,7,Drew Brees pass incomplete short right intended for Josh Hill (defended by Coty Sensabaugh),1.320,0.630
2,12:54,3,8,NOR 42,6,7,Drew Brees pass complete short left to Michael Thomas for 20 yards (tackle by Terrell Edmunds),0.630,3.050
2,12:06,1,10,PIT 38,6,7,Drew Brees pass incomplete deep right intended for Michael Thomas (defended by Sean Davis),3.050,2.510
2,11:58,2,10,PIT 38,6,7,"Drew Brees pass incomplete deep middle intended for Ben Watson (defended by Morgan Burnett). Penalty on Morgan Burnett: Defensive Pass Interference, 22 yards (no play)",2.510,4.510
2,11:53,1,10,PIT 16,6,7,Mark Ingram right guard for 4 yards (tackle by Jonathan Bostic and Cameron Heyward),4.510,4.570
2,11:10,2,6,PIT 12,6,7,Drew Brees pass complete short middle to Alvin Kamara for 4 yards (tackle by Bud Dupree),4.570,4.620
2,10:27,3,2,PIT 8,6,13,"Alvin Kamara right guard for 8 yards, touchdown",4.620,7.000
2,10:22,,,PIT 15,6,14,Wil Lutz kicks extra point good,0.000,0.000
2,10:22,,,NOR 35,6,14,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,10:22,1,10,PIT 25,6,14,Ben Roethlisberger pass incomplete short right intended for Xavier Grimble,0.610,0.060
2,10:17,2,10,PIT 25,6,14,Ben Roethlisberger sacked by Alex Anzalone for -1 yards,0.060,-0.760
2,9:39,3,11,PIT 24,6,14,Ben Roethlisberger pass incomplete deep left intended for Antonio Brown,-0.760,-1.770
2,9:34,4,11,PIT 24,6,14,"Jordan Berry punts 41 yards, fair catch by Tommylee Lewis at NO-35",-1.770,-1.270
2,9:26,1,10,NOR 35,6,14,Drew Brees pass complete short left to Keith Kirkwood for 12 yards (tackle by Coty Sensabaugh),1.270,2.060
2,8:39,1,10,NOR 47,6,14,Drew Brees pass complete short right to Josh Hill for -4 yards (tackle by Mike Hilton),2.060,0.980
2,7:55,2,14,NOR 43,6,14,Drew Brees pass complete short left to Michael Thomas for 3 yards (tackle by Terrell Edmunds),0.980,0.700
2,7:11,3,11,NOR 46,6,14,Drew Brees pass incomplete deep right intended for Ted Ginn,0.700,-0.320
2,7:03,4,11,NOR 46,6,14,"Thomas Morstead punts 46 yards downed by Justin Hardee. Penalty on Justin Hardee: Illegal Touch Kick, 5 yards (no play)",-0.320,-0.650
2,6:51,4,16,NOR 41,6,14,Thomas Morstead punts 56 yards out of bounds,-0.650,0.380
2,6:44,1,10,PIT 3,6,14,Stevan Ridley right guard for 6 yards (tackle by Demario Davis),-0.380,-0.340
2,6:08,2,4,PIT 9,6,14,Jaylen Samuels right guard for 2 yards (tackle by Tyeler Davison),-0.340,-0.480
2,5:25,3,2,PIT 11,6,14,Ben Roethlisberger pass complete deep left to Antonio Brown for 28 yards (tackle by Marcus Williams),-0.480,1.530
2,4:48,1,10,PIT 39,6,14,Ben Roethlisberger pass incomplete deep right intended for JuJu Smith-Schuster,1.530,0.990
2,4:43,2,10,PIT 39,6,14,Ben Roethlisberger pass complete short left to Antonio Brown for 10 yards (tackle by A.J. Klein),0.990,2.190
2,4:09,1,10,PIT 49,6,14,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 3 yards (tackle by Eli Apple),2.190,2.050
2,3:26,2,7,NOR 48,6,14,Ben Roethlisberger pass complete short left to Antonio Brown for 10 yards (tackle by Marshon Lattimore),2.050,3.050
2,2:58,1,10,NOR 38,6,14,Jaylen Samuels right guard for 5 yards (tackle by P.J. Williams),3.050,3.180
2,2:23,2,5,NOR 33,6,14,Ben Roethlisberger sacked by Tyeler Davison for -6 yards,3.180,1.680
2,2:00,3,11,NOR 39,6,14,Ben Roethlisberger pass complete deep right to Antonio Brown for 16 yards (tackle by Demario Davis),1.680,4.040
2,1:25,1,10,NOR 23,6,14,Ben Roethlisberger pass incomplete short left intended for JuJu Smith-Schuster,4.040,3.500
2,1:23,2,10,NOR 23,6,14,Jaylen Samuels right guard for 1 yard (tackle by Alex Okafor and David Onyemata),3.500,2.940
2,1:19,,,,,,Timeout #2 by New Orleans Saints,,
2,1:19,3,9,NOR 22,6,14,"Ben Roethlisberger pass incomplete deep right intended for JuJu Smith-Schuster (defended by Eli Apple). Penalty on Eli Apple: Defensive Pass Interference, 20 yards (no play)",2.940,6.740
2,1:13,1,2,NOR 2,6,14,Ben Roethlisberger pass incomplete short right intended for Roosevelt Nix (defended by Cameron Jordan),6.740,5.720
2,1:08,2,2,NOR 2,6,14,Stevan Ridley left guard for -1 yards (tackle by Cameron Jordan),5.720,4.720
2,0:44,,,,,,Timeout #3 by New Orleans Saints,,
2,0:44,3,3,NOR 3,12,14,"Ben Roethlisberger pass complete short right to Jaylen Samuels for 3 yards, touchdown",4.720,7.000
2,0:40,,,NOR 2,14,14,"Two Point Attempt: Ben Roethlisberger pass complete to Eli Rogers, conversion succeeds",0.000,1.000
2,0:40,,,PIT 35,14,14,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
2,0:40,1,10,NOR 25,14,14,Drew Brees pass complete short right to Ted Ginn for 13 yards,0.610,1.470
2,0:35,1,10,NOR 38,14,14,Drew Brees pass complete short right to Ben Watson for 6 yards (tackle by Vince Williams),1.470,1.730
2,0:15,2,4,NOR 44,14,14,Drew Brees pass complete short left to Alvin Kamara for 31 yards (tackle by Sean Davis),1.730,3.910
2,0:07,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,0:07,1,10,PIT 25,14,17,Wil Lutz 43 yard field goal good. Penalty on Joe Haden: Defensive Offside (Declined),3.910,3.000
2,0:02,,,NOR 35,14,17,"Wil Lutz kicks off 48 yards, returned by Jaylen Samuels for no gain",0.000,-0.060
2,0:01,1,10,PIT 17,14,17,Ben Roethlisberger kneels for -1 yards,-0.060,-0.730
Quarter,Time,Down,ToGo,Location,PIT,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,14,17,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NOR 25,14,17,Mark Ingram right guard for -1 yards (tackle by Vince Williams and Stephon Tuitt),0.610,-0.070
3,14:20,2,11,NOR 24,14,17,Drew Brees pass complete short left to Alvin Kamara for 42 yards (tackle by Joe Haden),-0.070,3.310
3,13:45,1,10,PIT 34,14,17,Mark Ingram right guard for 2 yards (tackle by Vince Williams and Jonathan Bostic),3.310,3.040
3,13:10,2,8,PIT 32,14,17,Drew Brees pass complete short right to Michael Thomas for 5 yards (tackle by T.J. Watt and Cameron Heyward),3.040,3.010
3,12:28,3,3,PIT 27,14,17,Drew Brees pass complete short middle to Alvin Kamara for 5 yards (tackle by Mike Hilton),3.010,4.110
3,11:41,1,10,PIT 22,14,17,Drew Brees pass incomplete short right intended for Alvin Kamara (defended by Anthony Chickillo),4.110,3.560
3,11:35,2,10,PIT 22,14,17,Alvin Kamara right guard for 6 yards (tackle by Vince Williams),3.560,3.740
3,10:59,3,4,PIT 16,14,17,Drew Brees pass complete short right to Michael Thomas for 8 yards (tackle by Sean Davis),3.740,5.370
3,10:25,1,8,PIT 8,14,17,"Mark Ingram right end for 7 yards (tackle by Joe Haden). Mark Ingram fumbles, ball out of bounds at PIT-1 (forced by Joe Haden)",5.370,5.910
3,9:52,2,1,PIT 1,14,17,Mark Ingram left guard for no gain (tackle by Jonathan Bostic),5.910,5.170
3,9:16,3,1,PIT 1,14,23,"Alvin Kamara right guard for 1 yard, touchdown",5.170,7.000
3,9:13,,,PIT 15,14,24,Wil Lutz kicks extra point good,0.000,0.000
3,9:13,,,NOR 35,14,24,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,9:13,1,10,PIT 25,14,24,"Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 14 yards (tackle by P.J. Williams). Penalty on Maurkice Pouncey: Ineligible Downfield Pass, 5 yards (no play)",0.610,0.280
3,8:47,1,15,PIT 20,14,24,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 12 yards (tackle by Alex Anzalone and Vonn Bell),0.280,1.010
3,8:04,2,3,PIT 32,14,24,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 23 yards (tackle by Chris Banjo),1.010,2.590
3,7:18,1,10,NOR 45,14,24,Ben Roethlisberger pass complete short right to Antonio Brown for 17 yards (tackle by P.J. Williams),2.590,3.710
3,6:29,1,10,NOR 28,14,24,Ben Roethlisberger pass incomplete short right intended for Antonio Brown,3.710,3.170
3,6:25,2,10,NOR 28,14,24,Ben Roethlisberger pass complete short right to Antonio Brown for 12 yards (tackle by Marshon Lattimore),3.170,4.510
3,5:49,1,10,NOR 16,14,24,Ben Roethlisberger pass complete short middle to Ryan Switzer for 13 yards (tackle by Marshon Lattimore),4.510,6.510
3,5:04,1,3,NOR 3,14,24,Ben Roethlisberger pass incomplete short left intended for Antonio Brown,6.510,5.530
3,4:59,2,3,NOR 3,14,24,Ben Roethlisberger pass incomplete short right intended for Vance McDonald,5.530,4.720
3,4:53,3,3,NOR 3,20,24,"Ben Roethlisberger pass complete short left to Antonio Brown for 3 yards, touchdown",4.720,7.000
3,4:48,,,NOR 15,21,24,Chris Boswell kicks extra point good,0.000,0.000
3,4:48,,,PIT 35,21,24,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
3,4:48,1,10,NOR 25,21,24,Drew Brees pass complete short left to Tre'Quan Smith for 11 yards (tackle by Terrell Edmunds),0.610,1.330
3,4:15,1,10,NOR 36,21,24,Drew Brees sacked by T.J. Watt for -6 yards,1.330,-0.020
3,3:33,2,16,NOR 30,21,24,Drew Brees pass incomplete short right intended for Mark Ingram (defended by T.J. Watt),-0.020,-0.690
3,3:21,3,16,NOR 30,21,24,Drew Brees sacked by Stephon Tuitt for -7 yards,-0.690,-1.830
3,2:45,4,23,NOR 23,21,24,"Thomas Morstead punts 43 yards, fair catch by Ryan Switzer at PIT-34",-1.830,-1.200
3,2:38,1,10,PIT 34,21,24,Ben Roethlisberger pass complete deep right to Antonio Brown for 26 yards (tackle by Vonn Bell),1.200,2.920
3,2:00,1,10,NOR 40,21,24,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 20 yards (tackle by Eli Apple),2.920,4.240
3,1:12,1,10,NOR 20,21,24,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown,4.240,3.690
3,1:05,,,,,,Timeout #1 by Pittsburgh Steelers,,
3,1:05,2,10,NOR 20,27,24,"Ben Roethlisberger pass complete deep left to Antonio Brown for 20 yards, touchdown",3.690,7.000
3,1:02,,,NOR 15,28,24,Chris Boswell kicks extra point good,0.000,0.000
3,1:02,,,PIT 35,28,24,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
3,1:02,1,10,NOR 25,28,24,Alvin Kamara right guard for 1 yard (tackle by Mike Hilton),0.610,0.200
3,0:24,2,9,NOR 26,28,24,Drew Brees pass complete short middle to Michael Thomas for 7 yards (tackle by Sean Davis),0.200,0.430
Quarter,Time,Down,ToGo,Location,PIT,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,2,NOR 33,28,24,Drew Brees pass incomplete deep right intended for Keith Kirkwood (defended by Morgan Burnett),0.430,-1.180
4,14:56,4,2,NOR 33,28,24,"Thomas Morstead punts 42 yards, fair catch by Ryan Switzer at PIT-25",-1.180,-0.610
4,14:49,1,10,PIT 25,28,24,Jaylen Samuels left guard for 7 yards (tackle by Eli Apple),0.610,1.010
4,14:10,2,3,PIT 32,28,24,Jaylen Samuels right guard for 4 yards (tackle by Alex Okafor and Eli Apple),1.010,1.330
4,13:28,1,10,PIT 36,28,24,Jaylen Samuels right tackle for 9 yards (tackle by Eli Apple),1.330,2.010
4,12:56,2,1,PIT 45,28,24,Ben Roethlisberger pass complete short left to Eli Rogers for 2 yards (tackle by Vonn Bell),2.010,2.060
4,12:16,1,10,PIT 47,28,24,Ben Roethlisberger pass complete short left to Antonio Brown for 11 yards,2.060,2.790
4,11:46,1,10,NOR 42,28,24,Ben Roethlisberger pass complete short left to Jaylen Samuels for 7 yards (tackle by Vonn Bell and Marcus Davenport),2.790,3.190
4,11:02,2,3,NOR 35,28,24,Jaylen Samuels right guard for 1 yard (tackle by David Onyemata),3.190,2.610
4,10:21,3,2,NOR 34,28,24,"Stevan Ridley right guard for -1 yards (tackle by Kurt Coleman and Cameron Jordan). Stevan Ridley fumbles (forced by Kurt Coleman), recovered by Alex Okafor at NO-35",2.610,-1.270
4,10:12,1,10,NOR 35,28,24,"Penalty on Ted Ginn: False Start, 5 yards (no play)",1.270,0.940
4,10:12,1,15,NOR 30,28,24,Drew Brees pass complete short left to Ted Ginn for 14 yards,0.940,1.940
4,9:41,2,1,NOR 44,28,24,Alvin Kamara left tackle for 2 yards (tackle by Sean Davis),1.940,1.990
4,9:02,1,10,NOR 46,28,24,Drew Brees pass complete short right to Keith Kirkwood for 23 yards (tackle by Mike Hilton),1.990,3.510
4,8:16,1,10,PIT 31,28,24,Alvin Kamara left guard for 1 yard (tackle by T.J. Watt),3.510,3.100
4,7:37,2,9,PIT 30,28,24,"Drew Brees pass complete short left to Michael Thomas for 17 yards (tackle by L.J. Fort and Terrell Edmunds). Penalty on Andrus Peat: Offensive Holding, 10 yards (no play)",3.100,1.750
4,7:09,2,19,PIT 40,28,24,Drew Brees pass complete short left to Mark Ingram for 8 yards (tackle by Mike Hilton),1.750,2.150
4,6:22,3,11,PIT 32,28,24,Drew Brees pass incomplete short right intended for Ben Watson,2.150,1.240
4,6:17,4,11,PIT 32,28,24,"Wil Lutz 50 yard field goal no good blocked by L.J. Fort, recovered by L.J. Fort",1.240,-1.400
4,6:13,1,10,PIT 37,28,24,Ben Roethlisberger pass complete short left to Antonio Brown for 5 yards (tackle by Marshon Lattimore),1.400,1.530
4,5:41,2,5,PIT 42,28,24,Ben Roethlisberger sacked by Demario Davis for -9 yards,1.530,-0.360
4,4:57,3,14,PIT 33,28,24,Ben Roethlisberger pass complete short middle to Antonio Brown for 9 yards (tackle by P.J. Williams),-0.360,-0.590
4,4:11,4,5,PIT 42,28,24,Roosevelt Nix left guard for no gain (tackle by Craig Robertson and Chris Banjo),-0.590,-2.520
4,4:06,1,10,PIT 46,28,24,Drew Brees pass complete short right to Josh Hill for 5 yards (tackle by Morgan Burnett),2.520,2.650
4,3:29,2,5,PIT 41,28,24,Drew Brees pass complete short left to Ted Ginn for 7 yards (tackle by Mike Hilton),2.650,3.310
4,2:49,1,10,PIT 34,28,24,Drew Brees pass incomplete deep right intended for Alvin Kamara,3.310,2.770
4,2:44,2,10,PIT 34,28,24,Drew Brees pass incomplete short right,2.770,2.080
4,2:36,3,10,PIT 34,28,24,Drew Brees pass complete short right to Michael Thomas for 8 yards (tackle by Joe Haden),2.080,1.860
4,2:00,4,2,PIT 26,28,24,"Drew Brees pass incomplete short left intended for Michael Thomas (defended by Joe Haden). Penalty on Joe Haden: Defensive Pass Interference, 4 yards (no play)",1.860,4.110
4,1:56,1,10,PIT 22,28,24,"Alvin Kamara left tackle for no gain (tackle by Cameron Heyward and L.J. Fort). Penalty on Ryan Ramczyk: Offensive Holding, 10 yards (no play)",4.110,3.450
4,1:51,1,20,PIT 32,28,24,Drew Brees pass incomplete deep left intended for Ted Ginn (defended by Coty Sensabaugh),3.450,2.210
4,1:46,2,20,PIT 32,28,24,Drew Brees pass incomplete deep left intended for Keith Kirkwood,2.210,1.550
4,1:41,3,20,PIT 32,28,24,Drew Brees pass complete deep middle to Ted Ginn for 25 yards (tackle by Sean Davis),1.550,5.600
4,1:33,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,1:33,1,7,PIT 7,28,24,Drew Brees pass complete short left to Michael Thomas for 5 yards (tackle by Joe Haden),5.600,5.720
4,1:28,,,,,,Timeout #3 by Pittsburgh Steelers,,
4,1:28,2,2,PIT 2,28,30,"Drew Brees pass complete short right to Michael Thomas for 2 yards, touchdown",5.720,7.000
4,1:25,,,PIT 15,28,31,Wil Lutz kicks extra point good,0.000,0.000
4,1:25,,,NOR 35,28,31,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,1:25,1,10,PIT 25,28,31,"Penalty on Antonio Brown: False Start, 5 yards (no play)",0.610,0.280
4,1:25,1,15,PIT 20,28,31,Ben Roethlisberger pass incomplete deep right intended for James Washington,0.280,-0.610
4,1:20,2,15,PIT 20,28,31,Ben Roethlisberger pass incomplete short right intended for JuJu Smith-Schuster,-0.610,-1.290
4,1:14,3,15,PIT 20,28,31,Ben Roethlisberger pass incomplete deep right intended for James Washington,-1.290,-2.030
4,1:09,4,15,PIT 20,28,31,Ben Roethlisberger pass complete deep left to Antonio Brown for 19 yards (tackle by Marshon Lattimore),-2.030,1.530
4,1:02,1,10,PIT 39,28,31,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 14 yards (tackle by Eli Apple),1.530,2.460
4,0:46,1,10,NOR 47,28,31,Ben Roethlisberger spiked the ball,2.460,1.910
4,0:45,2,10,NOR 47,28,31,"Ben Roethlisberger pass incomplete deep right intended for Vance McDonald. Penalty on Alex Anzalone: Illegal Contact, 5 yards (no play)",1.910,2.790
4,0:41,1,10,NOR 42,28,31,"Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 7 yards (tackle by Sheldon Rankins). JuJu Smith-Schuster fumbles (forced by Sheldon Rankins), recovered by Demario Davis at NO-35 (tackle by Ramon Foster). Penalty on Cameron Jordan: Unnecessary Roughness, 15 yards",2.790,-0.280
4,0:32,1,10,NOR 20,28,31,Drew Brees kneels for -1 yards Penalty on PIT: Defensive Too Many Men on Field (Declined),0.280,-0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
