Quarter,Time,Down,ToGo,Location,JAX,SFO,Detail,EPB,EPA
2,10:56,1,10,JAX 36,0,3,Alex Smith pass incomplete deep middle intended for Vernon Davis (defended by Sean Considine),3.180,2.640
2,10:51,2,10,JAX 36,0,3,Alex Smith pass incomplete short right intended for Frank Gore,2.640,1.950
2,10:44,3,10,JAX 36,0,3,Alex Smith pass complete deep middle to Michael Crabtree for 27 yards (tackle by Anthony Smith),1.950,5.140
2,9:59,1,9,JAX 9,0,3,Alex Smith pass complete short middle to Josh Morgan for 6 yards (tackle by Sean Considine),5.140,5.530
2,9:09,2,3,JAX 3,0,3,Alex Smith pass incomplete short right intended for Frank Gore,5.530,4.720
2,9:02,3,3,JAX 3,0,9,"Alex Smith pass complete short left to Vernon Davis for 3 yards, touchdown",4.720,7.000
2,,,,JAX 2,0,10,Joe Nedney kicks extra point good,0.000,0.000
2,,,,SFO 30,0,10,"Joe Nedney kicks off 68 yards, returned by Brian Witherspoon for 20 yards (tackle by Scott McKillop)",0.000,0.410
2,8:52,1,10,JAX 22,0,10,Maurice Jones-Drew middle for 4 yards (tackle by Takeo Spikes),0.410,0.410
2,8:17,2,6,JAX 26,0,10,David Garrard pass incomplete short right intended for Mike Sims-Walker (defended by Manny Lawson),0.410,-0.290
2,8:10,3,6,JAX 26,0,10,David Garrard pass incomplete short left intended for Mike Sims-Walker,-0.290,-1.630
2,8:07,4,6,JAX 26,0,10,"Adam Podlesh punts 46 yards, returned by Brandon Jones for 6 yards (tackle by Russell Allen)",-1.630,-1.200
2,7:57,1,10,SFO 34,0,10,Alex Smith pass incomplete short left intended for Michael Crabtree (defended by Montavious Stanley),1.200,0.660
2,7:53,2,10,SFO 34,0,10,Alex Smith pass incomplete short left intended for Vernon Davis,0.660,-0.030
2,7:49,3,10,SFO 34,0,10,Alex Smith pass complete short left to Josh Morgan for 6 yards (tackle by Daryl Smith),-0.030,-0.720
2,7:17,4,4,SFO 40,0,10,"Andy Lee punts 45 yards. Penalty on Tarell Brown: Illegal Touch Kick, 5 yards",-0.720,-0.280
2,7:07,1,10,JAX 20,0,10,Maurice Jones-Drew middle for 6 yards (tackle by Kentwan Balmer and Takeo Spikes),0.280,0.540
2,6:31,2,4,JAX 26,0,10,"Maurice Jones-Drew right guard for 2 yards (tackle by Kentwan Balmer). Penalty on Brad Meester: Offensive Holding, 10 yards (no play)",0.540,-0.940
2,5:55,2,14,JAX 16,0,10,David Garrard pass complete short middle to Marcedes Lewis for 6 yards (tackle by Patrick Willis),-0.940,-0.690
2,5:09,3,8,JAX 22,0,10,"David Garrard pass complete short right to Mike Sims-Walker for 8 yards (tackle by Tarell Brown). Penalty on Mike Sims-Walker: Offensive Pass Interfere, 10 yards (no play)",-0.690,-2.360
2,4:41,3,18,JAX 12,0,10,David Garrard pass complete short left to Rashad Jennings for 12 yards (tackle by Patrick Willis and Parys Haralson),-2.360,-1.770
2,4:11,4,6,JAX 24,0,10,"Adam Podlesh punts 48 yards, returned by Brandon Jones for 13 yards (tackle by Montell Owens)",-1.770,-1.660
2,3:58,1,10,SFO 41,0,10,Alex Smith pass complete short right to Josh Morgan for 3 yards (tackle by Tyron Brackenridge),1.660,1.530
2,3:24,2,7,SFO 44,0,10,Alex Smith middle for 10 yards (tackle by Clint Ingram),1.530,2.520
2,2:54,1,10,JAX 46,0,10,Frank Gore right tackle for no gain (tackle by Russell Allen and John Henderson),2.520,1.980
2,2:09,2,10,JAX 46,0,10,Alex Smith pass incomplete short left intended for Josh Morgan (defended by Tyron Brackenridge),1.980,1.290
2,2:04,3,10,JAX 46,0,10,Alex Smith pass complete short left to Josh Morgan for 9 yards (tackle by Reggie Nelson),1.290,0.790
2,1:58,4,1,JAX 37,0,10,Alex Smith pass complete deep left to Vernon Davis for 30 yards (tackle by Clint Ingram),0.790,5.600
2,1:10,,,,0,10,Timeout #1 by San Francisco 49ers,0.000,5.600
2,1:10,1,7,JAX 7,0,10,Alex Smith pass incomplete short middle intended for Josh Morgan,5.600,4.760
2,1:06,2,7,JAX 7,0,10,Frank Gore middle for 3 yards (tackle by Derrick Harvey),4.760,4.490
2,1:00,,,,0,10,Timeout #1 by Jacksonville Jaguars,0.000,4.490
2,1:00,3,4,JAX 4,0,16,"Alex Smith pass complete short right to Frank Gore for 4 yards, touchdown",4.490,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,,,,JAX 2,0,17,Joe Nedney kicks extra point good,0.000,0.000
2,,,,SFO 30,0,17,"Joe Nedney kicks off 67 yards, returned by Brian Witherspoon for 25 yards (tackle by Keith Smith)",0.000,0.810
2,0:46,1,10,JAX 28,0,17,David Garrard pass complete short middle to Mike Sims-Walker for 16 yards (tackle by Dashon Goldson),0.810,1.860
2,0:26,1,10,JAX 44,0,17,David Garrard pass complete short right to Mike Sims-Walker for 8 yards (tackle by Tarell Brown),1.860,2.400
2,0:17,,,,0,17,Timeout #2 by Jacksonville Jaguars,0.000,2.400
2,0:17,2,2,SFO 48,0,17,David Garrard pass complete deep right to Mike Sims-Walker for 18 yards (tackle by Tarell Brown),2.400,3.580
2,0:11,1,10,SFO 30,0,17,David Garrard pass complete deep middle to Torry Holt for 16 yards (tackle by Dashon Goldson),3.580,4.650
2,0:04,,,,0,17,Timeout #3 by Jacksonville Jaguars,0.000,0.000
2,0:04,,,,0,17,Timeout #2 by San Francisco 49ers,0.000,4.650
2,0:04,1,10,SFO 14,3,17,Josh Scobee 32 yard field goal good,4.650,3.000
Quarter,Time,Down,ToGo,Location,JAX,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 30,,,"Joe Nedney kicks off 57 yards, returned by Brian Witherspoon for 11 yards (tackle by Matt Wilhelm)",,
3,14:56,1,10,JAX 24,3,17,David Garrard pass complete deep left to Ernest Wilford for 30 yards (tackle by Dashon Goldson),0.540,2.520
3,14:15,1,10,SFO 46,3,17,David Garrard pass complete short right to Mike Thomas for 12 yards (tackle by Dre' Bly),2.520,3.310
3,13:43,1,10,SFO 34,3,17,David Garrard pass complete short left to Mike Thomas for 19 yards (tackle by Patrick Willis),3.310,4.580
3,13:11,1,10,SFO 15,3,17,David Garrard pass complete short left to Maurice Jones-Drew for -2 yards (tackle by Aubrayo Franklin),4.580,3.680
3,12:30,2,12,SFO 17,3,17,"David Garrard sacked by Manny Lawson for -7 yards. David Garrard fumbles (forced by Manny Lawson), recovered by Justin Smith at SFO-27 (tackle by Eben Britton)",3.680,-0.740
3,12:22,1,10,SFO 27,3,17,Alex Smith pass complete short left to Delanie Walker for 22 yards (tackle by Reggie Nelson),0.740,2.190
3,11:50,1,10,SFO 49,3,17,Alex Smith pass complete short middle to Delanie Walker for 9 yards (tackle by Clint Ingram),2.190,2.860
3,11:05,2,1,JAX 42,3,17,Frank Gore right end for 1 yard (tackle by Derrick Harvey),2.860,2.850
3,10:20,1,10,JAX 41,3,17,Frank Gore middle for 4 yards (tackle by Derrick Harvey),2.850,2.850
3,9:35,2,6,JAX 37,3,17,Alex Smith pass incomplete short right intended for Michael Crabtree,2.850,2.150
3,9:29,3,6,JAX 37,3,17,Alex Smith pass complete short right to Michael Crabtree for 20 yards (tackle by Gerald Alexander),2.150,4.440
3,8:42,1,10,JAX 17,3,17,Alex Smith pass complete short right to Delanie Walker for no gain,4.440,3.850
3,7:56,2,10,JAX 17,3,17,Alex Smith pass incomplete deep left intended for Michael Crabtree,3.850,3.070
3,7:48,3,10,JAX 17,3,17,Alex Smith pass complete short left to Josh Morgan for 8 yards (tackle by Sean Considine and Derek Cox),3.070,2.950
3,7:29,4,2,JAX 9,3,20,Joe Nedney 27 yard field goal good,2.950,3.000
3,,,,SFO 30,3,20,"Joe Nedney kicks off 65 yards, returned by Brian Witherspoon for 5 yards (tackle by Keith Smith)",0.000,-0.380
3,7:17,1,10,JAX 10,3,20,Maurice Jones-Drew middle for 3 yards (tackle by Demetric Evans and Patrick Willis),-0.380,-0.560
3,6:40,2,7,JAX 13,3,20,David Garrard pass complete deep right to Marcedes Lewis for 22 yards (tackle by Patrick Willis),-0.560,1.270
3,5:59,1,10,JAX 35,3,20,David Garrard pass incomplete short middle intended for Torry Holt,1.270,0.720
3,5:53,2,10,JAX 35,3,20,David Garrard sacked by Demetric Evans and Patrick Willis for -2 yards,0.720,-0.230
3,5:18,3,12,JAX 33,3,20,David Garrard pass complete short middle to Torry Holt for 15 yards (tackle by Shawntae Spencer),-0.230,2.130
3,4:40,1,10,JAX 48,3,20,Maurice Jones-Drew left guard for 9 yards (tackle by Michael Lewis),2.130,2.800
3,4:02,2,1,SFO 43,3,20,Maurice Jones-Drew middle for 6 yards (tackle by Takeo Spikes),2.800,3.120
3,3:20,1,10,SFO 37,3,20,David Garrard left end for 5 yards (tackle by Isaac Sopoaga and Aubrayo Franklin),3.120,3.250
3,2:36,2,5,SFO 32,3,20,David Garrard pass incomplete deep middle intended for Marcedes Lewis (defended by Takeo Spikes),3.250,2.540
3,2:28,3,5,SFO 32,3,20,David Garrard pass complete short middle to Zach Miller for 10 yards (tackle by Dashon Goldson),2.540,4.110
3,1:50,1,10,SFO 22,3,20,Maurice Jones-Drew middle for 9 yards (tackle by Shawntae Spencer),4.110,5.060
3,1:11,2,1,SFO 13,3,20,Maurice Jones-Drew right guard for no gain (tackle by Justin Smith and Dashon Goldson),5.060,4.390
3,0:30,3,1,SFO 13,3,20,Maurice Jones-Drew middle for -1 yards (tackle by Patrick Willis),4.390,2.630
Quarter,Time,Down,ToGo,Location,JAX,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,2,SFO 14,3,20,"David Garrard sacked by Justin Smith and Parys Haralson for -12 yards. David Garrard fumbles (forced by Justin Smith), recovered by Ray McDonald at SFO-34 (tackle by Maurice Jones-Drew)",2.630,-1.200
4,14:52,1,10,SFO 34,3,20,Frank Gore right tackle for 3 yards (tackle by Clint Ingram),1.200,1.060
4,14:01,2,7,SFO 37,3,20,Alex Smith pass incomplete short right intended for Delanie Walker (defended by Tyron Brackenridge),1.060,0.370
4,13:55,3,7,SFO 37,3,20,Alex Smith pass complete short right to Frank Gore for -1 yards (tackle by Quentin Groves),0.370,-0.980
4,13:15,4,8,SFO 36,3,20,"Andy Lee punts 42 yards, fair catch by Brian Witherspoon",-0.980,-0.410
4,13:05,1,10,JAX 22,3,20,David Garrard pass incomplete short right intended for Marcedes Lewis,0.410,-0.130
4,13:01,2,10,JAX 22,3,20,"David Garrard for 18 yards (tackle by Justin Smith). Penalty on Marcedes Lewis: Offensive Holding, 10 yards (no play)",-0.130,-1.510
4,12:35,2,20,JAX 12,3,20,Maurice Jones-Drew middle for 12 yards (tackle by Patrick Willis and Dashon Goldson),-1.510,-0.560
4,11:58,3,8,JAX 24,3,20,David Garrard right end for 5 yards (tackle by Patrick Willis),-0.560,-1.440
4,11:34,4,3,JAX 29,3,20,David Garrard pass complete short right to Maurice Jones-Drew for 13 yards (tackle by Shawntae Spencer),-1.440,1.730
4,10:57,1,10,JAX 42,3,20,David Garrard pass complete deep middle to Mike Thomas for 25 yards (tackle by Mark Roman),1.730,3.380
4,10:25,1,10,SFO 33,3,20,Rashad Jennings middle for 8 yards (tackle by Takeo Spikes),3.380,3.920
4,9:55,2,2,SFO 25,3,20,Rashad Jennings middle for 3 yards (tackle by Patrick Willis and Mark Roman),3.920,4.110
4,9:23,1,10,SFO 22,3,20,Maurice Jones-Drew left end for 9 yards (tackle by Shawntae Spencer),4.110,5.060
4,8:50,2,1,SFO 13,3,20,Maurice Jones-Drew right guard for 6 yards (tackle by Ahmad Brooks and Mark Roman),5.060,5.600
4,8:21,1,7,SFO 7,3,20,Maurice Jones-Drew left guard for 4 yards (tackle by Takeo Spikes),5.600,5.530
4,7:43,2,3,SFO 3,3,20,David Garrard pass incomplete short right intended for Mike Sims-Walker (defended by Tarell Brown),5.530,4.720
4,7:43,,,,3,20,Timeout #1 by San Francisco 49ers,0.000,4.720
4,7:43,3,3,SFO 3,3,20,David Garrard pass incomplete short left intended for Torry Holt,4.720,3.040
4,7:39,4,3,SFO 3,3,20,Josh Scobee 21 yard field goal no good,3.040,-0.280
4,7:36,1,10,SFO 20,3,20,Frank Gore left tackle for 1 yard (tackle by Justin Durant),0.280,-0.130
4,6:56,2,9,SFO 21,3,20,Alex Smith pass complete short left to Vernon Davis for 8 yards (tackle by Daryl Smith and Derek Cox),-0.130,0.230
4,6:07,3,1,SFO 29,3,20,Frank Gore right guard for 2 yards (tackle by Justin Durant and Derrick Harvey),0.230,1.000
4,5:19,1,10,SFO 31,3,20,Alex Smith pass complete short left to Frank Gore for -2 yards (tackle by Justin Durant),1.000,0.190
4,4:34,2,12,SFO 29,3,20,Frank Gore middle for -4 yards (tackle by Russell Allen),0.190,-1.020
4,4:28,,,,3,20,Timeout #1 by Jacksonville Jaguars,0.000,-1.020
4,4:28,3,16,SFO 25,3,20,Alex Smith pass complete short right to Michael Crabtree for -1 yards (tackle by Tyron Brackenridge),-1.020,-1.770
4,4:21,,,,3,20,Timeout #2 by Jacksonville Jaguars,0.000,-1.770
4,4:21,4,17,SFO 24,3,20,"Andy Lee punts 59 yards, returned by Brian Witherspoon for 19 yards (tackle by Reggie Smith)",-1.770,-1.330
4,4:07,1,10,JAX 36,3,20,David Garrard pass incomplete short right intended for Mike Sims-Walker,1.330,0.790
4,3:57,2,10,JAX 36,3,20,David Garrard sacked by Parys Haralson for -2 yards,0.790,-0.160
4,3:42,3,12,JAX 34,3,20,David Garrard pass complete short right to Rashad Jennings for 13 yards (tackle by Michael Lewis),-0.160,2.060
4,3:16,1,10,JAX 47,3,20,David Garrard pass complete short right to Mike Sims-Walker for 4 yards (tackle by Tarell Brown),2.060,2.060
4,3:12,2,6,SFO 49,3,20,David Garrard sacked by Takeo Spikes for -5 yards,2.060,0.700
4,2:56,3,11,JAX 46,3,20,David Garrard pass incomplete short left intended for Torry Holt,0.700,-0.320
4,2:52,4,11,JAX 46,3,20,David Garrard sacked by Justin Smith for -7 yards,-0.320,-2.980
4,2:48,1,10,JAX 39,3,20,Frank Gore right guard for 1 yard (tackle by Justin Durant),2.980,2.580
4,2:42,,,,3,20,Timeout #3 by Jacksonville Jaguars,0.000,2.580
4,2:42,2,9,JAX 38,3,20,Frank Gore right end for 6 yards (tackle by Daryl Smith),2.580,2.680
4,2:00,3,3,JAX 32,3,20,Frank Gore right guard for 6 yards (tackle by Justin Durant and Daryl Smith),2.680,3.840
4,1:16,1,10,JAX 26,3,20,Alex Smith kneels for -1 yards,3.840,3.160
4,0:34,2,11,JAX 27,3,20,Alex Smith kneels for -1 yards,3.160,2.350
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
