Quarter,Time,Down,ToGo,Location,MIA,KAN,Detail,EPB,EPA
3,14:20,2,6,MIA 24,14,3,Reggie Bush up the middle for 2 yards (tackle by Kelly Gregg),0.270,-0.160
3,13:38,3,4,MIA 26,14,3,Matt Moore pass incomplete short middle intended for Anthony Fasano (defended by Donald Washington),-0.160,-1.630
3,13:33,4,4,MIA 26,14,3,"Brandon Fields punts 41 yards, returned by Dexter McCluster for 22 yards (tackle by Brandon Fields)",-1.630,-2.590
3,13:21,1,10,MIA 45,14,3,Jackie Battle right tackle for 6 yards (tackle by Karlos Dansby),2.590,2.850
3,12:44,2,4,MIA 39,14,3,Jackie Battle right end for -1 yards (tackle by Kevin Burnett),2.850,2.010
3,12:03,3,5,MIA 40,14,3,"Matt Cassel pass incomplete short left intended for Steve Breaston (defended by Jimmy Wilson). Penalty on Jimmy Wilson: Defensive Pass Interference, 7 yards (no play)",2.010,3.380
3,11:59,1,10,MIA 33,14,3,Jackie Battle right end for -2 yards (tackle by Kevin Burnett),3.380,2.570
3,11:21,2,12,MIA 35,14,3,Matt Cassel sacked by Kevin Burnett for -7 yards,2.570,0.960
3,10:47,3,19,MIA 42,14,3,Matt Cassel pass complete short middle to Dexter McCluster for 8 yards (tackle by Will Allen),0.960,1.060
3,10:05,4,11,MIA 34,14,3,"Dustin Colquitt for -3 yards (tackle by Igor Olshansky). Dustin Colquitt fumbles (forced by Igor Olshansky), recovered by Jon Asamoah at MIA-37",1.060,-1.530
3,9:55,1,10,MIA 39,14,3,Matt Moore pass complete short left to Brandon Marshall for 5 yards (tackle by Brandon Carr),1.530,1.660
3,9:18,2,5,MIA 44,14,3,Matt Moore pass incomplete short right intended for Brandon Marshall,1.660,0.960
3,9:13,3,5,MIA 44,14,3,"Matt Moore pass complete deep right to Reggie Bush for 27 yards (tackle by Sabby Piscitelli). Penalty on Tamba Hali: Unnecessary Roughness, 15 yards",0.960,4.650
3,8:43,1,10,KAN 14,20,3,"Matt Moore pass complete short left to Brandon Marshall for 14 yards, touchdown",4.650,7.000
3,,,,KAN 2,21,3,Dan Carpenter kicks extra point good,0.000,0.000
3,,,,MIA 35,21,3,"Dan Carpenter kicks off 59 yards, returned by Terrance Copper for 12 yards (tackle by Reshad Jones)",0.000,0.040
3,8:32,1,10,KAN 18,21,3,Matt Cassel pass complete short left to Steve Breaston for 8 yards (tackle by Tyrone Culver),0.040,0.680
3,7:55,2,2,KAN 26,21,3,Matt Cassel pass incomplete short right intended for Leonard Pope,0.680,-0.140
3,7:51,3,2,KAN 26,21,3,Matt Cassel pass incomplete deep middle intended for Steve Breaston,-0.140,-1.630
3,7:44,4,2,KAN 26,21,3,"Dustin Colquitt punts 35 yards, returned by Davone Bess for 15 yards (tackle by Justin Houston)",-1.630,-2.520
3,7:33,1,10,KAN 46,21,3,Reggie Bush up the middle for 18 yards (tackle by Kendrick Lewis),2.520,3.710
3,6:49,1,10,KAN 28,27,3,"Reggie Bush right end for 28 yards, touchdown",3.710,7.000
3,,,,KAN 2,28,3,Dan Carpenter kicks extra point good,0.000,0.000
3,,,,MIA 35,28,3,"Dan Carpenter kicks off 68 yards, touchback",0.000,0.280
3,6:41,1,10,KAN 20,28,3,"Matt Cassel for no gain. Matt Cassel fumbles, recovered by Jake O'Connell at KAN-17",0.280,-0.790
3,6:02,2,13,KAN 17,28,3,Matt Cassel up the middle for 2 yards (tackle by Cameron Wake),-0.790,-1.140
3,5:29,3,11,KAN 19,28,3,Matt Cassel pass incomplete deep middle intended for Steve Breaston. Penalty on Jake O'Connell: Offensive Holding (Declined),-1.140,-2.140
3,5:24,4,11,KAN 19,28,3,"Dustin Colquitt punts 57 yards, returned by Davone Bess for 13 yards (tackle by Cory Greenwood)",-2.140,-1.400
3,5:13,1,10,MIA 37,28,3,Daniel Thomas up the middle for 3 yards (tackle by Tamba Hali),1.400,1.260
3,4:36,2,7,MIA 40,28,3,Reggie Bush left guard for 4 yards (tackle by Jovan Belcher),1.260,1.090
3,3:54,3,3,MIA 44,28,3,Daniel Thomas up the middle for 1 yard (tackle by Derrick O. Johnson),1.090,-0.390
3,3:13,4,2,MIA 45,28,3,"Brandon Fields punts 55 yards, touchback",-0.390,-0.280
3,3:05,1,10,KAN 20,28,3,"Matt Cassel pass complete deep right to Dwayne Bowe for 28 yards (tackle by Yeremiah Bell). Penalty on Yeremiah Bell: Personal Foul, 15 yards (no play)",0.280,1.270
3,3:05,1,10,KAN 35,28,3,Dexter McCluster left guard for 4 yards (tackle by Karlos Dansby),1.270,1.260
3,2:20,2,6,KAN 39,28,3,Matt Cassel pass incomplete short middle intended for Dwayne Bowe,1.260,0.560
3,2:13,3,6,KAN 39,28,3,Matt Cassel pass complete short left to Steve Breaston for 37 yards (tackle by Reshad Jones),0.560,3.970
3,1:52,1,10,MIA 24,28,3,Matt Cassel left end for 6 yards (tackle by Reshad Jones),3.970,4.290
3,1:31,2,4,MIA 18,28,3,Dexter McCluster left tackle for 6 yards (tackle by Kevin Burnett),4.290,4.780
3,1:02,1,10,MIA 12,28,3,Matt Cassel pass complete short right to Dwayne Bowe for 8 yards (tackle by Yeremiah Bell),4.780,5.600
3,0:19,2,2,MIA 4,28,3,Matt Cassel pass incomplete short right intended for Jonathan Baldwin,5.600,4.840
3,0:16,3,2,MIA 4,28,3,Dexter McCluster right tackle for 1 yard (tackle by Marvin Mitchell),4.840,3.060
Quarter,Time,Down,ToGo,Location,MIA,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,1,MIA 3,28,3,Matt Cassel pass incomplete short right intended for Dwayne Bowe,3.060,0.380
4,14:57,1,10,MIA 3,28,3,Reggie Bush up the middle for 3 yards (tackle by Amon Gordon),-0.380,-0.560
4,14:22,2,7,MIA 6,28,3,"Reggie Bush left tackle for 2 yards (tackle by Jovan Belcher). Penalty on Donald Washington: Unnecessary Roughness, 15 yards",-0.560,0.480
4,13:50,1,10,MIA 23,28,3,Matt Moore pass complete short right to Brandon Marshall for 13 yards (tackle by Brandon Flowers),0.480,1.330
4,13:25,1,10,MIA 36,28,3,Matt Moore pass complete short left to Brandon Marshall for 6 yards (tackle by Brandon Carr),1.330,1.600
4,12:47,2,4,MIA 42,28,3,Reggie Bush left end for 16 yards (tackle by Kendrick Lewis),1.600,2.790
4,11:58,1,10,KAN 42,28,3,Daniel Thomas up the middle for 3 yards (tackle by Derrick O. Johnson),2.790,2.650
4,11:13,2,7,KAN 39,28,3,Daniel Thomas up the middle for 1 yard (tackle by Kelly Gregg),2.650,2.080
4,10:27,3,6,KAN 38,28,3,Matt Moore pass complete short left to Brandon Marshall for 12 yards (tackle by Brandon Carr),2.080,3.840
4,9:42,1,10,KAN 26,28,3,Reggie Bush right guard for 4 yards (tackle by Kelly Gregg),3.840,3.840
4,8:58,2,6,KAN 22,28,3,Daniel Thomas up the middle for -2 yards (tackle by Derrick O. Johnson),3.840,2.870
4,8:16,3,8,KAN 24,28,3,Matt Moore pass incomplete short left intended for Davone Bess (defended by Allen Bailey),2.870,1.870
4,8:12,4,8,KAN 24,31,3,Dan Carpenter 42 yard field goal good,1.870,3.000
4,,,,MIA 35,31,3,"Dan Carpenter kicks off 71 yards, touchback",0.000,0.280
4,8:08,1,10,KAN 20,31,3,Matt Cassel pass complete short right to Dwayne Bowe for 16 yards (tackle by Sean Smith),0.280,1.330
4,7:41,1,10,KAN 36,31,3,Matt Cassel pass complete deep right to Dwayne Bowe for 31 yards (tackle by Tyrone Culver),1.330,3.380
4,7:10,1,10,MIA 33,31,3,Dexter McCluster left end for 4 yards (tackle by Jimmy Wilson),3.380,3.380
4,6:45,2,6,MIA 29,31,3,Matt Cassel pass complete short middle to Keary Colbert for 5 yards (tackle by Kevin Burnett),3.380,3.340
4,6:17,3,1,MIA 24,31,3,Matt Cassel pass incomplete deep left intended for Steve Breaston (defended by Jimmy Wilson),3.340,2.020
4,6:11,4,1,MIA 24,31,3,Matt Cassel pass complete short right to Leonard Pope for 9 yards (tackle by Karlos Dansby),2.020,4.580
4,5:38,1,10,MIA 15,31,3,"Dexter McCluster right end for 6 yards (tackle by Yeremiah Bell). Penalty on Yeremiah Bell: Unnecessary Roughness, 5 yards",4.580,6.280
4,5:14,1,4,MIA 4,31,3,Matt Cassel pass incomplete short left intended for Jonathan Baldwin (defended by Sean Smith),6.280,5.340
4,5:10,2,4,MIA 4,31,3,Matt Cassel pass incomplete short right intended for Jake O'Connell,5.340,4.490
4,5:10,3,4,MIA 4,31,3,"Penalty on Barry Richardson: False Start, 5 yards (no play)",4.490,3.360
4,5:05,3,9,MIA 9,31,3,Dexter McCluster up the middle for 4 yards (tackle by Kevin Burnett),3.360,3.010
4,4:25,4,5,MIA 5,31,3,"Matt Cassel pass incomplete short left intended for Dwayne Bowe. Penalty on Yeremiah Bell: Unsportsmanlike Conduct, 2 yards",3.010,0.380
4,4:20,1,10,MIA 3,31,3,Reggie Bush up the middle for 2 yards (tackle by Kelly Gregg),-0.380,-0.630
4,3:36,2,8,MIA 5,31,3,Daniel Thomas up the middle for 4 yards (tackle by Jovan Belcher),-0.630,-0.720
4,3:28,,,,31,3,Timeout #1 by Kansas City Chiefs,0.000,-0.720
4,3:28,3,4,MIA 9,31,3,"Daniel Thomas up the middle for 2 yards (tackle by Cory Greenwood and Jovan Belcher). Penalty on Marc Colombo: Unnecessary Roughness, 5 yards",-0.720,-2.490
4,3:20,4,7,MIA 6,31,3,"Penalty on Marvin Mitchell: False Start, 3 yards (no play)",-2.490,-2.490
4,3:20,4,10,MIA 3,31,3,"Brandon Fields punts 54 yards, returned by Dexter McCluster for 8 yards (tackle by Tyrone Culver)",-2.490,-2.320
4,3:08,1,10,MIA 49,31,3,Matt Cassel pass incomplete short middle intended for Jonathan Baldwin (defended by Tony McDaniel),2.320,1.780
4,3:03,2,10,MIA 49,31,3,Matt Cassel for 5 yards (tackle by Tony McDaniel),1.780,1.750
4,2:57,3,5,MIA 44,31,3,Matt Cassel pass complete short right to Steve Breaston for 11 yards (tackle by Yeremiah Bell),1.750,3.380
4,2:29,1,10,MIA 33,31,3,"Matt Cassel pass complete deep left to Jonathan Baldwin for 33 yards. Penalty on Jonathan Baldwin: Offensive Pass Interference, 10 yards (no play)",3.380,2.720
4,2:22,1,20,MIA 43,31,3,Matt Cassel pass incomplete short middle intended for Dexter McCluster,2.720,1.490
4,2:19,2,20,MIA 43,31,3,Matt Cassel pass complete short middle to Steve Breaston for 6 yards (tackle by Marvin Mitchell),1.490,1.620
4,2:00,3,14,MIA 37,31,3,Matt Cassel pass complete short right to Dwayne Bowe for 11 yards (tackle by Sean Smith),1.620,1.840
4,1:55,4,3,MIA 26,31,3,"Matt Cassel for 13 yards. Penalty on Branden Albert: Offensive Holding, 10 yards (no play)",1.840,0.880
4,1:46,4,13,MIA 36,31,3,Matt Cassel pass incomplete deep middle intended for Jonathan Baldwin,0.880,-1.400
4,1:40,1,10,MIA 37,31,3,Matt Moore kneels for -1 yards,1.400,0.720
4,1:00,2,11,MIA 36,31,3,Matt Moore kneels for no gain,0.720,0.040
4,0:18,3,11,MIA 36,31,3,Matt Moore kneels for -1 yards,0.040,-1.040
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
