Quarter,Time,Down,ToGo,Location,NYG,PHI,Detail,EPB,EPA
3,14:20,2,5,PHI 9,3,20,Saquon Barkley left guard for 2 yards (tackle by Milton Williams),4.900,4.500
3,13:44,3,3,PHI 7,9,20,"Saquon Barkley right guard for 7 yards, touchdown",4.500,7.000
3,13:41,,,PHI 15,10,20,Mason Crosby kicks extra point good,0.000,0.000
3,13:41,,,NYG 35,10,20,"Mason Crosby kicks off 62 yards,",0.000,0.610
3,13:41,1,10,PHI 25,10,20,Jalen Hurts pass complete short right to Dallas Goedert for 5 yards (tackle by Adoree' Jackson),0.610,0.740
3,13:15,2,5,PHI 30,10,20,D'Andre Swift right tackle for 4 yards (tackle by Dane Belton),0.740,0.560
3,12:53,3,1,PHI 34,10,20,D'Andre Swift left tackle for -4 yards (tackle by Azeez Ojulari),0.560,-1.370
3,12:16,4,5,PHI 30,10,20,"Braden Mann punts 54 yards, returned by Gunner Olszewski for 4 yards. Gunner Olszewski fumbles (forced by Rick Lovato), recovered by Gunner Olszewski at NYG-20",-1.370,-0.280
3,12:03,1,10,NYG 20,10,20,Saquon Barkley left guard for 1 yard (tackle by Fletcher Cox),0.280,-0.130
3,11:33,2,9,NYG 21,10,20,"Tyrod Taylor scrambles up the middle for no gain. Penalty on Ben Bredeson: Offensive Holding, 10 yards (offset) . Penalty on Sydney Brown: Unnecessary Roughness / Defense, 15 yards (offset) (no play)",-0.130,-0.130
3,11:16,2,9,NYG 21,10,20,Saquon Barkley left tackle for 3 yards (tackle by Kelee Ringo),-0.130,-0.430
3,10:33,3,6,NYG 24,10,20,Tyrod Taylor scrambles right end for 15 yards (tackle by Shaquille Leonard),-0.430,1.530
3,10:03,1,10,NYG 39,10,20,Tyrod Taylor pass complete short right to Saquon Barkley for -2 yards (tackle by Milton Williams),1.530,0.720
3,9:27,2,12,NYG 37,10,20,Tyrod Taylor pass complete short left to Darius Slayton for 12 yards (tackle by Shaquille Leonard and Reed Blankenship),0.720,2.190
3,8:50,1,10,NYG 49,10,20,Saquon Barkley left guard for 4 yards (tackle by Ben VanSumeren and Jalen Carter),2.190,2.190
3,8:23,2,6,PHI 47,10,20,Saquon Barkley left guard for 2 yards (tackle by Milton Williams),2.190,1.750
3,7:47,3,4,PHI 45,10,20,Tyrod Taylor pass incomplete short right intended for Saquon Barkley,1.750,0.270
3,7:42,4,4,PHI 45,10,20,"Penalty on John Michael Schmitz: False Start, 5 yards (accepted) (no play)",0.270,-0.060
3,7:42,4,9,PHI 50,10,20,"Jamie Gillan punts 44 yards, fair catch by Britain Covey at PHI-6",-0.060,0.380
3,7:35,1,10,PHI 6,10,20,Jalen Hurts pass complete short right to A.J. Brown for 4 yards (tackle by Deonte Banks),-0.380,-0.490
3,6:58,2,6,PHI 10,10,20,Jalen Hurts pass incomplete short right,-0.490,-0.950
