Quarter,Time,Down,ToGo,Location,TEN,OAK,Detail,EPB,EPA
2,3:49,3,17,OAK 25,14,14,Kerry Collins pass complete to Jerry Porter for 27 yards (tackle by Scott McGarrahan). Penalty on Bo Schobel: Defensive Offside (Declined),-1.090,2.390
2,3:16,1,10,TEN 48,14,14,Amos Zereoue up the middle for 4 yards (tackle by Michael Waddell and Keith Bulluck),2.390,2.390
2,2:35,2,6,TEN 44,14,14,Kerry Collins pass incomplete intended for Jerry Porter,2.390,1.690
2,2:30,,,,14,14,Timeout #1 by Oakland Raiders,0.000,1.690
2,2:30,3,6,TEN 44,14,14,"Kerry Collins pass incomplete intended for Doug Jolley. Penalty on Keith Bulluck: Roughing the Passer, 15 yards (no play)",1.690,3.640
2,2:26,1,10,TEN 29,14,14,Zack Crockett left tackle for 11 yards (tackle by Lamont Thompson and Brad Kassell),3.640,4.370
2,2:00,1,10,TEN 18,14,20,"Kerry Collins pass complete to Jerry Porter for 18 yards, touchdown",4.370,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,,,,TEN 2,14,21,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 30,14,21,"Sebastian Janikowski kicks off 72 yards, returned by Jason McAddley for 26 yards (tackle by J.R. Redmond)",0.000,0.540
2,1:50,1,10,TEN 24,14,21,Billy Volek pass complete to Eddie Berlin for 26 yards (tackle by Denard Walker),0.540,2.260
2,1:45,1,10,OAK 50,14,21,Billy Volek pass complete to Drew Bennett for 11 yards (tackle by Travian Smith),2.260,2.980
2,1:38,1,10,OAK 39,14,21,Billy Volek pass complete to Derrick Mason for 32 yards (tackle by Denard Walker),2.980,5.600
2,1:33,1,7,OAK 7,20,21,"Billy Volek pass complete to Ben Troupe for 7 yards, touchdown",5.600,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,,,,OAK 2,21,21,Gary Anderson kicks extra point good,0.000,0.000
2,,,,TEN 30,21,21,"Craig Hentrich kicks off 56 yards, returned by Doug Gabriel for 13 yards (tackle by Robert Reynolds). Penalty on Travian Smith: Offensive Holding (Offsetting), Penalty on Robert Reynolds: Face Mask (5 Yards) (Offsetting)",0.000,0.740
2,1:18,1,10,OAK 27,21,21,J.R. Redmond up the middle for 2 yards (tackle by Keith Bulluck),0.740,0.470
2,1:01,2,8,OAK 29,21,21,Kerry Collins pass incomplete intended for Doug Jolley,0.470,-0.230
2,0:58,3,8,OAK 29,21,21,Kerry Collins pass complete to Jerry Porter for 1 yard (tackle by Brad Kassell),-0.230,-1.370
2,0:51,4,7,OAK 30,21,21,"Penalty on Zack Crockett: False Start, 5 yards (no play)",-1.370,-1.700
2,0:51,4,12,OAK 25,21,21,"Shane Lechler punts 60 yards, returned by Eddie Berlin for 13 yards (tackle by Stuart Schweigert)",-1.700,-0.810
2,0:39,1,10,TEN 28,21,21,Billy Volek pass complete to Eddie Berlin for 31 yards (tackle by Stuart Schweigert),0.810,2.850
2,0:29,,,,21,21,Timeout #2 by Tennessee Titans,0.000,2.850
2,0:29,1,10,OAK 41,21,21,Billy Volek pass complete to Drew Bennett for 19 yards (tackle by Denard Walker),2.850,4.110
2,0:08,1,10,OAK 22,21,21,Billy Volek spiked the ball,4.110,3.560
2,0:08,2,10,OAK 22,21,21,Gary Anderson 41 yard field goal no good,3.560,-1.000
2,0:03,1,10,OAK 31,21,21,Kerry Collins kneels for -1 yards,1.000,0.320
Quarter,Time,Down,ToGo,Location,TEN,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 30,21,21,"Craig Hentrich kicks off 66 yards, returned by Doug Gabriel for 28 yards (tackle by Darrell Hill)",0.000,1.070
3,14:54,1,10,OAK 32,21,21,Kerry Collins pass incomplete intended for Jerry Porter,1.070,0.530
3,14:48,2,10,OAK 32,21,21,Kerry Collins pass complete to Doug Gabriel for 7 yards (tackle by Andre Dyson),0.530,0.760
3,14:06,3,3,OAK 39,21,21,Kerry Collins pass complete to Alvis Whitted for 4 yards (tackle by Michael Waddell),0.760,1.800
3,13:23,1,10,OAK 43,21,21,Justin Fargas up the middle for 1 yard (tackle by Antwan Odom),1.800,1.390
3,12:49,2,9,OAK 44,21,21,Kerry Collins pass incomplete intended for Jerry Porter (defended by Andre Dyson),1.390,0.690
3,12:45,3,9,OAK 44,21,21,Kerry Collins pass incomplete intended for Doug Gabriel,0.690,-0.460
3,12:39,4,9,OAK 44,21,21,"Shane Lechler punts 45 yards, fair catch by Eddie Berlin",-0.460,0.370
3,12:32,1,10,TEN 11,21,21,Antowain Smith up the middle for 3 yards (tackle by Warren Sapp),-0.370,-0.530
3,11:52,2,7,TEN 14,21,21,Billy Volek pass complete to Drew Bennett for 8 yards (tackle by Nnamdi Asomugha),-0.530,0.410
3,11:04,1,10,TEN 22,21,21,Antowain Smith right end for -5 yards (tackle by Grant Irons),0.410,-0.940
3,10:24,2,15,TEN 17,21,21,Billy Volek pass complete to Ben Troupe for 3 yards (tackle by Nnamdi Asomugha),-0.940,-1.090
3,9:52,3,12,TEN 20,21,21,Billy Volek pass complete to Ben Troupe for 4 yards (tackle by Sam Williams),-1.090,-1.770
3,9:06,4,8,TEN 24,21,21,Craig Hentrich punts 34 yards,-1.770,-1.730
3,9:00,1,10,OAK 42,21,21,Zack Crockett up the middle for 5 yards (tackle by Keith Bulluck and Carlos Hall),1.730,1.860
3,8:20,2,5,OAK 47,21,21,Justin Fargas up the middle for 3 yards (tackle by Keith Bulluck),1.860,1.550
3,7:42,,,,21,21,Timeout #1 by Oakland Raiders,0.000,1.550
3,7:42,3,2,OAK 50,21,21,"Kerry Collins pass incomplete intended for J.R. Redmond. Penalty on Carlos Hall: Defensive Holding, 5 yards (no play)",1.550,2.590
3,7:37,1,10,TEN 45,21,27,"Kerry Collins pass complete to Doug Gabriel for 45 yards, touchdown",2.590,7.000
3,,,,TEN 2,21,28,Sebastian Janikowski kicks extra point good,0.000,0.000
3,,,,OAK 30,21,28,"Sebastian Janikowski kicks off 66 yards, returned by Jason McAddley for 25 yards (tackle by Tim Johnson)",0.000,0.870
3,7:21,1,10,TEN 29,21,28,Billy Volek pass incomplete intended for Drew Bennett (defended by Danny Clark),0.870,0.330
3,7:17,2,10,TEN 29,21,28,Antowain Smith left end for 3 yards (tackle by Marques Anderson),0.330,0.040
3,6:33,3,7,TEN 32,21,28,"Billy Volek sacked by Tommy Kelly for -10 yards. Billy Volek fumbles (forced by Tommy Kelly), recovered by Warren Sapp at TEN-21 (tackle by Billy Volek)",0.040,-4.170
3,6:27,1,10,TEN 21,21,28,Kerry Collins pass complete to Chris Hetherington for 14 yards (tackle by Brad Kassell),4.170,5.600
3,5:48,1,7,TEN 7,21,28,Zack Crockett up the middle for 2 yards (tackle by Randy Starks),5.600,5.150
3,5:09,2,5,TEN 5,21,28,Kerry Collins pass complete to Amos Zereoue for 2 yards (tackle by Donnie Nickey),5.150,4.720
3,4:35,3,3,TEN 3,21,34,"Kerry Collins pass complete to Jerry Porter for 3 yards, touchdown",4.720,7.000
3,,,,TEN 2,21,35,Sebastian Janikowski kicks extra point good,0.000,0.000
3,,,,OAK 30,21,35,"Sebastian Janikowski kicks off 67 yards, returned by Jason McAddley for 45 yards (tackle by Nnamdi Asomugha)",0.000,2.130
3,4:23,1,10,TEN 48,21,35,Antowain Smith left end for 1 yard (tackle by Tommy Kelly),2.130,1.720
3,3:48,2,9,TEN 49,21,35,Billy Volek pass complete to Drew Bennett for 13 yards (tackle by Denard Walker),1.720,3.050
3,3:14,1,10,OAK 38,21,35,Billy Volek sacked by Danny Clark and Marques Anderson for -5 yards,3.050,1.830
3,2:36,2,15,OAK 43,21,35,Billy Volek pass incomplete intended for Derrick Mason,1.830,1.160
3,2:32,3,15,OAK 43,21,35,Billy Volek pass complete to Antowain Smith for 12 yards (tackle by Sam Williams),1.160,1.380
3,1:42,4,3,OAK 31,21,35,Billy Volek pass incomplete intended for Derrick Mason is intercepted by Denard Walker at OAK-20 and returned for 45 yards (tackle by Antowain Smith),1.380,-3.250
3,1:30,1,10,TEN 35,21,35,Justin Fargas up the middle for 2 yards (tackle by Bo Schobel),3.250,2.970
3,0:52,,,,21,35,Timeout #2 by Oakland Raiders,0.000,2.970
3,0:52,2,8,TEN 33,21,35,Kerry Collins pass incomplete is intercepted by Keith Bulluck at TEN-34,2.970,-1.200
3,0:46,1,10,TEN 34,21,35,Billy Volek pass complete to Ben Troupe for 15 yards (tackle by Napoleon Harris),1.200,2.190
3,0:09,1,10,TEN 49,21,35,Troy Fleming right tackle for 11 yards (tackle by Sam Williams),2.190,2.920
Quarter,Time,Down,ToGo,Location,TEN,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,OAK 40,21,35,Billy Volek pass incomplete intended for Derrick Mason (defended by Denard Walker),2.920,2.370
4,14:52,2,10,OAK 40,21,35,Billy Volek pass complete to Drew Bennett for 5 yards (tackle by Nnamdi Asomugha),2.370,2.340
4,14:24,3,5,OAK 35,21,35,"Billy Volek pass complete to Drew Bennett for 8 yards (tackle by Nnamdi Asomugha). Penalty on Tommy Kelly: Unnecessary Roughness, 14 yards",2.340,4.710
4,13:59,1,10,OAK 13,21,35,Billy Volek pass incomplete intended for Derrick Mason,4.710,4.050
4,13:55,2,10,OAK 13,21,35,Billy Volek pass complete to Drew Bennett for 7 yards (tackle by Napoleon Harris),4.050,4.560
4,13:13,3,3,OAK 6,21,35,Billy Volek pass complete to Shad Meier for 4 yards (tackle by Denard Walker),4.560,6.740
4,12:49,1,2,OAK 2,21,35,Antowain Smith left tackle for -1 yards (tackle by Bobby Hamilton and Warren Sapp),6.740,5.530
4,12:06,2,3,OAK 3,21,35,Billy Volek pass incomplete intended for Ben Troupe,5.530,4.720
4,12:01,3,3,OAK 3,21,35,Billy Volek pass incomplete intended for Derrick Mason (defended by Denard Walker),4.720,3.040
4,11:57,4,3,OAK 3,27,35,"Billy Volek pass complete to Derrick Mason for 3 yards, touchdown",3.040,7.000
4,,,,OAK 2,28,35,Gary Anderson kicks extra point good,0.000,0.000
4,,,,TEN 30,28,35,"Craig Hentrich kicks off 70 yards, touchback",0.000,0.280
4,11:53,1,10,OAK 20,28,35,Kerry Collins pass complete to Zack Crockett for 11 yards (tackle by Justin Ena),0.280,1.000
4,11:15,1,10,OAK 31,28,35,Kerry Collins pass complete to Jerry Porter for 23 yards (tackle by Donnie Nickey),1.000,2.520
4,10:32,1,10,TEN 46,28,35,Kerry Collins pass incomplete intended for Jerry Porter,2.520,1.980
4,10:27,2,10,TEN 46,28,35,"Penalty on Jerry Porter: False Start, 5 yards (no play)",1.980,1.300
4,10:27,2,15,OAK 49,28,35,Kerry Collins sacked by Rien Long and Travis LaBoy for -6 yards,1.300,-0.160
4,9:52,3,21,OAK 43,28,35,Kerry Collins for 5 yards (tackle by Lamont Thompson),-0.160,-0.190
4,9:24,4,16,OAK 48,28,35,"Shane Lechler punts 52 yards, touchback. Penalty on Robert Reynolds: Offensive Holding (Declined)",-0.190,-0.280
4,9:15,1,10,TEN 20,28,35,Antowain Smith up the middle for 4 yards (tackle by Danny Clark and Ray Buchanan),0.280,0.270
4,8:41,2,6,TEN 24,28,35,Billy Volek pass complete to Derrick Mason for 4 yards (tackle by Denard Walker),0.270,0.100
4,8:17,3,2,TEN 28,28,35,Billy Volek pass complete to Drew Bennett for 13 yards (tackle by Nnamdi Asomugha),0.100,1.660
4,7:39,1,10,TEN 41,28,35,Billy Volek pass complete to Derrick Mason for 32 yards (tackle by Nnamdi Asomugha),1.660,3.780
4,6:51,1,10,OAK 27,28,35,Billy Volek pass incomplete intended for Antowain Smith,3.780,3.230
4,6:47,2,10,OAK 27,28,35,Antowain Smith right end for 9 yards (tackle by Warren Sapp),3.230,3.840
4,6:05,3,1,OAK 18,28,35,Billy Volek pass incomplete intended for Shad Meier,3.840,2.400
4,6:00,4,1,OAK 18,28,35,Craig Hentrich pass incomplete intended for Shad Meier,2.400,-0.150
4,5:53,1,10,OAK 19,28,35,Justin Fargas left end for 1 yard (tackle by Brad Kassell),0.150,-0.200
4,5:18,2,9,OAK 20,28,35,Kerry Collins pass incomplete intended for Teyo Johnson,-0.200,-0.940
4,5:12,3,9,OAK 20,28,35,Kerry Collins pass complete to Alvis Whitted for 57 yards (tackle by Scott McGarrahan),-0.940,4.040
4,4:27,1,10,TEN 23,28,35,Zack Crockett left guard for 2 yards (tackle by Donnie Nickey),4.040,3.770
4,3:52,2,8,TEN 21,28,35,Kerry Collins pass incomplete intended for Chris Hetherington,3.770,3.070
4,3:48,3,8,TEN 21,28,35,J.R. Redmond up the middle for -3 yards (tackle by Brad Kassell and Kevin Carter),3.070,1.870
4,3:43,,,,28,35,Timeout #1 by Tennessee Titans,0.000,1.870
4,3:43,4,11,TEN 24,28,38,Sebastian Janikowski 42 yard field goal good,1.870,3.000
4,,,,OAK 30,28,38,"Sebastian Janikowski kicks off 70 yards, touchback",0.000,0.280
4,3:39,1,10,TEN 20,28,38,Billy Volek pass complete to Troy Fleming for -1 yards (tackle by Grant Irons),0.280,-0.460
4,3:08,2,11,TEN 19,28,38,Billy Volek pass complete to Ben Troupe for 27 yards (tackle by Danny Clark),-0.460,1.990
4,2:42,1,10,TEN 46,28,38,Billy Volek pass complete to Eddie Berlin for 12 yards (tackle by Danny Clark),1.990,2.790
4,2:14,1,10,OAK 42,28,38,Billy Volek pass complete to Troy Fleming for 22 yards (tackle by Nnamdi Asomugha),2.790,4.240
4,2:00,1,10,OAK 20,28,38,Billy Volek pass incomplete intended for Drew Bennett,4.240,3.690
4,1:55,2,10,OAK 20,28,38,Billy Volek pass complete to Ben Troupe for 19 yards (tackle by Travian Smith),3.690,6.970
4,1:29,1,1,OAK 1,28,38,Billy Volek pass incomplete intended for Derrick Mason,6.970,5.910
4,1:26,2,1,OAK 1,28,38,Billy Volek pass incomplete intended for Drew Bennett (defended by Akbar Gbaja-Biamila),5.910,5.170
4,1:23,3,1,OAK 1,34,38,"Billy Volek up the middle for 1 yard, touchdown",5.170,7.000
4,,,,OAK 2,35,38,Gary Anderson kicks extra point good,0.000,0.000
4,,,,TEN 30,35,38,"Craig Hentrich kicks onside 19 yards, recovered by Teyo Johnson",0.000,2.320
4,1:20,1,10,TEN 49,35,38,Zack Crockett up the middle for 1 yard (tackle by Brad Kassell),2.320,1.920
4,1:17,,,,35,38,Timeout #2 by Tennessee Titans,0.000,1.920
4,1:17,2,9,TEN 48,35,38,Zack Crockett up the middle for 3 yards,1.920,1.620
4,1:11,,,,35,38,Timeout #3 by Tennessee Titans,0.000,1.620
4,1:11,3,6,TEN 45,35,38,Zack Crockett left end for 3 yards (tackle by Ken Amato),1.620,0.460
4,0:25,4,3,TEN 42,35,38,"Penalty on Kerry Collins: Delay of Game, 5 yards (no play)",0.460,0.130
4,0:25,4,8,TEN 47,35,38,"Shane Lechler punts 34 yards, returned by Derrick Mason for -1 yards (tackle by Jarrod Cooper)",0.130,0.350
4,0:17,1,10,TEN 12,35,40,"Billy Volek pass incomplete, safety. Penalty on Billy Volek: Intentional Grounding",-0.350,-2.000
4,,,,TEN 20,35,40,"Craig Hentrich kicks off 44 yards, returned by Doug Gabriel for -5 yards (tackle by Eddie Berlin)",0.000,1.000
4,0:03,1,10,OAK 31,35,40,Kerry Collins kneels for -1 yards,1.000,0.320
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
