Quarter,Time,Down,ToGo,Location,STL,MIN,Detail,EPB,EPA
1,0:17,3,6,MIN 38,10,7,Tarvaris Jackson pass incomplete short right intended for Jermaine Wiggins,0.500,-0.850
1,0:12,4,6,MIN 38,10,7,"Chris Kluwe punts 49 yards, out of bounds",-0.850,0.320
1,0:05,1,10,STL 13,10,7,Steven Jackson left end for 5 yards (tackle by Darrion Scott and Napoleon Harris),-0.320,-0.140
Quarter,Time,Down,ToGo,Location,STL,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,STL 18,10,7,Steven Jackson right tackle for 3 yards (tackle by Dwight Smith),-0.140,-0.470
2,14:17,3,2,STL 21,10,7,Marc Bulger pass incomplete short right intended for Isaac Bruce,-0.470,-1.960
2,14:12,4,2,STL 21,10,7,"Matt Turk punts 55 yards, fair catch by Mewelde Moore",-1.960,-0.540
2,14:03,1,10,MIN 24,10,7,Tarvaris Jackson right guard for 8 yards (tackle by Dexter Coakley and Leonard Little),0.540,1.080
2,13:27,2,2,MIN 32,10,7,Chester Taylor middle for 3 yards (tackle by Jimmy Kennedy and Dexter Coakley),1.080,1.270
2,12:53,1,10,MIN 35,10,7,Tarvaris Jackson pass complete short middle to Jermaine Wiggins for 5 yards (tackle by Corey Chavous),1.270,1.400
2,12:13,2,5,MIN 40,10,7,Chester Taylor left tackle for 16 yards (tackle by O.J. Atogwe),1.400,2.650
2,11:28,1,10,STL 44,10,7,Tarvaris Jackson pass incomplete short right intended for Billy McMullen,2.650,2.110
2,11:19,,,,10,7,Timeout #1 by Minnesota Vikings,0.000,2.110
2,11:18,2,10,STL 44,10,7,Tarvaris Jackson pass complete short right to Billy McMullen for 6 yards (tackle by Brandon Chillar),2.110,2.210
2,10:45,3,4,STL 38,10,7,Tarvaris Jackson pass incomplete short left intended for Mewelde Moore is intercepted by Ronald Bartell at STL-38 and returned for 9 yards,2.210,-2.060
2,10:37,1,10,STL 47,10,7,Marc Bulger pass complete short right to Isaac Bruce for 14 yards (tackle by Antoine Winfield),2.060,2.980
2,10:02,1,10,MIN 39,10,7,Steven Jackson middle for 2 yards (tackle by E.J. Henderson),2.980,2.710
2,9:27,2,8,MIN 37,10,7,Marc Bulger pass complete short left to Torry Holt for 13 yards (tackle by Charles Gordon),2.710,3.970
2,8:48,1,10,MIN 24,10,7,Marc Bulger pass complete deep left to Torry Holt for 18 yards (tackle by Charles Gordon),3.970,5.830
,,,,,,,"MIN challenged the ruling, and the play was upheld.",,
2,8:43,1,6,MIN 6,10,7,Steven Jackson right end for 2 yards (tackle by Dwight Smith),5.830,5.340
2,8:17,2,4,MIN 4,16,7,"Steven Jackson left tackle for 4 yards, touchdown",5.340,7.000
2,8:17,,,MIN 2,17,7,Jeff Wilkins kicks extra point good,0.000,0.000
2,8:12,,,STL 30,17,7,"Jeff Wilkins kicks off 69 yards, returned by Bethel Johnson for 21 yards (tackle by Willie Ponder)",0.000,0.410
2,8:06,1,10,MIN 22,17,7,Tarvaris Jackson pass complete to Martin Nance for 7 yards (tackle by Fakhir Brown),0.410,0.810
2,7:29,2,3,MIN 29,17,7,Chester Taylor right guard for 2 yards (tackle by Corey Chavous),0.810,0.370
2,6:57,3,1,MIN 31,17,7,Chester Taylor left guard for no gain (tackle by Jason Fisk),0.370,-1.310
2,6:26,4,1,MIN 31,17,7,"Chris Kluwe punts 48 yards, fair catch by Shaun McDonald",-1.310,-0.340
2,6:19,1,10,STL 21,17,7,Steven Jackson middle for 13 yards (tackle by Darren Sharper and Napoleon Harris),0.340,1.200
2,5:43,1,10,STL 34,17,7,Marc Bulger pass incomplete deep right intended for Isaac Bruce,1.200,0.660
2,5:38,2,10,STL 34,17,7,Steven Jackson middle for 1 yard (tackle by Kenechi Udeze and Ben Leber),0.660,0.100
2,4:55,3,9,STL 35,17,7,Marc Bulger pass complete deep left to Kevin Curtis for 31 yards (tackle by Charles Gordon),0.100,3.310
2,4:11,1,10,MIN 34,17,7,Stephen Davis left guard for 3 yards (tackle by Napoleon Harris),3.310,3.180
2,3:28,2,7,MIN 31,17,7,"Penalty on Kevin Williams: Encroachment, 5 yards (no play)",3.180,3.850
2,3:05,2,2,MIN 26,17,7,Steven Jackson right guard for 5 yards (tackle by Dwight Smith),3.850,4.170
2,2:27,1,10,MIN 21,17,7,Marc Bulger pass incomplete deep middle intended for Dominique Byrd,4.170,3.630
2,2:22,2,10,MIN 21,17,7,Marc Bulger pass incomplete deep right intended for Torry Holt,3.630,2.940
2,2:18,3,10,MIN 21,17,7,Marc Bulger pass complete short right to Torry Holt for 12 yards,2.940,5.140
2,2:00,1,9,MIN 9,17,7,Steven Jackson middle for -1 yards (tackle by Ben Leber),5.140,4.190
2,1:21,2,10,MIN 10,23,7,"Marc Bulger pass complete short middle to Steven Jackson for 10 yards, touchdown",4.190,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:21,,,MIN 2,24,7,Jeff Wilkins kicks extra point good,0.000,0.000
2,1:15,,,STL 30,24,7,"Jeff Wilkins kicks off 65 yards, returned by Bethel Johnson for 23 yards (tackle by Isaiah Kacyvenski)",0.000,0.810
2,1:10,1,10,MIN 28,24,7,Tarvaris Jackson pass complete to Travis Taylor for 8 yards (tackle by Ronald Bartell),0.810,1.340
2,0:50,2,2,MIN 36,24,7,Tarvaris Jackson pass complete short left to Mewelde Moore for 6 yards (tackle by Leonard Little),1.340,1.730
2,0:37,,,,24,7,Timeout #3 by Minnesota Vikings,0.000,1.730
2,0:37,1,10,MIN 42,24,7,Tarvaris Jackson pass incomplete short right intended for Mewelde Moore,1.730,1.190
2,0:32,2,10,MIN 42,24,7,Tarvaris Jackson left guard for 5 yards (tackle by Will Witherspoon),1.190,1.160
2,0:11,3,5,MIN 47,24,7,Tarvaris Jackson pass complete deep right to Billy McMullen for 20 yards (tackle by Will Witherspoon),1.160,3.380
Quarter,Time,Down,ToGo,Location,STL,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 30,24,7,"Ryan Longwell kicks off 66 yards, returned by Willie Ponder for 24 yards (tackle by Antoine Winfield). Penalty on Artose Pinner: Low Block, 15 yards",0.000,1.800
3,15:00,1,10,STL 43,24,7,Marc Bulger pass incomplete intended for Isaac Bruce,1.800,1.250
3,14:55,2,10,STL 43,24,7,Steven Jackson left guard for 2 yards (tackle by Pat Williams and Kenechi Udeze),1.250,0.830
3,14:50,3,8,STL 45,24,7,Marc Bulger pass complete to Isaac Bruce for 16 yards,0.830,2.980
3,14:10,1,10,MIN 39,24,7,Steven Jackson left end for 3 yards (tackle by Kevin Williams),2.980,2.850
3,13:43,2,7,MIN 36,24,7,Steven Jackson left guard for 3 yards,2.850,2.540
3,13:00,3,4,MIN 33,24,7,"Penalty on Alex Barron: False Start, 5 yards (no play)",2.540,1.880
3,12:28,3,9,MIN 38,24,7,Marc Bulger pass complete to Torry Holt for 3 yards (tackle by Antoine Winfield),1.880,0.970
3,12:02,4,6,MIN 35,27,7,Jeff Wilkins 53 yard field goal good,0.970,3.000
3,11:24,,,STL 30,27,7,"Jeff Wilkins kicks off 72 yards, returned by Bethel Johnson for 27 yards (tackle by Dwaine Carpenter)",0.000,0.610
3,11:19,1,10,MIN 25,27,7,Tarvaris Jackson for 7 yards,0.610,1.010
3,10:42,2,3,MIN 32,27,7,Tarvaris Jackson pass incomplete intended for Martin Nance,1.010,0.300
3,10:36,3,3,MIN 32,27,7,Tarvaris Jackson pass incomplete short left intended for Chester Taylor,0.300,-1.240
3,10:32,4,3,MIN 32,27,7,"Chris Kluwe punts 50 yards, returned by Shaun McDonald for 9 yards (tackle by Rod Davis)",-1.240,-0.740
3,10:20,1,10,STL 27,27,7,Steven Jackson middle for 5 yards (tackle by Darrion Scott and Dwight Smith),0.740,0.870
3,9:44,2,5,STL 32,27,7,Marc Bulger pass complete short left to Torry Holt for 11 yards (tackle by Darren Sharper),0.870,1.800
3,9:05,1,10,STL 43,27,7,Marc Bulger pass complete short left to Madison Hedgecock for 3 yards (tackle by E.J. Henderson),1.800,1.660
3,8:31,2,7,STL 46,27,7,Marc Bulger pass complete short left to Torry Holt for 11 yards (tackle by Antoine Winfield),1.660,2.720
,,,,,,,"MIN challenged the ruling, and the play was upheld.",,
3,8:17,1,10,MIN 43,27,7,Steven Jackson for 3 yards (tackle by Charles Gordon),2.720,2.580
3,7:50,2,7,MIN 40,27,7,Steven Jackson right guard for no gain (tackle by Napoleon Harris),2.580,1.880
3,7:09,3,7,MIN 40,27,7,Marc Bulger pass complete short left to Kevin Curtis for 8 yards,1.880,3.450
3,6:34,1,10,MIN 32,27,7,Steven Jackson middle for -5 yards (tackle by Napoleon Harris and Darrion Scott),3.450,2.230
3,5:55,2,15,MIN 37,27,7,Marc Bulger pass complete deep middle to Aaron Walker for 26 yards (tackle by Darren Sharper),2.230,4.840
3,5:11,1,10,MIN 11,27,7,Isaac Bruce pass incomplete short right intended for Torry Holt,4.840,4.140
3,5:06,2,10,MIN 11,27,7,Marc Bulger pass complete short right to Torry Holt for 9 yards (tackle by Antoine Winfield),4.140,5.120
3,4:20,3,1,MIN 2,33,7,"Steven Jackson left guard for 2 yards, touchdown",5.120,7.000
3,4:20,,,MIN 2,34,7,Jeff Wilkins kicks extra point good,0.000,0.000
3,4:16,,,STL 30,34,7,"Jeff Wilkins kicks off 70 yards, returned by Bethel Johnson for 32 yards (tackle by Tye Hill)",0.000,1.070
3,4:09,1,10,MIN 32,34,7,Tarvaris Jackson sacked by Jimmy Kennedy for -5 yards,1.070,-0.150
3,3:38,2,15,MIN 27,34,7,Tarvaris Jackson pass complete short right to Travis Taylor for 8 yards (tackle by Corey Chavous),-0.150,0.230
3,2:57,3,7,MIN 35,34,7,Tarvaris Jackson pass complete short middle to Travis Taylor for 21 yards (tackle by Tye Hill),0.230,2.650
3,2:15,1,10,STL 44,34,7,Tarvaris Jackson pass incomplete short middle intended for Martin Nance,2.650,2.110
3,2:10,2,10,STL 44,34,7,Tarvaris Jackson pass incomplete deep left intended for Martin Nance,2.110,1.420
3,2:03,3,10,STL 44,34,7,Tarvaris Jackson pass incomplete short left intended for Billy McMullen,1.420,0.330
3,1:56,4,10,STL 44,34,7,Chris Kluwe punts 33 yards (tackle by Heath Farwell),0.330,-0.280
3,1:48,1,10,STL 20,34,7,Marc Bulger pass complete short left to Torry Holt for 8 yards (tackle by Charles Gordon),0.280,0.810
3,1:19,2,2,STL 28,34,7,Marc Bulger pass incomplete short left intended for Torry Holt,0.810,0.100
3,1:14,3,2,STL 28,34,7,Marc Bulger pass incomplete short right intended for Isaac Bruce,0.100,-1.500
3,1:08,4,2,STL 28,34,7,"Matt Turk punts 39 yards, fair catch by Mewelde Moore",-1.500,-1.140
3,1:01,1,10,MIN 33,34,7,Tarvaris Jackson sacked by Will Witherspoon for -1 yards,1.140,0.460
3,0:29,2,11,MIN 32,34,7,Brad Johnson pass complete short left to Martin Nance for 12 yards (tackle by Fakhir Brown),0.460,1.860
Quarter,Time,Down,ToGo,Location,STL,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIN 44,34,7,"Tarvaris Jackson sacked by Leonard Little for -7 yards. Tarvaris Jackson fumbles (forced by Leonard Little), recovered by Travis Taylor at MIN-34",1.860,-0.030
4,14:21,2,20,MIN 34,34,7,Mewelde Moore right guard for 10 yards (tackle by Corey Chavous),-0.030,0.630
4,13:46,3,10,MIN 44,34,7,Tarvaris Jackson pass incomplete short right intended for Bethel Johnson (defended by Tye Hill). Penalty on Bryant McKinnie: Offensive Holding (Declined),0.630,-0.460
4,13:40,4,10,MIN 44,34,7,"Chris Kluwe punts 42 yards, fair catch by Shaun McDonald",-0.460,0.280
4,13:32,1,10,STL 14,34,7,Marc Bulger pass complete short left to Steven Jackson for 14 yards (tackle by Darren Sharper),-0.280,0.810
4,12:45,1,10,STL 28,34,7,Steven Jackson left end for 8 yards (tackle by Charles Gordon),0.810,1.340
4,12:06,2,2,STL 36,34,7,Marc Bulger pass complete short left to Torry Holt for 5 yards (tackle by Charles Gordon),1.340,1.660
4,11:20,1,10,STL 41,40,7,"Steven Jackson middle for 59 yards, touchdown",1.660,7.000
4,11:20,,,MIN 2,41,7,Jeff Wilkins kicks extra point good,0.000,0.000
4,11:09,,,STL 30,41,7,"Jeff Wilkins kicks off 70 yards, returned by Bethel Johnson for 65 yards (tackle by Ronald Bartell)",0.000,3.250
4,10:58,1,10,STL 35,41,7,Tarvaris Jackson pass complete short left to Martin Nance for 2 yards (tackle by Fakhir Brown),3.250,2.970
4,10:20,2,8,STL 33,41,7,Tarvaris Jackson pass complete short right to Richard Owens for no gain,2.970,2.280
4,9:38,3,8,STL 33,41,7,"Tarvaris Jackson pass incomplete deep middle intended for Billy McMullen. Penalty on Dexter Coakley: Defensive Pass Interfere, 32 yards (no play)",2.280,6.970
4,9:32,1,1,STL 1,41,13,"Chester Taylor right guard for 1 yard, touchdown",6.970,7.000
4,9:32,,,STL 2,41,14,Ryan Longwell kicks extra point good,0.000,0.000
4,9:28,,,MIN 30,41,14,"Ryan Longwell kicks onside 14 yards. Penalty on Dontarrious Thomas: Offside on Free Kick, 5 yards",0.000,2.980
4,9:27,1,10,MIN 39,41,14,Stephen Davis middle for 1 yard (tackle by Napoleon Harris),2.980,2.580
4,8:42,2,9,MIN 38,41,14,Stephen Davis left end for -6 yards (tackle by Greg Blue and E.J. Henderson),2.580,1.090
4,7:54,3,15,MIN 44,41,14,Stephen Davis middle for 6 yards (tackle by Napoleon Harris),1.090,0.720
4,7:09,4,9,MIN 38,41,14,"Jeff Wilkins punts 33 yards, returned by Dwight Smith for 8 yards (tackle by Adam Goldberg)",0.720,0.320
4,6:59,1,10,MIN 13,41,14,Tarvaris Jackson pass complete short left to Billy McMullen for 16 yards (tackle by Will Witherspoon),-0.320,0.870
4,6:35,1,10,MIN 29,41,14,Tarvaris Jackson pass complete short left to Billy McMullen for 5 yards (tackle by Dexter Coakley),0.870,1.000
4,6:14,2,5,MIN 34,41,14,"Tarvaris Jackson sacked by Claude Wroten for -2 yards. Tarvaris Jackson fumbles (forced by Claude Wroten), recovered by Mewelde Moore at MIN-32 and returned for 8 yards",1.000,1.600
4,5:37,1,10,MIN 40,41,14,Tarvaris Jackson pass incomplete short right intended for Mewelde Moore,1.600,1.050
4,5:32,2,10,MIN 40,41,14,Artose Pinner middle for 9 yards (tackle by Eric Moore),1.050,1.550
4,5:03,3,1,MIN 49,41,14,Tarvaris Jackson middle for 4 yards,1.550,2.460
4,4:43,1,10,STL 47,41,14,"Penalty on Mike Rosenthal: False Start, 5 yards (no play)",2.460,2.130
4,4:41,1,15,MIN 48,41,14,Tarvaris Jackson pass complete short left to Mewelde Moore for 50 yards (tackle by Fakhir Brown),2.130,6.740
4,3:59,1,2,STL 2,41,14,Artose Pinner middle for -2 yards (tackle by Jason Fisk),6.740,5.340
4,3:18,2,4,STL 4,41,14,Tarvaris Jackson pass complete short right to Mewelde Moore for 1 yard (tackle by Will Witherspoon),5.340,4.720
4,2:28,3,3,STL 3,41,20,"Tarvaris Jackson pass complete short right to Travis Taylor for 3 yards, touchdown",4.720,7.000
4,2:28,,,STL 2,41,21,Ryan Longwell kicks extra point good,0.000,0.000
4,2:21,,,MIN 30,41,21,Ryan Longwell kicks onside 11 yards,0.000,2.850
4,2:20,1,10,MIN 41,41,21,Kay-Jay Harris left end for -3 yards (tackle by E.J. Henderson),2.850,1.900
4,2:00,2,13,MIN 44,41,21,Kay-Jay Harris left guard for 3 yards (tackle by Khreem Smith),1.900,1.620
4,1:55,,,,41,21,Timeout #2 by Minnesota Vikings,0.000,1.620
4,1:55,3,10,MIN 41,41,21,Kay-Jay Harris middle for 9 yards (tackle by Greg Blue),1.620,1.310
4,1:55,,,,41,21,Timeout #3 by Minnesota Vikings,0.000,1.310
4,1:47,4,1,MIN 32,41,21,Ryan Fitzpatrick middle for 2 yards,1.310,3.580
4,0:59,1,10,MIN 30,41,21,Ryan Fitzpatrick kneels for -1 yards,3.580,2.900
4,0:31,2,11,MIN 31,41,21,Ryan Fitzpatrick kneels for -1 yards,2.900,2.080
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
