Quarter,Time,Down,ToGo,Location,PHI,NWE,Detail,EPB,EPA
2,5:15,1,10,NWE 43,15,6,Nick Foles pass incomplete deep right intended for Alshon Jeffery is intercepted by Duron Harmon at NWE-2 and returned for 8 yards,2.720,0.380
2,5:01,1,10,NWE 10,15,6,Dion Lewis left tackle for 4 yards (tackle by Timmy Jernigan and Mychal Kendricks),-0.380,-0.460
2,4:23,2,6,NWE 14,15,6,Tom Brady pass incomplete short left intended for Rob Gronkowski (defended by Ronald Darby),-0.460,-0.950
2,4:19,3,6,NWE 14,15,6,"Tom Brady pass incomplete short left intended for Chris Hogan. Penalty on Jalen Mills: Defensive Holding, 5 yards (no play)",-0.950,0.150
2,4:15,1,10,NWE 19,15,6,Dion Lewis left guard for 5 yards (tackle by Fletcher Cox),0.150,0.340
2,3:46,2,5,NWE 24,15,6,Dion Lewis left end for 7 yards (tackle by Beau Allen and Mychal Kendricks),0.340,1.000
2,2:59,1,10,NWE 31,15,6,Tom Brady pass incomplete short middle intended for Rob Gronkowski (defended by Rodney McLeod),1.000,0.460
2,2:55,2,10,NWE 31,15,6,Tom Brady pass complete deep right to Chris Hogan for 43 yards (tackle by Jalen Mills),0.460,3.840
2,2:12,1,10,PHI 26,15,12,"James White left guard for 26 yards, touchdown",3.840,7.000
2,2:04,,,PHI 15,15,12,Stephen Gostkowski kicks extra point no good,0.000,-1.000
2,2:04,,,NWE 35,15,12,"Stephen Gostkowski kicks off 62 yards, returned by Kenjon Barner for 27 yards (tackle by Stephen Gostkowski)",0.000,0.940
2,1:59,1,10,PHI 30,15,12,Nick Foles pass complete short right to Zach Ertz for 7 yards (tackle by Jordan Richards),0.940,1.340
2,1:52,2,3,PHI 37,15,12,Nick Foles pass incomplete short left intended for Torrey Smith (defended by Eric Rowe),1.340,0.630
2,1:46,3,3,PHI 37,15,12,Nick Foles pass complete short right to Corey Clement for 55 yards (tackle by Patrick Chung),0.630,5.370
2,0:53,1,8,NWE 8,15,12,Corey Clement left guard for 6 yards (tackle by Duron Harmon and Elandon Roberts),5.370,5.720
2,0:45,,,,,,Timeout #1 by New England Patriots,0.000,-5.720
2,0:45,2,2,NWE 2,15,12,Corey Clement middle for 1 yard,5.720,5.170
2,0:41,,,,,,Timeout #2 by New England Patriots,0.000,-5.170
2,0:41,3,1,NWE 1,15,12,Nick Foles pass incomplete short left intended for Alshon Jeffery (defended by Stephon Gilmore),5.170,3.550
2,0:38,,,,,,Timeout #1 by Philadelphia Eagles,0.000,-3.550
2,0:38,4,1,NWE 1,21,12,"Trey Burton pass complete short right to Nick Foles for 1 yard, touchdown",3.550,7.000
2,0:34,,,NWE 15,22,12,Jake Elliott kicks extra point good,0.000,0.000
2,0:34,,,PHI 35,22,12,"Jake Elliott kicks off 65 yards, touchback",0.000,0.610
2,0:34,1,10,NWE 25,22,12,Tom Brady pass incomplete deep right intended for Danny Amendola,0.610,0.060
2,0:27,2,10,NWE 25,22,12,Tom Brady pass complete deep left to Phillip Dorsett for 19 yards (tackle by Ronald Darby),0.060,1.860
2,0:22,,,,,,Timeout #3 by New England Patriots,0.000,-1.860
2,0:22,1,10,NWE 44,22,12,Tom Brady left end for 6 yards (tackle by Brandon Graham),1.860,2.130
2,0:04,2,4,,22,12,Tom Brady spiked the ball,2.130,1.420
2,0:03,,,,,,Timeout #2 by Philadelphia Eagles,0.000,-1.420
2,0:03,3,4,,22,12,Tom Brady pass complete short right to Danny Amendola for 23 yards (tackle by Corey Graham),1.420,0.740
Quarter,Time,Down,ToGo,Location,PHI,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,22,12,"Jake Elliott kicks off 65 yards, touchback",0.000,0.610
3,15:00,1,10,NWE 25,22,12,Tom Brady pass incomplete short right intended for Rob Gronkowski,0.610,0.060
3,14:57,2,10,NWE 25,22,12,Tom Brady pass complete deep right to Rob Gronkowski for 25 yards (tackle by Corey Graham),0.060,2.260
3,14:33,1,10,,22,12,Tom Brady pass complete deep right to Rob Gronkowski for 24 yards (tackle by Corey Graham),2.260,3.840
3,14:10,1,10,PHI 26,22,12,James White left tackle for 4 yards (tackle by Vinny Curry),3.840,3.840
3,13:32,2,6,PHI 22,22,12,Tom Brady pass incomplete short right intended for James Develin,3.840,3.140
3,13:25,3,6,PHI 22,22,12,Tom Brady pass complete short left to Rob Gronkowski for 14 yards (tackle by Corey Graham),3.140,5.370
3,12:55,1,8,PHI 8,22,12,James White middle for 3 yards (tackle by Jalen Mills and Chris Long),5.370,5.150
3,12:19,2,5,PHI 5,22,18,"Tom Brady pass complete short left to Rob Gronkowski for 5 yards, touchdown",5.150,7.000
3,12:15,,,PHI 15,22,19,Stephen Gostkowski kicks extra point good,0.000,0.000
3,12:15,,,NWE 35,22,19,"Stephen Gostkowski kicks off 65 yards, returned by Kenjon Barner for 25 yards (tackle by Johnson Bademosi). Penalty on Kamu Grugier-Hill: Illegal Block Above the Waist, 10 yards",0.000,-0.220
3,12:08,1,10,PHI 15,22,19,LeGarrette Blount left guard for 4 yards (tackle by Malcom Brown and Trey Flowers),-0.220,-0.110
3,11:34,2,6,PHI 19,22,19,Nick Foles pass incomplete short left intended for Nelson Agholor,-0.110,-0.880
3,11:27,3,6,PHI 19,22,19,Nick Foles pass complete short left to Nelson Agholor for 17 yards (tackle by Patrick Chung),-0.880,1.330
3,10:53,1,10,PHI 36,22,19,LeGarrette Blount right end for 5 yards (tackle by Lawrence Guy),1.330,1.470
3,10:10,2,5,PHI 41,22,19,LeGarrette Blount left guard for 10 yards (tackle by Malcom Brown),1.470,2.320
3,9:27,1,10,NWE 49,22,19,Nick Foles pass incomplete short right intended for Torrey Smith,2.320,1.780
3,9:23,2,10,NWE 49,22,19,Jay Ajayi right end for 9 yards (tackle by Elandon Roberts and Patrick Chung),1.780,2.280
3,8:57,3,1,NWE 40,22,19,Nick Foles pass complete short right to Zach Ertz for 14 yards (tackle by Jordan Richards),2.280,3.840
3,8:14,1,10,NWE 26,22,19,LeGarrette Blount left end for 4 yards (tackle by Trey Flowers),3.840,3.840
3,7:33,2,6,NWE 22,22,19,Nick Foles pass incomplete deep right intended for Trey Burton,3.840,3.140
3,7:25,3,6,NWE 22,28,19,"Nick Foles pass complete deep left to Corey Clement for 22 yards, touchdown",3.140,7.000
3,7:18,,,NWE 15,29,19,Jake Elliott kicks extra point good,0.000,0.000
3,7:18,,,PHI 35,29,19,"Jake Elliott kicks off 65 yards, returned by Dion Lewis for 25 yards (tackle by Najee Goode)",0.000,0.610
3,7:13,1,10,NWE 25,29,19,Dion Lewis right tackle for 1 yard (tackle by Jalen Mills and Vinny Curry),0.610,0.200
3,6:37,2,9,NWE 26,29,19,"Tom Brady pass incomplete short left intended for Chris Hogan (defended by Corey Graham). Penalty on Mychal Kendricks: Defensive Holding, 5 yards (no play)",0.200,1.000
3,6:32,1,10,NWE 31,29,19,Dion Lewis left guard for 1 yard (tackle by Vinny Curry and Nigel Bradham),1.000,0.600
3,5:51,2,9,NWE 32,29,19,Tom Brady pass complete short middle to Chris Hogan for 16 yards (tackle by Ronald Darby),0.600,2.130
3,5:20,1,10,NWE 48,29,19,Dion Lewis left guard for 2 yards (tackle by Malcolm Jenkins),2.130,1.850
3,4:45,2,8,,29,19,Dion Lewis middle for 6 yards (tackle by Rodney McLeod and Jalen Mills),1.850,1.950
3,4:07,3,2,PHI 44,29,19,Tom Brady pass complete deep left to Danny Amendola for 18 yards (tackle by Patrick Robinson),1.950,3.840
3,3:29,1,10,PHI 26,29,25,"Tom Brady pass complete deep right to Chris Hogan for 26 yards, touchdown",3.840,7.000
3,3:23,,,PHI 15,29,26,Stephen Gostkowski kicks extra point good,0.000,0.000
3,3:23,,,NWE 35,29,26,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,0.610
3,3:23,1,10,PHI 25,29,26,Nick Foles pass complete deep right to Nelson Agholor for 24 yards (tackle by Patrick Chung),0.610,2.190
3,2:42,1,10,PHI 49,29,26,Nick Foles pass complete short middle to Torrey Smith for 17 yards (tackle by Devin McCourty),2.190,3.310
3,2:04,1,10,NWE 34,29,26,LeGarrette Blount right end for 2 yards (tackle by Malcom Brown),3.310,3.040
3,1:23,2,8,NWE 32,29,26,Nelson Agholor left end for 9 yards (tackle by Eric Rowe and Patrick Chung),3.040,4.040
3,0:39,1,10,NWE 23,29,26,Nick Foles pass incomplete deep left intended for Zach Ertz,4.040,3.500
3,0:34,2,10,NWE 23,29,26,Nick Foles pass complete short left to Torrey Smith for 7 yards (tackle by Devin McCourty),3.500,3.850
Quarter,Time,Down,ToGo,Location,PHI,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,3,NWE 16,29,26,Nick Foles pass complete short right to Nelson Agholor for -8 yards (tackle by Marquis Flowers),3.850,1.870
4,14:14,4,11,NWE 24,32,26,Jake Elliott 42 yard field goal good. Penalty on James Harrison: Defensive Offside (Declined),1.870,3.000
4,14:09,,,PHI 35,32,26,"Jake Elliott kicks off 65 yards, touchback",0.000,0.610
4,14:09,1,10,NWE 25,32,26,Rex Burkhead right guard for 5 yards (tackle by Patrick Robinson),0.610,0.740
4,13:43,2,5,NWE 30,32,26,Rex Burkhead left guard for 9 yards (tackle by Vinny Curry),0.740,1.530
4,13:11,1,10,NWE 39,32,26,Rex Burkhead left end for 4 yards (tackle by Jalen Mills),1.530,1.530
4,12:29,2,6,NWE 43,32,26,Tom Brady pass complete short left to Chris Hogan for 3 yards (tackle by Ronald Darby),1.530,1.220
4,11:49,3,3,NWE 46,32,26,Tom Brady pass complete short right to Danny Amendola for 7 yards (tackle by Jalen Mills),1.220,2.460
4,11:24,1,10,PHI 47,32,26,Tom Brady pass complete short left to Danny Amendola for 30 yards (tackle by Rodney McLeod),2.460,4.440
4,10:57,1,10,PHI 17,32,26,Tom Brady pass complete short left to Danny Amendola for 9 yards (tackle by Beau Allen),4.440,5.480
4,10:13,2,1,PHI 8,32,26,James White middle for 4 yards (tackle by Mychal Kendricks),5.480,6.280
4,9:31,1,4,PHI 4,32,26,Tom Brady pass incomplete short left intended for James White,6.280,5.340
4,9:26,2,4,PHI 4,32,32,"Tom Brady pass complete short left to Rob Gronkowski for 4 yards, touchdown",5.340,7.000
4,9:22,,,PHI 15,32,33,Stephen Gostkowski kicks extra point good,0.000,0.000
4,9:22,,,NWE 35,32,33,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,0.610
4,9:22,1,10,PHI 25,32,33,Jay Ajayi right end for 4 yards (tackle by Devin McCourty),0.610,0.600
4,8:43,2,6,PHI 29,32,33,Nick Foles pass incomplete deep left intended for Torrey Smith,0.600,-0.100
4,8:35,,,,,,Timeout #1 by New England Patriots,0.000,0.100
4,8:35,3,6,PHI 29,32,33,Nick Foles pass complete short middle to Zach Ertz for 7 yards (tackle by Stephon Gilmore),-0.100,1.330
4,7:56,1,10,PHI 36,32,33,LeGarrette Blount left tackle for 2 yards (tackle by Lawrence Guy and Trey Flowers),1.330,1.060
4,7:11,2,8,PHI 38,32,33,Nick Foles pass complete short right to Corey Clement for 7 yards,1.060,1.290
4,6:26,3,1,PHI 45,32,33,Nick Foles pass complete short left to Torrey Smith for no gain,1.290,-0.390
4,5:39,4,1,PHI 45,32,33,Nick Foles pass complete short left to Zach Ertz for 2 yards (tackle by Duron Harmon),-0.390,2.060
4,4:52,,,,,,Timeout #1 by Philadelphia Eagles,0.000,-2.060
4,4:52,1,10,PHI 47,32,33,LeGarrette Blount left guard for 1 yard (tackle by Malcom Brown and Trey Flowers),2.060,1.650
4,4:11,2,9,PHI 48,32,33,Nick Foles pass complete short right to Nelson Agholor for 10 yards (tackle by Patrick Chung),1.650,2.790
4,3:25,1,10,NWE 42,32,33,Nick Foles pass complete short middle to Nelson Agholor for 18 yards (tackle by Devin McCourty),2.790,3.970
4,2:43,1,10,NWE 24,32,33,Nick Foles pass complete short left to Nelson Agholor for 10 yards (tackle by Duron Harmon),3.970,4.650
4,2:37,1,10,NWE 14,32,33,Jay Ajayi middle for 3 yards (tackle by Malcom Brown and Lawrence Guy),4.650,4.520
4,2:30,,,,,,Timeout #2 by New England Patriots,0.000,-4.520
4,2:30,2,7,NWE 11,32,33,Nick Foles pass incomplete short right intended for Alshon Jeffery,4.520,3.620
4,2:25,3,7,NWE 11,38,33,"Nick Foles pass complete short left to Zach Ertz for 11 yards, touchdown",3.620,7.000
4,2:21,,,NWE 2,38,33,"Two Point Attempt: Nick Foles pass incomplete intended for Corey Clement, conversion fails",0.000,-1.000
4,2:21,,,PHI 35,38,33,"Jake Elliott kicks off 65 yards, touchback",0.000,0.610
4,2:21,1,10,NWE 25,38,33,Tom Brady pass complete short right to Rob Gronkowski for 8 yards (tackle by Nigel Bradham),0.610,1.140
4,2:16,2,2,NWE 33,38,33,"Tom Brady sacked by Brandon Graham for -7 yards. Tom Brady fumbles (forced by Brandon Graham), recovered by Derek Barnett at NWE-28 (tackle by David Andrews)",1.140,-3.510
4,2:09,1,10,NWE 31,38,33,LeGarrette Blount left guard for 2 yards (tackle by Lawrence Guy and Jordan Richards),3.510,3.240
4,2:03,2,8,NWE 29,38,33,LeGarrette Blount right tackle for 3 yards (tackle by Lawrence Guy),3.240,2.940
4,2:03,,,,,,Timeout #3 by New England Patriots,0.000,-2.940
4,1:56,3,5,NWE 26,38,33,LeGarrette Blount right tackle for -1 yards (tackle by Adam Butler and Malcom Brown),2.940,1.700
4,1:10,,,,,,Timeout #2 by Philadelphia Eagles,0.000,-1.700
4,1:10,4,6,NWE 27,41,33,Jake Elliott 46 yard field goal good,1.700,3.000
4,1:05,,,PHI 35,41,33,--,0.000,-0.380
4,0:58,1,10,NWE 9,41,33,Tom Brady pass incomplete deep right intended for Chris Hogan,-0.380,-0.780
4,0:53,2,10,NWE 9,41,33,Tom Brady pass incomplete short left intended for James White,-0.780,-1.420
4,0:48,3,10,NWE 9,41,33,Tom Brady pass incomplete short middle intended for Danny Amendola,-1.420,-2.490
4,0:42,4,10,NWE 9,41,33,Tom Brady pass complete short middle to Danny Amendola for 13 yards (tackle by Nigel Bradham),-2.490,0.410
4,0:27,1,10,NWE 22,41,33,Tom Brady spiked the ball,0.410,-0.130
4,0:26,2,10,NWE 22,41,33,Tom Brady pass complete short right to Rob Gronkowski for 11 yards (tackle by Patrick Robinson),-0.130,1.140
4,0:20,1,10,NWE 33,41,33,Tom Brady pass complete short right to Rob Gronkowski for 16 yards (tackle by Jalen Mills),1.140,2.190
4,0:13,,,,,,Timeout #3 by Philadelphia Eagles,0.000,-2.190
4,0:13,1,10,NWE 49,41,33,Tom Brady pass incomplete short left intended for Phillip Dorsett (defended by Ronald Darby),2.190,1.650
4,0:09,2,10,NWE 49,41,33,Tom Brady pass incomplete deep right intended for Rob Gronkowski,1.650,0.960
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
