Quarter,Time,Down,ToGo,Location,HOU,CLE,Detail,EPB,EPA
3,12:30,2,9,CLE 29,14,14,Baker Mayfield pass complete short middle to Rashard Higgins for 13 yards (tackle by Vernon Hargreaves),,
3,11:48,1,10,CLE 42,14,14,Baker Mayfield pass complete short right to Harrison Bryant for 6 yards (tackle by Terrance Mitchell),,
3,11:06,2,4,CLE 48,14,14,"Anthony Schwartz right end for no gain (tackle by Christian Kirksey). Penalty on Christian Kirksey: Face Mask (15 Yards), 15 yards (accepted) (no play)",,
3,10:39,1,10,HOU 37,14,14,Baker Mayfield pass complete short right to Austin Hooper for 5 yards (tackle by Zach Cunningham and Kamu Grugier-Hill),,
3,9:52,2,5,HOU 32,14,14,Nick Chubb right end for 8 yards (tackle by Kamu Grugier-Hill),,
3,9:10,1,10,HOU 24,14,14,Nick Chubb right guard for 1 yard (tackle by Ross Blacklock),,
3,8:26,2,9,HOU 23,14,14,"Baker Mayfield pass complete short right to Nick Chubb for no gain (tackle by Christian Kirksey). Penalty on Jack Conklin: Offensive Holding, 10 yards (accepted) (no play)",,
3,7:59,2,19,HOU 33,14,20,"Baker Mayfield pass complete short left to Demetric Felton for 33 yards, touchdown",,
3,7:50,,,HOU 15,14,21,Chase McLaughlin kicks extra point good,,
3,7:50,,,CLE 35,14,21,"Penalty on Tremon Smith: Defensive Offside, 5 yards (accepted) (no play)",,
3,7:50,,,CLE 35,14,21,"Chase McLaughlin kicks off 61 yards, returned by Andre Roberts for 17 yards (tackle by A.J. Green). Penalty on Phillip Lindsay: Offensive Illegal Block Above the Waist, 8 yards (accepted)",,
3,7:45,1,10,HOU 8,14,21,Davis Mills up the middle for 2 yards (tackle by Mack Wilson and Sione Takitaki),,
3,7:10,2,8,HOU 10,14,21,Phillip Lindsay right end for -2 yards (tackle by Troy Hill),,
3,6:27,3,10,HOU 8,14,21,Davis Mills pass short middle intended for Andre Roberts is intercepted by Malcolm Smith at HOU-18 and returned for no gain,,
3,6:17,1,10,HOU 18,14,21,Nick Chubb right end for 6 yards (tackle by Christian Kirksey),,
3,5:44,2,4,HOU 12,14,21,Baker Mayfield scrambles left end for 1 yard. Baker Mayfield fumbles (forced by Kamu Grugier-Hill). Baker Mayfield fumbles out of bounds,,
3,5:25,3,3,HOU 11,14,21,Kareem Hunt up the middle for -1 yards (tackle by Maliek Collins and Christian Kirksey),,
3,4:43,4,4,HOU 12,14,24,Chase McLaughlin 30 yard field goal good,,
3,4:40,,,CLE 35,14,24,"Chase McLaughlin kicks off 65 yards, touchback.",,
3,4:40,1,10,HOU 25,14,24,Mark Ingram right guard for 8 yards (tackle by Malcolm Smith),,
3,4:00,2,2,HOU 33,14,24,Phillip Lindsay right end for 5 yards (tackle by Grant Delpit and Malcolm Smith),,
3,3:22,1,10,HOU 38,14,24,Davis Mills pass incomplete deep middle intended for Brandin Cooks,,
3,3:15,2,10,HOU 38,14,24,Mark Ingram left guard for 3 yards (tackle by Greg Newsome and Malik Jackson),,
3,2:30,3,7,HOU 41,14,24,Davis Mills pass complete short left to Jordan Akins for 17 yards (tackle by Ronnie Harrison),,
3,2:12,1,10,CLE 42,14,24,"Penalty on Jordan Akins: Taunting / Offense, 15 yards (accepted) (no play)",,
3,1:57,1,10,HOU 43,14,24,Davis Mills pass incomplete short middle intended for Jordan Akins,,
3,1:52,2,10,HOU 43,14,24,"Davis Mills right end for -3 yards (tackle by Grant Delpit) Penalty on HOU: Illegal Shift, 5 yards (declined)",,
3,1:22,,,,,,Timeout #1 by Houston Texans,,
3,1:22,3,13,HOU 40,14,24,Davis Mills pass complete short right to David Johnson for 14 yards (tackle by John Johnson and Grant Delpit),,
3,0:55,1,10,CLE 46,14,24,Mark Ingram left end for 3 yards (tackle by Elijah Lee),,
3,0:17,2,7,CLE 43,14,24,Mark Ingram left end for 1 yard (tackle by Malik McDowell and Takkarist McKinley),,
Quarter,Time,Down,ToGo,Location,HOU,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,6,CLE 42,14,24,"Davis Mills pass incomplete short right intended for Brandin Cooks. Penalty on Troy Hill: Defensive Holding, 5 yards (declined) . Penalty on Greg Newsome: Defensive Pass Interference, 27 yards (accepted) (no play)",,
4,14:55,1,10,CLE 15,14,24,Mark Ingram left guard for 2 yards (tackle by Greg Newsome and Ronnie Harrison),,
4,14:16,2,8,CLE 13,14,24,Davis Mills pass complete short left to Brandin Cooks for 7 yards (tackle by Jeremiah Owusu-Koramoah),,
4,13:36,3,1,CLE 6,14,24,Mark Ingram up the middle for 3 yards (tackle by Joe Jackson),,
4,12:55,1,3,CLE 3,14,24,Mark Ingram up the middle for 2 yards (tackle by Mack Wilson),,
4,12:15,2,1,CLE 1,14,24,Mark Ingram up the middle for -1 yards (tackle by Ronnie Harrison),,
4,11:34,3,2,CLE 2,20,24,"Davis Mills pass complete short right to Brandin Cooks for 2 yards, touchdown",,
4,11:32,,,CLE 15,21,24,Joey Slye kicks extra point good,,
4,11:32,,,HOU 35,21,24,"Joey Slye kicks off 63 yards, returned by Demetric Felton for 16 yards (tackle by Lonnie Johnson)",,
4,11:25,1,10,CLE 18,21,24,Kareem Hunt right end for 3 yards (tackle by Tremon Smith),,
4,11:00,2,7,CLE 21,21,24,Baker Mayfield pass complete short right to Austin Hooper for 5 yards (tackle by Zach Cunningham and Tremon Smith),,
4,10:15,3,2,CLE 26,21,24,Baker Mayfield scrambles left end for 4 yards (tackle by Vernon Hargreaves),,
4,9:34,1,10,CLE 30,21,24,Baker Mayfield pass complete short right to Demetric Felton for 18 yards (tackle by Charles Omenihu),,
4,8:51,1,10,CLE 48,21,24,Kareem Hunt right end for 5 yards (tackle by Zach Cunningham and Tremon Smith),,
4,8:10,2,5,HOU 47,21,24,Kareem Hunt right end for 6 yards (tackle by Zach Cunningham),,
4,7:27,1,10,HOU 41,21,24,Nick Chubb left guard for 14 yards (tackle by Kamu Grugier-Hill and Vernon Hargreaves),,
4,6:41,1,10,HOU 27,21,24,Baker Mayfield scrambles left end for 1 yard (tackle by Tremon Smith),,
4,5:59,2,9,HOU 26,21,30,"Nick Chubb right guard for 26 yards, touchdown",,
4,5:52,,,HOU 15,21,31,Chase McLaughlin kicks extra point good,,
4,5:52,,,CLE 35,21,31,"Penalty on Tavierre Thomas: Defensive Offside, 5 yards (accepted) (no play)",,
4,5:52,1,10,CLE 40,21,31,"Chase McLaughlin kicks off 65 yards, returned by Desmond King for 27 yards (tackle by Demetric Felton and Mack Wilson)",,
4,5:47,1,10,HOU 22,21,31,Davis Mills pass incomplete short middle intended for Pharaoh Brown (defended by Jeremiah Owusu-Koramoah),,
4,5:43,2,10,HOU 22,21,31,"Davis Mills pass incomplete intended for Brandin Cooks. Penalty on Tytus Howard: Ineligible Downfield Pass, 5 yards (declined)",,
4,5:38,3,10,HOU 22,21,31,Davis Mills pass incomplete deep right intended for Brandin Cooks (defended by Greg Newsome),,
4,5:31,4,10,HOU 22,21,31,"Cameron Johnston punts 56 yards, returned by Demetric Felton for 15 yards (tackle by Terrence Brooks)",,
4,5:19,1,10,CLE 37,21,31,Kareem Hunt right guard for 1 yard (tackle by Joe Thomas),,
4,4:33,2,9,CLE 38,21,31,Kareem Hunt left end for 5 yards (tackle by Charles Omenihu),,
4,3:46,3,4,CLE 43,21,31,Baker Mayfield pass complete short right to Kareem Hunt for 2 yards (tackle by Zach Cunningham),,
4,3:40,,,,,,Timeout #2 by Houston Texans,,
4,3:40,,,,,,Timeout #1 by Cleveland Browns,,
4,3:40,4,1,CLE 45,21,31,Jamie Gillan punts 43 yards out of bounds,,
4,3:33,1,10,HOU 12,21,31,"Davis Mills pass complete short left to David Johnson for 8 yards (tackle by Jordan Elliott). Penalty on Justin Britt: Offensive Holding, 10 yards (accepted)",,
4,3:25,1,12,HOU 10,21,31,Davis Mills pass complete short left to Brandin Cooks for 11 yards (tackle by Denzel Ward),,
4,3:03,2,1,HOU 21,21,31,"Davis Mills pass complete short right to Brandin Cooks for 8 yards (tackle by Malcolm Smith). Penalty on Malcolm Smith: Face Mask (15 Yards), 15 yards (accepted)",,
4,2:54,1,10,HOU 44,21,31,Davis Mills pass incomplete short right intended for Chris Conley,,
4,2:47,2,10,HOU 44,21,31,Davis Mills pass complete deep right to Andre Roberts for 35 yards (tackle by John Johnson),,
4,2:39,1,10,CLE 21,21,31,Davis Mills pass incomplete deep right,,
4,2:32,2,10,CLE 21,21,31,"Davis Mills sacked by Grant Delpit for -7 yards. Davis Mills fumbles (forced by Grant Delpit), recovered by Marcus Cannon at CLE-28 (tackle by Takkarist McKinley)",,
4,2:15,3,17,CLE 28,21,31,"Davis Mills scrambles right end for no gain (tackle by Troy Hill). Penalty on Jordan Elliott: Defensive Offside, 5 yards (accepted) (no play)",,
4,2:08,3,12,CLE 23,21,31,Davis Mills pass incomplete short left intended for Brandin Cooks,,
4,2:03,4,12,CLE 23,21,31,Joey Slye 41 yard field goal no good blocked by M.J. Stewart,,
4,1:59,1,10,CLE 31,21,31,Baker Mayfield kneels for -1 yards,,
4,1:18,2,11,CLE 30,21,31,Baker Mayfield kneels for -1 yards,,
4,0:38,3,12,CLE 29,21,31,Baker Mayfield kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
