Quarter,Time,Down,ToGo,Location,DEN,CLE,Detail,EPB,EPA
3,14:49,2,10,CLE 26,10,0,"Penalty on Kevin Shaffer: False Start, 5 yards (no play)",0.130,-0.550
3,14:49,2,15,CLE 21,10,0,Charlie Frye pass complete short middle to Kellen Winslow for 5 yards (tackle by Al Wilson),-0.550,-0.560
3,14:13,3,10,CLE 26,10,0,Charlie Frye pass incomplete short right intended for Kellen Winslow (defended by Sam Brandon),-0.560,-1.630
3,14:08,4,10,CLE 26,10,0,"Dave Zastudil punts 36 yards, returned by Darrent Williams for 6 yards (tackle by Brodney Pool)",-1.630,-1.860
3,13:55,1,10,DEN 44,10,0,Tatum Bell left tackle for 6 yards (tackle by Andra Davis and Orpheus Roye),1.860,2.130
3,13:20,2,4,,10,0,Jake Plummer pass complete short left to Javon Walker for 5 yards (tackle by Ralph Brown),2.130,2.590
3,12:44,1,10,CLE 45,10,0,Jake Plummer pass complete short right to Rod Smith for 9 yards (tackle by Daven Holly). Penalty on Ralph Brown: Illegal Use of Hands (Declined),2.590,3.260
3,12:21,2,1,CLE 36,10,0,Jake Plummer left end for 8 yards (tackle by D'Qwell Jackson),3.260,3.710
3,11:35,1,10,CLE 28,10,0,Tatum Bell right tackle for 1 yard (tackle by Ted Washington and Simon Fraser),3.710,3.300
3,10:52,2,9,CLE 27,10,0,Tatum Bell right guard for 3 yards (tackle by Andra Davis),3.300,3.010
3,10:10,3,6,CLE 24,10,0,Jake Plummer pass complete short middle to Javon Walker for 15 yards (tackle by Daven Holly),3.010,5.140
3,9:22,1,9,CLE 9,10,0,Jake Plummer pass incomplete short left intended for Brandon Marshall (defended by Ralph Brown),5.140,4.380
3,9:18,2,9,CLE 9,16,0,"Jake Plummer pass complete short left to Brandon Marshall for 9 yards, touchdown",4.380,7.000
3,,,,CLE 2,17,0,Jason Elam kicks extra point good,0.000,0.000
3,,,,DEN 30,17,0,"Paul Ernster kicks off 66 yards, returned by Josh Cribbs for 25 yards (tackle by Cecil Sapp)",0.000,0.870
3,9:05,1,10,CLE 29,17,0,Charlie Frye pass incomplete short left intended for Kellen Winslow,0.870,0.330
3,9:00,2,10,CLE 29,17,0,Reuben Droughns right guard for 1 yard (tackle by Michael Myers and Sam Brandon),0.330,-0.230
3,8:17,3,9,CLE 30,17,0,Charlie Frye pass incomplete short right intended for Braylon Edwards (defended by Champ Bailey),-0.230,-1.370
3,8:11,4,9,CLE 30,17,0,"Dave Zastudil punts 31 yards, returned by Darrent Williams for 1 yard (tackle by Matt Stewart)",-1.370,-1.600
3,7:57,1,10,DEN 40,17,0,Jake Plummer pass incomplete short left intended for Tatum Bell,1.600,1.050
3,7:54,2,10,DEN 40,17,0,Tatum Bell left guard for 8 yards (tackle by D'Qwell Jackson),1.050,1.420
3,7:13,3,2,DEN 48,17,0,Jake Plummer for 3 yards,1.420,2.320
3,6:46,1,10,CLE 49,17,0,Mike Bell right tackle for 17 yards (tackle by Sean Jones),2.320,3.450
3,6:06,1,10,CLE 32,17,0,Mike Bell left guard for 2 yards (tackle by Ted Washington),3.450,3.170
3,5:29,2,8,CLE 30,17,0,Jake Plummer pass incomplete short right intended for David Kircus,3.170,2.480
3,5:26,,,,17,0,Timeout #1 by Denver Broncos,0.000,2.480
3,5:25,3,8,CLE 30,17,0,Jake Plummer pass complete short left to Javon Walker for 8 yards (tackle by Jereme Perry),2.480,4.110
3,4:41,1,10,CLE 22,17,0,Mike Bell left tackle for -3 yards (tackle by Kamerion Wimbley),4.110,3.160
3,4:01,2,13,CLE 25,17,0,Mike Bell right tackle for 1 yard (tackle by Orpheus Roye and D'Qwell Jackson),3.160,2.610
3,3:15,,,,17,0,Timeout #2 by Denver Broncos,0.000,2.610
3,3:15,3,12,CLE 24,17,0,Jake Plummer pass incomplete deep left intended for David Kircus,2.610,1.870
3,3:09,4,12,CLE 24,17,0,Jason Elam 43 yard field goal no good,1.870,-1.140
3,3:04,1,10,CLE 33,17,0,Charlie Frye pass complete short left to Reuben Droughns for 2 yards (tackle by Darrent Williams),1.140,0.860
3,2:24,,,,17,0,Timeout #1 by Cleveland Browns,0.000,0.860
3,2:24,2,8,CLE 35,17,0,Charlie Frye pass complete short left to Josh Cribbs for 11 yards (tackle by Al Wilson),0.860,1.990
3,1:43,1,10,CLE 46,17,0,Charlie Frye pass complete short right to Braylon Edwards for 4 yards (tackle by Al Wilson and Demetrin Veal),1.990,1.990
3,1:00,2,6,,17,0,Charlie Frye pass complete short left to Reuben Droughns for 7 yards (tackle by Michael Myers and Sam Brandon),1.990,2.720
3,1:00,1,10,DEN 43,17,0,"Penalty on CLE: Illegal Substitution, 5 yards (no play)",2.720,2.390
3,0:16,1,15,DEN 48,17,0,Charlie Frye pass incomplete short middle intended for Josh Cribbs (defended by John Engelberger),2.390,1.500
3,0:12,2,15,DEN 48,17,0,Charlie Frye pass complete short left to Josh Cribbs for 8 yards (tackle by Ian Gold),1.500,1.880
Quarter,Time,Down,ToGo,Location,DEN,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,DEN 40,17,0,Charlie Frye pass incomplete deep right intended for Braylon Edwards is intercepted by Champ Bailey and returned for 30 yards,1.880,-0.670
4,14:48,1,10,DEN 26,17,0,Jake Plummer pass complete short right to Rod Smith for 3 yards (tackle by Jereme Perry),0.670,0.540
4,14:00,2,7,DEN 29,17,0,Mike Bell right guard for -1 yards (tackle by Nick Eason),0.540,-0.300
4,13:17,3,8,DEN 28,17,0,Jake Plummer pass incomplete short middle intended for Rod Smith is intercepted by Andra Davis at DEN-37 and returned for 19 yards,-0.300,-4.370
4,13:09,1,10,DEN 18,17,0,Reuben Droughns left guard for 5 yards (tackle by Demetrin Veal and Michael Myers),4.370,4.610
4,12:28,2,5,DEN 13,17,0,Reuben Droughns right guard for 7 yards (tackle by Nick Ferguson),4.610,5.830
4,11:49,1,6,DEN 6,17,6,"Charlie Frye pass complete short right to Joe Jurevicius for 6 yards, touchdown",5.830,7.000
4,,,,DEN 2,17,7,Phil Dawson kicks extra point good,0.000,0.000
4,,,,CLE 30,17,7,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
4,11:43,1,10,DEN 20,17,7,Tatum Bell left tackle for 12 yards (tackle by Daven Holly),0.280,1.070
4,11:01,1,10,DEN 32,17,7,Tatum Bell right guard for 2 yards (tackle by Ted Washington),1.070,0.800
4,10:24,2,8,DEN 34,17,7,Tatum Bell right tackle for -1 yards (tackle by Willie McGinest),0.800,-0.030
4,9:43,3,9,DEN 33,17,7,Jake Plummer pass incomplete short left intended for Rod Smith (defended by Ralph Brown),-0.030,-1.180
4,9:38,4,9,DEN 33,17,7,Paul Ernster punts 27 yards,-1.180,-1.600
4,9:31,1,10,CLE 40,17,7,Charlie Frye pass complete short middle to Kellen Winslow for 18 yards (tackle by John Lynch),1.600,2.790
4,9:04,1,10,DEN 42,17,7,Charlie Frye sacked by Kenard Lang for -1 yards,2.790,2.110
4,8:36,2,11,DEN 43,17,7,Charlie Frye pass incomplete short right intended for Joe Jurevicius,2.110,1.420
4,8:32,3,11,DEN 43,17,7,Charlie Frye middle for 1 yard (tackle by Ebenezer Ekuban),1.420,0.460
4,7:51,4,10,DEN 42,17,7,Charlie Frye pass incomplete short middle intended for Braylon Edwards,0.460,-1.800
4,7:45,1,10,DEN 43,17,7,Tatum Bell right tackle for 2 yards (tackle by Orpheus Roye and D'Qwell Jackson),1.800,1.520
4,7:05,2,8,DEN 45,17,7,Jake Plummer pass incomplete short left intended for Javon Walker (defended by Jereme Perry),1.520,0.830
4,7:01,,,,17,7,Timeout #3 by Denver Broncos,0.000,0.830
4,7:00,3,8,DEN 45,17,7,Jake Plummer pass incomplete short right intended for Javon Walker (defended by Ralph Brown),0.830,-0.390
4,6:57,4,8,DEN 45,17,7,"Paul Ernster punts 39 yards, muffed catch by Josh Cribbs, recovered by Josh Cribbs and returned for 2 yards (tackle by Mike Leach)",-0.390,0.220
4,6:46,1,10,CLE 15,17,7,Charlie Frye pass incomplete short right intended for Kellen Winslow (defended by Nick Ferguson),-0.220,-0.710
4,6:43,2,10,CLE 15,17,7,Charlie Frye pass incomplete short right intended for Joe Jurevicius,-0.710,-1.370
4,6:39,3,10,CLE 15,17,7,Charlie Frye sacked by Elvis Dumervil for -7 yards,-1.370,-2.490
4,6:10,4,17,CLE 8,17,7,"Dave Zastudil punts 61 yards, returned by Darrent Williams for 3 yards (tackle by Brodney Pool). Penalty on Sam Brandon: Illegal Block Above the , 10 yards",-2.490,-0.540
4,5:57,1,10,DEN 24,17,7,Mike Bell left guard for 5 yards (tackle by Ted Washington),0.540,0.670
4,5:14,2,5,DEN 29,17,7,Mike Bell right guard for 2 yards (tackle by Ted Washington),0.670,0.230
4,4:31,3,3,DEN 31,17,7,Jake Plummer pass complete short right to Javon Walker for 6 yards (tackle by Daven Holly),0.230,1.400
4,3:46,1,10,DEN 37,17,7,Mike Bell right tackle for -3 yards (tackle by Orpheus Roye),1.400,0.450
4,3:02,2,13,DEN 34,17,7,Mike Bell left guard for 1 yard (tackle by Orpheus Roye and Andra Davis),0.450,-0.100
4,2:57,,,,17,7,Timeout #2 by Cleveland Browns,0.000,-0.100
4,2:56,3,12,DEN 35,17,7,Tatum Bell left guard for 13 yards (tackle by Brian Russell),-0.100,2.130
4,2:15,1,10,DEN 48,17,7,Tatum Bell left tackle for -2 yards (tackle by Kamerion Wimbley),2.130,1.310
4,2:09,,,,17,7,Timeout #3 by Cleveland Browns,0.000,1.310
4,2:08,2,12,DEN 46,17,7,Tatum Bell right guard for 1 yard (tackle by D'Qwell Jackson and Andra Davis),1.310,0.760
4,2:00,3,11,DEN 47,17,7,Tatum Bell left tackle for 2 yards (tackle by D'Qwell Jackson),0.760,-0.130
4,2:00,4,9,DEN 49,17,7,"Penalty on Paul Ernster: Delay of Game, 5 yards (no play)",-0.130,-0.460
4,1:06,4,14,DEN 44,17,7,Paul Ernster punts 25 yards,-0.460,-1.000
4,1:06,1,10,CLE 31,17,7,Charlie Frye sacked by Elvis Dumervil for -6 yards. Penalty on Kevin Shaffer: Offensive Holding (Declined),1.000,-0.350
4,1:02,2,16,CLE 25,17,7,Charlie Frye pass complete short left to Josh Cribbs for 7 yards (tackle by Domonique Foxworth),-0.350,-0.100
4,0:41,3,9,CLE 32,17,7,Charlie Frye pass complete short right to Josh Cribbs for 6 yards (tackle by Darrent Williams),-0.100,-0.850
4,0:36,4,3,CLE 38,17,7,Charlie Frye pass incomplete short right intended for Joe Jurevicius,-0.850,-3.050
4,0:31,1,10,CLE 38,17,7,Jake Plummer kneels for -1 yards,3.050,2.370
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
