Quarter,Time,Down,ToGo,Location,SEA,NOR,Detail,EPB,EPA
2,10:17,1,10,SEA 20,6,14,Matt Hasselbeck pass incomplete deep middle intended for John Carlson (defended by Usama Young),0.280,-0.270
2,10:11,2,10,SEA 20,6,14,Matt Hasselbeck pass incomplete short left intended for Marshawn Lynch,-0.270,-0.960
2,10:07,3,10,SEA 20,6,14,Matt Hasselbeck pass incomplete short right intended for Ben Obomanu,-0.960,-2.030
2,10:07,4,10,SEA 20,6,14,"Jon Ryan punts 37 yards, fair catch by Lance Moore. Penalty on Roy Lewis: Interference with Opport, 15 yards",-2.030,-2.790
2,9:54,1,10,SEA 42,6,14,Chris Ivory right end for 6 yards (tackle by David Hawthorne),2.790,3.050
2,9:14,2,4,SEA 36,6,14,Drew Brees pass complete short right to Jimmy Graham for 8 yards (tackle by David Hawthorne and Lofa Tatupu),3.050,3.710
2,8:31,1,10,SEA 28,6,14,Drew Brees pass incomplete deep right intended for Jimmy Graham (defended by Walter Thurmond),3.710,3.170
2,8:24,2,10,SEA 28,6,14,Drew Brees pass incomplete short left intended for Lance Moore,3.170,2.480
2,8:22,3,10,SEA 28,6,14,Drew Brees pass complete short right to Marques Colston for 16 yards (tackle by Walter Thurmond),2.480,4.780
2,7:43,1,10,SEA 12,6,14,Julius Jones right tackle for 5 yards (tackle by Walter Thurmond and Earl Thomas),4.780,5.020
2,7:10,2,5,SEA 7,6,14,"Ladell Betts right end for no gain (tackle by David Hawthorne and Lofa Tatupu). Penalty on Carl Nicks: Offensive Holding, 10 yards (no play)",5.020,3.420
2,6:35,2,15,SEA 17,6,14,Drew Brees pass complete short left to Marques Colston for 14 yards (tackle by Earl Thomas),3.420,5.060
2,5:53,3,1,SEA 3,6,20,"Drew Brees pass complete short middle to Robert Meachem for 3 yards, touchdown. Penalty on Jordan Babineaux: Defensive Holding (Declined)",5.060,7.000
2,5:53,,,SEA 2,6,21,Garrett Hartley kicks extra point good,0.000,0.000
2,5:48,,,NOR 30,6,21,"Garrett Hartley kicks off 52 yards, returned by Cameron Morrah for 13 yards (tackle by Pierson Prioleau)",0.000,1.000
2,5:44,1,10,SEA 31,6,21,Marshawn Lynch left end for 4 yards (tackle by Danny Clark and Scott Shanle),1.000,1.000
2,5:16,2,6,SEA 35,6,21,Matt Hasselbeck pass complete short right to Mike Williams for 10 yards (tackle by Jabari Greer),1.000,1.930
2,4:49,1,10,SEA 45,6,21,Matt Hasselbeck pass complete short left to Ben Obomanu for 11 yards (tackle by Usama Young),1.930,2.650
2,4:22,1,10,NOR 44,6,21,Matt Hasselbeck pass incomplete short left intended for Chris Baker,2.650,2.110
2,4:19,2,10,NOR 44,6,21,Matt Hasselbeck pass complete short left to Mike Williams for 3 yards (tackle by Tracy Porter),2.110,1.820
2,3:39,3,7,NOR 41,6,21,Matt Hasselbeck pass complete short left to Mike Williams for 15 yards (tackle by Tracy Porter),1.820,3.840
2,3:28,,,,6,21,Timeout #1 by New Orleans Saints,0.000,3.840
2,3:28,1,10,NOR 26,6,21,Matt Hasselbeck pass complete short right to Mike Williams for 3 yards (tackle by Scott Shanle),3.840,3.700
2,2:55,2,7,NOR 23,6,21,Matt Hasselbeck pass incomplete short right intended for Justin Forsett,3.700,3.010
2,2:51,3,7,NOR 23,6,21,Matt Hasselbeck pass complete short left to Brandon Stokley for 12 yards (tackle by Jonathan Vilma and Tracy Porter),3.010,4.840
2,2:11,1,10,NOR 11,6,21,Matt Hasselbeck pass complete short left to Brandon Stokley for 8 yards (tackle by Jonathan Vilma and Scott Shanle),4.840,5.660
2,2:01,,,,6,21,Timeout #2 by New Orleans Saints,0.000,5.660
2,2:01,2,2,NOR 3,6,21,Justin Forsett left tackle for 1 yard (tackle by Sedrick Ellis and Remi Ayodele),5.660,5.120
2,1:56,3,1,NOR 2,12,21,"Matt Hasselbeck pass complete short middle to Ben Obomanu for 2 yards, touchdown",5.120,7.000
2,1:56,,,NOR 2,13,21,Olindo Mare kicks extra point good,0.000,0.000
2,1:54,,,SEA 30,13,21,"Olindo Mare kicks off 70 yards, returned by Courtney Roby for 25 yards (tackle by Will Herring)",0.000,0.610
2,1:49,1,10,NOR 25,13,21,Drew Brees pass complete short right to Ladell Betts for 7 yards (tackle by Walter Thurmond),0.610,1.010
2,1:39,2,3,NOR 32,13,21,Drew Brees pass incomplete short middle intended for David Thomas (defended by Lofa Tatupu),1.010,0.300
2,1:39,3,3,NOR 32,13,21,"Drew Brees pass incomplete deep right intended for Marques Colston. Penalty on Raheem Brock: Roughing the Passer, 16 yards (no play)",0.300,2.130
2,1:27,1,10,NOR 48,13,21,Drew Brees pass complete short left to Ladell Betts for 25 yards (tackle by Lawyer Milloy),2.130,3.780
2,1:26,1,10,SEA 27,13,21,Drew Brees pass complete short middle to Lance Moore for 5 yards (tackle by Walter Thurmond),3.780,3.910
2,1:02,2,5,SEA 22,13,27,"Drew Brees pass complete deep left to Marques Colston for 22 yards, touchdown",3.910,7.000
2,1:02,,,SEA 2,13,27,Garrett Hartley kicks extra point no good,0.000,-1.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
2,1:00,,,NOR 30,13,27,"Garrett Hartley kicks off 30 yards, out of bounds",0.000,1.600
2,1:00,1,10,SEA 40,13,27,Matt Hasselbeck pass complete deep right to Ben Obomanu for 23 yards (tackle by Jabari Greer),1.600,3.120
2,0:42,1,10,NOR 37,13,27,Matt Hasselbeck pass complete short left to Brandon Stokley for 14 yards,3.120,4.040
2,0:30,1,10,NOR 23,13,27,"Matt Hasselbeck pass complete short left to Ben Obomanu for no gain. Penalty on Chester Pitts: Offensive Holding, 10 yards (no play)",4.040,3.380
2,0:24,1,20,NOR 33,13,27,"Matt Hasselbeck pass incomplete. Penalty on Matt Hasselbeck: Intentional Grounding, 10 yards",3.380,0.800
2,0:09,2,30,NOR 43,13,27,Matt Hasselbeck pass complete short middle to Brandon Stokley for 18 yards (tackle by Scott Shanle),0.800,2.540
2,0:04,,,,13,27,Timeout #2 by Seattle Seahawks,0.000,2.540
2,0:00,3,12,NOR 25,16,27,Olindo Mare 43 yard field goal good,2.540,3.000
Quarter,Time,Down,ToGo,Location,SEA,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 30,16,27,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,NOR 20,16,27,Drew Brees pass incomplete short middle intended for Marques Colston (defended by Earl Thomas),0.280,-0.270
3,14:54,2,10,NOR 20,16,27,Chris Ivory right guard for 7 yards (tackle by Lofa Tatupu and Kentwan Balmer),-0.270,-0.030
3,14:15,3,3,NOR 27,16,27,Drew Brees pass complete deep right to Jimmy Graham for 19 yards (tackle by David Hawthorne),-0.030,1.990
3,13:49,1,10,NOR 46,16,27,Chris Ivory left end for 5 yards (tackle by Aaron Curry),1.990,2.130
3,13:08,2,5,SEA 49,16,27,Drew Brees pass complete short middle to Devery Henderson for 17 yards (tackle by Walter Thurmond),2.130,3.450
3,12:25,1,10,SEA 32,16,33,"Drew Brees pass complete deep right to Robert Meachem for 32 yards, touchdown",3.450,7.000
3,12:25,,,SEA 2,16,34,Garrett Hartley kicks extra point good,0.000,0.000
3,12:18,,,NOR 30,16,34,"Garrett Hartley kicks off 72 yards, returned by Leon Washington for 28 yards (tackle by Anthony Waters)",0.000,0.670
3,12:12,1,10,SEA 26,16,34,Matt Hasselbeck pass complete short left to Ben Obomanu for 9 yards (tackle by Scott Shanle),0.670,1.350
3,11:49,2,1,SEA 35,16,34,"Marshawn Lynch left guard for 17 yards (tackle by Roman Harper). Marshawn Lynch fumbles (forced by Roman Harper), recovered by Roman Harper at NOR-48 (tackle by Chris Spencer)",1.350,-2.130
3,11:41,1,10,NOR 48,16,34,Devery Henderson right end for 1 yard (tackle by David Hawthorne),2.130,1.720
3,11:02,2,9,NOR 49,16,34,Drew Brees pass complete short middle to Jimmy Graham for 9 yards (tackle by Walter Thurmond),1.720,2.790
3,10:24,1,10,SEA 42,16,34,Chris Ivory right end for -4 yards (tackle by Brandon Mebane),2.790,1.700
3,9:39,2,14,SEA 46,16,34,Drew Brees pass complete short right to Jimmy Graham for 27 yards (tackle by Lawyer Milloy and Jordan Babineaux),1.700,4.310
3,9:01,1,10,SEA 19,16,34,Drew Brees pass incomplete deep middle intended for David Thomas (defended by Lawyer Milloy),4.310,3.750
3,8:56,2,10,SEA 19,16,34,Chris Ivory middle for 8 yards (tackle by Raheem Brock),3.750,4.430
3,8:22,3,2,SEA 11,16,34,Chris Ivory left guard for 4 yards (tackle by Jay Richardson and David Hawthorne),4.430,5.600
3,7:44,1,7,SEA 7,16,34,Drew Brees pass incomplete short middle intended for Marques Colston (defended by Junior Siavii),5.600,4.760
3,7:41,2,7,SEA 7,16,34,Chris Ivory middle for 3 yards (tackle by David Hawthorne and Brandon Mebane),4.760,4.490
3,6:59,3,4,SEA 4,16,34,Drew Brees pass incomplete short middle intended for David Thomas is intercepted by David Hawthorne at SEA-0 and returned for 5 yards,4.490,0.380
3,6:53,1,10,SEA 5,16,34,Matt Hasselbeck pass complete short left to Marshawn Lynch for 4 yards (tackle by Scott Shanle and Danny Clark),-0.380,-0.490
3,6:21,2,6,SEA 9,16,34,"Penalty on Russell Okung: False Start, 4 yards (no play)",-0.490,-0.780
3,6:02,2,10,SEA 5,16,34,Matt Hasselbeck pass complete short right to Mike Williams for 10 yards (tackle by Jabari Greer),-0.780,-0.220
3,5:34,1,10,SEA 15,16,34,Matt Hasselbeck pass complete short right to Marshawn Lynch for 5 yards (tackle by Usama Young),-0.220,0.080
3,5:19,2,5,SEA 20,16,34,Marshawn Lynch right tackle for 6 yards (tackle by Jeff Charleston and Remi Ayodele),0.080,0.670
3,4:45,1,10,SEA 26,16,34,Matt Hasselbeck pass complete short middle to Marshawn Lynch for 8 yards (tackle by Scott Shanle),0.670,1.210
3,4:01,2,2,SEA 34,16,34,Justin Forsett left guard for 5 yards (tackle by Will Smith),1.210,1.530
3,3:24,1,10,SEA 39,16,34,Matt Hasselbeck pass complete short right to Justin Forsett for 9 yards (tackle by Scott Shanle and Jabari Greer),1.530,2.200
3,2:51,2,1,SEA 48,16,34,Justin Forsett middle for -1 yards (tackle by Roman Harper and Remi Ayodele),2.200,1.360
3,2:08,3,2,SEA 47,16,34,Matt Hasselbeck pass complete short left to John Carlson for 7 yards (tackle by Roman Harper and Anthony Hargrove),1.360,2.520
3,1:14,1,10,NOR 46,16,34,"Matt Hasselbeck pass complete short left to Marshawn Lynch for 2 yards (tackle by Scott Shanle). Marshawn Lynch fumbles (forced by Scott Shanle), recovered by Scott Shanle at NOR-44 (tackle by Marshawn Lynch)",2.520,-1.860
3,1:04,1,10,NOR 44,16,34,Chris Ivory right tackle for 4 yards (tackle by Aaron Curry),1.860,1.860
3,0:29,2,6,NOR 48,16,34,Drew Brees pass complete short right to Jimmy Graham for 9 yards (tackle by Will Herring),1.860,2.720
Quarter,Time,Down,ToGo,Location,SEA,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SEA 43,16,34,Chris Ivory right guard for no gain (tackle by Raheem Brock),2.720,2.180
4,14:23,2,10,SEA 43,16,34,Drew Brees pass incomplete short right intended for Ladell Betts (defended by Kentwan Balmer),2.180,1.490
4,14:16,3,10,SEA 43,16,34,Drew Brees pass complete deep right to Lance Moore for 29 yards (tackle by Walter Thurmond),1.490,4.650
4,13:46,1,10,SEA 14,16,34,Chris Ivory left end for no gain (tackle by Brandon Mebane and David Hawthorne),4.650,4.000
4,13:13,2,10,SEA 14,16,34,Drew Brees pass complete short right to Marques Colston for 5 yards (tackle by Walter Thurmond),4.000,4.050
4,12:35,3,5,SEA 9,16,34,Drew Brees pass incomplete short right intended for Marques Colston,4.050,2.880
4,12:35,4,5,SEA 9,16,34,Garrett Hartley 27 yard field goal no good,2.880,-0.280
4,12:28,1,10,SEA 20,16,34,Matt Hasselbeck pass complete short left to Leon Washington for 9 yards (tackle by Tracy Porter),0.280,0.950
4,12:00,2,1,SEA 29,16,34,Leon Washington right guard for no gain (tackle by Danny Clark and Roman Harper),0.950,0.230
4,11:27,3,1,SEA 29,16,34,"Penalty on Chester Pitts: False Start, 4 yards (no play)",0.230,-0.300
4,11:10,3,5,SEA 25,16,34,Matt Hasselbeck pass complete short right to Brandon Stokley for 13 yards (tackle by Leigh Torrence),-0.300,1.470
4,10:39,1,10,SEA 38,16,34,Matt Hasselbeck middle for 12 yards (tackle by Scott Shanle),1.470,2.260
4,10:06,1,10,SEA 50,16,34,Matt Hasselbeck pass complete short right to Deon Butler for 11 yards (tackle by Jabari Greer),2.260,2.980
4,9:28,1,10,NOR 39,16,34,Matt Hasselbeck pass incomplete deep left intended for Chris Baker,2.980,2.440
,,,,,,,"SEA challenged the incomplete pass ruling, and the original play was overturned.",,
4,9:24,2,10,NOR 39,16,34,Matt Hasselbeck pass complete short right to Justin Forsett for no gain,2.440,1.750
4,9:03,3,10,NOR 39,16,34,Matt Hasselbeck pass complete short middle to Justin Forsett for 10 yards (tackle by Usama Young),1.750,3.640
4,8:29,1,10,NOR 29,16,34,Justin Forsett middle for 9 yards (tackle by Leigh Torrence),3.640,4.320
4,8:12,2,1,NOR 20,16,34,Justin Forsett middle for 3 yards (tackle by Alex Brown and Roman Harper),4.320,4.440
4,7:40,1,10,NOR 17,16,34,Matt Hasselbeck pass complete short left to Justin Forsett for 11 yards (tackle by Tracy Porter),4.440,5.830
4,7:13,1,6,NOR 6,16,34,Matt Hasselbeck pass complete short left to Justin Forsett for 3 yards (tackle by Usama Young),5.830,5.530
4,6:46,2,3,NOR 3,16,34,Justin Forsett middle for 1 yard (tackle by Will Smith and Alex Brown),5.530,4.950
4,6:13,3,2,NOR 2,16,34,Justin Forsett middle for no gain (tackle by Jonathan Vilma and Anthony Hargrove),4.950,3.250
4,6:13,4,2,NOR 2,19,34,Olindo Mare 20 yard field goal good,3.250,3.000
4,5:26,,,SEA 30,19,34,Olindo Mare kicks onside 12 yards,0.000,2.790
4,5:24,1,10,SEA 42,19,34,Chris Ivory right guard for 3 yards (tackle by Lawyer Milloy),2.790,2.650
,,,,,,,"SEA challenged the fumble ruling, and the play was upheld.",,
4,4:47,2,7,SEA 39,19,34,Drew Brees pass complete short left to Julius Jones for 3 yards (tackle by Junior Siavii),2.650,2.340
4,4:01,3,4,SEA 36,19,34,"Julius Jones middle for 36 yards. Penalty on Jahri Evans: Offensive Holding, 10 yards (no play)",2.340,1.030
4,3:49,,,,19,34,Timeout #1 by New Orleans Saints,0.000,1.030
4,3:49,3,14,SEA 46,19,34,Drew Brees pass complete short left to Marques Colston for 15 yards (tackle by Earl Thomas),1.030,3.510
4,3:05,1,10,SEA 31,19,34,Julius Jones middle for -1 yards (tackle by Lofa Tatupu and Raheem Brock),3.510,2.830
4,3:00,,,,19,34,Timeout #2 by Seattle Seahawks,0.000,2.830
4,3:00,2,11,SEA 32,19,34,Julius Jones middle for 3 yards (tackle by David Hawthorne and Kentwan Balmer),2.830,2.540
4,2:54,,,,19,34,Timeout #3 by Seattle Seahawks,0.000,2.540
4,2:54,3,8,SEA 29,19,34,"Penalty on Aaron Curry: Encroachment, 5 yards (no play)",2.540,3.200
4,2:54,3,3,SEA 24,19,34,Drew Brees pass complete short right to Tory Humphrey for 12 yards (tackle by David Hawthorne),3.200,4.780
4,2:09,1,10,SEA 12,19,34,Chris Ivory middle for 4 yards (tackle by Lofa Tatupu and Aaron Curry),4.780,4.830
4,2:00,2,6,SEA 8,19,34,Chris Ivory middle for no gain (tackle by Lawyer Milloy),4.830,3.930
4,1:17,3,6,SEA 8,19,34,Chris Ivory middle for no gain (tackle by Earl Thomas),3.930,2.960
4,0:29,,,,19,34,Timeout #2 by New Orleans Saints,0.000,2.960
4,0:29,4,6,SEA 8,19,34,Drew Brees pass incomplete is intercepted by Earl Thomas at SEA-0,2.960,-0.280
4,0:21,1,10,SEA 20,19,34,Matt Hasselbeck pass complete short middle to Brandon Stokley for 11 yards (tackle by Leigh Torrence and Scott Shanle),0.280,1.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
