Quarter,Time,Down,ToGo,Location,CIN,NYJ,Detail,EPB,EPA
2,13:15,1,10,NYJ 40,14,6,Breece Hall right tackle for -1 yards (tackle by Vonn Bell),1.600,0.920
2,12:38,2,11,NYJ 39,14,6,Joe Flacco pass complete short left to Garrett Wilson for 11 yards (tackle by Vonn Bell and Mike Hilton),0.920,2.260
2,11:57,1,10,NYJ 50,14,6,Joe Flacco sacked by Cameron Sample for -6 yards,2.260,0.900
2,11:36,2,16,NYJ 44,14,6,"Joe Flacco sacked by Trey Hendrickson for -8 yards. Joe Flacco fumbles (forced by Trey Hendrickson), recovered by Alijah Vera-Tucker at NYJ-36",0.900,-0.820
2,10:48,3,24,NYJ 36,14,6,Joe Flacco pass complete short left to Michael Carter for 7 yards (tackle by Akeem Davis-Gaither),-0.820,-0.520
2,10:23,4,17,NYJ 43,14,6,"Braden Mann punts 47 yards, returned by Trent Taylor for 15 yards (tackle by Ashtyn Davis)",-0.520,-0.610
2,10:13,1,10,CIN 25,14,6,"Joe Burrow pass complete deep right to Tee Higgins for 45 yards (tackle by Sauce Gardner and Lamarcus Joyner). Penalty on Lamarcus Joyner: Unnecessary Roughness / Defense, 15 yards (accepted)",0.610,4.580
2,9:54,1,10,NYJ 15,14,6,Joe Mixon left end for 9 yards (tackle by Sheldon Rankins),4.580,5.600
2,9:19,2,1,NYJ 6,14,6,Joe Mixon up the middle for 2 yards (tackle by Sheldon Rankins),5.600,6.280
2,8:41,1,4,NYJ 4,14,6,Joe Burrow pass incomplete short right intended for Joe Mixon,6.280,5.340
2,8:36,2,4,NYJ 4,14,6,Joe Mixon right tackle for no gain (tackle by Jermaine Johnson and Jordan Whitehead),5.340,4.490
2,7:58,3,4,NYJ 4,14,6,"Joe Burrow pass complete to Ja'Marr Chase for 3 yards NYJ challenged the pass completion ruling, and the original play was overturned. Joe Burrow pass incomplete short left intended for Ja'Marr Chase",4.490,3.030
2,7:50,4,4,NYJ 4,17,6,Evan McPherson 22 yard field goal good,3.030,3.000
2,7:48,,,CIN 35,17,6,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
2,7:48,1,10,NYJ 25,17,6,Joe Flacco pass complete short middle to Garrett Wilson for 13 yards (tackle by Jessie Bates),0.610,1.470
2,7:26,1,10,NYJ 38,17,6,Michael Carter left end for -2 yards (tackle by Mike Hilton and D.J. Reader),1.470,0.650
2,6:49,2,12,NYJ 36,17,6,Joe Flacco pass incomplete deep left intended for Elijah Moore,0.650,-0.030
2,6:44,3,12,NYJ 36,17,6,"Joe Flacco pass intended for Braxton Berrios is intercepted by Logan Wilson at CIN-34 and returned for 41 yards. Logan Wilson fumbles (forced by George Fant), recovered by Tre Flowers at NYJ-25",-0.030,-3.910
2,6:26,1,10,NYJ 25,17,6,Joe Burrow pass incomplete short left intended for Joe Mixon,3.910,3.360
2,6:20,2,10,NYJ 25,17,6,Joe Burrow pass incomplete short middle intended for Hayden Hurst,3.360,2.680
2,6:16,3,10,NYJ 25,17,6,"Penalty on CIN: Delay of Game, 5 yards (accepted) (no play)",2.680,2.010
2,6:16,3,15,NYJ 30,17,6,Joe Burrow pass complete short right to Ja'Marr Chase for 5 yards (tackle by Quincy Williams),2.010,1.800
2,5:31,4,10,NYJ 25,20,6,Evan McPherson 43 yard field goal good,1.800,3.000
2,5:28,,,CIN 35,20,6,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
2,5:28,1,10,NYJ 25,20,6,Joe Flacco pass incomplete deep right intended for Corey Davis (defended by Chidobe Awuzie),0.610,0.060
2,5:22,2,10,NYJ 25,20,6,Breece Hall left guard for 2 yards (tackle by Trey Hendrickson and Cameron Sample),0.060,-0.360
2,4:48,3,8,NYJ 27,20,6,Joe Flacco pass incomplete short left intended for Corey Davis,-0.360,-1.570
2,4:43,4,8,NYJ 27,20,6,"Braden Mann punts 47 yards, returned by Trent Taylor for 8 yards (tackle by Brandin Echols)",-1.570,-1.200
2,4:33,1,10,CIN 34,20,6,Joe Mixon for -1 yards (tackle by Quincy Williams and Micheal Clemons),1.200,0.520
2,3:54,2,11,CIN 33,20,6,Joe Burrow pass complete short left to Samaje Perine for 2 yards (tackle by Quincy Williams),0.520,0.100
2,3:14,3,9,CIN 35,20,6,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Sauce Gardner),0.100,-1.040
2,3:07,4,9,CIN 35,20,6,"Kevin Huber punts 46 yards, fair catch by Braxton Berrios at NYJ-19",-1.040,-0.150
2,3:00,1,10,NYJ 19,20,6,Breece Hall up the middle for 5 yards (tackle by B.J. Hill),0.150,0.340
2,2:34,2,5,NYJ 24,20,6,"Joe Flacco pass complete short right to Tyler Conklin for no gain (tackle by Sam Hubbard and Logan Wilson). Penalty on Laken Tomlinson: Ineligible Downfield Pass, 5 yards (declined) . Penalty on George Fant: Offensive Holding, 10 yards (accepted) (no play)",0.340,-1.110
2,2:10,2,15,NYJ 14,20,6,Joe Flacco pass complete short left to Breece Hall for 11 yards (tackle by Logan Wilson and Akeem Davis-Gaither),-1.110,-0.290
2,2:00,3,4,NYJ 25,20,6,Joe Flacco pass complete short right to Breece Hall for 7 yards (tackle by Vonn Bell),-0.290,1.070
2,1:44,1,10,NYJ 32,20,6,Joe Flacco pass incomplete short middle,1.070,0.530
2,1:39,2,10,NYJ 32,20,6,Joe Flacco pass complete short right to Breece Hall for 4 yards (tackle by Logan Wilson),0.530,0.370
2,1:03,3,6,NYJ 36,20,6,Joe Flacco pass incomplete short right intended for Breece Hall,0.370,-0.980
2,0:59,4,6,NYJ 36,20,6,Braden Mann punts 52 yards out of bounds,-0.980,0.350
2,0:52,1,10,CIN 12,20,6,Joe Burrow pass incomplete short left intended for Joe Mixon,-0.350,-0.780
2,0:49,2,10,CIN 12,20,6,Joe Burrow pass incomplete short middle intended for Joe Mixon,-0.780,-1.420
2,0:43,3,10,CIN 12,20,6,Joe Burrow sacked by Quinnen Williams for -7 yards,-1.420,-2.490
2,0:40,,,,,,Timeout #1 by New York Jets,,
2,0:40,4,17,CIN 5,20,6,"Kevin Huber punts 52 yards, returned by Braxton Berrios for 10 yards (tackle by Michael Thomas)",-2.490,-2.460
2,0:30,1,10,CIN 47,20,6,Joe Flacco pass incomplete short right intended for Breece Hall,2.460,1.910
2,0:27,2,10,CIN 47,20,6,Joe Flacco pass complete short left to Tyler Conklin for 8 yards (tackle by Logan Wilson and Mike Hilton),1.910,2.280
2,0:19,,,,,,Timeout #2 by New York Jets,,
2,0:19,3,2,CIN 39,20,6,Joe Flacco pass complete short right to Breece Hall for 5 yards (tackle by Mike Hilton),2.280,3.310
2,0:12,,,,,,Timeout #3 by New York Jets,,
2,0:12,1,10,CIN 34,20,6,Joe Flacco pass incomplete deep right,3.310,2.770
2,0:07,2,10,CIN 34,20,6,Joe Flacco pass incomplete short right,2.770,2.080
2,0:02,3,10,CIN 34,20,9,"Greg Zuerlein 52 yard field goal good. Penalty on Chidobe Awuzie: Defensive Offside, 5 yards (declined)",2.080,3.000
Quarter,Time,Down,ToGo,Location,CIN,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,20,9,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NYJ 25,20,9,Joe Flacco pass incomplete deep right intended for Elijah Moore,0.610,0.060
3,14:55,2,10,NYJ 25,20,9,Michael Carter up the middle for 6 yards (tackle by B.J. Hill and Akeem Davis-Gaither),0.060,0.170
3,14:18,3,4,NYJ 31,20,9,"Joe Flacco sacked by Trey Hendrickson for -8 yards. Joe Flacco fumbles (forced by Trey Hendrickson), recovered by B.J. Hill at NYJ-23 and returned for -1 yards",0.170,-3.970
3,14:08,1,10,NYJ 24,20,9,Joe Burrow pass complete short right to Tyler Boyd for 14 yards (tackle by Michael Carter),3.970,4.910
3,13:28,1,10,NYJ 10,20,9,Joe Burrow scrambles for 5 yards (tackle by C.J. Mosley),4.910,5.150
3,12:48,2,5,NYJ 5,20,9,Joe Mixon for no gain (tackle by Quincy Williams),5.150,4.260
3,12:05,3,5,NYJ 5,26,9,"Joe Burrow pass complete short right to Ja'Marr Chase for 5 yards, touchdown",4.260,7.000
3,12:02,,,NYJ 15,27,9,Evan McPherson kicks extra point good,0.000,0.000
3,12:02,,,CIN 35,27,9,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
3,12:02,1,10,NYJ 25,27,9,"Michael Carter right guard for 2 yards (tackle by Akeem Davis-Gaither). Penalty on Zachary Carter: Illegal Use of Hands / Defense, 5 yards (accepted)",0.610,1.070
3,11:44,1,10,NYJ 32,27,9,Joe Flacco pass complete deep right to Corey Davis for 22 yards (tackle by Vonn Bell),1.070,2.520
3,11:09,1,10,CIN 46,27,9,Joe Flacco pass incomplete deep right intended for Elijah Moore,2.520,1.980
3,11:02,,,,,,Timeout #1 by New York Jets,,
3,11:02,2,10,CIN 46,27,9,Joe Flacco pass complete short left to C.J. Uzomah for 5 yards (tackle by Akeem Davis-Gaither),1.980,1.950
3,10:28,3,5,CIN 41,27,9,Joe Flacco pass incomplete short left intended for Garrett Wilson (defended by Eli Apple),1.950,0.530
3,10:23,4,5,CIN 41,27,9,Joe Flacco pass incomplete deep right intended for Elijah Moore (defended by Chidobe Awuzie),0.530,-1.660
3,10:16,1,10,CIN 41,27,9,Ja'Marr Chase left end for -1 yards (tackle by Micheal Clemons),1.660,0.990
3,9:41,2,11,CIN 40,27,9,Joe Burrow pass complete short right to Ja'Marr Chase for 10 yards (tackle by Lamarcus Joyner),0.990,1.620
3,9:03,,,,,,Timeout #1 by Cincinnati Bengals,,
3,9:03,3,1,CIN 50,27,9,Joe Burrow pass complete short right to Ja'Marr Chase for 2 yards (tackle by Lamarcus Joyner),1.620,2.390
3,8:28,1,10,NYJ 48,27,9,Joe Burrow pass complete short left to Ja'Marr Chase for 4 yards (tackle by Kwon Alexander),2.390,2.250
3,7:39,2,7,NYJ 45,27,9,Joe Mixon left guard for 6 yards (tackle by Quinnen Williams and C.J. Mosley),2.250,3.050
3,7:02,1,10,NYJ 38,27,9,Joe Mixon up the middle for 3 yards (tackle by Sheldon Rankins),3.050,2.910
3,6:24,2,7,NYJ 35,27,9,Joe Burrow pass complete short right to Hayden Hurst for 7 yards (tackle by Quincy Williams),2.910,3.710
3,5:46,1,10,NYJ 28,27,9,Joe Burrow pass incomplete short middle,3.710,3.170
3,5:39,2,10,NYJ 28,27,9,Joe Burrow pass complete short right to Joe Mixon for 5 yards (tackle by Jordan Whitehead),3.170,3.140
3,4:58,3,5,NYJ 23,27,9,Joe Burrow pass complete short right to Chris Evans for 4 yards (tackle by Quincy Williams),3.140,2.340
3,4:17,,,,,,Timeout #2 by Cincinnati Bengals,,
3,4:17,4,1,NYJ 19,27,9,Ja'Marr Chase right end for -1 yards (tackle by Sauce Gardner),2.340,-0.280
3,4:13,1,10,NYJ 20,27,9,Joe Flacco pass complete short right to Tyler Conklin for 4 yards (tackle by Akeem Davis-Gaither),0.280,0.270
3,3:34,2,6,NYJ 24,27,9,Joe Flacco pass incomplete short middle intended for Michael Carter,0.270,-0.430
3,3:29,3,6,NYJ 24,27,9,Joe Flacco pass complete short left to Tyler Conklin for 18 yards (tackle by Chidobe Awuzie),-0.430,1.730
3,3:01,1,10,NYJ 42,27,9,Breece Hall left guard for 9 yards (tackle by Akeem Davis-Gaither and Zachary Carter),1.730,2.400
3,2:32,2,1,CIN 49,27,9,Joe Flacco pass incomplete short left intended for Garrett Wilson (defended by Mike Hilton),2.400,1.690
3,2:30,3,1,CIN 49,27,9,Joe Flacco pass complete short right to Tyler Conklin for 13 yards (tackle by Vonn Bell),1.690,3.180
3,1:59,1,10,CIN 36,27,9,Michael Carter up the middle for 9 yards (tackle by Akeem Davis-Gaither and Joseph Ossai),3.180,3.850
3,1:37,2,1,CIN 27,27,9,Michael Carter left tackle for 2 yards (tackle by Josh Tupou),3.850,3.910
3,1:02,1,10,CIN 25,27,9,Joe Flacco pass incomplete short right intended for Garrett Wilson (defended by B.J. Hill),3.910,3.360
3,0:58,2,10,CIN 25,27,9,Joe Flacco pass incomplete deep middle intended for Garrett Wilson,3.360,2.680
3,0:52,3,10,CIN 25,27,9,Joe Flacco pass incomplete deep left intended for Breece Hall,2.680,1.800
3,0:45,4,10,CIN 25,27,12,Greg Zuerlein 43 yard field goal good,1.800,3.000
3,0:41,,,NYJ 35,27,12,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
3,0:41,1,10,CIN 25,27,12,Joe Mixon right end for 2 yards (tackle by Sheldon Rankins),0.610,0.330
Quarter,Time,Down,ToGo,Location,CIN,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,CIN 27,27,12,Joe Burrow sacked by Sheldon Rankins for -7 yards,0.330,-1.290
4,14:19,3,15,CIN 20,27,12,Joe Burrow pass incomplete deep left intended for Tyler Boyd (defended by Jordan Whitehead),-1.290,-2.030
4,14:10,4,15,CIN 20,27,12,Kevin Huber punts 44 yards downed by Michael Thomas,-2.030,-1.330
4,14:00,1,10,NYJ 36,27,12,Michael Carter left guard for 3 yards (tackle by Mike Hilton),1.330,1.200
4,13:36,2,7,NYJ 39,27,12,Joe Flacco pass complete short right to Tyler Conklin for 6 yards (tackle by Akeem Davis-Gaither),1.200,1.290
4,13:01,3,1,NYJ 45,27,12,Breece Hall up the middle for 3 yards (tackle by B.J. Hill and Jessie Bates),1.290,2.130
4,12:38,1,10,NYJ 48,27,12,Joe Flacco pass complete short right to Breece Hall for 8 yards (tackle by Akeem Davis-Gaither),2.130,2.660
4,12:11,2,2,CIN 44,27,12,Breece Hall up the middle for 16 yards (tackle by Jessie Bates),2.660,3.710
4,11:40,1,10,CIN 28,27,12,Joe Flacco pass incomplete short right,3.710,3.170
4,11:35,2,10,CIN 28,27,12,Joe Flacco pass complete short left to Elijah Moore for 10 yards (tackle by Eli Apple),3.170,4.370
4,11:13,1,10,CIN 18,27,12,Michael Carter left end for 4 yards (tackle by Vonn Bell and Sam Hubbard),4.370,4.430
4,10:37,2,6,CIN 14,27,12,"Joe Flacco pass incomplete short left intended for Corey Davis. Penalty on Corey Davis: Unnecessary Roughness / Offense, 15 yards (accepted)",4.430,1.680
4,10:30,3,21,CIN 29,27,12,"Joe Flacco pass complete to Garrett Wilson for 15 yards (tackle by Chidobe Awuzie) CIN challenged the pass completion ruling, and the play was upheld.",1.680,2.530
4,10:09,4,6,CIN 14,27,12,"Joe Flacco sacked by and Trey Hendrickson for -11 yards and B.J. Hill for -11 yards. Joe Flacco fumbles (forced by B.J. Hill), recovered by B.J. Hill at CIN-25 and returned for 1 yard",2.530,-0.610
4,10:03,1,10,CIN 25,27,12,Joe Burrow pass complete short right to Mitchell Wilcox for 9 yards (tackle by C.J. Mosley),0.610,1.280
4,9:19,2,1,CIN 34,27,12,Samaje Perine up the middle for 7 yards (tackle by Marcell Harris and C.J. Mosley),1.280,1.660
4,8:35,1,10,CIN 41,27,12,Samaje Perine right tackle for 7 yards (tackle by C.J. Mosley and Kwon Alexander),1.660,2.070
4,7:43,2,3,CIN 48,27,12,Samaje Perine right guard for 5 yards (tackle by Micheal Clemons),2.070,2.460
4,6:58,1,10,NYJ 47,27,12,Samaje Perine left guard for 4 yards (tackle by Marcell Harris),2.460,2.450
4,6:16,2,6,NYJ 43,27,12,Samaje Perine up the middle for 5 yards (tackle by C.J. Mosley),2.450,2.410
4,5:31,3,1,NYJ 38,27,12,Joe Burrow up the middle for 2 yards (tackle by Quinnen Williams),2.410,3.180
4,4:48,1,10,NYJ 36,27,12,Samaje Perine up the middle for 7 yards (tackle by Lamarcus Joyner and Quinnen Williams),3.180,3.580
4,4:04,2,3,NYJ 29,27,12,Samaje Perine right guard for 4 yards (tackle by Jermaine Johnson and Jordan Whitehead),3.580,3.910
4,3:15,1,10,NYJ 25,27,12,Joe Burrow left end for -6 yards (tackle by D.J. Reed),3.910,2.550
4,3:11,,,,,,Timeout #2 by New York Jets,,
4,3:11,2,16,NYJ 31,27,12,Samaje Perine up the middle for 2 yards (tackle by Marcell Harris and Lamarcus Joyner),2.550,2.150
4,3:06,,,,,,Timeout #3 by New York Jets,,
4,3:06,3,14,NYJ 29,27,12,Samaje Perine right tackle for 6 yards (tackle by Jordan Whitehead and C.J. Mosley),2.150,1.930
4,2:20,4,8,NYJ 23,27,12,Evan McPherson 41 yard field goal no good,1.930,-1.000
4,2:15,1,10,NYJ 31,27,12,Joe Flacco pass complete deep left to Elijah Moore for 18 yards,1.000,2.190
4,2:10,1,10,NYJ 49,27,12,Joe Flacco pass complete short right to Tyler Conklin for 4 yards (tackle by Tre Flowers),2.190,2.190
4,2:00,2,6,CIN 47,27,12,Joe Flacco pass complete short right to Tyler Conklin for 21 yards (tackle by Eli Apple),2.190,3.840
4,1:51,1,10,CIN 26,27,12,Joe Flacco pass complete short left to Garrett Wilson for -1 yards (tackle by Mike Hilton),3.840,3.160
4,1:27,2,11,CIN 27,27,12,Joe Flacco pass complete short right to Tyler Conklin for 10 yards (tackle by Logan Wilson),3.160,3.950
4,1:07,3,1,CIN 17,27,12,Joe Flacco pass incomplete deep left intended for Garrett Wilson,3.950,2.460
4,1:02,4,1,CIN 17,27,12,Joe Flacco pass short middle intended for Breece Hall is intercepted by Jessie Bates at CIN-3 and returned for 1 yard,2.460,0.380
4,0:55,1,10,CIN 4,27,12,Joe Burrow kneels for no gain,-0.380,-0.780
4,0:33,2,10,CIN 4,27,12,Joe Burrow kneels for -1 yards,-0.780,-1.540
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
