Quarter,Time,Down,ToGo,Location,HOU,SDG,Detail,EPB,EPA
2,11:39,2,8,HOU 18,7,14,Matt Schaub pass complete short left to Andre Johnson for 18 yards (tackle by Donald Butler),-0.350,1.330
2,10:54,1,10,HOU 36,7,14,Matt Schaub pass complete short right to Owen Daniels for 28 yards (tackle by Bront Bird and Shareece Wright),1.330,3.180
2,10:09,1,10,SDG 36,7,14,Arian Foster left end for 5 yards (tackle by Richard Marshall),3.180,3.310
2,9:39,2,5,SDG 31,7,14,Ben Tate up the middle for 4 yards (tackle by Eric Weddle and Cam Thomas),3.310,3.140
2,9:08,3,1,SDG 27,7,14,Arian Foster left end for no gain (tackle by Donald Butler),3.140,1.820
2,8:39,4,1,SDG 27,7,14,Arian Foster left end for no gain (tackle by Bront Bird and Corey Liuget),1.820,-0.740
2,8:31,1,10,SDG 27,7,14,Ryan Mathews up the middle for 1 yard (tackle by Brian Cushing and Jared Crick),0.740,0.330
2,7:55,2,9,SDG 28,7,14,Ryan Mathews right tackle for 7 yards (tackle by Danieal Manning),0.330,0.560
2,7:13,3,2,SDG 35,7,14,Philip Rivers sacked by Danieal Manning for -6 yards,0.560,-1.440
2,6:50,4,8,SDG 29,7,14,"Mike Scifres punts 43 yards, fair catch by Keshawn Martin",-1.440,-0.810
2,6:39,1,10,HOU 28,7,14,Matt Schaub pass complete short left to Arian Foster for 5 yards (tackle by Donald Butler),0.810,0.940
2,6:10,2,5,HOU 33,7,14,Matt Schaub pass complete short right to DeAndre Hopkins for no gain,0.940,0.230
2,5:26,3,5,HOU 33,7,14,Matt Schaub pass complete short middle to Andre Johnson for 27 yards (tackle by Marcus Gilchrist and Richard Marshall),0.230,2.920
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned.",,
2,4:54,1,10,SDG 40,7,14,"Ben Tate right guard for 8 yards (tackle by Bront Bird). Penalty on Lestar Jean: Offensive Holding, 10 yards",2.920,2.790
2,4:18,1,12,SDG 42,7,14,Matt Schaub pass complete short left to Garrett Graham for 5 yards (tackle by Richard Marshall),2.790,2.780
2,4:03,2,7,SDG 37,7,14,Matt Schaub pass incomplete short middle intended for Andre Johnson (defended by Shareece Wright),2.780,2.080
2,3:58,3,7,SDG 37,7,14,"Matt Schaub pass incomplete short left intended for Garrett Graham (defended by Eric Weddle). Penalty on Richard Marshall: Defensive Holding, 5 yards (no play)",2.080,3.450
2,3:52,1,10,SDG 32,7,14,Arian Foster right tackle for 8 yards (tackle by Donald Butler and Kwame Geathers),3.450,3.980
2,3:19,2,2,SDG 24,7,14,Arian Foster up the middle for 1 yard (tackle by Bront Bird),3.980,3.400
2,2:39,3,1,SDG 23,7,14,"Arian Foster left end for no gain (tackle by Shareece Wright). Penalty on Lestar Jean: Offensive Holding, 10 yards (no play)",3.400,2.080
2,2:12,3,11,SDG 33,7,14,Matt Schaub pass incomplete deep left intended for Owen Daniels,2.080,1.150
2,2:06,4,11,SDG 33,7,14,Randy Bullock 51 yard field goal no good,1.150,-1.660
2,2:01,1,10,SDG 41,7,14,Philip Rivers pass incomplete short left intended for Malcom Floyd,1.660,1.120
2,1:56,2,10,SDG 41,7,14,Philip Rivers left end for 18 yards (tackle by Johnathan Joseph),1.120,2.850
2,1:46,1,10,HOU 41,7,14,Ronnie Brown up the middle for 2 yards (tackle by Danieal Manning),2.850,2.580
2,1:19,2,8,HOU 39,7,14,Philip Rivers pass incomplete deep right intended for Vincent Brown,2.580,1.880
2,1:14,3,8,HOU 39,7,14,Philip Rivers pass complete short right to Antonio Gates for 34 yards (tackle by Shiloh Keo),1.880,6.060
2,0:36,1,5,HOU 5,7,14,Philip Rivers pass incomplete short middle intended for Eddie Royal,6.060,5.150
2,0:32,2,5,HOU 5,7,14,Philip Rivers pass incomplete short left intended for Malcom Floyd (defended by Johnathan Joseph),5.150,5.150
2,0:26,2,5,HOU 5,7,14,Timeout #1 by San Diego Chargers,5.150,4.260
2,0:26,3,5,HOU 5,7,14,"Penalty on Jeromey Clary: False Start, 5 yards (no play)",4.260,3.130
2,0:26,3,10,HOU 10,7,20,"Philip Rivers pass complete short left to Vincent Brown for 10 yards, touchdown",3.130,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned.",,
2,0:26,,,HOU 2,7,21,Nick Novak kicks extra point good,0.000,0.000
2,0:26,,,SDG 35,7,21,"Nick Novak kicks off 70 yards, touchback",0.000,-0.280
2,0:18,1,10,HOU 20,7,21,Matt Schaub pass incomplete short right intended for Garrett Graham (defended by Richard Marshall),0.280,-0.270
2,0:13,2,10,HOU 20,7,21,Matt Schaub pass complete deep left to Andre Johnson for 22 yards (tackle by Jahleel Addae),-0.270,-0.270
2,0:07,2,10,HOU 20,7,21,Timeout #1 by Houston Texans,-0.270,1.730
2,0:07,1,10,HOU 42,7,21,Matt Schaub pass incomplete deep right intended for Andre Johnson,1.730,1.730
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
2,0:02,1,10,HOU 42,7,21,Timeout #2 by San Diego Chargers,1.730,1.190
2,0:02,2,10,HOU 42,7,21,Arian Foster up the middle for 5 yards (tackle by Eric Weddle),1.190,1.160
Quarter,Time,Down,ToGo,Location,HOU,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,7,21,"Randy Bullock kicks off 74 yards, touchback",0.000,-0.280
3,15:00,1,10,SDG 20,7,21,Philip Rivers pass complete deep left to Malcom Floyd for 47 yards (tackle by Johnathan Joseph),0.280,0.280
3,14:12,1,10,SDG 20,7,21,Timeout #1 by San Diego Chargers,0.280,3.380
3,14:12,1,10,HOU 33,7,21,Philip Rivers pass incomplete short middle intended for John Phillips,3.380,2.840
3,14:07,2,10,HOU 33,7,21,Ronnie Brown up the middle for 5 yards (tackle by Jared Crick),2.840,2.810
3,13:23,3,5,HOU 28,7,21,Philip Rivers pass complete short right to Ronnie Brown for 15 yards (tackle by Brian Cushing),2.810,4.710
3,12:45,1,10,HOU 13,7,21,Ronnie Brown up the middle for no gain (tackle by J.J. Watt),4.710,4.050
3,12:05,2,10,HOU 13,7,21,Philip Rivers pass complete short right to Ronnie Brown for 9 yards (tackle by Kareem Jackson),4.050,5.010
3,11:17,3,1,HOU 4,7,21,Philip Rivers pass complete short middle to Vincent Brown for 3 yards (tackle by Kareem Jackson),5.010,6.970
3,10:46,1,1,HOU 1,7,27,"Philip Rivers pass complete short left to Eddie Royal for 1 yard, touchdown",6.970,7.000
3,10:46,,,HOU 2,7,28,Nick Novak kicks extra point good,0.000,0.000
3,10:46,,,SDG 35,7,28,"Nick Novak kicks off 68 yards, returned by Keshawn Martin for 33 yards (tackle by Eric Weddle)",0.000,-0.940
3,10:35,1,10,HOU 30,7,28,Arian Foster up the middle for 7 yards (tackle by Shareece Wright and Bront Bird),0.940,1.340
3,10:01,2,3,HOU 37,7,28,Matt Schaub pass complete short middle to Arian Foster for 7 yards (tackle by Corey Liuget),1.340,1.860
3,9:32,1,10,HOU 44,7,28,Arian Foster left guard for 9 yards (tackle by Derek Cox and Eric Weddle),1.860,2.530
3,9:01,2,1,SDG 47,7,28,"Matt Schaub pass incomplete. Penalty on Matt Schaub: Intentional Grounding, 17 yards",2.530,-0.430
3,8:48,3,18,HOU 36,7,28,Matt Schaub pass complete deep middle to Andre Johnson for 20 yards (tackle by Jahleel Addae),-0.430,2.650
3,8:17,1,10,SDG 44,7,28,Matt Schaub pass complete short right to Arian Foster for 5 yards (tackle by Bront Bird),2.650,2.780
3,7:40,2,5,SDG 39,7,28,Ben Tate right tackle for 1 yard (tackle by Jarret Johnson and Cam Thomas),2.780,2.210
3,6:59,3,4,SDG 38,7,28,Matt Schaub pass complete short middle to Andre Johnson for 13 yards (tackle by Derek Cox),2.210,3.910
3,6:25,1,10,SDG 25,7,28,Arian Foster up the middle for 1 yard (tackle by Eric Weddle and Larry English),3.910,3.500
3,5:48,2,9,SDG 24,7,28,"Penalty on Corey Liuget: Encroachment, 5 yards (no play)",3.500,4.200
3,5:35,2,4,SDG 19,7,28,Matt Schaub pass complete short right to DeAndre Hopkins for 12 yards (tackle by Derek Cox),4.200,5.600
3,5:02,1,7,SDG 7,13,28,"Matt Schaub pass complete short middle to Garrett Graham for 7 yards, touchdown",5.600,7.000
3,5:02,,,SDG 2,14,28,Randy Bullock kicks extra point good,0.000,0.000
3,5:02,,,HOU 35,14,28,"Randy Bullock kicks off 69 yards, returned by Fozzy Whittaker for 42 yards (tackle by Brice McCain)",0.000,-1.470
3,4:45,1,10,SDG 38,14,28,Philip Rivers pass incomplete deep left intended for Antonio Gates (defended by Danieal Manning),1.470,0.920
3,4:39,2,10,SDG 38,14,28,Ryan Mathews left guard for 1 yard (tackle by Danieal Manning),0.920,0.370
3,3:56,3,9,SDG 39,14,28,Philip Rivers pass incomplete deep middle intended for Eddie Royal (defended by Shiloh Keo),0.370,-0.780
3,3:44,4,9,SDG 39,14,28,"Mike Scifres punts 43 yards, returned by Keshawn Martin for 7 yards (tackle by Mike Windt)",-0.780,-0.610
3,3:30,1,10,HOU 25,14,28,Matt Schaub pass complete short middle to Ben Tate for 4 yards (tackle by Eric Weddle),0.610,0.600
3,3:05,2,6,HOU 29,14,28,Matt Schaub pass complete short left to Andre Johnson for 10 yards (tackle by Donald Butler),0.600,1.530
3,2:35,1,10,HOU 39,14,28,Matt Schaub pass complete short right to DeAndre Hopkins for 13 yards (tackle by Johnny Patrick),1.530,2.390
3,2:04,1,10,SDG 48,14,28,Matt Schaub sacked by Donald Butler and Dwight Freeney for -11 yards,2.390,0.360
3,1:31,2,21,HOU 41,14,28,Matt Schaub pass complete short left to Arian Foster for 8 yards (tackle by Jarius Wynn and Bront Bird),0.360,0.360
3,0:44,2,21,HOU 41,14,28,Timeout #1 by Houston Texans,0.360,0.760
3,0:44,3,13,HOU 49,14,28,Matt Schaub pass complete deep right to DeAndre Hopkins for 30 yards (tackle by Derek Cox),0.760,4.170
3,0:44,1,10,SDG 21,14,28,Arian Foster up the middle for 2 yards (tackle by Kendall Reyes),4.170,3.900
Quarter,Time,Down,ToGo,Location,HOU,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,SDG 19,14,28,Matt Schaub pass incomplete deep right intended for DeAndre Hopkins (defended by Derek Cox),3.900,3.180
4,14:55,3,8,SDG 19,14,28,Matt Schaub pass incomplete short middle intended for Arian Foster (defended by Eric Weddle),3.180,2.180
4,14:52,4,8,SDG 19,14,28,"Randy Bullock 37 yard field goal good. Penalty on Cam Thomas: Unnecessary Roughness, 10 yards (no play)",2.180,5.140
4,14:44,1,9,SDG 9,20,28,"Matt Schaub pass complete short right to Owen Daniels for 9 yards, touchdown",5.140,7.000
4,14:44,,,SDG 2,21,28,Randy Bullock kicks extra point good,0.000,0.000
4,14:44,,,HOU 35,21,28,"Randy Bullock kicks off 72 yards, touchback",0.000,-0.280
4,14:44,1,10,SDG 20,21,28,Ryan Mathews up the middle for -1 yards (tackle by J.J. Watt),0.280,-0.460
4,14:07,2,11,SDG 19,21,28,Le'Ron McClain up the middle for 2 yards (tackle by Brian Cushing),-0.460,-0.820
4,13:22,3,9,SDG 21,21,28,Philip Rivers pass incomplete intended for Antonio Gates (defended by J.J. Watt),-0.820,-1.960
4,13:17,4,9,SDG 21,21,28,"Mike Scifres punts 61 yards, returned by Keshawn Martin for 9 yards (tackle by Andrew Gachkar)",-1.960,-0.740
4,13:04,1,10,HOU 27,21,28,Matt Schaub pass complete short left to Andre Johnson for 5 yards (tackle by Shareece Wright),0.740,0.870
4,12:34,2,5,HOU 32,21,28,Matt Schaub pass incomplete short left intended for Andre Johnson (defended by Cam Thomas),0.870,0.170
4,12:31,3,5,HOU 32,21,28,Matt Schaub pass complete short middle to Andre Johnson for 4 yards (tackle by Shareece Wright),0.170,-0.980
4,12:07,4,1,HOU 36,21,28,Shiloh Keo up the middle for 8 yards (tackle by Jahleel Addae),-0.980,1.860
4,11:29,1,10,HOU 44,21,28,Matt Schaub pass complete short left to Arian Foster for 1 yard (tackle by Jarret Johnson),1.860,1.450
4,11:02,2,9,HOU 45,21,28,Matt Schaub sacked by Jarret Johnson for -6 yards,1.450,-0.030
4,10:22,3,15,HOU 39,21,28,"Penalty on Matt Schaub: Delay of Game, 5 yards (no play)",-0.030,-0.690
4,9:59,3,20,HOU 34,21,28,Matt Schaub pass incomplete short middle intended for Arian Foster,-0.690,-1.110
4,9:51,4,20,HOU 34,21,28,"Shane Lechler punts 58 yards, returned by Eddie Royal for 5 yards (tackle by D.J. Swearinger)",-1.110,0.320
4,9:38,1,10,SDG 13,27,28,"Philip Rivers pass incomplete short left intended for Danny Woodhead is intercepted by Brian Cushing at SDG-18 and returned for 18 yards, touchdown. Penalty on D.J. Fluker: Unnecessary Roughness, 15 yards",-0.320,-7.000
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the play was upheld.",,
4,9:30,,,SDG 2,28,28,Randy Bullock kicks extra point good,0.000,0.000
4,9:30,,,SDG 13,28,28,"Randy Bullock kicks off 50 yards, touchback",0.000,-0.280
4,9:30,1,10,SDG 20,28,28,Philip Rivers pass incomplete short right intended for Malcom Floyd,0.280,-0.270
4,9:26,2,10,SDG 20,28,28,Philip Rivers pass incomplete short right intended for Malcom Floyd (defended by Johnathan Joseph),-0.270,-0.960
4,9:21,3,10,SDG 20,28,28,Philip Rivers pass incomplete short right intended for Eddie Royal,-0.960,-2.030
4,9:14,4,10,SDG 20,28,28,"Mike Scifres punts 57 yards, returned by Keshawn Martin for 5 yards (tackle by Mike Windt)",-2.030,-0.810
4,8:59,1,10,HOU 28,28,28,Ben Tate for 12 yards (tackle by Eric Weddle),0.810,1.600
4,8:30,1,10,HOU 40,28,28,Matt Schaub pass complete short right to DeAndre Hopkins for 11 yards (tackle by Marcus Gilchrist),1.600,2.320
4,8:03,1,10,SDG 49,28,28,Ben Tate left tackle for 3 yards (tackle by Bront Bird),2.320,2.190
4,7:25,2,7,SDG 46,28,28,Matt Schaub pass complete short right to Ben Tate for 3 yards (tackle by Eric Weddle),2.190,1.880
4,6:43,3,4,SDG 43,28,28,"Penalty on Brandon Brooks: False Start, 5 yards (no play)",1.880,1.880
4,6:19,3,4,SDG 43,28,28,Timeout #2 by Houston Texans,1.880,1.220
4,6:19,3,9,SDG 48,28,28,Matt Schaub pass complete short right to Garrett Graham for 3 yards (tackle by Eric Weddle),1.220,0.270
4,5:46,4,6,SDG 45,28,28,"Shane Lechler punts 29 yards, fair catch by Eddie Royal",0.270,0.140
4,5:37,1,10,SDG 16,28,28,Ryan Mathews left guard for no gain (tackle by Whitney Mercilus and J.J. Watt),-0.140,-0.660
4,5:00,2,10,SDG 16,28,28,Philip Rivers pass complete short right to Ryan Mathews for 8 yards (tackle by Earl Mitchell),-0.660,-0.320
4,4:12,3,2,SDG 24,28,28,Philip Rivers pass incomplete short right intended for Vincent Brown,-0.320,-1.770
4,4:06,4,2,SDG 24,28,28,Mike Scifres punts 37 yards,-1.770,-1.530
4,3:53,1,10,HOU 39,28,28,Matt Schaub pass complete short left to Owen Daniels for 11 yards (tackle by Shareece Wright),1.530,2.260
4,3:16,1,10,,28,28,Matt Schaub pass complete short left to Andre Johnson for 9 yards (tackle by Shareece Wright),2.260,2.930
4,2:37,2,1,SDG 41,28,28,Arian Foster right guard for 3 yards (tackle by Cam Thomas and Bront Bird),2.930,3.050
4,2:00,1,10,SDG 38,28,28,Arian Foster right end for no gain (tackle by Bront Bird and Marcus Gilchrist),3.050,3.050
4,1:53,1,10,SDG 38,28,28,Timeout #2 by San Diego Chargers,3.050,2.510
4,1:53,2,10,SDG 38,28,28,Matt Schaub pass complete short right to Andre Johnson for 6 yards (tackle by Derek Cox),2.510,2.610
4,1:49,3,4,SDG 32,28,28,Matt Schaub pass complete short right to Andre Johnson for 8 yards (tackle by Derek Cox),2.610,3.970
4,1:08,1,10,SDG 24,28,28,Arian Foster left guard for 1 yard (tackle by Bront Bird),3.970,3.570
4,0:29,2,9,SDG 23,28,28,Arian Foster left end for no gain (tackle by Larry English and Donald Butler),3.570,3.570
4,0:05,2,9,SDG 23,28,28,Timeout #3 by Houston Texans,3.570,3.570
4,0:05,2,9,SDG 23,28,28,Timeout #3 by San Diego Chargers,3.570,2.870
4,0:05,3,9,SDG 23,31,28,Randy Bullock 41 yard field goal good,2.870,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
