Quarter,Time,Down,ToGo,Location,ARI,DEN,Detail,EPB,EPA
3,15:00,1,10,ARI 20,7,9,Jake Plummer pass complete to Jason McAddley for 6 yards (tackle by Denard Walker),0.280,0.540
3,14:25,2,4,ARI 26,7,9,Marcel Shipp left end for 1 yard (tackle by Chester McGlockton),0.540,-0.030
3,13:44,3,3,ARI 27,7,9,Jake Plummer pass incomplete intended for Jason McAddley (defended by Deltha O'Neal),-0.030,-1.570
3,13:39,4,3,ARI 27,7,9,"Scott Player punts 46 yards, returned by Deltha O'Neal for 15 yards (tackle by Michael Stone)",-1.570,-1.730
3,13:26,1,10,DEN 42,7,9,Steve Beuerlein pass incomplete intended for Rod Smith,1.730,1.190
3,13:18,2,10,DEN 42,7,9,"Clinton Portis right tackle for 11 yards (tackle by Renaldo Hill). Penalty on Matt Lepsis: Offensive Holding, 10 yards (no play)",1.190,-0.160
3,12:54,2,20,DEN 32,7,9,Steve Beuerlein pass complete to Rod Smith for 13 yards (tackle by Renaldo Hill),-0.160,0.890
3,12:14,3,7,DEN 45,7,9,Steve Beuerlein pass complete to Ed McCaffrey for 9 yards (tackle by Duane Starks),0.890,2.520
3,11:37,1,10,ARI 46,7,9,Clinton Portis left end for 22 yards (tackle by Kwamie Lassiter),2.520,3.970
3,11:06,1,10,ARI 24,7,9,--,3.970,3.700
3,10:24,2,8,ARI 22,7,9,"Penalty on Steve Beuerlein: False Start, 5 yards (no play)",3.700,3.030
3,9:57,2,13,ARI 27,7,9,. Ben Hamilton fumbles,3.030,2.610
3,9:12,3,11,ARI 25,7,9,Steve Beuerlein pass complete to Ed McCaffrey for 10 yards (tackle by Justin Lucas and Renaldo Hill),2.610,2.590
3,8:27,4,1,ARI 15,7,9,Clinton Portis left guard for 4 yards (tackle by Raynoch Thompson),2.590,4.840
3,7:51,1,10,ARI 11,7,9,Clinton Portis right tackle for 1 yard (tackle by Fred Wakefield),4.840,4.320
3,7:08,2,9,ARI 10,7,9,Steve Beuerlein pass complete to Ed McCaffrey for 5 yards (tackle by Coby Rhinehart),4.320,4.440
3,6:22,3,4,ARI 5,7,15,"Steve Beuerlein pass complete to Ashley Lelie for 5 yards, touchdown",4.440,7.000
3,6:22,,,ARI 5,7,16,Jason Elam kicks extra point good,0.000,0.000
3,6:22,,,DEN 30,7,16,"Micah Knorr kicks off 71 yards, returned by Kevin Kasper for 38 yards (tackle by Bertrand Berry)",0.000,1.400
3,6:11,1,10,ARI 37,7,16,Jake Plummer sacked by Monsanto Pope for -7 yards,1.400,-0.090
3,5:40,2,17,ARI 30,7,16,Marcel Shipp left guard for 2 yards (tackle by John Mobley and Al Wilson),-0.090,-0.490
3,4:56,3,15,ARI 32,7,16,Jake Plummer pass complete to Kevin Kasper for 22 yards (tackle by Kenoy Kennedy),-0.490,2.520
3,4:35,1,10,DEN 46,7,16,Marcel Shipp left tackle for 5 yards (tackle by Lional Dalton and Kenoy Kennedy),2.520,2.650
3,3:57,2,5,DEN 41,7,16,Jake Plummer pass incomplete intended for Marcel Shipp,2.650,1.950
3,3:52,3,5,DEN 41,7,16,Jake Plummer pass incomplete (defended by Bertrand Berry),1.950,0.530
3,3:49,4,5,DEN 41,7,16,Scott Player punts 33 yards,0.530,0.380
3,3:36,1,10,DEN 8,7,16,Clinton Portis right tackle for 11 yards (tackle by Ronald McKinnon),-0.380,0.150
3,3:06,1,10,DEN 19,7,16,Clinton Portis left end for 4 yards (tackle by Ronald McKinnon),0.150,0.210
3,2:23,2,6,DEN 23,7,16,Clinton Portis right tackle for 6 yards (tackle by Greg Jones),0.210,0.870
3,1:40,1,10,DEN 29,7,16,--,0.870,1.930
3,1:12,1,10,DEN 45,7,16,"Steve Beuerlein pass incomplete intended for Ashley Lelie. Penalty on Renaldo Hill: Illegal Contact, 5 yards (no play)",1.930,2.260
3,1:05,1,10,,7,16,Mike Anderson left guard for 17 yards (tackle by Greg Jones and Kwamie Lassiter),2.260,3.380
3,0:24,1,10,ARI 33,7,16,Clinton Portis right guard for 5 yards (tackle by Ronald McKinnon),3.380,3.510
Quarter,Time,Down,ToGo,Location,ARI,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,ARI 28,7,16,Steve Beuerlein pass complete to Ed McCaffrey for 11 yards (tackle by Duane Starks and Raynoch Thompson),3.510,4.440
4,14:18,1,10,ARI 17,7,16,Clinton Portis left guard for 7 yards (tackle by Raynoch Thompson and Kwamie Lassiter),4.440,5.100
4,13:39,2,3,ARI 10,7,16,Clinton Portis right tackle for no gain (tackle by Barron Tanner),5.100,4.340
4,12:55,3,3,ARI 10,7,22,"Steve Beuerlein pass complete to Rod Smith for 10 yards, touchdown",4.340,7.000
4,12:55,,,ARI 10,7,23,Jason Elam kicks extra point good,0.000,0.000
4,12:55,,,DEN 30,7,23,"Micah Knorr kicks off 64 yards, returned by Kevin Kasper for 25 yards (tackle by Sam Brandon)",0.000,1.000
4,12:44,1,10,ARI 31,7,23,Jake Plummer pass incomplete intended for Freddie Jones (defended by Al Wilson),1.000,0.460
4,12:39,2,10,ARI 31,7,23,Jake Plummer pass complete to Jason McAddley for 13 yards (tackle by Deltha O'Neal),0.460,1.860
4,12:01,1,10,ARI 44,7,23,Marcel Shipp right guard for 3 yards (tackle by Chester McGlockton),1.860,1.720
4,11:22,2,7,ARI 47,7,23,Jake Plummer pass incomplete intended for Jason McAddley,1.720,1.030
4,11:15,3,7,ARI 47,7,23,Jake Plummer pass incomplete intended for Kevin Kasper,1.030,-0.260
4,11:12,4,7,ARI 47,7,23,"Scott Player punts 42 yards, fair catch by Deltha O'Neal",-0.260,0.370
4,11:04,1,10,DEN 11,7,23,Clinton Portis middle for no gain (tackle by Marcus Bell),-0.370,-0.780
4,10:27,2,10,DEN 11,7,23,--,-0.780,-0.300
4,10:11,2,5,DEN 16,7,23,Clinton Portis for 11 yards,-0.300,0.740
4,9:43,1,10,DEN 27,7,23,Clinton Portis right tackle for 9 yards (tackle by Justin Lucas),0.740,1.410
4,9:07,2,1,DEN 36,7,23,--,1.410,1.860
4,8:24,1,10,DEN 44,7,23,Steve Beuerlein pass complete to Ed McCaffrey for 52 yards (tackle by Duane Starks),1.860,6.280
4,7:39,1,10,DEN 44,,,Timeout #1 by Denver Broncos,1.860,6.280
4,7:39,1,4,ARI 4,7,29,"Clinton Portis left tackle for 4 yards, touchdown",6.280,7.000
4,7:39,,,ARI 4,7,30,Jason Elam kicks extra point good,0.000,0.000
4,7:39,,,DEN 30,7,30,"Micah Knorr kicks off 71 yards, returned by Kevin Kasper for 23 yards (tackle by Sam Brandon)",0.000,0.410
4,7:29,1,10,ARI 22,7,30,Josh McCown pass complete to Freddie Jones for 8 yards (tackle by Deltha O'Neal),0.410,0.950
4,6:54,2,2,ARI 30,7,30,Marcel Shipp right tackle for 12 yards (tackle by Monsanto Pope),0.950,1.730
4,6:23,1,10,ARI 42,7,30,Josh McCown middle for 20 yards (tackle by Sam Brandon and Deltha O'Neal),1.730,3.050
4,5:46,1,10,DEN 38,7,30,Josh McCown sacked by Ian Gold and Trevor Pryce for -10 yards,3.050,1.160
4,5:22,2,20,DEN 48,7,30,Josh McCown pass incomplete (defended by Monsanto Pope),1.160,0.500
4,5:18,3,20,DEN 48,7,30,"Josh McCown pass incomplete intended for Freddie Jones. Penalty on Ian Gold: Defensive Holding, 5 yards (no play)",0.500,2.720
4,5:13,1,10,DEN 43,7,30,"Josh McCown sacked by Lional Dalton for -13 yards. Josh McCown fumbles (forced by Lional Dalton), recovered by Ian Gold at ARI-34 and returned for 18 yards (tackle by Nate Poole)",2.720,-4.510
4,5:01,1,10,ARI 16,7,30,Clinton Portis middle for 4 yards (tackle by LeVar Woods),4.510,4.570
4,4:18,2,6,ARI 12,7,36,"Clinton Portis right end for 12 yards, touchdown",4.570,7.000
4,4:18,,,ARI 12,7,37,Jason Elam kicks extra point good,0.000,0.000
4,4:18,,,DEN 30,7,37,"Micah Knorr kicks off 72 yards, returned by Kevin Kasper for 25 yards (tackle by Keith Burns)",0.000,0.480
4,4:06,1,10,ARI 23,7,37,Josh McCown pass complete to Marcel Shipp for 6 yards (tackle by Monsanto Pope and Montae Reagor),0.480,0.740
4,3:30,2,4,ARI 29,7,37,Josh McCown pass complete to Freddie Jones for 7 yards (tackle by John Mobley),0.740,1.330
4,2:59,1,10,ARI 36,7,37,"Josh McCown pass incomplete intended for Jason McAddley (defended by Kelly Herndon). Penalty on Kelly Herndon: Defensive Pass Interference, 4 yards (no play)",1.330,1.600
4,2:56,1,10,ARI 40,7,37,"Josh McCown pass incomplete intended for Jason McAddley (defended by Sam Brandon). Penalty on Bertrand Berry: Personal Foul, 15 yards (no play)",1.600,2.590
4,2:51,1,10,DEN 45,7,37,Josh McCown pass incomplete intended for Freddie Jones,2.590,2.040
4,2:47,2,10,DEN 45,7,37,Josh McCown pass incomplete intended for Jason McAddley is intercepted by Kelly Herndon at DEN-31,2.040,-1.000
4,2:39,1,10,DEN 31,7,37,Mike Anderson middle for 3 yards (tackle by Fred Wakefield),1.000,0.870
4,2:00,2,7,DEN 34,7,37,Mike Anderson right guard for 3 yards (tackle by Wendell Bryant),0.870,0.560
4,1:19,3,4,DEN 37,7,37,Mike Anderson right guard for 3 yards (tackle by Greg Jones),0.560,-0.720
4,0:38,4,1,DEN 40,7,37,Mike Anderson right guard for 2 yards (tackle by Wendell Bryant),-0.720,1.730
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
