Quarter,Time,Down,ToGo,Location,LAR,JAX,Detail,EPB,EPA
4,11:55,1,10,JAX 45,24,17,"Todd Gurley left end for 10 yards (tackle by Jalen Ramsey). Penalty on Gerald Everett: Offensive Holding, 10 yards (no play)",2.590,1.930
4,11:33,1,20,LAR 45,24,17,Todd Gurley middle for 6 yards (tackle by Telvin Smith),1.930,1.500
4,10:54,2,14,JAX 49,24,17,Tavon Austin left end for -6 yards (tackle by Aaron Colvin),1.500,0.040
4,10:13,3,20,LAR 45,24,17,Jared Goff pass incomplete deep middle intended for Robert Woods,0.040,-0.390
4,10:08,4,20,LAR 45,24,17,"Johnny Hekker punts 36 yards, fair catch by Max McCaffrey",-0.390,-0.150
4,9:58,1,10,JAX 19,24,17,"Leonard Fournette left end for no gain (tackle by Trumaine Johnson). Penalty on Cam Robinson: Offensive Holding, 9 yards (no play)",0.150,-0.720
4,9:39,1,19,JAX 10,24,17,Blake Bortles sacked by Michael Brockers for -5 yards,-0.720,-1.800
4,9:02,2,24,JAX 5,24,17,Blake Bortles pass complete deep middle to Ben Koyack for 21 yards (tackle by Connor Barwin),-1.800,-0.160
4,8:23,3,3,JAX 26,24,17,Blake Bortles pass complete short right to Chris Ivory for no gain,-0.160,-1.630
4,7:51,4,3,JAX 26,24,17,"Brad Nortman punts 41 yards, muffed catch by Pharoh Cooper, recovered by Pharoh Cooper and returned for no gain",-1.630,-1.070
4,7:40,1,10,LAR 32,24,17,Todd Gurley middle for 4 yards (tackle by Eli Ankou),1.070,1.070
4,7:11,2,6,LAR 36,24,17,Todd Gurley middle for 6 yards (tackle by Barry Church),1.070,1.730
4,6:30,1,10,LAR 42,24,17,Jared Goff sacked by Telvin Smith for -1 yards,1.730,1.050
4,5:51,2,11,LAR 41,24,17,Todd Gurley right end for 5 yards (tackle by Dawuane Smoot),1.050,1.030
4,5:11,3,6,LAR 46,24,17,Jared Goff pass complete short middle to Cooper Kupp for 22 yards (tackle by Barry Church),1.030,3.450
4,4:22,1,10,JAX 32,24,17,Malcolm Brown left end for 7 yards (tackle by Myles Jack),3.450,3.850
4,3:42,2,3,JAX 25,24,17,Todd Gurley middle for -1 yards (tackle by Tashaun Gipson),3.850,0.000
4,3:38,,,,,,Timeout #1 by Jacksonville Jaguars,0.000,-3.010
4,3:38,3,4,JAX 26,24,17,Todd Gurley for 9 yards,3.010,4.440
4,3:32,1,10,JAX 17,24,17,Todd Gurley middle for 3 yards (tackle by Telvin Smith),4.440,0.000
4,3:27,,,,,,Timeout #2 by Jacksonville Jaguars,0.000,-4.320
4,3:27,2,7,JAX 14,24,17,Todd Gurley middle for 4 yards (tackle by Abry Jones),4.320,0.000
4,3:22,,,,,,Timeout #3 by Jacksonville Jaguars,0.000,-4.340
4,3:22,3,3,JAX 10,24,17,Todd Gurley left end for -1 yards (tackle by Myles Jack),4.340,0.000
4,2:36,,,,,,Timeout #1 by Los Angeles Rams,0.000,-2.770
4,2:36,4,4,JAX 11,27,17,Greg Zuerlein 29 yard field goal good,2.770,3.000
4,2:32,,,LAR 35,27,17,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
4,2:32,1,10,JAX 25,27,17,Blake Bortles pass complete short middle to Chris Ivory for 14 yards (tackle by Cody Davis and Mark Barron),0.610,1.530
4,2:11,1,10,JAX 39,27,17,"Blake Bortles for 15 yards (tackle by Mark Barron). Penalty on Marqise Lee: Illegal Motion, 5 yards (no play)",1.530,1.200
4,2:03,1,15,JAX 34,27,17,Blake Bortles pass incomplete short left intended for Chris Ivory,1.200,0.310
4,1:58,2,15,JAX 34,27,17,Blake Bortles pass incomplete short right intended for James O'Shaughnessy,0.310,-0.360
4,1:54,3,15,JAX 34,27,17,Blake Bortles pass complete short right to Marqise Lee for 16 yards (tackle by Trumaine Johnson),-0.360,2.260
4,1:14,1,10,,27,17,Blake Bortles pass complete short left to Chris Ivory for 12 yards (tackle by Mark Barron),2.260,3.050
4,1:12,1,10,LAR 38,27,17,Blake Bortles pass complete short left to James O'Shaughnessy for 2 yards (tackle by Kayvon Webster),3.050,0.000
4,1:12,,,,,,Timeout #2 by Los Angeles Rams,0.000,-2.780
4,1:12,2,8,LAR 36,27,17,Jason Myers 54 yard field goal no good,2.780,-1.860
4,1:07,1,10,LAR 44,27,17,Jared Goff kneels for -1 yards,1.860,1.180
4,0:38,2,11,LAR 43,27,17,Jared Goff kneels for -1 yards,1.180,0.370
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
