Quarter,Time,Down,ToGo,Location,GNB,ARI,Detail,EPB,EPA
2,14:11,3,3,GNB 3,0,6,"Carson Palmer pass complete short middle to Larry Fitzgerald for 3 yards, touchdown",4.720,7.000
2,14:11,,,GNB 3,0,7,Chandler Catanzaro kicks extra point good,0.000,0.000
2,14:11,,,ARI 35,0,7,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
2,14:07,1,10,GNB 20,0,7,Aaron Rodgers pass incomplete deep right intended for Jared Abbrederis,0.280,-0.270
2,14:00,2,10,GNB 20,0,7,Aaron Rodgers pass complete short left to Jared Abbrederis for 5 yards (tackle by Patrick Peterson),-0.270,-0.300
2,13:27,3,5,GNB 25,0,7,Aaron Rodgers pass complete short right to James Jones for 8 yards (tackle by Justin Bethel),-0.300,1.140
2,12:49,1,10,GNB 33,0,7,Aaron Rodgers pass complete short right to Randall Cobb for 5 yards (tackle by Tony Jefferson),1.140,1.270
2,12:18,2,5,GNB 38,0,7,"Randall Cobb middle for 3 yards (tackle by D.J. Swearinger). Penalty on Corey Linsley: Offensive Holding, 10 yards (no play)",1.270,-0.080
2,11:52,2,15,GNB 28,0,7,Aaron Rodgers pass complete short left to Richard Rodgers for 2 yards (tackle by Deone Bucannon),-0.080,-0.490
2,11:08,3,13,GNB 30,0,7,Aaron Rodgers sacked by Calais Campbell for -5 yards. Penalty on Don Barclay: Offensive Holding (Declined),-0.490,-1.700
2,10:57,4,18,GNB 25,0,7,"Tim Masthay punts 45 yards, muffed catch by Patrick Peterson, recovered by Chris Clemons and returned for no gain",-1.700,-0.740
2,10:50,1,10,ARI 27,0,7,Carson Palmer pass complete short middle to John Brown for 4 yards (tackle by Casey Hayward),0.740,0.740
2,10:10,2,6,ARI 31,0,7,Carson Palmer pass complete short left to Michael Floyd for 11 yards (tackle by Quinten Rollins),0.740,1.730
2,9:26,1,10,ARI 42,0,7,David Johnson right tackle for 6 yards (tackle by Morgan Burnett),1.730,2.000
2,8:46,2,4,ARI 48,0,7,Carson Palmer pass complete short right to Michael Floyd for 17 yards (tackle by Damarious Randall),2.000,3.250
2,8:03,1,10,GNB 35,0,7,Carson Palmer pass complete short middle to David Johnson for 29 yards (tackle by Jake Ryan),3.250,5.830
2,7:24,1,6,GNB 6,0,7,David Johnson left end for 4 yards (tackle by Nick Perry),5.830,5.720
2,6:43,2,2,GNB 2,0,7,David Johnson middle for 1 yard (tackle by Datone Jones and Jake Ryan),5.720,5.170
2,6:02,3,1,GNB 1,0,7,Carson Palmer pass incomplete short right intended for David Johnson (defended by Morgan Burnett),5.170,3.550
2,5:51,4,1,GNB 1,0,10,Chandler Catanzaro 19 yard field goal good,3.550,3.000
2,5:51,,,ARI 35,0,10,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
2,5:48,1,10,GNB 20,0,10,Aaron Rodgers pass complete short left to James Jones for 17 yards (tackle by Kevin Minter),0.280,1.400
2,5:25,1,10,GNB 37,0,10,Aaron Rodgers pass complete short right to Randall Cobb for 8 yards (tackle by Deone Bucannon and Tony Jefferson),1.400,1.940
2,5:02,2,2,GNB 45,0,10,Aaron Rodgers pass incomplete deep left intended for James Jones,1.940,1.940
2,4:53,2,2,GNB 45,0,10,Timeout #1 by Green Bay Packers,1.940,1.220
2,4:53,3,2,GNB 45,0,10,Aaron Rodgers pass incomplete short middle intended for Richard Rodgers (defended by Deone Bucannon),1.220,-0.390
2,4:49,4,2,GNB 45,0,10,Tim Masthay left end for 7 yards (tackle by Kareem Martin),-0.390,2.390
2,3:55,1,10,ARI 48,0,10,Eddie Lacy left tackle for 3 yards (tackle by Kevin Minter),2.390,2.250
2,3:28,2,7,ARI 45,0,10,Aaron Rodgers sacked by Calais Campbell for -8 yards,2.250,0.500
2,2:41,3,15,GNB 47,0,10,Aaron Rodgers sacked by Calais Campbell and Markus Golden for -8 yards,0.500,-0.780
2,2:08,4,23,GNB 39,0,10,"Tim Masthay punts 37 yards, fair catch by Patrick Peterson",-0.780,-0.540
2,2:00,1,10,ARI 24,0,10,Carson Palmer pass incomplete short middle intended for David Johnson is intercepted by Mike Daniels at ARI-21 and returned for 6 yards,0.540,-4.580
2,1:52,1,10,ARI 15,0,10,Aaron Rodgers pass complete short right to Randall Cobb for 2 yards (tackle by Patrick Peterson),4.580,4.280
2,1:22,2,8,ARI 13,0,10,Eddie Lacy right tackle for 3 yards (tackle by Alex Okafor and Kevin Minter),4.280,4.280
2,1:22,2,8,ARI 13,0,10,Timeout #2 by Green Bay Packers,4.280,4.000
2,1:05,3,5,ARI 10,0,10,Aaron Rodgers pass incomplete short right intended for James Jones is intercepted by Justin Bethel at ARI-0. Penalty on Don Barclay: Illegal Use of Hands (Declined),4.000,-0.280
2,0:57,1,10,ARI 20,0,10,Carson Palmer pass complete deep middle to Michael Floyd for 47 yards (tackle by Morgan Burnett),0.280,3.380
2,0:44,1,10,GNB 33,0,10,Carson Palmer pass complete short right to Michael Floyd for 9 yards (tackle by Damarious Randall),3.380,3.380
2,0:38,1,10,GNB 33,0,10,Timeout #1 by Arizona Cardinals,3.380,4.050
2,0:38,2,1,GNB 24,0,10,"Carson Palmer pass incomplete short left intended for Larry Fitzgerald. Penalty on Micah Hyde: Defensive Holding, 5 yards (no play)",4.050,4.310
2,0:32,1,10,GNB 19,0,10,Carson Palmer pass incomplete short right intended for David Johnson,4.310,3.750
2,0:28,2,10,GNB 19,0,10,Carson Palmer pass complete short middle to Larry Fitzgerald for 12 yards (tackle by Casey Hayward),3.750,3.750
2,0:22,2,10,GNB 19,0,10,Timeout #2 by Arizona Cardinals,3.750,5.600
2,0:22,1,7,GNB 7,0,10,Carson Palmer pass incomplete short middle intended for Larry Fitzgerald,5.600,4.760
2,0:18,2,7,GNB 7,0,10,Carson Palmer pass incomplete,4.760,3.810
2,0:11,3,7,GNB 7,0,16,"Carson Palmer pass complete short right to John Brown for 7 yards, touchdown",3.810,7.000
2,0:11,,,GNB 7,0,17,Chandler Catanzaro kicks extra point good,0.000,0.000
2,0:11,,,ARI 35,0,17,"Chandler Catanzaro kicks off 47 yards, returned by Datone Jones for 9 yards (tackle by Chris Clemons)",0.000,-0.740
2,0:01,1,10,GNB 27,0,17,Aaron Rodgers kneels for -1 yards,0.740,0.060
Quarter,Time,Down,ToGo,Location,GNB,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,0,17,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,GNB 20,0,17,"James Starks middle for 6 yards (tackle by D.J. Swearinger). James Starks fumbles (forced by D.J. Swearinger), recovered by Jerraud Powers at GNB-33 and returned for 5 yards (tackle by Aaron Rodgers)",0.280,-3.710
3,14:49,1,10,GNB 28,0,17,Carson Palmer pass complete short right to Michael Floyd for 14 yards (tackle by Morgan Burnett),3.710,4.650
3,14:10,1,10,GNB 14,0,23,"David Johnson right tackle for 14 yards, touchdown",4.650,7.000
3,14:10,,,GNB 14,0,24,Chandler Catanzaro kicks extra point good,0.000,0.000
3,14:10,,,ARI 35,0,24,"Chandler Catanzaro kicks off 68 yards, returned by Jeff Janis for 23 yards (tackle by Patrick Peterson). Penalty on Datone Jones: Offensive Holding, 9 yards",0.000,0.380
3,13:57,1,10,GNB 9,0,24,Aaron Rodgers pass complete short right to James Jones for 1 yard (tackle by Patrick Peterson),-0.380,-0.710
3,13:26,2,9,GNB 10,0,24,Aaron Rodgers sacked by Dwight Freeney for -8 yards,-0.710,-2.240
3,12:43,3,17,GNB 2,0,24,"Aaron Rodgers pass complete deep left to Davante Adams for 38 yards (tackle by Justin Bethel). Penalty on Davante Adams: Delay of Game, 5 yards",-2.240,1.270
3,12:26,1,10,GNB 35,0,24,"Aaron Rodgers sacked by Deone Bucannon for -7 yards. Aaron Rodgers fumbles (forced by Deone Bucannon), recovered by Aaron Rodgers at GNB-28",1.270,-0.220
3,11:48,2,17,GNB 28,0,24,Aaron Rodgers right end for 10 yards (tackle by Jerraud Powers),-0.220,0.430
3,11:09,3,7,GNB 38,0,24,Aaron Rodgers left end for 10 yards (tackle by Justin Bethel),0.430,2.130
3,10:27,1,10,GNB 48,0,24,Aaron Rodgers pass incomplete short left intended for Eddie Lacy (defended by Cory Redding),2.130,1.580
3,10:21,2,10,GNB 48,0,24,Eddie Lacy middle for 3 yards (tackle by Kevin Minter),1.580,1.290
3,9:47,3,7,ARI 49,0,30,"Aaron Rodgers sacked by Kareem Martin for -10 yards. Aaron Rodgers fumbles (forced by Kareem Martin), recovered by Cory Redding at GNB-36 and returned for 36 yards, touchdown",1.290,-7.000
3,9:34,,,GNB 49,0,31,Chandler Catanzaro kicks extra point good,0.000,0.000
3,9:34,,,ARI 35,0,31,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
3,9:34,1,10,GNB 20,0,31,"Penalty on ARI: Defensive 12 On-field, 5 yards (no play)",0.280,1.010
3,9:34,1,5,GNB 25,0,31,Eddie Lacy middle for 9 yards (tackle by Tony Jefferson),1.010,1.200
3,9:01,1,10,GNB 34,0,31,Eddie Lacy left tackle for 25 yards (tackle by Deone Bucannon),1.200,2.850
3,8:27,1,10,ARI 41,0,31,Eddie Lacy left end for -1 yards (tackle by Markus Golden),2.850,2.170
3,8:03,2,11,ARI 42,0,31,"Aaron Rodgers pass incomplete deep left intended for Randall Cobb. Penalty on Alex Okafor: Defensive 12 On-field, 5 yards (no play)",2.170,2.850
3,7:57,2,6,ARI 37,0,31,Aaron Rodgers pass incomplete short left intended for Richard Rodgers,2.850,2.150
3,7:51,3,6,ARI 37,0,31,Aaron Rodgers pass incomplete deep left intended for James Jones,2.150,0.790
3,7:44,4,6,ARI 37,0,31,Aaron Rodgers pass complete short left to James Jones for 9 yards (tackle by Justin Bethel),0.790,3.710
3,7:20,1,10,ARI 28,0,31,John Crockett middle for no gain (tackle by Kareem Martin and Red Bryant),3.710,3.170
3,6:41,2,10,ARI 28,6,31,"Aaron Rodgers pass complete short left to Eddie Lacy for 28 yards, touchdown. Penalty on Kevin Minter: Roughing the Passer, 15 yards",3.170,7.000
3,6:41,2,,ARI 28,8,31,"Two Point Attempt: Aaron Rodgers pass complete to James Jones, conversion succeeds",3.170,1.000
3,6:41,,,GNB 50,8,31,"Mason Crosby kicks onside 2 yards, recovered by Jaron Brown",0.000,-2.130
3,6:29,1,10,ARI 48,8,31,Andre Ellington middle for 2 yards (tackle by Letroy Guion),2.130,1.850
3,5:49,2,8,,8,31,Carson Palmer pass complete short left to Andre Ellington for 5 yards (tackle by Quinten Rollins),1.850,1.820
3,5:03,3,3,GNB 45,8,31,"Penalty on Ted Larsen: False Start, 5 yards (no play)",1.820,1.160
3,4:40,3,8,,8,31,Carson Palmer pass incomplete deep left intended for John Brown,1.160,-0.060
3,4:34,4,8,,8,31,"Drew Butler punts 39 yards, fair catch by Micah Hyde",-0.060,0.370
3,4:26,1,10,GNB 11,8,31,"Aaron Rodgers sacked by Alex Okafor for -8 yards. Penalty on Jerraud Powers: Roughing the Passer, 15 yards (no play)",-0.370,0.670
3,4:00,1,10,GNB 26,8,31,Aaron Rodgers pass incomplete short right intended for James Jones,0.670,0.130
3,3:56,2,10,GNB 26,8,31,Aaron Rodgers sacked by Frostee Rucker for -8 yards,0.130,-1.800
3,3:11,3,18,GNB 18,8,37,"Aaron Rodgers sacked by Dwight Freeney for -9 yards. Aaron Rodgers fumbles (forced by Dwight Freeney), recovered by Jerraud Powers at GNB-7 and returned for 7 yards, touchdown",-1.800,-7.000
3,3:05,,,GNB 18,8,38,Chandler Catanzaro kicks extra point good,0.000,0.000
3,3:05,,,ARI 35,8,38,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
3,3:05,1,10,GNB 20,8,38,Eddie Lacy middle for 4 yards (tackle by Kevin Minter),0.280,0.270
3,2:27,2,6,GNB 24,8,38,Aaron Rodgers pass incomplete deep left intended for James Jones,0.270,-0.430
3,2:21,3,6,GNB 24,8,38,Aaron Rodgers pass complete short right to Andrew Quarless for 13 yards (tackle by Tony Jefferson),-0.430,1.400
3,1:46,1,10,GNB 37,8,38,John Kuhn middle for 3 yards (tackle by Alex Okafor),1.400,1.260
3,1:05,2,7,GNB 40,8,38,"Aaron Rodgers pass incomplete deep left intended for James Jones. Penalty on Justin Bethel: Defensive Pass Interference, 47 yards (no play)",1.260,4.710
3,0:55,1,10,ARI 13,8,38,"Penalty on ARI: Unsportsmanlike Conduct, 7 yards",4.710,5.830
3,0:55,1,6,ARI 6,8,38,Aaron Rodgers pass incomplete short left intended for James Jones,5.830,5.830
3,0:51,1,6,ARI 6,8,38,Timeout #1 by Green Bay Packers,5.830,4.950
3,0:51,2,6,ARI 6,8,38,Aaron Rodgers pass complete short right to Davante Adams for 4 yards (tackle by Justin Bethel),4.950,4.950
3,0:13,3,2,ARI 2,8,38,Aaron Rodgers pass incomplete short right intended for Davante Adams,4.950,3.250
3,0:09,4,2,ARI 2,8,38,Aaron Rodgers pass complete short right to Davante Adams for no gain,3.250,0.380
3,0:04,1,10,ARI 2,8,38,Andre Ellington right end for 8 yards (tackle by Morgan Burnett),-0.380,-0.200
Quarter,Time,Down,ToGo,Location,GNB,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,2,ARI 10,8,38,Andre Ellington right end for 16 yards (tackle by Ha Ha Clinton-Dix),-0.200,0.670
4,14:13,1,10,ARI 26,8,38,Andre Ellington middle for -2 yards (tackle by Morgan Burnett),0.670,-0.140
4,13:35,2,12,ARI 24,8,38,Andre Ellington middle for 7 yards (tackle by Jake Ryan),-0.140,0.100
4,12:50,3,5,ARI 31,8,38,Carson Palmer pass complete short right to Larry Fitzgerald for 8 yards (tackle by Damarious Randall),0.100,1.530
4,12:09,1,10,ARI 39,8,38,Kerwynn Williams middle for 1 yard (tackle by Letroy Guion),1.530,1.120
4,11:27,2,9,ARI 40,8,38,Andre Ellington left tackle for 3 yards (tackle by Quinten Rollins),1.120,0.830
4,10:42,3,6,ARI 43,8,38,"Carson Palmer pass complete short middle to Jaron Brown for 22 yards (tackle by Quinten Rollins). Penalty on Ted Larsen: Illegal Use of Hands, 10 yards (no play)",0.830,-0.490
4,10:10,3,16,ARI 33,8,38,Carson Palmer pass incomplete deep left intended for Michael Floyd,-0.490,-1.180
4,10:04,4,16,ARI 33,8,38,"Drew Butler punts 54 yards, returned by Micah Hyde for no gain",-1.180,0.320
4,9:56,1,10,GNB 13,8,38,John Crockett left end for -8 yards (tackle by Markus Golden and Kevin Minter),-0.320,-1.360
4,9:11,2,18,GNB 5,8,38,Scott Tolzien pass complete short left to Andrew Quarless for 4 yards (tackle by Jerraud Powers),-1.360,-1.890
4,8:34,3,14,GNB 9,8,38,Scott Tolzien sacked by Dwight Freeney for -8 yards. Penalty on Don Barclay: Face Mask (15 Yards) (Declined),-1.890,-2.490
,,,,,,,"ARI challenged the runner was down by contact ruling, and the play was upheld.",,
4,8:28,4,22,GNB 1,8,38,"Tim Masthay punts 49 yards, fair catch by JJ Nelson",-2.490,-2.260
4,8:21,1,10,,8,38,Kerwynn Williams middle for no gain (tackle by Damarious Randall),2.260,1.710
4,7:37,2,10,,8,38,Drew Stanton pass complete short right to Kerwynn Williams for 4 yards (tackle by Morgan Burnett),1.710,1.550
4,6:51,3,6,GNB 46,8,38,Kerwynn Williams right end for 18 yards (tackle by Morgan Burnett),1.550,3.710
4,6:03,1,10,GNB 28,8,38,Kerwynn Williams middle for 1 yard (tackle by Casey Hayward and Nick Perry),3.710,3.300
4,5:20,2,9,GNB 27,8,38,"Kerwynn Williams middle for 5 yards (tackle by Mike Pennel). Kerwynn Williams fumbles (forced by Mike Pennel), recovered by Morgan Burnett at GNB-20 and returned for 21 yards (tackle by Drew Stanton)",3.300,-1.660
4,5:10,1,10,GNB 41,8,38,John Crockett right tackle for 5 yards (tackle by Cory Redding),1.660,1.800
4,4:34,2,5,GNB 46,8,38,John Crockett middle for 2 yards (tackle by Rodney Gunter),1.800,1.360
4,3:55,3,3,GNB 48,8,38,"Scott Tolzien for no gain. Scott Tolzien fumbles, recovered by John Crockett at GNB-44 and returned for 2 yards",1.360,-0.320
4,3:26,4,5,GNB 46,8,38,"Tim Masthay punts 39 yards, fair catch by JJ Nelson",-0.320,0.220
4,3:18,1,10,ARI 15,8,38,Kerwynn Williams middle for no gain (tackle by Mike Pennel),-0.220,-0.710
4,2:35,2,10,ARI 15,8,38,Kerwynn Williams right end for no gain (tackle by Nick Perry),-0.710,-1.370
4,2:00,3,10,ARI 15,8,38,Kerwynn Williams middle for 19 yards (tackle by Joe Thomas),-1.370,1.200
4,1:12,1,10,ARI 34,8,38,Drew Stanton kneels for -1 yards,1.200,0.520
4,0:33,2,11,ARI 33,8,38,Drew Stanton kneels for -1 yards,0.520,-0.300
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
