Quarter,Time,Down,ToGo,Location,CLE,STL,Detail,EPB,EPA
2,7:53,1,10,STL 41,3,10,Nick Foles pass complete short left to Cory Harkey for 4 yards (tackle by Christian Kirksey),1.660,1.660
2,7:12,2,6,STL 45,3,10,Todd Gurley right guard for 6 yards (tackle by Christian Kirksey),1.660,2.320
2,6:34,1,10,CLE 49,3,10,Todd Gurley left tackle for 3 yards (tackle by Jordan Poyer and Jamie Meder),2.320,2.190
2,5:58,2,7,CLE 46,3,10,Todd Gurley left tackle for 15 yards (tackle by Tramon Williams and Jordan Poyer),2.190,3.510
2,5:14,1,10,CLE 31,3,10,Benny Cunningham right end for -1 yards (tackle by Armonty Bryant),3.510,2.830
2,4:32,2,11,CLE 32,3,10,"Nick Foles pass complete short middle to Jared Cook for 17 yards (tackle by Donte Whitner). Jared Cook fumbles (forced by Donte Whitner), recovered by Jordan Poyer at CLE-12 and returned for 4 yards (tackle by Tim Barnes)",2.830,0.140
2,4:22,1,10,CLE 16,3,10,"Josh McCown pass incomplete short right intended for Brian Hartline. Penalty on Eugene Sims: Defensive Offside, 5 yards (no play)",-0.140,0.740
2,4:18,1,5,CLE 21,3,10,Josh McCown pass complete short left to Duke Johnson for 11 yards (tackle by Mark Barron),0.740,1.070
2,3:33,1,10,CLE 32,3,10,Duke Johnson right guard for 2 yards (tackle by James Laurinaitis),1.070,0.800
2,2:58,2,8,CLE 34,3,10,Josh McCown pass incomplete short left intended for Andrew Hawkins,0.800,0.100
2,2:54,3,8,CLE 34,3,10,Josh McCown pass complete short right to Travis Benjamin for 21 yards (tackle by Rodney McLeod),0.100,2.590
2,2:20,1,10,STL 45,3,10,Isaiah Crowell right guard for -5 yards (tackle by Aaron Donald),2.590,1.370
2,2:00,2,15,,3,10,Josh McCown for 2 yards (tackle by Akeem Ayers),1.370,0.960
2,1:53,3,13,STL 48,3,10,"Penalty on Joel Bitonio: False Start, 5 yards (no play)",0.960,0.300
2,1:53,3,18,CLE 47,3,10,Duke Johnson left tackle for 10 yards (tackle by Aaron Donald),0.300,0.300
2,1:05,3,18,CLE 47,3,10,Timeout #1 by Cleveland Browns,0.300,0.400
2,1:05,4,8,STL 43,3,10,"Andy Lee punts 31 yards, fair catch by Tavon Austin",0.400,0.350
2,0:58,1,10,STL 12,3,10,Todd Gurley left tackle for 12 yards (tackle by Donte Whitner and Jordan Poyer),-0.350,-0.350
2,0:47,1,10,STL 12,3,10,Timeout #1 by Los Angeles Rams,-0.350,0.540
2,0:47,1,10,STL 24,3,10,Nick Foles pass complete short left to Todd Gurley for 24 yards (tackle by Karlos Dansby),0.540,2.130
2,0:24,1,10,STL 48,3,10,Nick Foles pass complete short middle to Todd Gurley for 7 yards (tackle by Karlos Dansby),2.130,2.130
2,0:16,1,10,STL 48,3,10,Timeout #2 by Los Angeles Rams,2.130,2.530
2,0:16,2,3,CLE 45,3,10,Nick Foles pass incomplete short right intended for Tavon Austin,2.530,1.820
2,0:12,3,3,CLE 45,3,10,Nick Foles pass incomplete short middle intended for Tavon Austin,1.820,0.270
2,0:09,4,3,CLE 45,3,10,Greg Zuerlein 63 yard field goal no good,0.270,-2.390
2,0:04,1,10,STL 48,3,10,Josh McCown pass incomplete short middle intended for Travis Benjamin,2.390,1.850
Quarter,Time,Down,ToGo,Location,CLE,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 35,3,10,"Greg Zuerlein kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,CLE 20,3,10,Josh McCown pass complete short right to Gary Barnidge for 27 yards (tackle by Trumaine Johnson),0.280,2.060
3,14:29,1,10,CLE 47,3,10,Robert Turbin right tackle for 22 yards (tackle by Trumaine Johnson),2.060,3.510
3,13:49,1,10,STL 31,3,10,Robert Turbin middle for -1 yards (tackle by Mark Barron),3.510,2.830
3,13:13,2,11,STL 32,3,10,Robert Turbin right guard for 3 yards (tackle by William Hayes and James Laurinaitis),2.830,2.540
3,12:32,3,8,STL 29,3,10,Josh McCown pass complete short right to Travis Benjamin for 3 yards (tackle by Lamarcus Joyner and T.J. McDonald),2.540,1.790
3,11:53,4,5,STL 26,6,10,Travis Coons 44 yard field goal good,1.790,3.000
3,11:53,,,CLE 35,6,10,"Travis Coons kicks off 65 yards, touchback",0.000,-0.280
3,11:45,1,10,STL 20,6,10,Nick Foles pass complete short left to Tavon Austin for 10 yards (tackle by Jordan Poyer),0.280,0.940
3,11:28,1,10,STL 30,6,10,Todd Gurley left tackle for 48 yards (tackle by Donte Whitner),0.940,4.110
3,10:53,1,10,CLE 22,6,10,Benny Cunningham right guard for 4 yards (tackle by Jamie Meder),4.110,4.130
3,10:20,2,6,CLE 18,6,10,Nick Foles pass complete short right to Benny Cunningham for 10 yards (tackle by Jordan Poyer),4.130,5.370
3,10:01,1,8,CLE 8,6,10,Benny Cunningham right guard for no gain (tackle by Donte Whitner),5.370,4.570
3,9:20,2,8,CLE 8,6,10,Nick Foles sacked by Randy Starks for -9 yards,4.570,2.740
3,8:42,3,17,CLE 17,6,10,Nick Foles pass incomplete short right intended for Jared Cook,2.740,2.310
3,8:36,4,17,CLE 17,6,10,Greg Zuerlein 35 yard field goal no good,2.310,-0.610
3,8:32,1,10,CLE 25,6,10,"Penalty on Jim Dray: False Start, 5 yards (no play)",0.610,0.280
3,8:32,1,15,CLE 20,6,10,"Robert Turbin right tackle for 10 yards (tackle by Trumaine Johnson). Penalty on Gary Barnidge: Offensive Holding, 10 yards (no play)",0.280,-0.950
3,8:01,1,25,CLE 10,6,10,Robert Turbin right tackle for 4 yards (tackle by Nick Fairley),-0.950,-1.540
3,7:21,2,21,CLE 14,6,10,Josh McCown pass complete deep middle to Gary Barnidge for 28 yards (tackle by Trumaine Johnson),-1.540,1.730
3,6:40,1,10,CLE 42,6,10,"Robert Turbin middle for -2 yards (tackle by Ethan Westbrooks). Penalty on Cameron Erving: Offensive Holding, 10 yards (no play)",1.730,1.070
3,6:13,1,20,CLE 32,6,10,Josh McCown pass incomplete deep middle intended for Travis Benjamin (defended by Janoris Jenkins),1.070,-0.160
3,6:06,2,20,CLE 32,6,10,Josh McCown pass complete short right to Gary Barnidge for 11 yards (tackle by Trumaine Johnson),-0.160,0.630
3,5:34,3,9,CLE 43,6,10,"Josh McCown pass complete deep right to Travis Benjamin for 36 yards (tackle by Trumaine Johnson). Penalty on Joe Thomas: Offensive Holding, 10 yards (no play)",0.630,-0.690
3,5:03,3,19,CLE 33,6,10,Josh McCown pass complete short middle to Duke Johnson for 14 yards (tackle by Mark Barron and T.J. McDonald),-0.690,-0.260
3,4:23,4,5,CLE 47,6,10,"Andy Lee punts 41 yards, fair catch by Tavon Austin",-0.260,0.350
3,4:09,1,10,STL 12,6,10,Nick Foles pass complete short left to Tavon Austin for 20 yards (tackle by Donte Whitner),-0.350,1.070
3,3:41,1,10,STL 32,6,10,Todd Gurley left tackle for no gain (tackle by Karlos Dansby),1.070,0.530
3,3:15,2,10,STL 32,6,10,"Nick Foles pass incomplete deep right intended for Kenny Britt. Penalty on Pierre Desir: Defensive Pass Interference, 26 yards (no play)",0.530,2.790
3,3:08,1,10,CLE 42,6,10,Nick Foles pass complete deep right to Kenny Britt for 41 yards (tackle by Jordan Poyer),2.790,6.970
3,2:20,1,1,CLE 1,6,16,"Todd Gurley left end for 1 yard, touchdown",6.970,7.000
3,2:20,,,CLE 1,6,17,Greg Zuerlein kicks extra point good,0.000,0.000
3,2:20,,,STL 35,6,17,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
3,2:14,1,10,CLE 20,6,17,Josh McCown pass complete short middle to Andrew Hawkins for 19 yards (tackle by Rodney McLeod),0.280,1.530
3,1:37,1,10,CLE 39,6,17,Josh McCown pass complete short right to Jim Dray for 5 yards (tackle by Mark Barron),1.530,1.660
3,0:48,2,5,CLE 44,6,17,Josh McCown sacked by Ethan Westbrooks for -8 yards,1.660,-0.100
3,0:09,3,13,CLE 36,6,17,Josh McCown pass complete short left to Duke Johnson for 11 yards (tackle by James Laurinaitis and Mark Barron),-0.100,-0.260
Quarter,Time,Down,ToGo,Location,CLE,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,2,CLE 47,6,17,"Andy Lee punts 53 yards, touchback",-0.260,-0.280
4,14:49,1,10,STL 20,6,17,Todd Gurley left tackle for 5 yards (tackle by Nate Orchard and Jordan Poyer),0.280,0.410
4,14:22,2,5,STL 25,6,17,Todd Gurley left tackle for 2 yards (tackle by John Hughes and Jordan Poyer),0.410,-0.030
4,14:03,3,3,STL 27,6,17,Nick Foles pass complete short right to Todd Gurley for -2 yards (tackle by Karlos Dansby),-0.030,-1.700
4,13:26,4,5,STL 25,6,17,"Johnny Hekker punts 54 yards, returned by Travis Benjamin for no gain",-1.700,-0.340
4,13:17,1,10,CLE 21,6,17,Isaiah Crowell middle for 2 yards (tackle by Nick Fairley),0.340,0.070
4,12:33,2,8,CLE 23,6,17,"Josh McCown pass incomplete short middle intended for Isaiah Crowell. Penalty on Nick Fairley: Roughing the Passer, 15 yards, Penalty on Aaron Donald: Defensive Offside (Declined) (no play)",0.070,1.470
4,12:28,1,10,CLE 38,6,17,"Josh McCown pass complete deep right to Travis Benjamin for 13 yards (tackle by T.J. McDonald). Travis Benjamin fumbles (forced by T.J. McDonald), recovered by Nick Fairley at STL-49 (tackle by Andrew Hawkins)",1.470,-1.860
4,12:17,1,10,STL 44,6,17,Tavon Austin for 21 yards (tackle by Donte Whitner),1.860,3.250
4,11:46,1,10,CLE 35,6,17,Todd Gurley middle for 3 yards (tackle by Xavier Cooper and Christian Kirksey),3.250,3.110
4,11:05,2,7,CLE 32,6,17,Nick Foles pass complete short left to Tavon Austin for 6 yards (tackle by Armonty Bryant),3.110,3.200
4,10:24,3,1,CLE 26,6,17,Todd Gurley right tackle for 3 yards (tackle by Christian Kirksey and Xavier Cooper),3.200,4.040
4,9:42,1,10,CLE 23,6,17,Nick Foles sacked by Desmond Bryant for -4 yards,4.040,2.960
4,9:06,2,14,CLE 27,6,17,Nick Foles pass complete short left to Todd Gurley for 6 yards (tackle by Christian Kirksey),2.960,3.070
4,8:26,3,8,CLE 21,6,17,"Nick Foles pass incomplete short right intended for Tavon Austin. Penalty on K'Waun Williams: Defensive Holding, 5 yards (no play)",3.070,4.510
4,8:18,1,10,CLE 16,6,23,"Todd Gurley right end for 16 yards, touchdown",4.510,7.000
4,8:18,,,CLE 16,6,24,Greg Zuerlein kicks extra point good,0.000,0.000
4,8:18,,,STL 35,6,24,"Greg Zuerlein kicks off 73 yards, returned by Justin Gilbert for 21 yards (tackle by Bradley Marquez)",0.000,0.320
4,8:07,1,10,CLE 13,6,24,Josh McCown pass complete short middle to Taylor Gabriel for 6 yards (tackle by Mark Barron),-0.320,0.030
4,7:37,2,4,CLE 19,6,24,Josh McCown pass complete short left to Duke Johnson for 5 yards (tackle by Janoris Jenkins),0.030,0.540
4,7:13,1,10,CLE 24,6,24,Josh McCown pass complete short middle to Gary Barnidge for 10 yards (tackle by Mark Barron),0.540,1.200
4,6:44,1,10,CLE 34,6,24,Josh McCown pass complete short right to Duke Johnson for 13 yards (tackle by Mark Barron),1.200,2.060
4,6:13,1,10,CLE 47,6,24,"Josh McCown pass incomplete deep right intended for Brian Hartline. Penalty on Janoris Jenkins: Defensive Holding, 5 yards (no play)",2.060,2.390
4,6:08,1,10,STL 48,6,24,Duke Johnson middle for 6 yards (tackle by Mark Barron),2.390,2.660
4,5:38,2,4,STL 42,6,24,Josh McCown pass incomplete short middle intended for Gary Barnidge (defended by Lamarcus Joyner),2.660,1.950
4,5:35,3,4,STL 42,6,24,"Josh McCown pass incomplete deep right intended for Taylor Gabriel (defended by Trumaine Johnson). Penalty on Lamarcus Joyner: Defensive Offside, 5 yards (no play)",1.950,3.120
4,5:29,1,10,STL 37,6,24,Josh McCown pass incomplete short right intended for Travis Benjamin,3.120,2.570
4,5:24,2,10,STL 37,6,24,"Josh McCown sacked by William Hayes for -7 yards. Josh McCown fumbles (forced by William Hayes), recovered by Eugene Sims at STL-33 (tackle by Gary Barnidge)",2.570,-1.140
4,5:17,1,10,STL 33,6,24,Todd Gurley right end for 3 yards (tackle by Jamie Meder),1.140,1.000
4,4:32,2,7,STL 36,6,24,Todd Gurley middle for 2 yards (tackle by Karlos Dansby and Jamie Meder),1.000,0.560
4,3:48,3,5,STL 38,6,24,"Nick Foles pass complete short left to Stedman Bailey for 8 yards (tackle by Pierre Desir). Penalty on Stedman Bailey: Face Mask (15 Yards), 15 yards",0.560,-0.360
4,3:36,3,12,STL 31,6,24,Benny Cunningham middle for 8 yards (tackle by Tank Carder). Penalty on Greg Robinson: Offensive Holding (Declined),-0.360,-0.780
4,3:34,4,4,STL 39,6,24,"Johnny Hekker punts 31 yards, out of bounds. Penalty on Bradley Marquez: Unsportsmanlike Conduct, 15 yards",-0.780,-1.930
4,3:26,1,10,CLE 45,6,24,Johnny Manziel pass complete short middle to Robert Turbin for 7 yards (tackle by James Laurinaitis),1.930,2.330
4,2:42,2,3,STL 48,6,24,Johnny Manziel pass complete short left to Taylor Gabriel for 6 yards (tackle by Lamarcus Joyner and Mark Barron),2.330,2.790
4,2:36,1,10,STL 42,6,24,Johnny Manziel pass complete short left to Robert Turbin for 1 yard (tackle by Mark Barron),2.790,2.380
4,2:06,2,9,STL 41,6,24,"Johnny Manziel right tackle for 6 yards (tackle by Eugene Sims). Penalty on Joel Bitonio: Offensive Holding, 10 yards (no play)",2.380,1.030
4,2:00,2,19,CLE 49,6,24,Johnny Manziel pass incomplete,1.030,0.370
4,1:50,3,19,CLE 49,6,24,Johnny Manziel pass complete short right to Brian Hartline for 13 yards (tackle by Lamarcus Joyner),0.370,0.720
4,1:15,4,6,STL 38,6,24,Johnny Manziel middle for 5 yards (tackle by Lamarcus Joyner),0.720,-1.140
4,1:10,1,10,STL 33,6,24,Nick Foles kneels for -1 yards,1.140,0.460
4,0:32,2,11,STL 32,6,24,Nick Foles kneels for -1 yards,0.460,-0.360
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
