Quarter,Time,Down,ToGo,Location,JAX,CAR,Detail,EPB,EPA
1,7:39,3,13,JAX 7,0,2,"Blaine Gabbert sacked by Greg Hardy for -7 yards, safety",-1.770,-2.000
1,,,,JAX 20,0,2,"Matt Turk kicks off 53 yards, returned by Armanti Edwards for 4 yards (tackle by Russell Allen)",0.000,1.000
1,7:30,1,10,CAR 31,0,2,DeAngelo Williams up the middle for 3 yards (tackle by Terrance Knighton and Austen Lane),1.000,0.870
1,6:46,2,7,CAR 34,0,2,Cam Newton pass incomplete deep right intended for Steve Smith,0.870,0.170
1,6:39,3,7,CAR 34,0,2,Cam Newton pass complete short middle to Greg Olsen for 13 yards (tackle by Rashean Mathis),0.170,2.060
1,5:59,1,10,CAR 47,0,2,Jonathan Stewart left tackle for 2 yards (tackle by Clint Session),2.060,1.790
1,5:20,2,8,CAR 49,0,2,Cam Newton right end for 4 yards (tackle by Drew Coleman),1.790,1.620
1,4:34,3,4,JAX 47,0,2,Cam Newton pass incomplete short right intended for Steve Smith (defended by Rashean Mathis),1.620,0.130
1,4:29,4,4,JAX 47,0,2,"Jason Baker punts 42 yards, fair catch by Cecil Shorts",0.130,0.380
1,4:20,1,10,JAX 6,0,2,Maurice Jones-Drew left tackle for 1 yard (tackle by Sherrod Martin and Dan Connor),-0.380,-0.710
1,3:41,2,9,JAX 7,0,2,Blaine Gabbert pass complete short left to Jason Hill for 5 yards (tackle by Captain Munnerlyn),-0.710,-0.720
1,2:57,3,4,JAX 12,0,2,Blaine Gabbert sacked by Charles Johnson for -3 yards,-0.720,-2.490
1,2:31,4,7,JAX 9,0,2,"Matt Turk punts 39 yards, returned by Armanti Edwards for -1 yards (tackle by Courtney Greene)",-2.490,-2.320
1,2:23,1,10,JAX 49,0,2,Cam Newton pass complete short right to DeAngelo Williams for 11 yards (tackle by Leger Douzable),2.320,3.050
1,1:45,1,10,JAX 38,0,2,Cam Newton pass incomplete deep right intended for Steve Smith,3.050,2.510
1,1:38,2,10,JAX 38,0,2,Jonathan Stewart right guard for 13 yards (tackle by Paul Posluszny and Dawan Landry),2.510,3.910
1,0:57,1,10,JAX 25,0,2,Jonathan Stewart up the middle for 1 yard (tackle by D'Anthony Smith),3.910,3.500
1,0:15,2,9,JAX 24,0,2,Cam Newton pass complete short left to DeAngelo Williams for 6 yards (tackle by Derek Cox and D'Anthony Smith),3.500,3.660
Quarter,Time,Down,ToGo,Location,JAX,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,JAX 18,0,2,Cam Newton right end for 1 yard (tackle by Dwight Lowery),3.660,2.440
2,14:17,4,2,JAX 17,0,5,Olindo Mare 35 yard field goal good,2.440,3.000
2,,,,CAR 35,0,5,"Olindo Mare kicks off 65 yards, touchback",0.000,0.280
2,14:12,1,10,JAX 20,0,5,Maurice Jones-Drew right guard for 3 yards (tackle by Thomas Williams),0.280,0.140
2,13:38,2,7,JAX 23,0,5,Blaine Gabbert pass complete short left to Marcedes Lewis for 6 yards (tackle by James Anderson and Captain Munnerlyn),0.140,0.230
2,13:01,3,1,JAX 29,0,5,Maurice Jones-Drew left end for -3 yards (tackle by Charles Johnson),0.230,-1.630
2,12:27,4,4,JAX 26,0,5,"Penalty on Thomas Williams: Neutral Zone Infraction, 5 yards (no play)",-1.630,1.000
2,12:16,1,10,JAX 31,0,5,Blaine Gabbert pass incomplete deep right intended for Mike Thomas,1.000,0.460
2,12:11,2,10,JAX 31,0,5,Maurice Jones-Drew up the middle for 2 yards (tackle by Ronald Fields),0.460,0.040
2,11:31,3,8,JAX 33,0,5,Blaine Gabbert pass complete short middle to Mike Thomas for 9 yards (tackle by Darius Butler),0.040,1.730
2,10:51,1,10,JAX 42,0,5,Blaine Gabbert pass incomplete deep left intended for Jason Hill,1.730,1.190
2,10:44,2,10,JAX 42,0,5,Blaine Gabbert pass complete short middle to Maurice Jones-Drew for 24 yards (tackle by Captain Munnerlyn and Sherrod Martin),1.190,3.310
2,10:07,1,10,CAR 34,0,5,Blaine Gabbert pass complete short right to Mike Thomas for -1 yards (tackle by Jordan Pugh),3.310,2.640
2,9:27,2,11,CAR 35,0,5,Deji Karim right guard for no gain (tackle by Charles Johnson),2.640,1.950
2,9:27,3,11,CAR 35,0,5,"Penalty on Cecil Shorts: False Start, 5 yards (no play)",1.950,1.290
2,8:27,3,16,CAR 40,0,5,Blaine Gabbert pass complete short right to Deji Karim for 5 yards (tackle by Thomas Williams),1.290,0.970
2,7:45,4,11,CAR 35,3,5,Josh Scobee 53 yard field goal good,0.970,3.000
2,,,,JAX 35,3,5,"Josh Scobee kicks off 65 yards, touchback",0.000,0.280
2,7:41,1,10,CAR 20,3,5,Cam Newton pass incomplete short left intended for Jeremy Shockey,0.280,-0.270
2,7:36,2,10,CAR 20,3,5,Cam Newton pass complete short middle to Jeremy Shockey for 8 yards (tackle by D'Anthony Smith and Clint Session),-0.270,0.100
2,6:58,3,2,CAR 28,3,5,"Cam Newton pass complete short middle to Legedu Naanee for 13 yards (tackle by Dwight Lowery). Penalty on Dwight Lowery: Face Mask (15 Yards), 15 yards",0.100,2.650
2,6:31,1,10,JAX 44,3,5,Jonathan Stewart right guard for 13 yards (tackle by Dwight Lowery),2.650,3.510
2,6:05,1,10,JAX 31,3,5,"Jonathan Stewart up the middle for 1 yard (tackle by Dwight Lowery). Penalty on Steve Smith: Illegal Block Above the Waist, 10 yards",3.510,2.920
2,5:36,1,19,JAX 40,3,5,Cam Newton pass complete short left to Greg Olsen for 1 yard (tackle by Rashean Mathis),2.920,1.890
2,4:54,2,18,JAX 39,3,5,Cam Newton pass complete short left to Jonathan Stewart for 3 yards (tackle by Rashean Mathis),1.890,1.620
2,4:09,3,15,JAX 36,3,5,Cam Newton pass incomplete short middle intended for Steve Smith,1.620,0.880
2,4:09,4,15,JAX 36,3,5,"Penalty on Jason Baker: Delay of Game, 5 yards (no play)",0.880,0.530
2,4:04,4,20,JAX 41,3,5,"Jason Baker punts 41 yards, touchback. Penalty on Jason Williams: Offensive Holding, 10 yards",0.530,-0.940
2,3:57,1,10,JAX 30,3,5,Blaine Gabbert pass incomplete short right intended for Mike Thomas (defended by Chris Gamble),0.940,0.390
2,3:52,2,10,JAX 30,3,5,Blaine Gabbert pass incomplete short left intended for Jason Hill,0.390,-0.300
2,3:49,3,10,JAX 30,3,5,Blaine Gabbert pass incomplete deep left intended for Mike Thomas (defended by Darius Butler),-0.300,-1.370
2,3:49,4,10,JAX 30,3,5,"Penalty on Jeremy Cain: False Start, 5 yards (no play)",-1.370,-1.700
2,3:44,4,15,JAX 25,3,5,"Matt Turk punts 47 yards, returned by Armanti Edwards for 6 yards (tackle by Montell Owens). Penalty on Jordan Senn: Unnecessary Roughness (Offsetting), Penalty on Greg Jones: Unnecessary Roughness (Offsetting)",-1.700,-1.200
2,3:35,1,10,CAR 34,3,5,Cam Newton pass complete short right to Steve Smith for 2 yards (tackle by Rashean Mathis and Drew Coleman),1.200,0.930
2,3:00,2,8,CAR 36,3,5,Jonathan Stewart up the middle for 2 yards (tackle by Jeremy Mincey and Austen Lane),0.930,0.500
2,2:21,3,6,CAR 38,3,5,Cam Newton pass incomplete short middle intended for Mike Goodson,0.500,-0.850
2,2:16,4,6,CAR 38,3,5,"Penalty on Omar Gaither: False Start, 5 yards (no play)",-0.850,-1.180
2,2:16,4,11,CAR 33,3,5,"Jason Baker punts 33 yards, returned by Cecil Shorts for no gain",-1.180,-1.200
2,2:07,1,10,JAX 34,3,5,"Blaine Gabbert for no gain. Eric Norwood fumbles (forced by Maurice Jones-Drew), recovered by Mike Thomas at JAX-23 and returned for 3 yards (tackle by Maurice Jones-Drew). Penalty on Charles Johnson: Defensive Offside, 5 yards (no play)",1.200,1.930
2,2:00,1,5,JAX 39,3,5,Maurice Jones-Drew right guard for 6 yards (tackle by Jason Williams),1.930,1.930
2,1:47,,,,3,5,Timeout #1 by Carolina Panthers,0.000,1.930
2,1:47,1,10,JAX 45,3,5,Blaine Gabbert pass incomplete deep right intended for Cecil Shorts is intercepted by Sherrod Martin at CAR-24 and returned for 15 yards (tackle by Jason Hill),1.930,-1.530
2,1:31,1,10,CAR 39,3,5,Cam Newton pass incomplete short middle intended for Jonathan Stewart,1.530,0.990
2,1:25,2,10,CAR 39,3,5,"Penalty on Ryan Kalil: False Start, 5 yards (no play)",0.990,0.310
2,1:25,2,15,CAR 34,3,5,Cam Newton pass complete short left to Jonathan Stewart for 5 yards (tackle by D'Anthony Smith and Austen Lane),0.310,0.300
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned.",,
2,1:12,,,,3,5,Timeout #2 by Carolina Panthers,0.000,0.300
2,1:12,3,10,CAR 39,3,5,Cam Newton pass complete short right to Greg Olsen for -4 yards (tackle by Paul Posluszny),0.300,-1.040
2,1:02,,,,3,5,Timeout #1 by Jacksonville Jaguars,0.000,-1.040
2,1:02,4,14,CAR 35,3,5,Jason Baker punts 42 yards,-1.040,-0.480
2,0:53,1,10,JAX 23,3,5,Maurice Jones-Drew right guard for 2 yards (tackle by James Anderson),0.480,0.200
2,0:17,2,8,JAX 25,3,5,Maurice Jones-Drew up the middle for 39 yards (tackle by Darius Butler and Captain Munnerlyn),0.200,3.180
2,0:06,,,,3,5,Timeout #2 by Jacksonville Jaguars,0.000,3.180
2,0:06,1,10,CAR 36,9,5,"Blaine Gabbert pass complete deep right to Mike Thomas for 36 yards, touchdown",3.180,7.000
2,,,,CAR 2,10,5,Josh Scobee kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,JAX,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,10,5,"Olindo Mare kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,JAX 20,10,5,Maurice Jones-Drew up the middle for 12 yards (tackle by Jordan Pugh),0.280,1.070
3,14:27,1,10,JAX 32,10,5,Maurice Jones-Drew up the middle for 2 yards (tackle by Jason Williams and Captain Munnerlyn),1.070,0.800
3,13:49,2,8,JAX 34,10,5,Maurice Jones-Drew up the middle for 4 yards (tackle by James Anderson),0.800,0.630
3,13:12,3,4,JAX 38,10,5,Deji Karim up the middle for 7 yards (tackle by Eric Norwood),0.630,1.930
3,12:40,1,10,JAX 45,10,5,Deji Karim right guard for 4 yards (tackle by Jason Williams),1.930,1.920
3,12:05,2,6,JAX 49,10,5,Maurice Jones-Drew up the middle for 5 yards (tackle by Dan Connor and James Anderson),1.920,1.880
3,11:30,3,1,CAR 46,10,5,Maurice Jones-Drew up the middle for 4 yards (tackle by Jason Williams),1.880,2.790
3,10:53,1,10,CAR 42,10,5,Maurice Jones-Drew up the middle for 2 yards (tackle by Jason Williams and Andre Neblett),2.790,2.510
3,10:19,2,8,CAR 40,10,5,"Blaine Gabbert for no gain. Blaine Gabbert fumbles, recovered by Uche Nwaneri at CAR-40",2.510,1.820
3,9:36,3,8,CAR 40,10,5,Deji Karim left guard for -6 yards (tackle by Terrell McClain and Eric Norwood),1.820,0.200
3,8:55,4,14,CAR 46,10,5,Matt Turk punts 27 yards,0.200,-0.150
3,8:49,1,10,CAR 19,10,5,DeAngelo Williams left guard for -2 yards (tackle by Tyson Alualu),0.150,-0.720
3,8:11,2,12,CAR 17,10,5,Cam Newton pass incomplete short middle intended for Jeremy Shockey,-0.720,-1.420
3,8:07,3,12,CAR 17,10,5,Cam Newton pass incomplete short middle intended for Greg Olsen (defended by Dawan Landry),-1.420,-2.320
3,8:01,4,12,CAR 17,10,5,"Jason Baker punts 35 yards, returned by Cecil Shorts for -2 yards (tackle by Captain Munnerlyn)",-2.320,-1.990
3,7:53,1,10,JAX 46,10,5,Maurice Jones-Drew up the middle for -1 yards (tackle by James Anderson and Jason Williams),1.990,1.320
3,7:14,2,11,JAX 45,10,5,Blaine Gabbert pass incomplete deep right intended for Jason Hill,1.320,0.630
3,7:08,3,11,JAX 45,10,5,Maurice Jones-Drew right guard for 4 yards (tackle by George Selvie),0.630,-0.130
3,6:35,4,7,JAX 49,10,5,"Matt Turk for no gain. Matt Turk fumbles, recovered by Matt Turk at JAX-38",-0.130,-3.050
3,6:31,1,10,JAX 38,10,5,DeAngelo Williams left guard for 4 yards (tackle by D'Anthony Smith),3.050,3.050
3,5:57,2,6,JAX 34,10,5,DeAngelo Williams left tackle for 3 yards (tackle by Jeremy Mincey),3.050,2.740
3,5:20,3,3,JAX 31,10,5,Cam Newton pass complete short right to Greg Olsen for 9 yards (tackle by Derek Cox),2.740,4.110
3,4:35,1,10,JAX 22,10,5,Jonathan Stewart up the middle for 5 yards (tackle by Jeremy Mincey),4.110,4.290
3,3:56,2,5,JAX 17,10,5,Cam Newton right tackle for 2 yards (tackle by Austen Lane),4.290,3.930
3,3:12,3,3,JAX 15,10,5,Cam Newton up the middle for 1 yard (tackle by Austen Lane and Tyson Alualu),3.930,2.630
3,2:25,4,2,JAX 14,10,8,Olindo Mare 32 yard field goal good,2.630,3.000
3,,,,CAR 35,10,8,"Olindo Mare kicks off 68 yards, returned by Deji Karim for 24 yards (tackle by Jason Williams)",0.000,0.340
3,2:18,1,10,JAX 21,10,8,"Blaine Gabbert for no gain. Blaine Gabbert fumbles, recovered by Blaine Gabbert at JAX-19",0.340,-0.530
3,1:50,2,12,JAX 19,10,8,Maurice Jones-Drew up the middle for 21 yards (tackle by Darius Butler),-0.530,1.600
3,1:09,1,10,JAX 40,10,8,Maurice Jones-Drew up the middle for 6 yards (tackle by Greg Hardy and Terrell McClain),1.600,1.860
3,0:33,2,4,JAX 46,10,8,Maurice Jones-Drew up the middle for 3 yards (tackle by Greg Hardy),1.860,1.550
Quarter,Time,Down,ToGo,Location,JAX,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,JAX 49,10,8,Maurice Jones-Drew up the middle for no gain (tackle by Sherrod Martin and Greg Hardy),1.550,-0.130
4,14:21,4,1,JAX 49,10,8,Blaine Gabbert up the middle for 2 yards (tackle by Dan Connor),-0.130,2.320
4,13:39,1,10,CAR 49,10,8,Deji Karim left guard for -1 yards (tackle by Dan Connor),2.320,1.650
4,13:39,2,11,,10,8,"Penalty on Eben Britton: False Start, 5 yards (no play)",1.650,0.970
4,12:40,2,16,JAX 45,10,8,"Blaine Gabbert pass complete short right to Maurice Jones-Drew for 15 yards (tackle by Jordan Pugh). Maurice Jones-Drew fumbles (forced by Jordan Pugh), ball out of bounds at CAR-40",0.970,2.280
4,12:05,3,1,CAR 40,10,8,"Blaine Gabbert for no gain. Blaine Gabbert fumbles, recovered by Marcedes Lewis at CAR-44",2.280,0.330
4,11:51,4,5,CAR 44,10,8,"Matt Turk punts 44 yards, touchback",0.330,-0.280
4,11:46,1,10,CAR 20,10,8,Cam Newton pass incomplete short left intended for Jeremy Shockey,0.280,-0.270
4,11:41,2,10,CAR 20,10,8,Cam Newton pass complete short right to Greg Olsen for 15 yards (tackle by Dawan Landry and Paul Posluszny),-0.270,1.270
4,11:05,1,10,CAR 35,10,8,Cam Newton pass complete short middle to Jeremy Shockey for 16 yards (tackle by Paul Posluszny),1.270,2.320
4,10:26,1,10,JAX 49,10,8,DeAngelo Williams left guard for -2 yards (tackle by D'Anthony Smith and Tyson Alualu),2.320,1.510
4,9:49,2,12,CAR 49,10,8,Cam Newton pass incomplete deep middle intended for Jeremy Shockey (defended by D'Anthony Smith),1.510,0.830
4,9:41,3,12,CAR 49,10,8,Cam Newton pass incomplete deep right intended for Greg Olsen,0.830,-0.130
4,9:33,4,12,CAR 49,10,8,"Jason Baker punts 51 yards, touchback",-0.130,-0.280
4,9:24,1,10,JAX 20,10,8,"Maurice Jones-Drew up the middle for 19 yards (tackle by Charles Johnson). Maurice Jones-Drew fumbles (forced by Charles Johnson), recovered by Maurice Jones-Drew at JAX-39. Penalty on Eugene Monroe: Offensive Holding, 10 yards (no play)",0.280,-0.760
4,8:54,1,20,JAX 10,10,8,Maurice Jones-Drew right guard for 1 yard (tackle by James Anderson and Dan Connor),-0.760,-1.440
4,8:15,2,19,JAX 11,10,8,Maurice Jones-Drew up the middle for 4 yards (tackle by Greg Hardy),-1.440,-1.860
4,7:33,3,15,JAX 15,10,8,Blaine Gabbert pass complete short left to Deji Karim for 14 yards (tackle by James Anderson),-1.860,-1.440
4,6:55,4,1,JAX 29,10,8,"Matt Turk punts 40 yards, returned by Armanti Edwards for 14 yards (tackle by Brock Bolen)",-1.440,-1.930
4,6:44,1,10,CAR 45,10,8,Cam Newton pass complete short right to Jonathan Stewart for 18 yards (tackle by D'Anthony Smith),1.930,3.120
4,6:04,1,10,JAX 37,10,8,Cam Newton pass complete short middle to Steve Smith for 13 yards (tackle by Derek Cox and Dwight Lowery),3.120,3.970
4,5:22,1,10,JAX 24,10,8,DeAngelo Williams right guard for 1 yard (tackle by Terrance Knighton),3.970,3.570
4,4:41,2,9,JAX 23,10,8,Cam Newton right end for 7 yards (tackle by D'Anthony Smith),3.570,3.950
4,4:27,3,2,JAX 16,10,14,"Cam Newton pass complete short middle to Greg Olsen for 16 yards, touchdown",3.950,7.000
4,,,,,10,16,"Two Point Attempt: Cam Newton pass complete to Greg Olsen, conversion succeeds",1.000,1.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,,,,CAR 35,10,16,"Olindo Mare kicks off 70 yards, returned by Deji Karim for 37 yards (tackle by Sherrod Martin)",0.000,1.070
4,4:14,1,10,JAX 32,10,16,Blaine Gabbert pass complete short right to Maurice Jones-Drew for 6 yards (tackle by Sherrod Martin),1.070,1.340
4,3:42,2,4,JAX 38,10,16,Maurice Jones-Drew left guard for 2 yards (tackle by James Anderson),1.340,0.890
4,3:11,3,2,JAX 40,10,16,"Blaine Gabbert pass incomplete short left intended for Mike Thomas. Penalty on Mike Thomas: Offensive Pass Interference, 10 yards (no play)",0.890,-0.430
4,3:04,3,12,JAX 30,10,16,Blaine Gabbert pass incomplete short right intended for Mike Thomas (defended by James Anderson),-0.430,-1.370
4,2:57,4,12,JAX 30,10,16,"Matt Turk punts 37 yards, returned by Armanti Edwards for 9 yards (tackle by Kyle Bosworth)",-1.370,-1.730
4,2:48,1,10,CAR 42,10,16,DeAngelo Williams up the middle for 4 yards (tackle by Terrance Knighton),1.730,1.730
4,2:43,,,,10,16,Timeout #1 by Jacksonville Jaguars,0.000,1.730
4,2:43,2,6,CAR 46,10,16,Jonathan Stewart left tackle for 20 yards (tackle by Dawan Landry),1.730,3.310
4,2:30,,,,10,16,Timeout #2 by Jacksonville Jaguars,0.000,3.310
4,2:30,1,10,JAX 34,10,16,DeAngelo Williams up the middle for no gain (tackle by Terrance Knighton),3.310,2.770
4,2:00,2,10,JAX 34,10,16,Jonathan Stewart right guard for -1 yards (tackle by Terrance Knighton),2.770,1.950
4,1:56,,,,10,16,Timeout #3 by Jacksonville Jaguars,0.000,1.950
4,1:56,3,11,JAX 35,10,16,Jonathan Stewart up the middle for 3 yards (tackle by Terrance Knighton),1.950,1.240
4,1:09,,,,10,16,Timeout #1 by Carolina Panthers,0.000,1.240
4,1:09,4,8,JAX 32,10,16,"Jason Baker punts 32 yards, touchback",1.240,-0.280
4,1:02,1,10,JAX 20,10,16,Blaine Gabbert pass complete short right to Mike Thomas for 11 yards,0.280,1.000
4,0:43,1,10,JAX 31,10,16,"Blaine Gabbert pass incomplete deep left intended for Mike Thomas. Penalty on Captain Munnerlyn: Defensive Pass Interference, 24 yards (no play)",1.000,2.590
4,0:38,1,10,CAR 45,10,16,Blaine Gabbert pass complete short middle to Marcedes Lewis for 9 yards (tackle by Thomas Williams),2.590,3.260
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,0:05,2,1,CAR 36,10,16,Blaine Gabbert pass incomplete deep middle intended for Jason Hill (defended by Thomas Williams),3.260,2.540
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
