Quarter,Time,Down,ToGo,Location,LAC,PIT,Detail,EPB,EPA
1,1:58,2,9,LAC 40,0,13,Philip Rivers pass complete short middle to Mike Williams for 14 yards (tackle by Coty Sensabaugh),1.120,2.520
1,1:12,1,10,PIT 46,6,13,"Philip Rivers pass complete deep right to Travis Benjamin for 46 yards, touchdown",2.520,7.000
1,1:04,,,PIT 15,7,13,Michael Badgley kicks extra point good,0.000,0.000
1,1:04,,,LAC 35,7,13,"Michael Badgley kicks off 65 yards, touchback.",0.000,0.610
1,1:04,1,10,PIT 25,7,13,Ben Roethlisberger pass incomplete short right intended for JuJu Smith-Schuster,0.610,0.060
1,1:01,2,10,PIT 25,7,13,Ben Roethlisberger pass complete short left to Antonio Brown for 8 yards (tackle by Jatavis Brown),0.060,0.430
1,0:22,3,2,PIT 33,7,13,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 4 yards (tackle by Desmond King),0.430,1.400
Quarter,Time,Down,ToGo,Location,LAC,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PIT 37,7,13,James Conner right tackle for 7 yards (tackle by Jahleel Addae),1.400,1.800
2,14:25,2,3,PIT 44,7,13,Jaylen Samuels up the middle for 4 yards (tackle by Damion Square and Darius Philon),1.800,2.130
2,13:50,1,10,PIT 48,7,13,Ben Roethlisberger pass incomplete short left intended for Justin Hunter,2.130,1.580
2,13:46,2,10,PIT 48,7,13,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 8 yards (tackle by Desmond King),1.580,1.950
2,12:58,3,2,LAC 44,7,13,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 8 yards (tackle by Desmond King),1.950,3.180
2,12:22,1,10,LAC 36,7,13,Ben Roethlisberger pass incomplete short middle intended for JuJu Smith-Schuster (defended by Desmond King),3.180,2.640
2,12:18,2,10,LAC 36,7,13,Ben Roethlisberger pass incomplete short middle intended for Jesse James (defended by Jatavis Brown),2.640,1.950
2,12:15,3,10,LAC 36,7,13,Ben Roethlisberger pass complete deep left to Antonio Brown for 14 yards (tackle by Adrian Phillips),1.950,4.110
2,11:33,1,10,LAC 22,7,13,Ben Roethlisberger pass incomplete short left intended for James Conner,4.110,3.560
2,11:30,2,10,LAC 22,7,13,Ben Roethlisberger pass complete short right to James Conner for no gain (tackle by Derwin James),3.560,2.870
2,10:48,3,10,LAC 22,7,13,"Ben Roethlisberger pass short right intended for Vance McDonald is intercepted by Derwin James at LAC-8 and returned for 23 yards. Penalty on Melvin Ingram: Illegal Block Above the Waist, 10 yards",2.870,-0.340
2,10:36,1,10,LAC 21,7,13,Austin Ekeler left tackle for no gain (tackle by Stephon Tuitt and Mike Hilton),0.340,-0.200
2,9:57,2,10,LAC 21,7,13,Philip Rivers pass complete short right to Austin Ekeler for no gain (tackle by Marcus Allen and Anthony Chickillo),-0.200,-0.890
2,9:09,3,10,LAC 21,7,13,Philip Rivers pass complete short middle to Tyrell Williams for 14 yards (tackle by Mike Hilton and Sean Davis),-0.890,1.270
2,8:28,1,10,LAC 35,7,13,Austin Ekeler right guard for -3 yards (tackle by Cameron Heyward and Olasunkanmi Adeniyi),1.270,0.320
2,7:41,2,13,LAC 32,7,13,Philip Rivers pass incomplete short left intended for Keenan Allen,0.320,-0.360
2,7:37,3,13,LAC 32,7,13,Philip Rivers pass incomplete deep right intended for Keenan Allen,-0.360,-1.240
2,7:30,4,13,LAC 32,7,13,"Donnie Jones punts 47 yards, fair catch by Ryan Switzer at PIT-21. Penalty on Roosevelt Nix: Offensive Holding, 10 yards",-1.240,0.370
2,7:24,1,10,PIT 11,7,13,James Conner left tackle for 2 yards (tackle by Adrian Phillips and Jatavis Brown),-0.370,-0.630
2,6:46,2,8,PIT 13,7,13,James Conner up the middle for 2 yards (tackle by Jatavis Brown),-0.630,-0.950
2,6:05,3,6,PIT 15,7,13,Ben Roethlisberger pass complete short middle to Vance McDonald for 5 yards (tackle by Adrian Phillips),-0.950,-2.030
2,5:24,4,1,PIT 20,7,13,Jordan Berry punts 63 yards downed by Brian Allen,-2.030,0.060
2,5:13,1,10,LAC 17,7,13,Philip Rivers pass complete short left to Austin Ekeler for 6 yards (tackle by Bud Dupree),-0.060,0.350
2,4:42,2,4,LAC 23,7,13,Austin Ekeler right guard for 1 yard (tackle by Javon Hargrave),0.350,-0.370
2,3:56,3,3,LAC 24,7,13,Philip Rivers pass incomplete short middle intended for Tyrell Williams (defended by Stephon Tuitt),-0.370,-1.770
2,3:50,4,3,LAC 24,7,13,"Donnie Jones punts 10 yards, muffed catch by Jaylen Samuels, recovered by Jaylen Samuels at LAC-34",-1.770,-3.310
2,3:39,1,10,LAC 34,7,13,Ben Roethlisberger pass incomplete deep left intended for Justin Hunter,3.310,2.770
2,3:33,2,10,LAC 34,7,13,James Conner left guard for 4 yards (tackle by Joey Bosa),2.770,2.610
2,2:49,3,6,LAC 30,7,13,Ben Roethlisberger pass incomplete short middle intended for Vance McDonald (defended by Derwin James),2.610,1.430
2,2:45,4,6,LAC 30,7,16,Chris Boswell 48 yard field goal good,1.430,3.000
2,2:40,,,PIT 35,7,16,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
2,2:40,1,10,LAC 25,7,16,Philip Rivers pass complete short middle to Keenan Allen for 6 yards (tackle by L.J. Fort),0.610,0.870
2,2:10,2,4,LAC 31,7,16,Philip Rivers pass complete short middle to Keenan Allen for 8 yards (tackle by Vince Williams),0.870,1.530
2,2:00,1,10,LAC 39,7,16,Philip Rivers pass incomplete short middle intended for Antonio Gates (defended by Sean Davis),1.530,0.990
2,1:56,2,10,LAC 39,7,16,Philip Rivers pass incomplete short middle intended for Austin Ekeler (defended by Cameron Heyward),0.990,0.300
2,1:51,3,10,LAC 39,7,16,Philip Rivers pass incomplete short middle intended for Austin Ekeler,0.300,-0.780
2,1:47,4,10,LAC 39,7,16,"Donnie Jones punts 52 yards, returned by Ryan Switzer for 9 yards (tackle by Nick Dzubnar and Jatavis Brown). Penalty on Brian Allen: Illegal Block Above the Waist, 9 yards",-0.780,0.380
2,1:35,1,10,PIT 9,7,16,James Conner left guard for 20 yards (tackle by Jahleel Addae and Jatavis Brown),-0.380,0.870
2,1:07,1,10,PIT 29,7,16,Ben Roethlisberger pass complete short right to Jaylen Samuels for 4 yards (tackle by Desmond King and Jatavis Brown),0.870,0.870
2,1:01,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,1:01,2,6,PIT 33,7,16,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 16 yards (tackle by Jatavis Brown),0.870,2.190
2,0:54,1,10,PIT 49,7,16,Ben Roethlisberger pass complete short middle to Ryan Switzer for 6 yards (tackle by Jatavis Brown),2.190,2.460
2,0:33,2,4,LAC 45,7,16,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown (defended by Derwin James),2.460,1.750
2,0:29,3,4,LAC 45,7,16,"Ben Roethlisberger pass incomplete deep left intended for JuJu Smith-Schuster. Penalty on Michael Davis: Defensive Pass Interference, 17 yards (no play)",1.750,3.710
2,0:24,1,10,LAC 28,7,22,"Ben Roethlisberger pass complete deep left to Antonio Brown for 28 yards, touchdown",3.710,7.000
2,0:17,,,LAC 15,7,23,Chris Boswell kicks extra point good,0.000,0.000
2,0:17,,,PIT 35,7,23,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
2,0:17,1,10,LAC 25,7,23,Austin Ekeler right guard for 1 yard (tackle by T.J. Watt and Stephon Tuitt),0.610,0.200
Quarter,Time,Down,ToGo,Location,LAC,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,7,23,"Michael Badgley kicks off 56 yards, returned by Ryan Switzer for no gain (tackle by Adrian Phillips and Nick Dzubnar)",0.000,0.610
3,14:56,1,10,PIT 25,7,23,James Conner right guard for 1 yard (tackle by Uchenna Nwosu and Isaac Rochell),0.610,0.200
3,14:24,2,9,PIT 26,7,23,Ben Roethlisberger pass complete short left to Vance McDonald for 10 yards (tackle by Jatavis Brown and Kyle Emanuel),0.200,1.330
3,13:44,1,10,PIT 36,7,23,James Conner left guard for 4 yards (tackle by Damion Square and Kyle Emanuel),1.330,1.330
3,13:03,2,6,PIT 40,7,23,Ben Roethlisberger pass complete short middle to Antonio Brown for 6 yards (tackle by Kyle Emanuel),1.330,1.990
3,12:19,1,10,PIT 46,7,23,James Conner up the middle for 6 yards (tackle by Uchenna Nwosu and Hayes Pullard),1.990,2.260
3,11:40,2,4,LAC 48,7,23,"James Conner right tackle for no gain (tackle by Jahleel Addae). Penalty on Ramon Foster: Offensive Holding, 10 yards (no play)",2.260,0.910
3,11:15,2,14,PIT 42,7,23,Ben Roethlisberger pass complete short left to Ryan Switzer for 3 yards (tackle by Derwin James and Adrian Phillips),0.910,0.630
3,10:31,3,11,PIT 45,7,23,Ben Roethlisberger pass complete short right to Vance McDonald for 8 yards (tackle by Desmond King),0.630,0.130
3,9:59,4,3,LAC 47,7,23,Jordan Berry punts 35 yards out of bounds,0.130,0.350
3,9:50,1,10,LAC 12,7,23,Philip Rivers pass complete short right to Keenan Allen for 5 yards (tackle by Joe Haden),-0.350,-0.230
3,9:06,2,5,LAC 17,7,23,Philip Rivers pass complete short right to Austin Ekeler for 3 yards (tackle by Joe Haden and L.J. Fort),-0.230,-0.480
3,8:18,3,2,LAC 20,7,23,Philip Rivers pass complete short left to Keenan Allen for 21 yards (tackle by Sean Davis),-0.480,1.660
3,7:41,1,10,LAC 41,7,23,Philip Rivers pass incomplete short right intended for Keenan Allen,1.660,1.120
3,7:36,2,10,LAC 41,7,23,Justin Jackson left guard for 9 yards (tackle by Terrell Edmunds),1.120,1.620
3,7:12,3,1,LAC 50,7,23,Justin Jackson up the middle for 3 yards (tackle by Sean Davis),1.620,2.460
3,6:29,1,10,PIT 47,7,23,Philip Rivers sacked by Javon Hargrave for -4 yards,2.460,1.370
3,5:41,2,14,LAC 49,7,23,Philip Rivers pass complete deep middle to Mike Williams for 20 yards (tackle by Terrell Edmunds),1.370,3.510
3,5:09,1,10,PIT 31,7,23,Austin Ekeler up the middle for 1 yard (tackle by L.J. Fort),3.510,3.100
3,4:29,2,9,PIT 30,7,23,Austin Ekeler up the middle for 5 yards (tackle by L.J. Fort),3.100,3.070
3,3:45,3,4,PIT 25,7,23,"Philip Rivers pass complete short middle to Antonio Gates for 18 yards (tackle by Sean Davis). Penalty on Russell Okung: Offensive Holding, 10 yards (no play)",3.070,1.750
3,3:13,3,14,PIT 35,7,23,Philip Rivers pass complete deep right to Mike Williams for 18 yards (tackle by Coty Sensabaugh and L.J. Fort),1.750,4.440
3,2:32,1,10,PIT 17,7,23,Austin Ekeler right tackle for 7 yards (tackle by L.J. Fort and Sean Davis),4.440,5.100
3,1:49,2,3,PIT 10,13,23,"Philip Rivers pass complete short middle to Keenan Allen for 10 yards, touchdown",5.100,7.000
3,1:43,,,PIT 2,15,23,"Two Point Attempt: Philip Rivers pass complete to Antonio Gates, conversion succeeds",0.000,1.000
3,1:43,,,LAC 35,15,23,"Michael Badgley kicks off 63 yards, returned by Ryan Switzer for no gain (tackle by Adrian Phillips). Penalty on L.J. Fort: Offensive Holding, 10 yards",0.000,-0.280
3,1:38,1,10,PIT 14,15,23,Ben Roethlisberger pass complete short middle to Antonio Brown for 8 yards (tackle by Jatavis Brown),-0.280,0.420
3,1:07,2,2,PIT 22,15,23,Ben Roethlisberger pass complete short middle to Antonio Brown for 8 yards (tackle by Desmond King),0.420,0.940
3,0:29,1,10,PIT 30,15,23,Jaylen Samuels up the middle for 1 yard (tackle by Darius Philon and Joey Bosa),0.940,0.530
Quarter,Time,Down,ToGo,Location,LAC,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,PIT 31,15,23,"Ben Roethlisberger pass complete short middle to James Conner for 8 yards (tackle by Melvin Ingram). Penalty on Alejandro Villanueva: Offensive Holding, 10 yards (no play)",0.530,-0.820
4,14:33,2,19,PIT 21,15,23,Ben Roethlisberger sacked by Joey Bosa for -10 yards,-0.820,-3.640
4,13:49,3,29,PIT 11,15,23,Ben Roethlisberger pass complete short right to Vance McDonald for 5 yards (tackle by Desmond King and Jatavis Brown),-3.640,-2.390
4,13:11,4,24,PIT 16,21,23,"Jordan Berry punts 57 yards, returned by Desmond King for 73 yards, touchdown",-2.390,-7.000
4,12:52,,,LAC 35,23,23,"Michael Badgley kicks off 65 yards, touchback.",0.000,0.610
4,12:52,1,10,PIT 25,23,23,James Conner left guard for 5 yards (tackle by Damion Square and Joey Bosa),0.610,0.740
4,12:18,2,5,PIT 30,23,23,Ben Roethlisberger pass incomplete short right intended for Jesse James (defended by Desmond King),0.740,0.040
4,12:14,3,5,PIT 30,23,23,Ben Roethlisberger pass incomplete short middle intended for Vance McDonald (defended by Adrian Phillips),0.040,-1.370
4,12:08,4,5,PIT 30,23,23,"Jordan Berry punts 49 yards, fair catch by Desmond King at LAC-21",-1.370,-0.340
4,12:00,1,10,LAC 21,23,23,Philip Rivers pass incomplete short right intended for Austin Ekeler (defended by Terrell Edmunds),0.340,-0.200
4,11:53,2,10,LAC 21,23,23,Philip Rivers pass complete short middle to Keenan Allen for 14 yards (tackle by Mike Hilton),-0.200,1.270
4,11:12,1,10,LAC 35,23,23,Justin Jackson left guard for 18 yards (tackle by Mike Hilton),1.270,2.460
4,10:26,1,10,PIT 47,23,23,Philip Rivers pass complete short right to Justin Jackson for 19 yards (tackle by Vince Williams),2.460,3.710
4,9:40,1,10,PIT 28,23,23,Austin Ekeler right tackle for 5 yards (tackle by Cameron Heyward and Vince Williams),3.710,3.840
4,8:55,2,5,PIT 23,23,23,Philip Rivers pass complete short left to Keenan Allen for 5 yards (tackle by Mike Hilton),3.840,4.370
4,8:14,1,10,PIT 18,29,23,"Justin Jackson left guard for 18 yards, touchdown",4.370,7.000
4,8:09,,,PIT 15,30,23,Michael Badgley kicks extra point good,0.000,0.000
4,8:09,,,LAC 35,30,23,"Michael Badgley kicks off 52 yards, returned by Ryan Switzer for no gain (tackle by Hayes Pullard)",0.000,0.410
4,8:04,1,10,PIT 22,30,23,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 4 yards (tackle by Desmond King),0.410,0.410
4,7:34,2,6,PIT 26,30,23,Ben Roethlisberger pass complete short middle to Jesse James for 7 yards (tackle by Jatavis Brown),0.410,1.140
4,6:58,1,10,PIT 33,30,23,Ben Roethlisberger pass complete short right to Antonio Brown for 15 yards (tackle by Casey Hayward),1.140,2.130
4,6:24,1,10,PIT 48,30,23,Ben Roethlisberger pass incomplete short left intended for JuJu Smith-Schuster (defended by Michael Davis),2.130,1.580
4,6:19,2,10,PIT 48,30,23,Ben Roethlisberger pass incomplete deep middle intended for Antonio Brown,1.580,0.890
4,6:15,3,10,PIT 48,30,23,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 9 yards (tackle by Michael Davis),0.890,0.400
4,5:58,4,1,LAC 43,30,23,James Conner up the middle for 2 yards (tackle by Desmond King),0.400,2.850
4,5:24,1,10,LAC 41,30,23,Ben Roethlisberger pass incomplete deep middle intended for Antonio Brown,2.850,2.310
4,5:19,2,10,LAC 41,30,23,"Ben Roethlisberger pass incomplete short middle intended for Ryan Switzer (defended by Jatavis Brown). Penalty on Jatavis Brown: Unnecessary Roughness, 15 yards (no play)",2.310,3.840
4,5:14,1,10,LAC 26,30,23,Ben Roethlisberger pass incomplete deep right intended for Darrius Heyward-Bey,3.840,3.300
4,5:08,2,10,LAC 26,30,23,Ben Roethlisberger pass complete short left to James Conner for 10 yards (tackle by Adrian Phillips),3.300,4.510
4,4:45,1,10,LAC 16,30,23,Ben Roethlisberger pass complete short left to Jaylen Samuels for 6 yards (tackle by Casey Hayward and Adrian Phillips),4.510,4.970
4,4:18,2,4,LAC 10,30,29,"Ben Roethlisberger pass complete short middle to Jaylen Samuels for 10 yards, touchdown",4.970,7.000
4,4:10,,,LAC 15,30,30,Chris Boswell kicks extra point good,0.000,0.000
4,4:10,,,PIT 35,30,30,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
4,4:10,1,10,LAC 25,30,30,Philip Rivers pass incomplete short middle intended for Keenan Allen,0.610,0.060
4,4:06,2,10,LAC 25,30,30,Philip Rivers pass complete short middle to Austin Ekeler for 10 yards (tackle by Mike Hilton and L.J. Fort),0.060,1.270
4,3:20,1,10,LAC 35,30,30,Austin Ekeler left guard for 2 yards (tackle by L.J. Fort and Bud Dupree),1.270,0.990
4,2:39,2,8,LAC 37,30,30,Philip Rivers pass complete short middle to Keenan Allen for 12 yards (tackle by Joe Haden and Sean Davis),0.990,2.190
4,2:00,1,10,LAC 49,30,30,Justin Jackson up the middle for 11 yards (tackle by Sean Davis and Javon Hargrave),2.190,2.920
4,1:22,1,10,PIT 40,30,30,Justin Jackson left guard for 3 yards (tackle by Terrell Edmunds),2.920,2.780
4,1:17,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,1:17,2,7,PIT 37,30,30,Philip Rivers pass complete short left to Austin Ekeler for 3 yards (tackle by Bud Dupree),2.780,2.480
4,1:12,3,4,PIT 34,30,30,Philip Rivers pass complete short right to Keenan Allen for 12 yards (tackle by Sean Davis),2.480,4.110
4,0:27,1,10,PIT 22,30,30,Justin Jackson right tackle for 1 yard (tackle by Sean Davis),4.110,3.700
4,0:21,,,,,,Timeout #3 by Pittsburgh Steelers,,
4,0:21,2,9,PIT 21,30,30,Justin Jackson up the middle for no gain (tackle by Cameron Heyward and Terrell Edmunds),3.700,3.010
4,0:03,,,,,,Timeout #1 by Los Angeles Chargers,,
4,0:03,3,9,PIT 21,30,30,"Michael Badgley yard field goal no good. Penalty on Bud Dupree: Defensive Offside, 5 yards (no play)",3.010,3.740
4,0:00,3,4,PIT 16,30,30,"Michael Badgley yard field goal no good blocked by Artie Burns, recovered by Joe Haden (tackle by Sean Culkin). Penalty on Artie Burns: Defensive Offside, 5 yards (no play)",3.740,4.840
4,0:00,1,10,PIT 11,33,30,Michael Badgley 29 yard field goal good. Penalty on Artie Burns: Defensive Offside (Declined),4.840,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
