Quarter,Time,Down,ToGo,Location,KAN,NYG,Detail,EPB,EPA
2,1:10,4,4,NYG 34,3,6,"Brad Wing punts 37 yards, returned by Tyreek Hill for 20 yards (tackle by Nat Berhe). Penalty on Frank Zombo: Offensive Holding (Declined), Penalty on Terrance Smith: Unnecessary Roughness, 15 yards",-1.110,-0.040
2,0:57,1,10,KAN 18,3,6,Charcandrick West middle for 3 yards (tackle by Landon Collins and Jason Pierre-Paul),0.040,0.010
2,0:15,2,7,KAN 21,3,6,Charcandrick West middle for 8 yards (tackle by Andrew Adams and Landon Collins),0.010,0.870
Quarter,Time,Down,ToGo,Location,KAN,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 35,3,6,"Harrison Butker kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,NYG 25,3,6,Orleans Darkwa right guard for 3 yards (tackle by Derrick Johnson),0.610,0.470
3,14:30,2,7,NYG 28,3,6,Orleans Darkwa left tackle for no gain (tackle by Frank Zombo and Chris Jones),0.470,-0.230
3,13:51,3,7,NYG 28,3,6,"Penalty on Justin Houston: Neutral Zone Infraction, 5 yards (no play)",-0.230,0.000
3,13:21,,,,,,Timeout #1 by New York Giants,0.000,-0.430
3,13:21,3,2,NYG 33,3,6,Kalif Raymond right end for -1 yards (tackle by Justin Houston),0.430,-1.240
3,12:52,4,3,NYG 32,3,6,"Brad Wing punts 43 yards, returned by Tyreek Hill for 5 yards (tackle by Jerell Adams)",-1.240,-0.940
3,12:38,1,10,KAN 30,3,6,Kareem Hunt right guard for 3 yards (tackle by Calvin Munson),0.940,0.800
3,12:02,2,7,KAN 33,3,6,Alex Smith pass complete short left to Tyreek Hill for 8 yards (tackle by Ross Cockrell and Jason Pierre-Paul),0.800,1.660
3,11:32,1,10,KAN 41,3,6,Kareem Hunt right end for no gain (tackle by Landon Collins and Ross Cockrell),1.660,1.120
3,10:52,2,10,KAN 41,3,6,Alex Smith pass complete short right to Tyreek Hill for 11 yards (tackle by Dalvin Tomlinson),1.120,2.390
3,10:10,1,10,NYG 48,3,6,Kareem Hunt right end for 2 yards (tackle by Jay Bromley and Damon Harrison),2.390,2.120
3,9:26,2,8,NYG 46,3,6,Kareem Hunt left guard for 9 yards (tackle by Devon Kennard),2.120,3.120
3,8:48,1,10,NYG 37,3,6,Kareem Hunt right tackle for 1 yard (tackle by Janoris Jenkins and Dalvin Tomlinson),3.120,2.710
3,8:08,2,9,NYG 36,3,6,Alex Smith pass complete short left to Tyreek Hill for -1 yards (tackle by Landon Collins),2.710,1.880
3,7:24,3,10,NYG 37,3,6,Alex Smith pass incomplete short right intended for Ross Travis,1.880,0.790
3,7:18,4,10,NYG 37,3,6,Dustin Colquitt punts 28 yards,0.790,0.380
3,7:07,1,10,NYG 9,3,6,Eli Manning pass complete deep middle to Tavarres King for 16 yards (tackle by Steven Nelson),-0.380,0.610
3,6:31,1,10,NYG 25,3,6,Orleans Darkwa right tackle for 4 yards (tackle by Reggie Ragland),0.610,0.600
3,6:11,2,6,NYG 29,3,6,Eli Manning pass incomplete deep left intended for Tavarres King,0.600,-0.100
3,6:05,3,6,NYG 29,3,6,Eli Manning pass complete short left to Kalif Raymond for 12 yards (tackle by Steven Nelson),-0.100,1.660
3,5:39,1,10,NYG 41,3,6,Orleans Darkwa right tackle for 14 yards (tackle by Ron Parker and Marcus Peters),1.660,2.590
3,4:53,1,10,KAN 45,3,6,Eli Manning pass complete short left to Jerell Adams for 6 yards (tackle by Reggie Ragland),2.590,2.850
3,4:11,2,4,KAN 39,3,6,Orleans Darkwa middle for 5 yards (tackle by Jarvis Jenkins),2.850,3.310
3,3:35,1,10,KAN 34,3,6,Wayne Gallman right tackle for 3 yards (tackle by Justin Houston and Bennie Logan),3.310,3.180
3,2:56,2,7,KAN 31,3,6,Eli Manning pass incomplete short left intended for Travis Rudolph,3.180,2.480
3,2:52,3,7,KAN 31,3,6,"Eli Manning pass complete deep left to Evan Engram for 28 yards (tackle by Eric Murray). Penalty on Evan Engram: Offensive Pass Interference, 10 yards (no play)",2.480,1.160
3,2:23,3,17,KAN 41,3,6,Eli Manning pass complete short middle to Shane Vereen for 8 yards (tackle by Daniel Sorensen),1.160,1.150
3,1:41,4,9,KAN 33,3,6,Eli Manning pass incomplete short left intended for Evan Engram (defended by Derrick Johnson),1.150,-1.140
3,1:35,1,10,KAN 33,3,6,Alex Smith for 6 yards (tackle by Dominique Rodgers-Cromartie),1.140,1.400
3,1:06,2,4,KAN 39,3,6,Alex Smith pass complete short left to Travis Kelce for 7 yards (tackle by Andrew Adams),1.400,1.990
3,0:32,1,10,KAN 46,3,6,Alex Smith pass complete deep left to Tyreek Hill for 38 yards (tackle by Janoris Jenkins),1.990,4.510
Quarter,Time,Down,ToGo,Location,KAN,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYG 16,3,6,Kareem Hunt middle for 2 yards (tackle by Landon Collins and Dalvin Tomlinson),4.510,4.210
4,14:20,2,8,NYG 14,3,6,Alex Smith pass complete short middle to Kareem Hunt for 1 yard (tackle by Damon Harrison),4.210,0.000
4,13:39,,,,,,Timeout #1 by New York Giants,0.000,-3.540
4,13:38,3,7,NYG 13,3,6,Alex Smith pass incomplete short left intended for Demetrius Harris,3.540,2.570
4,13:34,4,7,NYG 13,6,6,Harrison Butker 31 yard field goal good,2.570,3.000
4,13:30,,,KAN 35,6,6,"Harrison Butker kicks off 65 yards, touchback",0.000,-0.610
4,13:30,1,10,NYG 25,6,6,Eli Manning pass incomplete short right intended for Wayne Gallman (defended by Cam Thomas),0.610,0.060
4,13:25,2,10,NYG 25,6,6,Eli Manning pass incomplete short left intended for Wayne Gallman,0.060,-0.620
4,13:20,3,10,NYG 25,6,6,Eli Manning pass incomplete short middle intended for Tavarres King,-0.620,-1.700
4,13:15,4,10,NYG 25,6,6,"Brad Wing punts 43 yards, muffed catch by De'Anthony Thomas, recovered by Kenneth Acker and returned for no gain",-1.700,-1.000
4,13:06,1,10,KAN 31,6,6,Alex Smith pass complete short left to Travis Kelce for 6 yards (tackle by Landon Collins),1.000,1.270
4,12:32,2,4,KAN 37,6,6,Alex Smith pass incomplete short middle intended for Travis Kelce,1.270,0.560
4,12:26,3,4,KAN 37,6,6,Kareem Hunt middle for 1 yard (tackle by Landon Collins and Akeem Ayers),0.560,-0.850
4,11:53,4,3,KAN 38,6,6,Dustin Colquitt punts 58 yards,-0.850,0.380
4,11:40,1,10,NYG 4,6,6,Orleans Darkwa left guard for 5 yards (tackle by Reggie Ragland and Bennie Logan),-0.380,-0.420
4,11:04,2,5,NYG 9,6,6,Eli Manning pass complete short left to Orleans Darkwa for 8 yards (tackle by Marcus Peters),-0.420,-0.060
4,10:32,1,10,NYG 17,6,6,Orleans Darkwa left end for 9 yards (tackle by Kevin Pierre-Louis),-0.060,0.750
4,9:57,2,1,NYG 26,6,6,Wayne Gallman middle for 3 yards (tackle by Jarvis Jenkins and Kevin Pierre-Louis),0.750,0.870
4,9:16,1,10,NYG 29,6,6,Eli Manning pass complete deep right to Tavarres King for 19 yards (tackle by Marcus Peters),0.870,2.130
4,9:04,1,10,NYG 48,6,6,"Wayne Gallman right tackle for 2 yards (tackle by Ron Parker). Penalty on Evan Engram: Offensive Holding, 10 yards",2.130,1.600
4,8:35,1,18,NYG 40,6,6,Eli Manning pass incomplete,1.600,0.500
4,8:26,2,18,NYG 40,6,6,"Eli Manning pass incomplete short left intended for Wayne Gallman (defended by Chris Jones). Penalty on John Jerry: Unnecessary Roughness, 15 yards",0.500,-2.140
4,8:22,3,33,NYG 25,6,6,Shane Vereen left guard for 12 yards (tackle by Kenneth Acker and Frank Zombo),-2.140,-0.910
4,7:47,4,21,NYG 37,6,6,"Brad Wing punts 43 yards, returned by De'Anthony Thomas for 8 yards (tackle by Jonathan Casillas)",-0.910,-0.810
4,7:35,1,10,KAN 28,6,6,Kareem Hunt right tackle for 12 yards (tackle by Olivier Vernon and Landon Collins),0.810,1.600
4,6:56,1,10,KAN 40,6,6,Alex Smith pass incomplete deep right intended for Travis Kelce,1.600,1.050
4,6:47,2,10,KAN 40,6,6,"Travis Kelce pass incomplete deep middle intended for Demarcus Robinson is intercepted by Landon Collins at NYG-14. Penalty on Demarcus Robinson: Unnecessary Roughness, 15 yards",1.050,-0.870
4,6:36,1,10,NYG 29,6,6,Orleans Darkwa middle for 4 yards (tackle by Chris Jones and Rakeem Nunez-Roches),0.870,0.870
4,5:55,2,6,NYG 33,6,6,Eli Manning pass complete short middle to Orleans Darkwa for 8 yards (tackle by Derrick Johnson and Justin Houston),0.870,1.660
4,5:11,1,10,NYG 41,6,6,Orleans Darkwa left guard for -3 yards (tackle by Bennie Logan and Chris Jones),1.660,0.720
4,4:31,2,13,NYG 38,6,6,Eli Manning pass incomplete short middle intended for Travis Rudolph (defended by Steven Nelson),0.720,0.040
4,4:26,3,13,NYG 38,6,6,Eli Manning pass incomplete short right intended for Evan Engram (defended by Steven Nelson),0.040,-0.850
4,4:18,4,13,NYG 38,6,6,Brad Wing punts 57 yards,-0.850,0.380
4,4:08,1,10,KAN 5,6,6,Kareem Hunt left tackle for 3 yards (tackle by Ross Cockrell and Damon Harrison),-0.380,-0.560
4,3:38,2,7,KAN 8,6,6,Kareem Hunt right tackle for 10 yards (tackle by Darian Thompson and Landon Collins),-0.560,0.040
4,2:55,1,10,KAN 18,6,6,Kareem Hunt right guard for no gain (tackle by Jason Pierre-Paul),0.040,-0.490
4,2:18,2,10,KAN 18,6,6,Alex Smith pass incomplete deep middle intended for Demarcus Robinson is intercepted by Janoris Jenkins at KAN-40 and returned for 17 yards,-0.490,-4.040
4,2:07,1,10,KAN 23,6,6,Eli Manning pass complete short left to Roger Lewis for 11 yards (tackle by Phillip Gaines),4.040,4.780
4,2:00,1,10,KAN 12,6,6,Orleans Darkwa right tackle for 2 yards (tackle by Daniel Sorensen and Bennie Logan),4.780,0.000
4,1:53,,,,,,Timeout #1 by Kansas City Chiefs,0.000,-4.450
4,1:53,2,8,KAN 10,6,6,Orleans Darkwa right guard for 2 yards (tackle by Derrick Johnson),4.450,0.000
4,1:48,,,,,,Timeout #2 by Kansas City Chiefs,0.000,-3.930
4,1:48,3,6,KAN 8,6,6,Eli Manning pass incomplete short left intended for Roger Lewis,3.930,2.960
4,1:41,4,6,KAN 8,6,9,Aldrick Rosas 26 yard field goal good,2.960,3.000
4,1:38,,,NYG 35,6,9,"Aldrick Rosas kicks off 60 yards, returned by Akeem Hunt for 21 yards (tackle by Landon Collins)",0.000,-0.670
4,1:30,1,10,KAN 26,6,9,"Alex Smith pass incomplete short right intended for Demarcus Robinson is intercepted by Janoris Jenkins at KAN-36 and returned for 6 yards. Penalty on Janoris Jenkins: Defensive Pass Interference, 8 yards (no play)",0.670,1.200
4,1:21,1,10,KAN 34,6,9,Alex Smith pass complete deep middle to Travis Kelce for 32 yards (tackle by Olivier Vernon and Darian Thompson),1.200,3.310
4,0:56,1,10,NYG 34,6,9,Alex Smith pass complete short right to Charcandrick West for 3 yards (tackle by Landon Collins),3.310,3.180
4,0:51,2,7,NYG 31,6,9,Alex Smith pass complete short left to De'Anthony Thomas for 2 yards (tackle by Janoris Jenkins),3.180,2.740
4,0:47,3,5,NYG 29,6,9,Alex Smith left end for 6 yards (tackle by Andrew Adams),2.740,4.040
4,0:37,1,10,NYG 23,6,9,Alex Smith pass complete short middle to De'Anthony Thomas for 9 yards (tackle by Calvin Munson and Donte Deayon),4.040,4.950
4,0:18,2,1,NYG 14,6,9,Alex Smith pass complete short right to Charcandrick West for 2 yards (tackle by Dominique Rodgers-Cromartie),4.950,4.780
4,0:16,1,10,NYG 12,6,9,Alex Smith pass incomplete short right intended for Travis Kelce,4.780,4.100
4,0:11,2,10,NYG 12,6,9,Alex Smith middle for 7 yards (tackle by Landon Collins),4.100,0.000
4,0:05,,,,,,Timeout #3 by Kansas City Chiefs,0.000,-4.610
4,0:05,3,3,NYG 5,9,9,Harrison Butker 23 yard field goal good,4.610,3.000
4,0:01,,,KAN 35,9,9,"Harrison Butker kicks off 48 yards, returned by Kalif Raymond for 6 yards (tackle by Akeem Hunt)",0.000,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,KAN,NYG,Detail,EPB,EPA
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the overtime kickoff.",,
OT,10:00,,,NYG 35,9,9,"Aldrick Rosas kicks off 61 yards, returned by Akeem Hunt for 18 yards (tackle by Akeem Ayers)",0.000,-0.410
OT,9:53,1,10,KAN 22,9,9,Kareem Hunt middle for 2 yards (tackle by Damon Harrison and Calvin Munson),0.410,0.140
OT,9:07,2,8,KAN 24,9,9,Alex Smith pass complete short right to Ross Travis for 11 yards (tackle by Calvin Munson and Dominique Rodgers-Cromartie),0.140,1.270
OT,8:36,1,10,KAN 35,9,9,Kareem Hunt left tackle for no gain (tackle by Olivier Vernon and Dalvin Tomlinson),1.270,0.720
OT,7:56,2,10,KAN 35,9,9,"Kareem Hunt left tackle for 8 yards (tackle by Calvin Munson and Darian Thompson). Penalty on Laurent Duvernay-Tardif: Offensive Holding, 10 yards",0.720,0.450
OT,7:34,2,12,KAN 33,9,9,Alex Smith pass complete short right to Tyreek Hill for 2 yards (tackle by Dominique Rodgers-Cromartie and Janoris Jenkins),0.450,0.040
OT,6:48,3,10,KAN 35,9,9,Alex Smith pass complete short right to Charcandrick West for 3 yards (tackle by Dominique Rodgers-Cromartie),0.040,-0.850
OT,6:06,4,7,KAN 38,9,9,"Dustin Colquitt punts 52 yards, returned by Kalif Raymond for 8 yards (tackle by Eric Murray)",-0.850,-0.040
OT,5:54,1,10,NYG 18,9,9,Orleans Darkwa right guard for 3 yards (tackle by Chris Jones and Rakeem Nunez-Roches),0.040,0.010
OT,5:13,2,7,NYG 21,9,9,Orleans Darkwa left guard for 10 yards (tackle by Reggie Ragland),0.010,1.000
OT,4:31,1,10,NYG 31,9,9,"Penalty on Bennie Logan: Encroachment, 5 yards (no play)",1.000,1.730
OT,4:30,1,5,NYG 36,9,9,Eli Manning pass complete short left to Tavarres King for 13 yards (tackle by Daniel Sorensen),1.730,2.190
OT,4:16,1,10,NYG 49,9,9,Eli Manning pass complete short middle to Roger Lewis for 10 yards (tackle by Daniel Sorensen and Reggie Ragland),2.190,2.850
OT,3:35,1,10,KAN 41,9,9,Eli Manning pass complete short left to Wayne Gallman for 3 yards (tackle by Kevin Pierre-Louis),2.850,2.710
OT,3:00,2,7,KAN 38,9,9,Wayne Gallman right tackle for 2 yards (tackle by Justin Houston),2.710,2.280
OT,2:17,3,5,KAN 36,9,9,Eli Manning pass incomplete deep left intended for Evan Engram,2.280,0.000
OT,2:12,,,,,,Timeout #1 by New York Giants,0.000,-0.880
OT,2:12,4,5,KAN 36,9,9,Eli Manning pass complete deep left to Roger Lewis for 34 yards (tackle by Phillip Gaines). Penalty on Phillip Gaines: Defensive Pass Interference (Declined),0.880,6.740
OT,1:58,1,2,KAN 2,9,9,Eli Manning kneels for -3 yards,6.740,5.150
OT,1:57,2,5,KAN 5,9,12,Aldrick Rosas 23 yard field goal good,5.150,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
