Quarter,Time,Down,ToGo,Location,LAR,CIN,Detail,EPB,EPA
2,9:56,3,3,CIN 5,3,3,Matthew Stafford pass incomplete short middle intended for Tutu Atwell,4.610,3.020
2,9:52,4,3,CIN 5,6,3,Brett Maher 23 yard field goal good,3.020,3.000
2,9:49,,,LAR 35,6,3,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
2,9:49,1,10,CIN 25,6,3,Joe Mixon left guard for no gain (tackle by Byron Young),0.610,0.060
2,9:17,2,10,CIN 25,6,3,Joe Burrow pass incomplete short middle intended for Tee Higgins (defended by Derion Kendrick),0.060,-0.620
2,9:12,3,10,CIN 25,6,3,Joe Burrow pass complete short left to Ja'Marr Chase for 11 yards,-0.620,1.330
2,8:40,1,10,CIN 36,6,3,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Derion Kendrick),1.330,0.790
2,8:37,2,10,CIN 36,6,3,Joe Burrow sacked by Aaron Donald for -8 yards,0.790,-0.960
2,7:52,3,18,CIN 28,6,3,Joe Burrow pass complete short left to Tee Higgins for 8 yards (tackle by Derion Kendrick and Russ Yeast),-0.960,-0.980
2,7:11,4,10,CIN 36,6,3,"Brad Robbins punts 33 yards out of bounds. Penalty on Tycen Anderson: Player Out of Bounds on Kick, 5 yards (accepted)",-0.980,-1.330
2,7:04,1,10,LAR 36,6,3,Van Jefferson right end for 4 yards (tackle by Sam Hubbard and Chidobe Awuzie),1.330,1.330
2,6:21,2,6,LAR 40,6,3,Kyren Williams left end for -3 yards (tackle by Daxton Hill),1.330,0.230
2,5:37,,,,,,Timeout #1 by Los Angeles Rams,,
2,5:37,3,9,LAR 37,6,3,Matthew Stafford pass complete short right to Tyler Higbee for 7 yards (tackle by Daxton Hill),0.230,-0.460
2,4:56,4,2,LAR 44,6,3,Ethan Evans punts 45 yards out of bounds,-0.460,0.370
2,4:46,1,10,CIN 11,6,3,Joe Burrow pass complete short middle to Ja'Marr Chase for 13 yards (tackle by Christian Rozeboom and Derion Kendrick),-0.370,0.540
2,4:03,1,10,CIN 24,6,3,Joe Burrow pass incomplete short right intended for Tee Higgins,0.540,0.000
2,3:59,2,10,CIN 24,6,3,Joe Burrow pass incomplete short left intended for Tyler Boyd,0.000,-0.690
2,3:56,3,10,CIN 24,6,3,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase,-0.690,-1.770
2,3:50,4,10,CIN 24,6,3,"Brad Robbins punts 46 yards, fair catch by Kyren Williams at LA-30",-1.770,-0.940
2,3:43,1,10,LAR 30,6,3,"Matthew Stafford pass short middle intended for Van Jefferson is intercepted by Logan Wilson at LA-41 and returned for no gain (tackle by Van Jefferson) Replay Assistant challenged the pass interception ruling, and the play was upheld.",0.940,-2.850
2,3:38,1,10,LAR 41,6,3,Joe Mixon right tackle for 2 yards (tackle by Aaron Donald),2.850,2.580
2,2:56,2,8,LAR 39,6,3,"Joe Burrow pass complete deep right to Tee Higgins for no gain (tackle by Ahkello Witherspoon). Penalty on Tee Higgins: Offensive Pass Interference, 10 yards (accepted) (no play)",2.580,1.230
2,2:36,2,18,LAR 49,6,3,Joe Burrow pass incomplete deep right intended for Tee Higgins,1.230,0.560
2,2:33,3,18,LAR 49,6,3,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase,0.560,0.000
2,2:27,4,18,LAR 49,6,3,"Brad Robbins punts 44 yards, returned by Kyren Williams for 3 yards (tackle by Tycen Anderson)",0.000,0.380
2,2:18,1,10,LAR 8,6,3,Kyren Williams right tackle for 9 yards (tackle by Cam Taylor-Britt),-0.380,0.050
2,2:00,2,1,LAR 17,6,3,Matthew Stafford pass complete short middle to Puka Nacua for 4 yards (tackle by Logan Wilson),0.050,0.340
2,1:37,1,10,LAR 21,6,3,Matthew Stafford pass incomplete short right intended for Puka Nacua,0.340,-0.200
2,1:33,2,10,LAR 21,6,3,Matthew Stafford sacked by Daxton Hill for -8 yards,-0.200,-2.300
2,1:29,,,,,,Timeout #2 by Cincinnati Bengals,,
2,1:29,3,18,LAR 13,6,3,Kyren Williams up the middle for 6 yards (tackle by Sam Hubbard),-2.300,-2.140
2,1:24,,,,,,Timeout #3 by Cincinnati Bengals,,
2,1:24,4,12,LAR 19,6,3,"Ethan Evans punts 51 yards, returned by Charlie Jones for 10 yards (tackle by Royce Freeman and Michael Hoecht)",-2.140,-1.600
2,1:13,1,10,CIN 40,6,3,Joe Burrow pass complete short right to Ja'Marr Chase for 9 yards,1.600,2.270
2,1:09,2,1,CIN 49,6,3,Joe Burrow pass complete deep middle to Tanner Hudson for 26 yards (tackle by Jordan Fuller and Russ Yeast),2.270,3.910
2,0:48,1,10,LAR 25,6,3,Joe Burrow pass incomplete short left intended for Tyler Boyd (defended by Cobie Durant),3.910,3.360
2,0:42,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:42,2,10,LAR 25,6,3,Joe Burrow sacked by and Byron Young for -9 yards and Kobie Turner for -9 yards,3.360,1.490
2,0:03,3,19,LAR 34,6,3,Joe Burrow spiked the ball,1.490,1.060
2,0:03,4,19,LAR 34,6,6,Evan McPherson 53 yard field goal good,1.060,3.000
Quarter,Time,Down,ToGo,Location,LAR,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,6,6,"Evan McPherson kicks off 53 yards,",0.000,0.610
3,15:00,1,10,LAR 25,6,6,Matthew Stafford pass complete deep left to Tyler Higbee for 22 yards (tackle by Cam Taylor-Britt),0.610,2.060
3,14:21,1,10,LAR 47,6,6,"Penalty on Zachary Thomas: False Start, 5 yards (accepted) (no play)",2.060,1.730
3,14:04,1,15,LAR 42,6,6,Matthew Stafford pass complete short left to Kyren Williams for 20 yards (tackle by Logan Wilson),1.730,3.050
3,13:18,1,10,CIN 38,6,6,Matthew Stafford pass complete short right to Ben Skowronek for 3 yards (tackle by Chidobe Awuzie),3.050,2.910
3,12:33,,,,,,Timeout #1 by Los Angeles Rams,,
3,12:33,2,7,CIN 35,6,6,"Matthew Stafford sacked by Trey Hendrickson for no gain. Penalty on Sam Hubbard: Face Mask (15 Yards), 14 yards (accepted) (no play)",2.910,4.170
3,12:08,1,10,CIN 21,6,6,Kyren Williams right guard for 4 yards (tackle by Sam Hubbard),4.170,4.200
3,11:32,2,6,CIN 17,6,6,Matthew Stafford pass incomplete short left intended for Kyren Williams,4.200,3.560
3,11:24,,,,,,Timeout #1 by Cincinnati Bengals,,
3,11:24,3,5,CIN 17,6,6,Matthew Stafford sacked by Trey Hendrickson for -7 yards,3.560,1.870
3,10:42,4,13,CIN 24,9,6,Brett Maher 42 yard field goal good,1.870,3.000
3,10:37,,,LAR 35,9,6,"Ethan Evans kicks off 65 yards,",0.000,0.610
3,10:37,1,10,CIN 25,9,6,Joe Mixon left tackle for 13 yards (tackle by Cobie Durant),0.610,1.470
3,10:00,1,10,CIN 38,9,6,Joe Mixon left guard for 2 yards (tackle by Byron Young),1.470,1.190
3,9:20,2,8,CIN 40,9,6,Joe Burrow pass complete short right to Ja'Marr Chase for 16 yards (tackle by Cobie Durant),1.190,2.650
3,8:39,1,10,LAR 44,9,6,Joe Burrow pass incomplete short right intended for Charlie Jones,2.650,2.110
3,8:33,2,10,LAR 44,9,6,Joe Burrow pass incomplete short left intended for Trayveon Williams,2.110,1.420
3,8:29,3,10,LAR 44,9,6,Joe Burrow pass complete short middle to Ja'Marr Chase for 13 yards (tackle by Jordan Fuller),1.420,3.510
3,7:51,1,10,LAR 31,9,6,Joe Mixon right tackle for no gain (tackle by Ernest Jones),3.510,2.970
3,7:06,2,10,LAR 31,9,6,Joe Burrow pass complete short right to Tee Higgins for 13 yards (tackle by Jordan Fuller),2.970,4.370
3,6:22,1,10,LAR 18,9,6,Joe Burrow pass complete short left to Ja'Marr Chase for 4 yards (tackle by Christian Rozeboom),4.370,4.430
3,5:39,2,6,LAR 14,9,12,"Joe Mixon left tackle for 14 yards, touchdown",4.430,7.000
3,5:34,,,LAR 15,9,13,Evan McPherson kicks extra point good,0.000,0.000
3,5:34,,,CIN 35,9,13,"Evan McPherson kicks off 57 yards, returned by Ronnie Rivers for 16 yards (tackle by Chase Brown and Akeem Davis-Gaither)",0.000,0.540
3,5:29,1,10,LAR 24,9,13,Matthew Stafford pass complete deep middle to Van Jefferson for 46 yards (tackle by Nick Scott),0.540,3.580
3,5:01,1,10,CIN 30,9,13,Matthew Stafford pass short left (defended by Mike Hilton) intended for Puka Nacua is intercepted by Logan Wilson at CIN-22 and returned for no gain,3.580,-0.410
3,4:57,1,10,CIN 22,9,13,Joe Burrow pass incomplete deep middle intended for Tee Higgins,0.410,-0.130
3,4:52,2,10,CIN 22,9,13,"Joe Burrow pass incomplete short middle intended for Tanner Hudson. Penalty on Quentin Lake: Defensive Pass Interference, 3 yards (accepted) (no play)",-0.130,0.610
3,4:48,1,10,CIN 25,9,13,Joe Burrow pass complete deep right to Ja'Marr Chase for 43 yards (tackle by Jordan Fuller),0.610,3.450
3,4:09,1,10,LAR 32,9,13,Joe Burrow pass complete short left to Ja'Marr Chase for 2 yards (tackle by Byron Young),3.450,3.170
3,3:24,2,8,LAR 30,9,13,Joe Burrow pass incomplete short right intended for Tee Higgins,3.170,2.480
3,3:20,3,8,LAR 30,9,13,Joe Burrow pass incomplete short left intended for Trayveon Williams (defended by Ernest Jones),2.480,1.410
3,3:14,4,8,LAR 30,9,16,Evan McPherson 48 yard field goal good,1.410,3.000
3,3:09,,,CIN 35,9,16,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
3,3:09,1,10,LAR 25,9,16,Matthew Stafford pass complete short left to Kyren Williams for 7 yards (tackle by Logan Wilson),0.610,1.010
3,2:45,2,3,LAR 32,9,16,Kyren Williams left guard for 2 yards (tackle by D.J. Reader),1.010,0.560
3,1:55,3,1,LAR 34,9,16,"Matthew Stafford pass complete to Tutu Atwell for no gain (tackle by Mike Hilton). Penalty on Tremayne Anchrum: Offensive Facemask, 15 yards (accepted) (no play)",0.560,-1.510
3,1:24,3,16,LAR 19,9,16,Kyren Williams right tackle for 4 yards (tackle by Sam Hubbard),-1.510,-1.830
3,0:47,4,12,LAR 23,9,16,"Ethan Evans punts 58 yards, returned by Charlie Jones for 9 yards (tackle by Royce Freeman)",-1.830,-0.810
3,0:37,1,10,CIN 28,9,16,Joe Mixon up the middle for 4 yards (tackle by Ernest Jones),0.810,0.800
Quarter,Time,Down,ToGo,Location,LAR,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,CIN 32,9,16,Joe Mixon right tackle for 8 yards (tackle by Ernest Jones),0.800,1.600
4,14:23,1,10,CIN 40,9,16,Joe Mixon right tackle for 1 yard (tackle by Aaron Donald and Ernest Jones),1.600,1.190
4,13:35,2,9,CIN 41,9,16,Joe Burrow pass incomplete short right intended for Joe Mixon,1.190,0.500
4,13:29,3,9,CIN 41,9,16,Joe Burrow pass complete short middle to Tyler Boyd for 10 yards (tackle by Cobie Durant),0.500,2.320
4,12:48,1,10,LAR 49,9,16,Joe Mixon right end for 2 yards (tackle by Jonah Williams and Michael Hoecht),2.320,2.050
4,12:05,2,8,LAR 47,9,16,Joe Burrow pass incomplete short middle intended for Mitchell Wilcox (defended by Jonah Williams),2.050,1.360
4,11:59,3,8,LAR 47,9,16,Joe Burrow pass complete short left to Drew Sample for 7 yards (tackle by Cobie Durant),1.360,0.590
4,11:12,4,1,LAR 40,9,16,Joe Mixon left tackle for 3 yards (tackle by Aaron Donald),0.590,3.120
4,10:27,1,10,LAR 37,9,16,Joe Burrow pass deep left intended for Tyler Boyd is intercepted by Ahkello Witherspoon at LA-20 and returned for no gain (tackle by Tyler Boyd),3.120,-0.280
4,10:21,1,10,LAR 20,9,16,Matthew Stafford pass incomplete deep left intended for Tutu Atwell,0.280,-0.270
4,10:16,2,10,LAR 20,9,16,Matthew Stafford sacked by Trey Hendrickson for -8 yards,-0.270,-2.360
4,9:30,3,18,LAR 12,9,16,Matthew Stafford sacked by B.J. Hill for -8 yards,-2.360,-2.490
4,8:53,4,26,LAR 4,9,16,"Ethan Evans punts 55 yards, returned by Charlie Jones for 19 yards (tackle by Tre'Vius Tomlinson)",-2.490,-2.920
4,8:46,1,10,LAR 40,9,16,Joe Mixon left tackle for -2 yards (tackle by Michael Hoecht),2.920,2.100
4,8:05,2,12,LAR 42,9,16,Joe Burrow pass complete short left to Ja'Marr Chase for 7 yards (tackle by Russ Yeast),2.100,2.340
4,7:23,3,5,LAR 35,9,16,Joe Burrow pass incomplete short right intended for Tyler Boyd,2.340,0.980
4,7:18,4,5,LAR 35,9,19,Evan McPherson 54 yard field goal good,0.980,3.000
4,7:13,,,CIN 35,9,19,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
4,7:13,1,10,LAR 25,9,19,Matthew Stafford pass incomplete deep left intended for Tutu Atwell (defended by DJ Turner),0.610,0.060
4,7:08,2,10,LAR 25,9,19,Matthew Stafford pass incomplete short right intended for Tutu Atwell,0.060,-0.620
4,7:05,,,,,,Timeout #2 by Los Angeles Rams,,
4,7:05,3,10,LAR 25,9,19,"Matthew Stafford sacked by and Logan Wilson for no gain and Trey Hendrickson for no gain. Penalty on Coleman Shelton: Offensive Holding, 10 yards (offset) . Penalty on Cam Taylor-Britt: Illegal Use of Hands / Defense, 5 yards (offset) (no play)",-0.620,-0.620
4,6:45,3,10,LAR 25,9,19,Matthew Stafford pass complete short left to Tutu Atwell for 5 yards (tackle by Mike Hilton and Daxton Hill),-0.620,-1.370
4,6:09,4,5,LAR 30,9,19,"Ethan Evans punts 46 yards, fair catch by Charlie Jones at CIN-24",-1.370,-0.540
4,6:02,1,10,CIN 24,9,19,Joe Mixon right guard for -2 yards (tackle by Ernest Jones and Aaron Donald),0.540,-0.270
4,5:14,2,12,CIN 22,9,19,"Penalty on CIN: Delay of Game, 5 yards (accepted) (no play)",-0.270,-1.080
4,5:14,2,17,CIN 17,9,19,Joe Mixon left guard for -1 yards (tackle by Aaron Donald),-1.080,-2.050
4,4:26,3,18,CIN 16,9,19,Trayveon Williams right end for 4 yards (tackle by Larrell Murchison and Michael Hoecht),-2.050,-2.030
4,3:41,4,14,CIN 20,9,19,"Brad Robbins punts 41 yards, fair catch by Kyren Williams at LA-39",-2.030,-1.530
4,3:34,1,10,LAR 39,9,19,Matthew Stafford pass complete short right to Tyler Higbee for 15 yards (tackle by Daxton Hill),1.530,2.520
4,3:07,1,10,CIN 46,9,19,Matthew Stafford pass complete short left to Tutu Atwell for 7 yards (tackle by Cam Taylor-Britt),2.520,2.920
4,2:54,2,3,CIN 39,9,19,Matthew Stafford pass incomplete deep left intended for Van Jefferson,2.920,2.210
4,2:49,3,3,CIN 39,9,19,Matthew Stafford pass incomplete short middle intended for Tutu Atwell (defended by Jalen Davis),2.210,0.660
4,2:43,4,3,CIN 39,9,19,Matthew Stafford scrambles up the middle for 7 yards (tackle by Mike Hilton and DJ Turner),0.660,3.450
4,2:21,1,10,CIN 32,9,19,Matthew Stafford sacked by Sam Hubbard for -8 yards,3.450,1.820
4,2:00,2,18,CIN 40,9,19,Matthew Stafford pass complete deep right to Puka Nacua for 37 yards (tackle by Daxton Hill),1.820,6.510
4,1:35,1,3,CIN 3,9,19,Kyren Williams up the middle for 2 yards (tackle by Nick Scott and Chidobe Awuzie),6.510,5.910
4,1:13,2,1,CIN 1,9,19,Matthew Stafford pass incomplete short right,5.910,5.170
4,1:06,3,1,CIN 1,15,19,"Matthew Stafford pass complete short left to Tutu Atwell for 1 yard, touchdown",5.170,7.000
4,1:03,,,CIN 15,16,19,Brett Maher kicks extra point good,0.000,0.000
4,1:03,,,,,,Timeout #2 by Cincinnati Bengals,,
4,1:03,,,LAR 35,16,19,"Brett Maher kicks onside 10 yards, returned by Mitchell Wilcox for no gain",0.000,2.590
4,1:02,1,10,LAR 45,16,19,Joe Burrow kneels for -1 yards,2.590,1.910
4,0:58,,,,,,Timeout #3 by Los Angeles Rams,,
4,0:58,2,11,LAR 46,16,19,Joe Burrow kneels for no gain,1.910,1.220
4,0:38,3,11,LAR 46,16,19,Joe Burrow kneels for -1 yards,1.220,0.130
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
