Quarter,Time,Down,ToGo,Location,STL,WAS,Detail,EPB,EPA
4,7:55,1,10,WAS 46,24,0,Colt McCoy pass complete short middle to Silas Redd for 16 yards (tackle by Trumaine Johnson and Alec Ogletree),1.990,3.050
4,7:25,1,10,STL 38,24,0,Colt McCoy pass complete short middle to Pierre Garcon for 18 yards (tackle by Trumaine Johnson),3.050,4.240
4,6:54,1,10,STL 20,24,0,Colt McCoy sacked by Robert Quinn for -8 yards,4.240,2.610
4,6:10,2,18,STL 28,24,0,Colt McCoy pass incomplete deep middle intended for Ryan Grant,2.610,1.950
4,6:06,3,18,STL 28,24,0,Colt McCoy pass complete short right to Pierre Garcon for 7 yards (tackle by Trumaine Johnson and Alec Ogletree),1.950,2.060
4,5:25,4,11,STL 21,24,0,Colt McCoy pass incomplete deep middle intended for Jordan Reed is intercepted by T.J. McDonald at STL-2 and returned for 20 yards,2.060,-0.410
4,5:15,1,10,STL 22,24,0,Tre Mason left tackle for 3 yards (tackle by Ryan Kerrigan),0.410,0.270
4,4:32,2,7,STL 25,24,0,Tre Mason right tackle for -2 yards (tackle by Ryan Clark),0.270,-0.690
4,3:48,3,9,STL 23,24,0,Benny Cunningham right tackle for -2 yards (tackle by Chris Baker),-0.690,-0.690
4,3:03,3,9,STL 23,24,0,Timeout #1 by St. Louis Rams,-0.690,-1.960
4,3:03,4,11,STL 21,24,0,"Johnny Hekker punts 50 yards, returned by Andre Roberts for 3 yards (tackle by Daren Bates)",-1.960,-1.070
4,2:52,1,10,WAS 32,24,0,Colt McCoy sacked by William Hayes for -12 yards,1.070,-1.090
4,2:15,2,22,WAS 20,24,0,"Silas Redd right end for 8 yards (tackle by Rodney McLeod). Silas Redd fumbles (forced by Rodney McLeod), recovered by Santana Moss at WAS-37 and returned for 5 yards",-1.090,1.730
4,2:00,1,10,WAS 42,24,0,Robert Griffin pass complete short left to Santana Moss for 18 yards (tackle by E.J. Gaines),1.730,2.920
4,1:53,1,10,STL 40,24,0,Robert Griffin sacked by Aaron Donald for -8 yards,2.920,1.290
4,1:15,2,18,STL 48,24,0,Robert Griffin pass complete short left to Jordan Reed for 9 yards,1.290,1.820
4,1:10,3,9,STL 39,24,0,Robert Griffin pass complete short left to Silas Redd for 6 yards (tackle by Janoris Jenkins),1.820,1.190
4,0:36,4,3,STL 33,24,0,Robert Griffin pass incomplete deep left intended for Jordan Reed,1.190,-1.140
4,0:31,1,10,STL 33,24,0,Shaun Hill kneels for -1 yards,1.140,0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
