Quarter,Time,Down,ToGo,Location,GNB,LAR,Detail,EPB,EPA
1,6:01,,,GNB 35,7,0,"Mason Crosby kicks off 66 yards, returned by Blake Countess for no gain (tackle by Oren Burks)",0.000,-0.370
1,5:52,1,10,LAR 11,7,0,Jared Goff pass complete short middle to Robert Woods for 19 yards (tackle by Kentrell Brice),-0.370,0.940
1,5:15,1,10,LAR 30,7,0,Todd Gurley right tackle for 4 yards (tackle by Nick Perry and Blake Martinez),0.940,0.930
1,4:50,2,6,LAR 34,7,0,Jared Goff pass complete short right to Todd Gurley for 6 yards (tackle by Blake Martinez),0.930,1.600
1,4:07,1,10,LAR 40,7,0,Jared Goff pass incomplete short right,1.600,1.050
1,4:01,2,10,LAR 40,7,0,Jared Goff pass incomplete short right intended for Brandin Cooks,1.050,0.370
1,3:57,3,10,LAR 40,7,0,Jared Goff sacked by Blake Martinez for -10 yards,0.370,-1.370
1,3:22,4,20,LAR 30,7,0,"Johnny Hekker punts 51 yards, returned by Tramon Williams for 13 yards (tackle by Justin Lawler and Sam Shields)",-1.370,-1.070
1,3:12,1,10,GNB 32,7,0,Aaron Rodgers pass complete deep left (tackle by Lamarcus Joyner),1.070,2.590
1,2:29,1,10,LAR 45,7,0,Aaron Rodgers left end for 5 yards (tackle by Samson Ebukam),2.590,2.720
1,1:49,2,5,LAR 40,7,0,Aaron Jones up the middle for 10 yards (tackle by John Johnson and Samson Ebukam),2.720,3.580
1,1:08,1,10,LAR 30,7,0,Aaron Jones right guard for 4 yards (tackle by Mark Barron and Samson Ebukam),3.580,3.570
1,0:28,2,6,LAR 26,7,0,Aaron Jones left end for 1 yard (tackle by Cory Littleton),3.570,3.010
Quarter,Time,Down,ToGo,Location,GNB,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,LAR 25,7,0,Aaron Jones left end for 2 yards (tackle by Cory Littleton),3.010,2.030
2,14:23,4,3,LAR 23,10,0,Mason Crosby 41 yard field goal good,2.030,3.000
2,14:19,,,GNB 35,10,0,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
2,14:19,1,10,LAR 25,10,0,"Penalty on Dean Lowry: Neutral Zone Infraction, 5 yards (no play)",0.610,1.340
2,14:19,1,5,LAR 30,10,0,Jared Goff pass complete short middle to Robert Woods for 15 yards (tackle by Ha Ha Clinton-Dix),1.340,1.930
2,13:49,1,10,LAR 45,10,0,Jared Goff pass complete short right to Todd Gurley for 1 yard (tackle by Blake Martinez),1.930,1.520
2,13:06,2,9,LAR 46,10,0,Jared Goff pass incomplete short right,1.520,0.830
2,12:59,,,,,,Timeout #1 by Los Angeles Rams,,
2,12:59,3,9,LAR 46,10,0,Jared Goff sacked by Kenny Clark for -11 yards,0.830,-1.040
2,12:22,4,20,LAR 35,10,0,"Johnny Hekker punts 47 yards, fair catch by Tramon Williams at GB-18",-1.040,-0.040
2,12:14,1,10,GNB 18,10,0,Aaron Rodgers pass complete short left to Ty Montgomery for 2 yards (tackle by Cory Littleton),0.040,-0.130
2,11:27,2,8,GNB 20,10,0,Ty Montgomery up the middle for 1 yard (tackle by Samson Ebukam and Aaron Donald),-0.130,-0.790
2,10:42,3,7,GNB 21,10,0,Aaron Rodgers pass incomplete deep middle intended for Jimmy Graham (defended by John Johnson),-0.790,-1.960
2,10:36,4,7,GNB 21,10,0,"JK Scott punts 43 yards, returned by Jojo Natson for 2 yards (tackle by Jermaine Whitehead)",-1.960,-1.470
2,10:24,1,10,LAR 38,10,0,Todd Gurley right tackle for 2 yards (tackle by Kenny Clark),1.470,1.190
2,9:44,2,8,LAR 40,10,0,Todd Gurley left guard for 7 yards (tackle by Jermaine Whitehead and Montravius Adams),1.190,1.420
2,9:09,3,1,LAR 47,10,0,Todd Gurley right tackle for -2 yards (tackle by Blake Martinez),1.420,-0.390
2,8:29,4,3,LAR 45,10,0,Johnny Hekker pass complete short right to Sam Shields for 12 yards (tackle by Raven Greene),-0.390,2.720
2,7:45,1,10,GNB 43,10,0,Jared Goff pass incomplete deep right intended for Brandin Cooks (defended by Jaire Alexander),2.720,2.180
2,7:36,2,10,GNB 43,10,0,Jared Goff pass incomplete short left intended for Gerald Everett,2.180,1.490
2,7:32,3,10,GNB 43,10,0,Jared Goff pass incomplete short left intended for Todd Gurley,1.490,0.400
2,7:25,4,10,GNB 43,10,0,Penalty on LAR: Delay of Game (Declined),0.400,0.400
2,7:25,4,10,GNB 43,10,0,Johnny Hekker punts 39 yards out of bounds,0.400,0.380
2,7:16,1,10,GNB 4,10,0,Aaron Rodgers pass complete short left to Marquez Valdes-Scantling for 5 yards (tackle by Marcus Peters),-0.380,-0.420
2,6:39,2,5,GNB 9,10,0,Aaron Rodgers pass complete short middle to Randall Cobb for 18 yards (tackle by Troy Hill),-0.420,0.740
2,5:57,1,10,GNB 27,10,0,Jamaal Williams up the middle for -2 yards (tackle by Michael Brockers),0.740,-0.070
2,5:08,,,,,,Timeout #1 by Green Bay Packers,,
2,5:08,2,12,GNB 25,10,0,Aaron Rodgers pass incomplete short right intended for Marquez Valdes-Scantling,-0.070,-0.760
2,5:03,3,12,GNB 25,10,0,Aaron Rodgers pass incomplete short left intended for Davante Adams,-0.760,-1.700
2,4:58,4,12,GNB 25,10,0,"JK Scott punts 55 yards, returned by Jojo Natson for no gain (tackle by Josh Jones)",-1.700,-0.280
2,4:49,1,10,LAR 20,10,0,Todd Gurley left guard for 5 yards (tackle by Jermaine Whitehead),0.280,0.410
2,4:09,2,5,LAR 25,10,0,Jared Goff pass incomplete short middle intended for Brandin Cooks (defended by Jaire Alexander),0.410,-0.300
2,4:03,3,5,LAR 25,10,0,Jared Goff pass complete short middle to Josh Reynolds for 22 yards (tackle by Ha Ha Clinton-Dix),-0.300,2.060
2,3:24,1,10,LAR 47,10,0,Jared Goff pass incomplete short left intended for Josh Reynolds (defended by Kentrell Brice),2.060,1.520
2,3:17,2,10,LAR 47,10,0,Todd Gurley right tackle for no gain (tackle by Kyler Fackrell and Blake Martinez),1.520,0.830
2,3:10,,,,,,Timeout #2 by Green Bay Packers,,
2,3:10,,,,,,Timeout #2 by Los Angeles Rams,,
2,3:10,3,10,LAR 47,10,0,Jared Goff pass incomplete short middle intended for Robert Woods (defended by Jaire Alexander),0.830,-0.260
2,3:04,4,10,LAR 47,10,0,Johnny Hekker punts 52 yards downed by Sam Shields,-0.260,0.380
2,2:54,1,10,GNB 1,10,2,"Aaron Jones up the middle for -1 yards (tackle by Mark Barron), safety.",-0.380,2.000
2,2:47,,,GNB 20,10,2,"JK Scott kicks off 61 yards, returned by Jojo Natson for no gain (tackle by Josh Jones)",0.000,0.810
2,2:40,1,10,LAR 28,10,2,Todd Gurley left tackle for 2 yards (tackle by Mike Daniels and Nick Perry),0.810,0.530
2,2:32,,,,,,Timeout #3 by Green Bay Packers,,
2,2:32,2,8,LAR 30,10,2,Jared Goff pass complete short left to Todd Gurley for 10 yards (tackle by Jermaine Whitehead),0.530,1.600
2,2:19,1,10,LAR 40,10,2,Jared Goff pass complete deep left to Brandin Cooks for 25 yards (tackle by Jaire Alexander),1.600,3.250
2,2:00,1,10,GNB 35,10,2,Jared Goff pass complete deep left to Todd Gurley for 32 yards (tackle by Jermaine Whitehead),3.250,6.510
2,1:55,1,3,GNB 3,10,2,Todd Gurley up the middle for 2 yards (tackle by Ha Ha Clinton-Dix and Blake Martinez),6.510,5.910
2,1:07,2,1,GNB 1,10,2,Todd Gurley up the middle for no gain (tackle by Blake Martinez and Kenny Clark),5.910,5.170
2,0:25,3,1,GNB 1,10,8,"Jared Goff pass complete short left to Josh Reynolds for 1 yard, touchdown",5.170,7.000
2,0:21,,,GNB 2,10,8,"Two Point Attempt: Todd Gurley rushes, conversion fails.",0.000,-1.000
2,0:21,,,LAR 35,10,8,"Greg Zuerlein kicks off 63 yards, returned by Ty Montgomery for no gain (tackle by Ramik Wilson)",0.000,0.870
2,0:13,1,10,GNB 29,10,8,Ty Montgomery right tackle for 5 yards (tackle by Ndamukong Suh),0.870,1.000
Quarter,Time,Down,ToGo,Location,GNB,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 35,10,8,"Mason Crosby kicks off 70 yards, returned by Blake Countess for no gain (tackle by Antonio Morrison)",0.000,0.280
3,14:54,1,10,LAR 20,10,8,Brandin Cooks right end for 5 yards (tackle by Blake Martinez),0.280,0.410
3,14:17,2,5,LAR 25,10,8,Jared Goff pass incomplete short right intended for Josh Reynolds,0.410,-0.300
3,14:11,3,5,LAR 25,10,8,Jared Goff pass incomplete deep right intended for Brandin Cooks (defended by Kevin King),-0.300,-1.700
3,14:05,4,5,LAR 25,10,8,"Johnny Hekker punts 48 yards, fair catch by Tramon Williams at GB-27",-1.700,-0.740
3,13:57,1,10,GNB 27,10,8,Aaron Rodgers pass complete short right to Davante Adams for 9 yards (tackle by Marcus Peters),0.740,1.410
3,13:29,2,1,GNB 36,10,8,Aaron Jones up the middle for 4 yards (tackle by Michael Brockers and John Johnson),1.410,1.600
3,13:03,1,10,GNB 40,10,8,Aaron Rodgers pass complete short left to Randall Cobb for 8 yards (tackle by Mark Barron),1.600,2.130
3,12:26,2,2,GNB 48,10,8,Aaron Rodgers pass complete short right to Randall Cobb for 4 yards (tackle by Cory Littleton),2.130,2.390
3,11:46,1,10,LAR 48,10,8,Aaron Rodgers pass complete short left to Geronimo Allison for 14 yards (tackle by Nickell Robey-Coleman),2.390,3.310
3,11:10,1,10,LAR 34,10,8,Aaron Rodgers pass complete short right (tackle by Marcus Peters),3.310,3.850
3,10:33,2,2,LAR 26,10,8,Aaron Rodgers pass incomplete short left intended for Marquez Valdes-Scantling,3.850,3.140
3,10:26,3,2,LAR 26,10,8,Aaron Rodgers sacked by Aaron Donald for -9 yards,3.140,0.970
3,9:43,4,11,LAR 35,13,8,Mason Crosby 53 yard field goal good,0.970,3.000
3,9:38,,,GNB 35,13,8,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
3,9:38,1,10,LAR 25,13,8,Todd Gurley left tackle for 11 yards (tackle by Kevin King),0.610,1.330
3,9:04,1,10,LAR 36,13,8,Jared Goff pass incomplete short right,1.330,0.790
3,8:57,2,10,LAR 36,13,8,Jared Goff pass incomplete short middle intended for Nick Williams (defended by Jaire Alexander),0.790,0.100
3,8:53,3,10,LAR 36,13,8,Jared Goff pass complete short left to Gerald Everett for 22 yards (tackle by Clay Matthews),0.100,2.790
3,8:27,1,10,GNB 42,13,8,Jared Goff right end for 7 yards (tackle by Tramon Williams),2.790,3.190
3,7:46,2,3,GNB 35,13,8,Todd Gurley right end for 5 yards (tackle by Oren Burks),3.190,3.580
3,7:28,1,10,GNB 30,13,14,"Jared Goff pass complete short middle to Todd Gurley for 30 yards, touchdown",3.580,7.000
3,7:19,,,GNB 2,13,16,"Two Point Attempt: Jared Goff pass complete to Todd Gurley, conversion succeeds",0.000,1.000
3,7:19,,,LAR 35,13,16,"Greg Zuerlein kicks off 63 yards, returned by Ty Montgomery for no gain (tackle by KhaDarel Hodge and Marqui Christian)",0.000,0.340
3,7:12,1,10,GNB 21,13,16,Jamaal Williams right guard for 5 yards (tackle by John Johnson and Mark Barron),0.340,0.480
3,6:31,2,5,GNB 26,13,16,Aaron Rodgers pass incomplete short right intended for Marquez Valdes-Scantling,0.480,-0.230
3,6:25,3,5,GNB 26,13,16,Aaron Rodgers pass incomplete short left intended for Davante Adams,-0.230,-1.630
3,6:19,4,5,GNB 26,13,16,JK Scott punts 40 yards downed by James Crawford,-1.630,-1.200
3,6:07,1,10,LAR 34,13,16,Jared Goff pass complete short middle to Brandin Cooks for 17 yards (tackle by Jaire Alexander),1.200,2.320
3,5:32,1,10,GNB 49,13,16,Malcolm Brown right tackle for 7 yards (tackle by Nick Perry and Blake Martinez),2.320,2.730
3,4:59,2,3,GNB 42,13,16,Jared Goff pass incomplete deep right,2.730,2.020
3,4:52,3,3,GNB 42,13,16,Jared Goff pass complete short left to Robert Woods for 12 yards (tackle by Jaire Alexander),2.020,3.580
3,4:23,1,10,GNB 30,13,16,Jared Goff sacked by Kyler Fackrell for -4 yards,3.580,2.490
3,3:42,2,14,GNB 34,13,16,"Jared Goff pass complete short right to Gerald Everett for 29 yards (tackle by Kentrell Brice). Penalty on Robert Woods: Illegal Shift, 5 yards (no play)",2.490,1.820
3,3:04,2,19,GNB 39,13,16,Jared Goff pass complete deep left to Robert Woods for 19 yards (tackle by Ha Ha Clinton-Dix),1.820,4.240
3,2:35,1,10,GNB 20,13,16,Jared Goff right end for 1 yard (tackle by Reggie Gilbert),4.240,3.820
3,1:56,2,9,GNB 19,13,22,"Jared Goff pass complete short middle to Josh Reynolds for 19 yards, touchdown",3.820,7.000
3,1:50,,,GNB 15,13,23,Greg Zuerlein kicks extra point good,0.000,0.000
3,1:50,,,LAR 35,13,23,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
3,1:50,1,10,GNB 25,13,23,Aaron Jones up the middle for 1 yard (tackle by Cory Littleton),0.610,0.200
3,1:09,2,9,GNB 26,13,23,Aaron Rodgers pass incomplete short right intended for Jimmy Graham (defended by Troy Hill),0.200,-0.490
3,1:04,,,,,,Timeout #1 by Los Angeles Rams,,
3,1:04,3,9,GNB 26,13,23,Aaron Rodgers pass complete deep middle to Davante Adams for 41 yards (tackle by Marcus Peters),-0.490,3.380
3,0:25,1,10,LAR 33,13,23,Aaron Rodgers pass incomplete short left intended for Randall Cobb,3.380,2.840
3,0:21,2,10,LAR 33,19,23,"Aaron Jones up the middle for 33 yards, touchdown",2.840,7.000
3,0:13,,,LAR 15,20,23,Mason Crosby kicks extra point good,0.000,0.000
3,0:13,,,GNB 35,20,23,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
3,0:13,1,10,LAR 25,20,23,Todd Gurley left tackle for 8 yards (tackle by Blake Martinez),0.610,1.140
Quarter,Time,Down,ToGo,Location,GNB,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,2,LAR 33,20,23,Todd Gurley right tackle for no gain (tackle by Clay Matthews),1.140,0.430
4,14:40,3,2,LAR 33,20,23,Jared Goff pass complete short middle to Robert Woods for 5 yards (tackle by Jermaine Whitehead),0.430,1.470
4,14:12,1,10,LAR 38,20,23,Jared Goff pass complete deep left to Brandin Cooks for 32 yards (tackle by Jaire Alexander),1.470,3.580
4,13:39,1,10,GNB 30,20,23,Todd Gurley right end for -1 yards (tackle by Reggie Gilbert),3.580,2.900
4,13:02,2,11,GNB 31,20,23,Jared Goff right end for 4 yards (tackle by Clay Matthews),2.900,2.740
4,12:23,3,7,GNB 27,20,23,Jared Goff pass complete short middle to Todd Gurley for 2 yards (tackle by Blake Martinez),2.740,1.850
4,11:44,4,5,GNB 25,20,26,Greg Zuerlein 43 yard field goal good,1.850,3.000
4,11:39,,,LAR 35,20,26,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
4,11:39,1,10,GNB 25,20,26,Aaron Rodgers pass complete short left to Davante Adams for 15 yards (tackle by Marcus Peters),0.610,1.600
4,11:05,1,10,GNB 40,20,26,Aaron Rodgers pass complete short right to Aaron Jones for -1 yards (tackle by Nickell Robey-Coleman),1.600,0.920
4,10:20,2,11,GNB 39,20,26,Aaron Rodgers pass complete short left to Davante Adams for 20 yards (tackle by Lamarcus Joyner),0.920,2.850
4,9:40,1,10,LAR 41,20,26,Aaron Rodgers pass complete short left to Aaron Jones for 1 yard (tackle by Cory Littleton),2.850,2.440
4,8:57,2,9,LAR 40,26,26,"Aaron Rodgers pass complete deep right to Marquez Valdes-Scantling for 40 yards, touchdown",2.440,7.000
4,8:50,,,LAR 15,27,26,Mason Crosby kicks extra point good,0.000,0.000
4,8:50,,,GNB 35,27,26,"Mason Crosby kicks off 56 yards, returned by Blake Countess for no gain (tackle by Oren Burks)",0.000,0.740
4,8:44,1,10,LAR 27,27,26,"Todd Gurley left guard for 8 yards (tackle by Dean Lowry). Penalty on Kenny Clark: Defensive Holding, 5 yards",0.740,1.600
4,8:09,1,10,LAR 40,27,26,Jared Goff left end for -4 yards (tackle by Jermaine Whitehead),1.600,0.510
4,7:41,2,14,LAR 36,27,26,Jared Goff pass incomplete deep right intended for Robert Woods,0.510,-0.160
4,7:35,,,,,,Timeout #2 by Los Angeles Rams,,
4,7:35,3,14,LAR 36,27,26,Jared Goff sacked by Clay Matthews for no gain,-0.160,-0.980
4,6:58,4,14,LAR 36,27,26,Johnny Hekker punts 43 yards out of bounds,-0.980,-0.340
4,6:49,1,10,GNB 21,27,26,Aaron Rodgers pass incomplete short right intended for Ty Montgomery,0.340,-0.200
4,6:45,2,10,GNB 21,27,26,Aaron Jones left tackle for 4 yards (tackle by Ndamukong Suh),-0.200,-0.360
4,5:57,,,,,,Timeout #1 by Green Bay Packers,,
4,5:57,3,6,GNB 25,27,26,Aaron Rodgers sacked by Aaron Donald for -10 yards,-0.360,-2.440
4,5:30,4,16,GNB 15,27,26,JK Scott punts 25 yards downed by Lance Kendricks,-2.440,-2.920
4,5:20,1,10,GNB 40,27,26,Brandin Cooks left end for 4 yards (tackle by Jaire Alexander),2.920,2.910
4,4:41,2,6,GNB 36,27,26,Jared Goff pass incomplete deep right intended for Brandin Cooks (defended by Jaire Alexander),2.910,2.210
4,4:35,3,6,GNB 36,27,26,Todd Gurley left tackle for 23 yards (tackle by Jaire Alexander),2.210,4.710
4,3:46,1,10,GNB 13,27,26,Todd Gurley left guard for no gain (tackle by Mike Daniels),4.710,4.050
4,3:40,,,,,,Timeout #2 by Green Bay Packers,,
4,3:40,2,10,GNB 13,27,26,"Jared Goff up the middle for no gain (tackle by Blake Martinez). Penalty on Rodger Saffold: Offensive Holding, 10 yards (no play)",4.050,2.810
4,3:35,2,20,GNB 23,27,26,Todd Gurley left guard for 4 yards (tackle by Reggie Gilbert),2.810,2.670
4,2:50,3,16,GNB 19,27,26,Todd Gurley up the middle for 3 yards (tackle by Clay Matthews),2.670,2.380
4,2:09,4,13,GNB 16,27,29,Greg Zuerlein 34 yard field goal good,2.380,3.000
4,2:05,,,LAR 35,27,29,"Greg Zuerlein kicks off 67 yards, returned by Ty Montgomery for no gain (tackle by Ramik Wilson). Ty Montgomery fumbles (forced by Ramik Wilson), recovered by Ramik Wilson at GB-21 (tackle by James Crawford)",0.000,-4.170
4,1:56,1,10,GNB 21,27,29,Todd Gurley left guard for 2 yards (tackle by Clay Matthews),4.170,3.900
4,1:50,,,,,,Timeout #3 by Green Bay Packers,,
4,1:50,2,8,GNB 19,27,29,Josh Reynolds left end for -2 yards (tackle by Reggie Gilbert),3.900,2.940
4,1:05,,,,,,Timeout #3 by Los Angeles Rams,,
4,1:05,3,10,GNB 21,27,29,Todd Gurley left end for 17 yards (tackle by Tramon Williams),2.940,6.280
4,0:19,1,4,GNB 4,27,29,Jared Goff kneels for -1 yards,6.280,5.150
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
