Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA
3,2:16,2,20,LAC 35,10,24,"Penalty on Thayer Munford: False Start, 5 yards (accepted) (no play)",2.010,1.340
3,2:02,2,25,LAC 40,10,24,Derek Carr pass incomplete short left intended for Davante Adams (defended by Asante Samuel),1.340,0.690
3,1:53,3,25,LAC 40,10,24,Derek Carr pass complete short right to Brandon Bolden for 3 yards (tackle by Asante Samuel and Kenneth Murray),0.690,0.790
3,1:08,4,22,LAC 37,13,24,Daniel Carlson 55 yard field goal good,0.790,3.000
3,1:03,,,LVR 35,13,24,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,1:03,1,10,LAC 25,13,24,Austin Ekeler left end for 2 yards (tackle by Maxx Crosby),0.610,0.330
3,0:29,2,8,LAC 27,13,24,Austin Ekeler up the middle for 3 yards (tackle by Divine Deablo),0.330,0.040
Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,5,LAC 30,13,24,Justin Herbert pass incomplete deep right intended for DeAndre Carter,0.040,-1.370
4,14:53,4,5,LAC 30,13,24,"JK Scott punts 51 yards, returned by Hunter Renfrow for 4 yards (tackle by Drue Tranquill)",-1.370,-0.480
4,14:41,1,10,LVR 23,13,24,Derek Carr pass complete short right to Darren Waller for 10 yards (tackle by Drue Tranquill),0.480,1.140
4,14:03,1,10,LVR 33,13,24,Derek Carr pass complete short middle to Darren Waller for 23 yards (tackle by Nasir Adderley and Bryce Callahan),1.140,2.650
4,13:20,1,10,LAC 44,13,24,"Derek Carr pass intended for Davante Adams is intercepted by Asante Samuel in end zone and returned for no gain Replay Assistant challenged the touchback ruling, and the original play was overturned. Derek Carr pass deep left intended for Davante Adams is intercepted by Asante Samuel at LAC-2 and returned for no gain",2.650,0.380
4,13:10,1,10,LAC 2,13,24,Austin Ekeler left end for -1 yards (tackle by Chandler Jones),-0.380,-0.850
4,12:41,2,11,LAC 1,13,24,Justin Herbert pass incomplete short right intended for Tre' McKitty,-0.850,-1.540
4,12:33,3,11,LAC 1,13,24,Penalty on Matt Feiler: False Start (accepted) (no play),-1.540,-1.540
4,12:33,3,11,LAC 1,13,24,Justin Herbert pass complete short left to Austin Ekeler for 10 yards (tackle by Duron Harmon and Johnathan Abram),-1.540,-2.490
4,11:50,4,1,LAC 11,13,24,"JK Scott punts 49 yards, fair catch by Hunter Renfrow at LV-40",-2.490,-1.600
4,11:39,1,10,LVR 40,13,24,Josh Jacobs left end for 8 yards (tackle by Drue Tranquill),1.600,2.070
4,11:11,2,3,LVR 48,13,24,Derek Carr pass short left intended for Hunter Renfrow is intercepted by Bryce Callahan at LAC-49 and returned for 2 yards (tackle by Hunter Renfrow),2.070,-2.320
4,11:00,1,10,LVR 49,13,24,Austin Ekeler right guard for 3 yards (tackle by Jayon Brown and Nate Hobbs),2.320,2.190
4,10:21,2,7,LVR 46,13,24,Justin Herbert pass complete short right to Mike Williams for 6 yards (tackle by Jayon Brown and Nate Hobbs),2.190,2.280
4,9:48,3,1,LVR 40,13,24,Josh Palmer right end for 4 yards (tackle by Johnathan Abram and Rock Ya-Sin),2.280,3.180
4,9:07,1,10,LVR 36,13,24,Sony Michel right tackle for 6 yards (tackle by Kendal Vickers and Johnathan Abram),3.180,3.450
4,8:25,2,4,LVR 30,13,24,Sony Michel right guard for -1 yards (tackle by Maxx Crosby and Divine Deablo),3.450,2.610
4,7:45,3,5,LVR 31,13,24,Justin Herbert pass incomplete deep right intended for Jalen Guyton,2.610,1.350
4,7:37,4,5,LVR 31,13,24,Dustin Hopkins 49 yard field goal no good,1.350,-1.530
4,7:33,1,10,LVR 39,13,24,Derek Carr pass complete short right to Josh Jacobs for 16 yards (tackle by Kenneth Murray),1.530,2.590
4,7:04,1,10,LAC 45,13,24,Derek Carr pass incomplete short middle intended for Davante Adams (defended by Bryce Callahan),2.590,2.040
4,6:53,2,10,LAC 45,13,24,Josh Jacobs right guard for 6 yards (tackle by Drue Tranquill),2.040,2.150
4,6:11,3,4,LAC 39,13,24,Derek Carr pass complete short left to Hunter Renfrow for 5 yards (tackle by Michael Davis),2.150,3.310
4,5:28,1,10,LAC 34,13,24,Derek Carr pass complete deep right to Darren Waller for 31 yards (tackle by Derwin James),3.310,6.510
4,4:40,1,3,LAC 3,13,24,Derek Carr pass incomplete short left intended for Davante Adams,6.510,5.530
4,4:36,2,3,LAC 3,19,24,"Derek Carr pass complete short right to Davante Adams for 3 yards, touchdown",5.530,7.000
4,4:32,,,LAC 2,19,24,"Penalty on Michael Davis: Defensive Pass Interference, 1 yard (accepted) (no play)",0.000,6.970
4,4:32,1,1,LAC 1,19,24,"Penalty on Jermaine Eluemunor: False Start, 5 yards (accepted) (no play)",6.970,1.000
4,4:32,1,6,LAC 2,19,24,Two Point Attempt: Derek Carr pass incomplete,1.000,-1.000
4,4:32,,,LVR 35,19,24,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,4:32,1,10,LAC 25,19,24,Justin Herbert pass complete short right to Mike Williams for 4 yards (tackle by Nate Hobbs and Roderic Teamer),0.610,0.600
4,3:49,2,6,LAC 29,19,24,Sony Michel right end for 3 yards (tackle by Maxx Crosby and Jayon Brown),0.600,0.300
4,3:42,,,,,,Timeout #1 by Las Vegas Raiders,,
4,3:42,3,3,LAC 32,19,24,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Nate Hobbs),0.300,-1.240
4,3:39,4,3,LAC 32,19,24,"JK Scott punts 47 yards, returned by Hunter Renfrow for no gain (tackle by Ja'Sir Taylor)",-1.240,-0.340
4,3:30,1,10,LVR 21,19,24,Derek Carr pass complete short right to Davante Adams for 12 yards (tackle by Asante Samuel),0.340,1.140
4,3:25,1,10,LVR 33,19,24,Derek Carr pass complete short right to Hunter Renfrow for 7 yards (tackle by Bryce Callahan),1.140,1.540
4,2:45,2,3,LVR 40,19,24,Derek Carr pass incomplete short left intended for Davante Adams (defended by Austin Johnson),1.540,0.830
4,2:40,3,3,LVR 40,19,24,"Derek Carr sacked by and Joey Bosa for -5 yards and Morgan Fox for -5 yards. Derek Carr fumbles (forced by Joey Bosa), recovered by John Simpson at LV-35 and returned for 5 yards",0.830,-1.040
4,2:00,4,8,LVR 35,19,24,"Derek Carr sacked by Khalil Mack for -7 yards. Derek Carr fumbles (forced by Khalil Mack), recovered by Kolton Miller at LV-28 (tackle by Khalil Mack)",-1.040,-3.710
4,1:52,1,10,LVR 28,19,24,Austin Ekeler left end for 6 yards (tackle by Divine Deablo and Johnathan Abram),3.710,3.980
4,1:46,,,,,,Timeout #2 by Las Vegas Raiders,,
4,1:46,2,4,LVR 22,19,24,Austin Ekeler up the middle for 2 yards (tackle by Maxx Crosby and Johnathan Hankins),3.980,3.530
4,1:41,,,,,,Timeout #3 by Las Vegas Raiders,,
4,1:41,3,2,LVR 20,19,24,Sony Michel up the middle for 3 yards (tackle by Johnathan Abram),3.530,4.440
4,0:59,1,10,LVR 17,19,24,Justin Herbert kneels for no gain (no play),4.440,4.110
4,0:53,1,15,LVR 22,19,24,Justin Herbert kneels for -1 yards,4.110,3.080
4,0:34,2,16,LVR 23,19,24,Justin Herbert kneels for -1 yards,3.080,2.280
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
