Quarter,Time,Down,ToGo,Location,SFO,IND,Detail,EPB,EPA
Quarter,Time,Down,ToGo,Location,SFO,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,6,6,"Rigoberto Sanchez kicks off 66 yards, returned by Victor Bolden for 28 yards (tackle by Henry Krieger-Coble)",0.000,-0.740
3,14:55,1,10,SFO 27,6,6,Brian Hoyer pass complete short right to Trent Taylor for 6 yards (tackle by Matthias Farley),0.740,1.010
3,14:19,2,4,SFO 33,6,6,"Brian Hoyer for no gain. Brian Hoyer fumbles, recovered by Carlos Hyde at SFO-27",1.010,-0.490
3,13:38,3,10,SFO 27,6,6,Brian Hoyer sacked by Jeremiah George and Jabaal Sheard for -8 yards,-0.490,-2.140
3,13:09,4,18,SFO 19,6,6,"Bradley Pinion punts 31 yards, out of bounds",-2.140,-2.260
3,13:03,1,10,,6,6,Jacoby Brissett pass complete short left to Frank Gore for no gain,2.260,1.710
3,12:29,2,10,,6,6,Frank Gore middle for 5 yards (tackle by NaVorro Bowman and Arik Armstead),1.710,1.690
3,11:49,3,5,SFO 45,6,6,"Penalty on Aaron Lynch: Neutral Zone Infraction, 4 yards (no play)",1.690,2.210
3,11:40,3,1,SFO 41,6,6,Robert Turbin left tackle for 3 yards (tackle by Rashard Robinson),2.210,3.050
3,11:13,1,10,SFO 38,6,6,Frank Gore right tackle for 7 yards (tackle by Dontae Johnson),3.050,3.450
3,10:33,2,3,SFO 31,6,6,"Frank Gore right end for -3 yards (tackle by K'Waun Williams). Frank Gore fumbles (forced by K'Waun Williams), ball out of bounds at SFO-34",3.450,0.000
3,10:05,,,,,,Timeout #1 by Indianapolis Colts,0.000,-2.340
3,10:05,3,6,SFO 34,6,6,"Jacoby Brissett pass complete short left to T.Y. Hilton for 9 yards (tackle by Dontae Johnson). Penalty on Aaron Lynch: Roughing the Passer, 13 yards",2.340,4.780
3,9:54,1,10,SFO 12,6,6,"Frank Gore for no gain. Frank Gore fumbles, recovered by Frank Gore at SFO-20",4.780,3.140
3,9:18,2,18,SFO 20,6,6,Jacoby Brissett sacked by Elvis Dumervil and DeForest Buckner for -11 yards,3.140,1.030
3,8:32,3,29,SFO 31,6,6,Jacoby Brissett pass complete short left to Robert Turbin for 11 yards (tackle by NaVorro Bowman and Rashard Robinson),1.030,2.120
3,7:51,4,18,SFO 20,6,9,Adam Vinatieri 38 yard field goal good,2.120,3.000
3,7:42,,,IND 35,6,9,"Rigoberto Sanchez kicks off 60 yards, returned by Victor Bolden for 7 yards (tackle by Kenny Moore)",0.000,0.350
3,7:42,1,10,SFO 12,6,9,Brian Hoyer pass incomplete deep middle intended for Marquise Goodwin,-0.350,-0.780
3,7:35,2,10,SFO 12,6,9,Brian Hoyer pass complete short left to Matt Breida for 10 yards (tackle by Antonio Morrison),-0.780,0.410
3,7:16,1,10,SFO 22,6,9,Matt Breida right guard for 4 yards (tackle by Jonathan Bostic and Antonio Morrison),0.410,0.410
3,6:43,2,6,SFO 26,6,9,"Brian Hoyer pass incomplete. Penalty on Brian Hoyer: Intentional Grounding, 10 yards",0.410,-1.870
3,6:37,3,16,SFO 16,6,9,Brian Hoyer sacked by Jabaal Sheard for -9 yards,-1.870,-2.490
3,5:58,4,25,SFO 7,6,9,"Bradley Pinion punts 53 yards, out of bounds",-2.490,-1.600
3,5:50,1,10,IND 40,6,9,Jacoby Brissett pass complete short right to Brandon Williams for 6 yards (tackle by Ray-Ray Armstrong and Aaron Lynch),1.600,1.860
3,5:11,2,4,IND 46,6,9,"Jacoby Brissett pass complete short right to Kamar Aiken for 13 yards. Penalty on Darrell Daniels: Illegal Formation, 5 yards (no play)",1.860,1.190
3,4:48,2,9,IND 41,6,9,Jacoby Brissett pass complete short left to Frank Gore for 26 yards (tackle by Xavier Cooper and K'Waun Williams),1.190,3.380
3,4:02,1,10,SFO 33,6,9,Marlon Mack right end for 11 yards (tackle by Lorenzo Jerome),3.380,4.110
3,3:26,1,10,SFO 22,6,15,"Marlon Mack right tackle for 22 yards, touchdown",4.110,7.000
3,3:17,,,SFO 15,6,16,Adam Vinatieri kicks extra point good,0.000,0.000
3,3:17,,,IND 35,6,16,"Rigoberto Sanchez kicks off 60 yards, muffed catch by Victor Bolden, recovered by Victor Bolden and returned for no gain",0.000,0.380
3,3:12,1,10,SFO 9,6,16,Matt Breida middle for 14 yards (tackle by Malik Hooker),-0.380,0.480
3,2:48,1,10,SFO 23,6,16,Brian Hoyer pass complete short left to Marquise Goodwin for 13 yards (tackle by Vontae Davis),0.480,1.330
3,2:16,1,10,SFO 36,6,16,Matt Breida for 13 yards (tackle by Malik Hooker),1.330,2.190
3,1:58,1,10,SFO 49,6,16,Raheem Mostert right end for 3 yards (tackle by Antonio Morrison),2.190,2.050
3,1:21,2,7,IND 48,6,16,Brian Hoyer pass complete short left to Kyle Juszczyk for 8 yards (tackle by John Simon),2.050,2.920
3,0:54,1,10,IND 40,6,16,Brian Hoyer pass complete short left to Garrett Celek for 6 yards (tackle by Jonathan Bostic),2.920,3.180
3,0:21,2,4,IND 34,6,16,Brian Hoyer pass incomplete short right intended for Pierre Garcon,3.180,2.480
3,0:17,3,4,IND 34,6,16,Brian Hoyer pass complete short right to Matt Breida for 5 yards (tackle by Jeremiah George),2.480,3.640
Quarter,Time,Down,ToGo,Location,SFO,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,IND 29,6,16,Matt Breida middle for 3 yards (tackle by Henry Anderson),3.640,3.510
4,14:28,2,7,IND 26,6,16,Matt Breida right end for 4 yards (tackle by Antonio Morrison),3.510,3.340
4,13:48,3,3,IND 22,6,16,Brian Hoyer pass incomplete short left intended for Pierre Garcon,3.340,2.090
4,13:44,4,3,IND 22,9,16,Robbie Gould 40 yard field goal good,2.090,3.000
4,13:39,,,SFO 35,9,16,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
4,13:39,1,10,IND 25,9,16,Jacoby Brissett pass complete deep middle to T.Y. Hilton for 63 yards (tackle by Jimmie Ward),0.610,4.780
4,12:48,1,10,SFO 12,9,16,"Frank Gore for 1 yard (tackle by Brock Coyle). Penalty on Donte Moncrief: Offensive Holding, 10 yards (no play)",4.780,4.110
4,12:24,1,20,SFO 22,9,16,Marlon Mack left tackle for 2 yards (tackle by Aaron Lynch),4.110,3.140
4,11:45,2,18,SFO 20,9,16,Jacoby Brissett right end for 3 yards (tackle by Brock Coyle),3.140,2.840
4,11:03,3,15,SFO 17,9,16,Marlon Mack right end for 16 yards (tackle by Jimmie Ward and Jaquiski Tartt),2.840,6.970
4,10:44,1,1,SFO 1,9,16,Robert Turbin right tackle for -2 yards (tackle by D.J. Jones and Arik Armstead),6.970,5.530
4,10:01,2,3,SFO 3,9,22,"Jacoby Brissett left tackle for 3 yards, touchdown",5.530,7.000
4,9:56,,,SFO 15,9,23,Adam Vinatieri kicks extra point good,0.000,0.000
4,9:56,,,IND 35,9,23,"Rigoberto Sanchez kicks off 68 yards, returned by Victor Bolden for 24 yards (tackle by Matthias Farley)",0.000,-0.340
4,9:51,1,10,SFO 21,9,23,Brian Hoyer pass complete deep middle to Marquise Goodwin for 20 yards (tackle by Jonathan Bostic),0.340,1.660
4,9:22,1,10,SFO 41,9,23,Brian Hoyer pass complete deep middle to Marquise Goodwin for 51 yards (tackle by Matthias Farley). Penalty on Grover Stewart: Illegal Use of Hands (Declined),1.660,5.370
4,8:50,1,8,IND 8,9,23,Matt Breida middle for 2 yards (tackle by Hassan Ridgeway and Jabaal Sheard),5.370,4.950
4,8:08,2,6,IND 6,9,23,Brian Hoyer pass incomplete short left intended for Marquise Goodwin,4.950,4.040
4,8:04,3,6,IND 6,15,23,"Brian Hoyer pass complete short middle to Kyle Juszczyk for 6 yards, touchdown",4.040,7.000
4,8:00,,,IND 15,16,23,Robbie Gould kicks extra point good,0.000,0.000
4,8:00,,,SFO 35,16,23,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
4,8:00,1,10,IND 25,16,23,Jacoby Brissett pass complete short middle to T.Y. Hilton for 10 yards (tackle by Dontae Johnson),0.610,1.270
4,7:22,1,10,IND 35,16,23,"Penalty on Frank Gore: False Start, 5 yards (no play)",1.270,0.940
4,7:07,1,15,IND 30,16,23,Jacoby Brissett middle for 5 yards (tackle by Arik Armstead),0.940,0.720
4,6:24,2,10,IND 35,16,23,Jacoby Brissett middle for 3 yards (tackle by NaVorro Bowman),0.720,0.430
4,5:44,3,7,IND 38,16,23,Jacoby Brissett pass incomplete deep right intended for Kamar Aiken,0.430,-0.850
4,5:37,4,7,IND 38,16,23,"Rigoberto Sanchez punts 51 yards, fair catch by Trent Taylor",-0.850,0.370
4,5:29,1,10,SFO 11,16,23,Brian Hoyer pass complete deep left to George Kittle for 27 yards (tackle by Vontae Davis),-0.370,1.470
4,5:09,1,10,SFO 38,16,23,Brian Hoyer pass incomplete deep left intended for Pierre Garcon (defended by Rashaan Melvin),1.470,0.920
4,5:03,2,10,SFO 38,16,23,Brian Hoyer pass incomplete short left intended for George Kittle,0.920,0.230
4,4:58,3,10,SFO 38,16,23,Brian Hoyer pass complete short middle to Pierre Garcon for 13 yards (tackle by Darius Butler),0.230,2.320
4,4:32,1,10,IND 49,16,23,Brian Hoyer pass complete short middle to Carlos Hyde for 7 yards (tackle by Jonathan Bostic and Jeremiah George),2.320,2.730
4,4:11,2,3,IND 42,16,23,Carlos Hyde right tackle for 2 yards (tackle by John Simon),2.730,2.280
4,3:34,3,1,IND 40,16,23,Carlos Hyde middle for no gain (tackle by Margus Hunt and John Simon),2.280,0.000
4,2:47,,,,,,Timeout #1 by San Francisco 49ers,0.000,-0.590
4,2:47,4,1,IND 40,16,23,Brian Hoyer pass complete deep right to George Kittle for 19 yards (tackle by Vontae Davis),0.590,4.170
4,2:09,1,10,IND 21,16,23,Brian Hoyer pass incomplete short right intended for Matt Breida,4.170,3.630
4,2:05,2,10,IND 21,16,23,Brian Hoyer pass complete short middle to George Kittle for 19 yards (tackle by Malik Hooker),3.630,6.740
4,1:59,1,2,IND 2,16,23,Carlos Hyde middle for -1 yards (tackle by Jonathan Bostic and Rashaan Melvin),6.740,5.530
4,1:19,2,3,IND 3,16,23,"Penalty on Trenton Brown: False Start, 5 yards (no play)",5.530,4.570
4,1:19,2,8,IND 8,16,23,Brian Hoyer pass incomplete short left intended for Marquise Goodwin,4.570,3.580
4,1:15,3,8,IND 8,16,23,Brian Hoyer pass complete short right to George Kittle for 3 yards (tackle by Jonathan Bostic),3.580,0.000
4,0:24,,,,,,Timeout #2 by San Francisco 49ers,0.000,0.000
4,0:24,,,,,,Timeout #2 by Indianapolis Colts,0.000,-3.010
4,0:24,4,5,IND 5,22,23,"Brian Hoyer pass complete short middle to George Kittle for 5 yards, touchdown",3.010,7.000
4,0:20,,,IND 15,23,23,Robbie Gould kicks extra point good,0.000,0.000
4,0:20,,,SFO 35,23,23,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
4,0:20,1,10,IND 25,23,23,Jacoby Brissett kneels for -1 yards,0.610,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,SFO,IND,Detail,EPB,EPA
,,,,,,,"Colts won the coin toss, Colts to receive the overtime kickoff.",,
OT,10:00,,,SFO 35,23,23,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
OT,10:00,1,10,IND 25,23,23,Jacoby Brissett right tackle for 1 yard (tackle by Ray-Ray Armstrong),0.610,0.200
OT,9:18,2,9,IND 26,23,23,Frank Gore middle for no gain (tackle by Earl Mitchell),0.200,-0.490
OT,8:35,3,9,IND 26,23,23,"Jacoby Brissett pass incomplete deep left intended for T.Y. Hilton. Penalty on Rashard Robinson: Defensive Holding, 5 yards (no play)",-0.490,1.000
OT,8:29,1,10,IND 31,23,23,Marlon Mack right tackle for -1 yards (tackle by Dontae Johnson),1.000,0.320
OT,7:55,2,11,IND 30,23,23,Jacoby Brissett middle for 1 yard (tackle by Ray-Ray Armstrong),0.320,-0.230
OT,7:07,3,10,IND 31,23,23,Jacoby Brissett pass complete short left to Donte Moncrief for 15 yards,-0.230,1.990
OT,6:37,1,10,IND 46,23,23,Jacoby Brissett pass complete deep right to T.Y. Hilton for 46 yards (tackle by Dontae Johnson),1.990,0.000
OT,5:44,,,,,,Timeout #1 by Indianapolis Colts,0.000,-5.370
OT,5:44,1,8,SFO 8,23,23,Jacoby Brissett pass incomplete short middle intended for Darrell Daniels is intercepted by Ray-Ray Armstrong at SFO--1 and returned for 29 yards,5.370,-0.810
OT,5:34,1,10,SFO 28,23,23,Matt Breida right tackle for no gain (tackle by Johnathan Hankins),0.810,0.260
OT,4:57,2,10,SFO 28,23,23,Brian Hoyer pass incomplete short left intended for Trent Taylor,0.260,-0.430
OT,4:52,3,10,SFO 28,23,23,"Brian Hoyer pass incomplete deep left intended for George Kittle. Penalty on Pierre Desir: Defensive Pass Interference, 22 yards (no play)",-0.430,2.260
OT,4:45,1,10,,23,23,Brian Hoyer pass incomplete short left intended for Kyle Juszczyk (defended by Johnathan Hankins),2.260,1.710
OT,4:41,2,10,,23,23,"Carlos Hyde middle for 4 yards (tackle by John Simon and Al Woods). Penalty on Laken Tomlinson: Offensive Holding, 10 yards (no play)",1.710,0.360
OT,4:35,2,20,SFO 40,23,23,Brian Hoyer pass complete short left to Aldrick Robinson for 5 yards (tackle by Darius Butler and Vontae Davis),0.360,0.370
OT,3:51,3,15,SFO 45,23,23,Brian Hoyer pass incomplete short left intended for Matt Breida,0.370,-0.390
OT,3:45,4,15,SFO 45,23,23,"Bradley Pinion punts 37 yards, fair catch by Quan Bray",-0.390,-0.040
OT,3:39,1,10,IND 18,23,23,Jacoby Brissett pass incomplete short left intended for Kamar Aiken,0.040,-0.490
OT,3:34,2,10,IND 18,23,23,Jacoby Brissett pass complete short middle to Brandon Williams for 6 yards (tackle by Jaquiski Tartt and NaVorro Bowman),-0.490,-0.400
OT,2:55,3,4,IND 24,23,23,Jacoby Brissett pass complete short left to Donte Moncrief for 7 yards (tackle by Dontae Johnson),-0.400,1.000
OT,2:17,1,10,IND 31,23,23,Marlon Mack right end for 35 yards (tackle by NaVorro Bowman),1.000,3.310
OT,2:00,1,10,SFO 34,23,23,Frank Gore middle for no gain (tackle by D.J. Jones and Arik Armstead),3.310,0.000
OT,1:54,,,,,,Timeout #1 by San Francisco 49ers,0.000,-2.770
OT,1:54,2,10,SFO 34,23,23,Jacoby Brissett pass incomplete deep right intended for Darrell Daniels (defended by Rashard Robinson),2.770,2.080
OT,1:47,3,10,SFO 34,23,23,Robert Turbin middle for 1 yard (tackle by Jaquiski Tartt),2.080,0.000
OT,1:43,,,,,,Timeout #2 by San Francisco 49ers,0.000,-1.150
OT,1:43,4,9,SFO 33,23,26,Adam Vinatieri 51 yard field goal good,1.150,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
