Quarter,Time,Down,ToGo,Location,TEN,STL,Detail,EPB,EPA
2,4:10,2,10,TEN 41,7,7,Chris Johnson right tackle for -2 yards (tackle by Kendall Langford),1.120,0.170
2,3:34,3,12,TEN 39,7,7,Jake Locker sacked by Kendall Langford for -7 yards,0.170,-1.240
2,3:02,4,19,TEN 32,7,7,"Brett Kern punts 42 yards, returned by Tavon Austin for 14 yards (tackle by Beau Brinkley)",-1.240,-1.600
2,2:52,1,10,STL 40,7,7,Zac Stacy right end for 6 yards (tackle by Zach Brown),1.600,1.860
2,2:16,2,4,STL 46,7,7,Zac Stacy up the middle for 5 yards (tackle by Jurrell Casey),1.860,2.320
2,2:00,1,10,TEN 49,7,7,Kellen Clemens pass incomplete short left intended for Jared Cook,2.320,1.780
2,1:56,2,10,TEN 49,7,7,Zac Stacy up the middle for 6 yards (tackle by Ropati Pitoitua),1.780,1.780
2,1:27,2,10,TEN 49,7,7,Timeout #1 by St. Louis Rams,1.780,1.880
2,1:27,3,4,TEN 43,7,7,Kellen Clemens pass incomplete short right intended for Chris Givens (defended by Jason McCourty),1.880,0.400
2,1:24,4,4,TEN 43,7,7,Penalty on Johnny Hekker: Delay of Game (Declined),0.400,0.400
2,1:24,4,4,TEN 43,7,7,"Johnny Hekker punts 31 yards, out of bounds",0.400,0.350
2,1:17,1,10,TEN 12,7,7,Jake Locker pass complete short right to Chris Johnson for 10 yards (tackle by Cortland Finnegan),-0.350,0.410
2,1:17,1,10,TEN 22,7,7,Jake Locker pass incomplete short right intended for Chris Johnson (defended by Eugene Sims),0.410,-0.130
2,0:49,2,10,TEN 22,7,7,Jake Locker pass incomplete short left intended for Kenny Britt is intercepted by Cortland Finnegan at TEN-27 and returned for 1 yard (tackle by Kenny Britt),-0.130,-3.840
2,0:44,1,10,TEN 26,7,7,Kellen Clemens pass incomplete short right intended for Zac Stacy,3.840,3.300
2,0:40,2,10,TEN 26,7,7,Kellen Clemens pass incomplete short right intended for Chris Givens,3.300,2.610
2,0:34,3,10,TEN 26,7,7,Kellen Clemens pass incomplete short right intended for Jared Cook (defended by Bernard Pollard),2.610,1.740
2,0:30,4,10,TEN 26,7,7,Greg Zuerlein 44 yard field goal no good,1.740,-1.200
2,0:26,1,10,TEN 34,7,7,Jake Locker pass complete short left to Chris Johnson for 2 yards (tackle by Alec Ogletree),1.200,1.200
2,0:19,1,10,TEN 34,7,7,Timeout #1 by Tennessee Titans,1.200,0.930
2,0:19,2,8,TEN 36,7,7,Jake Locker pass incomplete short right intended for Nate Washington,0.930,0.230
2,0:15,3,8,TEN 36,7,7,Chris Johnson right tackle for 11 yards (tackle by Trumaine Johnson),0.230,0.230
2,0:09,3,8,TEN 36,7,7,Timeout #2 by Tennessee Titans,0.230,2.060
2,0:09,1,10,TEN 47,7,7,Jake Locker left end for 6 yards (tackle by Robert Quinn),2.060,2.060
2,0:01,1,10,TEN 47,7,7,Timeout #2 by St. Louis Rams,2.060,2.330
2,0:01,2,4,STL 47,7,7,Jake Locker sacked by Kendall Langford for -4 yards,2.330,1.090
Quarter,Time,Down,ToGo,Location,TEN,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,7,7,"Rob Bironas kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,STL 20,7,7,Zac Stacy left tackle for 2 yards (tackle by Ropati Pitoitua),0.280,0.000
3,14:30,2,8,STL 22,7,7,Zac Stacy up the middle for 3 yards (tackle by Ropati Pitoitua),0.000,-0.300
3,13:50,3,5,STL 25,7,7,Kellen Clemens pass complete short middle to Zac Stacy for 12 yards (tackle by Bernard Pollard),-0.300,1.400
3,13:17,1,10,STL 37,7,7,Benny Cunningham right tackle for 3 yards (tackle by Antonio Johnson),1.400,1.260
3,12:35,2,7,STL 40,7,7,Kellen Clemens pass complete short right to Chris Givens for 7 yards (tackle by Jason McCourty),1.260,2.060
3,11:50,1,10,STL 47,7,7,Kellen Clemens pass complete deep right to Brian Quick for 20 yards (tackle by Alterraun Verner),2.060,3.380
3,11:13,1,10,TEN 33,7,7,Zac Stacy left end for 2 yards (tackle by Colin McCarthy),3.380,3.110
3,10:31,2,8,TEN 31,7,7,Kellen Clemens pass complete short right to Chris Givens for 14 yards (tackle by Jason McCourty),3.110,4.440
3,9:56,1,10,TEN 17,7,7,Zac Stacy left guard for 8 yards (tackle by Mike Martin),4.440,5.290
3,9:14,2,2,TEN 9,7,13,"Zac Stacy left guard for 9 yards, touchdown",5.290,7.000
3,9:14,,,TEN 2,7,14,Greg Zuerlein kicks extra point good,0.000,0.000
3,9:14,,,STL 35,7,14,"Greg Zuerlein kicks off 72 yards, returned by Damian Williams for 37 yards (tackle by Stedman Bailey)",0.000,-0.940
3,9:02,1,10,TEN 30,7,14,Chris Johnson up the middle for no gain (tackle by Jo-Lonn Dunbar),0.940,0.390
3,8:33,2,10,TEN 30,7,14,Chris Johnson left end for 9 yards (tackle by Alec Ogletree),0.390,0.890
3,7:53,3,1,TEN 39,7,14,Shonn Greene left tackle for 2 yards (tackle by Chris Long),0.890,1.660
3,7:06,1,10,TEN 41,7,14,Jake Locker pass complete short right to Kendall Wright for 18 yards (tackle by Rodney McLeod),1.660,2.850
3,6:31,1,10,STL 41,7,14,Chris Johnson left end for 1 yard (tackle by James Laurinaitis),2.850,2.440
3,5:54,2,9,STL 40,7,14,Jake Locker pass complete short left to Collin Mooney for 22 yards (tackle by Alec Ogletree),2.440,4.370
3,5:33,1,10,STL 18,7,14,Chris Johnson for 4 yards (tackle by James Laurinaitis),4.370,4.430
3,5:04,2,6,STL 14,13,14,"Chris Johnson right tackle for 14 yards, touchdown",4.430,7.000
3,5:04,,,STL 2,14,14,Rob Bironas kicks extra point good,0.000,0.000
3,5:04,,,TEN 35,14,14,"Rob Bironas kicks off 65 yards, touchback",0.000,-0.280
3,4:58,1,10,STL 20,14,14,"Penalty on Chris Williams: False Start, 5 yards (no play)",0.280,-0.310
3,4:58,1,15,STL 15,14,14,Kellen Clemens pass incomplete short left intended for Chris Givens,-0.310,-1.070
3,4:54,2,15,STL 15,14,14,Kellen Clemens pass complete short middle to Zac Stacy for 4 yards (tackle by Sammie Lee Hill),-1.070,-1.140
3,4:12,3,11,STL 19,14,14,Kellen Clemens pass complete short right to Lance Kendricks for 2 yards (tackle by Coty Sensabaugh),-1.140,-1.960
3,3:36,4,9,STL 21,14,14,"Johnny Hekker punts 53 yards, fair catch by Damian Williams",-1.960,-0.670
3,3:28,1,10,TEN 26,14,14,Shonn Greene up the middle for 15 yards (tackle by Rodney McLeod),0.670,1.660
3,2:59,1,10,TEN 41,14,14,Shonn Greene up the middle for 4 yards (tackle by Alec Ogletree),1.660,1.660
3,2:23,2,6,TEN 45,14,14,Shonn Greene right guard for no gain (tackle by James Laurinaitis),1.660,0.960
3,1:39,3,6,TEN 45,14,14,Jake Locker pass incomplete short middle intended for Kendall Wright,0.960,-0.390
3,1:34,4,6,TEN 45,14,14,"Brett Kern punts 55 yards, touchback",-0.390,-0.280
3,1:25,1,10,STL 20,14,14,Zac Stacy up the middle for 5 yards (tackle by Ropati Pitoitua),0.280,0.410
3,0:48,2,5,STL 25,14,14,Zac Stacy right tackle for 1 yard (tackle by Zach Brown),0.410,-0.160
3,0:11,3,4,STL 26,14,14,Kellen Clemens pass incomplete short left intended for Chris Givens,-0.160,-1.630
3,0:03,4,4,STL 26,14,14,"Johnny Hekker punts 45 yards, out of bounds",-1.630,-0.870
Quarter,Time,Down,ToGo,Location,TEN,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TEN 29,14,14,Chris Johnson right tackle for 1 yard (tackle by Kendall Langford),0.870,0.460
4,14:25,2,9,TEN 30,14,14,Jake Locker pass complete short right to Chris Johnson for 8 yards (tackle by Cortland Finnegan),0.460,0.830
4,13:46,3,1,TEN 38,14,14,Jake Locker pass complete short right to Justin Hunter for 5 yards (tackle by James Laurinaitis),0.830,1.800
4,13:12,1,10,TEN 43,14,14,Shonn Greene left guard for 5 yards (tackle by William Hayes),1.800,1.930
4,12:35,2,5,TEN 48,14,14,Jake Locker pass incomplete deep right intended for Nate Washington,1.930,1.220
4,12:27,3,5,TEN 48,14,14,Jake Locker pass complete short left to Damian Williams for 20 yards (tackle by Janoris Jenkins),1.220,3.450
4,11:46,1,10,STL 32,14,14,Chris Johnson right tackle for 24 yards (tackle by Rodney McLeod),3.450,5.370
4,11:15,1,8,STL 8,14,14,Shonn Greene right tackle for 4 yards (tackle by Jermelle Cudjo and Robert Quinn),5.370,5.340
4,10:34,2,4,STL 4,14,14,Shonn Greene right tackle for -1 yards (tackle by Kendall Langford),5.340,4.260
4,9:47,3,5,STL 5,20,14,"Jake Locker up the middle for 5 yards, touchdown",4.260,7.000
4,9:47,,,STL 2,21,14,Rob Bironas kicks extra point good,0.000,0.000
4,9:47,,,TEN 35,21,14,"Rob Bironas kicks off 70 yards, returned by Tavon Austin for 25 yards (tackle by Taylor Thompson)",0.000,-0.280
4,9:36,1,10,STL 20,21,14,Kellen Clemens pass complete short middle to Chris Givens for 9 yards (tackle by Bernard Pollard),0.280,0.950
4,8:58,2,1,STL 29,21,14,"Zac Stacy left tackle for 32 yards (tackle by Jurrell Casey). Penalty on Jurrell Casey: Horse Collar Tackle, 15 yards",0.950,3.970
4,8:24,1,10,TEN 24,21,14,Benny Cunningham up the middle for 2 yards (tackle by Akeem Ayers),3.970,3.700
4,7:41,2,8,TEN 22,21,14,Kellen Clemens pass complete short middle to Jared Cook for 9 yards (tackle by Coty Sensabaugh),3.700,4.710
4,7:06,1,10,TEN 13,21,14,Zac Stacy up the middle for 3 yards (tackle by Colin McCarthy),4.710,4.580
4,6:26,2,7,TEN 10,21,14,Kellen Clemens pass incomplete short right intended for Lance Kendricks,4.580,3.650
4,6:20,3,7,TEN 10,21,20,"Kellen Clemens pass complete short middle to Jared Cook for 10 yards, touchdown",3.650,7.000
4,6:20,,,TEN 2,21,21,Greg Zuerlein kicks extra point good,0.000,0.000
4,6:20,,,STL 35,21,21,"Greg Zuerlein kicks off 73 yards, returned by Damian Williams for 22 yards (tackle by Darian Stewart)",0.000,0.280
4,6:10,1,10,TEN 14,21,21,Jake Locker pass complete short middle to Kendall Wright for 45 yards (tackle by Rodney McLeod),-0.280,2.850
4,5:27,1,10,STL 41,21,21,Chris Johnson up the middle for 1 yard (tackle by Kendall Langford),2.850,2.440
4,4:52,2,9,STL 40,21,21,Jake Locker pass incomplete deep middle intended for Nate Washington is intercepted by Rodney McLeod at STL-19 and returned for 2 yards (tackle by Nate Washington),2.440,-0.340
4,4:44,1,10,STL 21,21,21,Zac Stacy up the middle for no gain (tackle by Bernard Pollard),0.340,-0.200
4,4:03,2,10,STL 21,21,21,"Zac Stacy right end for no gain (tackle by Sammie Lee Hill). Penalty on Chris Williams: Tripping, 10 yards",-0.200,-1.510
4,3:52,2,20,STL 11,21,21,Kellen Clemens pass complete short middle to Zac Stacy for 13 yards (tackle by Colin McCarthy),-1.510,-0.490
4,3:05,3,7,STL 24,21,21,"Kellen Clemens sacked by Jurrell Casey for -7 yards. Kellen Clemens fumbles (forced by Jurrell Casey), recovered by Derrick Morgan at STL-19 (tackle by Jake Long)",-0.490,-4.310
4,2:59,1,10,STL 19,27,21,"Chris Johnson right end for 19 yards, touchdown",4.310,7.000
4,2:59,,,STL 2,28,21,Rob Bironas kicks extra point good,0.000,0.000
4,2:59,,,TEN 35,28,21,"Rob Bironas kicks off 65 yards, touchback",0.000,-0.280
4,2:54,1,10,STL 20,28,21,Kellen Clemens pass incomplete short left intended for Austin Pettis,0.280,-0.270
4,2:50,2,10,STL 20,28,21,Kellen Clemens pass incomplete short left intended for Tavon Austin,-0.270,-0.960
4,2:45,3,10,STL 20,28,21,Kellen Clemens pass incomplete short right intended for Jared Cook (defended by Akeem Ayers),-0.960,-2.030
4,2:37,4,10,STL 20,28,21,"Johnny Hekker punts 56 yards, muffed catch by Damian Williams, recovered by Damian Williams and returned for no gain. Penalty on Tommie Campbell: Illegal Block Above the Waist, 10 yards",-2.030,0.380
4,2:27,1,10,TEN 10,28,21,Chris Johnson right tackle for 4 yards (tackle by Michael Brockers),-0.380,-0.380
4,2:21,1,10,TEN 10,28,21,Timeout #1 by St. Louis Rams,-0.380,-0.460
4,2:21,2,6,TEN 14,28,21,Chris Johnson left tackle for 18 yards (tackle by Cortland Finnegan),-0.460,1.070
4,2:00,1,10,TEN 32,28,21,Chris Johnson left tackle for 2 yards (tackle by Michael Brockers),1.070,1.070
4,1:55,1,10,TEN 32,28,21,Timeout #2 by St. Louis Rams,1.070,0.800
4,1:55,2,8,TEN 34,28,21,Chris Johnson left guard for -2 yards (tackle by Michael Brockers),0.800,0.800
4,1:51,2,8,TEN 34,28,21,Timeout #3 by St. Louis Rams,0.800,-0.160
4,1:51,3,10,TEN 32,28,21,Chris Johnson right tackle for 3 yards (tackle by Alec Ogletree),-0.160,-0.160
4,1:05,3,10,TEN 32,28,21,Timeout #1 by Tennessee Titans,-0.160,-1.040
4,1:05,4,7,TEN 35,28,21,"Brett Kern punts 50 yards, returned by Tavon Austin for 24 yards (tackle by Zaviar Gooden)",-1.040,-1.530
4,0:50,1,10,STL 39,28,21,Kellen Clemens pass complete short left to Zac Stacy for 4 yards (tackle by Bernard Pollard),1.530,1.530
4,0:43,2,6,STL 43,28,21,Kellen Clemens pass complete deep middle to Chris Givens for 25 yards (tackle by Alterraun Verner),1.530,3.450
4,0:27,1,10,TEN 32,28,21,Kellen Clemens spiked the ball,3.450,2.900
4,0:26,2,10,TEN 32,28,21,Kellen Clemens pass complete short left to Zac Stacy for 6 yards (tackle by Bernard Pollard),2.900,3.010
4,0:21,3,4,TEN 26,28,21,Kellen Clemens pass incomplete deep left intended for Austin Pettis,3.010,1.810
4,0:16,4,4,TEN 26,28,21,Kellen Clemens pass incomplete deep right intended for Austin Pettis,1.810,-0.670
4,0:10,1,10,TEN 26,28,21,Jake Locker kneels for -1 yards,0.670,-0.010
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
