Quarter,Time,Down,ToGo,Location,MIN,ATL,Detail,EPB,EPA
2,10:19,4,7,MIN 25,0,7,"Chris Kluwe punts 51 yards, returned by Eric Weems for 8 yards (tackle by Ryan D'Imperio)",-1.700,-1.070
2,10:05,1,10,ATL 32,0,7,Michael Turner left tackle for 3 yards (tackle by Chad Greenway),1.070,0.930
2,9:33,2,7,ATL 35,0,7,Jacquizz Rodgers left guard for 8 yards (tackle by Mistral Raymond),0.930,1.800
2,8:54,1,10,ATL 43,0,7,Jason Snelling left guard for 3 yards (tackle by Chad Greenway),1.800,1.660
2,8:19,2,7,ATL 46,0,7,Matt Ryan pass complete short right to Roddy White for 8 yards (tackle by Chad Greenway and Mistral Raymond),1.660,2.520
2,7:36,1,10,MIN 46,0,7,Michael Turner left tackle for 2 yards (tackle by E.J. Henderson),2.520,2.250
2,7:30,2,8,MIN 44,0,7,"Penalty on Tyson Clabo: False Start, 5 yards (no play)",2.250,1.570
2,6:39,2,13,MIN 49,0,7,Matt Ryan pass complete short right to Tony Gonzalez for 9 yards (tackle by E.J. Henderson),1.570,2.080
2,5:54,3,4,MIN 40,0,7,Matt Ryan pass complete deep left to Harry Douglas for 18 yards (tackle by E.J. Henderson),2.080,4.110
2,5:23,1,10,MIN 22,0,7,Michael Turner left tackle for -2 yards (tackle by E.J. Henderson),4.110,3.290
2,4:44,2,12,MIN 24,0,7,Matt Ryan pass complete short middle to Tony Gonzalez for 18 yards (tackle by Jamarca Sanford),3.290,5.830
2,4:09,1,6,MIN 6,0,13,"Matt Ryan pass complete short right to Roddy White for 6 yards, touchdown",5.830,7.000
2,,,,MIN 2,0,14,Matt Bryant kicks extra point good,0.000,0.000
2,,,,ATL 35,0,14,"Matt Bosher kicks off 65 yards, returned by Marcus Sherels for 34 yards (tackle by Jason Snelling)",0.000,1.200
2,3:56,1,10,MIN 34,0,14,Percy Harvin right end for 2 yards (tackle by James Sanders and Curtis Lofton),1.200,0.930
2,3:22,2,8,MIN 36,0,14,Christian Ponder pass complete short right to Percy Harvin for -2 yards (tackle by Sean Weatherspoon),0.930,-0.030
2,3:17,3,10,MIN 34,0,14,"Penalty on Phil Loadholt: False Start, 5 yards (no play)",-0.030,-0.690
2,2:25,3,15,MIN 29,0,14,"Toby Gerhart right end for no gain (tackle by Sean Weatherspoon). Penalty on Christian Ponder: Illegal Motion (Declined), Penalty on Greg Camarillo: Illegal Formation (Declined)",-0.690,-1.440
2,2:16,,,,0,14,Timeout #1 by Atlanta Falcons,0.000,-1.440
2,2:16,4,15,MIN 29,0,14,"Chris Kluwe punts 49 yards, returned by Eric Weems for 42 yards (tackle by Jared Allen)",-1.440,-3.180
2,2:00,1,10,MIN 36,0,14,Michael Turner right end for 5 yards (tackle by Chad Greenway and Brian Robison),3.180,3.310
2,1:32,2,5,MIN 31,0,14,Matt Ryan pass complete short left to Tony Gonzalez for 7 yards (tackle by Marcus Sherels),3.310,3.970
2,1:07,1,10,MIN 24,0,14,"Matt Ryan sacked by Kevin Williams for -6 yards. Matt Ryan fumbles (forced by Kevin Williams), recovered by Matt Ryan at MIN-32",3.970,2.350
2,0:58,,,,0,14,Timeout #2 by Atlanta Falcons,0.000,2.350
2,0:58,2,18,MIN 32,0,14,Matt Ryan pass incomplete short middle intended for Harry Douglas,2.350,1.690
2,0:54,3,18,MIN 32,0,14,Matt Ryan pass complete short left to Roddy White for 13 yards (tackle by Chad Greenway),1.690,2.240
2,0:42,,,,0,14,Timeout #1 by Minnesota Vikings,0.000,2.240
2,0:42,4,5,MIN 19,0,17,Matt Bryant 37 yard field goal good,2.240,3.000
2,,,,ATL 35,0,17,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
2,0:37,1,10,MIN 20,0,17,Christian Ponder pass complete short middle to Percy Harvin for 19 yards (tackle by Thomas DeCoud),0.280,1.530
2,0:31,,,,0,17,Timeout #2 by Minnesota Vikings,0.000,1.530
2,0:26,1,10,MIN 39,0,17,"Christian Ponder pass complete short right to Devin Aromashodu for 12 yards (tackle by Christopher Owens). Penalty on Phil Loadholt: Offensive Holding, 10 yards (no play)",1.530,0.870
2,0:20,1,20,MIN 29,0,17,Christian Ponder pass complete deep right to Devin Aromashodu for 18 yards (tackle by James Sanders),0.870,2.070
2,0:12,,,,0,17,Timeout #3 by Minnesota Vikings,0.000,2.070
2,0:12,2,2,MIN 47,0,17,Christian Ponder pass complete short right to Visanthe Shiancoe for 4 yards,2.070,2.320
2,0:08,1,10,ATL 49,0,17,Christian Ponder pass incomplete deep middle intended for Devin Aromashodu (defended by Curtis Lofton),2.320,1.780
2,0:02,2,10,ATL 49,0,17,Christian Ponder pass complete short right to Michael Jenkins for 18 yards (tackle by Christopher Owens),1.780,1.140
Quarter,Time,Down,ToGo,Location,MIN,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,0,17,"Matt Bosher kicks off 63 yards, returned by Marcus Sherels for 15 yards (tackle by Mike Peterson)",0.000,-0.060
3,14:56,1,10,MIN 17,0,17,Christian Ponder pass incomplete short right intended for Devin Aromashodu,-0.060,-0.580
3,14:52,2,10,MIN 17,0,17,Toby Gerhart right end for 1 yard (tackle by James Sanders),-0.580,-1.130
3,14:13,3,9,MIN 18,0,17,Christian Ponder pass incomplete short right intended for Devin Aromashodu (defended by Stephen Nicholas),-1.130,-2.240
3,14:08,4,9,MIN 18,0,17,"Chris Kluwe punts 47 yards, returned by Eric Weems for 3 yards (tackle by Eric Frampton)",-2.240,-1.470
3,13:54,1,10,ATL 38,0,17,Michael Turner left end for no gain (tackle by E.J. Henderson),1.470,0.920
3,13:15,2,10,ATL 38,0,17,Jacquizz Rodgers left guard for 3 yards (tackle by Christian Ballard and E.J. Henderson),0.920,0.630
3,12:37,3,7,ATL 41,0,17,Matt Ryan pass complete short right to Tony Gonzalez for 6 yards (tackle by Chad Greenway),0.630,-0.260
3,11:59,4,1,ATL 47,0,17,"Matt Bosher punts 53 yards, touchback",-0.260,-0.280
3,11:51,1,10,MIN 20,0,17,Christian Ponder pass complete short left to Toby Gerhart for 8 yards (tackle by Stephen Nicholas and Curtis Lofton),0.280,0.810
3,11:14,2,2,MIN 28,0,17,Toby Gerhart up the middle for 12 yards (tackle by Thomas DeCoud),0.810,1.600
3,10:44,1,10,MIN 40,0,17,Toby Gerhart right end for no gain (tackle by Dominique Franks and Corey Peters),1.600,1.050
3,10:07,2,10,MIN 40,0,17,Christian Ponder pass complete short middle to Visanthe Shiancoe for 14 yards (tackle by James Sanders),1.050,2.520
3,9:29,1,10,ATL 46,0,17,Toby Gerhart left guard for 2 yards (tackle by Ray Edwards),2.520,2.250
3,8:53,2,8,ATL 44,0,17,Christian Ponder left end for 4 yards (tackle by Stephen Nicholas),2.250,2.080
3,8:22,3,4,ATL 40,0,17,Christian Ponder for 5 yards (tackle by James Sanders),2.080,3.250
3,7:58,1,10,ATL 35,0,17,Christian Ponder pass complete short right to Visanthe Shiancoe for 6 yards (tackle by Dominique Franks and Curtis Lofton),3.250,3.510
3,7:12,2,4,ATL 29,0,17,Percy Harvin left guard for 3 yards (tackle by Curtis Lofton and Sean Weatherspoon),3.510,3.200
3,6:31,3,1,ATL 26,0,17,Christian Ponder pass complete short right to Allen Reisner for 5 yards (tackle by John Abraham and Sean Weatherspoon),3.200,4.170
3,5:41,1,10,ATL 21,0,17,Christian Ponder sacked by Lawrence Sidbury for -13 yards,4.170,1.870
3,5:16,2,23,ATL 34,0,17,Christian Ponder pass complete short left to Percy Harvin for 13 yards (tackle by Dunta Robinson),1.870,2.940
3,4:42,3,10,ATL 21,0,17,Christian Ponder pass complete deep right to Percy Harvin for 20 yards (tackle by Christopher Owens),2.940,6.970
3,4:03,1,1,ATL 1,6,17,"Toby Gerhart right guard for 1 yard, touchdown",6.970,7.000
3,,,,ATL 2,7,17,Ryan Longwell kicks extra point good,0.000,0.000
3,,,,MIN 35,7,17,"Ryan Longwell kicks off 67 yards, returned by Eric Weems for 26 yards (tackle by Kenny Onatolu)",0.000,0.540
3,3:52,1,10,ATL 24,7,17,Michael Turner left tackle for 4 yards (tackle by Jared Allen),0.540,0.540
3,3:06,2,6,ATL 28,7,17,Matt Ryan pass complete short right to Roddy White for 9 yards (tackle by Cedric Griffin and Chad Greenway),0.540,1.400
3,2:30,1,10,ATL 37,7,17,Michael Turner right end for -4 yards (tackle by Letroy Guion),1.400,0.320
3,1:48,2,14,ATL 33,7,17,Matt Ryan pass complete short right to Michael Turner for 4 yards (tackle by Benny Sapp),0.320,0.170
3,1:08,3,10,ATL 37,7,17,Matt Ryan left tackle for 6 yards,0.170,-0.520
3,0:30,4,4,ATL 43,7,17,"Matt Bosher punts 57 yards, touchback",-0.520,-0.280
3,0:21,1,10,MIN 20,7,17,Christian Ponder sacked by Lawrence Sidbury for 0 yards,0.280,-0.270
Quarter,Time,Down,ToGo,Location,MIN,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,MIN 20,7,17,Toby Gerhart left tackle for 2 yards (tackle by Corey Peters),-0.270,-0.690
4,14:23,3,8,MIN 22,7,17,Christian Ponder pass incomplete short left intended for Visanthe Shiancoe,-0.690,-1.900
4,14:18,4,8,MIN 22,7,17,"Chris Kluwe punts 40 yards, muffed catch by Dominique Franks, recovered by Ryan D'Imperio and returned for no gain",-1.900,3.180
4,14:05,1,10,ATL 36,7,17,Christian Ponder pass incomplete short right intended for Michael Jenkins,3.180,2.640
4,14:00,2,10,ATL 36,7,17,"Penalty on Jim Kleinsasser: False Start, 5 yards (no play)",2.640,1.960
4,14:00,2,15,ATL 41,7,17,Percy Harvin up the middle for 2 yards (tackle by Sean Weatherspoon and Corey Peters),1.960,1.550
4,13:23,3,13,ATL 39,7,17,Christian Ponder pass incomplete short right intended for Toby Gerhart,1.550,0.660
,,,,,,,"ATL challenged the pass completion ruling, and the original play was overturned.",,
4,13:20,4,13,ATL 39,13,17,"Christian Ponder pass complete deep right to Percy Harvin for 39 yards, touchdown",0.660,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,,,,ATL 2,14,17,Ryan Longwell kicks extra point good,0.000,0.000
4,,,,MIN 35,14,17,"Ryan Longwell kicks off 65 yards, touchback",0.000,0.280
4,13:13,1,10,ATL 20,14,17,Matt Ryan pass incomplete short left intended for Michael Palmer,0.280,-0.270
4,13:09,2,10,ATL 20,14,17,Matt Ryan pass complete short middle to Roddy White for 6 yards (tackle by E.J. Henderson),-0.270,-0.160
4,12:30,3,4,ATL 26,14,17,Matt Ryan pass incomplete short right intended for Harry Douglas,-0.160,-1.630
4,12:11,4,4,ATL 26,14,17,"Matt Bosher punts 51 yards, returned by Marcus Sherels for -2 yards (tackle by Antone Smith)",-1.630,-0.340
4,12:05,1,10,MIN 21,14,17,Toby Gerhart left end for 5 yards (tackle by Thomas DeCoud and Curtis Lofton),0.340,0.480
4,11:34,2,5,MIN 26,14,17,Toby Gerhart right end for no gain (tackle by Corey Peters),0.480,-0.230
4,10:52,3,5,MIN 26,14,17,Christian Ponder pass incomplete short left intended for Devin Aromashodu (defended by Dunta Robinson),-0.230,-1.630
4,10:47,4,5,MIN 26,14,17,"Chris Kluwe punts 47 yards, fair catch by Eric Weems",-1.630,-0.740
4,10:39,1,10,ATL 27,14,17,Michael Turner left guard for 5 yards (tackle by Remi Ayodele and Chad Greenway),0.740,0.870
4,10:12,2,5,ATL 32,14,17,Matt Ryan pass complete short left to Tony Gonzalez for 6 yards (tackle by Mistral Raymond),0.870,1.470
4,9:41,1,10,ATL 38,14,17,Matt Ryan pass complete deep left to Roddy White for 26 yards (tackle by Jamarca Sanford),1.470,3.180
4,9:15,1,10,MIN 36,14,17,Michael Turner left end for 1 yard (tackle by Jared Allen),3.180,2.770
4,8:34,2,9,MIN 35,14,17,Matt Ryan pass complete short right to Tony Gonzalez for 5 yards (tackle by Marcus Sherels),2.770,2.740
4,8:03,3,4,MIN 30,14,17,Matt Ryan pass complete short right to Roddy White for 23 yards (tackle by Jamarca Sanford),2.740,5.600
4,7:34,1,7,MIN 7,14,17,Matt Ryan pass complete short right to Jason Snelling for 4 yards (tackle by Jamarca Sanford and Chad Greenway),5.600,5.530
4,6:48,2,3,MIN 3,14,17,Matt Ryan pass incomplete short right intended for Roddy White (defended by Benny Sapp),5.530,4.720
4,6:44,3,3,MIN 3,14,23,"Matt Ryan pass complete short left to Michael Palmer for 3 yards, touchdown",4.720,7.000
4,,,,MIN 2,14,24,Matt Bryant kicks extra point good,0.000,0.000
4,,,,ATL 35,14,24,"Matt Bosher kicks off 72 yards, returned by Percy Harvin for 104 yards (tackle by Christopher Owens)",0.000,6.510
4,6:28,,,,14,24,Timeout #1 by Minnesota Vikings,0.000,6.510
4,6:28,1,3,ATL 3,14,24,Christian Ponder sacked by Christopher Owens for -2 yards,6.510,5.150
4,5:45,2,5,ATL 5,14,24,Percy Harvin right guard for 3 yards (tackle by Thomas DeCoud),5.150,4.950
4,5:06,3,2,ATL 2,14,24,Percy Harvin up the middle for 1 yard (tackle by Curtis Lofton),4.950,3.550
4,4:22,4,1,ATL 1,14,24,Toby Gerhart up the middle for -2 yards (tackle by Sean Weatherspoon),3.550,0.380
4,4:16,1,10,ATL 3,14,24,Michael Turner left guard for -1 yards (tackle by E.J. Henderson and Benny Sapp),-0.380,-0.850
4,3:33,2,11,ATL 2,14,24,Matt Ryan pass complete short left to Jacquizz Rodgers for 3 yards (tackle by Chad Greenway and Cedric Griffin),-0.850,-1.190
4,3:19,,,,14,24,Timeout #2 by Minnesota Vikings,0.000,-1.190
4,3:19,3,8,ATL 5,14,24,Matt Ryan pass complete short middle to Jacquizz Rodgers for 9 yards (tackle by E.J. Henderson and Mistral Raymond),-1.190,-0.280
4,2:29,1,10,ATL 14,14,24,Michael Turner left end for 5 yards (tackle by Chad Greenway),-0.280,-0.040
4,2:22,,,,14,24,Timeout #3 by Minnesota Vikings,0.000,-0.040
4,2:02,2,5,ATL 19,14,24,Michael Turner left tackle for 1 yard (tackle by Jared Allen),-0.040,-0.680
4,2:00,3,4,ATL 20,14,24,Matt Ryan pass complete short left to Roddy White for 7 yards,-0.680,0.740
4,1:56,1,10,ATL 27,14,24,Matt Ryan kneels for -1 yards,0.740,0.060
4,1:14,2,11,ATL 26,14,24,Matt Ryan kneels for -1 yards,0.060,-0.760
4,0:35,3,12,ATL 25,14,24,Matt Ryan kneels for -1 yards,-0.760,-1.770
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
