Quarter,Time,Down,ToGo,Location,NYJ,DAL,Detail,EPB,EPA
2,9:45,1,10,DAL 24,6,3,"Bilal Powell right end for -2 yards (tackle by Brandon Carr). Penalty on Brian Winters: Offensive Holding, 10 yards (no play)",3.970,3.310
2,9:27,1,20,DAL 34,6,3,Ryan Fitzpatrick middle for 2 yards (tackle by Demarcus Lawrence),3.310,2.350
2,8:40,2,18,DAL 32,6,3,Ryan Fitzpatrick pass complete short right to Quincy Enunwa for 14 yards (tackle by Byron Jones),2.350,3.570
2,8:02,3,4,DAL 18,6,3,Ryan Fitzpatrick sacked by Tyrone Crawford for 0 yards,3.570,2.320
2,7:06,4,4,DAL 18,9,3,Randy Bullock 36 yard field goal good,2.320,3.000
2,7:06,,,NYJ 35,9,3,"Randy Bullock kicks off 70 yards, returned by Lucky Whitehead for 26 yards (tackle by Rontez Miles)",0.000,-0.340
2,6:56,1,10,DAL 21,9,3,Kellen Moore pass complete short left to Dez Bryant for 14 yards (tackle by Calvin Pryor),0.340,1.270
2,6:20,1,10,DAL 35,9,3,Darren McFadden right end for 5 yards (tackle by Erin Henderson),1.270,1.400
2,5:39,2,5,DAL 40,9,3,Darren McFadden right tackle for -2 yards (tackle by Leger Douzable),1.400,0.430
2,4:55,3,7,DAL 38,9,3,Kellen Moore pass incomplete deep right intended for Dez Bryant,0.430,-0.850
2,4:49,4,7,DAL 38,9,3,"Chris Jones punts 51 yards, out of bounds",-0.850,0.370
2,4:42,1,10,NYJ 11,9,3,Stevan Ridley right end for -2 yards (tackle by Anthony Hitchens),-0.370,-0.930
2,4:42,2,12,NYJ 9,9,3,"Penalty on Kellen Davis: False Start, 4 yards (no play)",-0.930,-1.220
2,3:41,2,16,NYJ 5,9,3,Ryan Fitzpatrick pass complete short left to Eric Decker for 9 yards (tackle by Anthony Hitchens),-1.220,-1.070
2,2:57,3,7,NYJ 14,9,3,"Ryan Fitzpatrick pass complete deep left to Quincy Enunwa for 34 yards (tackle by Brandon Carr). Penalty on Brian Winters: Illegal Use of Hands, 7 yards (no play)",-1.070,-1.890
2,2:25,3,14,NYJ 7,9,3,Ryan Fitzpatrick pass complete short middle to Bilal Powell for 6 yards (tackle by Sean Lee),-1.890,-2.490
2,2:00,4,8,NYJ 13,9,3,"Ryan Quigley punts 57 yards, returned by Lucky Whitehead for 15 yards (tackle by Bilal Powell)",-2.490,-1.930
2,1:47,1,10,DAL 45,9,3,"Kellen Moore pass complete short middle to Terrance Williams for 14 yards (tackle by Calvin Pace). Penalty on Calvin Pace: Horse Collar Tackle, 15 yards",1.930,3.840
2,1:37,1,10,NYJ 26,9,3,Kellen Moore pass incomplete short left intended for Cole Beasley,3.840,3.300
2,1:33,2,10,NYJ 26,9,3,Kellen Moore pass complete short left to Brice Butler for 16 yards (tackle by Demario Davis),3.300,4.910
2,1:25,1,10,NYJ 10,9,9,"Kellen Moore pass complete short left to Dez Bryant for 10 yards, touchdown",4.910,7.000
2,1:25,,,NYJ 10,9,10,Dan Bailey kicks extra point good,0.000,0.000
2,1:25,,,DAL 35,9,10,"Dan Bailey kicks off 68 yards, returned by Antonio Cromartie for 24 yards (tackle by Andrew Gachkar)",0.000,-0.340
2,1:11,1,10,NYJ 21,9,10,Ryan Fitzpatrick sacked by Demarcus Lawrence for 0 yards,0.340,-0.200
2,0:46,2,10,NYJ 21,9,10,Ryan Fitzpatrick pass complete short left to Bilal Powell for 19 yards (tackle by Barry Church),-0.200,1.600
2,0:40,1,10,NYJ 40,9,10,Ryan Fitzpatrick pass complete short left to Bilal Powell for 11 yards (tackle by Barry Church),1.600,1.600
2,0:32,1,10,NYJ 40,9,10,Timeout #1 by New York Jets,1.600,2.320
2,0:31,1,10,DAL 49,9,10,"Ryan Fitzpatrick pass incomplete deep left intended for Brandon Marshall. Penalty on Brandon Carr: Defensive Pass Interference, 19 yards (no play)",2.320,3.580
2,0:25,1,10,DAL 30,9,10,Ryan Fitzpatrick pass complete short left to Bilal Powell for 3 yards (tackle by Sean Lee),3.580,3.580
2,0:19,1,10,DAL 30,9,10,Timeout #2 by New York Jets,3.580,3.440
2,0:19,2,7,DAL 27,9,10,Ryan Fitzpatrick pass complete short left to Bilal Powell for 5 yards (tackle by Brandon Carr),3.440,3.400
2,0:13,3,2,DAL 22,9,10,Ryan Fitzpatrick pass incomplete deep right intended for Kenbrell Thompkins,3.400,2.120
2,0:13,4,2,DAL 22,9,10,"Randy Bullock 40 yard field goal good. Penalty on NYJ: Illegal Shift, 5 yards (no play)",2.120,1.670
2,0:13,4,7,DAL 27,9,10,Randy Bullock 45 yard field goal no good,1.670,1.200
Quarter,Time,Down,ToGo,Location,NYJ,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,9,10,"Dan Bailey kicks off 65 yards, returned by Antonio Cromartie for 15 yards (tackle by Jeff Heath)",0.000,-0.220
3,14:53,1,10,NYJ 15,9,10,Chris Ivory right tackle for 5 yards (tackle by Barry Church and Anthony Hitchens),-0.220,0.080
3,14:18,2,5,NYJ 20,9,10,Ryan Fitzpatrick pass complete short right to Kellen Davis for 9 yards (tackle by Anthony Hitchens),0.080,0.870
3,13:39,1,10,NYJ 29,9,10,Chris Ivory middle for 3 yards (tackle by Barry Church and Anthony Hitchens),0.870,0.730
3,12:55,2,7,NYJ 32,9,10,Ryan Fitzpatrick pass incomplete short right intended for Kellen Davis (defended by Sean Lee),0.730,0.040
3,12:51,3,7,NYJ 32,9,10,Ryan Fitzpatrick middle for 8 yards (tackle by Barry Church),0.040,1.600
3,12:12,1,10,NYJ 40,9,10,Chris Ivory middle for 6 yards (tackle by Terrance Mitchell),1.600,1.860
3,11:39,2,4,NYJ 46,9,10,Chris Ivory left tackle for 2 yards (tackle by Danny McCray),1.860,1.420
3,10:59,3,2,NYJ 48,9,10,Ryan Fitzpatrick pass complete short right to Eric Decker for 9 yards (tackle by Byron Jones),1.420,2.720
3,10:30,1,10,DAL 43,9,10,Ryan Fitzpatrick pass incomplete deep left intended for Eric Decker,2.720,2.180
3,10:22,2,10,DAL 43,9,10,Chris Ivory left end for 1 yard (tackle by Kyle Wilber),2.180,1.620
3,9:37,3,9,DAL 42,9,10,Ryan Fitzpatrick pass incomplete short middle intended for Kenbrell Thompkins,1.620,0.460
3,9:31,4,9,DAL 42,9,10,"Ryan Quigley punts 29 yards, returned by Cole Beasley for 5 yards (tackle by Lorenzo Mauldin)",0.460,-0.040
3,9:21,1,10,DAL 18,9,10,Darren McFadden left tackle for 11 yards (tackle by Erin Henderson),0.040,0.870
3,8:46,1,10,DAL 29,9,10,Darren McFadden left tackle for 4 yards (tackle by Damon Harrison),0.870,0.870
3,8:09,2,6,DAL 33,9,10,Kellen Moore pass complete short right to Jason Witten for 9 yards (tackle by Calvin Pryor),0.870,1.730
3,7:24,1,10,DAL 42,9,10,Kellen Moore pass complete short left to Dez Bryant for 15 yards (tackle by Darrelle Revis),1.730,2.720
3,6:42,1,10,NYJ 43,9,10,Darren McFadden left end for 33 yards (tackle by Calvin Pryor),2.720,4.910
3,6:07,1,10,NYJ 10,9,10,Darren McFadden middle for 4 yards (tackle by Damon Harrison),4.910,4.950
3,5:25,2,6,NYJ 6,9,10,Kellen Moore pass incomplete short middle intended for Dez Bryant is intercepted by Calvin Pryor at NYJ--7 and returned for 18 yards,4.950,0.370
3,5:14,1,10,NYJ 11,9,10,Bilal Powell middle for -1 yards (tackle by Demarcus Lawrence),-0.370,-0.850
3,4:36,2,11,NYJ 10,9,10,Ryan Fitzpatrick pass incomplete short right intended for Kenbrell Thompkins is intercepted by Terrance Mitchell at NYJ-19 and returned for -2 yards,-0.850,-4.170
3,4:26,1,10,NYJ 21,9,10,Robert Turbin middle for 2 yards (tackle by Damon Harrison and Muhammad Wilkerson),4.170,3.900
3,3:59,2,8,NYJ 19,9,10,Kellen Moore pass incomplete short left intended for Cole Beasley,3.900,3.180
3,3:54,3,8,NYJ 19,9,10,Kellen Moore pass incomplete short middle intended for Cole Beasley,3.180,2.180
3,3:49,4,8,NYJ 19,9,13,Dan Bailey 38 yard field goal good,2.180,3.000
3,3:49,,,DAL 35,9,13,"Dan Bailey kicks off 65 yards, touchback. Penalty on DAL: Offside on Free Kick, 5 yards",0.000,-0.610
3,3:44,1,10,NYJ 25,9,13,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 15 yards,0.610,1.600
3,3:20,1,10,NYJ 40,9,13,Ryan Fitzpatrick pass complete short right to Stevan Ridley for 3 yards (tackle by Byron Jones),1.600,1.460
3,2:49,2,7,NYJ 43,9,13,Stevan Ridley right end for no gain (tackle by Brandon Carr),1.460,0.760
3,2:04,3,7,NYJ 43,9,13,Ryan Fitzpatrick pass incomplete short right intended for Eric Decker,0.760,-0.520
3,1:58,4,7,NYJ 43,9,13,"Ryan Quigley punts 47 yards, returned by Lucky Whitehead for 3 yards (tackle by Jeff Cumberland)",-0.520,0.320
3,1:45,1,10,DAL 13,9,13,Darren McFadden right tackle for 3 yards (tackle by Demario Davis and Damon Harrison),-0.320,-0.440
3,1:06,2,7,DAL 16,9,13,Kellen Moore pass complete short left to Jason Witten for 6 yards (tackle by Demario Davis),-0.440,-0.350
3,0:26,3,1,DAL 22,9,13,Darren McFadden for 12 yards,-0.350,1.200
Quarter,Time,Down,ToGo,Location,NYJ,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DAL 34,9,13,Darren McFadden for 2 yards,1.200,0.930
4,14:27,2,8,DAL 36,9,13,Kellen Moore pass incomplete short left intended for Darren McFadden,0.930,0.230
4,14:21,3,8,DAL 36,9,13,Kellen Moore pass incomplete,0.230,-0.980
4,14:21,4,8,DAL 36,9,13,"Penalty on Andrew Gachkar: False Start, 5 yards (no play)",-0.980,-1.310
4,14:15,4,13,DAL 31,9,13,"Chris Jones punts 46 yards, returned by Jeremy Kerley for 7 yards",-1.310,-0.940
4,14:05,1,10,NYJ 30,9,13,Ryan Fitzpatrick pass complete short middle to Brandon Marshall for 14 yards (tackle by Brandon Carr),0.940,1.860
4,13:27,1,10,NYJ 44,9,13,Ryan Fitzpatrick pass complete short right to Eric Decker for 13 yards (tackle by Byron Jones),1.860,2.720
4,12:44,1,10,DAL 43,9,13,Ryan Fitzpatrick pass incomplete short left intended for Chris Ivory,2.720,2.180
4,12:38,2,10,DAL 43,9,13,Ryan Fitzpatrick pass complete deep middle to Brandon Marshall for 20 yards (tackle by Brandon Carr),2.180,4.040
4,11:58,1,10,DAL 23,9,13,Ryan Fitzpatrick pass complete short left to Quincy Enunwa for 1 yard (tackle by Sean Lee),4.040,3.630
4,11:17,2,9,DAL 22,9,13,"Chris Ivory right end for 9 yards (tackle by Anthony Hitchens). Penalty on Breno Giacomini: Offensive Holding, 10 yards (no play)",3.630,2.280
4,10:46,2,19,DAL 32,9,13,Ryan Fitzpatrick pass complete short left to Chris Ivory for 5 yards (tackle by Sean Lee and Greg Hardy),2.280,2.280
4,9:58,3,14,DAL 27,9,13,Ryan Fitzpatrick pass complete deep middle to Quincy Enunwa for 24 yards (tackle by J.J. Wilcox),2.280,6.510
4,9:06,1,3,DAL 3,9,13,Ryan Fitzpatrick pass incomplete short right intended for Eric Decker,6.510,5.530
4,9:01,2,3,DAL 3,15,13,"Ryan Fitzpatrick pass complete short left to Eric Decker for 3 yards, touchdown",5.530,7.000
4,9:01,,,DAL 3,16,13,Randy Bullock kicks extra point good,0.000,0.000
4,9:01,,,NYJ 35,16,13,"Randy Bullock kicks off 67 yards, returned by Lucky Whitehead for 19 yards (tackle by Trevor Reilly)",0.000,0.060
4,8:51,1,10,DAL 17,16,13,Kellen Moore pass complete short right to Jason Witten for 7 yards (tackle by Calvin Pryor),-0.060,0.480
4,8:11,2,3,DAL 24,16,13,Lucky Whitehead right end for -1 yards (tackle by Demario Davis),0.480,-0.490
4,7:34,3,4,DAL 23,16,13,Kellen Moore pass complete short middle to Cole Beasley for 23 yards (tackle by Buster Skrine),-0.490,1.990
4,6:55,1,10,DAL 46,16,13,"Robert Turbin middle for 4 yards (tackle by Damon Harrison and Erin Henderson). Penalty on Zack Martin: Offensive Holding, 10 yards (no play)",1.990,1.330
4,6:29,1,20,DAL 36,16,13,"Penalty on La'el Collins: False Start, 5 yards (no play)",1.330,1.000
4,6:14,1,25,DAL 31,16,13,Kellen Moore pass complete short right to Jason Witten for 12 yards (tackle by Erin Henderson),1.000,1.050
4,5:43,2,13,DAL 43,16,13,Kellen Moore sacked by Sheldon Richardson and Leonard Williams for 0 yards,1.050,0.370
4,4:57,3,13,DAL 43,16,13,Kellen Moore pass complete short left to Dez Bryant for 11 yards (tackle by Buster Skrine),0.370,0.200
4,4:13,4,2,NYJ 46,16,13,Kellen Moore pass complete short middle to Cole Beasley for 9 yards (tackle by Antonio Cromartie),0.200,3.120
4,3:33,1,10,NYJ 37,16,13,Robert Turbin left tackle for no gain (tackle by Erin Henderson),3.120,2.570
4,2:52,2,10,NYJ 37,16,13,Kellen Moore pass incomplete short left intended for Cole Beasley,2.570,1.880
4,2:47,3,10,NYJ 37,16,13,Kellen Moore pass complete short middle to Cole Beasley for 5 yards (tackle by Marcus Gilchrist),1.880,1.260
4,2:00,4,5,NYJ 32,16,16,Dan Bailey 50 yard field goal good,1.260,3.000
4,2:00,,,DAL 35,16,16,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
4,1:55,1,10,NYJ 20,16,16,Ryan Fitzpatrick pass complete short right to Bilal Powell for -1 yards (tackle by Demarcus Lawrence),0.280,-0.460
4,1:31,2,11,NYJ 19,16,16,Ryan Fitzpatrick pass complete short middle to Quincy Enunwa for 10 yards (tackle by Terrance Mitchell and Anthony Hitchens),-0.460,0.230
4,1:15,3,1,NYJ 29,16,16,Ryan Fitzpatrick middle for 2 yards (tackle by Greg Hardy),0.230,1.000
4,1:01,1,10,NYJ 31,16,16,Ryan Fitzpatrick pass complete deep right to Kenbrell Thompkins for 43 yards (tackle by Byron Jones),1.000,3.840
4,0:53,1,10,DAL 26,16,16,Bilal Powell right tackle for 1 yard (tackle by Demarcus Lawrence and Nick Hayden),3.840,3.840
4,0:49,1,10,DAL 26,16,16,Timeout #1 by Dallas Cowboys,3.840,3.430
4,0:49,2,9,DAL 25,16,16,Bilal Powell middle for 4 yards (tackle by Sean Lee and Barry Church),3.430,3.430
4,0:44,2,9,DAL 25,16,16,Timeout #2 by Dallas Cowboys,3.430,3.270
4,0:44,3,5,DAL 21,16,16,Bilal Powell left guard for -1 yards (tackle by Greg Hardy),3.270,3.270
4,0:41,3,5,DAL 21,16,16,Timeout #3 by Dallas Cowboys,3.270,2.020
4,0:41,4,6,DAL 22,19,16,Randy Bullock 40 yard field goal good,2.020,3.000
4,0:41,,,NYJ 35,19,16,"Randy Bullock kicks off 70 yards, returned by Lucky Whitehead for 29 yards (tackle by Ronald Martin)",0.000,-0.540
4,0:30,1,10,DAL 24,19,16,Kellen Moore pass complete short left to Darren McFadden for 8 yards (tackle by Marcus Williams),0.540,1.080
4,0:24,2,2,DAL 32,19,16,Kellen Moore pass incomplete deep middle intended for Dez Bryant is intercepted by Marcus Williams at NYJ-21 and returned for -2 yards,1.080,-0.150
4,0:11,1,10,NYJ 19,19,16,Ryan Fitzpatrick kneels for -1 yards,0.150,-0.560
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
