Quarter,Time,Down,ToGo,Location,LAR,MIN,Detail,EPB,EPA
3,9:01,3,4,MIN 20,7,7,Case Keenum pass complete short left to Jarius Wright for 23 yards (tackle by John Johnson),-0.680,1.800
3,8:24,1,10,MIN 43,7,7,Case Keenum pass incomplete short right intended for Stefon Diggs,1.800,0.000
3,8:15,,,,,,Timeout #1 by Minnesota Vikings,0.000,-1.250
3,8:15,2,10,MIN 43,7,7,Case Keenum pass complete short right to Michael Floyd for 8 yards (tackle by Trumaine Johnson),1.250,1.620
3,7:46,3,2,LAR 49,7,7,Case Keenum pass complete deep left to Adam Thielen for 25 yards,1.620,3.970
3,7:13,1,10,LAR 24,7,7,Case Keenum pass incomplete short right intended for Jerick McKinnon,3.970,3.430
3,7:09,2,10,LAR 24,7,7,Jerick McKinnon right guard for 2 yards (tackle by Alec Ogletree),3.430,3.010
3,6:25,3,8,LAR 22,7,7,Case Keenum pass incomplete short right intended for Jerick McKinnon,3.010,1.990
3,6:20,4,8,LAR 22,7,7,Kai Forbath 39 yard field goal no good,1.990,-0.870
3,6:17,1,10,LAR 29,7,7,Jared Goff pass incomplete deep left intended for Sammy Watkins,0.870,0.330
3,6:10,2,10,LAR 29,7,7,Todd Gurley middle for 2 yards (tackle by Shamar Stephen and Eric Kendricks),0.330,-0.100
3,5:30,3,8,LAR 31,7,7,Jared Goff pass incomplete short right intended for Robert Woods,-0.100,-1.310
3,5:24,4,8,LAR 31,7,7,"Johnny Hekker punts 40 yards, out of bounds",-1.310,-0.870
3,5:16,1,10,MIN 29,7,7,Latavius Murray right tackle for 25 yards (tackle by Robert Quinn),0.870,2.520
3,4:34,1,10,LAR 46,7,7,Case Keenum pass complete short right to David Morgan for 5 yards (tackle by Alec Ogletree),2.520,2.650
3,3:42,2,5,LAR 41,7,7,"Case Keenum pass incomplete deep right intended for Kyle Rudolph. Penalty on Alec Ogletree: Defensive Holding, 5 yards (no play)",2.650,3.180
3,3:37,1,10,LAR 36,7,7,Latavius Murray middle for 2 yards (tackle by Michael Brockers),3.180,2.910
3,3:02,2,8,LAR 34,7,7,Case Keenum pass complete short left to Michael Floyd for 8 yards (tackle by Dominique Hatfield),2.910,3.840
3,2:30,1,10,LAR 26,7,7,Jerick McKinnon middle for 6 yards (tackle by Alec Ogletree),3.840,4.110
3,1:53,2,4,LAR 20,7,7,Case Keenum pass complete short left to Jerick McKinnon for 8 yards (tackle by Alec Ogletree),4.110,4.780
3,1:08,1,10,LAR 12,7,7,Case Keenum pass complete short left to Adam Thielen for 6 yards (tackle by Lamarcus Joyner),4.780,5.210
3,0:30,2,4,LAR 6,7,7,Case Keenum pass incomplete short left intended for Adam Thielen,5.210,4.380
3,0:26,3,4,LAR 6,7,7,Case Keenum pass complete short right to Kyle Rudolph for 4 yards (tackle by Trumaine Johnson),4.380,6.740
Quarter,Time,Down,ToGo,Location,LAR,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,2,LAR 2,7,7,Latavius Murray left guard for no gain (tackle by Lamarcus Joyner),6.740,5.720
4,14:22,2,2,LAR 2,7,13,"Latavius Murray middle for 2 yards, touchdown",5.720,7.000
4,14:15,,,LAR 15,7,14,Kai Forbath kicks extra point good,0.000,0.000
4,14:15,,,MIN 35,7,14,"Kai Forbath kicks off 70 yards, returned by Pharoh Cooper for 34 yards (tackle by Jayron Kearse)",0.000,-0.870
4,14:10,1,10,LAR 29,7,14,Todd Gurley middle for 8 yards (tackle by Shamar Stephen),0.870,1.410
4,13:36,2,2,LAR 37,7,14,Jared Goff pass complete short left to Sammy Watkins for 14 yards (tackle by Anthony Harris),1.410,2.320
4,13:03,1,10,MIN 49,7,14,Jared Goff pass incomplete deep middle intended for Robert Woods (defended by Harrison Smith),2.320,1.780
4,12:56,2,10,MIN 49,7,14,Jared Goff pass incomplete short right intended for Tyler Higbee (defended by Harrison Smith),1.780,1.090
4,12:51,3,10,MIN 49,7,14,Jared Goff pass incomplete deep right intended for Cooper Kupp,1.090,0.000
4,12:45,4,10,MIN 49,7,14,Johnny Hekker punts 42 yards,0.000,0.380
4,12:37,1,10,MIN 7,7,14,Jerick McKinnon middle for 3 yards (tackle by Mark Barron),-0.380,-0.560
4,12:00,2,7,MIN 10,7,14,"Case Keenum pass incomplete short left intended for Laquon Treadwell (defended by Dominique Hatfield). Penalty on Aaron Donald: Roughing the Passer, 15 yards (no play)",-0.560,0.610
4,11:55,1,10,MIN 25,7,14,Jerick McKinnon left tackle for 6 yards (tackle by Alec Ogletree),0.610,0.870
4,11:14,2,4,MIN 31,7,14,Jerick McKinnon left tackle for 4 yards (tackle by Dominique Hatfield),0.870,1.270
4,10:31,1,10,MIN 35,7,14,Case Keenum pass incomplete short right intended for Kyle Rudolph,1.270,0.720
4,10:24,2,10,MIN 35,7,20,"Case Keenum pass complete short left to Adam Thielen for 65 yards, touchdown",0.720,7.000
4,10:14,,,LAR 15,7,21,Kai Forbath kicks extra point good,0.000,0.000
4,10:14,,,MIN 35,7,21,"Kai Forbath kicks off 70 yards, returned by Pharoh Cooper for 26 yards (tackle by Tramaine Brock)",0.000,-0.340
4,10:08,1,10,LAR 21,7,21,Jared Goff pass complete short left to Robert Woods for 9 yards (tackle by Harrison Smith),0.340,1.020
4,9:39,2,1,LAR 30,7,21,Todd Gurley right guard for no gain (tackle by Linval Joseph),1.020,0.300
4,8:58,3,1,LAR 30,7,21,Todd Gurley left end for -1 yards (tackle by Terence Newman),0.300,-1.440
4,8:25,4,2,LAR 29,7,21,"Johnny Hekker punts 56 yards, out of bounds",-1.440,0.220
4,8:18,1,10,MIN 15,7,21,"Latavius Murray left guard for 4 yards (tackle by Robert Quinn). Penalty on Tyrunn Walker: Defensive Offside, 5 yards (no play)",-0.220,0.680
4,7:51,1,5,MIN 20,7,21,Latavius Murray middle for 2 yards (tackle by Alec Ogletree),0.680,0.350
4,7:09,2,3,MIN 22,7,21,Case Keenum pass complete short left to Stefon Diggs for 5 yards (tackle by Samson Ebukam),0.350,0.740
4,6:24,1,10,MIN 27,7,21,"Latavius Murray left tackle for 34 yards (tackle by Lamarcus Joyner). Penalty on Adam Thielen: Illegal Block Above the Waist, 10 yards",0.740,2.320
4,5:50,1,10,LAR 49,7,21,Jerick McKinnon right guard for 2 yards (tackle by Trumaine Johnson),2.320,2.050
4,5:09,2,8,LAR 47,7,21,Jerick McKinnon right guard for 2 yards (tackle by Aaron Donald and Mark Barron),2.050,1.620
4,4:24,3,6,LAR 45,7,21,Case Keenum pass complete short right to Stefon Diggs for 8 yards (tackle by Trumaine Johnson),1.620,3.120
4,3:39,1,10,LAR 37,7,21,Latavius Murray left guard for 9 yards (tackle by Lamarcus Joyner). Penalty on Aaron Donald: Defensive Offside (Declined),3.120,3.790
4,3:27,2,1,LAR 28,7,21,C.J. Ham middle for 3 yards (tackle by Samson Ebukam),3.790,0.000
4,3:21,,,,,,Timeout #1 by Los Angeles Rams,0.000,-3.910
4,3:21,1,10,LAR 25,7,21,Jerick McKinnon right tackle for 3 yards (tackle by John Johnson),3.910,0.000
4,3:17,,,,,,Timeout #2 by Los Angeles Rams,0.000,-3.770
4,3:17,2,7,LAR 22,7,21,Jerick McKinnon left tackle for -1 yards (tackle by Ethan Westbrooks),3.770,0.000
4,3:13,,,,,,Timeout #3 by Los Angeles Rams,0.000,-2.940
4,3:13,3,8,LAR 23,7,21,Latavius Murray middle for 2 yards (tackle by Mark Barron and Ethan Westbrooks),2.940,0.000
4,2:27,,,,,,Timeout #2 by Minnesota Vikings,0.000,-2.080
4,2:27,4,6,LAR 21,7,24,Kai Forbath 39 yard field goal good,2.080,3.000
4,2:23,,,MIN 35,7,24,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
4,2:23,1,10,LAR 25,7,24,Jared Goff pass complete short right to Tyler Higbee for 5 yards (tackle by Emmanuel Lamur),0.610,0.740
4,2:19,2,5,LAR 30,7,24,Jared Goff pass complete short middle to Robert Woods for 15 yards (tackle by Harrison Smith),0.740,1.930
4,2:00,1,10,LAR 45,7,24,Jared Goff pass complete short left to Cooper Kupp for 6 yards (tackle by Tramaine Brock),1.930,2.190
4,1:41,2,4,MIN 49,7,24,Jared Goff pass complete short left to Cooper Kupp for 5 yards (tackle by Tramaine Brock),2.190,2.650
4,1:37,1,10,MIN 44,7,24,Jared Goff pass complete short right to Todd Gurley for 3 yards (tackle by Emmanuel Lamur),2.650,2.520
4,1:29,2,7,MIN 41,7,24,Jared Goff pass complete short right to Mike Thomas for 12 yards (tackle by Trae Waynes),2.520,3.640
4,1:09,1,10,MIN 29,7,24,Jared Goff pass incomplete short right intended for Gerald Everett,3.640,3.100
4,1:04,2,10,MIN 29,7,24,Jared Goff pass complete short right to Gerald Everett for 8 yards (tackle by Trae Waynes),3.100,3.470
4,0:45,3,2,MIN 21,7,24,Jared Goff pass complete short left to Cooper Kupp for 7 yards (tackle by Marcus Sherels),3.470,4.650
4,0:32,1,10,MIN 14,7,24,Jared Goff spiked the ball,4.650,4.000
4,0:31,2,10,MIN 14,7,24,Jared Goff pass incomplete short right intended for Pharoh Cooper,4.000,3.110
4,0:24,3,10,MIN 14,7,24,Jared Goff pass incomplete short left intended for Josh Reynolds (defended by Anthony Harris),3.110,2.510
4,0:19,4,10,MIN 14,7,24,Jared Goff sacked by Tashawn Bower for -7 yards,2.510,-0.340
4,0:10,1,10,MIN 21,7,24,Case Keenum kneels for -1 yards,0.340,-0.340
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
