Quarter,Time,Down,ToGo,Location,NWE,MIN,Detail,EPB,EPA
2,8:21,1,10,NWE 49,10,10,Rhamondre Stevenson left guard for 14 yards (tackle by Camryn Bynum),2.190,3.120
2,7:48,1,10,MIN 37,10,10,Rhamondre Stevenson left guard for 2 yards (tackle by Za'Darius Smith and Harrison Phillips),3.120,2.840
2,7:13,2,8,MIN 35,10,10,Mac Jones pass complete short right to Kendrick Bourne for 5 yards (tackle by Eric Kendricks and Chandon Sullivan),2.840,2.810
2,6:32,3,3,MIN 30,10,10,Mac Jones pass complete short right to Rhamondre Stevenson for 2 yards (tackle by Harrison Smith),2.810,1.720
2,5:47,4,1,MIN 28,13,10,Nick Folk 46 yard field goal good,1.720,3.000
2,5:41,,,NWE 35,13,10,"Nick Folk kicks off 65 yards, touchback.",0.000,0.610
2,5:41,1,10,MIN 25,13,10,Dalvin Cook left tackle for -2 yards (tackle by Jahlani Tavai),0.610,-0.210
2,5:12,2,12,MIN 23,13,10,Kirk Cousins pass incomplete short right intended for T.J. Hockenson,-0.210,-0.890
2,5:08,3,12,MIN 23,13,10,"Penalty on Matt Judon: Defensive Offside, 5 yards (accepted) (no play)",-0.890,-0.230
2,5:08,3,7,MIN 28,13,10,Kirk Cousins pass complete deep right to Justin Jefferson for 37 yards (tackle by Jonathan Jones),-0.230,3.250
2,4:24,1,10,NWE 35,13,10,Dalvin Cook up the middle for 4 yards (tackle by Matt Judon and Ja'Whaun Bentley),3.250,3.240
2,4:01,2,6,NWE 31,13,10,Kirk Cousins pass complete short right to Justin Jefferson for 17 yards (tackle by Kyle Dugger),3.240,4.650
2,3:30,1,10,NWE 14,13,10,Kirk Cousins pass complete short left to T.J. Hockenson for 10 yards (tackle by Devin McCourty and Jalen Mills),4.650,6.280
2,2:44,1,4,NWE 4,13,10,Dalvin Cook for 3 yards (tackle by Deatrich Wise and Devin McCourty),6.280,5.910
2,2:00,2,1,NWE 1,13,10,Dalvin Cook left guard for no gain (tackle by Davon Godchaux and Carl Davis),5.910,5.170
2,1:35,,,,,,Timeout #1 by New England Patriots,,
2,1:35,3,1,NWE 1,13,16,"Kirk Cousins pass complete short left to T.J. Hockenson for 1 yard, touchdown",5.170,7.000
2,1:30,,,NWE 15,13,16,Greg Joseph kicks extra point no good,0.000,-1.000
2,1:30,,,MIN 35,13,16,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
2,1:30,1,10,NWE 25,13,16,Mac Jones pass complete short left to Rhamondre Stevenson for 5 yards (tackle by Harrison Smith),0.610,0.740
2,1:06,2,5,NWE 30,13,16,Mac Jones pass complete short right to Hunter Henry for 22 yards (tackle by Eric Kendricks),0.740,2.390
2,0:55,,,,,,Timeout #2 by New England Patriots,,
2,0:55,1,10,MIN 48,13,16,Mac Jones pass complete to DeVante Parker for 16 yards (tackle by Duke Shelley),2.390,3.450
2,0:37,1,10,MIN 32,13,16,Mac Jones pass complete short left to DeVante Parker for 14 yards,3.450,4.370
2,0:30,1,10,MIN 18,13,16,Mac Jones sacked by Jordan Hicks for no gain,4.370,3.800
2,0:24,,,,,,Timeout #3 by New England Patriots,,
2,0:24,2,10,MIN 18,13,16,Mac Jones pass complete to Nelson Agholor for 13 yards (tackle by Jordan Hicks),3.800,6.060
2,0:10,1,5,MIN 5,13,16,Mac Jones spiked the ball,6.060,5.150
2,0:09,2,5,MIN 5,13,16,Mac Jones pass incomplete short right intended for Kendrick Bourne (defended by Duke Shelley),5.150,4.260
2,0:06,3,5,MIN 5,16,16,Nick Folk 23 yard field goal good,4.260,3.000
2,0:03,,,NWE 35,16,16,"Nick Folk kicks off 40 yards, returned by Johnny Mundt for no gain",0.000,0.610
2,0:02,1,10,MIN 25,16,16,Kirk Cousins kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,NWE,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,16,16,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NWE 25,16,16,Damien Harris up the middle for 2 yards (tackle by Harrison Phillips),0.610,0.330
3,14:25,2,8,NWE 27,16,16,Mac Jones pass complete short right to Rhamondre Stevenson for 7 yards (tackle by Patrick Peterson and Jordan Hicks),0.330,0.560
3,13:41,3,1,NWE 34,16,16,Mac Jones pass complete short right to DeVante Parker for 10 yards (tackle by Eric Kendricks and Duke Shelley),0.560,1.860
3,13:06,1,10,NWE 44,16,16,Damien Harris right guard for no gain (tackle by Jonathan Bullard),1.860,1.320
3,12:26,2,10,NWE 44,16,16,Mac Jones pass complete short left to Nelson Agholor for 6 yards (tackle by James Lynch and Eric Kendricks),1.320,1.420
3,11:47,3,4,NWE 50,16,16,Mac Jones pass complete short middle to Jakobi Meyers for 13 yards (tackle by Harrison Smith),1.420,3.120
3,11:11,1,10,MIN 37,16,16,Mac Jones pass incomplete short middle,3.120,2.570
3,11:03,2,10,MIN 37,22,16,"Mac Jones pass complete short middle to Hunter Henry for 37 yards, touchdown",2.570,7.000
3,10:54,,,MIN 15,23,16,Nick Folk kicks extra point good,0.000,0.000
3,10:54,,,NWE 35,23,22,"Nick Folk kicks off 62 yards, returned by Kene Nwangwu for 97 yards, touchdown",0.000,7.000
3,10:41,,,NWE 15,23,23,Greg Joseph kicks extra point good,0.000,0.000
3,10:41,,,MIN 35,23,23,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,10:41,1,10,NWE 25,23,23,Mac Jones pass complete short left to Rhamondre Stevenson for 11 yards (tackle by Jordan Hicks),0.610,1.330
3,10:09,1,10,NWE 36,23,23,Mac Jones pass complete short left to Nelson Agholor for 6 yards (tackle by Duke Shelley),1.330,1.600
3,9:43,2,4,NWE 42,23,23,Rhamondre Stevenson right tackle for 8 yards (tackle by Harrison Phillips and Camryn Bynum),1.600,2.260
3,9:02,1,10,MIN 50,23,23,Rhamondre Stevenson left guard for 3 yards (tackle by Danielle Hunter),2.260,2.120
3,8:21,2,7,MIN 47,23,23,Mac Jones pass complete deep left to DeVante Parker for 40 yards (tackle by Duke Shelley),2.120,5.600
3,7:32,1,7,MIN 7,23,23,Mac Jones pass incomplete short left,5.600,4.760
3,7:29,2,7,MIN 7,23,23,Rhamondre Stevenson right end for 1 yard (tackle by Camryn Bynum and Patrick Peterson),4.760,4.040
3,6:50,3,6,MIN 6,23,23,"Mac Jones pass complete to Hunter Henry for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Mac Jones pass incomplete short left intended for Hunter Henry (defended by Chandon Sullivan)",4.040,2.990
3,6:46,4,6,MIN 6,26,23,Nick Folk 25 yard field goal good,2.990,3.000
3,6:43,,,NWE 35,26,23,"Nick Folk kicks off 67 yards, returned by Kene Nwangwu for 19 yards (tackle by Mack Wilson)",0.000,-0.060
3,6:38,1,10,MIN 17,26,23,Kirk Cousins pass complete short right to Justin Jefferson for 6 yards (tackle by Ja'Whaun Bentley and Jabrill Peppers),-0.060,0.350
3,6:01,2,4,MIN 23,26,23,Dalvin Cook up the middle for 2 yards (tackle by Lawrence Guy and Deatrich Wise),0.350,-0.240
3,5:18,3,2,MIN 25,26,23,Kirk Cousins pass complete short left to Dalvin Cook for 3 yards (tackle by Kyle Dugger),-0.240,0.810
3,4:38,1,10,MIN 28,26,23,"Kirk Cousins pass complete short right to Adam Thielen for 3 yards (tackle by Jonathan Jones). Penalty on Jonathan Jones: Face Mask (15 Yards), 15 yards (accepted)",0.810,1.990
3,4:04,1,10,MIN 46,26,23,Dalvin Cook left end for 3 yards (tackle by Deatrich Wise),1.990,1.860
3,3:26,2,7,MIN 49,26,23,Kirk Cousins pass incomplete short left intended for Justin Jefferson (defended by Jonathan Jones),1.860,1.160
3,3:22,3,7,MIN 49,26,23,Kirk Cousins pass complete short middle to Jalen Reagor for 25 yards (tackle by Devin McCourty),1.160,3.840
3,2:46,,,,,,Timeout #1 by New England Patriots,,
3,2:46,1,10,NWE 26,26,23,Kirk Cousins pass complete short right to Justin Jefferson for 3 yards (tackle by Jonathan Jones),3.840,3.700
3,2:07,2,7,NWE 23,26,23,Kirk Cousins pass complete short middle to Adam Thielen for 7 yards (tackle by Ja'Whaun Bentley),3.700,4.510
3,1:27,1,10,NWE 16,26,23,Dalvin Cook right tackle for no gain (tackle by Anfernee Jennings),4.510,3.900
3,0:45,2,10,NWE 16,26,23,"Penalty on T.J. Hockenson: False Start, 5 yards (accepted) (no play)",3.900,3.280
3,0:14,2,15,NWE 21,26,23,"Kirk Cousins pass incomplete intended for Adam Thielen. Penalty on Myles Bryant: Unnecessary Roughness / Defense, 10 yards (accepted) (no play)",3.280,4.840
3,0:14,1,10,NWE 11,26,23,Dalvin Cook up the middle for 2 yards (tackle by Ja'Whaun Bentley and Jabrill Peppers),4.840,4.510
Quarter,Time,Down,ToGo,Location,NWE,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,NWE 9,26,23,Kirk Cousins sacked by Josh Uche for -9 yards,4.510,2.680
4,14:15,3,17,NWE 18,26,23,Kirk Cousins pass incomplete short left intended for Adam Thielen (defended by Jalen Mills),2.680,2.250
4,14:11,4,17,NWE 18,26,26,Greg Joseph 36 yard field goal good,2.250,3.000
4,14:07,,,MIN 35,26,26,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
4,14:07,1,10,NWE 25,26,26,Mac Jones pass complete short left to Rhamondre Stevenson for 1 yard (tackle by Chandon Sullivan),0.610,0.200
4,13:32,2,9,NWE 26,26,26,Mac Jones pass incomplete short middle intended for Nelson Agholor (defended by Eric Kendricks),0.200,-0.490
4,13:27,3,9,NWE 26,26,26,Mac Jones pass incomplete deep right intended for Jakobi Meyers (defended by Camryn Bynum),-0.490,-1.630
4,13:19,4,9,NWE 26,26,26,"Michael Palardy punts 56 yards, returned by Jalen Reagor for 11 yards (tackle by Brenden Schooler and Ja'Whaun Bentley)",-1.630,-0.870
4,13:06,1,10,MIN 29,26,26,Dalvin Cook up the middle for 4 yards (tackle by Davon Godchaux and Ja'Whaun Bentley),0.870,0.870
4,12:37,2,6,MIN 33,26,26,Kirk Cousins pass complete short left to Dalvin Cook for -3 yards (tackle by Raekwon McMillan),0.870,-0.230
4,11:51,,,,,,Timeout #1 by Minnesota Vikings,,
4,11:51,3,9,MIN 30,26,26,"Penalty on Justin Jefferson: False Start, 5 yards (accepted) (no play)",-0.230,-0.890
4,11:51,3,14,MIN 25,26,26,Kirk Cousins pass complete short right to T.J. Hockenson for 11 yards (tackle by Kyle Dugger and Jonathan Jones),-0.890,-0.980
4,10:56,4,3,MIN 36,26,26,"Ryan Wright punts 56 yards, fair catch by Marcus Jones at NE-8. Penalty on Pierre Strong: Running Into the Kicker, 5 yards (accepted) (no play)",-0.980,1.660
4,10:56,1,10,MIN 41,26,26,Kirk Cousins pass complete short middle to Dalvin Cook for 8 yards (tackle by Raekwon McMillan),1.660,2.200
4,10:26,2,2,MIN 49,26,26,Kirk Cousins pass complete deep left to Justin Jefferson for 36 yards (tackle by Devin McCourty),2.200,4.580
4,9:40,,,,,,Timeout #2 by Minnesota Vikings,,
4,9:40,1,10,NWE 15,26,32,"Kirk Cousins pass complete short left to Adam Thielen for 15 yards, touchdown",4.580,7.000
4,9:34,,,NWE 15,26,33,Greg Joseph kicks extra point good,0.000,0.000
4,9:34,,,MIN 35,26,33,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
4,9:34,1,10,NWE 25,26,33,Mac Jones pass complete short left to Nelson Agholor for 1 yard (tackle by Duke Shelley),0.610,0.200
4,9:00,2,9,NWE 26,26,33,Mac Jones pass complete short left to Rhamondre Stevenson for 8 yards (tackle by Jordan Hicks),0.200,0.560
4,8:20,3,1,NWE 34,26,33,Mac Jones pass incomplete deep left intended for Hunter Henry,0.560,-1.110
4,8:14,4,1,NWE 34,26,33,Michael Palardy punts 31 yards out of bounds,-1.110,-1.270
4,8:07,1,10,MIN 35,26,33,Kirk Cousins pass complete short right to K.J. Osborn for 8 yards (tackle by Jonathan Jones),1.270,1.800
4,7:24,2,2,MIN 43,26,33,Dalvin Cook right tackle for 1 yard (tackle by Deatrich Wise),1.800,1.220
4,6:40,3,1,MIN 44,26,33,K.J. Osborn left end for 5 yards (tackle by Devin McCourty),1.220,2.190
4,5:59,1,10,MIN 49,26,33,Dalvin Cook left guard for no gain (tackle by Lawrence Guy and Ja'Whaun Bentley),2.190,1.650
4,5:16,2,10,MIN 49,26,33,Kirk Cousins pass complete short left to Adam Thielen for -4 yards (tackle by Jalen Mills),1.650,0.430
4,4:32,3,14,MIN 45,26,33,Kirk Cousins pass incomplete short right,0.430,-0.390
4,4:29,4,14,MIN 45,26,33,"Ryan Wright punts 43 yards, returned by Marcus Jones for 1 yard (tackle by Jalen Nailor)",-0.390,0.320
4,4:21,1,10,NWE 13,26,33,Mac Jones pass complete short right to Kendrick Bourne for 14 yards (tackle by Harrison Smith),-0.320,0.740
4,3:51,1,10,NWE 27,26,33,Mac Jones pass incomplete short middle,0.740,0.200
4,3:48,2,10,NWE 27,26,33,Mac Jones pass complete short right to Rhamondre Stevenson for 40 yards (tackle by Harrison Smith),0.200,3.380
4,3:38,1,10,MIN 33,26,33,Rhamondre Stevenson right end for 3 yards (tackle by Duke Shelley and Eric Kendricks),3.380,3.240
4,3:01,2,7,MIN 30,26,33,Mac Jones pass complete short middle to Rhamondre Stevenson for no gain (tackle by Eric Kendricks),3.240,2.540
4,2:15,3,7,MIN 30,26,33,Mac Jones sacked by Danielle Hunter for -9 yards,2.540,0.660
4,2:00,4,16,MIN 39,26,33,Mac Jones pass incomplete deep right intended for Nelson Agholor,0.660,-1.530
4,1:54,1,10,MIN 39,26,33,Dalvin Cook left tackle for -1 yards (tackle by Davon Godchaux and Lawrence Guy),1.530,0.850
4,1:11,2,11,MIN 38,26,33,Dalvin Cook right tackle for 2 yards (tackle by Kyle Dugger and Matt Judon),0.850,0.430
4,1:06,,,,,,Timeout #2 by New England Patriots,,
4,1:06,3,9,MIN 40,26,33,Dalvin Cook left tackle for no gain (tackle by Kyle Dugger and Matt Judon),0.430,-0.720
4,1:02,,,,,,Timeout #3 by New England Patriots,,
4,1:02,4,9,MIN 40,26,33,"Ryan Wright punts 59 yards, returned by Marcus Jones for 10 yards (tackle by Patrick Jones)",-0.720,0.370
4,0:53,1,10,NWE 11,26,33,Mac Jones sacked by Ross Blacklock for -9 yards,-0.370,-1.440
4,0:27,2,19,NWE 2,26,33,Mac Jones pass complete deep right to Kendrick Bourne for 17 yards (tackle by Patrick Peterson),-1.440,-0.480
4,0:09,3,2,NWE 19,26,33,Mac Jones pass complete deep left to Jakobi Meyers for 23 yards (tackle by Eric Kendricks),-0.480,1.730
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
