Quarter,Time,Down,ToGo,Location,MIN,HOU,Detail,EPB,EPA
2,10:28,1,10,HOU 46,7,3,Christian Ponder pass complete short middle to Jerome Simpson for 2 yards (tackle by Johnathan Joseph),2.520,2.250
2,9:45,2,8,HOU 44,7,3,Christian Ponder pass incomplete deep right intended for Kyle Rudolph,2.250,1.550
2,9:40,3,8,HOU 44,7,3,Christian Ponder pass complete short right to Jerome Simpson for 8 yards (tackle by Johnathan Joseph),1.550,3.180
2,9:04,1,10,HOU 36,7,3,Adrian Peterson up the middle for -2 yards (tackle by Glover Quin),3.180,2.370
2,8:31,2,12,HOU 38,7,3,Christian Ponder pass incomplete short right intended for John Carlson,2.370,1.690
2,8:26,3,12,HOU 38,7,3,Christian Ponder pass incomplete deep right intended for Devin Aromashodu,1.690,0.720
2,8:20,4,12,HOU 38,10,3,Blair Walsh 56 yard field goal good,0.720,3.000
2,8:15,,,MIN 35,10,3,"Blair Walsh kicks off 74 yards, touchback",0.000,0.280
2,8:15,1,10,HOU 20,10,3,Matt Schaub pass complete short middle to Andre Johnson for 19 yards (tackle by Mistral Raymond),0.280,1.530
2,7:36,1,10,HOU 39,10,3,Matt Schaub pass complete short middle to James Casey for 6 yards (tackle by Chad Greenway),1.530,1.800
2,6:57,2,4,HOU 45,10,3,Arian Foster left tackle for 3 yards (tackle by Erin Henderson),1.800,1.490
2,6:21,3,1,HOU 48,10,3,Matt Schaub pass incomplete short right intended for Owen Daniels (defended by Harrison Smith),1.490,-0.190
2,6:13,4,1,HOU 48,10,3,"Donnie Jones punts 46 yards, returned by Marcus Sherels for 1 yard (tackle by Bryan Braman)",-0.190,0.380
2,6:02,1,10,MIN 7,10,3,Adrian Peterson up the middle for no gain (tackle by Brooks Reed),-0.380,-0.780
2,5:18,2,10,MIN 7,10,3,Christian Ponder pass incomplete short right intended for Jerome Simpson (defended by Johnathan Joseph),-0.780,-1.420
2,5:14,3,10,MIN 7,10,3,Christian Ponder up the middle for 21 yards (tackle by Danieal Manning),-1.420,0.810
2,4:34,1,10,MIN 28,10,3,Adrian Peterson right end for no gain (tackle by Brandon Harris and Bradie James),0.810,0.260
2,3:59,2,10,MIN 28,10,3,Adrian Peterson right guard for 3 yards (tackle by Bradie James),0.260,-0.030
2,3:24,3,7,MIN 31,10,3,Christian Ponder pass complete short right to Jerome Simpson for 5 yards (tackle by Tim Dobbins),-0.030,-0.980
2,2:43,4,2,MIN 36,10,3,"Chris Kluwe punts 49 yards, returned by Keshawn Martin for 5 yards (tackle by Marcus Sherels)",-0.980,-0.280
2,2:30,1,10,HOU 20,10,3,Matt Schaub pass incomplete short right intended for Kevin Walter,0.280,-0.270
2,2:26,2,10,HOU 20,10,3,Arian Foster left tackle for 1 yard (tackle by Fred Evans),-0.270,-0.820
2,2:00,3,9,HOU 21,10,3,Matt Schaub sacked by Antoine Winfield for -9 yards,-0.820,0.000
2,2:00,,,,10,3,Timeout #1 by Minnesota Vikings,0.000,-2.490
2,1:53,4,18,HOU 12,10,3,"Donnie Jones punts 51 yards, returned by Marcus Sherels for 19 yards (tackle by James Casey)",-2.490,-2.650
2,1:39,1,10,HOU 44,10,3,Christian Ponder pass complete deep left to Jarius Wright for 21 yards (tackle by Brandon Harris),2.650,4.040
2,1:33,1,10,HOU 23,10,3,Adrian Peterson left guard for no gain (tackle by Antonio Smith),4.040,3.500
2,0:52,2,10,HOU 23,10,3,Christian Ponder pass incomplete deep left intended for Kyle Rudolph,3.500,2.810
2,0:47,3,10,HOU 23,10,3,Christian Ponder pass incomplete deep right intended for Michael Jenkins (defended by Kareem Jackson),2.810,1.930
2,0:41,4,10,HOU 23,13,3,Blair Walsh 41 yard field goal good,1.930,3.000
2,0:37,,,MIN 35,13,3,"Blair Walsh kicks off 66 yards, returned by Keshawn Martin for 24 yards (tackle by Tyrone McKenzie)",0.000,0.480
2,0:31,1,10,HOU 23,13,3,Matt Schaub pass incomplete short right intended for DeVier Posey,0.480,-0.070
2,0:27,2,10,HOU 23,13,3,Matt Schaub pass incomplete short middle intended for Arian Foster (defended by Everson Griffen),-0.070,0.000
2,0:21,,,,13,3,Timeout #1 by Houston Texans,0.000,-0.760
2,0:21,3,10,HOU 23,13,3,Matt Schaub pass incomplete deep left intended for DeVier Posey (defended by Antoine Winfield),-0.760,-1.830
2,0:15,4,10,HOU 23,13,3,"Donnie Jones punts 60 yards, returned by Marcus Sherels for 7 yards (tackle by Bryan Braman)",-1.830,-0.540
2,0:04,1,10,MIN 24,13,3,Christian Ponder kneels for -1 yards,0.540,-0.140
Quarter,Time,Down,ToGo,Location,MIN,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,13,3,"Shayne Graham kicks off 65 yards, returned by Marcus Sherels for 27 yards (tackle by Eddie Pleasant)",0.000,0.740
3,14:52,1,10,MIN 27,13,3,Adrian Peterson up the middle for no gain (tackle by Bradie James),0.740,0.200
3,14:19,2,10,MIN 27,13,3,Adrian Peterson up the middle for 21 yards (tackle by Johnathan Joseph),0.200,2.130
3,13:40,1,10,MIN 48,13,3,Christian Ponder pass incomplete short right intended for Kyle Rudolph (defended by Bradie James),2.130,1.580
3,13:33,2,10,MIN 48,13,3,Christian Ponder pass incomplete short middle intended for Jarius Wright,1.580,0.890
3,13:29,3,10,MIN 48,13,3,"Christian Ponder pass complete short middle to Jarius Wright for 15 yards (tackle by Danieal Manning). Penalty on Whitney Mercilus: Roughing the Passer, 15 yards",0.890,4.110
3,12:58,1,10,HOU 22,13,3,Christian Ponder pass complete short middle to Adrian Peterson for 4 yards (tackle by Bradie James),4.110,4.130
3,12:19,2,6,HOU 18,13,3,Adrian Peterson up the middle for -3 yards (tackle by J.J. Watt),4.130,3.010
3,11:39,3,9,HOU 21,13,3,Christian Ponder pass incomplete short middle intended for John Carlson,3.010,2.060
3,11:35,4,9,HOU 21,16,3,Blair Walsh 39 yard field goal good,2.060,3.000
3,11:31,,,MIN 35,16,3,"Blair Walsh kicks off 61 yards, returned by Keshawn Martin for 50 yards (tackle by Larry Dean). Penalty on James Casey: Offensive Holding, 10 yards",0.000,-0.220
3,11:21,1,10,HOU 15,16,3,Arian Foster right end for -1 yards (tackle by Antoine Winfield),-0.220,-0.820
3,10:57,2,11,HOU 14,16,3,Arian Foster left end for 4 yards (tackle by Jasper Brinkley),-0.820,-1.000
3,10:26,3,7,HOU 18,16,3,"Penalty on Duane Brown: False Start, 5 yards (no play)",-1.000,-1.640
3,10:05,3,12,HOU 13,16,3,Matt Schaub pass incomplete short right intended for Kevin Walter,-1.640,-2.490
3,9:57,4,12,HOU 13,16,3,"Donnie Jones punts 49 yards, returned by Marcus Sherels for 10 yards (tackle by Jesse Nading)",-2.490,-2.130
3,9:44,1,10,MIN 48,16,3,"Christian Ponder sacked by J.J. Watt for -6 yards. Christian Ponder fumbles (forced by J.J. Watt), recovered by Bradie James at MIN-45 (tackle by Phil Loadholt)",2.130,-2.590
3,9:37,1,10,MIN 45,16,3,Matt Schaub pass incomplete deep right intended for Andre Johnson,2.590,2.040
3,9:31,2,10,MIN 45,16,3,"Matt Schaub pass incomplete short right intended for Arian Foster. Penalty on Duane Brown: Offensive Holding, 10 yards (no play)",2.040,0.690
3,9:24,2,20,HOU 45,16,3,Matt Schaub pass complete short left to Garrett Graham for 12 yards (tackle by A.J. Jefferson),0.690,1.620
3,8:44,3,8,MIN 43,16,3,Matt Schaub pass complete short middle to Ben Tate for 2 yards (tackle by Erin Henderson),1.620,0.530
3,8:07,4,6,MIN 41,16,3,"Donnie Jones punts 32 yards, fair catch by Marcus Sherels",0.530,0.380
3,7:58,1,10,MIN 9,16,3,Adrian Peterson left guard for no gain (tackle by Earl Mitchell),-0.380,-0.780
3,7:22,2,10,MIN 9,16,3,"Christian Ponder pass incomplete short right intended for John Carlson. Penalty on Bradie James: Defensive Holding, 5 yards (no play)",-0.780,-0.280
3,7:16,1,10,MIN 14,16,3,Christian Ponder pass incomplete deep right intended for Jarius Wright,-0.280,-0.750
3,7:10,2,10,MIN 14,16,3,Adrian Peterson up the middle for -1 yards (tackle by Glover Quin),-0.750,-1.530
3,6:33,3,11,MIN 13,16,3,Christian Ponder pass complete short left to Jarius Wright for 5 yards (tackle by Connor Barwin),-1.530,-2.240
3,5:52,4,6,MIN 18,16,3,"Chris Kluwe punts 43 yards, fair catch by Keshawn Martin",-2.240,-1.530
3,5:43,1,10,HOU 39,16,3,Ben Tate up the middle for 4 yards (tackle by Antoine Winfield),1.530,1.530
3,5:16,2,6,HOU 43,16,3,Matt Schaub pass complete short left to Andre Johnson for 19 yards (tackle by Harrison Smith),1.530,3.050
3,4:46,1,10,MIN 38,16,3,Ben Tate left end for 13 yards (tackle by Harrison Smith),3.050,3.910
3,4:12,1,10,MIN 25,16,3,Matt Schaub pass incomplete short left intended for Owen Daniels,3.910,3.360
3,4:06,2,10,MIN 25,16,3,Matt Schaub pass complete short left to Andre Johnson for 14 yards (tackle by Harrison Smith),3.360,4.840
3,3:22,1,10,MIN 11,16,3,Matt Schaub sacked by Jared Allen for -2 yards,4.840,3.830
3,2:39,2,12,MIN 13,16,3,Matt Schaub pass complete short middle to Kevin Walter for 12 yards (tackle by Harrison Smith),3.830,6.970
3,1:56,1,1,MIN 1,16,3,Matt Schaub pass incomplete short left intended for Owen Daniels,6.970,5.910
3,1:51,2,1,MIN 1,16,3,Ben Tate up the middle for no gain (tackle by Kevin Williams),5.910,5.170
3,1:07,3,1,MIN 1,16,3,Matt Schaub sacked by Fred Evans for -14 yards,5.170,2.440
3,0:30,4,15,MIN 15,16,6,Shayne Graham 33 yard field goal good,2.440,3.000
3,0:26,,,HOU 35,16,6,"Shayne Graham kicks off 72 yards, touchback",0.000,0.280
3,0:26,1,10,MIN 20,16,6,"Penalty on Matt Kalil: False Start, 5 yards (no play)",0.280,-0.310
3,0:26,1,15,MIN 15,16,6,Adrian Peterson up the middle for 20 yards (tackle by Glover Quin),-0.310,1.270
Quarter,Time,Down,ToGo,Location,MIN,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIN 35,16,6,Christian Ponder pass incomplete short left intended for Jarius Wright,1.270,0.720
4,14:54,2,10,MIN 35,16,6,Adrian Peterson up the middle for -3 yards (tackle by J.J. Watt),0.720,-0.360
4,14:16,3,13,MIN 32,16,6,Christian Ponder pass complete deep left to Jerome Simpson for 17 yards (tackle by Shiloh Keo),-0.360,2.190
4,13:48,1,10,MIN 49,16,6,Adrian Peterson right end for 10 yards (tackle by Danieal Manning),2.190,2.850
4,13:15,1,10,HOU 41,16,6,Adrian Peterson up the middle for 1 yard (tackle by Tim Dobbins),2.850,2.440
4,12:40,2,9,HOU 40,16,6,Christian Ponder pass incomplete short left intended for Jarius Wright (defended by Kareem Jackson),2.440,1.750
4,12:33,3,9,HOU 40,16,6,Christian Ponder pass incomplete short right intended for Toby Gerhart (defended by Tim Dobbins),1.750,0.590
4,12:27,4,9,HOU 40,16,6,Chris Kluwe punts 39 yards,0.590,0.380
4,12:18,1,10,HOU 1,16,6,Matt Schaub pass complete short left to Owen Daniels for 7 yards (tackle by A.J. Jefferson),-0.380,-0.270
4,11:51,2,3,HOU 8,16,6,Matt Schaub pass incomplete deep left intended for Owen Daniels,-0.270,-0.600
4,11:45,3,3,HOU 8,16,6,Matt Schaub pass complete short right to Garrett Graham for 2 yards (tackle by Harrison Smith),-0.600,-2.490
4,11:00,4,1,HOU 10,16,6,"Donnie Jones punts 65 yards, returned by Marcus Sherels for 11 yards (tackle by Roc Carmichael)",-2.490,-1.330
4,10:45,1,10,MIN 36,16,6,Christian Ponder pass complete short right to Kyle Rudolph for 9 yards (tackle by Johnathan Joseph),1.330,2.010
4,10:08,2,1,MIN 45,16,6,Adrian Peterson right end for -1 yards (tackle by Whitney Mercilus and Glover Quin),2.010,1.160
4,9:26,3,2,MIN 44,16,6,Christian Ponder right end for 29 yards (tackle by Johnathan Joseph). Penalty on Shiloh Keo: Defensive Offside (Declined),1.160,3.780
4,8:51,1,10,HOU 27,16,6,Adrian Peterson up the middle for no gain (tackle by Antonio Smith),3.780,3.230
4,8:10,2,10,HOU 27,16,6,Toby Gerhart right end for 6 yards (tackle by Kareem Jackson),3.230,3.340
4,7:34,3,4,HOU 21,16,6,Toby Gerhart up the middle for 4 yards (tackle by Antonio Smith),3.340,4.440
4,6:46,1,10,HOU 17,16,6,Adrian Peterson right tackle for 2 yards (tackle by Connor Barwin and Bradie James),4.440,4.150
4,5:59,2,8,HOU 15,16,6,Toby Gerhart up the middle for 2 yards (tackle by Antonio Smith),4.150,3.680
4,5:18,3,6,HOU 13,16,6,"Christian Ponder pass complete short right to Jarius Wright for 5 yards (tackle by Danieal Manning). Penalty on Danieal Manning: Face Mask (15 Yards), 5 yards",3.680,6.510
4,4:49,1,3,HOU 3,22,6,"Toby Gerhart up the middle for 3 yards, touchdown",6.510,7.000
4,4:49,,,,22,6,Penalty on Antonio Smith: Neutral Zone Infraction (no play),0.000,0.000
4,4:49,,,HOU 2,23,6,Blair Walsh kicks extra point good,0.000,0.000
4,4:44,,,MIN 35,23,6,"Blair Walsh kicks off 65 yards, touchback",0.000,0.280
4,4:44,1,10,HOU 20,23,6,Justin Forsett left guard for 4 yards (tackle by Chad Greenway and Erin Henderson),0.280,0.270
4,4:16,2,6,HOU 24,23,6,Matt Schaub pass incomplete short right intended for DeVier Posey (defended by Kevin Williams),0.270,-0.430
4,4:13,3,6,HOU 24,23,6,"Matt Schaub pass incomplete short right intended for DeVier Posey. Penalty on Harrison Smith: Roughing the Passer, 15 yards (no play)",-0.430,1.530
4,4:06,1,10,HOU 39,23,6,Matt Schaub pass complete short right to DeVier Posey for 6 yards (tackle by Kevin Williams),1.530,1.800
4,4:06,2,4,HOU 45,23,6,"Penalty on Duane Brown: False Start, 5 yards (no play)",1.800,1.120
4,3:33,2,9,HOU 40,23,6,T.J. Yates pass incomplete deep right intended for DeVier Posey,1.120,0.430
4,3:23,3,9,HOU 40,23,6,"T.J. Yates for no gain. T.J. Yates fumbles (forced by Harrison Smith), recovered by Everson Griffen at HOU-41 and returned for 5 yards (tackle by Derek Newton)",0.430,-3.180
4,3:14,1,10,HOU 36,23,6,Toby Gerhart up the middle for 4 yards (tackle by Tim Dobbins),3.180,0.000
4,3:06,,,,23,6,Timeout #1 by Houston Texans,0.000,3.180
4,3:06,2,6,HOU 32,23,6,Toby Gerhart up the middle for 3 yards (tackle by Tim Dobbins),3.180,0.000
4,3:01,,,,23,6,Timeout #2 by Houston Texans,0.000,2.870
4,3:01,3,3,HOU 29,23,6,Toby Gerhart up the middle for 6 yards (tackle by Barrett Ruud and Tim Dobbins),2.870,4.040
4,2:18,1,10,HOU 23,23,6,Toby Gerhart left guard for 3 yards (tackle by Darryl Sharpton),4.040,3.900
4,2:00,2,7,HOU 20,23,6,Matt Asiata left guard for 1 yard (tackle by Jared Crick),3.900,3.340
4,1:15,3,6,HOU 19,23,6,Christian Ponder kneels for -1 yards,3.340,2.120
4,0:24,4,7,HOU 20,23,6,Christian Ponder kneels for -2 yards,2.120,-0.410
4,0:21,1,10,HOU 22,23,6,T.J. Yates kneels for -2 yards,0.410,-0.400
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
