Quarter,Time,Down,ToGo,Location,DAL,STL,Detail,EPB,EPA
2,7:05,3,3,DAL 33,7,0,Quincy Carter pass complete to James Whalen for 5 yards (tackle by Kim Herring),0.370,1.470
2,6:30,1,10,DAL 38,7,0,Emmitt Smith right guard for no gain (tackle by Travis Fisher),1.470,0.920
2,5:52,2,10,DAL 38,7,0,Quincy Carter pass complete to Joey Galloway for 4 yards (tackle by Jamie Duncan),0.920,0.760
2,5:18,3,6,DAL 42,7,0,"Quincy Carter sacked by Grant Wistrom for -5 yards. Quincy Carter fumbles (forced by Grant Wistrom), ball out of bounds at DAL-37",0.760,-0.910
2,4:47,4,11,DAL 37,7,0,"Micah Knorr punts 38 yards, muffed catch by Terrence Wilkins, recovered by Terrence Wilkins and returned for no gain. Penalty on James Whitley: Personal Foul, 13 yards",-0.910,0.320
2,4:36,1,10,STL 13,7,0,"Marshall Faulk middle for 10 yards (tackle by Peppi Zellner). Penalty on Ebenezer Ekuban: Unnecessary Roughness, 15 yards",-0.320,1.470
2,4:13,1,10,STL 38,7,0,Jamie Martin pass incomplete intended for Isaac Bruce,1.470,0.920
2,4:07,2,10,STL 38,7,0,Jamie Martin pass incomplete intended for Ernie Conwell,0.920,0.230
2,4:02,3,10,STL 38,7,0,Jamie Martin pass incomplete intended for Marshall Faulk,0.230,-0.850
2,3:57,4,10,STL 38,7,0,"Mitch Berger punts 58 yards, returned by Reggie Swinton for 21 yards (tackle by Nick Sorensen)",-0.850,-0.610
2,3:45,1,10,DAL 25,7,0,Emmitt Smith middle for 1 yard (tackle by Kim Herring),0.610,0.200
2,3:09,2,9,DAL 26,7,0,Quincy Carter pass incomplete intended for Antonio Bryant,0.200,-0.490
2,3:05,3,9,DAL 26,7,0,Quincy Carter pass complete to Ken-Yon Rambo for 6 yards (tackle by James Whitley),-0.490,-1.240
2,2:53,3,9,DAL 26,,,Timeout #1 by Los Angeles Rams,-0.490,-1.240
2,2:53,4,3,DAL 32,7,0,"Micah Knorr punts 32 yards, returned by Terrence Wilkins for 1 yard (tackle by Tony Dixon)",-1.240,-1.400
2,2:44,1,10,STL 37,7,0,Jamie Martin pass complete to Marshall Faulk for 5 yards (tackle by Peppi Zellner),1.400,1.530
2,2:21,2,5,STL 42,7,0,Jamie Martin pass complete to Marshall Faulk for 11 yards (tackle by Randal Williams),1.530,2.460
2,2:01,1,10,DAL 47,7,0,Jamie Martin pass incomplete,2.460,1.910
2,1:59,2,10,DAL 47,7,0,Jamie Martin pass complete to Marshall Faulk for 15 yards (tackle by Kevin Hardy),1.910,3.450
2,1:47,2,10,DAL 47,,,Timeout #2 by Los Angeles Rams,1.910,3.450
2,1:47,1,10,DAL 32,7,0,Jamie Martin pass complete to Yo Murphy for 3 yards (tackle by Tony Dixon),3.450,3.310
2,1:35,1,10,DAL 32,,,Timeout #3 by Los Angeles Rams,3.450,3.310
2,1:35,2,7,DAL 29,7,0,Jamie Martin pass complete to Torry Holt for 13 yards (tackle by Mario Edwards),3.310,4.510
2,1:30,1,10,DAL 16,7,0,"Penalty on Torry Holt: False Start, 5 yards (no play)",4.510,4.170
2,1:30,1,15,DAL 21,7,6,"Jamie Martin pass complete to Isaac Bruce for 21 yards, touchdown",4.170,7.000
2,1:30,,,DAL 21,7,7,Jeff Wilkins kicks extra point good,0.000,0.000
2,1:30,,,STL 30,7,7,"Jeff Wilkins kicks off 74 yards, touchback",0.000,0.280
2,1:25,1,10,DAL 20,7,7,Quincy Carter pass complete to Michael Wiley for 2 yards (tackle by Travis Fisher),0.280,0.000
2,1:06,2,8,DAL 22,7,7,Quincy Carter pass complete to Troy Hambrick for -5 yards (tackle by Robert Thomas),0.000,-1.510
2,0:22,3,13,DAL 17,7,7,Michael Wiley left tackle for 2 yards (tackle by Jamie Duncan),-1.510,-2.140
Quarter,Time,Down,ToGo,Location,DAL,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 30,7,7,"Micah Knorr kicks off 71 yards, returned by Terrence Wilkins for 26 yards (tackle by Louis Mackey)",0.000,0.610
3,14:54,1,10,STL 25,7,7,Marshall Faulk right guard for no gain (tackle by Ebenezer Ekuban),0.610,0.060
3,14:15,2,10,STL 25,7,7,Jamie Martin pass complete to Torry Holt for 21 yards (tackle by Randal Williams),0.060,1.990
3,13:54,1,10,STL 46,7,7,Marshall Faulk left tackle for 6 yards (tackle by Dexter Coakley),1.990,2.260
3,13:23,2,4,DAL 48,7,7,Marshall Faulk right tackle for -2 yards (tackle by Kevin Hardy),2.260,1.290
3,12:41,3,6,,7,7,Jamie Martin pass incomplete intended for Marshall Faulk (defended by Dexter Coakley),1.290,-0.060
3,12:36,4,6,,7,7,"Mitch Berger punts 50 yards, touchback",-0.060,-0.280
3,12:26,1,10,DAL 20,7,7,Emmitt Smith left end for 4 yards (tackle by Jeff Zgonina),0.280,0.270
3,11:56,2,6,DAL 24,7,7,Troy Hambrick middle for no gain (tackle by Ryan Pickett),0.270,-0.430
3,11:12,3,6,DAL 24,7,7,Troy Hambrick right end for 5 yards (tackle by Grant Wistrom and Robert Thomas). Penalty on DAL: Offensive Holding (Declined),-0.430,-1.440
3,10:49,4,1,DAL 29,7,7,"Micah Knorr punts 45 yards, fair catch by Terrence Wilkins",-1.440,-0.670
3,10:40,1,10,STL 26,7,7,Marshall Faulk left end for 5 yards (tackle by Mario Edwards),0.670,0.810
3,10:06,2,5,STL 31,7,7,Jamie Martin pass complete to Marshall Faulk for 2 yards (tackle by Kevin Hardy),0.810,0.370
3,9:28,3,3,STL 33,7,7,Jamie Martin pass complete to Marshall Faulk for 5 yards (tackle by Randal Williams),0.370,1.470
3,8:44,1,10,STL 38,7,7,Jamie Martin pass complete to Torry Holt for 1 yard (tackle by Dexter Coakley),1.470,1.060
3,8:05,2,9,STL 39,7,7,Marshall Faulk middle for 2 yards (tackle by Greg Ellis and Peppi Zellner),1.060,0.630
3,7:15,3,7,STL 41,7,7,Jamie Martin pass complete to Ricky Proehl for 7 yards (tackle by Randal Williams),0.630,2.130
3,6:29,1,10,STL 48,7,7,Jamie Martin pass incomplete intended for Isaac Bruce (defended by Kevin Hardy),2.130,1.580
3,6:25,2,10,STL 48,7,7,Jamie Martin pass complete to Isaac Bruce for 21 yards (tackle by Lynn Scott),1.580,3.510
3,5:41,2,10,STL 48,,,Timeout #1 by Los Angeles Rams,1.580,3.510
3,5:41,1,10,DAL 31,7,7,"Jamie Martin pass complete to Torry Holt for 6 yards (tackle by Derek Ross and Tony Dixon). Penalty on John St. Clair: Unsportsmanlike Conduct, 15 yards",3.510,1.750
3,5:06,2,19,DAL 40,7,7,"Penalty on La'Roi Glover: Encroachment, 5 yards (no play)",1.750,2.430
3,4:50,2,14,DAL 35,7,7,Jamie Martin pass complete to Ricky Proehl for 11 yards (tackle by Mario Edwards),2.430,3.200
3,4:21,3,3,DAL 24,7,7,Jamie Martin pass complete to Ernie Conwell for 8 yards (tackle by Randal Williams),3.200,4.510
3,3:42,1,10,DAL 16,7,7,Jamie Martin pass complete to Marshall Faulk for 9 yards (tackle by Greg Ellis),4.510,5.540
3,2:58,2,1,DAL 7,7,7,Marshall Faulk left end for -2 yards (tackle by Darren Woodson),5.540,4.390
3,2:15,3,3,DAL 9,7,7,Jamie Martin pass incomplete intended for Torry Holt,4.390,2.930
3,2:07,4,3,DAL 9,7,10,Jeff Wilkins 27 yard field goal good,2.930,3.000
3,2:07,,,STL 30,7,10,"Jeff Wilkins kicks off 69 yards, returned by Reggie Swinton for 21 yards (tackle by Kole Ayi)",0.000,0.410
3,1:59,1,10,DAL 22,7,10,Quincy Carter pass complete to James Whalen for 6 yards (tackle by Travis Fisher),0.410,0.680
3,1:28,2,4,DAL 28,7,10,Quincy Carter pass complete to Antonio Bryant for 6 yards (tackle by Travis Fisher),0.680,1.200
3,0:56,1,10,DAL 34,7,10,Emmitt Smith left guard for 1 yard (tackle by Grant Wistrom),1.200,0.790
3,0:23,2,9,DAL 35,7,10,Quincy Carter pass incomplete intended for Emmitt Smith,0.790,0.100
3,0:20,3,9,DAL 35,7,10,Quincy Carter pass complete to James Whalen for 10 yards (tackle by James Whitley),0.100,1.930
3,0:01,1,10,DAL 45,7,10,Quincy Carter pass incomplete intended for Joey Galloway is intercepted by Dre' Bly at STL-3,1.930,0.380
Quarter,Time,Down,ToGo,Location,DAL,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,STL 3,7,10,Marshall Faulk right tackle for 2 yards (tackle by Keith Adams),-0.380,-0.630
4,14:18,2,8,STL 5,7,10,"Penalty on Brandon Manumaleuna: False Start, 2 yards (no play)",-0.630,-0.780
4,14:04,2,10,STL 3,7,10,Jamie Martin pass incomplete intended for Isaac Bruce (defended by Mario Edwards),-0.780,-1.420
4,13:58,3,10,STL 3,7,10,Jamie Martin pass incomplete intended for Torry Holt,-1.420,-2.490
4,13:51,4,10,STL 3,7,10,"Mitch Berger punts 51 yards, returned by Reggie Swinton for 20 yards (tackle by O.J. Brigance)",-2.490,-3.310
4,13:38,1,10,STL 34,7,10,Emmitt Smith right tackle for 3 yards (tackle by Ryan Pickett),3.310,3.180
4,13:06,2,7,STL 31,7,10,"Emmitt Smith middle for 1 yard (tackle by Dre' Bly). Penalty on Andre Gurode: Offensive Holding, 10 yards (no play)",3.180,1.830
4,12:44,2,17,STL 41,7,10,Quincy Carter pass incomplete intended for Darnay Scott,1.830,1.160
4,12:38,3,17,STL 41,7,10,Quincy Carter pass complete to Darnay Scott for 6 yards (tackle by Travis Fisher),1.160,0.970
4,11:49,4,11,STL 35,7,10,Penalty on Micah Knorr: Delay of Game (Declined),0.970,0.970
4,11:49,4,11,STL 35,7,10,"Micah Knorr punts 35 yards, touchback",0.970,-0.280
4,11:30,1,10,STL 20,7,10,"Penalty on Grant Williams: False Start, 5 yards (no play)",0.280,-0.310
4,11:30,1,15,STL 15,7,10,Marshall Faulk left end for 3 yards (tackle by Michael Myers),-0.310,-0.630
4,10:51,2,12,STL 18,7,10,Jamie Martin pass incomplete intended for Ernie Conwell (defended by Kevin Hardy),-0.630,-1.330
4,10:47,3,12,STL 18,7,10,Marshall Faulk middle for 11 yards (tackle by Tony Dixon),-1.330,-1.440
4,10:08,4,1,STL 29,7,10,Mitch Berger punts 47 yards,-1.440,-0.540
4,9:56,1,10,DAL 24,7,10,Quincy Carter left end for 10 yards (tackle by Don Davis),0.540,1.200
4,9:11,1,10,DAL 34,7,10,"Penalty on Javier Collins: False Start, 5 yards (no play)",1.200,0.870
4,8:53,1,15,DAL 29,7,10,Quincy Carter pass complete to Joey Galloway for 13 yards (tackle by Dre' Bly),0.870,1.740
4,8:22,2,2,DAL 42,7,10,Quincy Carter pass complete to Robert Thomas for 6 yards (tackle by Don Davis),1.740,2.130
4,7:51,1,10,DAL 48,7,10,Quincy Carter pass incomplete intended for James Whalen,2.130,1.580
4,7:46,2,10,DAL 48,7,10,Troy Hambrick left end for 15 yards,1.580,3.120
4,7:31,1,10,STL 37,7,10,Troy Hambrick left end for 4 yards (tackle by Grant Wistrom and Dre' Bly),3.120,3.110
4,7:13,2,6,STL 33,7,10,Quincy Carter pass complete to James Whalen for 8 yards (tackle by Travis Fisher),3.110,3.910
4,6:49,1,10,STL 25,7,10,Emmitt Smith middle for 3 yards (tackle by O.J. Brigance),3.910,3.770
4,6:14,2,7,STL 22,7,10,"Quincy Carter pass complete to Antonio Bryant for 6 yards (tackle by Dre' Bly). Penalty on Troy Hambrick: Offensive Holding, 10 yards (no play)",3.770,2.420
4,5:58,2,17,STL 32,7,10,Quincy Carter pass complete to Troy Hambrick for 5 yards (tackle by Tyoka Jackson),2.420,2.410
4,5:13,3,12,STL 27,7,10,Quincy Carter middle for 10 yards (tackle by James Whitley),2.410,2.440
4,4:28,4,2,STL 17,10,10,Billy Cundiff 35 yard field goal good,2.440,3.000
4,4:28,,,DAL 30,10,10,"Micah Knorr kicks off 71 yards, returned by Terrence Wilkins for 29 yards (tackle by Troy Hambrick)",0.000,0.810
4,4:15,1,10,STL 28,10,10,"Jamie Martin pass complete to Marshall Faulk for 2 yards (tackle by Randal Williams). Penalty on Tom Nutten: Tripping, 10 yards (no play)",0.810,-0.040
4,4:08,1,20,STL 18,10,10,Jamie Martin pass complete to Torry Holt for 8 yards (tackle by Keith Adams),-0.040,-0.010
4,3:27,2,12,STL 26,10,10,Jamie Martin pass complete to Torry Holt for 20 yards (tackle by Kevin Hardy),-0.010,1.990
4,2:48,1,10,STL 46,10,10,Jamie Martin pass incomplete intended for Torry Holt,1.990,1.450
4,2:42,2,10,STL 46,10,10,Jamie Martin pass complete to Torry Holt for 9 yards (tackle by Mario Edwards),1.450,1.950
4,2:02,3,1,DAL 45,10,10,Isaac Bruce left end for 13 yards (tackle by Derek Ross),1.950,3.450
4,1:56,1,10,DAL 32,10,10,Marshall Faulk left tackle for 5 yards (tackle by Brandon Noble),3.450,3.580
4,1:48,1,10,DAL 32,,,Timeout #1 by Dallas Cowboys,3.450,3.580
4,1:48,2,5,DAL 27,10,10,Ernie Conwell left end for 2 yards (tackle by Randal Williams),3.580,3.140
4,1:40,2,5,DAL 27,,,Timeout #2 by Dallas Cowboys,3.580,3.140
4,1:40,3,3,DAL 25,10,10,Jamie Martin sacked by Greg Ellis for -6 yards,3.140,1.320
4,1:32,3,3,DAL 25,,,Timeout #3 by Dallas Cowboys,3.140,1.320
4,1:32,4,9,DAL 31,10,10,Jeff Wilkins 49 yard field goal no good,1.320,-1.530
4,1:27,1,10,DAL 39,10,10,Quincy Carter pass complete to Michael Wiley for 6 yards (tackle by Don Davis),1.530,1.800
4,1:07,2,4,DAL 45,10,10,"Penalty on Ken-Yon Rambo: False Start, 5 yards (no play)",1.800,1.120
4,1:05,2,9,DAL 40,10,10,Quincy Carter pass complete to Troy Hambrick for 6 yards (tackle by Dre' Bly),1.120,1.220
4,0:44,3,3,DAL 46,10,10,Quincy Carter left end for 4 yards (tackle by Grant Wistrom),1.220,2.260
4,0:29,1,10,,10,10,Quincy Carter pass incomplete,2.260,1.710
4,0:29,2,10,,10,10,Quincy Carter pass complete to Michael Wiley for 15 yards (tackle by Jamie Duncan),1.710,3.250
4,0:13,1,10,STL 35,10,10,Quincy Carter pass incomplete,3.250,2.700
4,0:13,2,10,STL 35,10,10,Quincy Carter pass complete to Ken-Yon Rambo for 5 yards (tackle by Don Davis),2.700,2.680
4,0:01,3,5,STL 30,10,10,Quincy Carter pass incomplete,2.680,1.450
4,0:01,4,5,STL 30,13,10,Billy Cundiff 48 yard field goal good,1.450,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
