Quarter,Time,Down,ToGo,Location,WAS,IND,Detail,EPB,EPA
3,13:03,2,10,WAS 42,7,3,Taylor Heinicke pass incomplete short right intended for Terry McLaurin (defended by Zaire Franklin),1.190,0.500
3,12:59,3,10,WAS 42,7,3,Taylor Heinicke pass complete short middle to Terry McLaurin for 9 yards (tackle by Stephon Gilmore),0.500,0.000
3,12:16,4,1,IND 49,7,3,Brian Robinson up the middle for -1 yards (tackle by E.J. Speed),0.000,-2.260
3,12:11,1,10,IND 50,7,3,Sam Ehlinger scrambles up the middle for 7 yards (tackle by Kamren Curl),2.260,2.660
3,11:42,2,3,WAS 43,7,3,Jonathan Taylor right tackle for 1 yard (tackle by Montez Sweat and Daron Payne),2.660,2.080
3,11:10,3,2,WAS 42,7,3,Sam Ehlinger right end for 3 yards (tackle by Benjamin St-Juste),2.080,2.980
3,10:36,1,10,WAS 39,7,3,Sam Ehlinger pass incomplete short right intended for Mo Alie-Cox,2.980,2.440
3,10:31,2,10,WAS 39,7,3,Sam Ehlinger scrambles right end for 2 yards (tackle by Benjamin St-Juste),2.440,2.020
3,9:56,3,8,WAS 37,7,3,Sam Ehlinger pass complete short left to Alec Pierce for 9 yards (tackle by Kendall Fuller),2.020,3.710
3,9:18,1,10,WAS 28,7,3,Jonathan Taylor right tackle for 1 yard (tackle by Montez Sweat and Daron Payne),3.710,3.300
3,8:38,2,9,WAS 27,7,3,Sam Ehlinger pass complete short right to Michael Pittman for 6 yards (tackle by Kamren Curl),3.300,3.400
3,8:00,3,3,WAS 21,7,3,Jonathan Taylor right tackle for no gain (tackle by Daron Payne),3.400,2.160
3,7:18,4,3,WAS 21,7,6,Chase McLaughlin 39 yard field goal good,2.160,3.000
3,7:13,,,IND 35,7,6,"Chase McLaughlin kicks off 66 yards, returned by Antonio Gibson for 25 yards (tackle by Julian Blackmon)",0.000,0.540
3,7:08,1,10,WAS 24,7,6,Antonio Gibson left end for no gain (tackle by Kenny Moore),0.540,0.000
3,6:31,2,10,WAS 24,7,6,Taylor Heinicke pass incomplete short right intended for Armani Rogers,0.000,-0.690
3,6:25,3,10,WAS 24,7,6,Taylor Heinicke pass complete short right to Terry McLaurin for 5 yards (tackle by Kenny Moore and Stephon Gilmore),-0.690,-1.440
3,5:53,4,5,WAS 29,7,6,"Tress Way punts 48 yards, fair catch by Keke Coutee at IND-23",-1.440,-0.480
3,5:46,1,10,IND 23,7,6,Jonathan Taylor right tackle for 1 yard (tackle by Benjamin St-Juste and James Smith-Williams),0.480,0.070
3,5:14,2,9,IND 24,7,6,"Penalty on Matt Pryor: False Start, 5 yards (accepted) (no play)",0.070,-0.670
3,4:55,2,14,IND 19,7,6,Sam Ehlinger pass complete deep right to Alec Pierce for 47 yards (tackle by Benjamin St-Juste),-0.670,3.310
3,4:10,1,10,WAS 34,7,6,Jonathan Taylor left end for 8 yards (tackle by Rachad Wildgoose and Bobby McCain),3.310,3.850
3,3:35,2,2,WAS 26,7,6,"Jonathan Taylor up the middle for 6 yards. Jonathan Taylor fumbles (forced by Darrick Forrest), recovered by Casey Toohill at WAS-15",3.850,0.220
3,3:27,1,10,WAS 15,7,6,Curtis Samuel right tackle for 4 yards (tackle by Rodney McLeod and Grover Stewart),-0.220,-0.110
3,2:48,2,6,WAS 19,7,6,Brian Robinson left guard for no gain (tackle by Rodney McLeod and Tyquan Lewis),-0.110,-0.880
3,2:05,3,6,WAS 19,7,6,Taylor Heinicke sacked by and Yannick Ngakoue for -12 yards and Ifeadi Odenigbo for -12 yards,-0.880,-2.490
3,1:26,4,18,WAS 7,7,6,"Tress Way punts 65 yards, returned by Keke Coutee for 10 yards (tackle by Shaka Toney)",-2.490,-1.470
3,1:12,1,10,IND 38,7,6,Sam Ehlinger pass complete short left to Alec Pierce for 9 yards (tackle by Jamin Davis),1.470,2.140
3,0:37,2,1,IND 47,7,6,"Sam Ehlinger scrambles for no gain. Penalty on Matt Pryor: Offensive Holding, 10 yards (accepted) (no play)",2.140,0.790
3,0:11,2,11,IND 37,7,6,Sam Ehlinger pass complete short left to Parris Campbell for 38 yards (tackle by Bobby McCain),0.790,3.910
Quarter,Time,Down,ToGo,Location,WAS,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,WAS 25,7,6,Sam Ehlinger pass complete deep left to Nyheim Hines for 22 yards,3.910,6.510
4,14:25,1,3,WAS 3,7,6,Sam Ehlinger left end for no gain (tackle by Jonathan Allen and Jonathan Bostic),6.510,5.530
4,13:48,2,3,WAS 3,7,6,"Sam Ehlinger pass complete short middle to Michael Pittman for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Sam Ehlinger pass complete to Michael Pittman for 2 yards (tackle by Kamren Curl)",5.530,5.170
4,13:18,3,1,WAS 1,7,6,Jonathan Taylor up the middle for -1 yards (tackle by Jamin Davis),5.170,3.250
4,12:35,4,2,WAS 2,7,9,Chase McLaughlin 20 yard field goal good,3.250,3.000
4,12:32,,,IND 35,7,9,"Chase McLaughlin kicks off 65 yards, touchback.",0.000,0.610
4,12:23,1,10,WAS 25,7,9,Taylor Heinicke pass short right (defended by Tyquan Lewis) intended for Cam Sims is intercepted by Shaquille Leonard at WAS-39 and returned for 15 yards (tackle by Andrew Norwell),0.610,-3.970
4,12:23,1,10,WAS 24,7,9,Sam Ehlinger pass complete short left to Kylen Granson for -2 yards (tackle by Jonathan Allen),3.970,3.160
4,11:48,2,12,WAS 26,7,9,"Sam Ehlinger scrambles left end for no gain (tackle by Jonathan Bostic). Penalty on Quenton Nelson: Offensive Holding, 10 yards (accepted) (no play)",3.160,1.810
4,11:22,2,22,WAS 36,7,9,"Sam Ehlinger pass incomplete deep right intended for Parris Campbell. Penalty on Rachad Wildgoose: Defensive Pass Interference, 30 yards (accepted) (no play)",1.810,5.830
4,11:17,1,6,WAS 6,7,15,"Nyheim Hines left end for 6 yards, touchdown",5.830,7.000
4,11:12,,,WAS 15,7,16,Chase McLaughlin kicks extra point good,0.000,0.000
4,11:12,,,IND 35,7,16,"Chase McLaughlin kicks off 65 yards, returned by Antonio Gibson for 16 yards (tackle by Rodney McLeod). Penalty on Armani Rogers: Illegal Double-Team Block, 8 yards (accepted)",0.000,-0.380
4,11:07,1,10,WAS 8,7,16,Taylor Heinicke pass complete short right to Antonio Gibson for 10 yards (tackle by Shaquille Leonard and Zaire Franklin),-0.380,0.040
4,10:13,1,10,WAS 18,7,16,Taylor Heinicke pass complete short right to Antonio Gibson for 12 yards (tackle by Shaquille Leonard),0.040,0.940
4,9:37,1,10,WAS 30,7,16,Taylor Heinicke pass complete deep right to Terry McLaurin for 18 yards (tackle by Rodney Thomas),0.940,2.130
4,9:02,1,10,WAS 48,7,16,Taylor Heinicke pass incomplete deep left intended for Terry McLaurin,2.130,1.580
4,8:57,2,10,WAS 48,7,16,Taylor Heinicke pass complete short left to Antonio Gibson for -3 yards (tackle by Zaire Franklin),1.580,0.500
4,8:12,3,13,WAS 45,7,16,Taylor Heinicke pass complete short right to J.D. McKissic for 7 yards (tackle by Zaire Franklin),0.500,0.070
4,7:32,4,6,IND 48,7,16,Taylor Heinicke pass complete short left to Curtis Samuel for 18 yards (tackle by Kenny Moore),0.070,3.580
4,6:57,1,10,IND 30,7,16,Taylor Heinicke pass complete short left to Armani Rogers for 13 yards (tackle by Yannick Ngakoue),3.580,4.440
4,6:19,1,10,IND 17,7,16,Taylor Heinicke scrambles left end for 4 yards (tackle by Bobby Okereke),4.440,4.500
4,5:46,2,6,IND 13,7,16,Antonio Gibson up the middle for 3 yards (tackle by Zaire Franklin),4.500,4.340
4,5:03,3,3,IND 10,7,16,Taylor Heinicke pass incomplete short right intended for J.D. McKissic,4.340,2.860
4,4:59,4,3,IND 10,10,16,Joey Slye 28 yard field goal good,2.860,3.000
4,4:55,,,WAS 35,10,16,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
4,4:55,1,10,IND 25,10,16,Jonathan Taylor up the middle for 2 yards (tackle by John Ridgeway and Jonathan Allen),0.610,0.330
4,4:16,2,8,IND 27,10,16,Jonathan Taylor up the middle for 3 yards (tackle by Jonathan Allen),0.330,0.040
4,3:38,3,5,IND 30,10,16,"Sam Ehlinger scrambles left end for 4 yards (tackle by Daron Payne) Replay Assistant challenged the first down ruling, and the play was upheld.",0.040,-1.110
4,2:47,4,1,IND 34,10,16,"Matt Haack punts 56 yards, returned by Dax Milne for 1 yard (tackle by Dallis Flowers)",-1.110,0.370
4,2:39,1,10,WAS 11,10,16,Taylor Heinicke pass complete short middle to Terry McLaurin for 6 yards (tackle by Bobby Okereke and Kenny Moore),-0.370,-0.160
4,2:14,2,4,WAS 17,10,16,Taylor Heinicke scrambles left end for 1 yard (tackle by Grover Stewart),-0.160,-0.600
4,2:00,3,3,WAS 18,10,16,J.D. McKissic up the middle for 2 yards (tackle by DeForest Buckner),-0.600,-2.030
4,1:35,4,1,WAS 20,10,16,Taylor Heinicke pass complete short right to Curtis Samuel for 12 yards (tackle by Rodney McLeod),-2.030,1.070
4,1:26,,,,,,Timeout #1 by Washington Commanders,,
4,1:26,1,10,WAS 32,10,16,Taylor Heinicke pass complete short right to J.D. McKissic for 4 yards (tackle by Zaire Franklin and Isaiah Rodgers),1.070,1.070
4,1:16,,,,,,Timeout #1 by Indianapolis Colts,,
4,1:16,2,6,WAS 36,10,16,Taylor Heinicke scrambles left end for 9 yards (tackle by Stephon Gilmore),1.070,1.930
4,1:06,1,10,WAS 45,10,16,Taylor Heinicke pass complete deep middle to Cam Sims for 21 yards (tackle by Julian Blackmon),1.930,3.310
4,0:41,1,10,IND 34,10,16,Taylor Heinicke pass complete deep left to Terry McLaurin for 33 yards (tackle by Stephon Gilmore),3.310,6.970
4,0:26,,,,,,Timeout #2 by Washington Commanders,,
4,0:26,1,1,IND 1,16,16,"Taylor Heinicke right guard for 1 yard, touchdown",6.970,7.000
4,0:22,,,IND 15,17,16,Joey Slye kicks extra point good,0.000,0.000
4,0:22,,,WAS 35,17,16,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
4,0:22,1,10,IND 25,17,16,Sam Ehlinger pass incomplete deep left intended for Michael Pittman,0.610,0.060
4,0:15,2,10,IND 25,17,16,Sam Ehlinger pass complete short left to Michael Pittman for 8 yards (tackle by Kendall Fuller),0.060,0.370
4,0:06,3,3,IND 33,17,16,Sam Ehlinger pass complete short middle to Michael Pittman for 5 yards (tackle by Kendall Fuller),0.370,1.470
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
