Quarter,Time,Down,ToGo,Location,KAN,CAR,Detail,EPB,EPA
2,7:48,2,6,KAN 41,0,10,Spencer Ware right guard for 3 yards (tackle by Paul Soliai and Charles Johnson),1.400,1.090
2,7:03,3,3,KAN 44,0,10,Spencer Ware right end for 4 yards (tackle by James Bradberry),1.090,2.130
2,6:22,1,10,KAN 48,0,10,Alex Smith pass incomplete deep right intended for Travis Kelce,2.130,1.580
2,6:17,2,10,KAN 48,0,10,"Penalty on Eric Fisher: False Start, 5 yards (no play)",1.580,0.910
2,6:17,2,15,KAN 43,0,10,Alex Smith pass complete short left to Ross Travis for 5 yards (tackle by Thomas Davis),0.910,0.890
2,5:46,3,10,KAN 48,0,10,Alex Smith pass incomplete deep right intended for Albert Wilson (defended by Luke Kuechly),0.890,-0.190
2,5:35,4,10,KAN 48,0,10,"Dustin Colquitt punts 39 yards, fair catch by Ted Ginn",-0.190,0.320
2,5:28,1,10,CAR 13,0,10,Cam Newton pass complete short right to Greg Olsen for 14 yards (tackle by Eric Berry),-0.320,0.740
2,4:54,1,10,CAR 27,0,10,Jonathan Stewart left tackle for 5 yards (tackle by Frank Zombo and Ramik Wilson),0.740,0.870
2,4:17,2,5,CAR 32,0,10,Cam Newton pass complete short left to Kelvin Benjamin for 18 yards (tackle by Steven Nelson),0.870,2.260
2,3:34,1,10,,0,10,Cam Newton pass incomplete short left intended for Greg Olsen,2.260,1.710
2,3:31,2,10,,0,10,Jonathan Stewart left end for no gain (tackle by Ron Parker),1.710,1.030
2,3:31,3,10,,0,10,"Penalty on Dee Ford: Neutral Zone Infraction, 5 yards (no play)",1.030,1.690
2,2:30,3,5,KAN 45,0,10,Cam Newton pass complete short left to Kelvin Benjamin for 7 yards (tackle by Kenneth Acker),1.690,3.050
2,2:00,1,10,KAN 38,0,16,"Cam Newton pass complete deep left to Devin Funchess for 38 yards, touchdown",3.050,7.000
2,1:52,,,KAN 15,0,17,Graham Gano kicks extra point good,0.000,0.000
2,1:52,,,CAR 35,0,17,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
2,1:52,1,10,KAN 25,0,17,Alex Smith pass complete short right to Chris Conley for 12 yards (tackle by Charles Johnson and James Bradberry),0.610,1.400
2,1:52,1,10,KAN 37,0,17,"Penalty on Mitchell Schwartz: False Start, 5 yards (no play)",1.400,1.070
2,1:30,1,15,KAN 32,0,17,"Alex Smith pass complete short right to Charcandrick West for no gain. Penalty on Thomas Davis: Unnecessary Roughness, 15 yards",1.070,2.060
2,1:26,1,10,KAN 47,0,17,Alex Smith pass complete short left to Albert Wilson for 5 yards (tackle by Daryl Worley),2.060,2.190
2,1:21,2,5,CAR 48,0,17,Alex Smith pass incomplete short right intended for Travis Kelce,2.190,1.490
2,1:13,3,5,CAR 48,0,17,Alex Smith pass complete short right to Albert Wilson for 4 yards (tackle by Tre Boston),1.490,0.000
2,0:50,,,,0,17,Timeout #1 by Kansas City Chiefs,0.000,-0.330
2,0:50,4,1,CAR 44,0,17,Spencer Ware left end for 9 yards (tackle by James Bradberry),0.330,3.250
2,0:44,1,10,CAR 35,0,17,Alex Smith pass complete short left to Charcandrick West for 5 yards (tackle by Thomas Davis),3.250,3.380
2,0:39,2,5,CAR 30,0,17,Alex Smith pass complete short left to Tyreek Hill for 5 yards (tackle by Daryl Worley),3.380,3.910
2,0:33,1,10,CAR 25,0,17,"Penalty on Laurent Duvernay-Tardif: False Start, 5 yards (no play)",3.910,3.580
2,0:33,1,15,CAR 30,0,17,Alex Smith sacked by Charles Johnson and Vernon Butler for -4 yards,3.580,0.000
2,0:27,,,,0,17,Timeout #2 by Kansas City Chiefs,0.000,-2.150
2,0:27,2,19,CAR 34,0,17,Alex Smith pass complete short middle to Albert Wilson for 10 yards (tackle by Luke Kuechly),2.150,2.810
2,0:21,3,9,CAR 24,0,17,Alex Smith sacked by Mario Addison for -5 yards,2.810,0.000
2,0:15,,,,0,17,Timeout #3 by Kansas City Chiefs,0.000,-1.500
2,0:15,4,14,CAR 29,3,17,Cairo Santos 47 yard field goal good,1.500,3.000
2,0:10,,,KAN 35,3,17,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.610
2,0:10,1,10,CAR 25,3,17,Cam Newton kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,KAN,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,3,17,"Graham Gano kicks off 69 yards, returned by Knile Davis for 21 yards (tackle by Zack Sanchez)",0.000,0.060
3,14:56,1,10,KAN 17,3,17,Alex Smith pass complete short right to Albert Wilson for 6 yards (tackle by James Bradberry),-0.060,0.350
3,14:23,2,4,KAN 23,3,17,Spencer Ware middle for 6 yards (tackle by Robert McClain),0.350,0.870
3,13:40,1,10,KAN 29,3,17,Alex Smith pass incomplete short left intended for Albert Wilson,0.870,0.330
3,13:37,2,10,KAN 29,3,17,Alex Smith pass complete short right to Tyreek Hill for 9 yards (tackle by Robert McClain and James Bradberry),0.330,0.830
3,12:59,3,1,KAN 38,3,17,Spencer Ware left guard for 2 yards (tackle by Thomas Davis and Tre Boston),0.830,1.600
3,12:15,1,10,KAN 40,3,17,Alex Smith pass complete short right to Charcandrick West for no gain,1.600,1.050
3,11:29,2,10,KAN 40,3,17,Alex Smith right end for 4 yards (tackle by Kurt Coleman),1.050,0.890
3,10:44,3,6,KAN 44,3,17,Alex Smith pass incomplete deep left intended for Tyreek Hill,0.890,-0.460
3,10:37,4,6,KAN 44,3,17,"Dustin Colquitt punts 47 yards, fair catch by Ted Ginn",-0.460,0.380
3,10:29,1,10,CAR 9,3,17,Cam Newton pass incomplete short left intended for Kelvin Benjamin,-0.380,-0.780
3,10:25,2,10,CAR 9,3,17,Jonathan Stewart left end for 4 yards (tackle by Kenneth Acker),-0.780,-0.950
3,9:46,3,6,CAR 13,3,17,Cam Newton pass complete short middle to Devin Funchess for 7 yards (tackle by Steven Nelson and Daniel Sorensen),-0.950,0.280
3,9:00,1,10,CAR 20,3,17,"Jonathan Stewart middle for 2 yards (tackle by Dontari Poe and Derrick Johnson). Penalty on Ed Dickson: Illegal Formation, 5 yards (no play)",0.280,-0.310
3,8:37,1,15,CAR 15,3,17,Cam Newton pass complete short right to Ted Ginn for 10 yards (tackle by Steven Nelson and Marcus Peters),-0.310,0.410
3,8:05,2,5,CAR 25,3,17,Cam Newton pass incomplete short left intended for Kelvin Benjamin (defended by Steven Nelson),0.410,-0.300
3,8:01,3,5,CAR 25,3,17,Cam Newton middle for 6 yards (tackle by Chris Jones),-0.300,0.000
3,7:15,,,,3,17,Timeout #1 by Carolina Panthers,0.000,-1.000
3,7:15,1,10,CAR 31,3,17,Jonathan Stewart right tackle for 4 yards (tackle by Eric Berry and Rakeem Nunez-Roches),1.000,1.000
3,6:45,2,6,CAR 35,3,17,Jonathan Stewart right guard for 3 yards (tackle by Rakeem Nunez-Roches),1.000,0.700
3,6:03,3,3,CAR 38,3,17,Cam Newton pass complete short right to Greg Olsen for 4 yards (tackle by Eric Berry),0.700,1.730
3,5:18,1,10,CAR 42,3,17,Cam Newton pass incomplete short middle intended for Ed Dickson,1.730,1.190
3,5:14,2,10,CAR 42,3,17,Cam Newton pass complete short right to Kelvin Benjamin for 8 yards (tackle by Marcus Peters),1.190,1.550
3,4:35,3,2,,3,17,Cam Newton middle for 1 yard (tackle by Ramik Wilson),1.550,0.000
3,4:21,4,1,KAN 49,3,17,Cam Newton middle for 1 yard (tackle by Rakeem Nunez-Roches and Kendall Reyes),0.000,2.390
3,3:56,1,10,KAN 48,3,17,Cam Newton pass incomplete short left intended for Kelvin Benjamin (defended by Marcus Peters),2.390,1.850
3,3:50,2,10,KAN 48,3,17,Cam Newton pass complete short left to Corey Brown for 3 yards (tackle by Steven Nelson),1.850,1.550
3,3:20,3,7,KAN 45,3,17,Cam Newton pass complete short right to Ted Ginn for 14 yards (tackle by Ron Parker),1.550,3.510
3,2:57,1,10,KAN 31,3,17,Cam Newton pass complete short right to Devin Funchess for 11 yards (tackle by Marcus Peters),3.510,4.240
3,2:23,1,10,KAN 20,3,17,Cam Newton right end for -1 yards (tackle by Eric Berry),4.240,3.560
3,1:49,2,11,KAN 21,3,17,Cam Newton sacked by Dee Ford for -7 yards,3.560,1.950
3,1:07,3,18,KAN 28,3,17,Cam Newton sacked by Chris Jones for -12 yards,1.950,0.590
3,0:30,4,30,KAN 40,3,17,"Graham Gano punts 40 yards, touchback",0.590,-0.280
3,0:21,1,10,KAN 20,3,17,Alex Smith pass incomplete deep right intended for Tyreek Hill,0.280,-0.270
3,0:16,2,10,KAN 20,3,17,Alex Smith pass complete short left to Tyreek Hill for 27 yards (tackle by Tre Boston),-0.270,2.060
Quarter,Time,Down,ToGo,Location,KAN,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,KAN 47,3,17,Spencer Ware middle for 1 yard (tackle by Wes Horton and Kawann Short),2.060,1.650
4,14:31,2,9,KAN 48,3,17,Alex Smith pass complete short middle to Travis Kelce for 10 yards (tackle by Daryl Worley),1.650,2.790
4,14:07,1,10,CAR 42,3,17,Spencer Ware left tackle for no gain (tackle by Kawann Short and Charles Johnson),2.790,2.240
4,13:41,2,10,CAR 42,3,17,Alex Smith pass complete short right to Tyreek Hill for 14 yards (tackle by James Bradberry),2.240,3.710
4,13:03,1,10,CAR 28,3,17,Alex Smith pass complete short left to Tyreek Hill for 10 yards (tackle by Daryl Worley),3.710,4.370
4,12:20,1,10,CAR 18,3,17,Alex Smith pass incomplete short right intended for Chris Conley,4.370,3.800
4,12:16,2,10,CAR 18,3,17,Alex Smith pass incomplete deep left intended for Chris Conley,3.800,3.050
4,12:11,3,10,CAR 18,3,17,Alex Smith pass incomplete short left intended for Ross Travis,3.050,2.250
4,12:07,4,10,CAR 18,6,17,Cairo Santos 36 yard field goal good,2.250,3.000
4,12:02,,,KAN 35,6,17,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.610
4,12:02,1,10,CAR 25,6,17,Jonathan Stewart middle for 1 yard (tackle by Tamba Hali and Derrick Johnson),0.610,0.200
4,11:27,2,9,CAR 26,6,17,Cam Newton middle for 3 yards (tackle by Derrick Johnson and Tamba Hali),0.200,-0.100
4,10:51,3,6,CAR 29,12,17,"Cam Newton pass incomplete short left intended for Greg Olsen is intercepted by Eric Berry at CAR-42 and returned for 42 yards, touchdown",-0.100,-7.000
4,,,,,14,17,"Two Point Attempt: Alex Smith pass complete to Travis Kelce, conversion succeeds",,
4,10:32,,,KAN 35,14,17,"Cairo Santos kicks off 66 yards, returned by Fozzy Whittaker for 18 yards (tackle by Demarcus Robinson). Penalty on Robert McClain: Illegal Block Above the Waist, 8 yards",0.000,0.380
4,10:26,1,10,CAR 9,14,17,Jonathan Stewart middle for no gain (tackle by Rakeem Nunez-Roches and Derrick Johnson),-0.380,-0.780
4,9:50,2,10,CAR 9,14,17,Cam Newton pass complete short left to Kelvin Benjamin for 12 yards (tackle by Kenneth Acker),-0.780,0.340
4,9:12,1,10,CAR 21,14,17,Cam Newton middle for 1 yard (tackle by Dee Ford and Dontari Poe),0.340,-0.070
4,8:34,2,9,CAR 22,14,17,Cam Newton pass complete short right to Greg Olsen for 5 yards (tackle by Ramik Wilson),-0.070,-0.100
4,7:56,3,4,CAR 27,14,17,Cam Newton pass incomplete short right intended for Jonathan Stewart,-0.100,-1.570
4,7:49,4,4,CAR 27,14,17,"Graham Gano punts 43 yards, returned by Tyreek Hill for 21 yards (tackle by Graham Gano)",-1.570,-2.320
4,7:34,1,10,CAR 49,14,17,Alex Smith left end for 3 yards (tackle by Daryl Worley),2.320,2.190
4,7:08,2,7,CAR 46,14,17,Spencer Ware left guard for 8 yards (tackle by Wes Horton),2.190,3.050
4,6:29,1,10,CAR 38,14,17,Alex Smith pass complete short left to Travis Kelce for 16 yards (tackle by Tre Boston),3.050,4.110
4,5:44,1,10,CAR 22,14,17,Alex Smith pass complete short left to Spencer Ware for 5 yards (tackle by Luke Kuechly),4.110,4.290
4,5:18,2,5,CAR 17,14,17,Charcandrick West right tackle for 3 yards (tackle by Robert McClain),4.290,4.150
4,4:35,3,2,CAR 14,14,17,Alex Smith pass incomplete short left intended for Travis Kelce,4.150,2.630
4,4:28,4,2,CAR 14,17,17,Cairo Santos 33 yard field goal good,2.630,3.000
4,4:25,,,KAN 35,17,17,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.610
4,4:25,1,10,CAR 25,17,17,Cam Newton pass complete short left to Fozzy Whittaker for 9 yards (tackle by Dontari Poe),0.610,1.280
4,3:47,2,1,CAR 34,17,17,Fozzy Whittaker right guard for 7 yards (tackle by Ramik Wilson),1.280,1.660
4,3:14,1,10,CAR 41,17,17,Cam Newton pass complete short left to Ted Ginn for 7 yards (tackle by Steven Nelson),1.660,2.070
4,2:36,2,3,CAR 48,17,17,Fozzy Whittaker middle for -2 yards (tackle by Dee Ford),2.070,1.090
4,2:00,3,5,CAR 46,17,17,Cam Newton pass incomplete short left intended for Kelvin Benjamin,1.090,-0.320
4,1:56,4,5,CAR 46,17,17,"Graham Gano punts 54 yards, touchback",-0.320,-0.280
4,1:47,1,10,KAN 20,17,17,Alex Smith pass complete short right to Tyreek Hill for 11 yards (tackle by Star Lotulelei),0.280,1.000
4,1:23,1,10,KAN 31,17,17,"Penalty on Alex Smith: Illegal Forward Pass, 5 yards (no play)",1.000,0.670
4,1:16,1,15,KAN 26,17,17,"Alex Smith pass complete short left to Tyreek Hill for -1 yards (tackle by Luke Kuechly). Tyreek Hill fumbles (forced by Luke Kuechly), ball out of bounds at KAN-25",0.670,-0.350
4,0:51,2,16,KAN 25,17,17,Alex Smith sacked by Kawann Short for -4 yards,-0.350,0.000
4,0:48,,,,17,17,Timeout #2 by Carolina Panthers,0.000,1.550
4,0:48,3,20,KAN 21,17,17,Alex Smith pass complete short middle to Tyreek Hill for 5 yards (tackle by Luke Kuechly),-1.550,0.000
4,0:43,,,,17,17,Timeout #3 by Carolina Panthers,0.000,1.630
4,0:43,4,15,KAN 26,17,17,"Dustin Colquitt punts 53 yards, returned by Ted Ginn for 12 yards (tackle by James Winchester). Penalty on David Mayo: Illegal Block Above the Waist, 10 yards",-1.630,-0.280
4,0:29,1,10,CAR 20,17,17,"Cam Newton pass complete short right to Kelvin Benjamin for 14 yards (tackle by Marcus Peters). Kelvin Benjamin fumbles (forced by Marcus Peters), recovered by Marcus Peters at CAR-34 and returned for 10 yards (tackle by Fozzy Whittaker). Penalty on KAN: Delay of Game, 5 yards",0.280,-3.640
4,0:20,1,10,CAR 29,17,17,Spencer Ware left guard for 11 yards (tackle by Daryl Worley),3.640,0.000
4,0:13,,,,17,17,Timeout #1 by Kansas City Chiefs,0.000,-4.370
4,0:13,1,10,CAR 18,17,17,Alex Smith right guard for no gain (tackle by Star Lotulelei),4.370,0.000
4,0:03,,,,17,17,Timeout #2 by Kansas City Chiefs,0.000,-3.800
4,0:00,2,10,CAR 18,20,17,Cairo Santos 37 yard field goal good,3.800,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
