Quarter,Time,Down,ToGo,Location,CAR,WAS,Detail,EPB,EPA
2,8:43,3,8,CAR 17,7,3,Robert Griffin III pass complete short left to Evan Royster for 7 yards (tackle by Charles Godfrey and Captain Munnerlyn),3.260,0.000
2,7:59,,,,7,3,Timeout #2 by Washington Redskins,0.000,2.910
2,7:59,4,1,CAR 10,7,3,Darrel Young left guard for 3 yards (tackle by Thomas Davis and Luke Kuechly),2.910,5.600
2,7:20,1,7,CAR 7,7,3,Alfred Morris left tackle for 5 yards (tackle by Haruki Nakamura and James Anderson),5.600,0.000
2,6:46,,,,7,3,Timeout #2 by Carolina Panthers,0.000,5.720
2,6:46,2,2,CAR 2,7,3,Alfred Morris left end for -2 yards (tackle by Thomas Davis and Frank Alexander),5.720,4.490
2,6:04,3,4,CAR 4,7,3,Robert Griffin III pass complete short right to Brandon Banks for 2 yards (tackle by Charles Godfrey and Captain Munnerlyn),4.490,3.250
2,5:21,4,2,CAR 2,7,3,Robert Griffin III right end for no gain (tackle by Charles Johnson),3.250,0.380
2,5:13,1,10,CAR 2,7,3,Mike Tolbert right guard for 1 yard (tackle by Barry Cofield and London Fletcher),-0.380,-0.710
2,4:33,2,9,CAR 3,7,3,Cam Newton pass complete short right to Mike Tolbert for 7 yards (tackle by Reed Doughty),-0.710,-0.480
2,3:55,3,2,CAR 10,7,3,Cam Newton left guard for 11 yards (tackle by Lorenzo Alexander),-0.480,0.340
2,3:11,1,10,CAR 21,7,3,Cam Newton right end for 4 yards (tackle by Reed Doughty),0.340,0.340
2,2:36,2,6,CAR 25,7,3,Cam Newton right end for no gain (tackle by Perry Riley),0.340,-0.360
2,2:00,3,6,CAR 25,7,3,Cam Newton pass complete short right to Greg Olsen for 17 yards (tackle by Perry Riley),-0.360,1.730
2,1:53,1,10,CAR 42,7,3,Cam Newton pass complete short middle to Jonathan Stewart for 6 yards (tackle by Jordan Pugh),1.730,2.000
2,1:43,2,4,CAR 48,7,3,"Cam Newton pass incomplete short middle intended for Steve Smith. Penalty on London Fletcher: Roughing the Passer, 15 yards (no play)",2.000,3.120
2,1:40,1,10,WAS 37,7,3,Cam Newton right guard for 3 yards (tackle by DeAngelo Hall and London Fletcher),3.120,2.980
2,1:18,2,7,WAS 34,7,3,Cam Newton pass complete short right to Greg Olsen for 8 yards,2.980,3.840
2,1:14,1,10,WAS 26,7,3,"Cam Newton pass incomplete short middle intended for Steve Smith (defended by Josh Wilson). Penalty on Josh Wilson: Defensive Pass Interference, 7 yards (no play)",3.840,4.310
2,1:10,1,10,WAS 19,7,3,Cam Newton pass incomplete short left intended for Kealoha Pilares,4.310,3.750
2,1:08,2,10,WAS 19,7,3,Cam Newton pass incomplete deep right intended for Steve Smith,3.750,3.030
2,1:03,3,10,WAS 19,13,3,"Cam Newton pass complete deep left to Steve Smith for 19 yards, touchdown",3.030,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,1:03,,,WAS 2,14,3,Justin Medlock kicks extra point good,0.000,0.000
2,0:57,,,CAR 35,14,3,"Justin Medlock kicks off 64 yards, returned by Brandon Banks for 17 yards (tackle by Colin Jones). Penalty on Reed Doughty: Illegal Block Above the Waist, 5 yards",0.000,-0.380
2,0:49,1,10,WAS 5,14,3,Robert Griffin III pass complete short left to Logan Paulsen for 10 yards (tackle by Thomas Davis and Josh Norman),-0.380,-0.220
2,0:22,1,10,WAS 15,14,3,Robert Griffin III pass incomplete short middle intended for Logan Paulsen,-0.220,-0.710
2,0:18,2,10,WAS 15,14,3,Evan Royster right guard for 3 yards (tackle by Dwan Edwards and Sione Fua),-0.710,-1.000
Quarter,Time,Down,ToGo,Location,CAR,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,14,3,"Justin Medlock kicks off 68 yards, returned by Brandon Banks for 25 yards (tackle by Kealoha Pilares)",0.000,0.410
3,14:55,1,10,WAS 22,14,3,Robert Griffin III pass complete short right to Josh Morgan for 1 yard (tackle by Josh Thomas and Luke Kuechly),0.410,0.000
3,14:27,2,9,WAS 23,14,3,Alfred Morris right end for 18 yards (tackle by Luke Kuechly and Charles Godfrey),0.000,1.660
3,13:51,1,10,WAS 41,14,3,Alfred Morris up the middle for no gain (tackle by Luke Kuechly and Greg Hardy),1.660,1.120
3,13:17,2,10,WAS 41,14,3,Robert Griffin III pass incomplete short left intended for Logan Paulsen,1.120,0.430
,,,,,,,"CAR challenged the pass completion ruling, and the original play was overturned.",,
3,13:12,3,10,WAS 41,14,3,Robert Griffin III sacked by Charles Johnson and Dwan Edwards for -7 yards,0.430,-1.110
3,12:48,4,17,WAS 34,14,3,"Saverio Rocca punts 49 yards, returned by Captain Munnerlyn for no gain",-1.110,0.060
3,12:39,1,10,CAR 17,14,3,Cam Newton pass complete short middle to Greg Olsen for 5 yards (tackle by London Fletcher),-0.060,0.210
3,11:58,2,5,CAR 22,14,3,DeAngelo Williams left guard for 1 yard (tackle by Stephen Bowen and Reed Doughty),0.210,-0.490
3,11:17,3,4,CAR 23,14,3,Cam Newton pass incomplete short right intended for Greg Olsen,-0.490,-1.830
3,11:13,4,4,CAR 23,14,3,"Brad Nortman punts 49 yards, returned by Brandon Banks for -5 yards (tackle by Josh Thomas)",-1.830,-0.480
3,11:02,1,10,WAS 23,14,3,Robert Griffin III pass complete deep left to Leonard Hankerson for 25 yards (tackle by Josh Norman),0.480,2.130
3,10:38,1,10,WAS 48,14,3,Robert Griffin III right end for 9 yards (tackle by Josh Norman),2.130,2.800
3,10:03,2,1,CAR 43,14,3,Josh Morgan left end for 9 yards (tackle by James Anderson),2.800,3.310
3,9:22,1,10,CAR 34,14,3,Robert Griffin III right end for 6 yards (tackle by Thomas Davis),3.310,3.580
3,8:42,2,4,CAR 28,14,3,"Dezmon Briscoe right end for 1 yard. Penalty on Chris Cooley: Illegal Block Above the Waist, 10 yards",3.580,2.370
3,8:08,2,13,CAR 37,14,3,Robert Griffin III pass complete deep left to Niles Paul for 22 yards (tackle by Luke Kuechly),2.370,4.580
3,7:27,1,10,CAR 15,14,3,Robert Griffin III right end for 4 yards (tackle by Nate Chandler),4.580,4.640
3,6:55,2,6,CAR 11,14,3,Robert Griffin III pass incomplete short middle intended for Josh Morgan (defended by Josh Norman),4.640,3.780
3,6:51,3,6,CAR 11,14,3,Brandon Banks left end for 3 yards (tackle by Luke Kuechly),3.780,2.980
3,6:07,4,3,CAR 8,14,6,Kai Forbath 25 yard field goal good,2.980,3.000
3,6:02,,,WAS 35,14,6,"Kai Forbath kicks off 62 yards, returned by Kealoha Pilares for 22 yards (tackle by DeAngelo Hall)",0.000,0.610
3,5:55,1,10,CAR 25,14,6,"Cam Newton pass incomplete short right intended for Greg Olsen. Penalty on Jordan Gross: Face Mask (15 Yards), 12 yards (no play)",0.610,-0.640
3,5:55,1,22,CAR 13,14,6,Jonathan Stewart left end for 21 yards (tackle by London Fletcher),-0.640,1.280
3,5:06,2,1,CAR 34,14,6,Mike Tolbert up the middle for 3 yards (tackle by Stephen Bowen),1.280,1.400
3,4:29,1,10,CAR 37,14,6,Cam Newton pass incomplete deep right intended for Louis Murphy,1.400,0.860
3,4:22,2,10,CAR 37,14,6,"Penalty on Cam Newton: Delay of Game, 5 yards (no play)",0.860,0.180
3,4:22,2,15,CAR 32,14,6,Cam Newton pass complete short right to Steve Smith for 14 yards,0.180,1.360
3,4:00,3,1,CAR 46,14,6,Mike Tolbert right tackle for no gain (tackle by Rob Jackson),1.360,-0.320
